assay_id,src_id,tissue_id,confidence_score,doc_id,assay_organism,description,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
3874,1,,8,13329,,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using LTB4.",B,,,,,,
3875,1,,8,13329,,Inhibition of 5-lipoxygenase pathway in rat polymorphonuclear assay (inhibition of 5-HETE formation),B,,,,,,
3876,1,,8,13329,,"Inhibition of 5-lipoxygenase pathway in rat polymorphonuclear assay, by ability to inhibit formation of LTB4 AT 10 uM",B,,,,,,
3877,1,,8,13329,,Inhibition of 5-lipoxygenase pathway was evaluated in rat polymorphonuclear assay by compound (50 uM) ability to inhibit formation of 5-HETE,B,,,,,,
3878,1,,8,11311,,The effective dose for inhibition of 5-lipoxygenase in rat blood leukocyte (ex vivo),B,,,,,,
3879,1,,8,11311,,The effective dose for inhibition of 5-lipoxygenase in rat passive Arthus model after oral administration,B,,,,,,
3880,1,,8,105,,"In vitro inhibition of 5-lipoxygenase HETE (5-hydroperoxyeicosatetraenoic acid) in RBL-1 macrophage, a cell-free enzyme assay",B,,,,,,RBL-1
3881,1,,8,105,,"In vitro inhibition of 5-lipoxygenase HETE (5-hydroperoxyeicosatetraenoic acid) in RBL-1 macrophage, a cell-free enzyme assay",B,,,,,,RBL-1
3882,1,,8,9138,,Inhibition of rat neutrophil 5- Lipoxygenase (5-LO),B,,,,,,
3883,1,,8,9138,,"Inhibition of rat neutrophil 5- Lipoxygenase (5-LO),",B,,,,,,
3884,1,,8,9138,,"Inhibition of rat neutrophil 5- Lipoxygenase (5-LO), (at a concentration of 0.2 nM ),",B,,,,,,
3885,1,,8,14427,,5-LO inhibitory activity determined by measuring the conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cell using thin-layer chromatography; Not determined,B,,,,,,
3886,1,,8,13329,,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using 5-HETE.",B,,,,,,
3887,1,,8,13329,,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using LTB4. ",B,,,,,,
3888,1,,9,14427,Rattus norvegicus,Inhibition of 5-lipoxygenase mediated conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cells,B,,,10116.0,,,RBL-2H3
3889,1,,8,14427,,5-lipoxygenase inhibitory activity determined by measuring the conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cell using thin-layer chromatography; Not determined,B,,,,,,
3890,1,,8,14427,,5-lipoxygenase inhibitory activity determined by measuring the conversion of [14C]arachidonic acid to leukotrienes in RBL-2H3 cell using thin-layer chromatography.,B,,,,,,
3891,1,,8,10293,,Ability to inhibit 5-lipoxygenase by using a crude preparation of the cytosolic enzyme from the rat basophilic leukemia (RBL-1) cell line,B,,,,,,RBL-1
3892,1,,9,338,Rattus norvegicus,Inhibition of 5-Lipoxygenase of rat basophilic leukemia cells,B,,,10116.0,,,RBL-1
3893,1,,8,303,,Compound was evaluated for its inhibitory activity against 5-LO (5-lipoxygenase),B,,,,,,
3894,1,,8,303,,Compound was evaluated for its inhibitory activity against 5-LO (5-lipoxygenase) in intact RBL-1 cell line assay,B,,,,,,RBL-1
3895,1,,8,9247,,Inhibition of rat basophilic leukemia-1 (RBL-1) 5-lipoxygenase,B,,,,,,RBL-1
3896,1,,8,9247,,Compound was evaluated for the inhibition of rat basophilic leukemia-1 (RBL-1) 5-Lipoxygenase at 100 uM; NS = no significant activity,B,,,,,,RBL-1
3897,1,,8,137,,Compound was evaluated in an intact RBL-1 cell line for inhibition of 5-lipoxygenase,B,,,,,,RBL-1
3898,1,,8,11481,,Evaluated in vitro for its inhibitory activity against 5-lipoxygenase,B,,,,,,
3899,1,,8,11481,,"Evaluated in vitro for its inhibitory activity against 5-lipoxygenase; N=Inactive, <50% inhibition at 10 uM concentration",B,,,,,,
3900,1,,8,9029,,Inhibition of rat polymorphonuclear leukocyte (PMN) 5-Lipoxygenase in vitro,B,,,,,,
3901,1,,8,1701,,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells,B,,,,,,
3902,1,,8,1701,,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells at concentration of 32 uM; Not active,B,,,,,,
3903,1,,8,1701,,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells at concentration of 50 uM; Not active,B,,,,,,
3904,1,,8,1701,,Compound was tested for inhibition of 5-lipoxygenase activity in a broken cell supernatant rat basophilic leukemia cells; No data,B,,,,,,
3905,1,,8,13358,,Inhibition of 5-lipoxygenase by measuring 5-HETE levels in RBL-1 cell-free supernatant,F,,,,,,RBL-1
3906,1,,8,1175,,Inhibitory activity against 5-lipoxygenase enzyme from RBL-1 cells,B,,,,,,RBL-1
3907,1,,8,8797,,Ability to inhibit 5-lipoxygenase in rat basophilic leukemia cells.,B,,,,,,RBL-1
3908,1,,8,8797,,Compound was tested for its ability to inhibit 5-lipoxygenase in rat basophilic leukemia cells; No data,B,,,,,,
3909,1,,9,577,Rattus norvegicus,Inhibition of rat basophilic leukemia cell 5-lipoxygenase,B,,,10116.0,,,
3910,1,,8,9295,,In vitro inhibitory activity against RBL-1 5-LO,B,,,,,,RBL-1
3911,1,,8,9295,,Compound was tested for its in vitro inhibitory activity against RBL-1 5-LO (insoluble above 45 uM),B,,,,,,RBL-1
3912,1,,8,9295,,Compound was tested for its in vitro inhibitory activity against RBL-1 5-LO (time dependent),B,,,,,,RBL-1
3913,1,,8,9295,,Compound was tested for its inhibition activity against 5-LO of the whole cell in vitro in rat.,B,,,,,,
3914,1,,8,9295,,Compound was tested for its inhibition activity against the 5-LO in isolated enzyme,B,,,,,,
3915,1,,8,216,,Compound was tested for its inhibitory activity against 5-lipoxygenase in rat.,B,,,,,,
3916,1,,8,11090,,Compound was tested for the inhibition of 5-lipoxygenase (5-LPO) in rat basophilic leukemia (RBL) cells.,B,,,,,,RBL-1
3917,1,178.0,8,11090,,Compound was tested for the inhibition of 5-lipoxygenase (5-Lpo) in rat whole blood.,B,,,,,Blood,
3918,1,,8,10091,,Concentration required for 50 % inhibition of arachidonic acid oxidation by rat 5-lipoxygenase,B,,,,,,
3919,1,,8,10274,,Concentration that produces 50% inhibition of A-23187-stimulated radiolabeled 5-HETE and TXB2 synthesis by PMN 5-lipoxygenase.,F,,,,,,
3920,1,,8,13622,,In vitro 5-lipoxygenase inhibitory activity against calcium ionophore (A23187) induced LTB4 formation in rat polymorphonuclear leukocytes,F,,,,,,
3921,1,,8,12118,,In vitro inhibition against 5-lipoxygenase in RBL-1 cells was determined,B,,,,,,RBL-1
3922,1,,8,12576,,In vitro inhibition of 5-lipoxygenase (5-HETE) derived from the 9000xg supernatant of RBL broken cell assay,B,,,,,,
3923,1,,8,9546,,In vitro inhibition of 5-lipoxygenase from RBL-1 cells,B,,,,,,RBL-1
3924,1,,8,9521,,In vitro inhibition of 5-lipoxygenase in RBL-1 cells,B,,,,,,RBL-1
3925,1,,8,10626,,In vitro inhibition of 5-lipoxygenase pathway in rat basophilic leukemia (RBL-1) cells,B,,,,,,RBL-1
3926,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase,B,,,,,,RBL-1
3927,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 0.18-0.31,B,,,,,,RBL-1
3928,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 0.3-1.6,B,,,,,,RBL-1
3929,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 0.4-2.2,B,,,,,,RBL-1
3930,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 0.72-1.07,B,,,,,,RBL-1
3931,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 0.9-4.0,B,,,,,,RBL-1
3932,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.0-1.5,B,,,,,,RBL-1
3933,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.0-1.7,B,,,,,,RBL-1
3934,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.0-2.4,B,,,,,,RBL-1
3935,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.07-5.54,B,,,,,,RBL-1
3936,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.1-1.6,B,,,,,,RBL-1
3937,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.3-2.8,B,,,,,,RBL-1
3938,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.4-3.2,B,,,,,,RBL-1
3939,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.7-2.6,B,,,,,,RBL-1
3940,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.8-2.8,B,,,,,,RBL-1
3941,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.8-5.7,B,,,,,,RBL-1
3942,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 1.9-2.4,B,,,,,,RBL-1
3943,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 2.3-.8,B,,,,,,RBL-1
3944,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 2.46-2.63,B,,,,,,RBL-1
3945,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 3.3-3.5,B,,,,,,RBL-1
3946,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 3.8-7.1,B,,,,,,RBL-1
3947,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 4.0-6.4,B,,,,,,RBL-1
3948,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 4.9-11.6,B,,,,,,RBL-1
3949,1,,8,9225,,In vitro inhibition of RBL-1 5-lipoxygenase; Value ranges from 7.5-11.8,B,,,,,,RBL-1
3950,1,,8,9401,,In vitro inhibitory activity against 5-lipoxygenase from rat basophilic leukemia cells.,B,,,,,,
3951,1,,8,10325,,In vitro inhibitory activity against 5-Lipoxygenase in rat by Peritoneal 5-lipoxygenase assay,B,,,,,,
3952,1,,8,1556,,In vitro inhibition of 5-lipoxygenase in RBL-2H3 (Rat basophilic leukemia) cells.,F,,,,,,RBL-2H3
3953,1,,8,1556,,In vitro inhibition of 5-lipoxygenase in RBL-2H3 (Rat basophilic leukemia) cells; Not tested,F,,,,,,RBL-2H3
3954,1,,9,961,Rattus norvegicus,Inhibition of 5-lipoxygenase from rat basophilic leukemia(RBL-1) cells,B,,,10116.0,,,RBL-1
3955,1,,8,6838,,In vitro inhibitory activity against 5-lipoxygenase in an RBL-2H3 cell lysate,B,,,,,,
3956,1,,8,10325,,In vitro inhibition of 5-lipoxygenase in rat (peritoneal assay),B,,,,,,
3957,1,,9,9209,Rattus norvegicus,In vitro inhibitory activity against 5-lipoxygenase in rat RBL-1 cells,B,,,10116.0,,,RBL-1
3958,1,,8,11520,,inhibitory activity against 5-lipoxygenase in rat basophilic leukemia cell line.,B,,,,,,RBL-1
3959,1,,8,137,,In vitro inhibitory activity against 5-lipoxygenase was determined,B,,,,,,
3960,1,,8,4717,,In vitro inhibitory concentration against 5-lipoxygenase in RBL-1 cells,B,,,,,,RBL-1
3961,1,,8,10636,,Inhibition of 5-lipoxygenase in intact RBL-1 cell line,B,,,,,,RBL-1
3962,1,,9,14312,Rattus norvegicus,Inhibitory activity against 5-lipoxygenase catalysis (5-LO) in sonicated rat basophilic leukemia cell lysate,F,,,10116.0,,,
3963,1,,8,1203,,Inhibition of 5-Lipoxygenase (5-LO) in rat basophilic leukemia cells,B,,,,,,RBL-1
3964,1,,8,1203,,Inhibition of 5-Lipoxygenase (5-LO) in rat basophilic leukemic cells,B,,,,,,
3965,1,,8,13622,,Inhibition of 5-lipoxygenase catalysis in rat basophilic leukemia (RBL) cells by measuring 5-HETE product formation,B,,,,,,RBL-1
3966,1,,8,9793,,Inhibition of 5-lipoxygenase from rat peritoneal neutrophils after oral administration,B,,,,,,
3967,1,,9,1143,Rattus norvegicus,Inhibition of 5-lipoxygenase of rat basophilic leukemia (RBL) cell cytosolic enzymes,B,,,10116.0,,,RBL-1
3968,1,,9,11854,Rattus norvegicus,Inhibition 5-lipoxygenase mediated LTB4 formation in rat basophilic leukemia (RBL-1) cells,B,,,10116.0,,,RBL-1
3969,1,,8,3595,,Inhibitory activity against 5-lipoxygenase (5-LO) in intact rat barophilic leukemia cells (RBL-1),B,,,,,,RBL-1
3970,1,,8,3595,,Inhibitory activity against 5-lipoxygenase (5-LO) using broken rat barophilic leukemia cells (RBL-1),B,,,,,,RBL-1
3971,1,,9,10501,Rattus norvegicus,Inhibition of 5-lipoxygenase in rat RBL-1 cells,B,,,10116.0,,,RBL-1
3972,1,,8,12526,,Inhibition of 5-lipoxygenase in intact rat basophilic leukemia cells stimulated with the calcium ionophore A-23187,B,,,,,,RBL-1
3973,1,349.0,8,10034,,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 32 umol/kg,F,,,,,Limbic system,
3974,1,349.0,8,10034,,Compound was tested for its effects on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 0.10 umol/kg,F,,,,,Limbic system,
3975,1,,8,10034,,Approximate dose levels for a half maximal reduction of 5-HTP levels,F,,,,,,
3976,1,10000000.0,8,10046,,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue using [3H]OH-DPAT as radioligand.,B,,,,,Hippocampus,
3977,1,10000000.0,8,10046,,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue using [3H]OH-DPAT as radioligand.,B,,,,,Hippocampus,
3978,1,,8,10046,,Inhibitory activity against 5-hydroxytryptamine 1B receptor of rat striatal membrane homogenate using [3H]5-HT as the radioligand.,B,,,,,,
3979,1,178.0,8,12079,Canis lupus familiaris,Inhibitory concentration against human platelet 5-lipoxygenase in dog whole blood,F,,,9615.0,,Blood,
3980,1,178.0,8,12079,,Inhibitory concentration against human platelet 5-lipoxygenase in human whole blood,F,,,,,Blood,
3981,1,,8,11311,,The compound was tested for inhibitory activity against 5-Lipoxygenase in rat polymorphonuclear leukocytes[PMNS],B,,,,,,
3982,1,,8,12338,,Inhibition of 5-lipoxygenase in bovine polymorphonuclear leukocytes,B,,,,,,
3983,1,,8,12143,,Inhibitory activity against 5-lipoxygenase (inhibition of 5-HETE and LTB4 biosynthesis) in bovine polymorphonuclear leukocytes (PMNL).,B,,,,,,
3984,1,,8,12143,,Inhibitory activity against 5-lipoxygenase (inhibition of 5-HETE and LTB4 biosynthesis) in bovine polymorphonuclear leukocytes (PMNL),B,,,,,,
3985,1,,8,12143,,Inhibitory activity against 5-lipoxygenase (inhibition of 5-HETE and LTB4 biosynthesis) in bovine polymorphonuclear leukocytes (PMNL) at 30 uM,B,,,,,,
3986,1,,8,12143,,Inhibitory activity against 5-lipoxygenase (inhibition of 5-HETE and LTB4 biosynthesis) in bovine polymorphonuclear leukocytes (PMNL) at 30 uM,B,,,,,,
3987,1,,8,12365,,Inhibition of 5-lipoxygenase in bovine PMNL cell assay.,B,,,,,,
3988,1,,8,13500,,Tested for inhibition of 5-lipoxygenase as inhibition of 5-HETE and LTB4 biosynthesis in bovine PMNL,B,,,,,,
3989,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.08h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
3990,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
3991,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
3992,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
3993,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
3994,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
3995,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
3996,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
3997,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.08h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
3998,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
3999,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following peroral administration at the dose of 0.3 mg/kg",F,In vivo,,9615.0,,Blood,
4000,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following peroral administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4001,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following peroral administration at the dose of 3.0 mg/kg",F,In vivo,,9615.0,,Blood,
4002,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4003,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following peroral administration at the dose of 0.3 mg/kg",F,In vivo,,9615.0,,Blood,
4004,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following peroral administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4005,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following peroral administration at the dose of 3.0 mg/kg",F,In vivo,,9615.0,,Blood,
4006,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4007,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following peroral administration at the dose of 0.3 mg/kg",F,In vivo,,9615.0,,Blood,
4008,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following peroral administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4009,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following peroral administration at the dose of 3.0 mg/kg",F,In vivo,,9615.0,,Blood,
4010,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4011,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following peroral administration at the dose of 0.3 mg/kg",F,In vivo,,9615.0,,Blood,
4012,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following peroral administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4013,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following peroral administration at the dose of 3.0 mg/kg",F,In vivo,,9615.0,,Blood,
4014,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4015,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following peroral administration at the dose of 0.3 mg/kg",F,In vivo,,9615.0,,Blood,
4016,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following peroral administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4017,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following peroral administration at the dose of 3.0 mg/kg",F,In vivo,,9615.0,,Blood,
4018,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4019,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following peroral administration at the dose of 0.3 mg/kg",F,In vivo,,9615.0,,Blood,
4020,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following peroral administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4021,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following peroral administration at the dose of 3.0 mg/kg",F,In vivo,,9615.0,,Blood,
4022,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4023,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following peroral administration at the dose of 0.3 mg/kg",F,In vivo,,9615.0,,Blood,
4024,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following peroral administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4025,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following peroral administration at the dose of 3.0 mg/kg",F,In vivo,,9615.0,,Blood,
4026,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.08h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4027,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4028,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4029,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4030,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4031,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following peroral administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4032,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4033,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4034,1,178.0,8,12832,Canis lupus familiaris,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following intravenous administration at the dose of 1.0 mg/kg",F,In vivo,,9615.0,,Blood,
4035,1,,8,3595,Canis lupus familiaris,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 24 hr r,B,,,9615.0,,,
4036,1,,8,3595,Canis lupus familiaris,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 24 hr r to canine,B,,,9615.0,,,
4037,1,,8,3595,Canis lupus familiaris,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 2 hr,B,,,9615.0,,,
4038,1,,8,3595,Canis lupus familiaris,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 2 hr to canine,B,,,9615.0,,,
4039,1,,8,3595,Canis lupus familiaris,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 4 hr,B,,,9615.0,,,
