venue,title,id,authors,year
acm sigmod record,sql multimedia and application packages ( sql/mm ),592,"jim melton , andrew eisenberg",2001
acm sigmod record,standards,593,andrew eisenberg,2001
acm sigmod record,describing semistructured data,594,luca cardelli,2001
acm sigmod record,database principles,595,leonid libkin,2001
acm sigmod record,information warfare and security,596,h. v. jagadish,2001
acm sigmod record,"transactional information systems : theory , algorithms , and the practice of concurrency control and recovery",597,marc h. scholl,2001
acm sigmod record,book review column,598,karl aberer,2001
acm sigmod record,book reviews,599,karl aberer,2001
the vldb journal -- the international journal on very large data bases,a pattern-based object calculus,600,"nabil kamel , ping wu , stanley y. w. su",1994
the vldb journal -- the international journal on very large data bases,dynamic maintenance of data distribution for selectivity estimation,601,"kyu young whang , sang wook kim , gio wiederhold",1994
the vldb journal -- the international journal on very large data bases,chronological scheduling of transactions with temporal dependencies,602,"dimitrios georgakopoulos , marek rusinkiewicz , witold litwin",1994
acm sigmod record,research in multi-organizational processes and semantic information brokering at the lsdis lab,603,"amit sheth , john miller , krys kochut , budak arpinar",2001
acm sigmod record,research centers,604,amit sheth,2001
acm sigmod record,on the academic interview circuit : an end-to-end discussion,605,u &#287; ur &#199; etintemel,2001
acm sigmod record,career forum,606,alexandros labrinidis,2001
acm sigmod record,java support for data-intensive systems : experiences building the telegraph dataflow system,607,"mehul a. shah , michael j. franklin , samuel madden , joseph m. hellerstein",2001
acm sigmod record,special section on semantic web and data management,608,"robert meersman , amit sheth",2002
acm sigmod record,data modelling versus ontology engineering,609,"peter spyns , robert meersman , mustafa jarrar",2002
acm sigmod record,methodology for development and employment of ontology based knowledge management applications,610,"york sure , steffen staab , rudi studer",2002
acm sigmod record,a conceptual architecture for semantic web enabled web services,611,"christoph bussler , dieter fensel , alexander maedche",2002
the vldb journal -- the international journal on very large data bases,sleepers and workaholics : caching strategies in mobile environments ( extended version ),612,"daniel barbar &#225; , tomasz imieli &#324; ski",1995
the vldb journal -- the international journal on very large data bases,alphasort : a cache-sensitive parallel external sort,613,"chris nyberg , tom barclay , zarka cvetanovic , jim gray , dave lomet",1995
the vldb journal -- the international journal on very large data bases,quickstore : a high performance mapped object store,614,"seth j. white , david j. dewitt",1995
the vldb journal -- the international journal on very large data bases,estimating page fetches for index scans with finite lru buffers,615,"arun swami , k. bernhard schiefer",1995
acm sigmod record,emergent semantics and the multimedia semantic web,616,"w. i. grosky , d. v. sreenath , f. fotouhi",2002
acm sigmod record,querying multiple bioinformatics information sources : can semantic web research help ?,617,"david buttler , matthew coleman , terence critchlow , renato fileto , wei han , calton pu , daniel rocco , li xiong",2002
acm sigmod record,the grid : an application of the semantic web,618,"carole goble , david de roure",2002
acm sigmod record,book reviews,619,karl aberer,2002
acm sigmod record,"agents , trust , and information access on the semantic web",620,"tim finin , anupam joshi",2002
acm sigmod record,conceptual model of web service reputation,621,"e. michael maximilien , munindar p. singh",2002
acm sigmod record,the &#961; operator : discovering and ranking associations on the semantic web,622,"kemafor anyanwu , amit sheth",2002
acm sigmod record,a framework for semantic gossiping,623,"karl aberer , philippe cudr &#233; - mauroux , manfred hauswirth",2002
the vldb journal -- the international journal on very large data bases,updating knowledge bases while maintaining their consistency,624,"ernest teniente , antoni oliv &#233;",1995
the vldb journal -- the international journal on very large data bases,data model for extensible support of explicit relationships in design databases,625,"joan peckham , bonnie mackellar , michael doherty",1995
the vldb journal -- the international journal on very large data bases,interviso : dealing with the complexity of federated database access,626,"marjorie templeton , herbert henley , edward maros , darrel j. van buer",1995
the vldb journal -- the international journal on very large data bases,realm-based spatial data types : the rose algebra,627,"ralf hartmut g &#252; ting , markus schneider",1995
the vldb journal -- the international journal on very large data bases,hyperfile : a data and query model for documents,628,"chris clifton , hector garcia-molina , david bloom",1995
the vldb journal -- the international journal on very large data bases,the software information base : a server for reuse,629,"panos constantopoulos , matthias jarke , john mylopoulos , yannis vassiliou",1995
the vldb journal -- the international journal on very large data bases,characterization of database access pattern for analytic prediction of buffer hit probability,630,"asit dan , philip s. yu , jen yao chung",1995
the vldb journal -- the international journal on very large data bases,ordered shared locks for real-time databases,631,"divyakant agrawal , amr el abbadi , richard jeffers , lijing lin",1995
the vldb journal -- the international journal on very large data bases,historical queries along multiple lines of time evolution,632,"gad m. landau , jeanette p. schmidt , vassilis j. tsotras",1995
the vldb journal -- the international journal on very large data bases,"adaptable pointer swizzling strategies in object bases : design , realization , and quantitative analysis",633,"alfons kemper , donald kossmann",1995
the vldb journal -- the international journal on very large data bases,special system-oriented section : the best of sigmod '94,634,stanley y. w. su,1995
the vldb journal -- the international journal on very large data bases,the power of languages for the manipulation of complex values,635,"serge abiteboul , catriel beeri",1995
the vldb journal -- the international journal on very large data bases,fibonacci : a programming language for object databases,636,"antonio albano , giorgio ghelli , renzo orsini",1995
the vldb journal -- the international journal on very large data bases,orthogonally persistent object systems,637,"malcolm atkinson , ronald morrison",1995
the vldb journal -- the international journal on very large data bases,themis : a database programming language handling integrity constraints,638,"v &#233; ronique benzaken , anne doucet",1995
the vldb journal -- the international journal on very large data bases,tigukat : a uniform behavioral objectbase management system,639,"m. tamer &#214; zsu , randal peters , duane szafron , boman irani , anna lipka , adriana mu &#241; oz",1995
international conference on management of data,rate-based query optimization for streaming information sources,640,"stratis d. viglas , jeffrey f. naughton",2002
international conference on management of data,an adaptive peer-to-peer network for distributed caching of olap results,641,"panos kalnis , wee siong ng , beng chin ooi , dimitris papadias , kian-lee tan",2002
international conference on management of data,efficient integration and aggregation of historical information,642,"mirek riedewald , divyakant agrawal , amr el abbadi",2002
international conference on management of data,archiving scientific data,643,"peter buneman , sanjeev khanna , keishi tajima , wang-chiew tan",2002
international conference on management of data,efficient evaluation of queries in a mediator for websources,644,"vladimir zadorozhny , louiqa raschid , maria esther vidal , tolga urhan , laura bright",2002
international conference on management of data,best-effort cache synchronization with source cooperation,645,"chris olston , jennifer widom",2002
international conference on management of data,processing complex aggregate queries over data streams,646,"alin dobra , minos garofalakis , johannes gehrke , rajeev rastogi",2002
international conference on management of data,continuously adaptive continuous queries over streams,647,"samuel madden , mehul shah , joseph m. hellerstein , vijayshankar raman",2002
acm sigmod record,reports,648,avigdor gal,2002
acm sigmod record,reminiscences on influential papers,649,kenneth a. ross,2002
acm sigmod record,influential papers,650,ken ross,2002
acm sigmod record,too much middleware,651,michael stonebraker,2002
acm sigmod record,why i like working in academia,652,richard thomas snodgrass,2002
acm sigmod record,career forum,653,alexandros labrinidis,2002
acm sigmod record,advances in databases and information systems : report of 5th east european conference adbis ' 2001,654,"albertas caplinskas , johann eder , olegas vasilecas",2002
acm sigmod record,report on the 18th british national conference on databases ( bncod ),655,"carole goble , brian read",2002
acm sigmod record,what will be,656,michael dertouzos,2002
acm sigmod record,distinguished database profiles,657,marianne winslett,2002
acm sigmod record,databases and transaction processing : an application-oriented approach,658,"philip m. lewis , arthur bernstein , michael kifer",2002
acm sigmod record,data mining : practical machine learning tools and techniques with java implementations,659,"ian h. witten , eibe frank",2002
acm sigmod record,the xml typechecking problem,660,dan suciu,2002
acm sigmod record,industry perspective,661,len seligman,2002
acm sigmod record,"avi silberschatz speaks out : on academia versus industrial labs , startup fever , database phd quality , the future of data mining as a research area , ip issues , how he would n't change a thing , and more",662,marianne winslett,2002
acm sigmod record,database principles,663,leonid libkin,2002
acm sigmod record,business data management for business-to-business electronic commerce,664,"christoph quix , mareike schoop , manfred jeusfeld",2002
acm sigmod record,a multi-agent system infrastructure for software component market-place : an ontological perspective,665,"riza cenk erdur , o &#287; uz dikenelli",2002
acm sigmod record,conceptual modeling and specification generation for b2b business processes based on ebxml,666,hyoungdo kim,2002
acm sigmod record,semantic b2b integration : issues in ontology-based approaches,667,"zhan cui , dean jones , paul o'brien",2002
acm sigmod record,book reviews,668,karl aberer,2002
acm sigmod record,book review column,669,karl aberer,2002
acm sigmod record,supply chain infrastructures : system integration and information sharing,670,"michael o. ball , meng ma , louiqa raschid , zhengying zhao",2002
acm sigmod record,the role of b2b engines in b2b integration architectures,671,christoph bussler,2002
international conference on management of data,clustering by pattern similarity in large data sets,672,"haixun wang , wei wang , jiong yang , philip s. yu",2002
international conference on management of data,general match : a subsequence matching method in time-series databases based on generalized windows,673,"yang-sae moon , kyu-young whang , wook-shin han",2002
international conference on management of data,a monte carlo algorithm for fast projective clustering,674,"cecilia m. procopiuc , michael jones , pankaj k. agarwal , t. m. murali",2002
international conference on management of data,mining long sequential patterns in a noisy environment,675,"jiong yang , wei wang , philip s. yu , jiawei han",2002
international conference on management of data,selectivity estimation for spatio-temporal queries to moving objects,676,"yong-jin choi , chin-wan chung",2002
international conference on management of data,dynamic multidimensional histograms,677,"nitin thaper , sudipto guha , piotr indyk , nick koudas",2002
international conference on management of data,dwarf : shrinking the petacube,678,"yannis sismanis , antonios deligiannakis , nick roussopoulos , yannis kotidis",2002
international conference on management of data,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",679,charu c. aggarwal,2002
international conference on management of data,efficient algorithms for minimizing tree pattern queries,680,prakash ramanan,2002
international conference on management of data,approximate xml joins,681,"sudipto guha , h. v. jagadish , nick koudas , divesh srivastava , ting yu",2002
international conference on management of data,efficient k-nn search on vertically decomposed data,682,"arjen p. de vries , nikos mamoulis , niels nes , martin kersten",2002
international conference on management of data,holistic twig joins : optimal xml pattern matching,683,"nicolas bruno , nick koudas , divesh srivastava",2002
international conference on management of data,minimal probing : supporting expensive predicates for top-k queries,684,"kevin chen-chuan chang , seung-won hwang",2002
international conference on management of data,time-parameterized queries in spatio-temporal databases,685,"yufei tao , dimitris papadias",2002
international conference on management of data,continually evaluating similarity-based pattern queries on a streaming time series,686,"like gao , x. sean wang",2002
international conference on management of data,statistical synopses for graph-structured xml databases,687,"neoklis polyzotis , minos garofalakis",2002
international conference on management of data,qursed : querying and reporting semistructured data,688,"yannis papakonstantinou , michalis petropoulos , vasilis vassalos",2002
international conference on management of data,storing and querying ordered xml using a relational database system,689,"igor tatarinov , stratis d. viglas , kevin beyer , jayavel shanmugasundaram , eugene shekita , chun zhang",2002
international conference on management of data,executing sql over encrypted data in the database-service-provider model,690,"hakan hacig &#252; m &#252; &#351; , bala iyer , chen li , sharad mehrotra",2002
international conference on management of data,workflow management with service quality guarantees,691,"michael gillmann , gerhard weikum , wolfgang wonner",2002
international conference on management of data,"mining database structure ; or , how to build a data quality browser",692,"tamraparni dasu , theodore johnson , s. muthukrishnan , vladislav shkapenyuk",2002
international conference on management of data,a scalable hash ripple join algorithm,693,"gang luo , curt j. ellmann , peter j. haas , jeffrey f. naughton",2002
international conference on management of data,exploiting statistics on query expressions for optimization,694,"nicolas bruno , surajit chaudhuri",2002
international conference on management of data,partial results for online query processing,695,"vijayshankar raman , joseph m. hellerstein",2002
international conference on management of data,proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation,696,"anindya datta , kaushik dutta , helen thomas , debra vandermeer , suresha , krithi ramamritham",2002
international conference on management of data,accelerating xpath location steps,697,torsten grust,2002
international conference on management of data,apex : an adaptive path index for xml data,698,"chin-wan chung , jun-ki min , kyuseok shim",2002
international conference on management of data,covering indexes for branching path queries,699,"raghav kaushik , philip bohannon , jeffrey f naughton , henry f korth",2002
international conference on management of data,implementing database operations using simd instructions,700,"jingren zhou , kenneth a. ross",2002
international conference on management of data,fractal prefetching b + - trees : optimizing both cache and disk performance,701,"shimin chen , phillip b. gibbons , todd c. mowry , gary valentin",2002
international conference on management of data,skew handling techniques in sort-merge join,702,"wei li , dengfeng gao , richard thomas snodgrass",2002
international conference on management of data,statix : making xml count,703,"juliana freire , jayant r. haritsa , maya ramanath , prasan roy , j &#233; r &#244; me sim &#233; on",2002
international conference on management of data,hd-eye : visual clustering of high dimensional data,704,"alexander hinneburg , daniel a. keim , markus wawryniuk",2002
international conference on management of data,gea : a toolkit for gene expression analysis,705,"jessica m. phan , raymond ng",2002
international conference on management of data,dbxplorer : enabling keyword search over relational databases,706,"sanjay agrawal , surajit chaudhuri , gautam das",2002
international conference on management of data,cubeexplorer : online exploration of data cubes,707,"jiawei han , jianyong wang , guozhu dong , jian pei , ke wang",2002
international conference on management of data,xl : a platform for web services,708,"daniela florescu , andreas gr &#252; nhagen , donald kossmann , steffen rost",2002
international conference on management of data,roadrunner : automatic data extraction from data-intensive web sites,709,"valter crescenzi , giansalvatore mecca , paolo merialdo",2002
international conference on management of data,gigascope : high performance network monitoring with an sql interface,710,"chuck cranor , yuan gao , theodore johnson , vlaidslav shkapenyuk , oliver spatscheck",2002
international conference on management of data,distributing queries over low-power wireless sensor networks,711,"samuel madden , joseph m. hellerstein",2002
international conference on management of data,cougar : the network is the database,712,"wai fu fung , david sun , johannes gehrke",2002
international conference on management of data,"commix : towards effective web information extraction , integration and query answering",713,"tengjiao wang , shiwei tang , dongqing yang , jun gao , yuqing wu , jian pei",2002
international conference on management of data,acdn : a content delivery network for applications,714,"pradnya karbhari , michael rabinovich , zhen xiao , fred douglis",2002
international conference on management of data,xcache : a semantic caching system for xml queries,715,"li chen , elke a. rundensteiner , song wang",2002
international conference on management of data,visual coko : a debugger for query optimizer development,716,"daniel j. abadi , mitch cherniack",2002
international conference on management of data,toxgene : a template-based data generator for xml,717,"denilson barbosa , alberto mendelzon , john keenleyside , kelly lyons",2002
international conference on management of data,the xxl search engine : ranked retrieval of xml data using indexes and ontologies,718,"anja theobald , gerhard weikum",2002
international conference on management of data,rainbow : mapping-driven xquery processing system,719,"xin zhang , mukesh mulchandani , steffen christ , brian murphy , elke a. rundensteiner",2002
international conference on management of data,dbcache : database caching for web application servers,720,"mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown",2002
international conference on management of data,learning table access cardinalities with leo,721,"volker markl , guy lohman",2002
international conference on management of data,web caching for database applications with oracle web cache,722,"jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",2002
international conference on management of data,middle-tier database caching for e-business,723,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",2002
international conference on management of data,"tpc-ds , taking decision support benchmarking to the next level",724,"meikel poess , bryan smith , lubor kollar , paul larson",2002
international conference on management of data,mid-tier caching : the timesten approach,725,the timesten team,2002
international conference on management of data,automating physical database design in a parallel database,726,"jun rao , chun zhang , nimrod megiddo , guy lohman",2002
international conference on management of data,the sdss skyserver : public access to the sloan digital sky server data,727,"alexander s. szalay , jim gray , ani r. thakar , peter z. kunszt , tanu malik , jordan raddick , christopher stoughton , jan vandenberg",2002
international conference on management of data,efficient execution of joins in a star schema,728,andreas weininger,2002
international conference on management of data,quadtree and r-tree indexes in oracle spatial : a comparison using gis data,729,"ravi kanth v kothuri , siva ravada , daniel abugov",2002
international conference on management of data,garlic : a new flavor of federated query processing for db2,730,"vanja josifovski , peter schwarz , laura haas , eileen lin",2002
international conference on management of data,a compact b-tree,731,"peter bumbulis , ivan t. bowman",2002
international conference on management of data,coordinating backup/recovery and data consistency between database and file systems,732,"suparna bhattacharya , c. mohan , karen w. brannon , inderpal narang , hui-i hsiao , mahadevan subramanian",2002
international conference on management of data,an ebxml infrastructure implementation through uddi registries and rosettanet pips,733,"asuman dogac , yusuf tambag , pinar pembecioglu , sait pektas , gokce laleci , gokhan kurt , serkan toprak , yildiray kabak",2002
international conference on management of data,wavelet synopses with error guarantees,734,"minos garofalakis , phillip b. gibbons",2002
international conference on management of data,compressing sql workloads,735,"surajit chaudhuri , ashish kumar gupta , vivek narasayya",2002
acm sigmod record,systems and prototypes,736,jignesh patel,2002
acm sigmod record,a brief survey of web data extraction tools,737,"alberto h. f. laender , berthier a. ribeiro-neto , altigran s. da silva , juliana s. teixeira",2002
acm sigmod record,standards,738,andrew eisenberg,2002
acm sigmod record,phoenix project : fault-tolerant applications,739,"roger barga , david lomet",2002
acm sigmod record,reports,740,avigdor gal,2002
acm sigmod record,data warehousing and business intelligence for e-commerce : by alan r. simon & steven l. shaffer,741,frank g. goethals,2002
acm sigmod record,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),742,joachim hammer,2002
acm sigmod record,"on building an infrastructure for mobile and wireless systems : report on the nsf workshop on an infrastructure for mobile and wireless systems , oct. 15 , 2001",743,"birgitta k &#246; nig-ries , kia makki , sam makki , charles perkins , niki pissinou , peter reiher , peter scheuermann , jari veijalainen , ouri wolfson",2002
acm sigmod record,book review column,744,karl aberer,2002
acm sigmod record,book reviews,745,karl aberer,2002
acm sigmod record,"mining the world wide web : an information search approach by george chang , marcus j. healey ( editor ) , james a. m. mchugh , jason t. l. wang",746,aris ouksel,2002
acm sigmod record,data mining : concepts and techniques by jiawei han and micheline kamber,747,"fernando berzal , nicolf &#225; s mat &#237; n",2002
acm sigmod record,from ternary relationship to relational tables : a case against common beliefs,748,rafael camps par &#233;,2002
acm sigmod record,cluster validity methods : part i,749,"maria halkidi , yannis batistakis , michalis vazirgiannis",2002
acm sigmod record,"david dewitt speaks out : on rethinking the cs curriculum , why the database community should be proud , why query optimization does n't work , how supercomputing funding is sometimes very poorly spent , how he 's not a good coder and is n't smart enough to do db theory , and more",750,marianne winslett,2002
acm sigmod record,distinguished database profiles,751,marianne winslett,2002
acm sigmod record,the design of a retrieval technique for high-dimensional data on tertiary storage,752,"ratko orlandic , jack lukaszuk , craig swietlik",2002
acm sigmod record,a pictorial query language for querying geographic databases using positional and olap operators,753,"elaheh pourabbas , maurizio rafanelli",2002
acm sigmod record,investigating xquery for querying across database object types,754,nancy wiegand,2002
acm sigmod record,mpeg-7 and multimedia database systems,755,harald kosch,2002
international conference on management of data,"database tuning : principles , experiments , and troubleshooting techniques ( part ii )",756,"dennis shasha , philippe bonnet",2002
international conference on management of data,software as a service : asp and asp aggregation,757,christoph bussler,2002
acm sigmod record,articles,758,avigdor gal,2002
acm sigmod record,bringing order to query optimization,759,"giedrius slivinskas , christian s. jensen , richard thomas snodgrass",2002
international conference on management of data,implementing xquery,760,paul cotton,2002
international conference on management of data,querying and mining data streams : you only get one look a tutorial,761,"minos garofalakis , johannes gehrke , rajeev rastogi",2002
international conference on management of data,tutorial : application servers and associated technologies,762,c. mohan,2002
international conference on management of data,"database tuning : principles , experiments , and troubleshooting techniques ( part i )",763,"dennis shasha , philippe bonnet",2002
international conference on management of data,xbase : making your gigabyte disk queriable,764,"hongjun lu , guoren wang , ge yu , yubin bao , jianhua lv , yaxin yu",2002
international conference on management of data,xmdvtool : visual interactive data exploration and trend discovery of high-dimensional data sets,765,"elke a. rundensteiner , matthew o. ward , jing yang , punit r. doshi",2002
international conference on management of data,data streams : fresh current or stagnant backwater ? ( panel ),766,"joseph m. hellerstein , jennifer widom",2002
international conference on management of data,going public : open-source databases and database research,767,philippe bonnet,2002
very large data bases,algorithms for mining distance-based outliers in large datasets,768,"edwin m. knorr , raymond t. ng",1998
very large data bases,"information , communication , and money : for what can we charge and how can we meter it ?",769,"stephen blott , henry f. korth , abraham silberschatz",1998
very large data bases,from data independence to knowledge independence : an on-going story,770,laurent vieille,1998
very large data bases,materialized views in oracle,771,"randall g. bello , karl dias , alan downing , james j. feenan , jr. , james l. finnerty , william d. norcott , harry sun , andrew witkowski , mohamed ziauddin",1998
very large data bases,computing iceberg queries efficiently,772,"min fang , narayanan shivakumar , hector garcia-molina , rajeev motwani , jeffrey d. ullman",1998
very large data bases,"topaz : a cost-based , rule-driven , multi-phase parallelizer",773,"clara nippl , bernhard mitschang",1998
very large data bases,scalable sweeping-based spatial join,774,"lars arge , octavian procopiuc , sridhar ramaswamy , torsten suel , jeffrey scott vitter",1998
very large data bases,r-tree based indexing of now-relative bitemporal data,775,"rasa bliujute , christian s. jensen , simonas saltenis , giedrius slivinskas",1998
very large data bases,wavecluster : a multi-resolution clustering approach for very large spatial databases,776,"gholamhosein sheikholeslami , surojit chatterjee , aidong zhang",1998
very large data bases,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,777,"reinhard braumandl , jens clau &#223; en , alfons kemper",1998
very large data bases,binding propagation in disjunctive databases,778,sergio greco,1998
very large data bases,atomicity versus anonymity : distributed transactions for electronic commerce,779,j. d. tygar,1998
very large data bases,proximity search in databases,780,"roy goldman , narayanan shivakumar , suresh venkatasubramanian , hector garcia-molina",1998
very large data bases,active storage for large-scale data mining and multimedia,781,"erik riedel , garth a. gibson , christos faloutsos",1998
very large data bases,query optimization for xml,782,"jason mchugh , jennifer widom",1999
very large data bases,aqua : a fast decision support systems using approximate query answers,783,"swarup acharya , phillip b. gibbons , viswanath poosala",1999
very large data bases,building light-weight wrappers for legacy web data-sources using w4f,784,"arnaud sahuguet , fabien azavant",1999
very large data bases,performance measurements of compressed bitmap indices,785,theodore johnson,1999
very large data bases,curio : a novel solution for efficient storage and indexing in data warehouses,786,"anindya datta , krithi ramamritham , helen m. thomas",1999
very large data bases,"the new locking , logging , and recovery architecture of microsoft sql server 7.0",787,david campbell,1999
very large data bases,unrolling cycles to decide trigger termination,788,"sin yeung lee , tok wang ling",1999
very large data bases,aggregation algorithms for very large compressed data warehouses,789,"jianzhong li , doron rotem , jaideep srivastava",1999
very large data bases,quality-driven integration of heterogenous information systems,790,"felix naumann , ulf leser , johann christoph freytag",1999
very large data bases,implementation of two semantic query optimization techniques in db2 universal database,791,"qi cheng , jarek gryz , fred koo , t. y. cliff leung , linqi liu , xiaoyan qian , k. bernhard schiefer",1999
very large data bases,high-performance extensible indexing,792,marcel kornacker,1999
very large data bases,evaluating top-k selection queries,793,"surajit chaudhuri , luis gravano",1999
very large data bases,building hierarchical classifiers using class proximity,794,"ke wang , senqiang zhou , shiang chen liew",1999
very large data bases,voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs,795,"j &#233; r &#244; me darmont , michel schneider",1999
very large data bases,cache conscious indexing for decision-support in main memory,796,"jun rao , kenneth a. ross",1999
very large data bases,an adaptive hybrid server architecture for client caching odbmss,797,"kaladhar voruganti , m. tamer &#214; zsu , ronald c. unrau",1999
very large data bases,database architecture optimized for the new bottleneck : memory access,798,"peter a. boncz , stefan manegold , martin l. kersten",1999
very large data bases,hierarchical prefix cubes for range-sum queries,799,"chee yong chan , yannis e. ioannidis",1999
very large data bases,cost models do matter : providing cost information for diverse data sources in a federated system,800,"mary tork roth , fatma ozcan , laura m. haas",1999
very large data bases,optimization of run-time management of data intensive web-sites,801,"daniela florescu , alon y. levy , dan suciu , khaled yagoub",1999
very large data bases,issues in network management in the next millennium,802,"michael l. brodie , surajit chaudhuri",1999
very large data bases,extending practical pre-aggregation in on-line analytical processing,803,"torben bach pedersen , christian s. jensen , curtis e. dyreson",1999
very large data bases,context-based prefetch for implementing objects on relations,804,"philip a. bernstein , shankar pal , david shutt",1999
very large data bases,xml repository and active views demonstration,805,"serge abiteboul , vincent aguilera , s &#233; bastien ailleret , bernd amann , sophie cluet , brendan hills , fr &#233; d &#233; ric hubert , jean-claude mamou , am &#233; lie marian , laurent mignet , tova milo , cassio souza dos santos , bruno tessier , anne-marie vercoustre",1999
very large data bases,high level indexing of user-defined types,806,"weidong chen , jyh-herng chow , you-chin fuh , jean grandbois , michelle jou , nelson mendon &#231; a mattos , brian t. tran , yun wang",1999
very large data bases,dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,807,"masahisa tamura , masaru kitsuregawa",1999
very large data bases,"industrial panel on data warehousing technologies : experiences , challenges , and directions",808,umeshwar dayal,1999
very large data bases,multi-dimensional substring selectivity estimation,809,"h. v. jagadish , olga kapitskaia , raymond t. ng , divesh srivastava",1999
very large data bases,explaining differences in multidimensional aggregates,810,sunita sarawagi,1999
very large data bases,relational databases for querying xml documents : limitations and opportunities,811,"jayavel shanmugasundaram , kristin tufte , chun zhang , gang he , david j. dewitt , jeffrey f. naughton",1999
very large data bases,generalised hash teams for join and group-by,812,"alfons kemper , donald kossmann , christian wiesner",1999
very large data bases,optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering,813,"alexander hinneburg , daniel a. keim",1999
very large data bases,exploiting versions for handling updates in broadcast disks,814,"evaggelia pitoura , panos k. chrysanthis",1999
very large data bases,"pm3 : an orthogonal persistent systems programming language - design , implementation , performance",815,"antony l. hosking , jiawan chen",1999
very large data bases,a scalable and highly available networked database architecture,816,"roger bamford , rafiul ahad , angelo pruscino",1999
very large data bases,probabilistic optimization of top n queries,817,"donko donjerkovic , raghu ramakrishnan",1999
very large data bases,ghost : fine granularity buffering of indexes,818,"cheng hian goh , beng chin ooi , d. sim , kian-lee tan",1999
very large data bases,networked data management design points,819,james r. hamilton,1999
very large data bases,spatio-temporal retrieval with rasdaman,820,"peter baumann , andreas dehmel , paula furtado , roland ritsch , norbert widmann",1999
very large data bases,spirit : sequential pattern mining with regular expression constraints,821,"minos n. garofalakis , rajeev rastogi , kyuseok shim",1999
very large data bases,on efficiently implementing schemasql on an sql database system,822,"laks v. s. lakshmanan , fereidoon sadri , subbu n. subramanian",1999
very large data bases,extracting large-scale knowledge bases from the web,823,"ravi kumar , prabhakar raghavan , sridhar rajagopalan , andrew tomkins",1999
very large data bases,a novel index supporting high volume data warehouse insertion,824,"chris jermaine , anindya datta , edward omiecinski",1999
very large data bases,miro web : integrating multiple data sources through semistructured data types,825,"luc bouganim , tatiana chan-sine-ying , tuyet-tram dang-ngoc , jean-luc darroux , georges gardarin , fei sha",1999
very large data bases,user-defined table operators : enhancing extensibility for ordbms,826,"michael jaedicke , bernhard mitschang",1999
very large data bases,similarity search in high dimensions via hashing,827,"aristides gionis , piotr indyk , rajeev motwani",1999
very large data bases,fast algorithms for maintaining replica consistency in lazy master replicated databases,828,"esther pacitti , pascale minet , eric simon",1999
very large data bases,"o-o , what have they done to db2 ?",829,"michael j. carey , donald d. chamberlin , srinivasa narayanan , bennet vance , doug doole , serge rielau , richard swagerman , nelson mendon &#231; a mattos",1999
very large data bases,online feedback for nested aggregate queries with multi-threading,830,"kian-lee tan , cheng hian goh , beng chin ooi",1999
very large data bases,implementation of sql3 structured types with inheritance and value substitutability,831,"you-chin fuh , stefan de &#223; loch , weidong chen , nelson mendon &#231; a mattos , brian t. tran , bruce g. lindsay , linda demichel , serge rielau , danko mannhaupt",1999
very large data bases,the value of merge-join and hash-join in sql server,832,goetz graefe,1999
very large data bases,histogram-based approximation of set-valued query-answers,833,"yannis e. ioannidis , viswanath poosala",1999
very large data bases,the mirror mmdbms architecture,834,"arjen p. de vries , mark g. l. m. van doorn , henk m. blanken , peter m. g. apers",1999
very large data bases,finding intensional knowledge of distance-based outliers,835,"edwin m. knorr , raymond t. ng",1999
very large data bases,"data-driven , one-to-one web site generation for data-intensive applications",836,"stefano ceri , piero fraternali , stefano paraboschi",1999
very large data bases,distributed hypertext resource discovery through examples,837,"soumen chakrabarti , martin van den berg , byron dom",1999
very large data bases,repeating history beyond aries,838,c. mohan,1999
very large data bases,"active storage hierarchy , database systems and applications - socratic exegesis",839,"felipe cari &#241; o , william o'connell , john burgess , joel h. saltz",1999
very large data bases,what can hierarchies do for data warehouses ?,840,"h. v. jagadish , laks v. s. lakshmanan , divesh srivastava",1999
very large data bases,datawarehousing has more colours than just black & ; white,841,"thomas zurek , markus sinnwell",1999
very large data bases,combining histograms and parametric curve fitting for feedback-driven query result-size estimation,842,"arnd christian k &#246; nig , gerhard weikum",1999
very large data bases,semantic compression and pattern extraction with fascicles,843,"h. v. jagadish , j. madar , raymond t. ng",1999
very large data bases,dbmss on a modern processor : where does time go ?,844,"anastassia ailamaki , david j. dewitt , mark d. hill , david a. wood",1999
very large data bases,generating call-level interfaces for advanced database application programming,845,"udo nink , theo h &#228; rder , norbert ritter",1999
very large data bases,active views for electronic commerce,846,"serge abiteboul , bernd amann , sophie cluet , adi eyal , laurent mignet , tova milo",1999
