assay_id,src_id,description,assay_tissue,bao_format,src_assay_id,assay_organism,assay_category,curated_by,doc_id,assay_test_type,assay_type,assay_tax_id,assay_strain,assay_cell_type,assay_subcellular_fraction,tid
2565,1,In vitro relative agonist activity against 5-hydroxytryptamine 2A using PI assay in rat vascular smooth muscle cells,,BAO_0000019,,Rattus norvegicus,,Expert,17200,,F,10116.0,,,,12687
2566,1,Tested for its ability to activate phospholipase C by quantification of IP3 at cloned rat 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,17133,,B,,,,,12687
2567,1,Tested for its ability to activate phospholipase C by quantification of IP3 at cloned rat 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,17133,,B,,,,,12687
2568,1,Tested for its ability to activate phospholipase c by quantification of IP3 at cloned rat 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,17133,,B,,,,,12687
2569,1,The receptor (5-hydroxytryptamine 2A ) mediated mobilization of intracellular calcium [Ca2+] was studied in rat smooth muscle cells,,BAO_0000219,,,,Autocuration,17200,,F,,,,,12687
2570,1,Efficacy at 5-hydroxytryptamine 2A receptor,,BAO_0000019,,,,Autocuration,15363,,F,,,,,12687
2571,1,In vitro efficacy against rat 5-hydroxytryptamine 2A receptor was determined by using CA+ assay (Emax),,BAO_0000357,,,,Autocuration,17200,,B,,,,,12687
2572,1,In vitro efficacy against rat 5-hydroxytryptamine 2A receptor was determined by using CA+ assay (Emax),,BAO_0000357,,Rattus norvegicus,,Expert,17200,,B,10116.0,,,,12687
2573,1,In vitro efficacy against rat 5-hydroxytryptamine 2A receptor determined by using PI assay (Emax),,BAO_0000357,,Rattus norvegicus,,Expert,17200,,B,10116.0,,,,12687
2574,1,The receptor (5-hydroxytryptamine 2A ) mediated mobilization of intracellular calcium [Ca2+] was studied in rat smooth muscle cells,,BAO_0000219,,Rattus norvegicus,,Expert,17200,,F,10116.0,,,,12687
2575,1,The receptor (5-hydroxytryptamine 2A) mediated mobilization of intracellular calcium [Ca2+] was studied in rat smooth muscle cells,,BAO_0000219,,,,Autocuration,17200,,F,,,,,12687
2576,1,Ability to displace [3H]ketanserin (0.5 nM) from cerebral cortex of rat 5-hydroxytryptamine 2A receptor,,BAO_0000019,,,,Autocuration,17211,,B,,,,,12687
2577,1,Binding affinity against 5-hydroxytryptamine 2A receptor by displacement of [3H]-ketanserin from rat prefrontal cerebral cortex mambranes,,BAO_0000019,,,,Expert,17331,,B,,,,,12687
2578,1,Binding affinity to serotonin 5-hydroxytryptamine 2A receptors using a radioligand [3H]ketanserin binding assay in rat cortical membranes,,BAO_0000249,,,,Expert,13565,,B,,,,,12687
2579,1,Binding affinity towards rat 5-hydroxytryptamine 2A receptor was evaluated using [3H]- ketanserin as radioligand,,BAO_0000357,,,,Expert,13730,,B,,,,,12687
2580,1,In vitro affinity towards 5-hydroxytryptamine 2A receptor using [3H]spiroperidol as radioligand in cortex,,BAO_0000019,,,,Expert,12416,,B,,,,,12687
2581,1,Compound was tested for it's binding affinity towards 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,15295,,B,,,,,12687
2582,1,Compound was tested for its ability to displace [3H]DOB from 5-hydroxytryptamine 2A receptor in rat cortex homogenates,,BAO_0000019,,,,Autocuration,1742,,B,,,,,12687
2583,1,Compound was tested for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,15295,,B,,,,,12687
2584,1,Binding affinity towards 5-hydroxytryptamine 2A receptor from rat frontal cortex using [3H]ketanserin as radioligand,,BAO_0000019,,,,Expert,14970,,B,,,,,12687
2585,1,In vitro binding affinity for serotonin 5-hydroxytryptamine 2A receptor of rat cerebral cortex using [3H]ketanserin as radioligand,,BAO_0000019,,,,Expert,16693,,B,,,,,12687
2586,1,Inhibition of [3H]ketanserin binding to rat frontal cortex membrane 5-hydroxytryptamine 2A receptor,,BAO_0000019,,Rattus norvegicus,,Expert,14776,,B,10116.0,,,,12687
2587,1,In vitro inhibitory concentration against radioligand [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat cortical membrane,,BAO_0000249,,,,Autocuration,14286,,B,,,,,12687
2588,1,In vitro inhibition of [125I]DOI binding to 5-hydroxytryptamine 2A receptor in rat cerebral cortex,,BAO_0000019,,Rattus norvegicus,,Expert,17200,,B,10116.0,,,,12687
2589,1,Inhibitory concentration against 5-hydroxytryptamine 2A receptor (Inactive at >1000 nM concentration),,BAO_0000357,,,,Expert,15306,,B,,,,,12687
2590,1,Inhibition of radiolabeled [3H]-Ketanserin ligand binding to 5-hydroxytryptamine 2A receptor,,BAO_0000357,,Rattus norvegicus,,Expert,14178,,B,10116.0,,,,12687
2591,1,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor from rat brain,,BAO_0000019,,Rattus norvegicus,,Expert,14229,,B,10116.0,,,,12687
2592,1,Binding affinity towards 5-hydroxytryptamine 2A receptor binding site using [3H]ketanserin. ,,BAO_0000357,,,,Expert,12884,,B,,,,,12687
2593,1,"Binding affinity for 5-hydroxytryptamine 2A receptor, activity is expressed as IC50 values.",,BAO_0000357,,,,Expert,13149,,B,,,,,12687
2594,1,Displacement of [3H]ketanserin from rat cortical membrane 5-hydroxytryptamine 2A receptor at 10e-7 M,,BAO_0000019,,Rattus norvegicus,,Expert,15295,,B,10116.0,,,,12687
2595,1,Intrinsic activity was determined at 5-hydroxytryptamine 2A receptor which is percentage response given compared with the response produced by 10 uM serotonin.,,BAO_0000357,,,,Autocuration,15740,,B,,,,,12687
2596,1,"Compound was tested for binding affinity at 5-hydroxytryptamine 2A receptor sites in rat cortical homogenate using [125I]-2,5-Dimethoxy -4-iodoamphetamine (DOI).",,BAO_0000019,,,,Autocuration,15185,,B,,,,,12687
2597,1,"Compound was tested for binding affinity using [3H]MDL-100,907 at 5-hydroxytryptamine 2A receptor sites in rat cortical homogenate.",,BAO_0000019,,,,Autocuration,15185,,B,,,,,12687
2598,1,Ability to bind to central serotonin 5-hydroxytryptamine 2A receptor in vitro in cortex of the rat brain using [3H]ketanserin radioligand,,BAO_0000019,,,,Expert,17529,,B,,,,,12687
2599,1,Ability to displace [3H]- ketanserin bound to 5-hydroxytryptamine 2A receptor in rat pre-frontal cortex,,BAO_0000019,,,,Autocuration,14826,,B,,,,,12687
2600,1,Displacement of [3H]ketanserin (0.5 nM) from rat cerebral cortex 5-hydroxytryptamine 2A receptors,,BAO_0000019,,,,Expert,17211,,B,,,,,12687
2601,1,Ability to displace [3H]ketanserin bound to 5-hydroxytryptamine 2A receptor in rat pre-frontal cortex,,BAO_0000019,,,,Autocuration,14826,,B,,,,,12687
2602,1,Ability to displace [3H]ketanserin from rat cortical homogenate 5-hydroxytryptamine 2A receptor,,BAO_0000019,,,,Autocuration,14093,,B,,,,,12687
2603,1,Ability to displace [3H]ketanserin from rat cortical homogenate 5-hydroxytryptamine 2A receptor; Not tested,,BAO_0000019,,,,Autocuration,14093,,B,,,,,12687
2604,1,Ability to inhibit the binding of iodine-125-labelled lysergic acid diethylamide([125I]-LSD) to the S-2A serotonin receptor in NIH3T3 cell line membranes,,BAO_0000219,,,,Expert,13246,,B,,,NIH3T3,,12687
2605,1,Ability to inhibit the binding of iodine-125-labelled lysergic acid diethylamide([125I]-LSD) to the S-2A serotonin receptor.,,BAO_0000357,,,,Expert,13246,,B,,,,,12687
2606,1,Affinity 5-hydroxytryptamine 2A receptor of the rat brain cortex was assessed on the basis of their ability to displace [3H]ketanserin,,BAO_0000019,,Rattus norvegicus,,Expert,15436,,B,10116.0,,,,12687
2607,1,Affinity at 5-hydroxytryptamine 2A receptor of the rat brain cortex was assessed on the basis of their ability to displace [3H]ketanserin,,BAO_0000019,,Rattus norvegicus,,Expert,15436,,B,10116.0,,,,12687
2608,1,Affinity at [3H]ketanserin-labeled 5-hydroxytryptamine 2A receptor in rat brain homogenate was determined,Brain,BAO_0000221,,,,Autocuration,14442,,B,,,,,12687
2609,1,Affinity was evaluated as inhibition constant for serotonin 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Expert,12457,,B,,,,,12687
2610,1,Affinity was evaluated by inhibition of [125I]LSD binding to NIH 3T3 cells transfected with cloned rat 5-hydroxytryptamine 2A receptor,,BAO_0000219,,,,Expert,12457,,B,,,NIH3T3,,12687
2611,1,"Antagonistic activity measured for 5-hydroxytryptamine 2A receptor using [3H]-MDL- 100,907 as radioligand in rat cortical homogenates.",,BAO_0000221,,,,Autocuration,14755,,F,,,,,12687
2612,1,Binding affinity towards rat 5-hydroxytryptamine 2A receptor was determined using [125I]- DOI as radioligand,,BAO_0000357,,,,Autocuration,4707,,B,,,,,12687
2613,1,Binding affinity against 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Expert,13297,,B,,,,,12687
2614,1,Binding affinity against 5-hydroxytryptamine 2A receptor by displacement of [3H]ketanserin from rat prefrontal cerebral cortex mambranes,,BAO_0000019,,,,Expert,17331,,B,,,,,12687
2615,1,Binding affinity against 5-hydroxytryptamine 2A receptor from rat forebrain using [3H]ketanserin as radioligand,,BAO_0000019,,,,Autocuration,4664,,B,,,,,12687
2616,1,Binding affinity against 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,,BAO_0000357,,,,Autocuration,16633,,B,,,,,12687
2617,1,Binding affinity against 5-hydroxytryptamine 2A receptor expressed NIH3T3 cells using [3H]ketanserin,,BAO_0000219,,Rattus norvegicus,,Expert,4664,,B,10116.0,,NIH3T3,,12687
2618,1,Binding affinity against rat 5-hydroxytryptamine 2A receptor using [3H]DOB as radioligand,,BAO_0000357,,,,Expert,16133,,B,,,,,12687
2619,1,Binding affinity against rat 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,,BAO_0000357,,,,Expert,16133,,B,,,,,12687
2620,1,Binding affinity against rat brain 5-hydroxytryptamine 2A receptor,,BAO_0000019,,Rattus norvegicus,,Expert,14060,,B,10116.0,,,,12687
2621,1,Binding affinity at cloned rat 5-hydroxytryptamine 2A receptor using [3H]DOB as radioligand,,BAO_0000357,,,,Expert,16326,,B,,,,,12687
2622,1,Binding affinity for displacement of [3H]ketanserin to rat 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,,BAO_0000219,,,,Expert,16659,,B,,,CHO,,12687
2623,1,Binding affinity measured at the 5-hydroxytryptamine 2A receptor by the inhibition of [3H]ketanserin binding to rat cortex using unlabeled mianserin for nonspecific binding.,,BAO_0000019,,,,Autocuration,14776,,B,,,,,12687
2624,1,Binding affinity of [3H]- ketanserin labelled towards Rat cortical 5-hydroxytryptamine 2A receptor using radioligand binding assay,,BAO_0000357,,,,Autocuration,13481,,B,,,,,12687
2625,1,Binding affinity of compound was tested for 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,17386,,B,,,,,12687
2626,1,Binding affinity for 5-hydroxytryptamine 2A receptor,,BAO_0000357,,Rattus norvegicus,,Expert,6611,,B,10116.0,,,,12687
2627,1,Binding affinity against 5-hydroxytryptamine 2A receptor from rat cortex using [3H]ketanserin as the radioligand.,,BAO_0000019,,,,Autocuration,14423,,B,,,,,12687
2628,1,Binding affinity against 5-hydroxytryptamine 2A receptor of rat pre-frontal cortex,,BAO_0000019,,,,Autocuration,15412,,B,,,,,12687
2629,1,Binding affinity against 5-hydroxytryptamine 2A receptor of rat pre-frontal cortex.,,BAO_0000019,,,,Autocuration,15412,,B,,,,,12687
2630,1,Binding affinity towards 5-HT 2A receptor in rat cerebral frontal cortex membranes using [3H]ketanserin as radioligand,,BAO_0000019,,,,Autocuration,6238,,B,,,,,12687
2631,1,Binding affinity at 5-hydroxytryptamine 2A receptor of rat.,,BAO_0000357,,,,Expert,6648,,B,,,,,12687
2632,1,Binding affinity towards 5-hydroxytryptamine 2A receptor sites by using [3H]ketanserin as radioligand,,BAO_0000357,,,,Expert,5667,,B,,,,,12687
2633,1,Binding affinity for 5-hydroxytryptamine 2A serotonin receptor,,BAO_0000357,,Rattus norvegicus,,Expert,6611,,B,10116.0,,,,12687
2634,1,Binding affinity towards rat cortical 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,,BAO_0000357,,,,Autocuration,13481,,B,,,,,12687
2635,1,Binding affinity towards rat cortical 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand; Not tested,,BAO_0000357,,,,Autocuration,13481,,B,,,,,12687
2636,1,Displacement of [3H]ketanserin from NIH3T3 cells stably expressing rat 5-hydroxytryptamine 2A receptor,,BAO_0000219,,,,Expert,15558,,B,,,NIH3T3,,12687
2637,1,Binding affinity towards 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,6013,,B,,,,,12687
2638,1,Binding affinity towards 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,,BAO_0000357,,,,Autocuration,16633,,B,,,,,12687
2639,1,Binding affinity towards cloned rat 5-hydroxytryptamine 2A receptor from fundus tissue was determined using [3H]mesulergine as radioligand,,BAO_0000357,,,,Autocuration,6013,,B,,,,,12687
2640,1,Binding affinity for rat 5-hydroxytryptamine 2A receptor using [3H]DOB,,BAO_0000357,,Rattus norvegicus,,Expert,6013,,B,10116.0,,,,12687
2641,1,Binding affinity towards cloned rat 5-hydroxytryptamine 2A receptor was determined using [3H]DOB as radioligand; ND=No data,,BAO_0000357,,,,Autocuration,6013,,B,,,,,12687
2642,1,Binding affinity towards cloned rat 5-hydroxytryptamine 2A receptor by [3H]ketanserin displacement.,,BAO_0000357,,,,Expert,6013,,B,,,,,12687
2643,1,Binding affinity towards cloned rat Inhibition of binding towards 5-hydroxytryptamine 2A receptor at 100 nM concentration was determined using [3H]DOB as radioligand,,BAO_0000357,,,,Autocuration,6013,,B,,,,,12687
2644,1,Binding affinity towards cloned rat Inhibition of binding towards 5-hydroxytryptamine 2A receptor at 100 nM concentration was determined using [3H]ketanserin as radioligand,,BAO_0000357,,,,Autocuration,6013,,B,,,,,12687
2645,1,Binding affinity towards rat 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,16293,,B,,,,,12687
2646,1,Binding affinity towards rat 5-hydroxytryptamine 2A receptor expressed in NIH3T3 cells using [3H]ketanserin as radioligand,,BAO_0000219,,,,Expert,17175,,B,,,NIH3T3,,12687
2647,1,Binding affinity was measured against 5-hydroxytryptamine 2A receptor by displacement of [3H]- ketanserin by lysergic acid amides,,BAO_0000357,,Rattus norvegicus,,Expert,13278,,B,10116.0,,,,12687
2648,1,Compound was evaluated for affinity towards cerebral 5-hydroxytryptamine 2A receptor in homogenate of caudate putamen tissue from rat brain,Caudate-putamen,BAO_0000019,,,,Autocuration,3682,,B,,,,,12687
2649,1,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2A receptor using [3H]ketanserin as a radioligand,,BAO_0000357,,,,Autocuration,2014,,B,,,,,12687
2650,1,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2A receptor using [3H]ketanserin as a radioligand; Not determined,,BAO_0000357,,,,Autocuration,2014,,B,,,,,12687
2651,1,Compound was evaluated for its ability to displace (+/-)[125I]-DOI from 5-hydroxytryptamine 2A receptor in cloned rat cell culture,,BAO_0000357,,,,Autocuration,4932,,B,,,,,12687
2652,1,Compound was evaluated for its ability to displace [125I](R)-DOI from 5-hydroxytryptamine 2A receptor in cloned rat prefrontal cortex homogenate,,BAO_0000019,,,,Autocuration,4932,,B,,,,,12687
2653,1,Compound was evaluated for its binding affinity for rat 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,3935,,B,,,,,12687
2654,1,Displacement of [3H]8-OH-DPAT from rat hippocampus membrane 5-hydroxytryptamine 2A receptor,Hippocampus,BAO_0000221,,Rattus norvegicus,,Expert,5432,,B,10116.0,,,,12687
2655,1,Compound was evaluated for its binding affinity towards rat 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,15818,,B,,,,,12687
2656,1,Compound was evaluated for the binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]ketanserin radioligand.,,BAO_0000357,,,,Autocuration,13672,,B,,,,,12687
2657,1,Compound was evaluated for the binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]-ketanserin radioligand.,,BAO_0000357,,,,Autocuration,13672,,B,,,,,12687
2658,1,Binding affinity against rat 5-hydroxytryptamine 2A receptor in NIH3T3 cells.,,BAO_0000219,,,,Expert,14749,,B,,,NIH3T3,,12687
2659,1,Compound was tested for the Binding affinity against rat frontal cortex 5-hydroxytryptamine 2A receptor by Radio ligand [3H]ketanserin binding assay.,,BAO_0000019,,,,Autocuration,13462,,B,,,,,12687
2660,1,Evaluated for the binding constant at [125I]-DOI-labeled rat 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,15740,,B,,,,,12687
2661,1,Half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2A receptor in rat cerebral cortex homogenate,,BAO_0000019,,,,Expert,16647,,B,,,,,12687
2662,1,In vitro ability to displace [3H]ketanserin from 5-hydroxytryptamine 2A receptor in rat brain.,Brain,BAO_0000221,,,,Autocuration,13345,,B,,,,,12687
2663,1,In vitro binding affinity at 5-hydroxytryptamine 2A receptor in rat cortical membrane,,BAO_0000249,,,,Autocuration,16740,,B,,,,,12687
2664,1,In vitro binding affinity at 5-hydroxytryptamine 2A receptor in rat cortical membrane,,BAO_0000249,,,,Autocuration,16740,,B,,,,,12687
2665,1,In vitro binding affinity at 5-hydroxytryptamine 2A receptor by displacement of [3H]ketanserin from rat cortex,,BAO_0000019,,Rattus norvegicus,,Expert,15535,,B,10116.0,,,,12687
2666,1,In vitro binding affinity at 5-hydroxytryptamine 2A receptor in rat cortical membrane,,BAO_0000249,,,,Expert,16740,,B,,,,,12687
2667,1,In vitro binding affinity at 5-hydroxytryptamine 2A receptor in rat cortical membrane,,BAO_0000249,,,,Autocuration,16740,,B,,,,,12687
2668,1,In vitro binding affinity at serotonin 5-hydroxytryptamine 2A receptor in rat cortical membrane,,BAO_0000249,,,,Autocuration,16740,,B,,,,,12687
2669,1,Displacement of [3H]- Ketanserin from rat cortex 5-hydroxytryptamine 2A receptor,,BAO_0000019,,Rattus norvegicus,,Expert,4795,,B,10116.0,,,,12687
2670,1,In vitro binding affinity towards 5-hydroxytryptamine 2A receptor in rat tissue homogenate using [3H]ketanserin as radioligand,,BAO_0000019,,,,Expert,8,,B,,,,,12687
2671,1,In vitro binding affinity towards 5-hydroxytryptamine 2A receptor in rat tissue homogenate using [3H]ketanserin as radioligand; Not active at 10-5 M,,BAO_0000019,,,,Autocuration,8,,B,,,,,12687
2672,1,In vitro inhibitory constant against [125I]DOI binding to 5-hydroxytryptamine 2A receptor in rat cerebral cortex,,BAO_0000019,,Rattus norvegicus,,Expert,17200,,B,10116.0,,,,12687
2673,1,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2A receptor of rat brain cortex,,BAO_0000019,,Rattus norvegicus,,Expert,2148,,B,10116.0,,,,12687
2674,1,"Relative binding affinity for D2 receptor and 5-hydroxytryptamine 2A receptor, ratio of Ki",,BAO_0000224,,Rattus norvegicus,,Expert,13345,,B,10116.0,,,,105102
2675,1,Tested for binding affinity towards rat 5-hydroxytryptamine 2A receptor using [3H]DOB as radioligand,,BAO_0000357,,,,Autocuration,5088,,B,,,,,12687
2676,1,Tested for binding affinity towards rat 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,,BAO_0000357,,,,Autocuration,5088,,B,,,,,12687
2677,1,Tested in vitro for its ability to bind to 5-hydroxytryptamine 2A receptor using [125 I]-DOI as radioligand,,BAO_0000357,,,,Autocuration,17133,,B,,,,,12687
2678,1,In vitro binding to 5-hydroxytryptamine 2A receptor using [125 I]-DOI,,BAO_0000357,,Rattus norvegicus,,Expert,17133,,B,10116.0,,,,12687
2679,1,The binding affinity at 5-hydroxytryptamine 2A receptor was determined using [3H]ketanserin,,BAO_0000357,,,,Autocuration,16532,,B,,,,,12687
2680,1,The compound was tested for binding affinity against 5-hydroxytryptamine 2A receptor,,BAO_0000357,,,,Autocuration,15086,,B,,,,,12687
2681,1,Binding affinity for 5-hydroxytryptamine 2A receptor in rat cortex using [3H]ketanserin,,BAO_0000019,,Rattus norvegicus,,Expert,2309,,B,10116.0,,,,12687
2682,1,Binding affinity to 5-hydroxytryptamine 2A receptor from rat cortex assayed using [3H]ketanserin as radioligand.,,BAO_0000019,,,,Expert,12953,,B,,,,,12687
2683,1,The compound was tested for its binding affinity towards 5-hydroxytryptamine 2A receptor from rat cortex using [3H]ketanserin as radioligand.; Nonactive at 10 uM,,BAO_0000019,,,,Autocuration,12953,,B,,,,,12687
2684,1,The compound was tested for its binding affinity towards 5-hydroxytryptamine 2A receptor from rat cortex using [3H]-ketanserin as radioligand; Nonactive at 10 uM,,BAO_0000019,,,,Autocuration,12953,,B,,,,,12687
2685,1,Binding affinity for displacement of [3H]ketanserin to rat 5-hydroxytryptamine 2A receptor stably expressed in CHO cells; ND is No Data,,BAO_0000219,,,,Autocuration,16659,,B,,,CHO,,12687
2686,1,In vitro binding affinity at 5-hydroxytryptamine 2A receptor in rat cortical membrane; ND means no data,,BAO_0000019,,,,Autocuration,16740,,B,,,,,12687
2687,1,In vitro binding affinity at serotonin 5-hydroxytryptamine 2A receptor in rat cortical membrane; ND means no data,,BAO_0000019,,,,Autocuration,16740,,B,,,,,12687
2688,1,Tested for its ability to activate phospholipase C by quantification of IP3 at cloned rat 5-hydroxytryptamine 2A receptor; Not determined,,BAO_0000357,,,,Autocuration,17133,,B,,,,,12687
2689,1,Ability to displace [3H]ketanserin (0.5 nM) from cerebral cortex of rat 5-hydroxytryptamine 2A receptor; NT=not tested,,BAO_0000019,,,,Autocuration,17211,,B,,,,,12687
2690,1,Binding affinity against 5-hydroxytryptamine 2A receptor by displacement of [3H]-ketanserin from rat prefrontal cerebral cortex mambranes; Not tested,,BAO_0000019,,,,Autocuration,17331,,B,,,,,12687
2691,1,Compound was evaluated for effective dose measured in nmol/kg following a dose of 0.04 mg/kg and 0.093 uM/kg (95%CI); range 32-63,,BAO_0000218,,,,Autocuration,16633,,B,,,,,12687
2692,1,Compound was evaluated for the percentage of rats disrupted following a dose of 0.04 mg/kg and 0.097 uM/kg,,BAO_0000218,,,,Autocuration,16633,,B,,,,,12687
2693,1,Compound was evaluated for the percentage of rats disrupted following a dose of 0.08 mg/kg and 0.194 uM/kg,,BAO_0000218,,,,Autocuration,16633,,B,,,,,12687
2694,1,Ratio of pKi of 5-HT2A to that of 5-HT2C receptor,,BAO_0000357,,,,Expert,15026,,B,,,,,12687
2695,1,Ratio of pKi of 5-HT2A to that of D2 receptor,,BAO_0000357,,,,Expert,15026,,B,,,,,12687
2696,1,Selectivity ratio towards KB of 5-hydroxytryptamine 2A receptor to 5-hydroxytryptamine 2B receptor,,BAO_0000224,,,,Expert,16404,,B,,,,,105093
2697,1,Selectivity ratio towards KB of 5-hydroxytryptamine 2A receptor to 5-hydroxytryptamine 2B receptor,,BAO_0000224,,,,Expert,16404,,B,,,,,105093
2698,1,Selectivity ratio towards Ki of 5-hydroxytryptamine 2A receptor to 5-hydroxytryptamine 2C receptor,,BAO_0000224,,,,Expert,16404,,B,,,,,105075
2699,1,Selectivity ratio towards Ki of 5-hydroxytryptamine 2A receptor to 5-hydroxytryptamine 2C receptor; ND is no data,,BAO_0000357,,,,Autocuration,16404,,B,,,,,12687
2700,1,Percent maximal 5-HT stimulation at cloned rat 5-hydroxytryptamine 2A receptor (phosphoinositide hydrolysis study) at a conc of 100 uM,,BAO_0000357,,,,Expert,16326,,B,,,,,12687
2701,1,Compound was evaluated for its antagonist affinity towards 5-hydroxytryptamine 2A receptor of rat,,BAO_0000019,,,,Autocuration,15847,,F,,,,,12687
2702,1,Compound was evaluated for its antagonist affinity towards 5-hydroxytryptamine 2A receptor of rat; ND means not done,,BAO_0000019,,,,Autocuration,15847,,F,,,,,12687
2703,1,Effectiveness of compound in blocking 5-hydroxytryptamine 2A receptor-mediated contractions of rat tail artery,,BAO_0000019,,,,Autocuration,15329,,F,,,,,12687
2704,1,Negative log concentration of antagonist on 5-hydroxytryptamine 2A receptor in rat thoracic aorta,Thoracic aorta,BAO_0000019,,,,Expert,16404,,F,,,,,12687
2705,1,Negative log concentration of antagonistic compound was determined on 5-hydroxytryptamine 2A receptor of Rat thoracic aorta,Thoracic aorta,BAO_0000019,,,,Expert,16404,,F,,,,,12687
2706,1,Negative log concentration of antagonistic compound was determined on 5-hydroxytryptamine 2A receptor of Rat thoracic aorta; ND is not determined.,Thoracic aorta,BAO_0000019,,,,Autocuration,16404,,F,,,,,12687
2707,1,Binding activity radioligand.,,BAO_0000357,,,,Autocuration,12861,,B,,,,,12687
2708,1,Binding activity against 5-hydroxytryptamine 2C receptor from pig cortex membrane using [3H]mesulergine as radioligand.,,BAO_0000019,,,,Expert,12861,,B,,,,,12687
2709,1,Binding activity against 5-hydroxytryptamine 2C receptor from pig cortex membrane using [3H]mesulergine as radioligand; NA Not Available,,BAO_0000019,,,,Autocuration,12861,,B,,,,,12687
2710,1,Displacement of [3H]DOB binding to 5-hydroxytryptamine 2A receptor from rat cortex homogenate,,BAO_0000019,,,,Expert,12490,,B,,,,,12687
2711,1,Binding affinity towards 5-hydroxytryptamine 3 receptor in membranes of N1E-115 neuroblastoma cells using [3H]-ICS 205-930,,BAO_0000219,,,,Autocuration,12827,,B,,,N1E-115,,12687
2712,1,Binding affinity towards 5-hydroxytryptamine 3 receptor in membranes of N1E-115 neuroblastoma cells using [3H]-ICS 205-930; Not determined,,BAO_0000219,,,,Autocuration,12827,,B,,,N1E-115,,12687
2713,1,Binding affinity was evaluated by 5-hydroxytryptamine 2A receptor agonism in the rat cortex by displacing ketanserin,,BAO_0000019,,,,Autocuration,12918,,B,,,,,12687
2714,1,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]-ketanserin,,BAO_0000019,,Rattus norvegicus,,Expert,12919,,F,10116.0,,,,12687
2715,1,Binding affinity towards human serotonin 5-hydroxytryptamine 2C receptor,,BAO_0000357,,,,Autocuration,17723,,B,,,,,108
2716,1,Binding affinity towards 5-hydroxytryptamine 2C receptor,,BAO_0000357,,,,Autocuration,6013,,B,,,,,108
2717,1,Binding affinity towards human 5-hydroxytryptamine 2C receptor,,BAO_0000357,,,,Autocuration,16293,,B,,,,,108
2718,1,Binding affinity using [125I]DOI as radioligand with membranes isolated from a CHO-k cell line expressing the human 5-hydroxytryptamine 2C receptor,,BAO_0000019,,,,Expert,3857,,B,,,,,108
2719,1,Binding affinity using [125I]DOI as radioligand with membranes isolated from a CHO-k cell line expressing the human 5-hydroxytryptamine 2C receptor; Not determined,,BAO_0000019,,,,Expert,3857,,B,,,,,108
2720,1,Binding affinity using [3H]mesulergine as radioligand with receptor membranes isolated from a CHO-k cell line expressing the human 5-hydroxytryptamine 2C receptor,,BAO_0000019,,,,Expert,3857,,B,,,,,108
2721,1,Compound was tested for the displacement of [125I]DOI from cloned human 5-hydroxytryptamine 2C receptor,,BAO_0000357,,,,Autocuration,15363,,B,,,,,108
2722,1,Compound was tested for the displacement of [125I]DOI from cloned human 5-hydroxytryptamine 2C receptor,,BAO_0000357,,,,Autocuration,15363,,B,,,,,108
2723,1,Tested on transfected cell membranes selectively expressing human 5-hydroxytryptamine 2C receptor using [3H]mesulergine,,BAO_0000019,,,,Expert,16441,,B,,,,,108
2724,1,Tested on transfected cell membranes selectively expressing human 5-hydroxytryptamine 2C receptor using [3H]-mesulergine; ND is No Data.,,BAO_0000019,,,,Expert,16441,,B,,,,,108
2725,1,In vitro binding affinity towards human 5-hydroxytryptamine 2C receptor expressed in HEK293 cells was determined using [3H]mesulergine as radioligand,,BAO_0000219,,,,Autocuration,4176,,B,,,HEK293,,108
