assay_id,cell_id,curated_by,assay_category,variant_id,assay_tissue,doc_id,description,assay_type,assay_test_type,assay_organism,assay_tax_id,assay_strain,assay_cell_type
1821,,Exoert,,,,12409,In vitro binding affinity towards 5-hydroxytryptamine 1B receptor in rat striatal membrane with [125I]- iodocyanopindolol,B,,Rattus norvegicus,10116.0,,
1822,,Autoxuratioh,,,,15194,The compound was tested for the binding affinity against 5-hydroxytryptamine 1B receptor using [3H]5-HT as radioligand,B,,,,,
1823,,Autofuratuon,,,,15194,The compound was tested for the binding affinity against 5-hydroxytryptamine 1B receptor using [3H]5-HT as radioligand.,B,,,,,
1824,,zutocuragion,,,,5486,Binding affinity towards 5-HT2 receptor by the displacement of [3H]-ketanserin] in rat cerebral cortex,B,,,,,
1825,,Autocuratlin,,,,4639,Compound was tested for binding affinity against 5-hydroxytryptamine 1B receptor,B,,,,,
1826,,xutocuratiog,,,,386,The compound was evaluated for its ability to displace [3H]5-HT from 5-hydroxytryptamine 1B receptor in cellular brain membranes,B,,,,,
1827,,xutocurqtion,,,,2474,Compound was measured for its binding affinity at 5-hydroxytryptamine 1B receptor at a concentration of 100 nM using [125I]CYP as radioligand,B,,,,,
1828,,Autoc7dation,,,,6011,Inhibition of binding towards 5-hydroxytryptamine 1B receptor at 100 nM concentration,B,,,,,
1829,,Autovura6ion,,,,5014,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 1B receptor,B,,,,,
1830,,Au5oc7ration,,,,17515,Binding affinity of compound towards serotonin 5-hydroxytryptamine 1B receptor; inactive at 10 uM,B,,,,,
1831,,A8tociration,,,,4373,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 1B receptor was determined,B,,,,,
1832,,Ezpert,,,,1633,Binding affinity towards 5-hydroxytryptamine 1B receptor by displacement of [3H]5-HT.,B,,,,,
1833,,Aurocuratiln,,,,1633,Compound was evaluated for the binding affinity towards 5-hydroxytryptamine 1B receptor by displacement of [3H]ketanserin.,B,,,,,
1834,,Autoxuratjon,,,,4373,Binding affinity for 5-hydroxytryptamine 1B receptor was determined,B,,,,,
1835,,Autocifation,,,,4687,Evaluated for the binding affinity to 5-hydroxytryptamine 1B receptor,B,,,,,
1836,,Autlcuratioj,,,,11574,Binding affinity against 5-hydroxytryptamine 1B receptor,B,,,,,
1837,,Auticueation,,,,10321,Binding affinity for 5-hydroxytryptamine 1B receptor was determined by using [3H]5-HT as radioligand,B,,,,,
1838,,Aytoduration,,,,15527,Binding affinity towards 5-hydroxytryptamine 1B receptor using [3H]5-HT as radioligand.,B,,,,,
1839,,zu4ocuration,,,,17200,Inhibitory constant against 5-hydroxytryptamine 1B receptor using with [125I]- cyanopindolol radioligand,B,,,,,
1840,,Autkcurati8n,,,,14423,Binding affinity against 5-hydroxytryptamine 1B receptor - 5-hydroxytryptamine 1D receptor using [3H]5-HT as the radioligand.,B,,,,,
1841,,Au4ocurat8on,,,,5834,Inhibitory concentration required against 5-hydroxytryptamine 1C receptor in bovine choroid plexus using [3H]mesulergine,B,,Bos taurus,9913.0,,
1842,,Aufocutation,,,,11473,Binding affinity towards 5-hydroxytryptamine 1C receptor using [3H]mesulergine as radioligand,B,,Sus scrofa,9823.0,,
1843,,Autocurztkon,,,,11473,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1C receptor in pig choroid plexus using [3H]mesulergine as radioligand,B,,Sus scrofa,9823.0,,
1844,,Autocurqtipn,,,,10639,Compound was evaluated for its inhibitory activity against 5-hydroxytryptamine 1C receptor of pig choroid plexus using [3H]mesulergine as the radioligand,B,,Sus scrofa,9823.0,,
1845,,Autosuratiom,,,,10639,inhibitory activity against 5-hydroxytryptamine 1C receptor of pig choroid plexus using [3H]mesulergine as the radioligand,B,,Sus scrofa,9823.0,,
1846,,A6toxuration,,,,14331,Binding affinity of compound towards 5-hydroxytryptamine 1C receptor using [3H]mesulergine (1.2 nM) ligand in choroid Plexus pig was determined,B,,Sus scrofa,9823.0,,
1847,,Au4oxuration,,,,10796,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 1C receptor,B,,Sus scrofa,9823.0,,
1848,,Expedt,,,,9098,Evaluated for the binding affinity to porcine choroid plexus at 5-hydroxytryptamine 2C receptor binding site by using [3H]-MES as a radioligand.,B,,Sus scrofa,9823.0,,
1849,,Ex9ert,,,,14331,Inhibition of [3H]mesulergine binding to 5-hydroxytryptamine 1C receptor of pig choroid Plexus,B,,Sus scrofa,9823.0,,
1850,,Experg,,,,11828,Displacement of [3H]mesulergine from pig cortex 5-hydroxytryptamine 1C receptor,B,,Sus scrofa,9823.0,,
1851,,zytocuration,,,,11866,Binding affinity for 5-hydroxytryptamine 1C receptor in piglet choroid plexus using [3H]5-HT,B,,Sus scrofa,9823.0,,
1852,,Autocura4iob,,,,13047,Binding affinity against 5-hydroxytryptamine 1D receptor alpha using rabbit saphenous vein assay.,B,,Oryctolagus cuniculus,9986.0,,
1853,,Auyocuratiog,,,,188,Tested for the effect on binding at 5-hydroxytryptamine 1C receptor; No activity,B,,Rattus norvegicus,10116.0,,
1854,,Autosuratioh,,,,11825,In vitro binding affinity towards the 5-hydroxytryptamine 1C receptor at 10 e-6 M,B,,Rattus norvegicus,10116.0,,
1855,,Autocueztion,,,,11825,In vitro binding affinity towards the 5-hydroxytryptamine 1C receptor at 10 e-6 M,B,,Rattus norvegicus,10116.0,,
1856,,Expsrt,,,,11624,Binding affinity against 5-hydroxytryptamine 1C receptor in rat using [3H]mesulergine as radioligand,B,,Rattus norvegicus,10116.0,,
1857,,Au4ocura6ion,,,,11139,Binding affinity towards 5-hydroxytryptamine 1C receptor using [125 I]-SCH23982 as radioligand in competitive binding assay,B,,Rattus norvegicus,10116.0,,
1858,,Auyocuratjon,,,,11147,Binding affinity towards 5-hydroxytryptamine 1C receptor using [3H]mesulergine as radioligand,B,,Rattus norvegicus,10116.0,,
1859,,wutocuratioh,,,,10444,Binding affinity was determined against 5-hydroxytryptamine 1C receptor was determined in male Sprague-Dawley rat brain.,B,,Rattus norvegicus,10116.0,,
1860,,Exoert,,,,11624,Binding affinity against 5-hydroxytryptamine 1C receptor,B,,Rattus norvegicus,10116.0,,
1861,,Aufoduration,,,,11662,"Compound was tested for binding affinity towards 5-HT1C (5-HT1C) receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]mesulergine as radioligand",B,,Rattus norvegicus,10116.0,,
1862,,sutocurstion,,,,11662,"Compound was tested for binding affinity towards 5-hydroxytryptamine 1C receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]mesulergine as radioligand",B,,Rattus norvegicus,10116.0,,
1863,,Ex0ert,,,,11662,"Binding affinity towards 5-hydroxytryptamine 1C receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]mesulergine as radioligand",B,,Rattus norvegicus,10116.0,,
1864,,Autocifation,,,,11662,"Compound was tested for binding affinity towards 5-hydroxytryptamine 1C receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]mesulergine as radioligand",B,,Rattus norvegicus,10116.0,,
1865,,Aktocuratkon,,,,9098,Evaluated for the binding affinity to porcine choroid plexus at 5-hydroxytryptamine 1C receptor binding site by using [3H]- MES as a radioligand.,B,,Rattus norvegicus,10116.0,,
1866,,sutlcuration,,,,10394,Inhibitory activity against 5-hydroxytryptamine 1C receptor in rat cortical membranes using [3H]mesulergine as a radioligand,B,,Rattus norvegicus,10116.0,,
1867,,Expett,,,,11933,Tested for binding affinity against 5-hydroxytryptamine 1C receptor from rat frontal cortical regions using [3H]mesulergine as radioligand,B,,,,,
1868,,Aut9curatkon,,,,12092,The binding affinity was measured on 5-hydroxytryptamine 1C receptor using [3H]- serotonin as radioligand.,B,,Rattus norvegicus,10116.0,,
1869,,Autosurztion,,,,12253,Binding affinity of 5-hydroxytryptamine 1C receptor using [3H]- ketanserin in rat frontal cortex,B,,Rattus norvegicus,10116.0,,
1870,792.0,Autosurstion,,,,12253,Binding affinity towards rat 5-hydroxytryptamine 1C receptor using [3H]mesulergine as radioligand expressed in 293 cells,B,,Rattus norvegicus,10116.0,,HEK293
1871,,Au4ocura5ion,,,,1558,Compound was tested for its affinity towards 5-hydroxytryptamine 1C receptor,B,,,,,
1872,,sutocjration,,,,2474,Compound was measured for its binding affinity at 5-hydroxytryptamine 1C receptor at a concentration of 100 nM using [3H]mesulergine as radioligand,B,,,,,
1873,,qutocjration,,,,2474,Compound was measured for its binding affinity at 5-hydroxytryptamine 1C receptor at a concentration of 100 nM using [3H]mesulergine as radioligand,B,,,,,
1874,,Autosurqtion,,,,11574,Binding affinity against 5-hydroxytryptamine 1C receptor,B,,,,,
1875,,Autoc6rwtion,,,,1558,Compound was tested for its affinity towards 5-hydroxytryptamine 1C receptor,B,,,,,
1876,,Auyocuratioj,,,,13944,Binding affinity against 5-hydroxytryptamine 1C receptor,B,,,,,
1877,,Autoc6eation,,,,13033,Binding affinity against serotonergic 5-HT1c receptor,B,,,,,
1878,,Autovufation,,,,10321,Binding affinity for 5-hydroxytryptamine 1C receptor was determined by using [3H]- mesulergine as radioligand,B,,,,,
1879,,zutocurati0n,,,,11866,Binding affinity for 5-hydroxytryptamine 1C receptor was determined,B,,,,,
1880,,Autov6ration,,,,14454,Compound was tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),B,,Oryctolagus cuniculus,9986.0,,
1881,,xutlcuration,,,,11574,Binding affinity against 5-hydroxytryptamine 2 receptor using [125I]DOI as radioligand.,B,,,,,
1882,,Autocuratoom,,,,11574,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ket as radioligand.,B,,,,,
1883,,zut8curation,,,,13631,Binding affinity towards serotonin 5-HT2 receptor was determined in rat cortex using [3H]spiperone as ligand,B,,,,,
1884,,zutocurxtion,,,,9630,Binding affinity towards 5-hydroxytryptamine 2 receptor as antagonism of serotonin-induced contractions in rat jugular vein,B,,Rattus norvegicus,10116.0,,
1885,,qytocuration,,,,8822,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat brain cortical membranes,B,,Rattus norvegicus,10116.0,,
1886,,Aut9curatiob,,,frain,9064,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat brain using [3H]spiroperidol,B,,Rattus norvegicus,10116.0,,
1887,,Autocuratoln,,,,8868,Binding affinity towards 5-hydroxytryptamine 2 receptor measured using radioligand ([3H]spiperone) binding assay,B,,,,,
1888,,Autocurafiob,,,,9064,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- spiroperidol,B,,,,,
1889,,Autocurqtlon,,,,9806,Binding affinity at 5-hydroxytryptamine 2 receptor from rat frontal cortex homogenates by [3H]-spiperone displacement.,B,,,,,
1890,,Autocu4atiln,,,,9098,Binding affinity towards 5-hydroxytryptamine 2 receptor was determined,B,,,,,
1891,,sutocura6ion,,,,8868,Binding affinity towards 5-hydroxytryptamine 2 receptor was measured using radioligand ([3H]spiperone) binding assay,B,,,,,
1892,,Aufocurqtion,,,,12765,Binding affinity at serotonin 5-hydroxytryptamine 2 receptor by [3H]ketanserin displacement.,B,,,,,
1893,,Autocurxfion,,,,11049,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,,,,,
1894,,A6tocuratikn,,,,11049,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,,,,,
1895,,Aut8cueation,,,,11049,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]-Ketanserin as radioligand; not determined,B,,,,,
1896,,Autofuratlon,,,,11049,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand; ND-Not determined,B,,,,,
1897,,Aurocurat8on,,,,11049,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,,,,,
1898,,Autodufation,,,,11473,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor in rat anterior cortex using [125I]DOI as radioligand,B,,,,,
1899,,A8tlcuration,,,,11473,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor in rat anterior cortex using [3H]ketanserin as radioligand,B,,,,,
1900,,Autocurstipn,,,,3086,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat pre frontal cortex,B,,,,,
1901,,Autockeation,,,,11049,Compound was evaluated for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,,,,,
1902,,A8tocuratikn,,,,11049,Compound was evaluated for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,B,,,,,
1903,,zuticuration,,,,10639,Compound was evaluated for its inhibitory activity against 5-hydroxytryptamine 2 receptor of rat anterior cortex using [3H]ketanserin as the radioligand,B,,,,,
1904,,Aurocufation,,,,10922,Compound was measured for affinity at 5-hydroxytryptamine 2 receptor in rat cortical by [3H]spiroperidol displacement.,B,,,,,
1905,,Autoxurati0n,,,Brwin,9064,Binding affinity against serotonin-2 receptor in rat brain using [3H]spiroperidol,B,,Rattus norvegicus,10116.0,,
1906,,wutocurztion,,,Braun,10748,Compound was tested for its inhibitory effect on the binding profile in 5-hydroxytryptamine 2 receptor using [3H]spiroperidol in rat brain.,B,,,,,
1907,,Autochratoon,,,,11614,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor from rat cortical membranes.,B,,,,,
1908,,Autosufation,,,,11615,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat cortical membranes,B,,,,,
1909,,Autocudafion,,,,11615,Compound was tested for the displacement of [3H]ketanserin from serotonin 5-hydroxytryptamine 2 receptor,B,,,,,
1910,,Autoxiration,,,,11614,Compound was tested for the displacement of [3H]ketanserin from serotonin 5-hydroxytryptamine 2 receptor from rat cortical membranes.,B,,,,,
1911,,qutocuratlon,,,,11702,Inhibition of [3H]ketanserin binding to rat 5-hydroxytryptamine 2 receptors.,B,,,,,
1912,,Autocu5atjon,,,,11702,Compound was tested for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor; NT=Not tested,B,,,,,
1913,,Aitochration,,,,11702,Inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor,B,,Rattus norvegicus,10116.0,,
1914,,sutocurat7on,,,,11702,Compound was tested for the inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor; NT=Not tested,B,,,,,
1915,,Autockrati0n,,,,13346,Inhibition of [3H]ketanserin binding at 5-hydroxytryptamine 2 receptor from rat frontal cortex.,B,,,,,
1916,,qu4ocuration,,,,10025,Concentration necessary to achieve half maximal inhibition of [3H]-ketanserin binding to 5-hydroxytryptamine 2 receptor,B,,,,,
1917,,Autocurafi8n,,,,10025,Concentration necessary to achieve half maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor at 1 uM,B,,,,,
1918,,qytocuration,,,,10025,"Concentration necessary to achieve half maximal inhibition of [3H]ketanserin, binds to 5-hydroxytryptamine 2 receptor at 1 uM",B,,,,,
1919,,Autoxuratjon,,,,9036,Evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using radioligand [3H]-spiperone,B,,,,,
1920,,Ajtoxuration,,,,9036,Evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using radioligand [3H]spiperone; IA=Inactive,B,,,,,
1921,,Autoci3ation,,,,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.,B,,,,,
1922,,Auticuratlon,,,,12304,Inhibition of binding of radioligand [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cerebral cortex,B,,,,,
1923,,Autosuratuon,,,,13276,In vitro binding affinity measured on serotonin 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand.,B,,,,,
1924,,Aut9chration,,,,11825,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,B,,,,,
1925,,Autocuratuoh,,,,12443,In vitro binding affinity was measured on serotonergic 5-hydroxytryptamine 2 receptor by displacement of [3H]- ketanserin,B,,,,,
1926,,Auyocu3ation,,,,13830,In vitro inhibitory activity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor,B,,,,,
1927,,Autocura5uon,,,,9592,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes,B,,,,,
1928,,zutoc8ration,,,,9592,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes; Not tested,B,,,,,
1929,,zugocuration,,,,10881,Inhibitory activity against 5-hydroxytryptamine 2 receptor by 3H ligand binding experiments.,B,,,,,
1930,,Autoc7fation,,,,13605,Inhibitory activity against [3H]spiroperidol binding to 5-HT2 receptor in rat cortex,B,,,,,
1931,,Autocurat7pn,,,,11624,Inhibitory activity against 5-hydroxytryptamine 2 receptor,B,,Rattus norvegicus,10116.0,,
1932,,Ayhocuration,,,,4101,Inhibitory concentration against 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,B,,,,,
1933,,Autocura5iom,,,,4101,Inhibitory concentration against binding of 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,B,,,,,
1934,,Autockrztion,,,,15360,Inhibitory concentration against radioligand [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat,B,,,,,
1935,,Autosuratipn,,,,11576,Inhibitory concentration against radioligand [3H]spiperone binding to 5-hydroxytryptamine 2 receptor in rat cortex,B,,,,,
1936,,A7tocu4ation,,,,5834,Inhibitory concentration required against 5-hydroxytryptamine 2 receptor in rat cortex using [3H]spiperone,B,,,,,
1937,793.0,Autocuratlob,,,,2395,Inhibitory concentration against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,B,,Rattus norvegicus,10116.0,,CHO-K1
1938,,Autoxurstion,,,,11965,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat cortical membranes,B,,,,,
1939,,Autoc6ratkon,,,,3967,The compound was evaluated for the ability to displace [3H]ketanserin from 5-hydroxytryptamine 2 receptor ( striata of male wistar rats),B,,,,,
1940,,Autocurx4ion,,,,11130,The concentration required to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat brain membranes (in vitro),B,,,,,
1941,,Aurocurayion,,,,13427,Binding affinity of [3H]ketanserin towards 5-hydroxytryptamine 2 receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,B,In vitro,,,,
1942,,zutocurahion,,,,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor,B,,,,,
1943,,Auhocurahion,,,,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor at 1.0 uM concentration,B,,,,,
1944,,Autoxhration,,,,11825,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,B,,,,,
1945,,Akt9curation,,,,12120,Percent inhibition of binding of 1.0 nM [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e -5 M,B,,,,,
1946,,Aut9curatiob,,,,12120,Percent inhibition of binding of 1.0 nM [3H]-ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e-5 M.,B,,,,,
1947,,Aht0curation,,,Tmorscicaorta,11963,Tested for antagonistic activity against 5-hydroxytryptamine 2 receptor from rat thoracic aorta,F,,,,,
1948,,Autocuratl9n,,,,9069,Binding affinity for membrane-bound 5-hydroxytryptamine 2 receptor,B,,,,,
1949,,Aitocurztion,,,,8868,Compound was tested for its effect on 5-hydroxytryptamine 2 receptor saturation analysis,B,,,,,
1950,,Aytocura5ion,,,,17200,Inhibitory constant against human 5-hydroxytryptamine 1B receptor using [3H]5-CT radioligand,B,,,,,
1951,,Autocurztioh,,,,17200,Inhibitory constant against human 5-hydroxytryptamine 1D receptor using [3H]5-CT radioligand,B,,,,,
1952,,Exp2rt,,,,13969,Binding affinity against 5-hydroxytryptamine 1D receptor was measured using [3H]5-HT as radioligand,B,,,,,
1953,,Expe3t,,,,13392,Binding affinity for 5-hydroxytryptamine 1D receptor,B,,,,,
1954,,wutochration,,,,1742,Compound was tested for its ability to displace [125I]GTI binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,B,,,,,
1955,,A7tocurafion,,,,1742,Compound was tested for its ability to displace [3H]-5-HT binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,B,,,,,
1956,,Auyocura6ion,,,Striatim,14331,Binding affinity against 5-hydroxytryptamine 1D receptor using [3H]5-HT in pig striatum + frontalCortex,B,,,,,
1957,,Auhocuratlon,,,,12861,Relative agonist efficacy against 1 uM 5-hydroxytryptamine 1D receptor,F,,,,,
1958,,4xpert,,,,12861,Binding activity against 5-hydroxytryptamine 1D receptor from pig caudate membrane using [3H]5-HT as radioligand,B,,,,,
1959,,Auticurat8on,,,,12861,Binding activity radioligand.,B,,,,,
1960,,Auyocurxtion,,,,12861,Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,B,,,,,
1961,,Ex9ert,,,,12861,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,B,,,,,
1962,,Aytocuratioh,,,,12861,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand; NA Not Available,B,,,,,
1963,,Ahtocuratioh,,,,675,Compound was tested for the displacement of [3H]-5-HT to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,B,,,,,
1964,,Exper6,,,,12490,Displacement of [3H]5-HT binding to 5-hydroxytryptamine 1D receptor from pig caudate membrane,B,,,,,
1965,,Expwrt,,,,11828,Displacement of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1D receptor in pig caudate membrane,B,,,,,
1966,,zitocuration,,,,11866,Binding affinity for 5-hydroxytryptamine 1D receptor in piglet caudate using [3H]5-HT,B,,,,,
1967,,xutocuratikn,,,,773,In Vitro Binding affinity againist 5-hydroxytryptamine 1D receptor by displacing [125I]GTI from pig caudate,B,,Sus scrofa,9823.0,,
1968,,Exper6,,,,13047,The compound was tested for intrinsic activity against 5-HT1D receptor,B,,Oryctolagus cuniculus,9986.0,,
1969,,Autocuda4ion,,,,13047,Intrinsic activity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,B,,Oryctolagus cuniculus,9986.0,,
1970,,Exper5,,,,13047,The compound was tested for binding affinity against 5-HT1D receptor,B,,Oryctolagus cuniculus,9986.0,,
1971,,xutocudation,,,,188,Tested for the effect on binding at 5-hydroxytryptamine 1D receptor; No activity,B,,,,,
1972,,Aut9curatiob,,,,10639,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1D receptor of rat substantia nigra,F,,,,,
1973,,Auticurati9n,,,,12438,Inhibition of forskolin stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor,F,,,,,
1974,,A7t9curation,,,,12438,Binding affinity was measured against serotonin 5-hydroxytryptamine 1D receptor,B,,,,,
1975,,Edpert,,,,15854,Binding affinity towards 5-hydroxytryptamine 1D receptor in rat frontal cortex using [125I]iodocyanopindolol as radio-ligand.,B,,,,,
1976,,wktocuration,,,,10394,Inhibitory activity against 5-hydroxytryptamine 1D receptor in rat cortical membranes using [3H]5-HT as a radioligand,B,,,,,
1977,,Aut9curqtion,,,,12092,The binding affinity was measured on 5-hydroxytryptamine 1D receptor using [3H]- serotonin as radioligand.,B,,,,,
1978,,Expfrt,,,,3389,Binding affinity to 5-hydroxytryptamine 1D receptor in the rat forebrain by [3H]- SB-204269 displacement.,B,,,,,
1979,,Autlcuratoon,,,,6011,Inhibition of binding towards 5-hydroxytryptamine 1D receptor at 100 nM concentration,B,,,,,
1980,,Autocurstiin,,,,4639,Compound was tested for binding affinity against 5-hydroxytryptamine 1D receptor,B,,,,,
1981,,Autocura5ioj,,,,2474,Compound was measured for its binding affinity at 5-hydroxytryptamine 1D receptor at a concentration of 10 uM using [3H]5-HT as radioligand,B,,,,,
1982,,A7tocurati0n,,,,5014,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 1D receptor,B,,,,,
1983,,Akt0curation,,,,17515,Binding affinity of compound towards serotonin 5-hydroxytryptamine 1D receptor; inactive at 10 uM,B,,,,,
1984,,z8tocuration,,,,11866,Binding affinity for 5-hydroxytryptamine 1D receptor was determined,B,,,,,
1985,,wutocuratiln,,,,4687,Evaluated for the binding affinity against 5-hydroxytryptamine 1D receptor,B,,,,,
1986,,Autocyrztion,,,,12146,Tested against 5-hydroxytryptamine 1D receptor,B,,,,,
1987,,Autlduration,,,,10321,Binding affinity for 5-hydroxytryptamine 1D receptor was determined by using [3H]5-HT as radioligand,B,,,,,
1988,772.0,Autocurw6ion,,,,13267,Antagonistic binding affinity measured against 5-hydroxytryptamine 2A receptor (human clone expressed in 293 cells) using [3H]ketanserin as radioligand,B,,,,,HEK293
1989,,Eapert,,,,1274,Binding affinity against 5-Hydroxytryptamine 1D receptor,B,,Homo sapiens,9606.0,,
1990,,Autocyratioj,,,,15250,,B,,,,,
1991,723.0,Autocu3atiog,,,,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,B,,,,,CHO-K1
1992,304.0,Autocurqtiog,,,,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,B,,,,,CHO-K1
1993,331.0,Autocurqtioh,,,,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line.,B,,,,,HEK293
1994,502.0,Aktocuratikn,,,,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,B,,,,,HEK293
1995,,Autiduration,,,,13047,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,B,,,,,
1996,,Auticurafion,,,,13366,Binding affinity of compound against 5-HT1Dalpha Binding affinity of compound against 5-HT1D alpha receptors in human,B,,,,,
1997,,dxpert,,,,13366,In vitro affinity human cloned 5-hydroxytryptamine 1D receptor alpha by [3H]5-HT displacement.,B,,,,,
1998,,Autochratuon,,,,1558,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor alpha was determined,B,,,,,
1999,1016.0,Expsrt,,,,12902,"Binding affinity against 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells, using [3H]-5-HT as the radioligand.",B,,,,,CHO-K1
2000,948.0,Augocuratiln,,,,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,B,,,,,CHO-K1
2001,,Aufocuratikn,,,,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor alpha measured as the reduction of forskolin-stimulated cAMP.,F,,,,,
2002,,Autocurwtiob,,,,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,F,,,,,
2003,,Autovurwtion,,,,14251,Compound was tested for its agonist activity against human 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,F,,,,,
2004,,qutocuratiom,,,,14251,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,F,,,,,
2005,,Autkcufation,,,,14251,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,F,,,,,
2006,,Aurocurstion,,,,13313,In vitro binding affinity towards 5-HT1D alpha receptor by using [3H]5-HT as radioligand,B,,,,,
