ss_strn,src_ss_d,ss_rgnsm,rltnshp_tp,src_d,ss_sbclllr_frctn,ss_ctgr,b_frmt,ss_tss,ss_tp,ss_cll_tp,td,crtd_b,cll_d,dc_d,ss_tx_d,vrnt_d,ss_d,chmbl_d,dscrptn,ss_tst_tp,cnfdnc_scr,tss_d
,,Rattus norvegicus,N,1,,,BAO_0000218,Heart,A,,50597,Intermediate,,9866,10116.0,,7943,CHEMBL621225,Biodistribution in rat heart in the presence of NCA Gd/0.01 M lip,In vivo,1,948.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Heart,A,,50597,Intermediate,,9866,10116.0,,7944,CHEMBL621226,Biodistribution in rat heart in the presence of NCAGd/0.01 M lig,In vivo,1,948.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7945,CHEMBL621227,Biodistribution in rat kidney in the presence of 0.01 M GdDTPA-BDP,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7946,CHEMBL621228,Biodistribution in rat kidney in the presence of 0.01 M/0.01 M GdDTPA-AEP,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7947,CHEMBL621229,Biodistribution in rat kidney in the presence of 0.01 M/0.08 M GdDTPA-AEP,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7948,CHEMBL621230,Biodistribution in rat kidney in the presence of 0.05 M Gd/0.15 M lig,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7949,CHEMBL621231,Biodistribution in rat kidney in the presence of 0.05 M GdDTPA-BDP; ND=No data,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7950,CHEMBL621232,Biodistribution in rat kidney in the presence of 0.05 M/0.05 M GdDTPA-AEP,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7951,CHEMBL621233,Biodistribution in rat kidney in the presence of 0.05 M/0.08 M GdDTPA-HPDP,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7952,CHEMBL621234,Biodistribution in rat kidney in the presence of 0.10 M GdDTPA-BDP,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7953,CHEMBL621235,Biodistribution in rat kidney in the presence of 0.10 M/0.11 M GdDTPA-AEP; ND=No data,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7954,CHEMBL621236,Biodistribution in rat kidney in the presence of NAC Gd/0.01 M GdDTPA-HPDP,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7955,CHEMBL621237,Biodistribution in rat kidney in the presence of NCA Gd/0.01 M lip,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,9866,10116.0,,7956,CHEMBL876486,Biodistribution in rat kidney in the presence of NCAGd/0.01 M lig,In vivo,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Intestine,A,,50597,Intermediate,,9866,10116.0,,7957,CHEMBL622436,Biodistribution in rat l. intestine in the presence of 0.01 M carrier at 1 hr,In vivo,1,160.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Intestine,A,,50597,Intermediate,,9866,10116.0,,7958,CHEMBL622437,Biodistribution in rat l. intestine in the presence of 50 Gd/kg at 2 hr,In vivo,1,160.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Intestine,A,,50597,Intermediate,,9866,10116.0,,7959,CHEMBL622438,Biodistribution in rat l. intestine in the presence of 50 Gd/kg at 6 hr,In vivo,1,160.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7960,CHEMBL622439,Biodistribution in rat liver by in the presence 50 Gd/kg at 15 min,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7961,CHEMBL622440,Biodistribution in rat liver by in the presence of 0.05 M Gd/0.15 M lig,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7962,CHEMBL622441,Biodistribution in rat liver by in the presence of NCAGd/0.01 M lig,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7963,CHEMBL622442,Biodistribution in rat liver in the presence of 0.001 M/0.008 M GdDTPA-AEP,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7964,CHEMBL622443,Biodistribution in rat liver in the presence of 0.01 M GdDTPA-BDP,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7965,CHEMBL622444,Biodistribution in rat liver in the presence of 0.01 M/0.01 M GdDTPA-AEP,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7966,CHEMBL622445,Biodistribution in rat liver in the presence of 0.05 M GdDTPA-BDP,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7967,CHEMBL622446,Biodistribution in rat liver in the presence of 0.05 M/0.05 M GdDTPA-AEP,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7968,CHEMBL622447,Biodistribution in rat liver in the presence of 0.05 M/0.08 M GdDTPA-HPDP,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7969,CHEMBL622448,Biodistribution in rat liver in the presence of 0.10 M GdDTPA-BDP,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7970,CHEMBL622449,Biodistribution in rat liver in the presence of 0.10 M/0.11 M GdDTPA-AEP; ND=No data,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7971,CHEMBL622450,Biodistribution in rat liver in the presence of 50 Gd/kg at 2 hr,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7972,CHEMBL622451,Biodistribution in rat liver in the presence of 50 Gd/kg at at 6 hr,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7973,CHEMBL622452,Biodistribution in rat liver in the presence of GdDTPA at 15 min,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7974,CHEMBL622453,Biodistribution in rat liver in the presence of GdDTPA at 1 hr,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7975,CHEMBL622454,Biodistribution in rat liver in the presence of GdDTPA at 30 min,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7976,CHEMBL622455,Biodistribution in rat liver in the presence of GdDTPA at 4 hr,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,9866,10116.0,,7977,CHEMBL876024,Biodistribution in rat liver in the presence of GdDTPA-BDP at 15 min,In vivo,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,2792,10116.0,,7978,CHEMBL622456,T max was determined at 3 mg/kg po dose in rats,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15078,10116.0,,7979,CHEMBL622457,"The Tmax value in female wistar rat at 100 mg/kg, p.o. dose",In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15078,10116.0,,7980,CHEMBL622458,"The Tmax value in male wistar rat at 100 mg/kg, p.o. dose",In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15022,10116.0,,7981,CHEMBL622459,The time to reach maximum concentration of compound was measured at the dose of 100 umol/kg,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15022,10116.0,,7982,CHEMBL873343,The time to reach maximum concentration of compound was measured at the dose of 300 umol/kg,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15022,10116.0,,7983,CHEMBL622460,The time to reach maximum concentration of compound was measured at the dose of 30 umol/kg,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,4576,10116.0,,7984,CHEMBL622461,Time for maximum plasma concentration determined in rat,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,6681,10116.0,,7985,CHEMBL622462,Time for maximum plasma concentration reached by compound was determined in rats at 50 mg/kg dose,In vivo,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,16365,10116.0,,7986,CHEMBL622463,Time of maximum concentration of the drug when administered orally a dose of 10 mg/kg to a fasting rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,16365,10116.0,,7987,CHEMBL622464,Time of maximum concentration of the drug when administered orally a dose of 1 mg/kg to a fasting rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,16365,10116.0,,7988,CHEMBL622465,Time of maximum concentration of the drug when administered orally a dose of 30 mg/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,16365,10116.0,,7989,CHEMBL622466,Time of maximum concentration of the drug when administered orally a dose of 3 mg/kg to a fasting rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,16365,10116.0,,7990,CHEMBL622467,Time of maximum concentration of the drug when administered orally at dose of 3 mg/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,6824,10116.0,,7991,CHEMBL622468,Time of maximum plasma concentration in rat,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,6685,10116.0,,7992,CHEMBL876025,"Time required by compound for reaching maximum plasma concentration was determined in rats at 10 mg/kg, p.o. dose",,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,6685,10116.0,,7993,CHEMBL622469,"Time required by compound for reaching maximum plasma concentration was determined in rats at 20 mg/kg, i.p. dose",,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,6685,10116.0,,7994,CHEMBL622470,"Time required by compound for reaching maximum plasma concentration was determined in rats at 2 mg/kg, i.v. dose; n/a: not applicable",,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15662,10116.0,,7995,CHEMBL622471,Time required to reach maximum concentration (Cmax) after oral administration in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,1742,10116.0,,7996,CHEMBL622472,Time required to reach maximum concentration in rat plasma,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,2774,10116.0,,7997,CHEMBL622473,Time taken by the compound to achieve maximum concentration in rat plasma at 30 mg/Kg upon oral administration.,In vivo,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,5199,10116.0,,7998,CHEMBL624282,Time taken by the compound to achieve maximum plasma concentration at a 1 mg/kg oral dose in female Sprague-Dawley rats,In vivo,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,12873,10116.0,,7999,CHEMBL624283,Time taken for maximum plasma concentration for the compound in solution form (formulation) was determined in rats at peroral dose of 5 mg/kg,In vivo,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,12873,10116.0,,8000,CHEMBL624284,Time taken for maximum plasma concentration for the compound in suspension form (formulation) was determined in rats at peroral dose of 5 mg/kg,In vivo,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,1916,10116.0,,8001,CHEMBL624285,Time taken to reach maximum concentration in plasma was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,In vivo,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,16367,10116.0,,8002,CHEMBL624286,Time to reach Cmax after oral administration to rats,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,16366,10116.0,,8003,CHEMBL624287,Time to reach Cmax when a dose of 1 mg/kg is administered orally,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,216,10116.0,,8004,CHEMBL624288,Time to reach maximum concentration following oral administration of 200 mg/kg in rat; value ranges from 2-4,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,6410,10116.0,,8005,CHEMBL624289,Time to reach maximum plasma concentration was evaluated at an intravenous dose of 3 mg/kg; Not applicable,In vivo,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,6410,10116.0,,8006,CHEMBL873344,Time to reach maximum plasma concentration was evaluated at an oral dose of 30 mg/kg,In vivo,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6215,10116.0,,8007,CHEMBL619623,Tmax after peroral administration (10 mg/kg) was determined in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Expert,,3598,10116.0,,8008,CHEMBL621399,Tmax of compound determined in rat after iv administration at a dose of 10 mg/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,4527,10116.0,,8009,CHEMBL621400,Tmax by oral administration at a dose of 100 uM/kg in rat was determined,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17670,10116.0,,8010,CHEMBL621401,"Tmax in fischer rats at 5 mg/kg dose, administered intravenously",In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,1465,10116.0,,8011,CHEMBL621402,Tmax was determined,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,2552,10116.0,,8012,CHEMBL621403,Tmax was determined,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5656,10116.0,,8013,CHEMBL621121,Tmax after oral administration in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17764,10116.0,,8014,CHEMBL872525,Tmax after peroral administration in rats at 2.4 uM/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5610,10116.0,,8015,CHEMBL621122,Tmax in male rat,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6046,10116.0,,8016,CHEMBL621123,Tmax in rat at 10 mg/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5874,10116.0,,8017,CHEMBL621124,Tmax in rat by po administration at a dose of 40 mg/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17596,10116.0,,8018,CHEMBL621125,Tmax in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17804,10116.0,,8019,CHEMBL621126,Tmax was measured in rats after peroral administration at 5 mg/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,1908,10116.0,,8020,CHEMBL621127,Tmax value after oral dose at a dose of 10 mg/kg in rats.,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,2959,10116.0,,8021,CHEMBL621128,Tmax value after administration of 20 mg/Kg oral dose in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6757,10116.0,,8022,CHEMBL618263,Tmax value at a dose of 10 mg/kg in male SD rats,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6757,10116.0,,8023,CHEMBL618264,Tmax value at a dose of 100 mg/kg in male SD rats,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6757,10116.0,,8024,CHEMBL618265,Tmax value at a dose of 50 mg/kg in male SD rats,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,4186,10116.0,,8025,CHEMBL618266,Total concentration in rat plasma after administration of 3.5 mg/kg dose through subcutaneous route,In vivo,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15662,10116.0,,8026,CHEMBL618267,time required to reach maximum concentration (Cmax) after oral administration in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Urine,A,,50597,Intermediate,,429,10116.0,,8027,CHEMBL618450,Evaluated for pharmacokinetic parameter urine recovery in rat at the dose 50 mg/kg ( 0-24 hr ),,1,1088.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Urine,A,,50597,Intermediate,,429,10116.0,,8028,CHEMBL618451,Evaluated for pharmacokinetic parameter urine recovery in rat at the dose 50 mg/kg (0-24 hr),,1,1088.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5546,10116.0,,8029,CHEMBL618452,Unbound plasma was determined in Sprague-Dawley rats at a dose of 1 mg/kg by iv administration,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Urine,A,,50597,Intermediate,,3173,10116.0,,8030,CHEMBL618453,Amount of urine output was measured in rat at a dose of 1 mg/kg/po,,1,1088.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Urine,A,,50597,Intermediate,,3173,10116.0,,8031,CHEMBL618454,Amount of urine output was measured in rat at a dose of 10 mg/kg/po,,1,1088.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Urine,A,,50597,Intermediate,,3173,10116.0,,8032,CHEMBL618455,Amount of urine output was measured in rat at a dose of 10 mg/kg/po; NT-Not tested,,1,1088.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,4257,10116.0,,8033,CHEMBL618456,Volume of distribution was determined in rat after a 3 mg/kg of iv dose,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6011,10116.0,,8034,CHEMBL618457,Compound distribution in rat tissues was determined,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5472,10116.0,,8035,CHEMBL618458,Volume of distribution was evaluated in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14346,10116.0,,8036,CHEMBL618459,Area under the curve was determined after intravenous administration of 2.7 mg/kg in male Dawley rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14346,10116.0,,8037,CHEMBL876733,Area under the curve was determined after intravenous administration of 2.8 mg/kg in male Dawley rats,,1,
,,Canis lupus familiaris,N,1,,,BAO_0000218,,A,,50588,Intermediate,,14346,9615.0,,8038,CHEMBL618460,Area under the curve was determined after intravenous administration of 4.9 mg/kg in male Beagle dogs,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14346,10116.0,,8039,CHEMBL618461,Area under the curve was determined after intravenous administration of 5.1 mg/kg in male Dawley rats,,1,
,,,U,1,,,BAO_0000019,,A,,22224,Autocuration,,15469,,,8040,CHEMBL618462,Area under the curve was determined after oral administration (300 uM/Kg),,0,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14346,10116.0,,8041,CHEMBL618463,Area under the curve was determined after peroral administration of 5.0 mg/kg in male Dawley rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14346,10116.0,,8042,CHEMBL618464,Area under the curve was determined after peroral administration of 5.1 mg/kg in mal Dawley rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14346,10116.0,,8043,CHEMBL618465,Area under the curve was determined after peroral administration of 5.1 mg/kg in male Dawley rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14346,10116.0,,8044,CHEMBL618466,Area under the curve was determined after peroral administration of 5.2 mg/kg in mal Dawley rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14346,10116.0,,8045,CHEMBL618467,Area under the curve was determined after peroral administration of 5.2 mg/kg in male Dawley rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15372,10116.0,,8046,CHEMBL618468,Area under the curve was determined for the compound after iv dose of 4.97 mg/kg in rats,,1,
,,Canis lupus familiaris,N,1,,,BAO_0000218,Plasma,A,,50588,Intermediate,,12935,9615.0,,8047,CHEMBL618469,Area under the plasma concentration was determined in fasted Beagle dogs after peroral administration of 100 mg/kg,,1,1969.0
,,Canis lupus familiaris,N,1,,,BAO_0000218,Plasma,A,,50588,Intermediate,,12935,9615.0,,8048,CHEMBL618470,Area under the plasma concentration was determined in fasted Beagle dogs after peroral administration of 20 mg/kg,,1,1969.0
,,,U,1,,,BAO_0000218,,A,,22224,Autocuration,,14813,,,8049,CHEMBL618471,Plasma drug AUC in rat (PO dose),,0,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,15792,10090.0,,8050,CHEMBL618472,Area under the tumor growth curve (AUC) in the B-6 Melanoma Model in C57/b1 mice at the dose of 1 mg/kg.,,1,
,,,U,1,,,BAO_0000218,,A,,22224,Autocuration,,3579,,,8051,CHEMBL618473,Area under was determined at a dose of 30 mg/kg,,0,
,,Mustela putorius furo,N,1,,,BAO_0000218,,A,,50506,Intermediate,,12487,9669.0,,8052,CHEMBL621699,Average area under curve for compound at 1 mg/kg dose intravenous administration to Ferret,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,12487,10116.0,,8053,CHEMBL621700,Average area under curve for the compound at 10 mg/kg dose after intraduodenal administration to rat,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,12487,10116.0,,8054,CHEMBL621701,Average area under curve for the compound at 1 mg/kg dose after intravenous administration to rat,,1,
,,Mustela putorius furo,N,1,,,BAO_0000218,,A,,50506,Intermediate,,12487,9669.0,,8055,CHEMBL621702,Average area under curve at 10 mg/kg dose after intraduodenal administration to Ferret,,1,
,,Canis lupus familiaris,N,1,,,BAO_0000218,,A,,50588,Intermediate,,12487,9615.0,,8056,CHEMBL621703,Average area under curve at 10 mg/kg intraduodenal administration to salt depleted dog,,1,
,,Canis lupus familiaris,N,1,,,BAO_0000218,,A,,50588,Intermediate,,12487,9615.0,,8057,CHEMBL621704,Average area under curve at 1 mg/kg intravenous administration to salt depleted dog,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,12902,10116.0,,8058,CHEMBL624259,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 1.0(pmol/g/h)",,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,12902,10116.0,,8059,CHEMBL624260,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 2.0(pmol/g/h)",,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,12902,10116.0,,8060,CHEMBL624430,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 4.0(pmol/g/h)",,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,12902,10116.0,,8061,CHEMBL624431,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 5.0(pmol/g/h)",,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,12902,10116.0,,8062,CHEMBL624432,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 54.0(pmol/g/h)",,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,12902,10116.0,,8063,CHEMBL624433,"Bioavailability in male Sprague-Dawley rats, after the po administration at a dose of 10.0(pmol/g/h)",,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,12902,10116.0,,8064,CHEMBL624434,"Bioavailability in male Sprague-Dawley rats, after the po administration at a dose of 20.0(pmol/g/h)",,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,12902,10116.0,,8065,CHEMBL624435,"Bioavailability in male Sprague-Dawley rats, after the po administration at a dose of 40.0(pmol/g/h)",,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,12745,10090.0,,8066,CHEMBL618570,Bioavailability in mouse brain after intravenous administration of 105.1 mg/kg of dose,,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,12745,10090.0,,8067,CHEMBL618571,Bioavailability in mouse brain after intravenous administration of equimolar doses of ( 2'F-ara-ddI + 2'F-ara-ddP),,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,12745,10090.0,,8068,CHEMBL618572,Bioavailability in mouse brain after oral administration of 100 mg/kg of dose,,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,12745,10090.0,,8069,CHEMBL618573,Bioavailability in mouse brain after oral administration of equimolar doses of ( 2'F-ara-ddI + 2'F-ara-ddP),,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,12745,10090.0,,8070,CHEMBL619267,Bioavailability in mouse serum after intravenous administration of 105.1 mg/kg of dose,,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,12745,10090.0,,8071,CHEMBL619431,Bioavailability in mouse serum after intravenous administration of equimolar doses of ( 2'F-ara-ddI + 2'F-ara-ddP),,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,12745,10090.0,,8072,CHEMBL619432,Bioavailability in mouse serum after oral administration of 100 mg/kg of dose,,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,12745,10090.0,,8073,CHEMBL619433,Bioavailability in mouse serum after oral administration of equimolar doses of ( 2'F-ara-ddI + 2'F-ara-ddP),,1,
,,,U,1,,,BAO_0000218,Plasma,A,,22224,Autocuration,,13298,,,8074,CHEMBL619434,AUC in mice after oral dose (50 mg/kg),,0,1969.0
,,Mus musculus,N,1,,,BAO_0000218,Serum,A,,50594,Intermediate,,12226,10090.0,,8075,CHEMBL619435,Blood level after oral administration in mice (50 mg/kg) was determined by bioassay procedure and represent total activity present in the serum,,1,1977.0
