ASSI,T,ASSTAI,VARII,CONFISC,RELATT,CHEI,SI,DOI,ASSORGA,ASTY,ASSUBCELFRAC,CURAB,SASI,CI,BAFO,TISI
1598,106,,,8,H,CHEMBL883243,1,2391,,B,,Autocuration,,,BAO_0000357,
1599,106,,,8,H,CHEMBL616625,1,2391,,F,,Autocuration,,,BAO_0000019,
1600,106,,,8,H,CHEMBL616626,1,14956,,F,,Expert,,449.0,BAO_0000219,
1601,106,,,8,H,CHEMBL616627,1,2598,,F,,Autocuration,,449.0,BAO_0000219,
1602,106,,,8,H,CHEMBL616628,1,2598,,F,,Autocuration,,449.0,BAO_0000219,
1603,106,,,8,H,CHEMBL616629,1,2598,,F,,Autocuration,,449.0,BAO_0000219,
1604,106,,,8,H,CHEMBL616630,1,2598,,F,,Autocuration,,449.0,BAO_0000219,
1605,106,,,8,H,CHEMBL616631,1,14956,,F,,Expert,,,BAO_0000019,
1606,106,,,8,H,CHEMBL616632,1,14956,,F,,Autocuration,,,BAO_0000019,
1607,106,9606.0,,9,D,CHEMBL616633,1,14214,Homo sapiens,B,,Expert,,,BAO_0000357,
1608,106,,,8,H,CHEMBL616634,1,3463,,B,,Expert,,449.0,BAO_0000219,
1609,106,,,8,H,CHEMBL616635,1,15331,,B,,Autocuration,,,BAO_0000357,
1610,106,9606.0,,9,D,CHEMBL885358,1,16146,Homo sapiens,B,,Expert,,,BAO_0000357,
1611,106,9606.0,,9,D,CHEMBL616636,1,14159,Homo sapiens,B,,Expert,,449.0,BAO_0000219,
1612,106,,,8,H,CHEMBL616637,1,14158,,B,,Expert,,449.0,BAO_0000219,
1613,106,,,8,H,CHEMBL616638,1,14159,,B,,Autocuration,,,BAO_0000357,
1614,106,,,8,H,CHEMBL616639,1,15250,,B,,Expert,,449.0,BAO_0000219,
1615,106,,,8,H,CHEMBL616640,1,15250,,B,,Expert,,449.0,BAO_0000219,
1616,106,,,8,H,CHEMBL616641,1,15331,,B,,Expert,,449.0,BAO_0000219,
1617,106,,,8,H,CHEMBL616642,1,15332,,B,,Expert,,449.0,BAO_0000219,
1618,106,,,8,H,CHEMBL616643,1,14956,,B,,Expert,,449.0,BAO_0000219,
1619,106,,,8,H,CHEMBL616644,1,3805,,B,,Autocuration,,,BAO_0000357,
1620,106,,,8,H,CHEMBL616645,1,14875,,B,,Autocuration,,,BAO_0000357,
1621,105,9986.0,,8,H,CHEMBL616646,1,14454,Oryctolagus cuniculus,F,,Autocuration,,,BAO_0000019,
1622,105,9986.0,,8,H,CHEMBL616647,1,14454,Oryctolagus cuniculus,F,,Expert,,,BAO_0000019,
1623,105,,,8,H,CHEMBL616509,1,16288,,B,,Autocuration,,,BAO_0000357,
1624,105,,,8,H,CHEMBL616510,1,16288,,B,,Autocuration,,,BAO_0000357,
1625,105,,,8,H,CHEMBL616511,1,16312,,B,,Autocuration,,,BAO_0000357,
1626,105,9913.0,,8,H,CHEMBL616512,1,1348,Bos taurus,B,,Expert,,,BAO_0000357,
1627,105,9913.0,,8,H,CHEMBL616513,1,5834,Bos taurus,B,,Autocuration,,,BAO_0000357,
1628,105,9913.0,,8,H,CHEMBL616514,1,13366,Bos taurus,B,,Autocuration,,,BAO_0000019,2435.0
1629,105,9913.0,,8,H,CHEMBL616515,1,1414,Bos taurus,B,,Expert,,,BAO_0000357,
1630,105,9913.0,,8,H,CHEMBL616516,1,14998,Bos taurus,B,,Autocuration,,,BAO_0000019,
1631,105,9913.0,,8,H,CHEMBL616517,1,11473,Bos taurus,B,,Autocuration,,,BAO_0000357,
1632,105,9913.0,,8,H,CHEMBL616518,1,11473,Bos taurus,B,,Autocuration,,,BAO_0000357,
1633,105,9913.0,,8,H,CHEMBL616519,1,10639,Bos taurus,B,,Autocuration,,,BAO_0000357,
1634,105,9913.0,,8,H,CHEMBL616520,1,10639,Bos taurus,B,,Autocuration,,,BAO_0000357,
1635,105,9913.0,,8,H,CHEMBL616521,1,1375,Bos taurus,B,,Autocuration,,,BAO_0000357,
1636,105,9913.0,,8,H,CHEMBL616522,1,1375,Bos taurus,B,,Autocuration,,,BAO_0000357,
1637,105,9913.0,,8,H,CHEMBL884531,1,16532,Bos taurus,B,,Autocuration,,,BAO_0000357,
1638,105,9913.0,,8,H,CHEMBL616523,1,11147,Bos taurus,B,,Autocuration,,,BAO_0000357,
1639,105,9913.0,,8,H,CHEMBL616731,1,13366,Bos taurus,B,,Autocuration,,,BAO_0000019,2435.0
1640,105,9913.0,,8,H,CHEMBL616732,1,10444,Bos taurus,B,,Autocuration,,,BAO_0000019,
1641,105,9913.0,,8,H,CHEMBL616733,1,16532,Bos taurus,B,,Autocuration,,,BAO_0000357,
1642,105,9913.0,,8,H,CHEMBL616734,1,16532,Bos taurus,B,,Autocuration,,,BAO_0000357,
1643,105,9913.0,,8,H,CHEMBL616735,1,12827,Bos taurus,B,,Autocuration,,,BAO_0000249,
1644,105,9913.0,,8,H,CHEMBL616736,1,12827,Bos taurus,B,,Autocuration,,,BAO_0000249,
1645,105,9913.0,,8,H,CHEMBL616737,1,12919,Bos taurus,F,,Expert,,,BAO_0000019,
1646,105,9913.0,,8,H,CHEMBL616738,1,14025,Bos taurus,B,,Autocuration,,,BAO_0000019,
1647,105,9913.0,,8,H,CHEMBL616739,1,12919,Bos taurus,F,,Expert,,,BAO_0000019,
1648,105,9913.0,,8,H,CHEMBL616740,1,12919,Bos taurus,F,,Expert,,,BAO_0000019,
1649,105,9913.0,,8,H,CHEMBL616741,1,12919,Bos taurus,F,,Expert,,,BAO_0000019,
1650,105,9593.0,,8,H,CHEMBL616742,1,14447,Gorilla gorilla,B,,Autocuration,,722.0,BAO_0000219,
1651,105570,10141.0,,9,D,CHEMBL616743,1,1375,Cavia porcellus,B,,Intermediate,,,BAO_0000019,
1652,105570,10141.0,,9,D,CHEMBL616744,1,1375,Cavia porcellus,B,,Intermediate,,,BAO_0000019,
1653,105570,10141.0,,9,D,CHEMBL616745,1,12409,Cavia porcellus,F,,Intermediate,,,BAO_0000019,
1654,105570,10141.0,,9,D,CHEMBL616746,1,12409,Cavia porcellus,F,,Intermediate,,,BAO_0000019,
1655,105570,10141.0,,9,D,CHEMBL616747,1,12409,Cavia porcellus,F,,Intermediate,,,BAO_0000019,
1656,105570,10141.0,,9,D,CHEMBL616748,1,12409,Cavia porcellus,F,,Intermediate,,,BAO_0000019,
1657,105570,10141.0,,9,D,CHEMBL616648,1,12409,Cavia porcellus,F,,Intermediate,,,BAO_0000019,
1658,105570,10141.0,,9,D,CHEMBL616649,1,11574,Cavia porcellus,B,,Intermediate,,,BAO_0000357,
1659,105570,10141.0,,9,D,CHEMBL616650,1,1558,Cavia porcellus,B,,Intermediate,,,BAO_0000357,
1660,105570,10141.0,,9,D,CHEMBL616651,1,12409,Cavia porcellus,F,,Intermediate,,,BAO_0000218,
1661,105570,10141.0,,9,D,CHEMBL616652,1,12409,Cavia porcellus,F,,Intermediate,,,BAO_0000218,
1662,105570,10141.0,,9,D,CHEMBL616653,1,12409,Cavia porcellus,F,,Intermediate,,,BAO_0000218,
1663,105570,10141.0,,9,D,CHEMBL616654,1,12409,Cavia porcellus,F,,Intermediate,,,BAO_0000218,
1664,105570,10141.0,,9,D,CHEMBL616655,1,12253,Cavia porcellus,B,,Intermediate,,,BAO_0000019,
1665,105570,10141.0,,9,D,CHEMBL616656,1,12936,Cavia porcellus,B,,Intermediate,,,BAO_0000357,
1666,105,10141.0,,8,H,CHEMBL616657,1,13181,Cavia porcellus,B,,Autocuration,,,BAO_0000019,
1667,105570,10141.0,,9,D,CHEMBL616658,1,12409,Cavia porcellus,B,,Intermediate,,,BAO_0000357,2435.0
1668,105570,10141.0,,9,D,CHEMBL616659,1,10639,Cavia porcellus,B,,Intermediate,,,BAO_0000357,
1669,51,,,8,H,CHEMBL616660,1,5254,,B,,Autocuration,,,BAO_0000357,
1670,106,,,8,H,CHEMBL616661,1,13051,,B,,Autocuration,,,BAO_0000357,
1671,105,,,8,H,CHEMBL616662,1,3463,,F,,Expert,,,BAO_0000019,
1672,105,,,8,H,CHEMBL616663,1,15315,,F,,Autocuration,,,BAO_0000019,
1673,105,,,8,H,CHEMBL616664,1,6011,,F,,Autocuration,,,BAO_0000019,
1674,105,9606.0,,9,D,CHEMBL881820,1,14159,Homo sapiens,F,,Expert,,449.0,BAO_0000219,
1675,105,,,8,H,CHEMBL616665,1,14159,,F,,Autocuration,,449.0,BAO_0000219,
1676,105,,,8,H,CHEMBL616666,1,15250,,B,,Expert,,449.0,BAO_0000219,
1677,105,,,8,H,CHEMBL616667,1,15250,,B,,Autocuration,,449.0,BAO_0000219,
1678,105,,,8,H,CHEMBL616668,1,15331,,F,,Expert,,449.0,BAO_0000219,
1679,105,9606.0,,9,D,CHEMBL616669,1,15332,Homo sapiens,F,,Expert,,449.0,BAO_0000219,
1680,105,,,8,H,CHEMBL617040,1,15332,,F,,Expert,,449.0,BAO_0000219,
1681,105,,,8,H,CHEMBL617041,1,3294,,F,,Autocuration,,449.0,BAO_0000219,
1682,105,,,8,H,CHEMBL617042,1,14158,,F,,Expert,,449.0,BAO_0000219,
1683,105,,,8,H,CHEMBL617043,1,14956,,F,,Expert,,449.0,BAO_0000219,
1684,105,,,8,H,CHEMBL617044,1,12469,,F,,Autocuration,,,BAO_0000019,
1685,105,,,8,H,CHEMBL617045,1,3463,,F,,Expert,,449.0,BAO_0000219,
1686,105,9606.0,,9,D,CHEMBL617046,1,15250,Homo sapiens,F,,Expert,,449.0,BAO_0000219,
1687,105,9606.0,,9,D,CHEMBL617047,1,15250,Homo sapiens,F,,Expert,,449.0,BAO_0000219,
1688,105,,,8,H,CHEMBL617048,1,14956,,F,,Expert,,,BAO_0000019,
1689,105,,,8,H,CHEMBL616897,1,14159,,F,,Autocuration,,,BAO_0000019,
1690,105,9606.0,,9,D,CHEMBL616898,1,14159,Homo sapiens,F,,Expert,,,BAO_0000019,
1691,105,9606.0,,9,D,CHEMBL858201,1,14499,Homo sapiens,F,,Expert,,449.0,BAO_0000219,
1692,105,,,8,H,CHEMBL616899,1,15315,,F,,Autocuration,,,BAO_0000019,
1693,105,,,8,H,CHEMBL616900,1,3294,,B,,Autocuration,,,BAO_0000219,
1694,105,,,8,H,CHEMBL616901,1,3463,,B,,Expert,,449.0,BAO_0000219,
1695,105,,,8,H,CHEMBL616902,1,15331,,B,,Autocuration,,,BAO_0000357,
1696,105,9606.0,,9,D,CHEMBL616903,1,14159,Homo sapiens,B,,Expert,,449.0,BAO_0000219,
1697,105,,,8,H,CHEMBL616904,1,14158,,B,,Expert,,449.0,BAO_0000219,
1698,105,,,8,H,CHEMBL616905,1,14159,,B,,Autocuration,,,BAO_0000357,
1699,105,,,8,H,CHEMBL616906,1,15250,,B,,Expert,,449.0,BAO_0000219,
1700,105,,,8,H,CHEMBL616907,1,15250,,B,,Expert,,449.0,BAO_0000219,
1701,105,,,8,H,CHEMBL616908,1,15331,,B,,Expert,,449.0,BAO_0000219,
1702,105,9606.0,,9,D,CHEMBL616909,1,15332,Homo sapiens,B,,Expert,,449.0,BAO_0000219,
1703,105,9606.0,,9,D,CHEMBL616910,1,14499,Homo sapiens,B,,Expert,,449.0,BAO_0000219,
1704,105,,,8,H,CHEMBL616911,1,15332,,B,,Expert,,449.0,BAO_0000219,
1705,105,,,8,H,CHEMBL616912,1,14956,,B,,Expert,,449.0,BAO_0000219,
1706,105,,,8,H,CHEMBL616913,1,3805,,B,,Autocuration,,,BAO_0000357,
1707,105,9606.0,,9,D,CHEMBL616914,1,6011,Homo sapiens,B,,Expert,,449.0,BAO_0000219,
1708,105,,,8,H,CHEMBL616915,1,16190,,B,,Autocuration,,449.0,BAO_0000219,
1709,105,,,8,H,CHEMBL616916,1,14165,,B,,Autocuration,,,BAO_0000019,
1710,105,9606.0,,9,D,CHEMBL616917,1,4234,Homo sapiens,B,,Expert,,,BAO_0000357,
1711,105,,,8,H,CHEMBL616918,1,15527,,B,,Autocuration,,,BAO_0000357,
1712,105,,,8,H,CHEMBL616919,1,6328,,B,,Expert,,,BAO_0000219,
1713,105,,,8,H,CHEMBL616920,1,16209,,B,,Autocuration,,,BAO_0000357,
1714,105,,,8,H,CHEMBL872914,1,14770,,B,,Autocuration,,,BAO_0000357,
1715,105,,,8,H,CHEMBL616921,1,2598,,B,,Autocuration,,,BAO_0000357,
1716,105,,,8,H,CHEMBL616922,1,6897,,B,,Expert,,,BAO_0000357,
1717,105,,,8,H,CHEMBL616923,1,6013,,B,,Autocuration,,,BAO_0000357,
1718,105,,,8,H,CHEMBL616924,1,5843,,B,,Expert,,,BAO_0000357,
1719,105,,,8,H,CHEMBL875909,1,14454,,B,,Expert,,,BAO_0000357,
1720,105,,,8,H,CHEMBL616925,1,14454,,B,,Autocuration,,,BAO_0000357,
1721,105,,,8,H,CHEMBL616926,1,14454,,B,,Autocuration,,,BAO_0000357,
1722,105,,,8,H,CHEMBL616927,1,15818,,B,,Autocuration,,,BAO_0000357,
1723,105,,,8,H,CHEMBL616928,1,13729,,F,,Expert,,485.0,BAO_0000219,
1724,105,9606.0,,9,D,CHEMBL616929,1,6011,Homo sapiens,B,,Expert,,,BAO_0000219,
1725,105,9606.0,,9,D,CHEMBL616930,1,4234,Homo sapiens,B,,Expert,,,BAO_0000357,
1726,105,,,8,H,CHEMBL616931,1,17085,,B,,Expert,,,BAO_0000019,
1727,105,,,8,H,CHEMBL616932,1,3025,,B,,Autocuration,,,BAO_0000357,
1728,105,,,8,H,CHEMBL616933,1,15315,,B,,Expert,,,BAO_0000357,
1729,105,9606.0,,9,D,CHEMBL616934,1,14214,Homo sapiens,B,,Expert,,,BAO_0000219,
1730,105,9606.0,,9,D,CHEMBL616935,1,3804,Homo sapiens,B,,Expert,,,BAO_0000357,
1731,105,,,8,H,CHEMBL616936,1,16700,,B,,Autocuration,,,BAO_0000357,
1732,105,9606.0,,9,D,CHEMBL616937,1,2391,Homo sapiens,B,,Expert,,,BAO_0000357,
1733,105,9606.0,,9,D,CHEMBL616938,1,4175,Homo sapiens,B,,Expert,,,BAO_0000357,
1734,105,,,8,H,CHEMBL616939,1,17085,,B,,Autocuration,,,BAO_0000019,
1735,105,,,8,H,CHEMBL616940,1,17085,,B,,Expert,,,BAO_0000019,
1736,105,9606.0,,9,D,CHEMBL616941,1,15926,Homo sapiens,B,,Expert,,,BAO_0000357,
1737,105,,,8,H,CHEMBL616942,1,16312,,B,,Autocuration,,485.0,BAO_0000219,
1738,105,,,8,H,CHEMBL616943,1,16312,,B,,Autocuration,,485.0,BAO_0000219,
1739,104802,,,4,H,CHEMBL616944,1,14956,,B,,Autocuration,,449.0,BAO_0000219,
1740,105,,,8,H,CHEMBL616945,1,3294,,F,,Autocuration,,,BAO_0000019,
1741,105,,,8,H,CHEMBL616946,1,12861,,B,,Autocuration,,,BAO_0000357,
1742,105,,,8,H,CHEMBL616947,1,12861,,B,,Autocuration,,,BAO_0000019,
1743,105,,,8,H,CHEMBL616948,1,16312,,B,,Expert,,485.0,BAO_0000219,
1744,105,,,8,H,CHEMBL616851,1,5104,,B,,Autocuration,,,BAO_0000357,
1745,105,,,8,H,CHEMBL616852,1,5105,,B,,Autocuration,,,BAO_0000357,
1746,105,,,8,H,CHEMBL616853,1,14499,,B,,Autocuration,,,BAO_0000357,
1747,105,9606.0,,9,D,CHEMBL616854,1,15926,Homo sapiens,B,,Expert,,,BAO_0000357,
1748,105,9606.0,,9,D,CHEMBL616855,1,4540,Homo sapiens,B,,Expert,,449.0,BAO_0000219,
1749,105,,,8,H,CHEMBL616856,1,15779,,B,,Autocuration,,449.0,BAO_0000219,
1750,105,,,8,H,CHEMBL616857,1,15779,,B,,Autocuration,,449.0,BAO_0000219,
1751,105,,,8,H,CHEMBL616858,1,6166,,B,,Autocuration,,,BAO_0000357,
1752,105,,,8,H,CHEMBL616859,1,15779,,B,,Autocuration,,449.0,BAO_0000219,
1753,105,,,8,H,CHEMBL616860,1,15779,,B,,Autocuration,,449.0,BAO_0000219,
1754,105,,,8,H,CHEMBL616861,1,17451,,B,,Autocuration,,722.0,BAO_0000219,
1755,105,,,8,H,CHEMBL616541,1,17451,,B,,Autocuration,,722.0,BAO_0000219,
1756,105,,,8,H,CHEMBL616542,1,17451,,B,,Autocuration,,722.0,BAO_0000219,
1757,105,,,8,H,CHEMBL616543,1,4199,,B,,Autocuration,,449.0,BAO_0000219,
1758,105,9606.0,,9,D,CHEMBL616544,1,14875,Homo sapiens,B,,Expert,,,BAO_0000357,
1759,105,,,8,H,CHEMBL616545,1,15146,,B,,Autocuration,,449.0,BAO_0000219,
1760,105,,,8,H,CHEMBL616546,1,5213,,B,,Autocuration,,,BAO_0000357,
1761,105,,,8,H,CHEMBL616547,1,14818,,B,,Autocuration,,449.0,BAO_0000219,
1762,105,,,8,H,CHEMBL616548,1,4829,,B,,Autocuration,,449.0,BAO_0000219,
1763,105,,,8,H,CHEMBL616549,1,14454,,F,,Expert,,,BAO_0000019,
1764,105,,,8,H,CHEMBL616550,1,14454,,F,,Expert,,,BAO_0000019,
1765,108,,,8,H,CHEMBL857066,1,5254,,B,,Autocuration,,,BAO_0000357,
1766,108,,,8,H,CHEMBL616551,1,5254,,B,,Autocuration,,,BAO_0000357,
1767,10577,,,8,H,CHEMBL616552,1,10639,,B,,Autocuration,,,BAO_0000357,
1768,10577,,,8,H,CHEMBL832876,1,10639,,F,,Autocuration,,,BAO_0000019,
1769,10577,,,8,H,CHEMBL616553,1,12352,,B,,Expert,,,BAO_0000019,
1770,10577,,,8,H,CHEMBL616554,1,9098,,B,,Autocuration,,,BAO_0000357,
1771,10577,,,8,H,CHEMBL616555,1,14430,,B,,Expert,,,BAO_0000019,
1772,10577,,,8,H,CHEMBL616556,1,13657,,B,,Expert,,,BAO_0000019,
1773,10577,,,8,H,CHEMBL616557,1,13657,,B,,Autocuration,,,BAO_0000019,
1774,10577,,,8,H,CHEMBL616558,1,15854,,B,,Expert,,,BAO_0000019,
1775,10577,10116.0,,9,D,CHEMBL616749,1,10639,Rattus norvegicus,B,,Expert,,,BAO_0000019,
1776,10577,,,8,H,CHEMBL616750,1,10025,,B,,Autocuration,,,BAO_0000357,
1777,10577,,,8,H,CHEMBL616751,1,10025,,B,,Autocuration,,,BAO_0000357,
1778,10577,,,8,H,CHEMBL616752,1,14286,,B,,Autocuration,,,BAO_0000249,
1779,10577,,,8,H,CHEMBL616753,1,3651,,B,,Autocuration,,,BAO_0000019,2435.0
1780,10577,10116.0,,9,D,CHEMBL616754,1,14178,Rattus norvegicus,B,,Expert,,,BAO_0000357,
1781,10577,,,8,H,CHEMBL616755,1,10639,,B,,Autocuration,,,BAO_0000019,
1782,10577,,,8,H,CHEMBL616756,1,13605,,B,,Autocuration,,,BAO_0000019,2435.0
1783,10577,,,8,H,CHEMBL616757,1,5834,,B,,Autocuration,,,BAO_0000019,2435.0
1784,10577,,,8,H,CHEMBL616758,1,10922,,B,,Autocuration,,,BAO_0000357,2435.0
1785,10577,,,8,H,CHEMBL616759,1,14286,,B,,Autocuration,,,BAO_0000249,
1786,10577,,,8,H,CHEMBL616760,1,11825,,B,,Autocuration,,,BAO_0000357,
1787,10577,,,8,H,CHEMBL616761,1,14826,,B,,Autocuration,,,BAO_0000019,2435.0
1788,10577,,,8,H,CHEMBL616762,1,9699,,B,,Autocuration,,,BAO_0000019,2435.0
1789,10577,,,8,H,CHEMBL616763,1,14423,,B,,Autocuration,,,BAO_0000019,
1790,10577,,,8,H,CHEMBL872909,1,10062,,B,,Expert,,,BAO_0000357,
1791,10577,,,8,H,CHEMBL616764,1,10062,,B,,Autocuration,,,BAO_0000357,
1792,10577,10116.0,,9,D,CHEMBL616765,1,12280,Rattus norvegicus,B,,Expert,,,BAO_0000357,
1793,10577,,,8,H,CHEMBL616766,1,15412,,B,,Autocuration,,,BAO_0000357,2435.0
1794,10577,,,8,H,CHEMBL616767,1,15412,,B,,Autocuration,,,BAO_0000357,2435.0
1795,10577,,,8,H,CHEMBL616768,1,10062,,B,,Autocuration,,,BAO_0000357,
1796,10577,,,8,H,CHEMBL616769,1,11147,,B,,Autocuration,,,BAO_0000357,
1797,10577,,,8,H,CHEMBL616770,1,9547,,B,,Autocuration,,,BAO_0000019,
1798,10577,,,8,H,CHEMBL616771,1,10444,,B,,Autocuration,,,BAO_0000019,
1799,10577,,,8,H,CHEMBL616772,1,12469,,B,,Autocuration,,,BAO_0000019,2435.0
1800,10577,,,8,H,CHEMBL616773,1,9098,,B,,Expert,,,BAO_0000019,
1801,10577,,,8,H,CHEMBL616774,1,9098,,B,,Autocuration,,,BAO_0000019,
1802,10577,,,8,H,CHEMBL616775,1,9699,,B,,Autocuration,,,BAO_0000357,
1803,10577,,,8,H,CHEMBL616776,1,10394,,B,,Autocuration,,,BAO_0000249,
1804,10577,,,8,H,CHEMBL616777,1,12092,,B,,Autocuration,,,BAO_0000357,
1805,10577,,,8,H,CHEMBL616778,1,16700,,B,,Autocuration,,,BAO_0000357,
1806,10577,10116.0,,9,D,CHEMBL616779,1,403,Rattus norvegicus,B,,Expert,,,BAO_0000249,
1807,10577,10116.0,,9,D,CHEMBL616780,1,12771,Rattus norvegicus,B,,Expert,,,BAO_0000357,
1808,10577,,,8,H,CHEMBL616781,1,11642,,B,,Autocuration,,,BAO_0000019,
1809,10577,,,8,H,CHEMBL616782,1,12953,,B,,Autocuration,,,BAO_0000357,
1810,10577,,,8,H,CHEMBL616783,1,12953,,B,,Autocuration,,,BAO_0000357,
1811,10577,,,8,H,CHEMBL616784,1,12953,,B,,Expert,,,BAO_0000019,2435.0
1812,10577,,,8,H,CHEMBL616785,1,12953,,B,,Autocuration,,,BAO_0000357,
1813,10577,,,8,H,CHEMBL857067,1,9737,,B,,Autocuration,,,BAO_0000249,955.0
1814,10577,,,8,H,CHEMBL616786,1,9737,,B,,Autocuration,,,BAO_0000019,
1815,10577,,,8,H,CHEMBL616787,1,9737,,B,,Autocuration,,,BAO_0000249,955.0
1816,10577,,,8,H,CHEMBL616788,1,12827,,B,,Autocuration,,,BAO_0000357,
1817,10577,,,8,H,CHEMBL616789,1,5033,,B,,Autocuration,,,BAO_0000357,
1818,10577,10116.0,,9,D,CHEMBL616790,1,9786,Rattus norvegicus,B,,Expert,,,BAO_0000019,
1819,10577,,,8,H,CHEMBL616791,1,13116,,B,,Expert,,,BAO_0000357,
1820,10577,,,8,H,CHEMBL616792,1,16429,,B,,Autocuration,,,BAO_0000019,
1821,10577,10116.0,,9,D,CHEMBL616793,1,12409,Rattus norvegicus,B,,Expert,,,BAO_0000249,
1822,10577,,,8,H,CHEMBL616794,1,15194,,B,,Autocuration,,,BAO_0000357,
1823,10577,,,8,H,CHEMBL616795,1,15194,,B,,Autocuration,,,BAO_0000357,
1824,104686,,,4,H,CHEMBL616796,1,5486,,B,,Autocuration,,,BAO_0000019,
1825,106,,,8,H,CHEMBL616797,1,4639,,B,,Autocuration,,,BAO_0000357,
1826,106,,,8,H,CHEMBL616798,1,386,,B,Brain membranes,Autocuration,,,BAO_0000249,
1827,106,,,8,H,CHEMBL616799,1,2474,,B,,Autocuration,,,BAO_0000357,
1828,106,,,8,H,CHEMBL616800,1,6011,,B,,Autocuration,,,BAO_0000357,
1829,106,,,8,H,CHEMBL616801,1,5014,,B,,Autocuration,,,BAO_0000357,
1830,106,,,8,H,CHEMBL616802,1,17515,,B,,Autocuration,,,BAO_0000357,
1831,106,,,8,H,CHEMBL616803,1,4373,,B,,Autocuration,,,BAO_0000357,
1832,106,,,8,H,CHEMBL857068,1,1633,,B,,Expert,,,BAO_0000357,
1833,106,,,8,H,CHEMBL616804,1,1633,,B,,Autocuration,,,BAO_0000357,
1834,106,,,8,H,CHEMBL616805,1,4373,,B,,Autocuration,,,BAO_0000357,
1835,106,,,8,H,CHEMBL616806,1,4687,,B,,Autocuration,,,BAO_0000357,
1836,106,,,8,H,CHEMBL616807,1,11574,,B,,Autocuration,,,BAO_0000357,
1837,106,,,8,H,CHEMBL616808,1,10321,,B,,Autocuration,,,BAO_0000357,
1838,106,,,8,H,CHEMBL616809,1,15527,,B,,Autocuration,,,BAO_0000357,
1839,106,,,8,H,CHEMBL616810,1,17200,,B,,Autocuration,,,BAO_0000357,
1840,104802,,,4,H,CHEMBL616811,1,14423,,B,,Autocuration,,,BAO_0000224,
1841,108,9913.0,,8,H,CHEMBL616812,1,5834,Bos taurus,B,,Autocuration,,,BAO_0000357,
1842,108,9823.0,,8,H,CHEMBL616813,1,11473,Sus scrofa,B,,Autocuration,,,BAO_0000357,
1843,108,9823.0,,8,H,CHEMBL616814,1,11473,Sus scrofa,B,,Autocuration,,,BAO_0000357,
1844,108,9823.0,,8,H,CHEMBL616815,1,10639,Sus scrofa,B,,Autocuration,,,BAO_0000357,
1845,108,9823.0,,8,H,CHEMBL616816,1,10639,Sus scrofa,B,,Autocuration,,,BAO_0000357,
1846,108,9823.0,,8,H,CHEMBL616817,1,14331,Sus scrofa,B,,Autocuration,,,BAO_0000357,
1847,108,9823.0,,8,H,CHEMBL616818,1,10796,Sus scrofa,B,,Autocuration,,,BAO_0000357,
1848,108,9823.0,,8,H,CHEMBL616819,1,9098,Sus scrofa,B,,Expert,,,BAO_0000357,
1849,108,9823.0,,8,H,CHEMBL616820,1,14331,Sus scrofa,B,,Expert,,,BAO_0000357,
1850,108,9823.0,,8,H,CHEMBL616821,1,11828,Sus scrofa,B,,Expert,,,BAO_0000019,
1851,108,9823.0,,8,H,CHEMBL616822,1,11866,Sus scrofa,B,,Autocuration,,,BAO_0000357,
1852,108,9986.0,,8,H,CHEMBL616823,1,13047,Oryctolagus cuniculus,B,,Autocuration,,,BAO_0000019,
1853,12689,10116.0,,9,D,CHEMBL616824,1,188,Rattus norvegicus,B,,Autocuration,,,BAO_0000357,
1854,12689,10116.0,,9,D,CHEMBL616825,1,11825,Rattus norvegicus,B,,Autocuration,,,BAO_0000357,
1855,12689,10116.0,,9,D,CHEMBL616826,1,11825,Rattus norvegicus,B,,Autocuration,,,BAO_0000357,
1856,12689,10116.0,,9,D,CHEMBL616827,1,11624,Rattus norvegicus,B,,Expert,,,BAO_0000019,
1857,12689,10116.0,,9,D,CHEMBL616828,1,11139,Rattus norvegicus,B,,Autocuration,,,BAO_0000357,
1858,12689,10116.0,,9,D,CHEMBL616829,1,11147,Rattus norvegicus,B,,Autocuration,,,BAO_0000357,
1859,12689,10116.0,,9,D,CHEMBL616830,1,10444,Rattus norvegicus,B,,Autocuration,,,BAO_0000019,
1860,12689,10116.0,,9,D,CHEMBL616831,1,11624,Rattus norvegicus,B,,Expert,,,BAO_0000357,
1861,12689,10116.0,,9,D,CHEMBL616832,1,11662,Rattus norvegicus,B,,Autocuration,,,BAO_0000019,
1862,12689,10116.0,,9,D,CHEMBL616833,1,11662,Rattus norvegicus,B,,Autocuration,,,BAO_0000019,
1863,12689,10116.0,,9,D,CHEMBL616834,1,11662,Rattus norvegicus,B,,Expert,,,BAO_0000019,
1864,12689,10116.0,,9,D,CHEMBL829595,1,11662,Rattus norvegicus,B,,Autocuration,,,BAO_0000019,
1865,12689,10116.0,,9,D,CHEMBL616835,1,9098,Rattus norvegicus,B,,Autocuration,,,BAO_0000357,
1866,12689,10116.0,,9,D,CHEMBL872910,1,10394,Rattus norvegicus,B,,Autocuration,,,BAO_0000249,
1867,12689,,,8,H,CHEMBL616836,1,11933,,B,,Expert,,,BAO_0000357,
1868,12689,10116.0,,9,D,CHEMBL616837,1,12092,Rattus norvegicus,B,,Autocuration,,,BAO_0000357,
1869,12689,10116.0,,9,D,CHEMBL616466,1,12253,Rattus norvegicus,B,,Autocuration,,,BAO_0000019,
