variant_id,relationship_type,assay_type,chembl_id,src_id,confidence_score,assay_tissue,bao_format,description,assay_organism,assay_category,cell_id,assay_cell_type,curated_by,src_assay_id,assay_strain,assay_test_type,assay_id,tissue_id,assay_tax_id,tid,doc_id,assay_subcellular_fraction
,N,A,CHEMBL618701,1,1,,BAO_0000218,Clearance was determined by iv administration (1.5 mg/kg) in fasted male Sprague-Dawley rats,Rattus norvegicus,,,,Intermediate,,,In vivo,8334,,10116.0,50597,6211,
,N,A,CHEMBL876600,1,1,Plasma,BAO_0000218,"Clearance in plasma calculated from Time-Course plasma concentrations in rats at a dose of 2.5 mg/kg, iv",Rattus norvegicus,,,,Intermediate,,,In vivo,8335,1969.0,10116.0,50597,12873,
,N,A,CHEMBL618702,1,1,,BAO_0000218,Clearance of compound in rat after 1 mg/kg i.v. administration,Rattus norvegicus,,,,Intermediate,,,In vivo,8336,,10116.0,50597,6570,
,N,A,CHEMBL618703,1,1,,BAO_0000218,Compound was evaluated for Hepatic clearance in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8337,,10116.0,50597,3341,
,N,A,CHEMBL618704,1,1,,BAO_0000218,In vivo clearance after 5 mg/kg dose,Rattus norvegicus,,,,Intermediate,,,In vivo,8338,,10116.0,50597,4891,
,N,A,CHEMBL618705,1,1,Plasma,BAO_0000218,Compound was tested for plasma clearance in rats,Rattus norvegicus,,,,Intermediate,,,In vivo,8339,1969.0,10116.0,50597,1094,
,N,A,CHEMBL618706,1,1,,BAO_0000218,Hepatic clearance after intravenous administration was evaluated in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8340,,10116.0,50597,2938,
,N,A,CHEMBL618707,1,1,,BAO_0000218,Lower clearance in rat (i.v.) at 0.5 mpk,Rattus norvegicus,,,,Intermediate,,,In vivo,8341,,10116.0,50597,17853,
,N,A,CHEMBL618708,1,1,Plasma,BAO_0000218,Pharmacokinetic parameter expressed as plasma clearance in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8342,1969.0,10116.0,50597,6049,
,N,A,CHEMBL618709,1,1,,BAO_0000218,Pharmacokinetic property (Clp) in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8343,,10116.0,50597,5789,
,N,A,CHEMBL618710,1,1,,BAO_0000218,Plasma clearance in Sprague-Dawley rats,Rattus norvegicus,,,,Intermediate,,,In vivo,8344,,10116.0,50597,4514,
,N,A,CHEMBL618711,1,1,,BAO_0000218,Plasma clearance (Clp) in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8345,,10116.0,50597,6448,
,N,A,CHEMBL618712,1,1,,BAO_0000218,Plasma clearance for the compound was measured in rat after an iv dose of 1 mg/kg,Rattus norvegicus,,,,Intermediate,,,In vivo,8346,,10116.0,50597,6062,
,N,A,CHEMBL618713,1,1,,BAO_0000218,Plasma clearance in fasted male Sprague dawely rats on administration of 0.5 mg/Kg i.v. of the compound,Rattus norvegicus,,,,Intermediate,,,In vivo,8347,,10116.0,50597,5710,
,N,A,CHEMBL618714,1,1,,BAO_0000218,Plasma clearance after intravenous administration of 1 mg/kg in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8348,,10116.0,50597,4709,
,N,A,CHEMBL618715,1,1,,BAO_0000218,Plasma clearance in rat after 5 mg/kg by oral and 1 mg/kg by intravenous administration,Rattus norvegicus,,,,Intermediate,,,In vivo,8349,,10116.0,50597,4521,
,N,A,CHEMBL618716,1,1,,BAO_0000218,Plasma clearance in rat was determined,Rattus norvegicus,,,,Intermediate,,,In vivo,8350,,10116.0,50597,1742,
,N,A,CHEMBL876601,1,1,,BAO_0000218,Plasma clearance measured in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8351,,10116.0,50597,6057,
,N,A,CHEMBL618717,1,1,,BAO_0000218,Plasma clearance was calculated in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8352,,10116.0,50597,6057,
,N,A,CHEMBL618718,1,1,,BAO_0000218,Plasma clearance in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8353,,10116.0,50597,5145,
,N,A,CHEMBL618719,1,1,,BAO_0000218,Plasma clearance in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8354,,10116.0,50597,5833,
,N,A,CHEMBL618720,1,1,,BAO_0000218,Plasma clearance in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8355,,10116.0,50597,6453,
,N,A,CHEMBL618721,1,1,,BAO_0000218,Plasma clearance in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8356,,10116.0,50597,6640,
,N,A,CHEMBL621477,1,1,,BAO_0000218,Plasma clearance in rats,Rattus norvegicus,,,,Intermediate,,,In vivo,8357,,10116.0,50597,6305,
,N,A,CHEMBL621478,1,1,,BAO_0000218,Plasma clearance in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8358,,10116.0,50597,6642,
,N,A,CHEMBL621479,1,1,,BAO_0000218,Plasma clearance was evaluated in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8359,,10116.0,50597,5472,
,N,A,CHEMBL621480,1,1,,BAO_0000218,Plasma clearance was evaluated in rat; Not tested,Rattus norvegicus,,,,Intermediate,,,In vivo,8360,,10116.0,50597,5472,
,N,A,CHEMBL621481,1,1,,BAO_0000218,Plasma clearance rate was determined for the compound in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8361,,10116.0,50597,5144,
,N,A,CHEMBL621482,1,1,,BAO_0000218,"Plasma clearance rate was determined in rats at 10mg/kg, p.o. dose; n/a: not applicable",Rattus norvegicus,,,,Intermediate,,,In vivo,8362,,10116.0,50597,6685,
,N,A,CHEMBL621483,1,1,,BAO_0000218,"Plasma clearance rate was determined in rats at 20 mg/kg, i.p. dose; n/a: not applicable",Rattus norvegicus,,,,Intermediate,,,In vivo,8363,,10116.0,50597,6685,
,N,A,CHEMBL621484,1,1,,BAO_0000218,"Plasma clearance rate was determined in rats at 2 mg/kg, i.v. dose",Rattus norvegicus,,,,Intermediate,,,In vivo,8364,,10116.0,50597,6685,
,N,A,CHEMBL621485,1,1,Heart,BAO_0000218,Biodistribution of [123I]-label in rat heart was reported at 24 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8365,948.0,10116.0,50597,13950,
,N,A,CHEMBL621486,1,1,Heart,BAO_0000218,Biodistribution of [123I]-label in rat heart was reported at 4 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8366,948.0,10116.0,50597,13950,
,N,A,CHEMBL621487,1,1,Intestine,BAO_0000218,Biodistribution of [123I]-label in rat intestine was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8367,160.0,10116.0,50597,13950,
,N,A,CHEMBL621488,1,1,Intestine,BAO_0000218,Biodistribution of [123I]-label in rat intestine was reported at 1 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8368,160.0,10116.0,50597,13950,
,N,A,CHEMBL621489,1,1,Intestine,BAO_0000218,Biodistribution of [123I]-label in rat intestine was reported at 2 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8369,160.0,10116.0,50597,13950,
,N,A,CHEMBL621490,1,1,Intestine,BAO_0000218,Biodistribution of [123I]-label in rat intestine was reported at 24 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8370,160.0,10116.0,50597,13950,
,N,A,CHEMBL621491,1,1,Intestine,BAO_0000218,Biodistribution of [123I]-label in rat intestine was reported at 4 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8371,160.0,10116.0,50597,13950,
,N,A,CHEMBL621492,1,1,Kidney,BAO_0000218,Biodistribution of [123I]-label in rat kidneys was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8372,2113.0,10116.0,50597,13950,
,N,A,CHEMBL621493,1,1,Kidney,BAO_0000218,Biodistribution of [123I]-label in rat kidneys was reported at 1 h post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8373,2113.0,10116.0,50597,13950,
,N,A,CHEMBL621494,1,1,Kidney,BAO_0000218,Biodistribution of [123I]-label in rat kidneys was reported at 2 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8374,2113.0,10116.0,50597,13950,
,N,A,CHEMBL621495,1,1,Kidney,BAO_0000218,Biodistribution of [123I]-label in rat kidneys was reported at 24 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8375,2113.0,10116.0,50597,13950,
,N,A,CHEMBL621496,1,1,Kidney,BAO_0000218,Biodistribution of [123I]-label in rat kidneys was reported at 4 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8376,2113.0,10116.0,50597,13950,
,N,A,CHEMBL621497,1,1,Liver,BAO_0000218,Biodistribution of [123I]-label in rat liver was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8377,2107.0,10116.0,50597,13950,
,N,A,CHEMBL621498,1,1,Liver,BAO_0000218,Biodistribution of [123I]-label in rat liver was reported at 1 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8378,2107.0,10116.0,50597,13950,
,N,A,CHEMBL621499,1,1,Liver,BAO_0000218,Biodistribution of [123I]-label in rat liver was reported at 2 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8379,2107.0,10116.0,50597,13950,
,N,A,CHEMBL618634,1,1,Liver,BAO_0000218,Biodistribution of [123I]-label in rat liver was reported at 24 h post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8380,2107.0,10116.0,50597,13950,
,N,A,CHEMBL618635,1,1,Liver,BAO_0000218,Biodistribution of [123I]-label in rat liver was reported at 4 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8381,2107.0,10116.0,50597,13950,
,N,A,CHEMBL618636,1,1,Lung,BAO_0000218,Biodistribution of [123I]-label in rat lung was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8382,2048.0,10116.0,50597,13950,
,N,A,CHEMBL619737,1,1,Lung,BAO_0000218,Biodistribution of [123I]-label in rat lung was reported at 1 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8383,2048.0,10116.0,50597,13950,
,N,A,CHEMBL619738,1,1,Lung,BAO_0000218,Biodistribution of [123I]-label in rat lung was reported at 2 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8384,2048.0,10116.0,50597,13950,
,N,A,CHEMBL624329,1,1,Lung,BAO_0000218,Biodistribution of [123I]-label in rat lung was reported at 24 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8385,2048.0,10116.0,50597,13950,
,N,A,CHEMBL624330,1,1,Lung,BAO_0000218,Biodistribution of [123I]-label in rat lung was reported at 4 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8386,2048.0,10116.0,50597,13950,
,N,A,CHEMBL624331,1,1,Muscle tissue,BAO_0000218,Biodistribution of [123I]-label in rat muscle was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8387,2385.0,10116.0,50597,13950,
,N,A,CHEMBL624332,1,1,Muscle tissue,BAO_0000218,Biodistribution of [123I]-label in rat muscle was reported at 1 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8388,2385.0,10116.0,50597,13950,
,N,A,CHEMBL624333,1,1,Muscle tissue,BAO_0000218,Biodistribution of [123I]-label in rat muscle was reported at 2 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8389,2385.0,10116.0,50597,13950,
,N,A,CHEMBL624334,1,1,Muscle tissue,BAO_0000218,Biodistribution of [123I]-label in rat muscle was reported at 24 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8390,2385.0,10116.0,50597,13950,
,N,A,CHEMBL624335,1,1,Muscle tissue,BAO_0000218,Biodistribution of [123I]-label in rat muscle was reported at 4 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8391,2385.0,10116.0,50597,13950,
,N,A,CHEMBL620016,1,1,Spleen,BAO_0000218,Biodistribution of [123I]-label in rat spleen was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8392,2106.0,10116.0,50597,13950,
,N,A,CHEMBL620169,1,1,Spleen,BAO_0000218,Biodistribution of [123I]-label in rat spleen was reported at 1 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8393,2106.0,10116.0,50597,13950,
,N,A,CHEMBL620170,1,1,Spleen,BAO_0000218,Biodistribution of [123I]-label in rat spleen was reported at 2 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8394,2106.0,10116.0,50597,13950,
,N,A,CHEMBL620171,1,1,Spleen,BAO_0000218,Biodistribution of [123I]-label in rat spleen was reported at 24 h post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8395,2106.0,10116.0,50597,13950,
,N,A,CHEMBL620172,1,1,Spleen,BAO_0000218,Biodistribution of [123I]-label in rat spleen was reported at 4 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8396,2106.0,10116.0,50597,13950,
,N,A,CHEMBL620173,1,1,Stomach,BAO_0000218,Biodistribution of [123I]-label in rat stomach was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8397,945.0,10116.0,50597,13950,
,N,A,CHEMBL620174,1,1,Stomach,BAO_0000218,Biodistribution of [123I]-label in rat stomach was reported at 1 h post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8398,945.0,10116.0,50597,13950,
,N,A,CHEMBL620175,1,1,Stomach,BAO_0000218,Biodistribution of [123I]-label in rat stomach was reported at 2 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8399,945.0,10116.0,50597,13950,
,N,A,CHEMBL620176,1,1,Stomach,BAO_0000218,Biodistribution of [123I]-label in rat stomach was reported at 24 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8400,945.0,10116.0,50597,13950,
,N,A,CHEMBL620177,1,1,Stomach,BAO_0000218,Biodistribution of [123I]-label in rat stomach was reported at 4 hr post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,In vivo,8401,945.0,10116.0,50597,13950,
,N,A,CHEMBL620178,1,1,Cerebellum,BAO_0000218,Distribution of [123I]-label in rat brain (cerebellum) was reported at 20 min post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,,8402,2037.0,10116.0,50597,13950,
,N,A,CHEMBL620179,1,1,Cerebellum,BAO_0000218,Distribution of [123I]-label in rat brain (cerebellum) was reported at 60 min post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,,8403,2037.0,10116.0,50597,13950,
,N,A,CHEMBL620180,1,1,,BAO_0000218,Distribution of [123I]-label in rat brain (diencephalon) was reported at 20 min post injection. Value shown is %ID/g of tissue,Rattus norvegicus,,,,Intermediate,,,,8404,,10116.0,50597,13950,
,N,A,CHEMBL620181,1,1,,BAO_0000218,Volume of distribution of compound in rat after 1 mg/kg i.v. administration,Rattus norvegicus,,,,Intermediate,,,In vivo,8405,,10116.0,50597,6570,
,N,A,CHEMBL620182,1,1,,BAO_0000218,Volume of distribution of compound in rats after intravenous administration,Rattus norvegicus,,,,Intermediate,,,In vivo,8406,,10116.0,50597,6571,
,N,A,CHEMBL620183,1,1,,BAO_0000218,Volume of distribution in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8407,,10116.0,50597,6453,
,N,A,CHEMBL620184,1,1,,BAO_0000218,Volume of distribution was determined in rat at a dose of 1 mpk i.v.,Rattus norvegicus,,,,Intermediate,,,In vivo,8408,,10116.0,50597,6444,
,N,A,CHEMBL620185,1,1,,BAO_0000218,Volume of distribution was determined in rat at a dose of 1 mpk i.v.; ND means not determined,Rattus norvegicus,,,,Intermediate,,,In vivo,8409,,10116.0,50597,6444,
,N,A,CHEMBL620186,1,1,,BAO_0000218,Volume of distribution was determined in rat at a dose of 1 mpk i.v.; ND=not determined,Rattus norvegicus,,,,Intermediate,,,In vivo,8410,,10116.0,50597,6444,
,N,A,CHEMBL620187,1,1,,BAO_0000218,Volume of distribution was determined in Dawley rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8411,,10116.0,50597,5353,
,N,A,CHEMBL620188,1,1,,BAO_0000218,Volume of distribution was reported after oral administration at a dose of 2 mg/kg in Sprague-Dawley rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8412,,10116.0,50597,5334,
,N,A,CHEMBL620189,1,1,,BAO_0000218,Volume of distribution was reported in Sprague-Dawley rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8413,,10116.0,50597,5334,
,N,A,CHEMBL620190,1,1,,BAO_0000218,Volumes of distribution in rat after peroral administration,Rattus norvegicus,,,,Intermediate,,,In vivo,8414,,10116.0,50597,6641,
,N,A,CHEMBL620191,1,1,,BAO_0000218,Volumes of distribution in rat after po administration,Rattus norvegicus,,,,Intermediate,,,In vivo,8415,,10116.0,50597,6641,
,N,A,CHEMBL620192,1,1,,BAO_0000218,Volumes of distribution in rat after po administration; Not determined,Rattus norvegicus,,,,Intermediate,,,In vivo,8416,,10116.0,50597,6641,
,N,A,CHEMBL620193,1,1,,BAO_0000218,Pharmacokinetic property (Volume) in rat i.v.,Rattus norvegicus,,,,Intermediate,,,In vivo,8417,,10116.0,50597,5676,
,N,A,CHEMBL620194,1,1,,BAO_0000218,Apparent volume of distribution when 3 mg/Kg dose was administered intravenously,Rattus norvegicus,,,,Intermediate,,,In vivo,8418,,10116.0,50597,6410,
,N,A,CHEMBL876730,1,1,,BAO_0000218,"Volume distribution in fischer rats at 5 mg/kg dose, administered intravenously",Rattus norvegicus,,,,Intermediate,,,In vivo,8419,,10116.0,50597,17670,
,N,A,CHEMBL620195,1,1,,BAO_0000218,Volume distribution in rat after oral administration at 10 mg/kg,Rattus norvegicus,,,,Intermediate,,,In vivo,8420,,10116.0,50597,6495,
,N,A,CHEMBL620196,1,1,,BAO_0000218,Evaluated for Volume of distribution after iv administration of 5 mg/kg to male Sprague-Dawley rats,Rattus norvegicus,,,,Intermediate,,,In vivo,8421,,10116.0,50597,5408,
,N,A,CHEMBL620197,1,1,,BAO_0000218,Tested for volume of distribution after intravenous administration to Sprague-Dawley rat at dosage of 0.2 mg/kg,Rattus norvegicus,,,,Intermediate,,,In vivo,8422,,10116.0,50597,4883,
,N,A,CHEMBL620198,1,1,,BAO_0000218,Volume of distribution after oral administration of 6 mg/kg of dose in rats was determined,Rattus norvegicus,,,,Intermediate,,,In vivo,8423,,10116.0,50597,6647,
,N,A,CHEMBL620199,1,1,,BAO_0000218,Volume of distribution in rats,Rattus norvegicus,,,,Intermediate,,,In vivo,8424,,10116.0,50597,6495,
,N,A,CHEMBL620200,1,1,,BAO_0000218,Compound was evaluated for volume of distribution (steady state) after treatment with iv dose of 1 mgkg to female wistar rats,Rattus norvegicus,,,,Intermediate,,,In vivo,8425,,10116.0,50597,2661,
,N,A,CHEMBL620201,1,1,,BAO_0000218,Compound was evaluated for volume of distribution (steady state) after treatment with iv dose of 1 mgkg to male wistar rats,Rattus norvegicus,,,,Intermediate,,,In vivo,8426,,10116.0,50597,2661,
,N,A,CHEMBL620202,1,1,,BAO_0000218,In vivo Volume distribution (Vss) was determined after intravenous administration of compound (9.13+/-0.85 mg/kg) in male Sprague-Dawley rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8427,,10116.0,50597,5974,
,N,A,CHEMBL620203,1,1,,BAO_0000218,In vivo Volume distribution (Vss) was determined after peroral administration of compound (158.5+/-2 mg/kg) in male Sprague-Dawley rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8428,,10116.0,50597,5974,
,N,A,CHEMBL620204,1,1,,BAO_0000218,In vivo Volume distribution (Vss) was determined after peroral administration of compound (19.01+/-0.31 mg/kg) in male Sprague-Dawley rat;no value,Rattus norvegicus,,,,Intermediate,,,In vivo,8429,,10116.0,50597,5974,
,N,A,CHEMBL620205,1,1,,BAO_0000218,In vivo Volume distribution (Vss) was determined after peroral administration of compound (76.4+/-2.6 mg/kg) in male Sprague-Dawley rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8430,,10116.0,50597,5974,
,N,A,CHEMBL624664,1,1,,BAO_0000218,Pharmacokinetic parameter (Vss) in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8431,,10116.0,50597,5960,
,N,A,CHEMBL624665,1,1,,BAO_0000218,Pharmacokinetic property (Volume) in rat i.v.,Rattus norvegicus,,,,Intermediate,,,In vivo,8432,,10116.0,50597,5676,
,N,A,CHEMBL624666,1,1,,BAO_0000218,Pharmacokinetic property (Vss) in rat,Rattus norvegicus,,,,Intermediate,,,,8433,,10116.0,50597,5948,
,N,A,CHEMBL624667,1,1,,BAO_0000218,Steady state volume distribution (Vss) of compound after 2 hr iv infusion of 8.4 mg/kg in three rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8434,,10116.0,50597,5979,
,N,A,CHEMBL624668,1,1,,BAO_0000218,Steady state volume distribution (Vss) of compound after iv administration was determined in Sprague-Dawley rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8435,,10116.0,50597,5978,
,N,A,CHEMBL624669,1,1,,BAO_0000218,Steady state volume distribution (Vss) of compound (10 mg/kg) after iv administration was determined in Sprague-Dawley rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8436,,10116.0,50597,5978,
,N,A,CHEMBL624670,1,1,,BAO_0000218,Steady state volume distribution (Vss) of compound(9.83 mg/kg) after iv administration was determined in Sprague-Dawley rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8437,,10116.0,50597,5978,
,N,A,CHEMBL624671,1,1,,BAO_0000218,Steady state volume distribution (Vss) of compound(9.84 mg/kg) after iv administration was determined in Sprague-Dawley rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8438,,10116.0,50597,5978,
,N,A,CHEMBL624672,1,1,,BAO_0000218,Steady state volume distribution in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8439,,10116.0,50597,6448,
,N,A,CHEMBL624673,1,1,Plasma,BAO_0000218,"Steady state volume of distribution calculated from Time-Course plasma concentrations in rats at a dose of 2.5 mg/kg, iv.",Rattus norvegicus,,,,Intermediate,,,In vivo,8440,1969.0,10116.0,50597,12873,
,N,A,CHEMBL624674,1,1,,BAO_0000218,Steady state volume of distribution determined in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8441,,10116.0,50597,4576,
,N,A,CHEMBL624675,1,1,,BAO_0000218,Steady-state volume of distribution was evaluated for the compound after i.v. administration at a dose of 5 mg/kg was measured in rats,Rattus norvegicus,,,,Intermediate,,,In vivo,8442,,10116.0,50597,17582,
,N,A,CHEMBL621728,1,1,,BAO_0000218,Tested for volume of distribution at steady state upon intravenous administration of 5.0 mg/Kg dose in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8443,,10116.0,50597,1466,
,N,A,CHEMBL621729,1,1,,BAO_0000218,Volume at steady state distribution by administering the compound intravenously at a dose of 1 mg/kg in male wistar rat was determined,Rattus norvegicus,,,,Intermediate,,,,8444,,10116.0,50597,5182,
,N,A,CHEMBL621730,1,1,,BAO_0000218,Volume at steady state distribution by administering the compound intravenously at a dose of 1 mg/kg in male wistar rat was determined; NC means not calculated,Rattus norvegicus,,,,Intermediate,,,,8445,,10116.0,50597,5182,
,N,A,CHEMBL621731,1,1,,BAO_0000218,Volume distribution in rat after administration of 2 mg/kg iv,Rattus norvegicus,,,,Intermediate,,,In vivo,8446,,10116.0,50597,6535,
,N,A,CHEMBL621732,1,1,,BAO_0000218,Volume distribution in rat after administration of 2 mg/kg iv,Rattus norvegicus,,,,Intermediate,,,In vivo,8447,,10116.0,50597,6535,
,N,A,CHEMBL621908,1,1,,BAO_0000218,Volume in steady state distribution value was determined,Rattus norvegicus,,,,Intermediate,,,In vivo,8448,,10116.0,50597,5041,
,N,A,CHEMBL875347,1,1,,BAO_0000218,Volume in steady state distribution value was determined; ND denotes no data,Rattus norvegicus,,,,Intermediate,,,In vivo,8449,,10116.0,50597,5041,
,N,A,CHEMBL621909,1,1,,BAO_0000218,Volume in steady state distribution value was determined; ND denotes not determined,Rattus norvegicus,,,,Intermediate,,,In vivo,8450,,10116.0,50597,5041,
,N,A,CHEMBL621910,1,1,,BAO_0000218,Volume of distribution at a steady state measured after intravenous bolus administration of 50 mg/kg of compound to rats,Rattus norvegicus,,,,Intermediate,,,In vivo,8451,,10116.0,50597,17065,
,N,A,CHEMBL621911,1,1,,BAO_0000218,Volume of distribution at steady state was evaluated in rats,Rattus norvegicus,,,,Intermediate,,,In vivo,8452,,10116.0,50597,6597,
,N,A,CHEMBL621912,1,1,,BAO_0000218,Volume of distribution at steady state was observed after intravenous administration in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8453,,10116.0,50597,15662,
,N,A,CHEMBL621913,1,1,,BAO_0000218,Volume of distribution in steady state was determined in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8454,,10116.0,50597,6485,
,N,A,CHEMBL621914,1,1,,BAO_0000218,Volume of distribution in steady state was determined in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,8455,,10116.0,50597,17655,
,N,A,CHEMBL621915,1,1,,BAO_0000218,Volume of distribution after i.v. administration,Rattus norvegicus,,,,Intermediate,,,In vivo,8456,,10116.0,50597,6616,
,N,A,CHEMBL621916,1,1,,BAO_0000218,Volume of distribution was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,Rattus norvegicus,,,,Intermediate,,,In vivo,8457,,10116.0,50597,1916,
,N,A,CHEMBL621917,1,1,Liver,BAO_0000218,"Biodistribution of compound (oxidized form) in liver tissues, animals were sacrificed 60 minutes after dosing, in DMSO solution",Mus musculus,,,,Intermediate,,,In vivo,8458,2107.0,10090.0,50594,16438,
,N,A,CHEMBL621918,1,1,Liver,BAO_0000218,"Biodistribution of compound (oxidized form) in liver tissues, animals were sacrificed 60 minutes after dosing, in DMSO sol.",Mus musculus,,,,Intermediate,,,In vivo,8459,2107.0,10090.0,50594,16438,
,N,A,CHEMBL621919,1,1,Spleen,BAO_0000218,Biodistribution of compound (oxidized form) in spleen tissue,Mus musculus,,,,Intermediate,,,In vivo,8460,2106.0,10090.0,50594,16438,
,N,A,CHEMBL621920,1,1,Spleen,BAO_0000218,"Biodistribution of compound (oxidized form) in spleen tissue, animals were sacrificed 10 minutes after dosing, in DMSO sol.",Mus musculus,,,,Intermediate,,,In vivo,8461,2106.0,10090.0,50594,16438,
,N,A,CHEMBL621921,1,1,Spleen,BAO_0000218,"Biodistribution of compound (oxidized form) in spleen tissue, animals were sacrificed 10 minutes after dosing, in DMSO solution",Mus musculus,,,,Intermediate,,,In vivo,8462,2106.0,10090.0,50594,16438,
