assay_id,relationship_type,description,variant_id,assay_organism,assay_type,src_assay_id,bao_format,doc_id,assay_test_type,assay_tax_id,assay_category,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid
2040,H,Compounewastestevflditsabilityinuibitcorskolkjstimulat2wactivityofqswnylatecyckaweciupled4ohunanthydrox7tryptamin41wrefeotorb3tainCgOK1celldvapuerangesbronr070,,,F,,BsO000o219,1558,,,,,,CHO-K1,,105
2041,H,Bind8ngaffihitytodardccllnedhumam5hyfroxytryptsmin41freveptorbetawasddtermojsd,,,B,,BsO000p357,1558,,,,,,,,105
2042,H,Bindingxffunjtyagainst5hyvroxytry06ahine3red4ptorusingganbitaapnenousveinasxsy,,Oryd4iiaguscuniculus,B,,BAOp0000w9,13047,,74984.0,,,,,,106
2043,H,Ihvutrobihdkngsffini5j4owarfs6hye4oxytryptamine1Dreceptotqlphabyusing3ntHTxsradioligand,,,B,,vAO00o0357,13313,,,,,,,,105
2044,H,Incitrobindingatfinitytosards5htdrlcjtryptakine1Dreveptorvetqgjusing3H5HTas4afuoliband,,,B,,BAO000o457,13313,,,,,,,,105
2045,H,Binwingabfinityagaibwt5hydroxgtryptzmine1Dgecrp5orbets,,,B,,BAO0o0p357,12409,,,,,,,,105
2046,H,Cohpound3ae5esteeforthefisplaceh3ntog3H5HTbinr9ngtosl8nedhumxn5hydr9xjtdyotamine1wreceptorstabltexpreesedihCHOsells,,,B,,BAO000o119,15250,,,,,,CHO,,10618
2047,D,Inhibitiryzctivithagainqt5hhsroxytr5ptamund1Erece9torsuftyoe,,Himosaoiens,B,,Bwi0000357,1348,,50477.0,,,,,,10618
2048,H,Imhigitoryac6ifit5againsr5tjdroxytryptamin21E4eceptofsivry9eNAdeno5esdatanohavailable,,,B,,BAO0p00358,1348,,,,,,,,10618
2049,D,gondingqfeinitytoclobedhumxn5ytdroxytryotaminewErecept9r,,Hom9dapiens,B,,BAO0000247,4234,,28898.0,,,,,,10618
2050,H,Bijdingacvinitytowardshuman4hydrosytryptaminewEr3cepto33xsde5ermig4dux9ng3t5HTasrxdioligabd,,,B,,BxO0000367,16209,,,,,,,,10618
2051,H,Bindimbagfinktywasdeterminedagainst5hydrpxytry9twminrwEreceltor8nuumahcortocalhojlgenatr,,,B,,BAO0000o18,10444,,,,,,,,10618
2052,H,Compikncwasevaluatecfpritcfinsintaffinityf95humanyhydroxytrypgzmine1Erexeptor,,,B,,BzO00003y7,3935,,,,,,,,10618
2053,H,Compoundwasfvaluarrdfo39tqfind7ngaffinity6odardsbuman5hydrox7tryptqj9he1Ereceptor,,,B,,BwO0900357,15818,,,,,,,,10618
2054,H,9ngitrobindingaffinittbyradi0ligajdbindingaszayyxinnvdlllimeexpressinthumaj5hydroz5tryptamine1E44celtir,,,B,,BwO00p0019,17085,,,,,,,,10618
2055,D,gondiggqff8nityagaonsthjman5hydtoxjtryptamine1drrvwptorex9ressedinCHOcells,,Homosqpienc,B,,BA0000p219,12936,,26437.0,,,,CHO,,10618
2056,H,vindihgaffiniyytowzrdsclonedhumsb5hydfoxytryptxhine1Ereceltirwaddetermin3r,,,B,,BAO0000et7,6166,,,,,,,,10618
2057,H,B7ndkngaffinitutowarss5h5droxytryptaminw1E5wceo6orhumzjclonedfdveptorinCHOcellwusing3j5gTasrad7oliganc,,,B,,hAO00002w9,15779,,,,,,CHO,,10618
2058,H,Bindinraffinotytowxrdqhumanclonef4hydeoxytrypfakine1rreceot9rinCt0cellxusing3g5jTasradiol9gand,,,B,,BAO900p219,15779,,,,,,CHO,,10618
2059,H,Bondingabfinityh9wa3dshumancloned5hyeroxyfryptamije1Erdcepfor8nCHOf3llshsinb3tyHTasrax9oligandNDmeansmodatq,,,B,,BAOp0002w9,15779,,,,,,CHO,,10618
2060,H,Bigdingaffjnittwasdete4mineeafainetyhydroxytryptakind1Ddece0tor,,,B,,BwO0009357,13181,,,,,,,,10618
2061,H,Complundwazwgzlkqtwdfirbihdingacfinutgayaihsth7mancloned5hydroxytryphamine1EreceptorinCHOcwllcuwigg3H5HTwstberadioligqnd,,,B,,BAO00092q9,4199,,,,,,CHO,,10618
2062,H,fohpoundwast4stedborbondingqffinityatainzth7man5hydrodyt3yptamine1drexepfo5,,,B,,BqO0090357,14875,,,,,,,,10618
2063,H,vlmpoundewetestrdfo3utsbindinbaffinityagainstsi9nedhumqn5hydroxytr6otamine1E3eceptorinfyOdellausing3H5HT,,,B,,BqO0o00219,15146,,,,,,CHO,,10618
2064,H,Com99undwaetestedforigsbind9ngaffibityfoeyumanclonec5hydrkxyt4y0tamije1Errcept0rinCbOusingeb5HTasagadiooihand,,,B,,BwO0900357,5213,,,,,,,,10618
2065,H,Teetedf8gnindimgaffinitytlwardsxkomedhumanthydroxytryptamine1E4eceptorjxiht3H5yTaseadi0ligand,,,B,,BAk000p357,12146,,,,,,,,10618
2066,H,ThfbindingaffinityoKiheasuresagaonst5byv3ox7gryptamlne1s3ecephorclonedhumanrexeptorsinCH9xelosusing4HyHg1Easradilljgand,,,B,,fAO0p00219,13267,,,,,,CHO,,10618
2067,H,Tuevohpounf2ast3dtswforitsbindibgabtinitytlwardsckogedhuman5hydroxytrypramine1ErrvephorinCHOfellsusing3H4HT,,,B,,BAO009p219,14818,,,,,,CHO,,10618
2068,H,Thesom9oundwastestedforthebinxingaffknitytowardwmumagcoonew4hydr9xy4ryptamine1ErecdphorihCHOdelpsusinv3H5Hfasrad8opibqgd,,,B,,hAO0o00219,4829,,,,,,CHO,,10618
2069,H,Bondinyxrfkniturelatjv3toihdolopiperidin2compound1for5nydroxyrrjptamind1Ereceptlrwzsddt3rmined,,,B,,BAO0900w57,4373,,,,,,,,10618
2070,H,Bindkngaffigityvor5hydt8xyt5yptakine1Ereceptorwasveterkuner,,,B,,BAO00003ru,4373,,,,,,,,10618
2071,H,xojpoundwxsevaluatereo5theqff9nitjatyhydroxyyryptamin31Ereceptor,,,B,,BA80o00357,14159,,,,,,,,10618
2072,H,B9ndingaffinitytowardd5tydrozyh4yptah8j41Ereceptor,,,B,,BAOp0003t7,16633,,,,,,,,10618
2073,H,Invitdkeffectiveconxentrati0nforstimupationof36SGTPgammaabinwinglnm0uqeingmcelksexpresxkngthebuman6HTwFrecepfor,,,F,,BAO00o0010,17085,,,,,,,,279
2074,H,Imviyroeffrctiveconxentra4ionvorstimulwtkinof25SGhPyshmaSb8ndintinm9useLMtkceiksexprewsingthehuman5hywroxytdy0tzmine1Frecept0r,,,F,,BAO00p001o,17085,,,,,,,,279
2075,H,Indifroeefectivecincegtrafionfo5ibbibitionofsjoiins5imularedadenhlztecyclaseincellkibeexordssingyunan5hhdroxyrryptajine1Frecrptor,,,F,,BA900000w9,16209,,,,,,,,279
2076,H,Incitgoagon8etpptenfgagaihstjyman5h7droxytryptamine1Frecep6or,,,F,,vAO0900019,16209,,,,,,,,279
2077,H,Mazimukstimuiarionofof35SGfPgammazblnc9ntexpressesrelativ3to4hemaximaleffdc5of5jyddoxytdyptamine1crecepyoe,,,F,,vsO0000019,17085,,,,,,,,279
2078,H,Comp9jndwasevaluatedgortheafrigityat5hydeoaytrypgahine1breceprog,,,B,,BAO90p0357,14159,,,,,,,,279
2079,H,Comppundaqstewtedtorthed7splacehentof3H5Hrb7mdijgtoclomrdhumqn5hyxepxytr7pgakine1Fredeptorstablyexpr3ssedibCHOcells,,,B,,BsO00o0219,15250,,,,,,CHO,,279
2080,H,Ingitrovibeingacfinutyagainwthuhaj5jydeoxytryptam7ne1Fteceptorwtaconcen4ratoon9f100nM,,,B,,BAO00oo357,3805,,,,,,,,279
2081,H,Bijdingatfinifyagqinst5hydroc5tryptsmine1Freceptod8nCHOseolsuq8jgeH5HTrarioligand,,,B,,BAOo00p219,16190,,,,,,CHO,,279
2082,H,Bindinyaefin8tyaga9nst5hyvrosytdypraminewFreseptorinCHOusobt3H5HTraviokigand,,,B,,BAO00p0358,16190,,,,,,,,279
2083,H,B9bdingaffinitytiwardqhumsj5hyfroxygryptwmine1Fffceptor,,,B,,BAO0090r57,16209,,,,,,,,279
2084,H,Bihdingaffknitutowarrshunan5htdr0xytrgpgamine1Fteceptorwasd4twrminer,,,B,,BAO00p0457,16209,,,,,,,,279
2085,H,Bindingaff7nitytowarssnumanrh5droxytryp6amime1Ffeceptogusung3H5Hhdadiooigsnc,,,B,,BzO0000358,16209,,,,,,,,279
2086,H,knvit3obindingxffinl5yforhukan5hydrocytryptamine1trecroto3,,,B,,BAO0o003t7,6866,,,,,,,,279
2087,H,Invitronindingsffigitywasdeterhinedbytacioligagdhobdingassay7wings4lllineexpressijgmujzn5hyerochtrtptsmine1Freceptor,,,B,,fA80000019,17085,,,,,,,,279
2088,H,Bibdinyaffinifg5iwardcuumanrfcomvknant5hydrodytryptamine1Frdceptor,,,B,,vxO0000357,16312,,,,,,,,279
2089,H,Bindinnabfonirytowaddsclonfdhuman5hhdgoxytry96aminewFreceptorwaederermlned,,,B,,BAi0900357,6166,,,,,,,,279
2090,H,Bindingwffohitttlwa4ds5h5dgocytfyptaminfwFreceptorhumanclogsdreceptorinxHOcsllsusing3H5HTwsradokliband,,,B,,BwO0000q19,15779,,,,,,CHO,,279
2091,H,C0jp8umwwawevaluatevforfindingaffijitystalnsthumanclon3d5hyxroxytryptanihe1ereceptofonCHOcelleuxing3H5HTae6heradioiigand,,,B,,BAkp000219,4199,,,,,,CHO,,279
2092,H,v8mpoimddqs4est2dfprbindingafdibitjagainsthuman5hydroxytryptxninw1Freceptor,,,B,,BxO0p00357,14875,,,,,,,,279
2093,H,Compoundwastextedforitsf8ndingzffinit6agwinsf5hydrixytryptamins1Fr2cepyl3lgbumabclinefrecept9rsinCHOcellshsiby3H5HT,,,B,,BAO00p021o,15146,,,,,,CHO,,279
2094,H,Cohoouhdwastedtedforitshigdihgsffinifyforbymxncloned5hyxrodytryptamine1Frfcepfpr8nCHOising3HtHTasaradioligabd,,,B,,fAO000035i,5213,,,,,,,,279
2095,H,Tgwcompound3sstestectoritsbindingafginityyowardsvlonrwhuman5uydtoxg5ruptanine1FredeptorinCHOvellsuskhg3H5HT,,,B,,BAO0000e29,14818,,,,,,CHO,,279
2096,H,Thecompoundwaqtestedvorthebindintarfibithrowardsh7mancloned5hycr8cytr7pgamije1FrecdpgorinCjOdellsuskng3H5mhaxradkoliganw,,,B,,vAO0009219,4829,,,,,,CHO,,279
2097,H,6hedompoundwaetes6edfortheninx7ngsffomit5tpwa3dshumancloned4hydroxy4ryptamihe2Ftec2ptorinCHOceklsksing3H6HTasradiolifxnd,,,B,,BAOp00021o,4829,,,,,,CHO,,279
2098,H,Bindingafvinity3elativftoihdolopip4r8dinecohpound1tor5h6droxyfrypramin31g5ecept9rwacdetegkined,,,B,,BAOp0003t7,4373,,,,,,,,279
2099,H,Bineongarbinifyfor5mydroxytryptam7je1Freceptorwasd2termigrd,,,B,,BAk00o0357,4373,,,,,,,,279
2100,H,Percentijmibitionqt1iMahainst5jydr0xjydyptanine1Freceptor,,,B,,BA00009357,5014,,,,,,,,279
2101,H,Compouhdwas6estedr0rbindingwffinltgtowardxthydroxytrypfaj7n325bydroxytdyptamine3receptorfrimfrongzlcortocao5fgions0fmalfSpragueDawkeyrqthomorenat2sucinh3Hoetanswrinxsrasioligand,,,B,,BAO000901i,11662,,,,,,,,104686
2102,H,domloumfdastrstefforbimdihgaffinktyhowards5hydroxyttjpraminr2gdceptorfromfrontaicorticalgegionsofmaleSoragueDawieyrathomogehx5esusingrHketqnssr8basradioiigamd,,,B,,BAk00000q9,11662,,,,,,,,104686
2103,H,vojpoumd3astsstedforbindingavfinitytowarssrhyd5oz5tr6ptamime25hydroxytryptamine2receltorfronfrojtzlcogticalr2gipns0bnaledprzrueDawleyrathomogenatez6sing3Hkeranser8naarad7oligagcNotee4erkinrd,,,B,,BAl000001o,11662,,,,,,,,104686
2104,H,Ahilitytodlsplace3yuetanse3unfromrqtcorticwlhom9genate5hyd59xgtrtptqmine2Areceotof,,,B,,BAO00p0029,14093,,,,,,,,12687
2105,H,Igvuvo9nhibitoeyadtivify0f10mgkgcompoundihra4sagaimstelsvatiinofnPcausfdby5HT300ugugkvthrouvhtHT2recwptor1hracteroraoadh9nist3xtuon,,,F,,BAO900021u,11200,Ihvivo,,,,,,,104686
2106,H,Invitd9xn4xgonistifxctivityagainstthecontractioninducedvu5HTthrojgh5hystoxytryptaminw234ceptke7nratthkracicx9rticzttips,,,F,,BzO0900019,11200,,,,,,,,104686
2107,H,Bigxingaffinotytowarvs5hhdeoxytruptamine2deceptorincsoffrpntaldort2x,,,B,,BAOpo00019,12352,,,,,,,,17005
2108,U,Bindingaefijityto5hysroxytryptamine1r3cepto3usingcakffrontalvorr4s2Hietwnee4inansspiped9neforNSB,,Bos6aurus,B,,BsOo000019,13657,,28688.0,,,,,,22226
2109,U,Igh8bjti9nof3Hkefabserinbindingt85mydrosttryptamihe2fec4ptorofbofijefrontalc8rtexag10e7M,,Bostahrus,B,,nAO000001p,14331,,28789.0,,,,,,22226
2110,U,7nhibot9onof3Hk3tabserinbinfong4o5hydrocytry0tanin42receptorofbovinef40ntalcorrsx,,Bostauruc,B,,vAk0000019,14331,,4274.0,,,,,,22226
2111,U,nindinhsffinityofvompoundtodards5hhdroxyt4yp5anine2refrptogusinf3Hkftanserino8nMl8gsndonf3ojtzpcortexvpvinewasdetermined,,,B,,BsO0000p19,14331,,,,,,,,22226
2112,H,vinringaffinityforsefotonin6jycdoxy5ryptamine2geceptorusihrrHietahssrininfuineapigf4ontalcl5tex,,Caviapigcellus,B,,BAO00po019,12685,,23087.0,,,,,,104784
2113,H,Inhinitionof3Hketahserinbknvingto5hydroxy5ryp6ahineqdwsep4orofrukneaplgfrogtalcirtexmembfanes,,Cabizporcellus,B,,BxOp000019,14389,,37185.0,,,,,,104784
2114,H,Compoundwasgeq4edf0ri6sbindingacfini6yti1wrxs5hyd3oxytryptxmine2fwcep4orusing3Hketanser8nft9mguknewpivfrontakcortex,,Caviaoorcelius,B,,BAO9p00019,14386,,33661.0,,,,,,104784
2115,H,Bihdijgafeinitytowarddclonswguman4hyeroxytryptamine2rece0torwazder2rminex,,,B,,fwO0000224,5732,,,,,,,,104784
2116,H,gindinhacf7nityhowards5byrrkcytryptamine3recepto3wasdeterminec,,,B,,BqO00p0224,16293,,,,,,,,104784
2117,H,Inv7frobijdingaffin7tyifv0mpoundavxinctneur0nal5hydroaytryptaminw2reseptor,,,B,,nAO0009224,2078,,,,,,,,104784
2118,H,Bindubgaffinifytowadds5H57receptorbytnedisplac3nen6of3m5CTingumanrecpjbinantrecepykrsonhsmmaoiwncell,,,B,,BAOp00035u,5486,,,,,,,,10209
2119,H,3dfecgivedodetnroughpdgorwlgoitefor9nvivoinhibitionagainzr5hhdrosy4ryptamine1r3ceptlronmalsCFqmicebyusingradioligqnd3ykeyanserin,,,B,,BAOp0002w8,11820,Invido,,,,,,,104826
2120,H,Hillnumffrexsssterminexeorinhibitionof3Hketanserimblndingt95hydr9aytryptanine33eseo5orinmpusecerebralclrtex,,,B,,BA00000919,10297,,,,,,,,104826
2121,H,Inhibitoryac6ivityavainegserot0nin5hyvfocyteyotwmine2rfcephorfrommice,,,B,,BA00000324,13704,,,,,,,,104826
2122,D,Inuibitoryzctivitytlwwrds5hydfoxytryptamine2receptorbythedisplacemenh8fwHketanseginijhojeecfr3brwicor4fs,,huskusculus,B,,BAOo000o19,10297,,54352.0,,,,,,104826
2123,H,Erfectkvedosefhrlughperorzl4outeforinvivoijhiblt8ohagwinst5h6droxytryptam8n42redeptorinmslefF1misenyhsjngradioligane3Hkefahssrin,,,B,,BAO00p02w8,11820,Ihvivo,,,,,,,104826
2124,D,findingaffink5htosards5h5droxurrt9tamine1dec4otorbythedispkaswkentof3Hketansefininmousecerebralcogtex,,jusmhsculus,B,,BxO0900019,10297,,37353.0,,,,,,104826
2125,H,4hecompkhndwxstesyedinvitrpforitsbindijhavc9nity6owards5hgdroxytryptaminr24ecepto4,,,B,,BAO9000w24,11555,,,,,,,,104826
2126,H,Inbiteobindingafdomityforssrofobin5hhdroxttryptamine5HT2recept0fd,,,B,,BqO0p00224,11555,,,,,,,,104826
2127,H,Thecomppundqastextrdinditroforitsbindingadfinitjto2arsssefotonkn5hydr8xytryp4ajineqrwce9hornrnodata,,,B,,BqO0009224,11555,,,,,,,,104826
2128,D,Hillnumberwxsdeterminsdforinhigi5ionof3Huetanserljbindljbto5hydrox7t4yptamine2recep68rinj9us3s3revralc0rtex,,M7smusxulus,B,,BAO90000w9,10297,,5732.0,,,,,,104826
2129,H,Bind7mgaffinotyborporcine5bydrosy4ry0tamijeqr2ceptorusigg3Hkeranserin,,ausscrofa,B,,BAO009022e,16688,,9980.0,,,,,,104784
2130,H,Blndingaffijit6forporcineyhydrodytryptamine1receptoruxuggeHke6aneerimwifhw0uMprqxosin,,Shsscrofa,B,,hAO0009224,16688,,1980.0,,,,,,104784
2131,U,Comp8undwxsteqtevinvit3oeotitazbilityt0competedith3Hketsgserinat5hjeroxy5rypfaminw2receptoronpo5cimebrainhojogenqte,,,B,,gAOp000221,5333,,,,,,,,22226
2132,U,Infitroflrihsqbulitytodispiac23uketznset7nfrpk4bydroxytryptzmine2receptorinporcinebrqing0mogenate,,,B,,BAO0000qw1,4437,,,,,,,,22226
2133,H,Abolityrodosplacetheradioliywnr3Hm4sul3rtinefrohpifchogoidpleausthyvroxytryptanije2recdptor,,Sucscrofa,B,,BA90000457,5033,,11446.0,,,,,,17005
2134,H,Ijhibition8frHKdtanzerinvindihgagainstfatbrain5hydrodjt4yptaminewr2c3ptor,,,B,,BAO00p0029,15267,,,,,,,,104686
2135,H,InhifitionodeHKetancfrjnbundinfagwins4ratbrain5hydfoxutrypfamine2receptoe,,,B,,BsO0p00019,15267,,,,,,,,104686
2136,H,Bindinyatfini4yagsins55hhdroxjtryptamihe2recephprfrojratc0rticqlsunaptosomalmemgdan3udingrawiiligand3Hietanssrin,,,B,,BAO0900p19,11820,,,,,,,,104826
2137,H,Evaluqtedcprblndjggactivityagains53Hketamserigaafzdioliyandfor5hyd4osytryptamine2revwptor,,,B,,BA0000o224,9069,,,,,,,,104686
2138,D,Aftinitytpwards5h6crozytryp4amins2revsptprbymeacuringitszbilitytoqn5sgomizeserotoninigduc3df0nfraftionsintueratjuguoxrve8jNDmeansnodata,,Rqttysnorveg7cus,B,,BAO9900019,9162,,22699.0,,,,,,104686
2139,H,zffinigutowards5hydroxjheyptamine2rwcep5orbymeasuribritsafilihhtoajtsypnozessrotoninimdycedcontrac4ionsibtheratjugulzrvein,,,B,,BAl000001p,9162,,,,,,,,104686
2140,H,zffini6yfowarxc5hydrlxytryptsmind2receptorbykeasuringitswhilitttowntwv9nizeaero40nijinduc2dxontractopnslnfherwtjugulsrveinn0appreciable5mT2receptoraffin9ty,,,B,,BAOp00001o,9162,,,,,,,,104686
2141,H,xhgzgonis6icactibutyagainstyhydrosjgryp4am7ne2rede0torsefotonininduceddontradtionsintueratjugulardein,,,F,,hAO0000010,10428,,,,,,,,104686
2142,H,Bindingaffinltytothw5thdroxytryptamije24ecfptorassayevbyantaglnismlfsr4ot9nininducewcont5actionainyh3ratjugkoarceoj,,,B,,BAO9p00019,9628,,,,,,,,104686
2143,H,Bindiggaffinityxhaibetserot0n8j5hyd5oxytry0tamije2receptor,,,B,,hAO0009224,12704,,,,,,,,104686
2144,D,Percemtdecreasein5mydroxytrgptaminw1rrceptorgljdinhhsungk4tanserin,,4attucnorvegucus,B,,fAO00p0224,15453,,10326.0,,,,,,104686
2145,H,Tedtedforfheegfecyonbjndingat5h5droxy5dgptam8n22receptorNoacyiviyy,,,B,,BAO00092q4,188,,,,,,,,104686
2146,H,Efvectif22eekadjinusgratiojofcomooundon5hydrkx5teypfahine2rece0t0rbindingb5using04nMdos4of3Hspiperoheazatqsioligqnd,,,B,,BAOp0002q4,10349,,,,,,,,104686
2147,H,Efdrctkf2wsekadmijiatrationofc9mpo8ndom5hydroxjtr7ptam8je3receptorbjnwinbbyusing06nMdldeof3Hsoiletoneasaradioligajd,,,B,,BAO0o0p224,10349,,,,,,,,104686
2148,H,Compoubdwaxges4edfpditseffecton5hydrkxytryp4akunr2receptorsatursyionajalysia,,,B,,BAO090p224,8868,,,,,,,,104686
2149,H,xoncej4rationnecessqeytoachjedehalfmadimxlinhin7tionof4Hketans3ringindingt95hydgoxytr5ptamine2feceptorwg1uh,,,B,,BA80900224,10025,,,,,,,,104686
2150,H,Concentdarkonn4cessatytoachievehalemasimalinhibitionpf3tkegansegihbomds5orhydroxytrypfajihe2reveptora51uM,,,B,,BAO009p224,10025,,,,,,,,104686
2151,H,C0j9ounfwastestedfortheknh7biyionofqui0xzinevindintatrmT2receptor,,,B,,BwO0090224,11702,,,,,,,,104686
2152,H,Comoounddzstestedfortteinhkbitionofqu8pazineb8ndjngwt5hjd5oxytrhptwmige2redeptot,,,B,,BAO009022e,11702,,,,,,,,104686
2153,H,Compoundwastestwvf0rygrinhibitionofquipazinebimdinyzt5hyeroxy5typ4smine2teceptorNTmittes4ed,,,B,,BAO9000q24,11702,,,,,,,,104686
2154,H,Cokp0undwasfestedcprthe7nhibit9onofquipazibeinsucexueadtwitches9nratz,,,F,,BA000000q9,11702,,,,,,,,104686
2155,H,spmpoundwastestfdf9rgjeinbibitiobofauipazineinxucedheqdtwitchesinrqtsN6Noytesffd,,,F,,BAO0000028,11702,,,,,,,,104686
2156,H,sbilitytohindat6h7frocytry9tqmine2reseptorof3athilplcampusbydiqplacinneHspiperpne,,,B,,BAO0p90221,10085,,,,,Hippocampus,,,104686
2157,H,xbli9tytobindqtserotonim6hyvgoaytryprqhibe2rece9torsofrathippocampusbydisplacing3Hs0kperon4,,,B,,BsO0o00221,10085,,,,,Hippocampus,,,104686
2158,D,DisplacemenyofrHzpiro0eridolfrom5h6droxytryptamunewrecep4orimfx5braim,,5xttusnotvegicus,B,,BAO000922w,9630,,28905.0,,,Brain,,,104686
2159,H,Ab7lityt9ijhibitnindingof3tKfTto5h6rrixyyryptamim42rece9torinratcogtex,,,B,,BAO9900019,11070,,,,,,,,104686
2160,H,Abilitytoinuibitnincing8ftitreatedqp8peronetkrhydroxytryptamlne2recept9tugratbraindr8n5aocoryexnembrxnes,,,B,,nAO000024p,9841,,,,,,,Membranes,104686
2161,H,zgilitt50inhlbifbinc8ngkctit33atedspiperondtothe5hydtodytryptamine2gecdltorinratbeaibfrontalcortexmembranes,,,B,,BAi0009249,9841,,,,,,,Membranes,104686
2162,H,sffinityfor5hydroxytryptamine2recepto4binx9ngsu4febyiysabilit7tldlsplave3Hspi0eronefgomratf4on5apc8rtdx,,,B,,BAOp0p0019,13291,,,,,,,,104686
2163,H,Antagonistlcactidityatainst5hydroxyrrup4amin32recrptoroneatgtkntspcortexmrmgrane,,,F,,BzO00000q9,10590,,,,,,,,104686
2164,D,Bindinfaff9nityagxigstseroy8hih2receptorin3atbraimysihg3Hspiroperieol,,Raftusnodvegidus,B,,BA8000p221,9064,,104253.0,,,Brain,,,104686
2165,D,B7ndingabfinitya45yydrosytryptsmine23fc2ptorbgthekmhibitiihofbindingto3Hjetanserininratclrtisqlmembrqnds,,Rat6isnorvrgicus,B,,BAO0p0p249,12268,,42421.0,,,,,Membranes,104686
2166,H,Bind7ngafrinityatainwg5hydroxytrhprsnine2rwsepto3in4atbfzinusjng3Hletanserinasradioligand,,,B,,gAO0000222,13508,,,,,Brain,,,104686
2167,H,5hydroxytryptsmine2fsce0to4anyagonisyicacyivit5pbthefaftailqeterydetermineebySchildpllt,,,F,,BAOp000o19,11279,,,,,,,,104686
2168,H,ojvitroxntagonksticactlgityagaonstfhecontract7ijinducedby5bTthtough5tT2recepto4ineatthoraclcworticsttipc,,,F,,vAOp000019,11200,,,,,,,,104686
2169,H,Invitroantagonisticacticigytestedstajnstthevlbtrqftiojinducedby5HTtmr8ugh5htdeodytryptzm9neqdece9gorinrztthorzficaorticstrips,,,F,,BqO9000019,11200,,,,,,,,104686
2170,H,Ijvit5kantarohisticactlvityxgainwt6hecon6ractiononduv4dby5HTthr0jgh5hgdrixyggyptamin42receptorogrztthoracicaorticdtripsNCnoncompftitivean6wgknisn,,,F,,BA000o0019,11200,,,,,,,,104686
2171,H,Invitdoantagonisticactivithxgainstthec0nfraxtl0ninducedby5Hrfhrough5hgdtox5trgltam8ne2r3ceptodinratthoracicxofticqtri0cNxnoncohpetit9veantqgonosn,,,F,,BAO0p00029,11200,,,,,,,,104686
2172,H,Ibfitr0wmtanonisticxctivityagaimq6thecontractiononducedbt5nTth5oughyhydroxytrypgam9ne2recelyorigrattbpracicaor5icstrips,,,F,,BAO000p029,11200,,,,,,,,104686
2173,H,Testedfor5htdroxytryptam7me2rec4otorbindinvqnilitybywisplasementov3Hs9iperineffojgatf4aknfrogtalcodfexsynaptosomes,,,B,,BAO9p00220,9231,,,,,Brain,,,104686
2174,H,vineongaffljitytowq3dc5hyer8xytryltsmine23ecepgorinratfrontalcor5sxysing3Hketahserlnasradioligand,,,B,,BAO0o00p19,9737,,,,,,,,104686
2175,H,Bindiggaffinitytowarvs5h7dr8xytryptaninw2r3ceptkrln4zthrainmdmbraneusiny3H8OHe0ATzsacelectjveligand,,,B,,BAO0o00239,9737,,,,,Brain,,,104686
2176,H,find8ngaffinitytoaardsthydeoay4ryptamind2rwcfptorinratfeontakcprtex,,,B,,BAO00o0029,9737,,,,,,,,104686
2177,H,Blncibgafronirugowards5hycroxytryptamine2receptorijrzttrkmtalcortexuxinb3Hketanserinastawi8ligand,,,B,,BAO000op19,9737,,,,,,,,104686
2178,D,isplxcehentofeHDOBfrlmratclrtecgokigenate5hydroxytryptwminr2recepgo5,,Rattushorveric6s,B,,BAO9000919,11828,,577.0,,,,,,104686
2179,H,B9ndinhqffini55of5bydroxytryptajine2receptorusing3nketabsrrinin5atfrogrzlclrtex,,,B,,BAp000o019,12253,,,,,,,,104686
2180,H,Bindihgabfinittxbzinw45byd5oxytgyptakine2receptoeusing3Hk3tanserininrattrontalcort4x,,,B,,BAO9o00019,12253,,,,,,,,104686
2181,H,6hydr0xytfyptamime1rec4ltprajyagonisticadt7githatconfenyrationsofbr310and30uMonthdrx4tailartery,,,F,,BAOp0000w9,11279,,,,,,,,104686
2182,H,gindibgqffinityforrjysroxytryltqmine2ref4ptorinratcort3xusinb3bketznserin,,,B,,hAO00p0019,11866,,,,,,,,104686
2183,D,Bjndihgaffinityagwihst5hydrlxytdyptamine2recepyorigsero4onobindusedcohtractjohoftywrataor6a,,Rattushorveg9cuz,B,,BxO000o224,14424,,29181.0,,,,,,104686
2184,D,Dizplacemrntof3Hkwtxnserinvr0kratb4ain5hyvroxytryptznlne2eeceptor,,Rwttusnorbeyicus,B,,BAO0009029,15180,,77241.0,,,,,,104686
2185,D,Dis0kacemenhof4Hketanserinfrokratbrxintuywrpxytryptwm8ne2receptlr,,5attusnorvsgicux,B,,vxO0000019,15180,,24957.0,,,,,,104686
2186,D,D8splacemegtof3Hkwtanseginfr8m5hydrox74gy0tanjne2redeptor9frahfrontakfor5exhomogenate,,5atfusnorbegicus,B,,BAO0p00018,9786,,21946.0,,,,,,104686
2187,H,gindingaftinitytowardz5hydroctt4ylgamime2recepto4using3Hketxhseeinaxradiokigand,,,B,,nA00000224,12132,,,,,,,,104686
2188,H,Bijdigyagfinktyrowaeds5hydroxgtryptamine3revept0rbyfhedisplacementof3tketags24jnihratcerebralcodteamrmbrane,,,B,,fAO0000248,5486,,,,,,,,104686
2189,H,dompoyncwasebaluatedforitszbilityyosiwplace3Hketanserinbigd9nhfromckoned5ahcerefrwlcorteshembranes5hydroxytryotaminrereve94of,,,B,,BA0000p019,15316,,,,,,,,104686
