assay_id,assay_tissue,doc_id,cell_id,assay_type,assay_strain,description,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_cell_type,assay_subcellular_fraction,tid
4044,,82,,B,,Inhibition of [14C]arachidonic acid conversion to 5-HETE by broken cell 5-lipoxygenase in vitro (guinea pig PMN),,,Cavia porcellus,10141.0,,,55
4045,,11090,,B,,Compound was tested for the inhibition of 5-lipoxygenase (5-Lpo) in guinea pig.,,,Cavia porcellus,10141.0,,,55
4046,Blood,12832,,B,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 12 h, following intravenous administration at the dose of 1.0 mg/kg",,,Cavia porcellus,10141.0,,,55
4047,,1065,,B,,In vitro 5-lipoxygenase inhibition in guinea pig PMNs was determined based on 5-hydroxyeicosapentaenoic acid (5-HETE) production,,,Cavia porcellus,10141.0,,,55
4048,,1065,,B,,In vitro 5-lipoxygenase inhibition in guinea pig PMNs was determined based on LTB4 production,,,Cavia porcellus,10141.0,,,55
4049,,12832,,B,,In vitro 5-lipoxygenase inhibitory activity against A-23187-stimulated conversion of [14C]-AA to 5-HETE in guinea pig peritoneal polymorphonuclear leukocytes,,,Cavia porcellus,10141.0,,,55
4050,,12832,,B,,In vitro 5-lipoxygenase inhibitory activity against A-23187-stimulated conversion of [14C]AA to LTB4 in guinea pig peritoneal polymorphonuclear leukocytes,,,Cavia porcellus,10141.0,,,55
4051,,12832,,B,,In vitro 5-lipoxygenase inhibitory activity against A-23187-stimulated conversion of [14C]AA to LTB4 in guinea pig peritoneal polymorphonuclear leukocytes,,,Cavia porcellus,10141.0,,,55
4052,,10504,,B,,Inhibition against 5-lipoxygenase from guinea pig polymorphonuclear lymphocytes,,,Cavia porcellus,10141.0,,,55
4053,,7788,,B,,Inhibitory activity against 5-lipoxygenase,,,Cavia porcellus,10141.0,,,55
4054,,10001,,B,,Inhibitory activity against 5-lipoxygenase in guinea pig leukocyte,,,Cavia porcellus,10141.0,,,55
4055,,10193,,B,,Inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase using guinea pig supernatant,,,Cavia porcellus,10141.0,,,55
4056,,13243,,B,,Inhibitory activity against partially-purified Guinea pig PMN 5-lipoxygenase,,,Cavia porcellus,10141.0,,,55
4057,,13243,,B,,Inhibitory activity uM,,,Cavia porcellus,10141.0,,,55
4058,,969,,B,,Inhibitory activity against 5-lipoxygenase in guinea pig leukocytes was determined,,,Cavia porcellus,10141.0,,,55
4059,,10001,,B,,Inhibitory activity against 5-lipoxygenase at 10 uM,,,Cavia porcellus,10141.0,,,55
4060,,7788,,B,,Inhibitory activity against 5-lipoxygenase at a dose of 0.1 mM,,,Cavia porcellus,10141.0,,,55
4061,,10001,,B,,Inhibitory activity against 5-lipoxygenase in guinea pig leukocyte at 30 uM,,,Cavia porcellus,10141.0,,,55
4062,,10193,,B,,Inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase using guinea pig supernatant at 10 uM,,,Cavia porcellus,10141.0,,,55
4063,,13243,,B,,Inhibitory activity uM,,,Cavia porcellus,10141.0,,,55
4064,,13243,,B,,Inhibitory activity against partially-purified Guinea pig PMN 5-lipoxygenase at 10 uM,,,Cavia porcellus,10141.0,,,55
4065,,13243,,B,,Inhibitory activity uM,,,Cavia porcellus,10141.0,,,55
4066,,13243,,F,,Inhibitory activity uM,,,Cavia porcellus,10141.0,,,55
4067,,10504,,B,,Percent inhibition against 5-lipoxygenase from guinea pig polymorphonuclear lymphocytes,,,Cavia porcellus,10141.0,,,55
4068,,7788,,B,,Inhibitory activity against 5-lipoxygenase at a dose of 0.1 mM,,,Cavia porcellus,10141.0,,,55
4069,Ileum,10546,,F,,Evaluated for inhibition of the formation and release of 5-lipoxygenase in isolated guinea pig ileum,,,Cavia porcellus,10141.0,,,55
4070,,13183,,B,,5-lipoxygenase Inhibitory activity was measured by enzyme immunoassay using human whole blood stimulated with calcium ionophore (A23187) and LTB4 (leukotriene B4),,,,,,,55
4071,,13183,,B,,5-lipoxygenase Inhibitory activity was measured by enzyme immunoassay using human whole blood stimulated with calcium ionophore (A23187) and LTB4 (leukotriene B4),,,,,,,55
4072,,2578,,B,,Compound was evaluated for in vitro inhibition of recombinant human 5-lipoxygenase (5-LO),,,,,,,55
4073,,12780,,B,,In vitro inhibition of human 5-Lipoxygenase.,,,,,,,55
4074,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 75 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4075,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4076,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 10 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4077,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 10 uM exposed 100 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4078,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 100 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4079,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1000 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4080,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1000 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4081,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 150 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4082,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1500 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4083,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 2.5 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4084,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 200 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4085,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 27.5 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4086,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 5 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4087,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 50 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4088,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 500 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4089,Liver,7411,,B,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to exposed to 3-methylcholanthrene at concentration of 200 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4090,Liver,7411,,B,,"Compound was evaluated for inhibition constant, in liver microsomes from 3-methylcholanthrene-exposed rats",,,Rattus norvegicus,10116.0,,Microsomes,22226
4091,Liver,7411,,B,,"Compound was evaluated for inhibition constant, in liver microsomes from beta-naphthoflavone-exposed rats",,,Rattus norvegicus,10116.0,,Microsomes,22226
4092,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes 3-methylcholanthrene at concentration of 100 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4093,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes 3-methylcholanthrene at concentration of 200 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4094,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes 3-methylcholanthrene at concentration of 50 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4095,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at 5 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4096,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at 50 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4097,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 10 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4098,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 100 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4099,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 1 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4100,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 20 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4101,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 200 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4102,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 25 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4103,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 50 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4104,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 75 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4105,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4106,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 10 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4107,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 100 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4108,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1000 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4109,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 150 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4110,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1500 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4111,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 2.5 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4112,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 200 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4113,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 5 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4114,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 50 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4115,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 500 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4116,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at concentration of 1000 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4117,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at concentration of 1500 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4118,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at concentration of 27.5 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4119,Liver,7411,,B,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at concentration of 500 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4120,Liver,7411,,B,,Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 50 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4121,,7411,,B,,Vmax determined by 7-ethoxycoumarin deethylation in the presence by liver microsomes from rats exposed to 3-methylcholanthrene at concentration of 10 uM,,,Rattus norvegicus,10116.0,,Microsomes,22226
4122,Liver,7411,,B,,"Compound was evaluated for alpha -rate constant, in liver microsomes from 3-methylcholanthrene-exposed rats",,,Rattus norvegicus,10116.0,,Microsomes,22226
4123,Liver,7411,,B,,"Compound was evaluated for alpha -rate constant, in liver microsomes from beta-naphthoflavone-exposed rats",,,Rattus norvegicus,10116.0,,Microsomes,22226
4124,Liver,7411,,B,,"Compound was evaluated for alpha -rate constant, in liver microsomes from beta-naphthoflavone-exposed rats; competitive inhibition",,,Rattus norvegicus,10116.0,,Microsomes,22226
4125,Liver,7411,,B,,"Compound was evaluated for alpha inhibition constant, in liver microsomes from 3-methylcholanthrene-exposed rats",,,Rattus norvegicus,10116.0,,Microsomes,22226
4126,Liver,7411,,B,,"Compound was evaluated for alpha inhibition constant, in liver microsomes from beta-naphthoflavone-exposed rats",,,Rattus norvegicus,10116.0,,Microsomes,22226
4127,,10797,741.0,F,,In vitro inhibition of 7226/S myeloma cancer cell line,,,Homo sapiens,9606.0,RPMI-8226,,80433
4128,,6881,993.0,F,,In vitro antitumor activity of compound against 7404 cell line (human liver carcinoma cells),,,Homo sapiens,9606.0,BEL-7404 tumor cell line,,80698
4129,,3838,391.0,F,,In vitro growth inhibition of compound was determined against 768-0 cell lines of Renal cancer,,,Homo sapiens,9606.0,786-0,,80640
4130,,3838,391.0,F,,In vitro growth inhibition of compound was determined against 768-0 cell lines of Renal cancer,,,Homo sapiens,9606.0,786-0,,80640
4131,,12981,505.0,F,,Net accumulation of the [99mTc]Isonitrile complex was measured in 77A cell lines in the presence of Verapamil.,,,Cricetulus griseus,10029.0,V79,,81264
4132,,12981,505.0,F,,Verapamil index represents the ratio of net uptake in the presense of verapamil over control in 77A cell lines.,,,Cricetulus griseus,10029.0,V79,,81264
4133,,7653,1119.0,F,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 10 ug/mL dose,,,Rattus norvegicus,10116.0,7800C1 cell line,,80635
4134,,7653,1119.0,F,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 2 ug/mL dose,,,Rattus norvegicus,10116.0,7800C1 cell line,,80635
4135,,7653,1119.0,F,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 20 ug/mL dose,,,Rattus norvegicus,10116.0,7800C1 cell line,,80635
4136,,7653,1119.0,F,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 5 ug/mL dose,,,Rattus norvegicus,10116.0,7800C1 cell line,,80635
4137,,7653,1119.0,F,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 50 ug/mL dose,,,Rattus norvegicus,10116.0,7800C1 cell line,,80635
4138,,7653,1119.0,F,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 75 ug/mL dose,,,Rattus norvegicus,10116.0,7800C1 cell line,,80635
4139,,17229,391.0,F,,In vitro antitumor activity against renal 786-0 tumor cell lines,,,Homo sapiens,9606.0,786-0,,80640
4140,,12858,391.0,F,,Cytotoxic activity against 786-0 Renal cancer cell line,,,Homo sapiens,9606.0,786-0,,80640
4141,,16325,391.0,F,,Growth inhibitory activity was determined against 786-0 cancer cell line of Renal cancer,,,Homo sapiens,9606.0,786-0,,80640
4142,,16325,391.0,F,,Growth inhibitory activity was determined against 786-0 cancer cell line of renal cancer,,,Homo sapiens,9606.0,786-0,,80640
4143,,5858,391.0,F,,In vitro antitumor activity against human renal 786-0 cell line,,,Homo sapiens,9606.0,786-0,,80640
4144,,16325,391.0,F,,Inhibition of Renal cancer in 786-0 cancer cell lines,,,Homo sapiens,9606.0,786-0,,80640
4145,,14696,391.0,F,,Inhibition of the growth of renal cancer(786-0) cell line. value in parentheses is percent inhibition at 0.01 uM,,,Homo sapiens,9606.0,786-0,,80640
4146,,3786,391.0,F,,The compound was tested for its cytotoxic activity against the following renal cancer cell lines 786-0,,,Homo sapiens,9606.0,786-0,,80640
4147,,14696,391.0,F,,inhibition of the growth of renal cancer(786-0) cell line,,,Homo sapiens,9606.0,786-0,,80640
4148,,14769,391.0,F,,Compound was evaluated for in vitro activity against 786-0 kidney cell lines (Human tumor cells ),,,Homo sapiens,9606.0,786-0,,80640
4149,,15354,391.0,F,,Compound was tested for the growth inhibition of 786-0 renal tumor cell line,,,Homo sapiens,9606.0,786-0,,80640
4150,,14255,391.0,F,,The IC50 value was measured on 786-0 cell line in ovarian tumor,,,Homo sapiens,9606.0,786-0,,80640
4151,,14255,391.0,F,,The IC50 value was measured on 786-0 cell line in ovarian tumor t,,,Homo sapiens,9606.0,786-0,,80640
4152,,14255,391.0,F,,The IC50 value was measured on 786-0 cell line in renal tumor type.,,,Homo sapiens,9606.0,786-0,,80640
4153,,14696,391.0,F,,Inhibition of the growth of renal cancer(786-0) cell line at 0.01 uM,,,Homo sapiens,9606.0,786-0,,80640
4154,,12016,391.0,F,,Tested for cytotoxic activity against renal cancer 786-0 cell line,,,Homo sapiens,9606.0,786-0,,80640
4155,,2597,391.0,F,,Compound was tested for growth inhibitory activity against 786-0 cell line,,,Homo sapiens,9606.0,786-0,,80640
4156,,12526,702.0,B,,Inhibitory activity against 5-lipoxygenase in intact rat basophilic leukemia cells stimulated with the calcium ionophore A-23187; Inactive(N)= <50% inhibition at 10 uM,,,,,RBL-1,,12166
4157,,12526,702.0,B,,Inhibitory activity against 5-lipoxygenase in intact rat basophilic leukemia cells stimulated with the calcium ionophore A-23187; N=Inactive,,,,,RBL-1,,12166
4158,,14799,,B,,Inhibitory activity against 5-lipoxygenase obtained from rat basophilic leukemia cells,,,,,,,12166
4159,,3595,702.0,B,,Inhibitory activity against 5-lipoxygenase (5-LO) in intact rat barophilic leukemia cells (RBL-1),,,,,RBL-1,,12166
4160,,3595,702.0,B,,Inhibitory activity against 5-lipoxygenase (5-LO) using broken rat barophilic leukemia cells (RBL-1),,,,,RBL-1,,12166
4161,,12767,,B,,Inhibitory activity against rat basophilic leukemia 5-lipoxygenase,,,,,,,12166
4162,,10997,,B,,Inhibitory activity against 5-lipoxygenase in rat polymorphonuclear leukocytes,,,,,,,12166
4163,,11388,702.0,B,,Inhibitory activity against 5-lipoxygenase of RBL-1 cell line,,,,,RBL-1,,12166
4164,,167,,B,,Inhibitory activity against RBL broken cell-supematant 5-lipoxygenase was evaluated,,,,,,,12166
4165,,167,,B,,"Inhibitory activity against intact rat PMNL, LTB4 5-lipoxygenase was evaluated",,,,,,,12166
4166,,13744,,B,,Inhibitory activity against rat 5-lipoxygenase by using continuous oxygen consumption assay.,,,,,,,12166
4167,,1630,,B,,Inhibitory activity against rat basophilic leukemia cell 5-lipoxygenase,,,,,,,12166
4168,,1630,,B,,Inhibitory activity against rat basophilic leukemia cell 5-lipoxygenase (5-LO),,,,,,,12166
4169,,969,,B,,"Inhibitory activity against 5-lipoxygenase in rat neutrophils as inhibition of A 23,187-induced LTB4 production",,,Rattus norvegicus,10116.0,,,12166
4170,,13621,702.0,B,,Inhibitory concentration against 5-lipoxygenase in rat RBL-1 cells,,,,,RBL-1,,12166
4171,,10089,,B,,Inhibitory concentration to inhibit 5-lipoxygenase in the rat,,,,,,,12166
4172,,10193,,B,,In vitro inhibition of rat polymorphonuclear leukocyte 5-lipoxygenase,,,,,,,12166
4173,,11966,,B,,Tested for inhibition of 5-HPETE production by rat 5-LO; value ranges from 16-36 nM,,,,,,,12166
4174,,12251,,B,,Tested for inhibition of 5-LO by measuring the reduction of leukotriene B4 (LTB4) in intact basophilic rat leukemia cells,,,,,,,12166
4175,,211,702.0,B,,Tested for inhibition of 5-Lipoxygenase (ARBL) in calcium-stimulated rat basophilic leukemia cells(RBL-1),,,,,RBL-1,,12166
4176,,12251,,F,,Inhibition of 5-lipoxygenase measured by the reduction of leukotriene B4 (LTB4) in intact basophilic rat leukemia cells,,,,,,,12166
4177,,12495,702.0,B,,Tested for inhibitory activity against 5-lipoxygenase in microsome of RBL-1 cells,,,,,RBL-1,,12166
4178,,414,,B,,Tested for its inhibitory activity against 5-lipoxygenase,,,,,,,12166
4179,,414,,B,,Tested for its inhibitory activity against 5-lipoxygenase; Not determined,,,,,,,12166
4180,,10325,,B,,"Iin vitro inhibition of 5-lipoxygenase activity in rat basophil leukemia type 1(RBL1) cell homogenates, (reduction of [14C]-5-HETE formation)",,,,,,,12166
4181,,11966,,B,,In vitro test for inhibition of 5-lipoxygenase in cell-free preparations from rat PMN leukocytes,,,,,,,12166
4182,,165,702.0,B,,In vitro inhibition of 5-lipoxygenase activity in RBL-1 cells.,,,,,RBL-1,,12166
4183,,165,702.0,B,,The compound was evaluated in vitro for inhibition of 5-lipoxygenase activity in RBL-1 cells; No significant inhibitory activity up to 30 uM,,,,,RBL-1,,12166
4184,,165,702.0,B,,The compound was evaluated in vitro for inhibition of 5-lipoxygenase activity in RBL-1 cells.,,,,,RBL-1,,12166
4185,,165,702.0,B,,In vitro for inhibition of 5-lipoxygenase activity in RBL-1 cells.,,,,,RBL-1,,12166
4186,,11311,,B,,The compound was tested for inhibitory activity against 5-lipoxygenase in mouse,,,,,,,12166
4187,,11311,702.0,B,,The compound was tested for inhibitory activity against 5-lipoxygenase in rat RBL-1,,,,,RBL-1,,12166
4188,,11311,702.0,B,,The compound was tested for inhibitory activity against 5-lipoxygenase in rat RBL-1 cells,,,,,RBL-1,,12166
4189,,11311,,B,,The compound was tested for inhibitory activity against 5-lipoxygenase in rat polymorphonuclear leukocytes[PMNS],,,,,,,12166
4190,,11311,,B,,The compound was tested for inhibitory activity against 5-lipoxygenase in rat polymorphonuclear leukocytes[PMNS] (in vitro),,,,,,,12166
4191,,11311,,B,,The compound was tested for inhibitory activity against 5-lipoxygenase in rat polymorphonuclear leukocytes[PMNS] (in vivo),In vivo,,,,,,12166
4192,,11311,663.0,F,,The compound was tested for inhibitory activity against 5-lipoxygenase translocation inhibitor in RBL-2H3 cells,,,,,RBL-2H3,,12166
4193,,11311,663.0,F,,The compound was tested for inhibitory activity against 5-lipoxygenase translocation inhibitor in rat RBL-2H3 cells,,,,,RBL-2H3,,12166
4194,,11311,,B,,The compound was tested for inhibitory activity against 5-lipoxygenase using rat polymorphonuclear leukocytes[PMNS],,,,,,,12166
4195,,11732,,B,,The compound was tested for its inhibitory activity against arachidonic acid in rat 5-lipoxygenase,,,,,,,12166
4196,,11732,,B,,Tested for its inhibitory activity against arachidonic acid in rat 5-lipoxygenase.,,,,,,,12166
4197,,11087,,B,,In vitro inhibition of 5-lipoxygenase (5-lo) from the 20000 g supernatant of RBI-1 cells,,,,,,,12166
4198,,11087,,B,,The compound was tested for the in vitro inhibition of 5-lipoxygenase from the 20000 g supernatant of RBI-1 cells,,,,,,,12166
4199,,11087,702.0,B,,The compound was tested for the inhibition of 5-lipoxygenase (5-lo) in homogenized rat basophilic leukemia (RBL-1) cells,,,,,RBL-1,,12166
4200,,11087,,B,,Inhibition of 5-lipoxygenase (5-lo) in intact rat polymorphonuclear leukocyte RPMNL,,,Rattus norvegicus,10116.0,,,12166
4201,,496,702.0,B,,The compound was tested for the inhibition of 5-lipoxygenase in intact basophilic rat leukemia cells,,,,,RBL-1,,12166
4202,,13986,702.0,F,,Inhibition of 5-lipoxygenase on rat basophil leukemia cell line lysate (RBL-1 2H3 subline) by measuring 5-HETE production,,,,,RBL-1,,12166
4203,,11520,,B,,Compound was evaluated for the inhibition of 5-lipoxygenase,,,,,,,12166
4204,,10293,702.0,B,,Ability to inhibit 5-lipoxygenase by using a crude preparation of the cytosolic enzyme from the rat basophilic leukemia (RBL-1) cell line at a concentration of 25 uM,,,,,RBL-1,,12166
4205,,303,702.0,B,,Compound was evaluated for its inhibitory activity against 5-LO (5-lipoxygenase) at 10 uM concentration in intact RBL-1 cell line assay,,,,,RBL-1,,12166
4206,,303,702.0,B,,Compound was evaluated for its inhibitory activity against 5-LO (5-lipoxygenase) at 10 uM concentration in intact RBL-1 cell line assay; Less than 5% inhibition at 10 uM reported as not active,,,,,RBL-1,,12166
4207,,9247,702.0,B,,Compound was evaluated for the inhibition of rat basophilic leukemia-1 (RBL-1) 5-Lipoxygenase at 10 uM,,,,,RBL-1,,12166
4208,,9247,702.0,B,,Inhibition of rat basophilic leukemia-1 (RBL-1) 5-Lipoxygenase at 100 uM,,,Rattus norvegicus,10116.0,RBL-1,,12166
4209,,9247,702.0,B,,Compound was evaluated for the inhibition of rat basophilic leukemia-1 (RBL-1) 5-Lipoxygenase at 100 uM; NS = no significant activity,,,,,RBL-1,,12166
4210,,9247,702.0,B,,Compound was evaluated for the inhibition of rat basophilic leukemia-1 (RBL-1) 5-Lipoxygenase at 30 uM,,,,,RBL-1,,12166
4211,,9247,702.0,B,,Compound was evaluated for the inhibition of rat basophilic leukemia-1 (RBL-1) 5-Lipoxygenase at 300 uM,,,,,RBL-1,,12166
4212,,9247,702.0,B,,Compound was evaluated for the inhibition of rat basophilic leukemia-1 (RBL-1) 5-Lipoxygenase at 33 uM,,,,,RBL-1,,12166
4213,,9247,702.0,B,,Compound was evaluated for the inhibition of rat basophilic leukemia-1 (RBL-1) 5-Lipoxygenase at 40 uM,,,,,RBL-1,,12166
4214,,9247,702.0,B,,Compound was evaluated for the inhibition of rat basophilic leukemia-1 (RBL-1) 5-Lipoxygenase at 75 uM,,,,,RBL-1,,12166
4215,,11481,,B,,Inhibitory activity against 5-lipoxygenase at 10 uM,,,Rattus norvegicus,10116.0,,,12166
4216,,105,,B,,In vitro inhibition of 5-lipoxygenase; NS means no significant inhibition,,,,,,,12166
4217,,9029,,B,,In vitro inhibition of rat polymorphonuclear leukocyte (PMN) 5-Lipoxygenase at 10 uM,,,,,,,12166
4218,,1175,702.0,B,,Inhibitory activity against 5-lipoxygenase enzyme from RBL-1 cells at 20 uM,,,,,RBL-1,,12166
4219,,12118,702.0,B,,In vitro inhibition against 5-lipoxygenase in RBL-1 cells was determined at 100 uM,,,,,RBL-1,,12166
