cell_id,assay_cell_type,tissue_id,assay_subcellular_fraction,description,variant_id,relationship_type,assay_tissue,src_id,assay_strain,assay_organism,confidence_score,assay_type,chembl_id,assay_id,tid,curated_by,assay_tax_id,assay_category,bao_format,assay_test_type,doc_id,src_assay_id
,,,,Inhibition of 5-Lipoxygenase (5-LO) in rat basophilic leukemic cells,,H,,1,,,8,B,CHEMBL618062,3964,12166,Autocuration,,,BAO_0000019,,1203,
702.0,RBL-1,,,Inhibition of 5-lipoxygenase catalysis in rat basophilic leukemia (RBL) cells by measuring 5-HETE product formation,,H,,1,,,8,B,CHEMBL618063,3965,12166,Expert,,,BAO_0000219,,13622,
,,,,Inhibition of 5-lipoxygenase from rat peritoneal neutrophils after oral administration,,H,,1,,,8,B,CHEMBL618064,3966,12166,Autocuration,,,BAO_0000357,,9793,
702.0,RBL-1,,,Inhibition of 5-lipoxygenase of rat basophilic leukemia (RBL) cell cytosolic enzymes,,D,,1,,Rattus norvegicus,9,B,CHEMBL618065,3967,12166,Expert,10116.0,,BAO_0000219,,1143,
702.0,RBL-1,,,Inhibition 5-lipoxygenase mediated LTB4 formation in rat basophilic leukemia (RBL-1) cells,,D,,1,,Rattus norvegicus,9,B,CHEMBL618066,3968,12166,Expert,10116.0,,BAO_0000219,,11854,
702.0,RBL-1,,,Inhibitory activity against 5-lipoxygenase (5-LO) in intact rat barophilic leukemia cells (RBL-1),,H,,1,,,8,B,CHEMBL618067,3969,12166,Autocuration,,,BAO_0000219,,3595,
702.0,RBL-1,,,Inhibitory activity against 5-lipoxygenase (5-LO) using broken rat barophilic leukemia cells (RBL-1),,H,,1,,,8,B,CHEMBL618068,3970,12166,Autocuration,,,BAO_0000219,,3595,
702.0,RBL-1,,,Inhibition of 5-lipoxygenase in rat RBL-1 cells,,D,,1,,Rattus norvegicus,9,B,CHEMBL618069,3971,12166,Expert,10116.0,,BAO_0000219,,10501,
702.0,RBL-1,,,Inhibition of 5-lipoxygenase in intact rat basophilic leukemia cells stimulated with the calcium ionophore A-23187,,H,,1,,,8,B,CHEMBL618070,3972,12166,Expert,,,BAO_0000219,,12526,
,,349.0,,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 32 umol/kg,,H,Limbic system,1,,,8,F,CHEMBL618071,3973,10825,Autocuration,,,BAO_0000019,,10034,
,,349.0,,Compound was tested for its effects on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 0.10 umol/kg,,H,Limbic system,1,,,8,F,CHEMBL619247,3974,10825,Autocuration,,,BAO_0000019,,10034,
,,,,Approximate dose levels for a half maximal reduction of 5-HTP levels,,H,,1,,,8,F,CHEMBL619248,3975,10825,Autocuration,,,BAO_0000019,,10034,
,,10000000.0,,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue using [3H]OH-DPAT as radioligand.,,H,Hippocampus,1,,,8,B,CHEMBL619249,3976,10576,Autocuration,,,BAO_0000221,,10046,
,,10000000.0,,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue using [3H]OH-DPAT as radioligand.,,H,Hippocampus,1,,,8,B,CHEMBL619250,3977,10576,Autocuration,,,BAO_0000221,,10046,
,,,,Inhibitory activity against 5-hydroxytryptamine 1B receptor of rat striatal membrane homogenate using [3H]5-HT as the radioligand.,,H,,1,,,8,B,CHEMBL619251,3978,10577,Autocuration,,,BAO_0000019,,10046,
,,178.0,,Inhibitory concentration against human platelet 5-lipoxygenase in dog whole blood,,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619252,3979,55,Autocuration,9615.0,,BAO_0000019,,12079,
,,178.0,,Inhibitory concentration against human platelet 5-lipoxygenase in human whole blood,,H,Blood,1,,,8,F,CHEMBL619253,3980,55,Autocuration,,,BAO_0000019,,12079,
,,,,The compound was tested for inhibitory activity against 5-Lipoxygenase in rat polymorphonuclear leukocytes[PMNS],,H,,1,,,8,B,CHEMBL619254,3981,12166,Autocuration,,,BAO_0000219,,11311,
,,,,Inhibition of 5-lipoxygenase in bovine polymorphonuclear leukocytes,,H,,1,,,8,B,CHEMBL619255,3982,17140,Expert,,,BAO_0000219,,12338,
,,,,Inhibitory activity against 5-lipoxygenase (inhibition of 5-HETE and LTB4 biosynthesis) in bovine polymorphonuclear leukocytes (PMNL).,,H,,1,,,8,B,CHEMBL619256,3983,17140,Expert,,,BAO_0000219,,12143,
,,,,Inhibitory activity against 5-lipoxygenase (inhibition of 5-HETE and LTB4 biosynthesis) in bovine polymorphonuclear leukocytes (PMNL),,H,,1,,,8,B,CHEMBL875418,3984,17140,Autocuration,,,BAO_0000219,,12143,
,,,,Inhibitory activity against 5-lipoxygenase (inhibition of 5-HETE and LTB4 biosynthesis) in bovine polymorphonuclear leukocytes (PMNL) at 30 uM,,H,,1,,,8,B,CHEMBL619257,3985,17140,Expert,,,BAO_0000219,,12143,
,,,,Inhibitory activity against 5-lipoxygenase (inhibition of 5-HETE and LTB4 biosynthesis) in bovine polymorphonuclear leukocytes (PMNL) at 30 uM,,H,,1,,,8,B,CHEMBL619258,3986,17140,Autocuration,,,BAO_0000219,,12143,
,,,,Inhibition of 5-lipoxygenase in bovine PMNL cell assay.,,H,,1,,,8,B,CHEMBL619259,3987,17140,Expert,,,BAO_0000357,,12365,
,,,,Tested for inhibition of 5-lipoxygenase as inhibition of 5-HETE and LTB4 biosynthesis in bovine PMNL,,H,,1,,,8,B,CHEMBL619260,3988,17140,Expert,,,BAO_0000357,,13500,
,,178.0,,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.08h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619261,3989,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619263,3990,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619264,3991,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619265,3992,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619266,3993,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619902,3994,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620058,3995,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-LO was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620059,3996,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.08h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620060,3997,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620061,3998,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following peroral administration at the dose of 0.3 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620062,3999,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following peroral administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620063,4000,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following peroral administration at the dose of 3.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620064,4001,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620065,4002,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following peroral administration at the dose of 0.3 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620066,4003,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following peroral administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620067,4004,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following peroral administration at the dose of 3.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620068,4005,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620069,4006,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following peroral administration at the dose of 0.3 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620070,4007,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following peroral administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620071,4008,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following peroral administration at the dose of 3.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620072,4009,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620036,4010,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following peroral administration at the dose of 0.3 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL857702,4011,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following peroral administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620037,4012,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following peroral administration at the dose of 3.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620038,4013,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620039,4014,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following peroral administration at the dose of 0.3 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620040,4015,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following peroral administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620041,4016,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following peroral administration at the dose of 3.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620042,4017,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620043,4018,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following peroral administration at the dose of 0.3 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620044,4019,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following peroral administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620045,4020,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following peroral administration at the dose of 3.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620046,4021,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620047,4022,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following peroral administration at the dose of 0.3 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620048,4023,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following peroral administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL857703,4024,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following peroral administration at the dose of 3.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620049,4025,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.08h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620050,4026,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL620051,4027,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619213,4028,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619214,4029,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619804,4030,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following peroral administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619805,4031,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619806,4032,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619807,4033,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,178.0,,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Canis lupus familiaris,8,F,CHEMBL619808,4034,55,Autocuration,9615.0,,BAO_0000218,In vivo,12832,
,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 24 hr r,,H,,1,,Canis lupus familiaris,8,B,CHEMBL619809,4035,55,Autocuration,9615.0,,BAO_0000218,,3595,
,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 24 hr r to canine,,H,,1,,Canis lupus familiaris,8,B,CHEMBL619810,4036,55,Autocuration,9615.0,,BAO_0000218,,3595,
,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 2 hr,,H,,1,,Canis lupus familiaris,8,B,CHEMBL619811,4037,55,Autocuration,9615.0,,BAO_0000218,,3595,
,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 2 hr to canine,,H,,1,,Canis lupus familiaris,8,B,CHEMBL620769,4038,55,Autocuration,9615.0,,BAO_0000218,,3595,
,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 4 hr,,H,,1,,Canis lupus familiaris,8,B,CHEMBL620770,4039,55,Autocuration,9615.0,,BAO_0000218,,3595,
,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 4 hr to canine,,H,,1,,Canis lupus familiaris,8,B,CHEMBL620771,4040,55,Autocuration,9615.0,,BAO_0000218,,3595,
,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 8 hr,,H,,1,,Canis lupus familiaris,8,B,CHEMBL620772,4041,55,Autocuration,9615.0,,BAO_0000218,,3595,
,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 8 hr to canine,,H,,1,,Canis lupus familiaris,8,B,CHEMBL620773,4042,55,Autocuration,9615.0,,BAO_0000218,,3595,
,,,,Ability to inhibit 5-lipoxygenase in guinea pig,,H,,1,,Cavia porcellus,8,B,CHEMBL620774,4043,55,Autocuration,10141.0,,BAO_0000357,,9203,
,,,,Inhibition of [14C]arachidonic acid conversion to 5-HETE by broken cell 5-lipoxygenase in vitro (guinea pig PMN),,H,,1,,Cavia porcellus,8,B,CHEMBL620775,4044,55,Expert,10141.0,,BAO_0000357,,82,
,,,,Compound was tested for the inhibition of 5-lipoxygenase (5-Lpo) in guinea pig.,,H,,1,,Cavia porcellus,8,B,CHEMBL620776,4045,55,Autocuration,10141.0,,BAO_0000357,,11090,
,,178.0,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 12 h, following intravenous administration at the dose of 1.0 mg/kg",,H,Blood,1,,Cavia porcellus,8,B,CHEMBL620777,4046,55,Autocuration,10141.0,,BAO_0000218,,12832,
,,,,In vitro 5-lipoxygenase inhibition in guinea pig PMNs was determined based on 5-hydroxyeicosapentaenoic acid (5-HETE) production,,H,,1,,Cavia porcellus,8,B,CHEMBL620778,4047,55,Autocuration,10141.0,,BAO_0000357,,1065,
,,,,In vitro 5-lipoxygenase inhibition in guinea pig PMNs was determined based on LTB4 production,,H,,1,,Cavia porcellus,8,B,CHEMBL620779,4048,55,Autocuration,10141.0,,BAO_0000357,,1065,
,,,,In vitro 5-lipoxygenase inhibitory activity against A-23187-stimulated conversion of [14C]-AA to 5-HETE in guinea pig peritoneal polymorphonuclear leukocytes,,H,,1,,Cavia porcellus,8,B,CHEMBL621500,4049,55,Expert,10141.0,,BAO_0000019,,12832,
,,,,In vitro 5-lipoxygenase inhibitory activity against A-23187-stimulated conversion of [14C]AA to LTB4 in guinea pig peritoneal polymorphonuclear leukocytes,,H,,1,,Cavia porcellus,8,B,CHEMBL621501,4050,55,Expert,10141.0,,BAO_0000019,,12832,
,,,,In vitro 5-lipoxygenase inhibitory activity against A-23187-stimulated conversion of [14C]AA to LTB4 in guinea pig peritoneal polymorphonuclear leukocytes,,H,,1,,Cavia porcellus,8,B,CHEMBL618098,4051,55,Autocuration,10141.0,,BAO_0000019,,12832,
,,,,Inhibition against 5-lipoxygenase from guinea pig polymorphonuclear lymphocytes,,H,,1,,Cavia porcellus,8,B,CHEMBL618099,4052,55,Autocuration,10141.0,,BAO_0000019,,10504,
,,,,Inhibitory activity against 5-lipoxygenase,,H,,1,,Cavia porcellus,8,B,CHEMBL618100,4053,55,Autocuration,10141.0,,BAO_0000357,,7788,
,,,,Inhibitory activity against 5-lipoxygenase in guinea pig leukocyte,,H,,1,,Cavia porcellus,8,B,CHEMBL618101,4054,55,Autocuration,10141.0,,BAO_0000357,,10001,
,,,,Inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase using guinea pig supernatant,,H,,1,,Cavia porcellus,8,B,CHEMBL618102,4055,55,Autocuration,10141.0,,BAO_0000357,,10193,
,,,,Inhibitory activity against partially-purified Guinea pig PMN 5-lipoxygenase,,H,,1,,Cavia porcellus,8,B,CHEMBL618103,4056,55,Autocuration,10141.0,,BAO_0000357,,13243,
,,,,Inhibitory activity uM,,H,,1,,Cavia porcellus,8,B,CHEMBL618104,4057,55,Autocuration,10141.0,,BAO_0000357,,13243,
,,,,Inhibitory activity against 5-lipoxygenase in guinea pig leukocytes was determined,,H,,1,,Cavia porcellus,8,B,CHEMBL883712,4058,55,Autocuration,10141.0,,BAO_0000219,,969,
,,,,Inhibitory activity against 5-lipoxygenase at 10 uM,,H,,1,,Cavia porcellus,8,B,CHEMBL618105,4059,55,Autocuration,10141.0,,BAO_0000357,,10001,
,,,,Inhibitory activity against 5-lipoxygenase at a dose of 0.1 mM,,H,,1,,Cavia porcellus,8,B,CHEMBL618106,4060,55,Autocuration,10141.0,,BAO_0000357,,7788,
,,,,Inhibitory activity against 5-lipoxygenase in guinea pig leukocyte at 30 uM,,H,,1,,Cavia porcellus,8,B,CHEMBL618107,4061,55,Autocuration,10141.0,,BAO_0000357,,10001,
,,,,Inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase using guinea pig supernatant at 10 uM,,H,,1,,Cavia porcellus,8,B,CHEMBL618108,4062,55,Autocuration,10141.0,,BAO_0000357,,10193,
,,,,Inhibitory activity uM,,H,,1,,Cavia porcellus,8,B,CHEMBL618109,4063,55,Autocuration,10141.0,,BAO_0000357,,13243,
,,,,Inhibitory activity against partially-purified Guinea pig PMN 5-lipoxygenase at 10 uM,,H,,1,,Cavia porcellus,8,B,CHEMBL618110,4064,55,Autocuration,10141.0,,BAO_0000357,,13243,
,,,,Inhibitory activity uM,,H,,1,,Cavia porcellus,8,B,CHEMBL618111,4065,55,Expert,10141.0,,BAO_0000357,,13243,
,,,,Inhibitory activity uM,,H,,1,,Cavia porcellus,8,F,CHEMBL618112,4066,55,Autocuration,10141.0,,BAO_0000019,,13243,
,,,,Percent inhibition against 5-lipoxygenase from guinea pig polymorphonuclear lymphocytes,,H,,1,,Cavia porcellus,8,B,CHEMBL618113,4067,55,Autocuration,10141.0,,BAO_0000019,,10504,
,,,,Inhibitory activity against 5-lipoxygenase at a dose of 0.1 mM,,H,,1,,Cavia porcellus,8,B,CHEMBL618114,4068,55,Autocuration,10141.0,,BAO_0000357,,7788,
,,2116.0,,Evaluated for inhibition of the formation and release of 5-lipoxygenase in isolated guinea pig ileum,,H,Ileum,1,,Cavia porcellus,8,F,CHEMBL620871,4069,55,Expert,10141.0,,BAO_0000221,,10546,
,,,,5-lipoxygenase Inhibitory activity was measured by enzyme immunoassay using human whole blood stimulated with calcium ionophore (A23187) and LTB4 (leukotriene B4),,H,,1,,,8,B,CHEMBL620872,4070,55,Autocuration,,,BAO_0000357,,13183,
,,,,5-lipoxygenase Inhibitory activity was measured by enzyme immunoassay using human whole blood stimulated with calcium ionophore (A23187) and LTB4 (leukotriene B4),,H,,1,,,8,B,CHEMBL620873,4071,55,Autocuration,,,BAO_0000357,,13183,
,,,,Compound was evaluated for in vitro inhibition of recombinant human 5-lipoxygenase (5-LO),,H,,1,,,8,B,CHEMBL620874,4072,55,Autocuration,,,BAO_0000357,,2578,
,,,,In vitro inhibition of human 5-Lipoxygenase.,,H,,1,,,8,B,CHEMBL620875,4073,55,Expert,,,BAO_0000357,,12780,
