CHI,Ti,ASST,ASSTIS,ASTET,ASTY,CEI,ASI,ASSTI,TII,Descr,RELATITY,ASSUBCELFRA,CONSC,VAI,CUB,SI,BAFO,SASI,ASOR,DOI,ASSCATE,ASSCETY
CHEMBL621213,50597,,Heart,In vivo,A,,7930,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA at 15 min,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621214,50597,,Heart,In vivo,A,,7931,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA at 1 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621215,50597,,Heart,In vivo,A,,7932,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA at 30 min,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621216,50597,,Heart,In vivo,A,,7933,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA at 4 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621217,50597,,Heart,In vivo,A,,7934,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA-BDP at 1 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621218,50597,,Heart,In vivo,A,,7935,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA-BDP at 30 min,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621219,50597,,Heart,In vivo,A,,7936,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA-BDP at 4 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621220,50597,,Heart,In vivo,A,,7937,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA-BDPat 15 min,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621221,50597,,Heart,In vivo,A,,7938,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA-HPDP at 1 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621222,50597,,Heart,In vivo,A,,7939,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA-HPDP at 30 min,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621223,50597,,Heart,In vivo,A,,7940,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA-HPDP at 4 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL876485,50597,,Heart,In vivo,A,,7941,10116.0,948.0,Biodistribution in rat heart in the presence of GdDTPA-HPDPat 15 min,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621224,50597,,Heart,In vivo,A,,7942,10116.0,948.0,Biodistribution in rat heart in the presence of NAC Gd/0.01 M GdDTPA-HPDP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621225,50597,,Heart,In vivo,A,,7943,10116.0,948.0,Biodistribution in rat heart in the presence of NCA Gd/0.01 M lip,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621226,50597,,Heart,In vivo,A,,7944,10116.0,948.0,Biodistribution in rat heart in the presence of NCAGd/0.01 M lig,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621227,50597,,Kidney,In vivo,A,,7945,10116.0,2113.0,Biodistribution in rat kidney in the presence of 0.01 M GdDTPA-BDP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621228,50597,,Kidney,In vivo,A,,7946,10116.0,2113.0,Biodistribution in rat kidney in the presence of 0.01 M/0.01 M GdDTPA-AEP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621229,50597,,Kidney,In vivo,A,,7947,10116.0,2113.0,Biodistribution in rat kidney in the presence of 0.01 M/0.08 M GdDTPA-AEP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621230,50597,,Kidney,In vivo,A,,7948,10116.0,2113.0,Biodistribution in rat kidney in the presence of 0.05 M Gd/0.15 M lig,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621231,50597,,Kidney,In vivo,A,,7949,10116.0,2113.0,Biodistribution in rat kidney in the presence of 0.05 M GdDTPA-BDP; ND=No data,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621232,50597,,Kidney,In vivo,A,,7950,10116.0,2113.0,Biodistribution in rat kidney in the presence of 0.05 M/0.05 M GdDTPA-AEP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621233,50597,,Kidney,In vivo,A,,7951,10116.0,2113.0,Biodistribution in rat kidney in the presence of 0.05 M/0.08 M GdDTPA-HPDP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621234,50597,,Kidney,In vivo,A,,7952,10116.0,2113.0,Biodistribution in rat kidney in the presence of 0.10 M GdDTPA-BDP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621235,50597,,Kidney,In vivo,A,,7953,10116.0,2113.0,Biodistribution in rat kidney in the presence of 0.10 M/0.11 M GdDTPA-AEP; ND=No data,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621236,50597,,Kidney,In vivo,A,,7954,10116.0,2113.0,Biodistribution in rat kidney in the presence of NAC Gd/0.01 M GdDTPA-HPDP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL621237,50597,,Kidney,In vivo,A,,7955,10116.0,2113.0,Biodistribution in rat kidney in the presence of NCA Gd/0.01 M lip,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL876486,50597,,Kidney,In vivo,A,,7956,10116.0,2113.0,Biodistribution in rat kidney in the presence of NCAGd/0.01 M lig,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622436,50597,,Intestine,In vivo,A,,7957,10116.0,160.0,Biodistribution in rat l. intestine in the presence of 0.01 M carrier at 1 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622437,50597,,Intestine,In vivo,A,,7958,10116.0,160.0,Biodistribution in rat l. intestine in the presence of 50 Gd/kg at 2 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622438,50597,,Intestine,In vivo,A,,7959,10116.0,160.0,Biodistribution in rat l. intestine in the presence of 50 Gd/kg at 6 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622439,50597,,Liver,In vivo,A,,7960,10116.0,2107.0,Biodistribution in rat liver by in the presence 50 Gd/kg at 15 min,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622440,50597,,Liver,In vivo,A,,7961,10116.0,2107.0,Biodistribution in rat liver by in the presence of 0.05 M Gd/0.15 M lig,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622441,50597,,Liver,In vivo,A,,7962,10116.0,2107.0,Biodistribution in rat liver by in the presence of NCAGd/0.01 M lig,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622442,50597,,Liver,In vivo,A,,7963,10116.0,2107.0,Biodistribution in rat liver in the presence of 0.001 M/0.008 M GdDTPA-AEP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622443,50597,,Liver,In vivo,A,,7964,10116.0,2107.0,Biodistribution in rat liver in the presence of 0.01 M GdDTPA-BDP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622444,50597,,Liver,In vivo,A,,7965,10116.0,2107.0,Biodistribution in rat liver in the presence of 0.01 M/0.01 M GdDTPA-AEP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622445,50597,,Liver,In vivo,A,,7966,10116.0,2107.0,Biodistribution in rat liver in the presence of 0.05 M GdDTPA-BDP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622446,50597,,Liver,In vivo,A,,7967,10116.0,2107.0,Biodistribution in rat liver in the presence of 0.05 M/0.05 M GdDTPA-AEP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622447,50597,,Liver,In vivo,A,,7968,10116.0,2107.0,Biodistribution in rat liver in the presence of 0.05 M/0.08 M GdDTPA-HPDP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622448,50597,,Liver,In vivo,A,,7969,10116.0,2107.0,Biodistribution in rat liver in the presence of 0.10 M GdDTPA-BDP,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622449,50597,,Liver,In vivo,A,,7970,10116.0,2107.0,Biodistribution in rat liver in the presence of 0.10 M/0.11 M GdDTPA-AEP; ND=No data,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622450,50597,,Liver,In vivo,A,,7971,10116.0,2107.0,Biodistribution in rat liver in the presence of 50 Gd/kg at 2 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622451,50597,,Liver,In vivo,A,,7972,10116.0,2107.0,Biodistribution in rat liver in the presence of 50 Gd/kg at at 6 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622452,50597,,Liver,In vivo,A,,7973,10116.0,2107.0,Biodistribution in rat liver in the presence of GdDTPA at 15 min,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622453,50597,,Liver,In vivo,A,,7974,10116.0,2107.0,Biodistribution in rat liver in the presence of GdDTPA at 1 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622454,50597,,Liver,In vivo,A,,7975,10116.0,2107.0,Biodistribution in rat liver in the presence of GdDTPA at 30 min,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622455,50597,,Liver,In vivo,A,,7976,10116.0,2107.0,Biodistribution in rat liver in the presence of GdDTPA at 4 hr,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL876024,50597,,Liver,In vivo,A,,7977,10116.0,2107.0,Biodistribution in rat liver in the presence of GdDTPA-BDP at 15 min,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,9866,,
CHEMBL622456,50597,,,In vivo,A,,7978,10116.0,,T max was determined at 3 mg/kg po dose in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,2792,,
CHEMBL622457,50597,,,In vivo,A,,7979,10116.0,,"The Tmax value in female wistar rat at 100 mg/kg, p.o. dose",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15078,,
CHEMBL622458,50597,,,In vivo,A,,7980,10116.0,,"The Tmax value in male wistar rat at 100 mg/kg, p.o. dose",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15078,,
CHEMBL622459,50597,,,,A,,7981,10116.0,,The time to reach maximum concentration of compound was measured at the dose of 100 umol/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15022,,
CHEMBL873343,50597,,,,A,,7982,10116.0,,The time to reach maximum concentration of compound was measured at the dose of 300 umol/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15022,,
CHEMBL622460,50597,,,,A,,7983,10116.0,,The time to reach maximum concentration of compound was measured at the dose of 30 umol/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15022,,
CHEMBL622461,50597,,Plasma,,A,,7984,10116.0,1969.0,Time for maximum plasma concentration determined in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,4576,,
CHEMBL622462,50597,,Plasma,In vivo,A,,7985,10116.0,1969.0,Time for maximum plasma concentration reached by compound was determined in rats at 50 mg/kg dose,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6681,,
CHEMBL622463,50597,,,In vivo,A,,7986,10116.0,,Time of maximum concentration of the drug when administered orally a dose of 10 mg/kg to a fasting rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,16365,,
CHEMBL622464,50597,,,In vivo,A,,7987,10116.0,,Time of maximum concentration of the drug when administered orally a dose of 1 mg/kg to a fasting rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,16365,,
CHEMBL622465,50597,,,In vivo,A,,7988,10116.0,,Time of maximum concentration of the drug when administered orally a dose of 30 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,16365,,
CHEMBL622466,50597,,,In vivo,A,,7989,10116.0,,Time of maximum concentration of the drug when administered orally a dose of 3 mg/kg to a fasting rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,16365,,
CHEMBL622467,50597,,,In vivo,A,,7990,10116.0,,Time of maximum concentration of the drug when administered orally at dose of 3 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,16365,,
CHEMBL622468,50597,,Plasma,,A,,7991,10116.0,1969.0,Time of maximum plasma concentration in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6824,,
CHEMBL876025,50597,,Plasma,,A,,7992,10116.0,1969.0,"Time required by compound for reaching maximum plasma concentration was determined in rats at 10 mg/kg, p.o. dose",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6685,,
CHEMBL622469,50597,,Plasma,,A,,7993,10116.0,1969.0,"Time required by compound for reaching maximum plasma concentration was determined in rats at 20 mg/kg, i.p. dose",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6685,,
CHEMBL622470,50597,,Plasma,,A,,7994,10116.0,1969.0,"Time required by compound for reaching maximum plasma concentration was determined in rats at 2 mg/kg, i.v. dose; n/a: not applicable",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6685,,
CHEMBL622471,50597,,,In vivo,A,,7995,10116.0,,Time required to reach maximum concentration (Cmax) after oral administration in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15662,,
CHEMBL622472,50597,,Plasma,,A,,7996,10116.0,1969.0,Time required to reach maximum concentration in rat plasma,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,1742,,
CHEMBL622473,50597,,Plasma,In vivo,A,,7997,10116.0,1969.0,Time taken by the compound to achieve maximum concentration in rat plasma at 30 mg/Kg upon oral administration.,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,2774,,
CHEMBL624282,50597,,Plasma,In vivo,A,,7998,10116.0,1969.0,Time taken by the compound to achieve maximum plasma concentration at a 1 mg/kg oral dose in female Sprague-Dawley rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5199,,
CHEMBL624283,50597,,Plasma,In vivo,A,,7999,10116.0,1969.0,Time taken for maximum plasma concentration for the compound in solution form (formulation) was determined in rats at peroral dose of 5 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,12873,,
CHEMBL624284,50597,,Plasma,In vivo,A,,8000,10116.0,1969.0,Time taken for maximum plasma concentration for the compound in suspension form (formulation) was determined in rats at peroral dose of 5 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,12873,,
CHEMBL624285,50597,,Plasma,In vivo,A,,8001,10116.0,1969.0,Time taken to reach maximum concentration in plasma was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,1916,,
CHEMBL624286,50597,,,In vivo,A,,8002,10116.0,,Time to reach Cmax after oral administration to rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,16367,,
CHEMBL624287,50597,,,In vivo,A,,8003,10116.0,,Time to reach Cmax when a dose of 1 mg/kg is administered orally,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,16366,,
CHEMBL624288,50597,,,,A,,8004,10116.0,,Time to reach maximum concentration following oral administration of 200 mg/kg in rat; value ranges from 2-4,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,216,,
CHEMBL624289,50597,,Plasma,In vivo,A,,8005,10116.0,1969.0,Time to reach maximum plasma concentration was evaluated at an intravenous dose of 3 mg/kg; Not applicable,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6410,,
CHEMBL873344,50597,,Plasma,In vivo,A,,8006,10116.0,1969.0,Time to reach maximum plasma concentration was evaluated at an oral dose of 30 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6410,,
CHEMBL619623,50597,,,In vivo,A,,8007,10116.0,,Tmax after peroral administration (10 mg/kg) was determined in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6215,,
CHEMBL621399,50597,,,In vivo,A,,8008,10116.0,,Tmax of compound determined in rat after iv administration at a dose of 10 mg/kg,N,,1,,Expert,1,BAO_0000218,,Rattus norvegicus,3598,,
CHEMBL621400,50597,,,In vivo,A,,8009,10116.0,,Tmax by oral administration at a dose of 100 uM/kg in rat was determined,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,4527,,
CHEMBL621401,50597,,,In vivo,A,,8010,10116.0,,"Tmax in fischer rats at 5 mg/kg dose, administered intravenously",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17670,,
CHEMBL621402,50597,,,,A,,8011,10116.0,,Tmax was determined,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,1465,,
CHEMBL621403,50597,,,,A,,8012,10116.0,,Tmax was determined,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,2552,,
CHEMBL621121,50597,,,In vivo,A,,8013,10116.0,,Tmax after oral administration in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5656,,
CHEMBL872525,50597,,,In vivo,A,,8014,10116.0,,Tmax after peroral administration in rats at 2.4 uM/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17764,,
CHEMBL621122,50597,,,,A,,8015,10116.0,,Tmax in male rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5610,,
CHEMBL621123,50597,,,In vivo,A,,8016,10116.0,,Tmax in rat at 10 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6046,,
CHEMBL621124,50597,,,In vivo,A,,8017,10116.0,,Tmax in rat by po administration at a dose of 40 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5874,,
CHEMBL621125,50597,,,,A,,8018,10116.0,,Tmax in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17596,,
CHEMBL621126,50597,,,In vivo,A,,8019,10116.0,,Tmax was measured in rats after peroral administration at 5 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17804,,
CHEMBL621127,50597,,,In vivo,A,,8020,10116.0,,Tmax value after oral dose at a dose of 10 mg/kg in rats.,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,1908,,
CHEMBL621128,50597,,,In vivo,A,,8021,10116.0,,Tmax value after administration of 20 mg/Kg oral dose in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,2959,,
CHEMBL618263,50597,,,In vivo,A,,8022,10116.0,,Tmax value at a dose of 10 mg/kg in male SD rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6757,,
CHEMBL618264,50597,,,In vivo,A,,8023,10116.0,,Tmax value at a dose of 100 mg/kg in male SD rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6757,,
CHEMBL618265,50597,,,In vivo,A,,8024,10116.0,,Tmax value at a dose of 50 mg/kg in male SD rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6757,,
CHEMBL618266,50597,,Plasma,In vivo,A,,8025,10116.0,1969.0,Total concentration in rat plasma after administration of 3.5 mg/kg dose through subcutaneous route,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,4186,,
CHEMBL618267,50597,,,In vivo,A,,8026,10116.0,,time required to reach maximum concentration (Cmax) after oral administration in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15662,,
CHEMBL618450,50597,,Urine,,A,,8027,10116.0,1088.0,Evaluated for pharmacokinetic parameter urine recovery in rat at the dose 50 mg/kg ( 0-24 hr ),N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,429,,
CHEMBL618451,50597,,Urine,,A,,8028,10116.0,1088.0,Evaluated for pharmacokinetic parameter urine recovery in rat at the dose 50 mg/kg (0-24 hr),N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,429,,
CHEMBL618452,50597,,,,A,,8029,10116.0,,Unbound plasma was determined in Sprague-Dawley rats at a dose of 1 mg/kg by iv administration,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5546,,
CHEMBL618453,50597,,Urine,,A,,8030,10116.0,1088.0,Amount of urine output was measured in rat at a dose of 1 mg/kg/po,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,3173,,
CHEMBL618454,50597,,Urine,,A,,8031,10116.0,1088.0,Amount of urine output was measured in rat at a dose of 10 mg/kg/po,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,3173,,
CHEMBL618455,50597,,Urine,,A,,8032,10116.0,1088.0,Amount of urine output was measured in rat at a dose of 10 mg/kg/po; NT-Not tested,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,3173,,
CHEMBL618456,50597,,,In vivo,A,,8033,10116.0,,Volume of distribution was determined in rat after a 3 mg/kg of iv dose,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,4257,,
CHEMBL618457,50597,,,In vivo,A,,8034,10116.0,,Compound distribution in rat tissues was determined,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6011,,
CHEMBL618458,50597,,,In vivo,A,,8035,10116.0,,Volume of distribution was evaluated in rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5472,,
CHEMBL618459,50597,,,,A,,8036,10116.0,,Area under the curve was determined after intravenous administration of 2.7 mg/kg in male Dawley rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14346,,
CHEMBL876733,50597,,,,A,,8037,10116.0,,Area under the curve was determined after intravenous administration of 2.8 mg/kg in male Dawley rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14346,,
CHEMBL618460,50588,,,,A,,8038,9615.0,,Area under the curve was determined after intravenous administration of 4.9 mg/kg in male Beagle dogs,N,,1,,Intermediate,1,BAO_0000218,,Canis lupus familiaris,14346,,
CHEMBL618461,50597,,,,A,,8039,10116.0,,Area under the curve was determined after intravenous administration of 5.1 mg/kg in male Dawley rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14346,,
CHEMBL618462,22224,,,,A,,8040,,,Area under the curve was determined after oral administration (300 uM/Kg),U,,0,,Autocuration,1,BAO_0000019,,,15469,,
CHEMBL618463,50597,,,,A,,8041,10116.0,,Area under the curve was determined after peroral administration of 5.0 mg/kg in male Dawley rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14346,,
CHEMBL618464,50597,,,,A,,8042,10116.0,,Area under the curve was determined after peroral administration of 5.1 mg/kg in mal Dawley rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14346,,
CHEMBL618465,50597,,,,A,,8043,10116.0,,Area under the curve was determined after peroral administration of 5.1 mg/kg in male Dawley rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14346,,
CHEMBL618466,50597,,,,A,,8044,10116.0,,Area under the curve was determined after peroral administration of 5.2 mg/kg in mal Dawley rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14346,,
CHEMBL618467,50597,,,,A,,8045,10116.0,,Area under the curve was determined after peroral administration of 5.2 mg/kg in male Dawley rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14346,,
CHEMBL618468,50597,,,,A,,8046,10116.0,,Area under the curve was determined for the compound after iv dose of 4.97 mg/kg in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15372,,
CHEMBL618469,50588,,Plasma,,A,,8047,9615.0,1969.0,Area under the plasma concentration was determined in fasted Beagle dogs after peroral administration of 100 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Canis lupus familiaris,12935,,
CHEMBL618470,50588,,Plasma,,A,,8048,9615.0,1969.0,Area under the plasma concentration was determined in fasted Beagle dogs after peroral administration of 20 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Canis lupus familiaris,12935,,
CHEMBL618471,22224,,,,A,,8049,,,Plasma drug AUC in rat (PO dose),U,,0,,Autocuration,1,BAO_0000218,,,14813,,
CHEMBL618472,50594,,,,A,,8050,10090.0,,Area under the tumor growth curve (AUC) in the B-6 Melanoma Model in C57/b1 mice at the dose of 1 mg/kg.,N,,1,,Intermediate,1,BAO_0000218,,Mus musculus,15792,,
CHEMBL618473,22224,,,,A,,8051,,,Area under was determined at a dose of 30 mg/kg,U,,0,,Autocuration,1,BAO_0000218,,,3579,,
CHEMBL621699,50506,,,,A,,8052,9669.0,,Average area under curve for compound at 1 mg/kg dose intravenous administration to Ferret,N,,1,,Intermediate,1,BAO_0000218,,Mustela putorius furo,12487,,
CHEMBL621700,50597,,,,A,,8053,10116.0,,Average area under curve for the compound at 10 mg/kg dose after intraduodenal administration to rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,12487,,
CHEMBL621701,50597,,,,A,,8054,10116.0,,Average area under curve for the compound at 1 mg/kg dose after intravenous administration to rat,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,12487,,
CHEMBL621702,50506,,,,A,,8055,9669.0,,Average area under curve at 10 mg/kg dose after intraduodenal administration to Ferret,N,,1,,Intermediate,1,BAO_0000218,,Mustela putorius furo,12487,,
CHEMBL621703,50588,,,,A,,8056,9615.0,,Average area under curve at 10 mg/kg intraduodenal administration to salt depleted dog,N,,1,,Intermediate,1,BAO_0000218,,Canis lupus familiaris,12487,,
CHEMBL621704,50588,,,,A,,8057,9615.0,,Average area under curve at 1 mg/kg intravenous administration to salt depleted dog,N,,1,,Intermediate,1,BAO_0000218,,Canis lupus familiaris,12487,,
CHEMBL624259,50597,,,,A,,8058,10116.0,,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 1.0(pmol/g/h)",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,12902,,
CHEMBL624260,50597,,,,A,,8059,10116.0,,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 2.0(pmol/g/h)",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,12902,,
CHEMBL624430,50597,,,,A,,8060,10116.0,,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 4.0(pmol/g/h)",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,12902,,
CHEMBL624431,50597,,,,A,,8061,10116.0,,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 5.0(pmol/g/h)",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,12902,,
CHEMBL624432,50597,,,,A,,8062,10116.0,,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 54.0(pmol/g/h)",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,12902,,
