assay_id,assay_test_type,doc_id,curated_by,assay_tax_id,assay_strain,src_id,description,cell_id,src_assay_id,chembl_id,assay_subcellular_fraction,tid,assay_organism,assay_cell_type,variant_id,assay_type,assay_category,assay_tissue
912,,6588,Expert,,,1,Binding affinity towards human 5-hydroxytryptamine 1A receptor by the displacement of [3H]5-HT radioligand from the cloned receptor expressed in HeLa cells,308.0,,CHEMBL615761,,51,,HeLa,,B,,
913,,16209,Autocuration,,,1,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]-5-HT as radioligand,,,CHEMBL872104,,51,,,,B,,
914,,15463,Autocuration,,,1,Binding affinity towards recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,,,CHEMBL615762,,51,,,,B,,
915,,15463,Autocuration,,,1,Binding affinity towards recombinant human Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,,,CHEMBL615763,,51,,,,B,,
916,,14770,Autocuration,,,1,Binding affinity for recombinant human 5-hydroxytryptamine 1A receptor using [3H]5-HT as radioligand.,,,CHEMBL615764,,51,,,,B,,
917,,16245,Autocuration,,,1,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines (He La),1167.0,,CHEMBL615765,,51,,Cell line,,B,,
918,,16245,Autocuration,,,1,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines(He La),,,CHEMBL615766,,51,,,,B,,
919,,5548,Autocuration,,,1,Binding affinity towards 5-HT1A receptor using [3H]8-OH-DPAT as radioligand,,,CHEMBL615767,,51,,,,B,,
920,,5548,Expert,,,1,Binding affinity was determined towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,CHEMBL615768,,51,,,,B,,
921,,5548,Autocuration,,,1,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,CHEMBL615769,,51,,,,B,,
922,,6876,Expert,,,1,Binding affinity was evaluated at 5-hydroxytryptamine 1A receptor labeled with [3H]-8-OH-DPAT,,,CHEMBL615770,,51,,,,B,,
923,,2598,Autocuration,,,1,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,CHEMBL615771,,51,,,,B,,
924,,17785,Expert,,,1,Binding affinity to human 5-hydroxytryptamine 1A receptor was measured using [3H]-8-hydroxy-2-(di-n-propylamine) tetraline [3H]8-OH-DPAT) as radioligand,,,CHEMBL615772,,51,,,,B,,
925,,6013,Autocuration,,,1,Binding affinity towards 5-hydroxytryptamine 1A receptor,,,CHEMBL615773,,51,,,,B,,
926,,5929,Expert,,,1,Binding affinity towards 5-hydroxytryptamine 1A receptor in human using [3H]8-OH-DPAT as radioligand,,,CHEMBL615774,,51,,,,B,,
927,,16633,Autocuration,,,1,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,CHEMBL615775,,51,,,,B,,
928,,1558,Autocuration,,,1,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,,,CHEMBL615776,,51,,,,B,,
929,,16026,Expert,,,1,Binding affinity towards human cloned 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,CHEMBL615777,,51,,,,B,,
930,,12469,Autocuration,,,1,Binding affinity was measured on 5-hydroxytryptamine 1A receptor in AK cells transfected with human 5-HT1A gene labeled with [3H]-8-OH-DPAT,,,CHEMBL615778,,51,,,,B,,
931,,15874,Expert,9606.0,,1,Binding affinity was measured on cloned Human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,,,CHEMBL615779,,51,Homo sapiens,,,B,,
932,,15874,Autocuration,,,1,Binding affinity was measured on cloned human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,,,CHEMBL615780,,51,,,,B,,
933,,3935,Autocuration,,,1,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1A receptor,,,CHEMBL616298,,51,,,,B,,
934,,15818,Autocuration,,,1,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1A receptor,,,CHEMBL616299,,51,,,,B,,
935,,13706,Autocuration,,,1,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells.,485.0,,CHEMBL616300,,51,,CHO-K1,,B,,
936,,13729,Expert,,,1,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1A receptor in CHO-K1 cells,485.0,,CHEMBL616301,,51,,CHO-K1,,F,,
937,,15413,Autocuration,,,1,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor,,,CHEMBL616302,,51,,,,B,,
938,,15413,Autocuration,,,1,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 1),,,CHEMBL616117,,51,,,,B,,
939,,15413,Autocuration,,,1,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 2),,,CHEMBL616118,,51,,,,B,,
940,,15413,Autocuration,,,1,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor by Panlabs assay,,,CHEMBL616119,,51,,,,B,,
941,,3445,Expert,9606.0,,1,Displacement of specific [3H]- 5-HT binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells,308.0,,CHEMBL616120,,51,Homo sapiens,HeLa,,B,,
942,,15740,Autocuration,,,1,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,,,CHEMBL616121,,51,,,,B,,
943,,15740,Autocuration,,,1,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor receptor,,,CHEMBL616122,,51,,,,B,,
944,,17626,Autocuration,,,1,In vitro binding affinity tested on human 5-hydroxytryptamine 1A receptor,,,CHEMBL616123,,51,,,,B,,
945,,4234,Expert,9606.0,,1,In vitro binding affinity to human 5-hydroxytryptamine 1A receptor,,,CHEMBL616124,,51,Homo sapiens,,,B,,
946,,5640,Expert,,,1,In vitro binding affinity at 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,,,CHEMBL616125,,51,,,,B,,
947,,5272,Expert,10116.0,,1,In vitro binding affinity towards Human 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT,,,CHEMBL616126,,51,Rattus norvegicus,,,B,,
948,,4622,Autocuration,,,1,In vitro binding affinity towards cloned human 5-hydroxytryptamine 1A receptor expressed in Chinese hamster ovary (CHO) cells using [3H]8-OH-DPAT as radioligand,449.0,,CHEMBL616127,,51,,CHO,,B,,
949,,17085,Expert,,,1,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor,,,CHEMBL616128,,51,,,,B,,
950,,3025,Autocuration,,,1,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand,,,CHEMBL616129,,51,,,,B,,
951,,15315,Expert,,,1,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor,,,CHEMBL616130,,51,,,,B,,
952,,15267,Autocuration,,,1,Inhibition of [3H]- OH-DPAT binding against 5-hydroxytryptamine 1A receptor from human recombinant,,,CHEMBL616131,,51,,,,B,,
953,,17158,Autocuration,,,1,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor serotonergic receptor in human HeLa cells,308.0,,CHEMBL616132,,51,,HeLa,,B,,
954,,14214,Expert,9606.0,,1,Receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor in HeLa cells,308.0,,CHEMBL616133,,51,Homo sapiens,HeLa,,B,,
955,,17133,Autocuration,,,1,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,CHEMBL616134,,51,,,,B,,
956,,16532,Autocuration,,,1,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT,,,CHEMBL616135,,51,,,,B,,
957,,2391,Expert,9606.0,,1,Affinity for 5-hydroxytryptamine 1A receptor subtype,,,CHEMBL616136,,51,Homo sapiens,,,B,,
958,,14447,Autocuration,,,1,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes,,,CHEMBL616137,,51,,,,B,,
959,,14447,Autocuration,,,1,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes.,,,CHEMBL872105,,51,,,,B,,
960,,15086,Autocuration,,,1,The compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor receptor,,,CHEMBL616138,,51,,,,B,,
961,,13051,Expert,9606.0,,1,Binding affinity for cloned human 5-hydroxytryptamine 1A receptor,,,CHEMBL616139,,51,Homo sapiens,,,B,,
962,,16026,Autocuration,,,1,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor; Not active",,,CHEMBL616140,,51,,,,F,,
963,,17085,Expert,,,1,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor; ND means not determined,,,CHEMBL616141,,51,,,,B,,
964,,17133,Autocuration,,,1,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,,,CHEMBL616142,,51,,,,B,,
965,,17133,Autocuration,,,1,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; ND means Not determined,,,CHEMBL616143,,51,,,,B,,
966,,17211,Autocuration,,,1,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,308.0,,CHEMBL616144,,51,,HeLa,,B,,
967,,17211,Autocuration,,,1,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT=not tested,308.0,,CHEMBL616145,,51,,HeLa,,B,,
968,,17211,Autocuration,,,1,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,308.0,,CHEMBL616012,,51,,HeLa,,B,,
969,,17211,Autocuration,,,1,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,308.0,,CHEMBL616013,,51,,HeLa,,B,,
970,,16394,Autocuration,,,1,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",,,CHEMBL616014,,51,,,,F,,
971,,16394,Autocuration,,,1,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",,,CHEMBL616015,,51,,,,F,,
972,,16394,Autocuration,,,1,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",,,CHEMBL616016,,51,,,,F,,
973,In vivo,16394,Autocuration,,,1,Antagonist induction of hypothermia by 8-OH-DPAT in 5-hydroxytryptamine 1A receptor after subcutaneous administration; NT is not tested,,,CHEMBL616017,,51,,,,F,,
974,,16394,Autocuration,,,1,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]-8-OH-DPAT binding in Chinese hamster ovary cell line; NT is not tested,,,CHEMBL616018,,51,,,,B,,
975,,15740,Autocuration,,,1,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor receptor; Not tested,,,CHEMBL616019,,51,,,,F,,
976,,15740,Autocuration,,,1,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor; Not tested,,,CHEMBL616020,,51,,,,F,,
977,,15740,Autocuration,,,1,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,,,CHEMBL858018,,51,,,,B,,
978,,17296,Autocuration,,,1,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,722.0,,CHEMBL616021,,51,,HEK293,,F,,
979,,5640,Expert,,,1,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at 1 uM.",,,CHEMBL616022,,51,,,,F,,
980,,5640,Autocuration,,,1,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means Not determined",,,CHEMBL616023,,51,,,,F,,
981,,5640,Autocuration,,,1,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means not determined",,,CHEMBL616024,,51,,,,F,,
982,,5640,Autocuration,,,1,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; Not determined",,,CHEMBL616025,,51,,,,F,,
983,,2759,Autocuration,,,1,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,449.0,,CHEMBL616026,,51,,CHO,,F,,
984,,16394,Autocuration,,,1,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT",,,CHEMBL616027,,51,,,,F,,
985,,16394,Expert,9606.0,,1,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared to 5-HT",,,CHEMBL616028,,51,Homo sapiens,,,F,,
986,,3445,Expert,9606.0,,1,Percent efficacy against human 5-hydroxytryptamine 1A receptor relative to maximal 5-HT response,,,CHEMBL616029,,51,Homo sapiens,,,F,,
987,,4316,Expert,,,1,Binding affinity for 5-hydroxytryptamine 1A receptor was determined by incubating human 5-hydroxytryptamine 1A receptor transfected CHO cells with [3H]8-OH-DPAT,449.0,,CHEMBL616030,,51,,CHO,,B,,
988,,4316,Expert,,,1,In vitro inhibition of [3H]8-OH-DPAT binding to human cloned 5-hydroxytryptamine 1A receptor on CHO cell membranes.,,,CHEMBL616031,,51,,,,B,,
989,,15180,Expert,9606.0,,1,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,,,CHEMBL616032,,51,Homo sapiens,,,F,,
990,,15180,Expert,9606.0,,1,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,,,CHEMBL616033,,51,Homo sapiens,,,F,,
991,,15042,Autocuration,,,1,Maximum binding affinity was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,,,CHEMBL616034,,51,,,,F,,
992,,15042,Autocuration,,,1,Maximum binding affinity was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,,,CHEMBL616035,,51,,,,F,,
993,,15042,Autocuration,,,1,Maximum binding affinity was evaluated as ([35S]GTP binding on cloned human 5-hydroxytryptamine 1A receptor,,,CHEMBL616036,,51,,,,F,,
994,,15042,Autocuration,,,1,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,,,CHEMBL616037,,51,,,,F,,
995,,15042,Autocuration,,,1,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,,,CHEMBL616038,,51,,,,F,,
996,,15042,Autocuration,,,1,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,,,CHEMBL616039,,51,,,,F,,
997,,15042,Autocuration,,,1,Agonist efficacy was evaluated as [35S]GTP binding on cloned human 5-hydroxytryptamine 1A receptor,,,CHEMBL616040,,51,,,,F,,
998,,15180,Expert,9606.0,,1,Concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,308.0,,CHEMBL616041,,51,Homo sapiens,HeLa,,F,,
999,,15180,Expert,9606.0,,1,Negative logarithm of concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,308.0,,CHEMBL616042,,51,Homo sapiens,HeLa,,F,,
1000,,15180,Expert,9606.0,,1,Negative logarithm of concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,308.0,,CHEMBL616043,,51,Homo sapiens,HeLa,,F,,
1001,,16245,Autocuration,,,1,"Potency (pD2) for the stimulation of [35S]GTP-gamma-S, binding on 5-hydroxytryptamine 1A receptor",,,CHEMBL616044,,51,,,,F,,
1002,,16026,Autocuration,,,1,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",,,CHEMBL616045,,51,,,,F,,
1003,,17296,Autocuration,,,1,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,722.0,,CHEMBL616046,,51,,HEK293,,F,,
1004,,2759,Autocuration,,,1,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),449.0,,CHEMBL616047,,51,,CHO,,F,,
1005,,2759,Autocuration,,,1,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells,449.0,,CHEMBL616048,,51,,CHO,,F,,
1006,,2759,Expert,9606.0,,1,Potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 1),449.0,,CHEMBL616049,,51,Homo sapiens,CHO,,F,,
1007,,2759,Autocuration,,,1,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),449.0,,CHEMBL616050,,51,,CHO,,F,,
1008,,15419,Expert,,,1,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor,,,CHEMBL616051,,51,,,,F,,
1009,,15419,Autocuration,,,1,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor; Not tested,,,CHEMBL616212,,51,,,,F,,
1010,,16026,Autocuration,,,1,"ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",,,CHEMBL616213,,51,,,,F,,
1011,In vitro,1414,Expert,,,1,Ability to bind to 5-hydroxytryptamine 1A receptor from cloned human expressed in Ha7 cells,,,CHEMBL616214,,51,,,,B,,
1012,In vitro,1414,Expert,,,1,Ability to bind to 5-hydroxytryptamine 1A receptor subtype from cloned human expressed in Ha7 cells,,,CHEMBL616215,,51,,,,B,,
1013,,12861,Autocuration,,,1,Binding activity radioligand.,,,CHEMBL616216,,51,,,,B,,
1014,,12861,Autocuration,,,1,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,,,CHEMBL616217,,51,,,,B,,
1015,,5104,Autocuration,,,1,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,,,CHEMBL616218,,51,,,,B,,
1016,,5105,Autocuration,,,1,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,,,CHEMBL616219,,51,,,,B,,
1017,,16312,Autocuration,,,1,binding affinity towards human recombinant 5-hydroxytryptamine 1A receptor,,,CHEMBL616220,,51,,,,B,,
1018,,15180,Expert,9606.0,,1,Displacement of [3H]8-hydroxy-2-(di-n-propylamino)tetralin from human 5-hydroxytryptamine 1A receptor,,,CHEMBL833493,,51,Homo sapiens,,,B,,
1019,,5033,Autocuration,,,1,Ability to displace the radioligand [3H]-8-OH-DPAT from human 5-hydroxytryptamine 1A receptor,,,CHEMBL616221,,51,,,,B,,
1020,,16909,Expert,9606.0,,1,Affinity constant on CHO cells expressing Human recombinant 5-hydroxytryptamine receptor 1A,449.0,,CHEMBL616222,,51,Homo sapiens,CHO,,B,,
1021,,2590,Autocuration,,,1,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor,,,CHEMBL616223,,51,,,,F,,
1022,,2590,Autocuration,,,1,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor; Not determined,,,CHEMBL616224,,51,,,,F,,
1023,,16394,Expert,,,1,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding in Chinese hamster ovary cell line,,,CHEMBL616225,,51,,,,B,,
1024,,4540,Expert,9606.0,,1,Binding affinity to human cloned 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]-8-OH- DPAT as radioligand,722.0,,CHEMBL616226,,51,Homo sapiens,HEK293,,B,,
1025,,17296,Autocuration,,,1,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells,722.0,,CHEMBL616227,,51,,HEK293,,B,,
1026,,17296,Autocuration,,,1,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells using [3H]8-OH-DPAT as radioligand,722.0,,CHEMBL616228,,51,,HEK293,,B,,
1027,,15779,Autocuration,,,1,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;,722.0,,CHEMBL616229,,51,,HEK293,,B,,
1028,,15779,Autocuration,,,1,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand; ND means no data,722.0,,CHEMBL616230,,51,,HEK293,,B,,
1029,,15779,Autocuration,,,1,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;ND means no data.,722.0,,CHEMBL616231,,51,,HEK293,,B,,
1030,,6166,Autocuration,,,1,Binding affinity towards 5-hydroxytryptamine 1A receptor in human using [3H]8-OH-DPAT as radioligand,,,CHEMBL616232,,51,,,,B,,
1031,,15779,Autocuration,,,1,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;,722.0,,CHEMBL616233,,51,,HEK293,,B,,
1032,,4199,Autocuration,,,1,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]8-OH-DPAT as the radioligand,722.0,,CHEMBL857973,,51,,HEK293,,B,,
1033,,15316,Autocuration,,,1,Compound was evaluated for its ability to displace [3H]8-OH-DPAT binding from human 5-hydroxytryptamine 1A receptor in mammalian cells,,,CHEMBL616234,,51,,,,B,,
1034,,14875,Autocuration,,,1,Compound was tested for binding affinity against human 5-hydroxytryptamine 1A receptor,,,CHEMBL616235,,51,,,,B,,
1035,,14727,Expert,,,1,Binding affinity at human cloned 5-hydroxytryptamine 1A receptor expressed in HeLa cells by [3H]8-hydroxy-2-(di-n-propylamino)tetraline displacement.,308.0,,CHEMBL616236,,51,,HeLa,,B,,
1036,,14727,Expert,,,1,Binding affinity at native 5-hydroxytryptamine 1A receptor in rat by [3H]8-hydroxy-2-(di-n-propylamino)tetraline displacement.,,,CHEMBL616237,,51,,,,B,,
1037,,15146,Autocuration,,,1,Compound was tested for its binding affinity against 5-hydroxytryptamine 1A receptor in human cloned receptors in HEK 293 cells using [3H]8-OH-DPAT,722.0,,CHEMBL616238,,51,,HEK293,,B,,
1038,,5213,Autocuration,,,1,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1A receptor in HEK 293 using [3H]5-CT as a radioligand,722.0,,CHEMBL616239,,51,,HEK293,,B,,
1039,,16429,Autocuration,,,1,In vitro binding affinity at human recombinant 5-hydroxytryptamine 1A receptor in mammalian cells using 3[H]8-OH-DPAT as the radioligand,,,CHEMBL616240,,51,,,,B,,
1040,,15042,Expert,9606.0,,1,The binding affinity was evaluated on cloned human 5-hydroxytryptamine 1A receptor expressed in HeLa cells by using DPAT as radioligand.,308.0,,CHEMBL616241,,51,Homo sapiens,HeLa,,B,,
1041,,14818,Autocuration,,,1,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]8-OH-DPAT.,722.0,,CHEMBL616242,,51,,HEK293,,B,,
1042,,4829,Autocuration,,,1,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 1A receptor in HEK293 cells, using [3H]8-OH-DPAT as radioligand",722.0,,CHEMBL616243,,51,,HEK293,,B,,
1043,,17200,Expert,,,1,In vitro inhibitory concentration required against [3H]8-OH-DPAT binding to cloned human 5-hydroxytryptamine 1A receptor,,,CHEMBL616244,,51,,,,B,,
1044,,13051,Autocuration,9606.0,,1,The compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1A receptor,,,CHEMBL616245,,51,Homo sapiens,,,B,,
1045,,5486,Autocuration,,,1,Binding affinity towards 5-HT1B receptor by the displacement of [3H]-5-CT] in human recombinant receptors in mammalian cell,,,CHEMBL616246,,106,,,,B,,
1046,,5254,Autocuration,,,1,Binding affinity against 5-HT1D receptor,,,CHEMBL616247,,105,,,,B,,
1047,,5254,Autocuration,,,1,Binding affinity against 5-hydroxytryptamine 1A receptor,,,CHEMBL616248,,105,,,,B,,
1048,,15331,Autocuration,,,1,Affinity of compound towards 5-hydroxytryptamine 1A receptor was evaluated using radioligand binding technique,,,CHEMBL616249,,107,,,,B,,
1049,,13506,Autocuration,9606.0,,1,Binding affinity against serotonin 5-hydroxytryptamine 1A receptor using radioligand [3H]8-OH-DPAT binding assay,,,CHEMBL616250,,10576,Homo sapiens,,,B,,
1050,,15267,Autocuration,,,1,Inhibition of [3H]- 8-OH-DAPT binding against human recombinant 5-hydroxytryptamine 1A receptor,,,CHEMBL616251,,51,,,,B,,
1051,In vivo,16616,Autocuration,,,1,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 15 min after administration of the compound,,,CHEMBL616252,,11863,,,,F,,
1052,In vivo,16616,Autocuration,,,1,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 30 min after administration of the compound,,,CHEMBL616253,,11863,,,,F,,
1053,In vivo,16616,Autocuration,,,1,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 60 min after administration of the compound,,,CHEMBL616254,,11863,,,,F,,
1054,,16616,Expert,10090.0,,1,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 15 min,,,CHEMBL616255,,11863,Mus musculus,,,F,,
1055,,16616,Expert,10090.0,,1,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 30 min,,,CHEMBL832872,,11863,Mus musculus,,,F,,
1056,,16616,Expert,10090.0,,1,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 60 min,,,CHEMBL616256,,11863,Mus musculus,,,F,,
1057,,16616,Expert,10090.0,,1,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 15 min,,,CHEMBL616257,,11863,Mus musculus,,,F,,
1058,,16616,Expert,10090.0,,1,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 30 min,,,CHEMBL616258,,11863,Mus musculus,,,F,,
1059,,16616,Expert,10090.0,,1,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 60 min,,,CHEMBL616384,,11863,Mus musculus,,,F,,
