assay_id,confidence_score,variant_id,tissue_id,relationship_type,curated_by,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain
860,8,,,H,Autocuration,11825,In vitro binding affinity towards the 5-hydroxytryptamine 1A receptor was evaluated,B,,,,,
861,8,,,H,Expert,12443,In vitro binding affinity was measured on serotonergic 5-hydroxytryptamine 1A receptor by displacement of [3H]- tetralin,B,,,,,
862,8,,,H,Expert,13830,In vitro inhibitory activity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,B,,,,,
863,8,,10000000.0,H,Expert,14286,In vitro inhibitory concentration against radioligand [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat hippocampal membrane.,B,,,,,
864,9,,10000000.0,D,Expert,14356,In vitro radioligand binding assay on 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in rat hippocampus,B,,,Rattus norvegicus,10116.0,
865,8,,,H,Autocuration,15306,Inhibition concentration against 5-hydroxytryptamine 1A receptor,B,,,,,
866,8,,,H,Expert,15306,Inhibitory concentration against 5-hydroxytryptamine 1A receptor (Inactive at >1000 nM concentration),B,,,,,
867,9,,,D,Expert,16616,"Inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in hippocampal membranes",F,,,Rattus norvegicus,10116.0,
868,8,,10000000.0,H,Autocuration,3651,"Inhibition of [3H]8-hydroxy-2-dipropylamino-1,2,3,4-tetrahydronaphthalene binding to 5-hydroxytryptamine 1A receptor in hippocampus region of rat brain; Residual radioligand binding higher than 50%",B,,,,,
869,8,,10000000.0,H,Autocuration,14331,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,F,,,,,
870,8,,10000000.0,H,Autocuration,14331,Inhibition of forskolin-activated adenylate cyclase (cAMP) activity at 5-hydroxytryptamine 1A receptor in rat hippocampus,F,,,,,
871,9,,,D,Expert,14178,Inhibition of radiolabeled [3H]-8-OH-DPAT ligand binding to 5-hydroxytryptamine 1A receptor,B,,,Rattus norvegicus,10116.0,
872,9,,,D,Expert,10639,Displacement of [3H]8-OH-DPAT from rat cortex 5-hydroxytryptamine 1A receptor,B,,,Rattus norvegicus,10116.0,
873,8,,10000000.0,H,Autocuration,12306,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,B,,,,,
874,9,,,D,Expert,1348,Inhibitory activity against 5-hydroxytryptamine 1A receptor subtype,B,,,Rattus norvegicus,10116.0,
875,8,,10000000.0,H,Autocuration,13605,Inhibitory activity against [3H]DPAT binding to 5-HT1A receptor in rat hippocampus,B,,,,,
876,8,,,H,Autocuration,17624,Inhibition concentration against 5-hydroxytryptamine 1A receptor using cAMP as radioligand in CHO cells,B,,,,,
877,8,,,H,Autocuration,17624,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,F,,,,,
878,8,,,H,Autocuration,17624,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,F,,,,,
879,8,,,H,Autocuration,15267,Inhibition of [3H]- 8-OH-DAPT binding against human recombinant 5-hydroxytryptamine 1A receptor,B,,,,,
880,8,,,H,Autocuration,16532,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT; Not tested,B,,,,,
881,8,,,H,Autocuration,6563,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",F,,,,,
882,8,,,H,Autocuration,4751,Ability to displace [3H]-8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor at a concentration of 1 uM,B,,,,,
883,8,,,H,Autocuration,15463,Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor,B,,,,,
884,8,,,H,Autocuration,3805,In vitro binding affinity against human 5-hydroxytryptamine 1A receptor at a concentration of 100 (nM),B,,,,,
885,8,,,H,Autocuration,5640,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,
886,8,,,H,Autocuration,6563,Inhibition of [3H]8-OH-DPAT binding to human 5-hydroxytryptamine 1A receptor at 1000 nM compound concentration,B,,,,,
887,8,,,H,Autocuration,5548,Inhibitory activity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand at 100 nM concentration,B,,,,,
888,8,,,H,Autocuration,6347,Percent binding affinity against 5-hydroxytryptamine 1A receptor,B,,,,,
889,8,,,H,Autocuration,17296,Intrinsic activity for human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,F,,,,,
890,8,,,H,Autocuration,13047,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit jugular vein assay in the absence of endothelium,B,,,,,
891,8,,,H,Autocuration,15740,Dissociation constant against human 5-hydroxytryptamine 1A receptor receptor,B,,,,,
892,8,,,H,Expert,5640,"Inhibition of 5-HT induced [35S]GTP-gamma-S, binding at human cloned 5-HT 1A receptors.",F,,,,,
893,8,,,H,Autocuration,5640,"5-hydroxytryptamine 1A receptor antagonism was evaluated by the ability to inhibit [35S]GTP-gamma-S, binding that was induced by 5-HT; Ki (nM): not determined",F,,,,,
894,8,,,H,Expert,17211,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor,B,,,,,
895,8,,,H,Autocuration,4751,Ability to displace [3H]8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor,B,,,,,
896,9,,,D,Expert,6491,Affinity towards human 5-hydroxytryptamine 1A serotonin receptor,B,,,Homo sapiens,9606.0,
897,8,,,H,Autocuration,4707,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT-as radioligand,B,,,,,
898,9,,,D,Expert,13910,Binding affinity against 5-hydroxytryptamine 1A receptor,B,,,Homo sapiens,9606.0,
899,8,,,H,Autocuration,16190,Binding affinity against 5-hydroxytryptamine 1A receptor in HeLa cells was determined using [3H]5-HT,B,,,,,
900,8,,,H,Autocuration,16633,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,
901,8,,,H,Autocuration,11898,Binding affinity against [3H]- -8-OH-DPAT -labeled 5-hydroxytryptamine 1A sites in cloned CHO cells,B,,,,,
902,8,,,H,Autocuration,11898,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,B,,,,,
903,8,,,H,Autocuration,14331,Binding affinity against human 5-hydroxytryptamine 1A receptor,B,,,,,
904,8,,,H,Expert,17624,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand,B,,,,,
905,8,,,H,Autocuration,17624,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand; nd=not determined,B,,,,,
906,8,,,H,Autocuration,3307,Binding affinity of compound to human 5-hydroxytryptamine 1A receptor,B,,,,,
907,9,,,D,Expert,6563,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,B,,,Homo sapiens,9606.0,
908,8,,,H,Autocuration,14165,Binding affinity for 5-hydroxytryptamine 1A receptor in HeLa transfected cell type using [3H]8-OH-DPAT as radioligand,B,,,,,
909,8,,,H,Autocuration,5732,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,B,,,,,
910,8,,,H,Expert,13366,In vitro affinity at human cloned 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,B,,,,,
911,8,,,H,Autocuration,17626,Binding affinity towards human 5-hydroxytryptamine 1A receptor,B,,,,,
912,8,,,H,Expert,6588,Binding affinity towards human 5-hydroxytryptamine 1A receptor by the displacement of [3H]5-HT radioligand from the cloned receptor expressed in HeLa cells,B,,,,,
913,8,,,H,Autocuration,16209,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]-5-HT as radioligand,B,,,,,
914,8,,,H,Autocuration,15463,Binding affinity towards recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,B,,,,,
915,8,,,H,Autocuration,15463,Binding affinity towards recombinant human Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,B,,,,,
916,8,,,H,Autocuration,14770,Binding affinity for recombinant human 5-hydroxytryptamine 1A receptor using [3H]5-HT as radioligand.,B,,,,,
917,8,,,H,Autocuration,16245,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines (He La),B,,,,,
918,8,,,H,Autocuration,16245,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines(He La),B,,,,,
919,8,,,H,Autocuration,5548,Binding affinity towards 5-HT1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,
920,8,,,H,Expert,5548,Binding affinity was determined towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,
921,8,,,H,Autocuration,5548,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,
922,8,,,H,Expert,6876,Binding affinity was evaluated at 5-hydroxytryptamine 1A receptor labeled with [3H]-8-OH-DPAT,B,,,,,
923,8,,,H,Autocuration,2598,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,
924,8,,,H,Expert,17785,Binding affinity to human 5-hydroxytryptamine 1A receptor was measured using [3H]-8-hydroxy-2-(di-n-propylamine) tetraline [3H]8-OH-DPAT) as radioligand,B,,,,,
925,8,,,H,Autocuration,6013,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,,
926,8,,,H,Expert,5929,Binding affinity towards 5-hydroxytryptamine 1A receptor in human using [3H]8-OH-DPAT as radioligand,B,,,,,
927,8,,,H,Autocuration,16633,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,
928,8,,,H,Autocuration,1558,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,B,,,,,
929,8,,,H,Expert,16026,Binding affinity towards human cloned 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,
930,8,,,H,Autocuration,12469,Binding affinity was measured on 5-hydroxytryptamine 1A receptor in AK cells transfected with human 5-HT1A gene labeled with [3H]-8-OH-DPAT,B,,,,,
931,9,,,D,Expert,15874,Binding affinity was measured on cloned Human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,B,,,Homo sapiens,9606.0,
932,8,,,H,Autocuration,15874,Binding affinity was measured on cloned human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,B,,,,,
933,8,,,H,Autocuration,3935,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1A receptor,B,,,,,
934,8,,,H,Autocuration,15818,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1A receptor,B,,,,,
935,8,,,H,Autocuration,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells.,B,,,,,
936,8,,,H,Expert,13729,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1A receptor in CHO-K1 cells,F,,,,,
937,8,,,H,Autocuration,15413,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor,B,,,,,
938,8,,,H,Autocuration,15413,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 1),B,,,,,
939,8,,,H,Autocuration,15413,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 2),B,,,,,
940,8,,,H,Autocuration,15413,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor by Panlabs assay,B,,,,,
941,9,,,D,Expert,3445,Displacement of specific [3H]- 5-HT binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells,B,,,Homo sapiens,9606.0,
942,8,,,H,Autocuration,15740,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,B,,,,,
943,8,,,H,Autocuration,15740,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor receptor,B,,,,,
944,8,,,H,Autocuration,17626,In vitro binding affinity tested on human 5-hydroxytryptamine 1A receptor,B,,,,,
945,9,,,D,Expert,4234,In vitro binding affinity to human 5-hydroxytryptamine 1A receptor,B,,,Homo sapiens,9606.0,
946,8,,,H,Expert,5640,In vitro binding affinity at 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,B,,,,,
947,8,,,H,Expert,5272,In vitro binding affinity towards Human 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT,B,,,Rattus norvegicus,10116.0,
948,8,,,H,Autocuration,4622,In vitro binding affinity towards cloned human 5-hydroxytryptamine 1A receptor expressed in Chinese hamster ovary (CHO) cells using [3H]8-OH-DPAT as radioligand,B,,,,,
949,8,,,H,Expert,17085,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor,B,,,,,
950,8,,,H,Autocuration,3025,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand,B,,,,,
951,8,,,H,Expert,15315,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor,B,,,,,
952,8,,,H,Autocuration,15267,Inhibition of [3H]- OH-DPAT binding against 5-hydroxytryptamine 1A receptor from human recombinant,B,,,,,
953,8,,,H,Autocuration,17158,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor serotonergic receptor in human HeLa cells,B,,,,,
954,9,,,D,Expert,14214,Receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor in HeLa cells,B,,,Homo sapiens,9606.0,
955,8,,,H,Autocuration,17133,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,
956,8,,,H,Autocuration,16532,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT,B,,,,,
957,9,,,D,Expert,2391,Affinity for 5-hydroxytryptamine 1A receptor subtype,B,,,Homo sapiens,9606.0,
958,8,,,H,Autocuration,14447,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes,B,,,,,
959,8,,,H,Autocuration,14447,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes.,B,,,,,
960,8,,,H,Autocuration,15086,The compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor receptor,B,,,,,
961,9,,,D,Expert,13051,Binding affinity for cloned human 5-hydroxytryptamine 1A receptor,B,,,Homo sapiens,9606.0,
962,8,,,H,Autocuration,16026,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor; Not active",F,,,,,
963,8,,,H,Expert,17085,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor; ND means not determined,B,,,,,
964,8,,,H,Autocuration,17133,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,
965,8,,,H,Autocuration,17133,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; ND means Not determined,B,,,,,
966,8,,,H,Autocuration,17211,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,B,,,,,
967,8,,,H,Autocuration,17211,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT=not tested,B,,,,,
968,8,,,H,Autocuration,17211,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,B,,,,,
969,8,,,H,Autocuration,17211,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,B,,,,,
970,8,,,H,Autocuration,16394,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",F,,,,,
971,8,,,H,Autocuration,16394,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",F,,,,,
972,8,,,H,Autocuration,16394,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",F,,,,,
973,8,,,H,Autocuration,16394,Antagonist induction of hypothermia by 8-OH-DPAT in 5-hydroxytryptamine 1A receptor after subcutaneous administration; NT is not tested,F,In vivo,,,,
974,8,,,H,Autocuration,16394,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]-8-OH-DPAT binding in Chinese hamster ovary cell line; NT is not tested,B,,,,,
975,8,,,H,Autocuration,15740,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor receptor; Not tested,F,,,,,
976,8,,,H,Autocuration,15740,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor; Not tested,F,,,,,
977,8,,,H,Autocuration,15740,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,B,,,,,
978,8,,,H,Autocuration,17296,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,F,,,,,
979,8,,,H,Expert,5640,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at 1 uM.",F,,,,,
980,8,,,H,Autocuration,5640,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means Not determined",F,,,,,
981,8,,,H,Autocuration,5640,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means not determined",F,,,,,
982,8,,,H,Autocuration,5640,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; Not determined",F,,,,,
983,8,,,H,Autocuration,2759,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,F,,,,,
984,8,,,H,Autocuration,16394,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT",F,,,,,
985,9,,,D,Expert,16394,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared to 5-HT",F,,,Homo sapiens,9606.0,
986,9,,,D,Expert,3445,Percent efficacy against human 5-hydroxytryptamine 1A receptor relative to maximal 5-HT response,F,,,Homo sapiens,9606.0,
987,8,,,H,Expert,4316,Binding affinity for 5-hydroxytryptamine 1A receptor was determined by incubating human 5-hydroxytryptamine 1A receptor transfected CHO cells with [3H]8-OH-DPAT,B,,,,,
988,8,,,H,Expert,4316,In vitro inhibition of [3H]8-OH-DPAT binding to human cloned 5-hydroxytryptamine 1A receptor on CHO cell membranes.,B,,,,,
989,9,,,D,Expert,15180,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,F,,,Homo sapiens,9606.0,
990,9,,,D,Expert,15180,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,F,,,Homo sapiens,9606.0,
991,8,,,H,Autocuration,15042,Maximum binding affinity was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,F,,,,,
992,8,,,H,Autocuration,15042,Maximum binding affinity was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,F,,,,,
993,8,,,H,Autocuration,15042,Maximum binding affinity was evaluated as ([35S]GTP binding on cloned human 5-hydroxytryptamine 1A receptor,F,,,,,
994,8,,,H,Autocuration,15042,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,F,,,,,
995,8,,,H,Autocuration,15042,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,F,,,,,
996,8,,,H,Autocuration,15042,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,F,,,,,
997,8,,,H,Autocuration,15042,Agonist efficacy was evaluated as [35S]GTP binding on cloned human 5-hydroxytryptamine 1A receptor,F,,,,,
998,9,,,D,Expert,15180,Concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,F,,,Homo sapiens,9606.0,
999,9,,,D,Expert,15180,Negative logarithm of concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,F,,,Homo sapiens,9606.0,
1000,9,,,D,Expert,15180,Negative logarithm of concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,F,,,Homo sapiens,9606.0,
1001,8,,,H,Autocuration,16245,"Potency (pD2) for the stimulation of [35S]GTP-gamma-S, binding on 5-hydroxytryptamine 1A receptor",F,,,,,
1002,8,,,H,Autocuration,16026,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",F,,,,,
1003,8,,,H,Autocuration,17296,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,F,,,,,
1004,8,,,H,Autocuration,2759,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),F,,,,,
1005,8,,,H,Autocuration,2759,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells,F,,,,,
1006,9,,,D,Expert,2759,Potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 1),F,,,Homo sapiens,9606.0,
1007,8,,,H,Autocuration,2759,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),F,,,,,
1008,8,,,H,Expert,15419,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor,F,,,,,
1009,8,,,H,Autocuration,15419,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor; Not tested,F,,,,,
1010,8,,,H,Autocuration,16026,"ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",F,,,,,
1011,8,,,H,Expert,1414,Ability to bind to 5-hydroxytryptamine 1A receptor from cloned human expressed in Ha7 cells,B,In vitro,,,,
1012,8,,,H,Expert,1414,Ability to bind to 5-hydroxytryptamine 1A receptor subtype from cloned human expressed in Ha7 cells,B,In vitro,,,,
1013,8,,,H,Autocuration,12861,Binding activity radioligand.,B,,,,,
1014,8,,,H,Autocuration,12861,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,B,,,,,
1015,8,,,H,Autocuration,5104,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,B,,,,,
1016,8,,,H,Autocuration,5105,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,B,,,,,
1017,8,,,H,Autocuration,16312,binding affinity towards human recombinant 5-hydroxytryptamine 1A receptor,B,,,,,
1018,9,,,D,Expert,15180,Displacement of [3H]8-hydroxy-2-(di-n-propylamino)tetralin from human 5-hydroxytryptamine 1A receptor,B,,,Homo sapiens,9606.0,
1019,8,,,H,Autocuration,5033,Ability to displace the radioligand [3H]-8-OH-DPAT from human 5-hydroxytryptamine 1A receptor,B,,,,,
1020,9,,,D,Expert,16909,Affinity constant on CHO cells expressing Human recombinant 5-hydroxytryptamine receptor 1A,B,,,Homo sapiens,9606.0,
1021,8,,,H,Autocuration,2590,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor,F,,,,,
1022,8,,,H,Autocuration,2590,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor; Not determined,F,,,,,
1023,8,,,H,Expert,16394,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding in Chinese hamster ovary cell line,B,,,,,
1024,9,,,D,Expert,4540,Binding affinity to human cloned 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]-8-OH- DPAT as radioligand,B,,,Homo sapiens,9606.0,
1025,8,,,H,Autocuration,17296,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells,B,,,,,
1026,8,,,H,Autocuration,17296,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells using [3H]8-OH-DPAT as radioligand,B,,,,,
1027,8,,,H,Autocuration,15779,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;,B,,,,,
1028,8,,,H,Autocuration,15779,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand; ND means no data,B,,,,,
1029,8,,,H,Autocuration,15779,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;ND means no data.,B,,,,,
1030,8,,,H,Autocuration,6166,Binding affinity towards 5-hydroxytryptamine 1A receptor in human using [3H]8-OH-DPAT as radioligand,B,,,,,
1031,8,,,H,Autocuration,15779,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;,B,,,,,
1032,8,,,H,Autocuration,4199,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]8-OH-DPAT as the radioligand,B,,,,,
1033,8,,,H,Autocuration,15316,Compound was evaluated for its ability to displace [3H]8-OH-DPAT binding from human 5-hydroxytryptamine 1A receptor in mammalian cells,B,,,,,
1034,8,,,H,Autocuration,14875,Compound was tested for binding affinity against human 5-hydroxytryptamine 1A receptor,B,,,,,
1035,8,,,H,Expert,14727,Binding affinity at human cloned 5-hydroxytryptamine 1A receptor expressed in HeLa cells by [3H]8-hydroxy-2-(di-n-propylamino)tetraline displacement.,B,,,,,
1036,8,,,H,Expert,14727,Binding affinity at native 5-hydroxytryptamine 1A receptor in rat by [3H]8-hydroxy-2-(di-n-propylamino)tetraline displacement.,B,,,,,
1037,8,,,H,Autocuration,15146,Compound was tested for its binding affinity against 5-hydroxytryptamine 1A receptor in human cloned receptors in HEK 293 cells using [3H]8-OH-DPAT,B,,,,,
1038,8,,,H,Autocuration,5213,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1A receptor in HEK 293 using [3H]5-CT as a radioligand,B,,,,,
1039,8,,,H,Autocuration,16429,In vitro binding affinity at human recombinant 5-hydroxytryptamine 1A receptor in mammalian cells using 3[H]8-OH-DPAT as the radioligand,B,,,,,
1040,9,,,D,Expert,15042,The binding affinity was evaluated on cloned human 5-hydroxytryptamine 1A receptor expressed in HeLa cells by using DPAT as radioligand.,B,,,Homo sapiens,9606.0,
