Fiscal year,Enviromental sustainability (marker),Organisation sub-class,Sector ID,CIDA business delivery model (old),Untied amount(Project-level budget),Programming process (new),Organisation class,FSTC percent,Division ID,Fund centre name,ICT as a tool for development (marker),Project number,Continent name,Climate change mitigation (marker),Section ID,Bilateral aid (international marker),Gender equality (marker),Organisation ID,Branch ID,Climate change adaptation (marker),Desertification (marker),Division name,CountryRegion ID,Urban issues (marker),Status,Maximum CIDA contribution (project-level),Branch name,Section name,Regional program (marker),Fund centre ID,IRTC percent,CFLI (marker),PBA type,Participatory development and good governance,Trade development (marker),Biodiversity (marker),Children issues (marker)
2009/2010,0,REGIONAL ORGANIZATION,12240,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,120,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31110,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,120,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31161,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,120,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31166,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,120,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31182,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,120,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,12240,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31110,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31161,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31166,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31182,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,12240,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31110,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31161,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31166,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31182,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,12240,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31110,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31161,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31166,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,REGIONAL ORGANIZATION,31182,Responsive,15300000.0,Uncoded: Pre-APP,Multilateral,0.45,D4270,PanAfrica,0,A032162001,Africa,0,S4227,1,2,1003893,B4200,0,0,WED Southern & Eastern Africa,940,0,Operational,15300000.0,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",1,4246,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTING SERVICES,11110,Directive,19454342.53,Uncoded: Pre-APP,Civil Society,1.0,D3100,Jordan,1,A032177001,Asia,0,S4256,1,2,1000601,B3100,0,0,EDD Europe-Middle East Programming,JO,0,Closed,19454342.53,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4266,0.0,0,Not PBA,0,0,0,1
2009/2010,0,CONSULTANT,11110,Directive,19454342.53,Uncoded: Pre-APP,Individual,1.0,D3100,Jordan,1,A032177001,Asia,0,S4256,1,2,Information not available,B3100,0,0,EDD Europe-Middle East Programming,JO,0,Closed,19454342.53,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4266,0.0,0,Not PBA,0,0,0,1
2009/2010,0,CONSULTING SERVICES,11130,Directive,19454342.53,Uncoded: Pre-APP,Civil Society,1.0,D3100,Jordan,1,A032177001,Asia,0,S4256,1,2,1000601,B3100,0,0,EDD Europe-Middle East Programming,JO,0,Closed,19454342.53,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4266,0.0,0,Not PBA,0,0,0,1
2009/2010,0,CONSULTANT,11130,Directive,19454342.53,Uncoded: Pre-APP,Individual,1.0,D3100,Jordan,1,A032177001,Asia,0,S4256,1,2,Information not available,B3100,0,0,EDD Europe-Middle East Programming,JO,0,Closed,19454342.53,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4266,0.0,0,Not PBA,0,0,0,1
2009/2010,1,FEDERAL,14010,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10014,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,14010,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10050,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,14010,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10560,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,14010,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000659,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTING SERVICES,14010,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000880,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,14010,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000948,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTING SERVICES,14010,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1001279,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,14010,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1013047,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTANT,14010,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,14010,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,14010,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,14010,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,Unknown,14010,Directive,4500000.0,Uncoded: Pre-APP,Unknown,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,15110,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10014,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,15110,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10050,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,15110,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10560,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,15110,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000659,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTING SERVICES,15110,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000880,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,15110,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000948,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTING SERVICES,15110,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1001279,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,15110,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1013047,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTANT,15110,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,15110,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,15110,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,15110,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,Unknown,15110,Directive,4500000.0,Uncoded: Pre-APP,Unknown,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,15111,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10014,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,15111,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10050,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,15111,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10560,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,15111,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000659,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTING SERVICES,15111,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000880,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,15111,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000948,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTING SERVICES,15111,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1001279,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,15111,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1013047,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTANT,15111,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,15111,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,15111,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,15111,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,Unknown,15111,Directive,4500000.0,Uncoded: Pre-APP,Unknown,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,15151,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10014,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,15151,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10050,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,15151,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10560,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,15151,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000659,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTING SERVICES,15151,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000880,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,15151,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1000948,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTING SERVICES,15151,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1001279,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,15151,Directive,4500000.0,Uncoded: Pre-APP,Civil Society,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,1013047,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,CONSULTANT,15151,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,15151,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,15151,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,COOPERANT,15151,Directive,4500000.0,Uncoded: Pre-APP,Individual,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,Unknown,15151,Directive,4500000.0,Uncoded: Pre-APP,Unknown,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,Information not available,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
2009/2010,1,FEDERAL,31110,Directive,4500000.0,Uncoded: Pre-APP,Governmental,1.0,D4207,Ghana,0,A032178001,Africa,0,S4253,1,1,10014,B4200,0,0,WWD West & Central Africa,GH,0,Terminating,4500000.0,WGM Sub-Saharan Africa,Ghana Program Section,0,4254,0.0,0,Not PBA,2,0,0,0
