SASSI,Descr,ASTAI,CURAB,VARI,ASSSUBCEFRAC,ASI,TII,CHI,SRI,BFO,ASSCA,ASTTY,ASSTR,RELATT,CEI,ASSTIS,DI,ASSORG,Ti,ASSTY,ASCETY,CONFSCO
,Biodistribution in rat muscle in the presence of GdDTPA-HPDPat 30 min,10116.0,Intermediate,,,8168,2385.0,CHEMBL621275,1,BAO_0000218,,In vivo,,N,,Muscle tissue,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat muscle in the presence of NCA Gd/0.01 M lip,10116.0,Intermediate,,,8169,2385.0,CHEMBL621276,1,BAO_0000218,,In vivo,,N,,Muscle tissue,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat muscle in the presence of NCAGd/0.01 M lig,10116.0,Intermediate,,,8170,2385.0,CHEMBL621277,1,BAO_0000218,,In vivo,,N,,Muscle tissue,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat s. intestine in the presence of 50 Gd/kg at 2 hr,10116.0,Intermediate,,,8171,160.0,CHEMBL621278,1,BAO_0000218,,In vivo,,N,,Intestine,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat s. intestine in the presence of 50 Gd/kg at 6 hr,10116.0,Intermediate,,,8172,160.0,CHEMBL621279,1,BAO_0000218,,In vivo,,N,,Intestine,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat s. intestine in the presence of NCA (No carrier added),10116.0,Intermediate,,,8173,160.0,CHEMBL621280,1,BAO_0000218,,In vivo,,N,,Intestine,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat spleen in the presence of 0.01 M GdDTPA-BDP,10116.0,Intermediate,,,8174,2106.0,CHEMBL621281,1,BAO_0000218,,In vivo,,N,,Spleen,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat spleen in the presence of 0.05 M Gd/0.15 M lig; ND=No data,10116.0,Intermediate,,,8175,2106.0,CHEMBL621282,1,BAO_0000218,,In vivo,,N,,Spleen,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat spleen in the presence of 0.05 M GdDTPA-BDP; ND=No data,10116.0,Intermediate,,,8176,2106.0,CHEMBL621283,1,BAO_0000218,,In vivo,,N,,Spleen,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat spleen in the presence of 0.10 M GdDTPA-BDP,10116.0,Intermediate,,,8177,2106.0,CHEMBL621284,1,BAO_0000218,,In vivo,,N,,Spleen,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat spleen in the presence of 50 Gd/kg at 15 min,10116.0,Intermediate,,,8178,2106.0,CHEMBL621285,1,BAO_0000218,,In vivo,,N,,Spleen,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat spleen in the presence of 50 Gd/kg at 2 hr,10116.0,Intermediate,,,8179,2106.0,CHEMBL621286,1,BAO_0000218,,In vivo,,N,,Spleen,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat spleen in the presence of 50 Gd/kg at 6 hr,10116.0,Intermediate,,,8180,2106.0,CHEMBL623220,1,BAO_0000218,,In vivo,,N,,Spleen,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat spleen in the presence of NCA Gd/0.01 M lip,10116.0,Intermediate,,,8181,2106.0,CHEMBL623221,1,BAO_0000218,,In vivo,,N,,Spleen,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat spleen in the presence of NCAGd/0.01 M lig,10116.0,Intermediate,,,8182,2106.0,CHEMBL876029,1,BAO_0000218,,In vivo,,N,,Spleen,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat stomach in the presence of 50 Gd/kg at 15 min,10116.0,Intermediate,,,8183,945.0,CHEMBL623222,1,BAO_0000218,,In vivo,,N,,Stomach,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat stomach in the presence of 50 Gd/kg at 2 hr,10116.0,Intermediate,,,8184,945.0,CHEMBL623223,1,BAO_0000218,,In vivo,,N,,Stomach,9866,Rattus norvegicus,50597,A,,1
,Biodistribution in rat stomach in the presence of 50 Gd/kg at 6 h; ND=No data,10116.0,Intermediate,,,8185,945.0,CHEMBL621445,1,BAO_0000218,,In vivo,,N,,Stomach,9866,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat blood was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8186,178.0,CHEMBL621446,1,BAO_0000218,,In vivo,,N,,Blood,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat blood was reported at 1 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8187,178.0,CHEMBL621447,1,BAO_0000218,,In vivo,,N,,Blood,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat blood was reported at 2 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8188,178.0,CHEMBL619681,1,BAO_0000218,,In vivo,,N,,Blood,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat blood was reported at 24 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8189,178.0,CHEMBL619682,1,BAO_0000218,,In vivo,,N,,Blood,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat blood was reported at 4 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8190,178.0,CHEMBL619683,1,BAO_0000218,,In vivo,,N,,Blood,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat brain was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8191,955.0,CHEMBL619684,1,BAO_0000218,,In vivo,,N,,Brain,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat brain was reported at 1 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8192,955.0,CHEMBL619685,1,BAO_0000218,,In vivo,,N,,Brain,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat brain was reported at 2 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8193,955.0,CHEMBL619686,1,BAO_0000218,,In vivo,,N,,Brain,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat brain was reported at 24 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8194,955.0,CHEMBL619687,1,BAO_0000218,,In vivo,,N,,Brain,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat brain was reported at 4 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8195,955.0,CHEMBL619688,1,BAO_0000218,,In vivo,,N,,Brain,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat heart was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8196,948.0,CHEMBL619689,1,BAO_0000218,,In vivo,,N,,Heart,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat heart was reported at 1 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8197,948.0,CHEMBL619690,1,BAO_0000218,,In vivo,,N,,Heart,13950,Rattus norvegicus,50597,A,,1
,Biodistribution of [123I]-label in rat heart was reported at 2 hr post injection. Value shown is %ID/g of tissue,10116.0,Intermediate,,,8198,948.0,CHEMBL619691,1,BAO_0000218,,In vivo,,N,,Heart,13950,Rattus norvegicus,50597,A,,1
,Terminal phase volume of distribution was measured in rat after an iv dose of 1 mg/kg,10116.0,Intermediate,,,8199,,CHEMBL619692,1,BAO_0000218,,In vivo,,N,,,6062,Rattus norvegicus,50597,A,,1
,Apparent volume of the central plasma compartment (Vc) of compound determined in rat after iv administration at a dose of 10 mg/kg,10116.0,Expert,,,8200,,CHEMBL619693,1,BAO_0000218,,,,N,,,3598,Rattus norvegicus,50597,A,,1
,Vc value after IV dose at a dose of 5 mg/kg in rats.,10116.0,Intermediate,,,8201,,CHEMBL619694,1,BAO_0000218,,In vivo,,N,,,1908,Rattus norvegicus,50597,A,,1
,Apparent volume of distribution at 10 mg/kg in rat upon intravenous administration,10116.0,Intermediate,,,8202,,CHEMBL619695,1,BAO_0000218,,In vivo,,N,,,17596,Rattus norvegicus,50597,A,,1
,Compound was evaluated for pharmacokinetic parameter volume of distribution,10116.0,Intermediate,,,8203,,CHEMBL619696,1,BAO_0000218,,In vivo,,N,,,4891,Rattus norvegicus,50597,A,,1
,Compound was evaluated for volume of distribution in rat,10116.0,Intermediate,,,8204,,CHEMBL619697,1,BAO_0000218,,In vivo,,N,,,740,Rattus norvegicus,50597,A,,1
,Steady state volume distribution was determined; steady state(ss),10116.0,Intermediate,,,8205,,CHEMBL619698,1,BAO_0000218,,In vivo,,N,,,16366,Rattus norvegicus,50597,A,,1
,Steady state volume of distribution after iv administration to rats,10116.0,Intermediate,,,8206,,CHEMBL619699,1,BAO_0000218,,In vivo,,N,,,3364,Rattus norvegicus,50597,A,,1
,Steady state volume of distribution dosing at 3 mg/kg iv,10116.0,Intermediate,,,8207,,CHEMBL619700,1,BAO_0000218,,In vivo,,N,,,2552,Rattus norvegicus,50597,A,,1
,The compound was evaluated for volume of distribution in rat,10116.0,Intermediate,,,8208,,CHEMBL619701,1,BAO_0000218,,In vivo,,N,,,406,Rattus norvegicus,50597,A,,1
,The compound was tested for volume of distribution in rat,10116.0,Intermediate,,,8209,,CHEMBL619702,1,BAO_0000218,,In vivo,,N,,,12500,Rattus norvegicus,50597,A,,1
,The compound was tested for volume of distribution in rat at dose of 3-10 mgkg,10116.0,Intermediate,,,8210,,CHEMBL620335,1,BAO_0000218,,In vivo,,N,,,12500,Rattus norvegicus,50597,A,,1
,Volume distribution (VD) after oral administration in rat,10116.0,Intermediate,,,8211,,CHEMBL620336,1,BAO_0000218,,In vivo,,N,,,5656,Rattus norvegicus,50597,A,,1
,Volume distribution of compound in male Sprague-Dawley rats following an intravenous bolus dose at 10-20 mg/kg,10116.0,Intermediate,,,8212,,CHEMBL620337,1,BAO_0000218,,In vivo,,N,,,17671,Rattus norvegicus,50597,A,,1
,Volume distribution in rat,10116.0,Intermediate,,,8213,,CHEMBL620520,1,BAO_0000218,,In vivo,,N,,,1094,Rattus norvegicus,50597,A,,1
,Volume distribution in rat,10116.0,Intermediate,,,8214,,CHEMBL620521,1,BAO_0000218,,In vivo,,N,,,5833,Rattus norvegicus,50597,A,,1
,Volume distribution in rat after peroral administration at 10 mg/kg,10116.0,Intermediate,,,8215,,CHEMBL875825,1,BAO_0000218,,In vivo,,N,,,5939,Rattus norvegicus,50597,A,,1
,Volume distribution in rat after peroral administration at 5 mg/kg,10116.0,Intermediate,,,8216,,CHEMBL620522,1,BAO_0000218,,In vivo,,N,,,5939,Rattus norvegicus,50597,A,,1
,Volume distribution was evaluated after i.v. administration in rat at a dose of 1 mg/kg,10116.0,Intermediate,,,8217,,CHEMBL620523,1,BAO_0000218,,In vivo,,N,,,6005,Rattus norvegicus,50597,A,,1
,Volume of distribution in rat.,10116.0,Intermediate,,,8218,,CHEMBL620524,1,BAO_0000218,,In vivo,,N,,,1696,Rattus norvegicus,50597,A,,1
,Volume of distribution in rat,10116.0,Intermediate,,,8219,,CHEMBL620525,1,BAO_0000218,,In vivo,,N,,,6672,Rattus norvegicus,50597,A,,1
,Volume of distribution in rat,10116.0,Intermediate,,,8220,,CHEMBL620526,1,BAO_0000218,,In vivo,,N,,,6673,Rattus norvegicus,50597,A,,1
,Volume of distribution in rat by iv administration,10116.0,Intermediate,,,8221,,CHEMBL620527,1,BAO_0000218,,In vivo,,N,,,5871,Rattus norvegicus,50597,A,,1
,Volume of distribution in rats,10116.0,Intermediate,,,8222,,CHEMBL620528,1,BAO_0000218,,In vivo,,N,,,6803,Rattus norvegicus,50597,A,,1
,Volume of distribution was determined in female Sprague-Dawley rats following intravenous (iv) administration of drug (1 mg/kg).,10116.0,Intermediate,,,8223,,CHEMBL620529,1,BAO_0000218,,In vivo,,N,,,5199,Rattus norvegicus,50597,A,,1
,Volume distribution at the dose of 2 mg/kg in rat,10116.0,Intermediate,,,8224,,CHEMBL620530,1,BAO_0000218,,,,N,,,4727,Rattus norvegicus,50597,A,,1
,Steady state volume of distribution was determined,10116.0,Intermediate,,,8225,,CHEMBL620531,1,BAO_0000218,,In vivo,,N,,,16367,Rattus norvegicus,50597,A,,1
,Compound was tested for its plasma volume distribution in rhesus monkey at a dose of 0.75 mg/kg iv/ 1.5 mg/kg po,9544.0,Intermediate,,,8226,,CHEMBL620532,1,BAO_0000218,,In vivo,,U,,,5005,Macaca mulatta,22224,A,,0
,Compound was tested for its plasma volume distribution in Sprague Dawley rats,10116.0,Intermediate,,,8227,,CHEMBL620533,1,BAO_0000218,,In vivo,,U,,,5005,Rattus norvegicus,22224,A,,0
,Compound was tested for its plasma volume distribution in Sprague Dawley rats; ND is not determined,10116.0,Intermediate,,,8228,,CHEMBL620534,1,BAO_0000218,,In vivo,,U,,,5005,Rattus norvegicus,22224,A,,0
,Mean (%CV) PK parameters for Vdss(mL/kg).,10116.0,Intermediate,,,8229,,CHEMBL620535,1,BAO_0000218,,In vivo,,N,,,15765,Rattus norvegicus,50597,A,,1
,Pharmacokinetic parameter Vdss was determined at 2 mg/kg i.v. dose in rats,10116.0,Intermediate,,,8230,,CHEMBL875826,1,BAO_0000218,,In vivo,,N,,,2792,Rattus norvegicus,50597,A,,1
,Pharmacokinetic parameter Vdss was determined at 5 mg/kg i.v. dose in rats,10116.0,Intermediate,,,8231,,CHEMBL620536,1,BAO_0000218,,In vivo,,N,,,2792,Rattus norvegicus,50597,A,,1
,Pharmacokinetic parameter volume of distribution was reported after intravenous administration at a dose of 1 mg/kg in Sprague-Dawley rat,10116.0,Intermediate,,,8232,,CHEMBL620537,1,BAO_0000218,,In vivo,,N,,,5334,Rattus norvegicus,50597,A,,1
,Pharmacokinetic parameter volume of distribution was reported in Sprague-Dawley rat; ND=Not determined,10116.0,Intermediate,,,8233,,CHEMBL618526,1,BAO_0000218,,In vivo,,N,,,5334,Rattus norvegicus,50597,A,,1
,Pharmacokinetic property (Vdss) for the compound (5 mg/kg iv) was determined in rats,10116.0,Intermediate,,,8234,,CHEMBL618527,1,BAO_0000218,,In vivo,,N,,,5739,Rattus norvegicus,50597,A,,1
,Pharmacokinetic property (Vdss) in rat,10116.0,Intermediate,,,8235,,CHEMBL618528,1,BAO_0000218,,In vivo,,N,,,5789,Rattus norvegicus,50597,A,,1
,Pharmacokinetic property (vdss) was measured in rat,10116.0,Intermediate,,,8236,,CHEMBL618529,1,BAO_0000218,,In vivo,,N,,,4239,Rattus norvegicus,50597,A,,1
,Steady state volume of distribution for the compound after intravenous administration of 1 mg/kg in rat,10116.0,Intermediate,,,8237,,CHEMBL618530,1,BAO_0000218,,In vivo,,N,,,4709,Rattus norvegicus,50597,A,,1
,Volume of distribution in rat,10116.0,Intermediate,,,8238,,CHEMBL618531,1,BAO_0000218,,In vivo,,N,,,6642,Rattus norvegicus,50597,A,,1
,The pharmacokinetic parameter volume of distribution in vivo in rats,10116.0,Intermediate,,,8239,,CHEMBL618532,1,BAO_0000218,,In vivo,,N,,,5247,Rattus norvegicus,50597,A,,1
,Vdss at a dose of 4 mg/kg in Rat Plasma after iv administration,10116.0,Intermediate,,,8240,,CHEMBL618533,1,BAO_0000218,,In vivo,,N,,,17720,Rattus norvegicus,50597,F,,1
,Vdss in rat i.v. at 2 mg/kg concentration,10116.0,Intermediate,,,8241,,CHEMBL618534,1,BAO_0000218,,In vivo,,N,,,17686,Rattus norvegicus,50597,A,,1
,Volume distribution after intravenous administration (1 mg/kg) in rat,10116.0,Intermediate,,,8242,,CHEMBL618535,1,BAO_0000218,,In vivo,,N,,,4689,Rattus norvegicus,50597,A,,1
,Volume distribution of compound was determined as average of four rats at each dose of 5 mg/kg intravenous and 16 mg/kg peroral administration,10116.0,Intermediate,,,8243,,CHEMBL618536,1,BAO_0000218,,In vivo,,N,,,5654,Rattus norvegicus,50597,A,,1
,Volume distribution of compound was determined as average of four rats at each dose of 5 mg/kg intravenous and 20 mg/kg peroral administration,10116.0,Intermediate,,,8244,,CHEMBL618537,1,BAO_0000218,,In vivo,,N,,,5654,Rattus norvegicus,50597,A,,1
,Volume distribution at a dose of 10 uM/kg in rat was determined,10116.0,Intermediate,,,8245,,CHEMBL618538,1,BAO_0000218,,In vivo,,N,,,4527,Rattus norvegicus,50597,A,,1
,Volume distribution in rat after 5 mg/kg by oral and 1 mg/kg by intravenous administration,10116.0,Intermediate,,,8246,,CHEMBL618539,1,BAO_0000218,,In vivo,,N,,,4521,Rattus norvegicus,50597,A,,1
,Volume distribution was calculated in rat,10116.0,Intermediate,,,8247,,CHEMBL618540,1,BAO_0000218,,In vivo,,N,,,6057,Rattus norvegicus,50597,A,,1
,Volume distribution was determined,10116.0,Intermediate,,,8248,,CHEMBL618541,1,BAO_0000218,,In vivo,,N,,,5510,Rattus norvegicus,50597,A,,1
,Volume of distribution after intravenous administration was evaluated in rat,10116.0,Intermediate,,,8249,,CHEMBL618542,1,BAO_0000218,,In vivo,,N,,,2938,Rattus norvegicus,50597,A,,1
,Volume of distribution at steady state was determined after 1 mg/kg (i.v.) / 2 mg/kg (p.o.) of compound administration,10116.0,Intermediate,,,8250,,CHEMBL622544,1,BAO_0000218,,In vivo,,N,,,6679,Rattus norvegicus,50597,A,,1
,"Volume of distribution at steady state was determined in rats at 10 mg/kg, p.o. dose; n/a: not applicable",10116.0,Intermediate,,,8251,,CHEMBL622545,1,BAO_0000218,,In vivo,,N,,,6685,Rattus norvegicus,50597,A,,1
,"Volume of distribution at steady state was determined in rats at 20 mg/kg, i.p. dose; n/a: not applicable",10116.0,Intermediate,,,8252,,CHEMBL622546,1,BAO_0000218,,In vivo,,N,,,6685,Rattus norvegicus,50597,A,,1
,"Volume of distribution at steady state was determined in rats at 2 mg/kg, i.v. dose",10116.0,Intermediate,,,8253,,CHEMBL622547,1,BAO_0000218,,In vivo,,N,,,6685,Rattus norvegicus,50597,A,,1
,Volume of distribution in steady state was determined in rat,10116.0,Intermediate,,,8254,,CHEMBL622548,1,BAO_0000218,,In vivo,,N,,,5145,Rattus norvegicus,50597,A,,1
,Volume of distribution in steady state was determined in rats at the dose of 1.0 mpk by i.v. administration,10116.0,Intermediate,,,8255,,CHEMBL622549,1,BAO_0000218,,In vivo,,N,,,6467,Rattus norvegicus,50597,A,,1
,Volume of distribution in steady state was determined in rats at the dose of 1.0 mpk by i.v. administration; ND= not determined,10116.0,Intermediate,,,8256,,CHEMBL622550,1,BAO_0000218,,In vivo,,N,,,6467,Rattus norvegicus,50597,A,,1
,Compound was evaluated for area under curve when administered through oral route to mouse,10090.0,Intermediate,,,8257,,CHEMBL622551,1,BAO_0000218,,,,N,,,15115,Mus musculus,50594,A,,1
,Compound was evaluated for area under curve doses in rat at 100 mg/kg po,10116.0,Intermediate,,,8258,,CHEMBL622552,1,BAO_0000218,,,,N,,,8758,Rattus norvegicus,50597,A,,1
,Compound was evaluated for area under curve doses in rat at 50 mg/kg po,10116.0,Intermediate,,,8259,,CHEMBL622553,1,BAO_0000218,,,,N,,,8758,Rattus norvegicus,50597,A,,1
,Compound was evaluated for its bioavailability after oral administration (100 mg) to Beagle dogs,,Autocuration,,,8260,,CHEMBL622554,1,BAO_0000218,,In vivo,,U,,,8267,,22224,F,,0
,Compound was evaluated for its bioavailability after oral administration (200 mg) to Beagle dogs,9615.0,Intermediate,,,8261,,CHEMBL622555,1,BAO_0000218,,,,N,,,8267,Canis lupus familiaris,50588,A,,1
,Compound was evaluated for the area under the concentration - time curve by administering intravenously at 25 mg/kg in mice,10090.0,Intermediate,,,8262,,CHEMBL622556,1,BAO_0000218,,,,N,,,14239,Mus musculus,50594,A,,1
,Compound was evaluated for the area under the concentration - time curve by administering orally at 25 mg/kg in mice,10090.0,Intermediate,,,8263,,CHEMBL622557,1,BAO_0000218,,,,N,,,14239,Mus musculus,50594,A,,1
,Compound was evaluated in vivo in blood samples from the orbital sinus for its concentration using Area under the time-concentration curve after 40 mg/kg intramuscular administration to mice,10090.0,Intermediate,,,8264,178.0,CHEMBL622558,1,BAO_0000218,,,,N,,Blood,10754,Mus musculus,50594,A,,1
,Compound was evaluated in vivo in blood samples from the orbital sinus for its concentration using Area under the time-concentration curve after 40 mg/kg peroral administration to mice,10090.0,Intermediate,,,8265,178.0,CHEMBL622559,1,BAO_0000218,,,,N,,Blood,10754,Mus musculus,50594,A,,1
,Compound was evaluated in vivo in for its concentration using Area under the time-concentration curve after 40 mg/kg peroral administration to dogs.,9615.0,Intermediate,,,8266,,CHEMBL622560,1,BAO_0000218,,,,N,,,10754,Canis lupus familiaris,50588,A,,1
,Compound was tested for area under concentration -time curve from time 0 to time infinity in three male Wistar rats at a single 5 mg/kg oral gavage dose,10116.0,Intermediate,,,8267,,CHEMBL622561,1,BAO_0000218,,,,N,,,14681,Rattus norvegicus,50597,A,,1
,Compound was tested for area under concentration -time curve from time 0 to time infinity in three male Wistar rats at a single 5 mg/kg oral gavage dose. ,10116.0,Intermediate,,,8268,,CHEMBL622562,1,BAO_0000218,,,,N,,,14681,Rattus norvegicus,50597,A,,1
,Compound was tested for area under concentration -time curve from time 0 to time of last detectable concentration in three male Wistar rats at a single 5 mg/kg oral gavage dose,10116.0,Intermediate,,,8269,,CHEMBL622563,1,BAO_0000218,,,,N,,,14681,Rattus norvegicus,50597,A,,1
,Concentration of compound in Central nervous system,,Autocuration,,,8270,,CHEMBL622564,1,BAO_0000019,,,,U,,,13118,,22224,A,,0
,Concentration of compound in Central nervous system; Not detectable,,Autocuration,,,8271,,CHEMBL622565,1,BAO_0000019,,,,U,,,13118,,22224,A,,0
,"Concentration of diester in the blood, following oral administration in mice",10090.0,Intermediate,,,8272,,CHEMBL622566,1,BAO_0000218,,,,N,,,13318,Mus musculus,50594,A,,1
,"Concentration of monoester in the blood, following oral administration in mice",10090.0,Intermediate,,,8273,,CHEMBL624515,1,BAO_0000218,,,,N,,,13318,Mus musculus,50594,A,,1
,Concentration of the 9-[2-(Phosphonomethoxy)ethoxy]adenine in the blood following oral administration in mice,10090.0,Intermediate,,,8274,,CHEMBL624516,1,BAO_0000218,,,,N,,,13318,Mus musculus,50594,A,,1
,Evaluated for Pharmacokinetic property: Area under the curve,,Autocuration,,,8275,,CHEMBL624517,1,BAO_0000019,,,,U,,,15692,,22224,A,,0
,In vivo antitumor efficacy expressed as plasma area under the curve 0.4 hr after a peroral dose of 25 mg/kg in nude mice,10090.0,Intermediate,,,8276,,CHEMBL624518,1,BAO_0000218,,,,N,,,14839,Mus musculus,50594,A,,1
,In vivo antitumor efficacy expressed as plasma area under the curve 0.4 hr after iv dose of 25 mg/kg in nude mice,9541.0,Intermediate,,,8277,,CHEMBL624519,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,In vivo antitumor efficacy in cynomolgus monkeys 0-48 hr after iv dose of 5 mg/kg expressed as Area under the curve,9541.0,Intermediate,,,8278,,CHEMBL624520,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,In vivo antitumor efficacy in cynomolgus monkeys 0-48 hr after peroral dose of 10 mg/kg expressed as Area under the curve,9541.0,Intermediate,,,8279,,CHEMBL624521,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,In vivo antitumor efficacy in cynomolgus monkeys 0-48 hr after peroral dose of 5 mg/kg expressed as Area under the curve,9541.0,Intermediate,,,8280,,CHEMBL624522,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,In vivo antitumor efficacy in cynomolgus monkeys 0-8 hours after peroral dose of 25 mg/kg expressed as Area under the curve,9541.0,Intermediate,,,8281,,CHEMBL624523,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 10 mg/kg, as HCl salt in saline solution, perorally and the total drug exposure was determined (0-8 hr)",9541.0,Intermediate,,,8282,,CHEMBL624409,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 25 mg/kg, as HCl salt in saline solution, iv and the total drug exposure was determined. (0-8 hr)",9541.0,Intermediate,,,8283,,CHEMBL624410,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 25 mg/kg, as HCl salt in saline solution, perorally and the total drug exposure was determined (0-8 hr)",9541.0,Intermediate,,,8284,,CHEMBL624411,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 25 mg/kg, as the micronised free base in corn oil, iv and the total drug exposure was determined. (0-8 hr)",9541.0,Intermediate,,,8285,,CHEMBL623531,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 25 mg/kg, as the micronised free base in corn oil, perorally and the total drug exposure was determined (0-8 hr)",9541.0,Intermediate,,,8286,,CHEMBL623532,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 5 mg/kg, as HCl salt in saline solution, intravenously and the total drug exposure was determined (0-8 hr)",9541.0,Intermediate,,,8287,,CHEMBL623533,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 5 mg/kg, as HCl salt in saline solution, perorally and the total drug exposure was determined (0-8 hr)",9541.0,Intermediate,,,8288,,CHEMBL623534,1,BAO_0000218,,,,N,,,14839,Macaca fascicularis,100710,A,,1
,In vivo antitumor efficacy in nude mice 0-24 hr after intravenous dose of 25 mg/kg expressed as Area under the curve,10090.0,Intermediate,,,8289,,CHEMBL623535,1,BAO_0000218,,,,N,,,14839,Mus musculus,50594,A,,1
,In vivo antitumor efficacy in nude mice 0-24 hr after iperoral dose of 25 mg/kg expressed as Area under the curve,10090.0,Intermediate,,,8290,,CHEMBL623536,1,BAO_0000218,,,,N,,,14839,Mus musculus,50594,A,,1
,In vivo antitumor efficacy in nude mice 0-24 hr after iv dose of 25 mg/kg expressed as Area under the curve,10090.0,Intermediate,,,8291,,CHEMBL623537,1,BAO_0000218,,,,N,,,14839,Mus musculus,50594,A,,1
,In vivo antitumor efficacy in nude mice 0-24 hr after peroral dose of 25 mg/kg expressed as Area under the curve,10090.0,Intermediate,,,8292,,CHEMBL623538,1,BAO_0000218,,,,N,,,14839,Mus musculus,50594,A,,1
,In vivo antitumor efficacy in nude mice after peroral dose of 10 mg/kg expressed as Area under the curve,10090.0,Intermediate,,,8293,,CHEMBL623539,1,BAO_0000218,,,,N,,,14839,Mus musculus,50594,A,,1
,In vivo antitumor efficacy in nude mice after peroral dose of 25 mg/kg expressed as Area under the curve,10090.0,Intermediate,,,8294,,CHEMBL623540,1,BAO_0000218,,,,N,,,14839,Mus musculus,50594,A,,1
,"In vivo antitumor efficacy in nude mice by injecting a dose of 25 mg/kg, as HCl salt in saline solution, iv and the total drug exposure was determined.",10090.0,Intermediate,,,8295,,CHEMBL623541,1,BAO_0000218,,,,N,,,14839,Mus musculus,50594,A,,1
,"In vivo antitumor efficacy in nude mice by injecting a dose of 25 mg/kg, as HCl salt in saline solution, iv and the total drug exposure was determined. (0-24hr)",10090.0,Intermediate,,,8296,,CHEMBL623542,1,BAO_0000218,,,,N,,,14839,Mus musculus,50594,A,,1
,"In vivo antitumor efficacy in nude mice by injecting a dose of 25 mg/kg, as HCl salt in saline solution, iv and the total drug exposure was determined. (0-4 hr)",10090.0,Intermediate,,,8297,,CHEMBL623543,1,BAO_0000218,,,,N,,,14839,Mus musculus,50594,A,,1
