Fiscal year,Programming process (new),Climate change adaptation (marker),Regional program (marker),Urban issues (marker),Sector percent,Project number,Untied amount(Project-level budget),Gender equality (marker),Sector name,Biodiversity (marker),CountryRegion name,CFLI (marker),Organisation class,Maximum CIDA contribution (project-level),Status,Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Fund centre ID,Fund centre name,FSTC percent,IRTC percent,CIDA business delivery model (old),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Eastern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A032162001,15300000.0,2,Food crop production,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural extension,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.45,A032162001,15300000.0,2,Agricultural research,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Basic nutrition,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.15,A032162001,15300000.0,2,Agricultural policy and administrative management,0,Southern Africa,0,Multilateral,15300000.0,Operational,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4246,PanAfrica,0.45,0.0,Responsive,1,Not PBA,0,0,0,0
