SRASSI,Descri,ASI,RELTY,ASSORG,ASSSTR,VAI,DOI,Ti,CONFISC,ASST,BAFO,CI,ASTET,SRI,CHI,TISI,ASCAT,ASSTI,CURB,ASTIS,ASSSUBCELFRA,ASSCTY
,p value of the compound,9034,N,Rattus norvegicus,,,15765,50597,1,F,BAO_0000218,,,1,CHEMBL876787,,,10116.0,Intermediate,,,
,p value of the compound,9035,N,Rattus norvegicus,,,15765,50597,1,A,BAO_0000218,,,1,CHEMBL621963,,,10116.0,Intermediate,,,
,pH of the gastric juice (Control value = 1.42+/-0.02) of stomach content of pylorus ligated rats was measured (10 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),9036,N,Rattus norvegicus,,,6175,50597,1,A,BAO_0000218,,,1,CHEMBL622637,945.0,,10116.0,Intermediate,Stomach,,
,pH of the gastric juice (Control value = 1.42+/-0.02) of stomach content of pylorus ligated rats was measured (20 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),9037,N,Rattus norvegicus,,,6175,50597,1,A,BAO_0000218,,,1,CHEMBL622638,945.0,,10116.0,Intermediate,Stomach,,
,pH of the gastric juice (Control value = 1.42+/-0.02) of stomach content of pylorus ligated rats was measured (5 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),9038,N,Rattus norvegicus,,,6175,50597,1,A,BAO_0000218,,,1,CHEMBL626561,945.0,,10116.0,Intermediate,Stomach,,
,Negative log of minimum effective dose (moles per kilogram) in rabbits (hypnotic),9039,U,Oryctolagus cuniculus,,,7991,22224,0,F,BAO_0000019,,,1,CHEMBL626562,,,9986.0,Autocuration,,,
,Evaluated for pharmacokinetic parameter area under curve in rabbit at the dose 20 mg/kg ( 0-4 hr ),9040,U,Oryctolagus cuniculus,,,429,22224,0,A,BAO_0000218,,,1,CHEMBL626563,,,9986.0,Autocuration,,,
,Evaluated for pharmacokinetic parameter area under curve in rabbit at the dose 20 mg/kg (0-4 hr ),9041,U,Oryctolagus cuniculus,,,429,22224,0,A,BAO_0000218,,,1,CHEMBL626564,,,9986.0,Autocuration,,,
,Clearance was measured at the concentration of 1.11 mg/kg in rabbit blood sample,9042,U,Oryctolagus cuniculus,,,6253,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL626565,,,9986.0,Autocuration,,,
,Clearance was measured at the concentration of 2.0 mg/kg in rabbit blood sample,9043,U,Oryctolagus cuniculus,,,6253,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL626566,,,9986.0,Autocuration,,,
,Clearance rate in rabbits,9044,U,Oryctolagus cuniculus,,,3615,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL626567,,,9986.0,Autocuration,,,
,Plasma clearance was determined in rabbit at a dose of 5 mg/kg/h administered i.v.,9045,U,Oryctolagus cuniculus,,,4059,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL626568,,,9986.0,Autocuration,,,
,Clearance in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 4.9 mg/kg,9046,U,Oryctolagus cuniculus,,,5124,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL626569,,,9986.0,Autocuration,,,
,Clearance in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 5 mg/kg,9047,U,Oryctolagus cuniculus,,,5124,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL626570,,,9986.0,Autocuration,,,
,Clearance in male New Zealand white rabbits after i.v. administration at 2.0 mg/kg,9048,U,Oryctolagus cuniculus,,,5124,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL626571,,,9986.0,Autocuration,,,
,Evaluated for pharmacokinetic parameter Cmax in rabbit at the dose 20 mg/kg,9049,U,Oryctolagus cuniculus,,,429,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL626572,,,9986.0,Autocuration,,,
,Maximum plasma concentration was determined in rabbit at a dose of 5 mg/kg/h administered i.v.,9050,U,Oryctolagus cuniculus,,,4059,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL626573,1969.0,,9986.0,Autocuration,Plasma,,
,Oxidation by dutch rabbit liver microsomes in presence of NADPH/O2,9051,U,Oryctolagus cuniculus,,,9659,22224,0,A,BAO_0000251,,,1,CHEMBL626574,2107.0,,9986.0,Autocuration,Liver,Microsomes,
,Oxidation by dutch rabbit liver microsomes in presence of cumene hydroperoxide,9052,U,Oryctolagus cuniculus,,,9659,22224,0,A,BAO_0000251,,,1,CHEMBL626575,2107.0,,9986.0,Autocuration,Liver,Microsomes,
,Dose at which bioavailability of intravenously administered compound was tested in rabbit,9053,U,Oryctolagus cuniculus,,,3639,22224,0,A,BAO_0000218,,,1,CHEMBL626576,,,9986.0,Autocuration,,,
,Dose at which bioavailability of perorally administered compound was tested in rabbit,9054,U,Oryctolagus cuniculus,,,3639,22224,0,A,BAO_0000218,,,1,CHEMBL626577,,,9986.0,Autocuration,,,
,The compound was tested for its bioavailability in rabbit (by oral dosage).,9055,U,Oryctolagus cuniculus,,,3639,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL626578,,,9986.0,Autocuration,,,
,Mean retention time in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 4.9 mg/kg,9056,U,Oryctolagus cuniculus,,,5124,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL625263,,,9986.0,Autocuration,,,
,Mean retention time in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 5 mg/kg,9057,U,Oryctolagus cuniculus,,,5124,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL625264,,,9986.0,Autocuration,,,
,Mean retention time in male New Zealand white rabbits after i.v. administration at 2.0 mg/kg,9058,U,Oryctolagus cuniculus,,,5124,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL625265,,,9986.0,Autocuration,,,
,Metabolism of compound in rabbit S9 microsomes ('+''indicates <20% largest observed peak),9059,U,Oryctolagus cuniculus,,,14294,22224,0,A,BAO_0000251,,,1,CHEMBL625266,,,9986.0,Autocuration,,Microsomes,
,Metabolism of compound in rabbit S9 microsomes ('++++' indicates largest observed peak),9060,U,Oryctolagus cuniculus,,,14294,22224,0,A,BAO_0000251,,,1,CHEMBL876796,,,9986.0,Autocuration,,Microsomes,
,Evaluated for pharmacokinetic parameter half-life in rabbit at the dose 20 mg/kg,9061,U,Oryctolagus cuniculus,,,429,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL625267,,,9986.0,Autocuration,,,
,Plasma half-life in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 4.9 mg/kg,9062,U,Oryctolagus cuniculus,,,5124,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL625268,1969.0,,9986.0,Autocuration,Plasma,,
,Plasma half-life in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 5 mg/kg,9063,U,Oryctolagus cuniculus,,,5124,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL625269,1969.0,,9986.0,Autocuration,Plasma,,
,Plasma half-life in male New Zealand white rabbits after i.v. administration at 2.0 mg/kg,9064,U,Oryctolagus cuniculus,,,5124,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL624689,1969.0,,9986.0,Autocuration,Plasma,,
,Evaluated for pharmacokinetic parameter tmax in rabbit at the dose 20 mg/kg,9065,U,Oryctolagus cuniculus,,,429,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL624690,,,9986.0,Autocuration,,,
,Evaluated for pharmacokinetic parameter urine recovery in rabbit at the dose 20 mg/kg ( 0-24 hr ),9066,U,Oryctolagus cuniculus,,,429,22224,0,A,BAO_0000218,,,1,CHEMBL624691,1088.0,,9986.0,Autocuration,Urine,,
,Evaluated for pharmacokinetic parameter urine recovery in rabbit at the dose 20 mg/kg (0-24 hr),9067,U,Oryctolagus cuniculus,,,429,22224,0,A,BAO_0000218,,,1,CHEMBL624692,1088.0,,9986.0,Autocuration,Urine,,
,The compound was evaluated for volume of distribution in rabbit at a dose of 5 mg/kg/h administered i.v.,9068,U,Oryctolagus cuniculus,,,4059,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL624693,,,9986.0,Autocuration,,,
,Volume of distribution after intravenous administration of 1 mg/kg/h in dog,9069,U,Oryctolagus cuniculus,,,4137,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL624694,,,9986.0,Autocuration,,,
,In vitro Biological half-life in crude homogenate of rabbit renal cortex,9070,U,Oryctolagus cuniculus,,,11672,22224,0,A,BAO_0000221,,In vitro,1,CHEMBL877596,,,9986.0,Autocuration,,,
,Time within which only 10% of the drug was degraded,9071,U,Oryctolagus cuniculus,,,12886,22224,0,A,BAO_0000019,,,1,CHEMBL624695,,,9986.0,Autocuration,,,
,Half life period in rabbit liver homogenate,9072,U,Oryctolagus cuniculus,,,3853,22224,0,A,BAO_0000221,,,1,CHEMBL624696,2107.0,,9986.0,Autocuration,Liver,,
,Half life value in rabbits,9073,U,Oryctolagus cuniculus,,,3615,22224,0,A,BAO_0000019,,,1,CHEMBL624697,,,9986.0,Autocuration,,,
,Half-life was measured at the concentration of 1.11 mg/kg in rabbit blood sample,9074,U,Oryctolagus cuniculus,,,6253,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL624698,178.0,,9986.0,Autocuration,Blood,,
,Half-life was measured at the concentration of 2.0 mg/kg in rabbit blood sample,9075,U,Oryctolagus cuniculus,,,6253,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL624699,178.0,,9986.0,Autocuration,Blood,,
,Half-life period in rabbits following intravenous administration at 2 mg/kg,9076,U,Oryctolagus cuniculus,,,6077,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL624700,,,9986.0,Autocuration,,,
,AUC 0-8 hr value in rats at 10 mg/kg,9077,N,Rattus norvegicus,,,17617,50597,1,A,BAO_0000218,,,1,CHEMBL622903,1969.0,,10116.0,Intermediate,Plasma,,
,AUC after administration at 2000 mg/kg/day in rats,9078,N,Rattus norvegicus,,,17594,50597,1,A,BAO_0000218,,,1,CHEMBL622904,1969.0,,10116.0,Intermediate,Plasma,,
,AUC of compound for a 2 mpk po dose of the sodium salt in rats.,9079,N,Rattus norvegicus,,,6149,50597,1,A,BAO_0000218,,,1,CHEMBL622905,1969.0,,10116.0,Intermediate,Plasma,,
,AUC at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,9080,N,Rattus norvegicus,,,17260,50597,1,A,BAO_0000218,,,1,CHEMBL622906,1969.0,,10116.0,Intermediate,Plasma,,
,AUC at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,9081,N,Rattus norvegicus,,,17260,50597,1,A,BAO_0000218,,,1,CHEMBL622907,1969.0,,10116.0,Intermediate,Plasma,,
,AUC in rat after oral administration at 10.5 mg/kg dose,9082,N,Rattus norvegicus,,,6644,50597,1,A,BAO_0000218,,,1,CHEMBL622908,1969.0,,10116.0,Intermediate,Plasma,,
,AUC in rat after oral administration at 11.2 mg/kg dose,9083,N,Rattus norvegicus,,,6644,50597,1,A,BAO_0000218,,,1,CHEMBL622909,1969.0,,10116.0,Intermediate,Plasma,,
,AUC in rat after oral administration at 9.7 mg/kg dose,9084,N,Rattus norvegicus,,,6644,50597,1,A,BAO_0000218,,,1,CHEMBL622910,1969.0,,10116.0,Intermediate,Plasma,,
,AUC in rat brain after oral administration at 10 mg/kg,9085,N,Rattus norvegicus,,,6495,50597,1,A,BAO_0000218,,,1,CHEMBL622911,955.0,,10116.0,Intermediate,Brain,,
,AUC in rat p.o.,9086,N,Rattus norvegicus,,,6504,50597,1,A,BAO_0000218,,,1,CHEMBL622912,1969.0,,10116.0,Intermediate,Plasma,,
,AUC in rat p.o. at 20 mg/kg concentration,9087,N,Rattus norvegicus,,,17686,50597,1,A,BAO_0000218,,,1,CHEMBL622913,1969.0,,10116.0,Intermediate,Plasma,,
,AUC in rat plasma after oral administration at 10 mg/kg,9088,N,Rattus norvegicus,,,6495,50597,1,A,BAO_0000218,,,1,CHEMBL622914,1969.0,,10116.0,Intermediate,Plasma,,
,AUC in rats,9089,N,Rattus norvegicus,,,216,50597,1,A,BAO_0000218,,,1,CHEMBL622915,1969.0,,10116.0,Intermediate,Plasma,,
,AUC value after IV dose at a dose of 5 mg/kg in rats.,9090,N,Rattus norvegicus,,,1908,50597,1,A,BAO_0000218,,,1,CHEMBL622916,1969.0,,10116.0,Intermediate,Plasma,,
,AUC value after oral dose at a dose of 10 mg/kg in rats.,9091,N,Rattus norvegicus,,,1908,50597,1,A,BAO_0000218,,,1,CHEMBL622917,1969.0,,10116.0,Intermediate,Plasma,,
,"Maximum plasma concentration in rats at 2 mg/kg, i.v. dose; n/a: not applicable",9092,N,Rattus norvegicus,,,6685,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL622918,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum plasma concentration in rats when a oral dose of 200 mg/kg was given,9093,N,Rattus norvegicus,,,216,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL622919,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum plasma concentration was evaluated in rat,9094,N,Rattus norvegicus,,,6049,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL622920,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum plasma concentration was evaluated in vivo in rat at a dose of 5 mg/kg by oral administration,9095,N,Rattus norvegicus,,,2463,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL622921,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum plasma concentration reached by compound was determined after 2 mg/kg (p.o.) administration,9096,N,Rattus norvegicus,,,6679,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL622922,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum plasma concentration reached by compound was determined in rats at 50 mg/kg dose,9097,N,Rattus norvegicus,,,6681,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL622923,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum plasma concentration was determined after oral administration at a dose 10 mg/kg to male Sprague-Dawley rats,9098,N,Rattus norvegicus,,,4890,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL877604,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum plasma concentration was evaluated in rats at an intravenous dose of 3 mg/kg,9099,N,Rattus norvegicus,,,6410,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL622924,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum plasma concentration was evaluated in rats at an oral dose of 30 mg/kg,9100,N,Rattus norvegicus,,,6410,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL622925,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum plasma concentration was measured when a dose of 1 mg/kg is administered orally,9101,N,Rattus norvegicus,,,16366,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL622926,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum plasma concentration (Cmax) in rat (in vivo) at a dose of 10 mg/kg,9102,N,Rattus norvegicus,,,6227,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623625,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum plasma drug concentration of compound determined in rat after iv administration at a dose of 10 mg/kg,9103,N,Rattus norvegicus,,,3598,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623626,1969.0,,10116.0,Expert,Plasma,,
,Maximum plasma drug concentration was determined,9104,N,Rattus norvegicus,,,1465,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623627,1969.0,,10116.0,Intermediate,Plasma,,
,Maximum concentration by intravenous administration of 3.4 mg/kg in rat,9105,N,Rattus norvegicus,,,4368,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623628,,,10116.0,Intermediate,,,
,Mean peak plasma concentration was observed after intravenous administration in rat,9106,N,Rattus norvegicus,,,15662,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623629,1969.0,,10116.0,Intermediate,Plasma,,
,Mean peak plasma concentration was observed after oral administration in rat,9107,N,Rattus norvegicus,,,15662,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623630,1969.0,,10116.0,Intermediate,Plasma,,
,Peak concentration (Cmax) at a dose of 10 mg/kg in rats,9108,N,Rattus norvegicus,,,5355,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623804,,,10116.0,Intermediate,,,
,Peak concentration (Cmax) at a dose of 20 mg/kg in rats,9109,N,Rattus norvegicus,,,5355,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623805,,,10116.0,Intermediate,,,
,Peak oral plasma concentration was determined in rats by oral administration,9110,N,Rattus norvegicus,,,1567,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623806,1969.0,,10116.0,Intermediate,Plasma,,
,Peak plasma concentration (Cmax) was determined,9111,N,Rattus norvegicus,,,4026,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623807,1969.0,,10116.0,Intermediate,Plasma,,
,Peak plasma concentration (Cmax) following an oral dose of 20 mg/kg in rats,9112,N,Rattus norvegicus,,,6193,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623808,1969.0,,10116.0,Intermediate,Plasma,,
,Peak plasma concentration (Cmax) in rats,9113,N,Rattus norvegicus,,,4026,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623809,1969.0,,10116.0,Intermediate,Plasma,,
,Peak plasma concentration at 1 mg/kg peroral administration,9114,N,Rattus norvegicus,,,6485,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623810,1969.0,,10116.0,Intermediate,Plasma,,
,Peak plasma concentration in rat,9115,N,Rattus norvegicus,,,17655,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623811,1969.0,,10116.0,Intermediate,Plasma,,
,"Pharmacokinetic Parameter, Cmax is observed maximum plasma concentration in Female Wistar Rats at 100 mg/kg by po administration",9116,N,Rattus norvegicus,,,14941,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623812,1969.0,,10116.0,Intermediate,Plasma,,
,Pharmacokinetic parameter Cmax was measured after administration into rat at 10 mg/kg,9117,N,Rattus norvegicus,,,5394,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL877605,,,10116.0,Intermediate,,,
,Pharmacokinetic property (Cmax) in rat,9118,N,Rattus norvegicus,,,4408,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623813,,,10116.0,Intermediate,,,
,Pharmacokinetic property (Cmax) was measured in rat at the dose of 0.32 mg/kg p.o.,9119,N,Rattus norvegicus,,,5983,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623814,,,10116.0,Intermediate,,,
,Cmax in rat after 3mg/kg oral dose,9120,N,Rattus norvegicus,,,4878,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623815,,,10116.0,Intermediate,,,
,Clearance in Sprague-Dawley rats after 2mg/kg oral dose,9121,N,Rattus norvegicus,Sprague-Dawley,,5862,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623816,,,10116.0,Intermediate,,,
,Cmax in rats after 20 mg/kg oral dose,9122,N,Rattus norvegicus,,,4517,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623145,,,10116.0,Intermediate,,,
,Cmax in rat plasma after 30mg/kg oral dose,9123,N,Rattus norvegicus,,,5932,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623146,1969.0,,10116.0,Intermediate,Plasma,,
,Plasma concentration after oral administration of 100 mg/kg to rats,9124,N,Rattus norvegicus,,,5436,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623147,1969.0,,10116.0,Intermediate,Plasma,,
,Tested for concentration in brain after intravenous administration (4.7 mg/kg) to male rats,9125,N,Rattus norvegicus,,,4910,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623042,955.0,,10116.0,Intermediate,Brain,,
,Tested for the Cmax in rat at 10 mg/kg per orally,9126,N,Rattus norvegicus,,,4950,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623043,,,10116.0,Intermediate,,,
,"The Cmax value in female wistar rat at 100 mg/kg, p.o. dose",9127,N,Rattus norvegicus,,,15078,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623044,,,10116.0,Intermediate,,,
,"The Cmax value in male wistar rat at 100 mg/kg, p.o. dose",9128,N,Rattus norvegicus,,,15078,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623045,,,10116.0,Intermediate,,,
,Bioavailability as oral Cmax in rats at 30 mins,9129,N,Rattus norvegicus,,,3360,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623046,,,10116.0,Intermediate,,,
,Bioavailability as oral Cmax in rats at 6hr,9130,N,Rattus norvegicus,,,3360,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623226,,,10116.0,Intermediate,,,
,The maximum concentration of compound was measured at the dose of 100 umol/kg,9131,N,Rattus norvegicus,,,15022,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623227,,,10116.0,Intermediate,,,
,The maximum concentration of compound was measured at the dose of 300 umol/kg,9132,N,Rattus norvegicus,,,15022,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623228,,,10116.0,Intermediate,,,
,The maximum concentration of compound was measured at the dose of 30 umol/kg,9133,N,Rattus norvegicus,,,15022,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623229,,,10116.0,Intermediate,,,
,The maximum plasma levels for the compounds were determined by LC-MS.,9134,N,Rattus norvegicus,,,5160,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623230,1969.0,,10116.0,Intermediate,Plasma,,
,mean peak plasma concentration was observed after intravenous administration in rat,9135,N,Rattus norvegicus,,,15662,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623231,1969.0,,10116.0,Intermediate,Plasma,,
,mean peak plasma concentration was observed after oral administration in rat,9136,N,Rattus norvegicus,,,15662,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL623232,1969.0,,10116.0,Intermediate,Plasma,,
,Concentration in the plasma after intravenous administration of 1 mg/kg in rat,9137,N,Rattus norvegicus,,,4709,50597,1,A,BAO_0000218,,,1,CHEMBL623233,,,10116.0,Intermediate,,,
,Concentration in plasma (portal) following oral dose in rats at 0.25 hr,9138,N,Rattus norvegicus,,,3535,50597,1,A,BAO_0000218,,,1,CHEMBL623234,,,10116.0,Intermediate,,,
,Concentration in plasma (portal) following oral dose in rats at 1 hr,9139,N,Rattus norvegicus,,,3535,50597,1,A,BAO_0000218,,,1,CHEMBL623235,,,10116.0,Intermediate,,,
,Concentration in plasma (portal) following oral dose in rats at 2 hr,9140,N,Rattus norvegicus,,,3535,50597,1,A,BAO_0000218,,,1,CHEMBL623236,,,10116.0,Intermediate,,,
,Concentration in plasma (systemic) following oral dose in rats at 0.25 hr,9141,N,Rattus norvegicus,,,3535,50597,1,A,BAO_0000218,,,1,CHEMBL623237,,,10116.0,Intermediate,,,
,Concentration in plasma (systemic) following oral dose in rats at 1 hr,9142,N,Rattus norvegicus,,,3535,50597,1,A,BAO_0000218,,,1,CHEMBL623238,,,10116.0,Intermediate,,,
,Concentration in plasma (systemic) following oral dose in rats at 2 hr,9143,N,Rattus norvegicus,,,3535,50597,1,A,BAO_0000218,,,1,CHEMBL623239,,,10116.0,Intermediate,,,
,Compound was evaluated for the plasma concentration in rats versus time curves (AUC) in vivo,9144,U,Rattus norvegicus,,,5005,22224,0,A,BAO_0000218,,In vivo,1,CHEMBL623240,1969.0,,10116.0,Intermediate,Plasma,,
,"Concentration (30 mg/kg, p.o.) in rat hypothalamus after 2 hours",9145,N,Rattus norvegicus,,,6326,50597,1,A,BAO_0000218,,,1,CHEMBL623241,1898.0,,10116.0,Intermediate,Hypothalamus,,
,"Concentration (30 mg/kg, p.o.) in rat hypothalamus after 6 hours",9146,N,Rattus norvegicus,,,6326,50597,1,A,BAO_0000218,,,1,CHEMBL623242,1898.0,,10116.0,Intermediate,Hypothalamus,,
,"Concentration (30 mg/kg, p.o.) in rat plasma after 2 hours",9147,N,Rattus norvegicus,,,6326,50597,1,A,BAO_0000218,,,1,CHEMBL874394,,,10116.0,Intermediate,,,
,"Concentration (30 mg/kg, p.o.) in rat plasma after 6 hours",9148,N,Rattus norvegicus,,,6326,50597,1,A,BAO_0000218,,,1,CHEMBL623243,,,10116.0,Intermediate,,,
,Kidney concentration was determined after 5 min. of intravenous administration to rats (n=4) at dose of 20 mg/kg,9149,N,Rattus norvegicus,,,17411,50597,1,A,BAO_0000218,,,1,CHEMBL623244,,,10116.0,Intermediate,,,
,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 5 min,9150,N,Rattus norvegicus,,,16435,50597,1,A,BAO_0000218,,,1,CHEMBL623245,2113.0,,10116.0,Intermediate,Kidney,,
,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 60 min,9151,N,Rattus norvegicus,,,16435,50597,1,A,BAO_0000218,,,1,CHEMBL623246,2113.0,,10116.0,Intermediate,Kidney,,
,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 120 min,9152,N,Rattus norvegicus,,,16435,50597,1,A,BAO_0000218,,,1,CHEMBL623247,2113.0,,10116.0,Intermediate,Kidney,,
,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 5 min,9153,N,Rattus norvegicus,,,16435,50597,1,A,BAO_0000218,,,1,CHEMBL623248,2113.0,,10116.0,Intermediate,Kidney,,
,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 60 min,9154,N,Rattus norvegicus,,,16435,50597,1,A,BAO_0000218,,,1,CHEMBL623249,2113.0,,10116.0,Intermediate,Kidney,,
,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 120 min.,9155,N,Rattus norvegicus,,,16434,50597,1,A,BAO_0000218,,,1,CHEMBL625072,2107.0,,10116.0,Intermediate,Liver,,
,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 30 min.,9156,N,Rattus norvegicus,,,16434,50597,1,A,BAO_0000218,,,1,CHEMBL625073,2107.0,,10116.0,Intermediate,Liver,,
,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 5 min.,9157,N,Rattus norvegicus,,,16434,50597,1,A,BAO_0000218,,,1,CHEMBL625074,2107.0,,10116.0,Intermediate,Liver,,
,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 60 min.,9158,N,Rattus norvegicus,,,16434,50597,1,A,BAO_0000218,,,1,CHEMBL625075,2107.0,,10116.0,Intermediate,Liver,,
,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methylpropanoic acid after 120 min.,9159,N,Rattus norvegicus,,,16434,50597,1,A,BAO_0000218,,,1,CHEMBL625076,2107.0,,10116.0,Intermediate,Liver,,
,Radioactivity distribution in liver of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 30 min.,9160,N,Rattus norvegicus,,,16434,50597,1,A,BAO_0000218,,,1,CHEMBL625077,2107.0,,10116.0,Intermediate,Liver,,
,Radioactivity distribution in liver of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min.,9161,N,Rattus norvegicus,,,16434,50597,1,A,BAO_0000218,,,1,CHEMBL625078,2107.0,,10116.0,Intermediate,Liver,,
,Radioactivity distribution in liver of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min.,9162,N,Rattus norvegicus,,,16434,50597,1,A,BAO_0000218,,,1,CHEMBL874395,2107.0,,10116.0,Intermediate,Liver,,
,Radioactivity distribution in liver of normal fischer rat after injection of anti-[18F]FMACBC after 120 min.,9163,N,Rattus norvegicus,,,16435,50597,1,A,BAO_0000218,,,1,CHEMBL625079,2107.0,,10116.0,Intermediate,Liver,,
