relationship_type,src_assay_id,assay_strain,assay_tax_id,assay_organism,doc_id,tid,curated_by,description,variant_id,assay_cell_type,assay_test_type,assay_category,assay_tissue,bao_format,confidence_score,assay_subcellular_fraction,src_id,assay_id,cell_id,chembl_id,assay_type,tissue_id
H,,,,,4540,10627,Expert,Binding affinity against human 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3633,,CHEMBL619951,B,
D,,,9606.0,Homo sapiens,4540,10627,Expert,Binding affinity to human cloned 5-HT6 receptor in HeLa cells using [3H]- LSD as radioligand,,HeLa,,,,BAO_0000219,9,,1,3634,308.0,CHEMBL619952,B,
D,,,9606.0,Homo sapiens,4540,10627,Expert,Binding affinity to human cloned 5-hydroxytryptamine 6 receptor in HeLa cells using [3H]- LSD as radioligand,,HeLa,,,,BAO_0000219,9,,1,3635,308.0,CHEMBL619953,B,
H,,,,,17296,10627,Autocuration,Binding affinity against 5-hydroxytryptamine 6 human cloned receptors in HeLa cells,,HeLa,,,,BAO_0000219,8,,1,3636,308.0,CHEMBL619954,B,
H,,,,,17296,10627,Autocuration,Binding affinity against 5-hydroxytryptamine 6 human cloned receptors in HeLa cells using [3H]LSD as radioligand,,HeLa,,,,BAO_0000219,8,,1,3637,308.0,CHEMBL619955,B,
H,,,,,17296,10627,Autocuration,Binding affinity against 5-hydroxytryptamine 6 human cloned receptors in HeLa cells using [3H]LSD as radioligand,,HeLa,,,,BAO_0000219,8,,1,3638,308.0,CHEMBL619956,B,
H,,,,,15779,10627,Autocuration,Binding affinity towards 5-hydroxytryptamine 6 receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand,,CHO,,,,BAO_0000219,8,,1,3639,449.0,CHEMBL619957,B,
H,,,,,15779,10627,Autocuration,Binding affinity towards 5-hydroxytryptamine 6 receptor (human cloned receptor) in HEK 293 cells using [3H]mesulergine as radioligand.,,HEK293,,,,BAO_0000219,8,,1,3640,722.0,CHEMBL619958,B,
H,,,,,15779,10627,Autocuration,Binding affinity towards 5-hydroxytryptamine 6 receptor (human cloned receptor) in HEK 293 cells using [3H]mesulergine as radioligand; ND means no data.,,HEK293,,,,BAO_0000219,8,,1,3641,722.0,CHEMBL620627,B,
H,,,,,15779,10627,Autocuration,Binding affinity towards 5-hydroxytryptamine 6 receptor (human cloned receptor) in HEK 293 cells using [3H]mesulergine as radioligand;ND means no data.,,HEK293,,,,BAO_0000219,8,,1,3642,722.0,CHEMBL620628,B,
H,,,,,15779,10627,Autocuration,Binding affinity towards 5-hydroxytryptamine 6 receptor (human cloned receptor) in HeLa cells using [3H]LSD as radioligand;ND means no data.,,HeLa,,,,BAO_0000219,8,,1,3643,308.0,CHEMBL620629,B,
H,,,,,6166,10627,Autocuration,Binding affinity towards human 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3644,,CHEMBL620630,B,
H,,,,,17451,10627,Autocuration,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 6 receptor expressed in HeLa cells using [3H]LSD as radioligand,,HeLa,,,,BAO_0000219,8,,1,3645,308.0,CHEMBL620782,B,
H,,,,,15316,10627,Autocuration,Compound was evaluated for its ability to displace [3H]LSD binding from human recombinant 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3646,,CHEMBL620783,B,
H,,,,,4199,10627,Expert,Binding affinity against human 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3647,,CHEMBL620784,B,
H,,,,,15146,10627,Expert,Binding affinity against human cloned 5-hydroxytryptamine 6 receptor in HeLa cells using [3H]LSD,,HeLa,,,,BAO_0000219,8,,1,3648,308.0,CHEMBL620785,B,
H,,,,,5213,10627,Autocuration,Compound was tested for its binding affinity in 5-hydroxytryptamine 6 receptor (using human cloned receptors in HeLa and [3H]LSD as a radioligand ),,,,,,BAO_0000357,8,,1,3649,,CHEMBL857992,B,
H,,,,,16429,10627,Autocuration,In vitro binding affinity at human recombinant 5-hydroxytryptamine 6 receptor in mammalian cells using 3[H]LSD as the radioligand,,,,,,BAO_0000219,8,,1,3650,,CHEMBL620786,B,
H,,,,,14818,10627,Autocuration,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 6 receptor in HeLa cells using [3H]5-LSD.,,HeLa,,,,BAO_0000219,8,,1,3651,308.0,CHEMBL620787,B,
H,,,,,4829,10627,Autocuration,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 6 receptor in HeLa cells, using [3H]5-LSD as radioligand; n=3",,HeLa,,,,BAO_0000219,8,,1,3652,308.0,CHEMBL620788,B,
H,,,,,4829,10627,Autocuration,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 6 receptor in HeLa cells, using [3H]5-LSD as radioligand; n=9",,HeLa,,,,BAO_0000219,8,,1,3653,308.0,CHEMBL620789,B,
H,,,,,4829,10627,Autocuration,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 6 receptor in HeLa cells, using [3H]LSD as radioligand; n=3",,HeLa,,,,BAO_0000219,8,,1,3654,308.0,CHEMBL620790,B,
H,,,,,15250,10628,Autocuration,Compound was tested for the displacement of [3H]5-HT binding to cloned rat 5-hydroxytryptamine 6 receptor stably expressed in CHO cells,,CHO,,,,BAO_0000219,8,,1,3655,449.0,CHEMBL620791,B,
H,,,,,14423,10628,Autocuration,Binding affinity against 5-hydroxytryptamine 6 receptor from CHO cell membranes using [3H]5-HT as the radioligand.,,,,,,BAO_0000019,8,,1,3656,,CHEMBL620792,B,
H,,,,,15086,10628,Autocuration,The compound was tested for binding affinity against 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3657,,CHEMBL620793,B,
H,,,,,4342,10628,Autocuration,Binding affinity of compound towards serotonin 5-hydroxytryptamine 6 receptor was determined,,,,,,BAO_0000357,8,,1,3658,,CHEMBL620794,B,
D,,,9606.0,Homo sapiens,16190,10627,Autocuration,Binding affinity as displacement of [3H]5-HT binding to 5-hydroxytryptamine 6 receptor in HeLa cells,,HeLa,,,,BAO_0000219,9,,1,3659,308.0,CHEMBL620795,B,
H,,,,,4820,10627,Expert,Binding affinity towards human 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3660,,CHEMBL620796,B,
H,,,,,4639,10627,Autocuration,Percentage of displacement at 5-hydroxytryptamine 6 receptor at 10e-8 M,,,,,,BAO_0000357,8,,1,3661,,CHEMBL620797,B,
D,,,9606.0,Homo sapiens,17066,10627,Expert,Antagonistic activity towards 5-hydroxytryptamine 6 receptor was evaluated in cAMP assay,,,,,,BAO_0000019,9,,1,3662,,CHEMBL620798,F,
H,,,,,6011,10627,Autocuration,Inhibition of binding towards 5-hydroxytryptamine 6 receptor at 100 nM concentration,,,,,,BAO_0000357,8,,1,3663,,CHEMBL620799,B,
H,,,,,17066,10627,Expert,Binding affinity towards human 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3664,,CHEMBL620800,B,
H,,,,,17515,10627,Autocuration,Binding affinity of compound towards serotonin 5-hydroxytryptamine 6 receptor; inactive at 10 uM,,,,,,BAO_0000357,8,,1,3665,,CHEMBL620801,B,
H,,,,,5014,10627,Autocuration,Compound was tested for its binding affinity towards 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3666,,CHEMBL875100,B,
H,,,,,4373,10627,Autocuration,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 6 receptor was determined,,,,,,BAO_0000357,8,,1,3667,,CHEMBL620802,B,
H,,,,,17066,10627,Expert,Antagonistic activity towards 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000019,8,,1,3668,,CHEMBL620803,F,
H,,,,,17066,10627,Expert,Antagonistic activity towards 5-hydroxytryptamine 6 receptor was evaluated in cAMP assay,,,,,,BAO_0000019,8,,1,3669,,CHEMBL620804,F,
H,,,,,4373,10627,Autocuration,Binding affinity for 5-hydroxytryptamine 6 receptor was determined,,,,,,BAO_0000357,8,,1,3670,,CHEMBL620805,B,
H,,,,,4687,10627,Autocuration,Evaluated for the binding affinity towards 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3671,,CHEMBL620806,B,
H,,,,,16946,10627,Autocuration,Ability to displace [125I]LSD 113808 from 5-hydroxytryptamine 6 receptor at concentration of 10e-6 M,,,,,,BAO_0000357,8,,1,3672,,CHEMBL620807,B,
H,,,,,16946,10627,Autocuration,Ability to displace [125I]LSD 113808 from 5-hydroxytryptamine 6 receptor at concentration of 10e-8 M,,,,,,BAO_0000357,8,,1,3673,,CHEMBL620808,B,
H,,,,,16633,10627,Autocuration,Binding affinities against 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3674,,CHEMBL620809,B,
H,,,,,16633,10627,Autocuration,Binding affinities towards 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3675,,CHEMBL620810,B,
D,,,9606.0,Homo sapiens,17066,10627,Expert,Binding affinity towards 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,9,,1,3676,,CHEMBL620811,B,
H,,,,,16700,10627,Autocuration,The binding affinity towards 5-hydroxytryptamine 6 receptor; No affinity,,,,,,BAO_0000357,8,,1,3677,,CHEMBL620812,B,
H,,,,,3269,10627,Autocuration,Affinity against 5-hydroxytryptamine 6 receptor,,,,,,BAO_0000357,8,,1,3678,,CHEMBL620813,B,
H,,,,,5486,10627,Autocuration,Binding affinity towards human recombinant 5-hydroxytryptamine 7 receptor by the displacement of [3H]-5-CT],,,,,,BAO_0000357,8,,1,3679,,CHEMBL620814,B,
D,,,9606.0,Homo sapiens,16146,10209,Expert,Inhibition of human 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,9,,1,3680,,CHEMBL620815,B,
H,,,,,5014,10209,Autocuration,Compound was tested for its binding affinity towards human 5-hydroxytryptamine 7 receptor from HEK293 cells using radioligand [3H]LSD,,HEK293,,,,BAO_0000219,8,,1,3681,722.0,CHEMBL620816,B,
H,,,,,15463,10209,Autocuration,Compound at 1 uM was tested for the inhibition of radioligand [3H]LSD binding to recombinant human 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,8,,1,3682,,CHEMBL620817,B,
H,,,,,3805,10209,Autocuration,In vitro binding affinity against human 5-hydroxytryptamine 7 receptor at a concentration of 100 (nM),,,,,,BAO_0000357,8,,1,3683,,CHEMBL620818,B,
H,,,,,5014,10209,Expert,Inhibition (at 1 uM) of radioligand [3H]LSD binding to human 5-hydroxytryptamine 7 receptor on HEK293 cells,,HEK293,,,,BAO_0000219,8,,1,3684,722.0,CHEMBL620819,B,
D,,,9606.0,Homo sapiens,6491,10209,Expert,Affinity towards human 5-hydroxytryptamine 7 serotonin receptor,,,,,,BAO_0000357,9,,1,3685,,CHEMBL620820,B,
H,,,,,16190,10209,Autocuration,Binding affinity for 5-hydroxytryptamine 7 receptor human cloned receptors in CHO cells using [3H]5-HT,,CHO,,,,BAO_0000219,8,,1,3686,449.0,CHEMBL620821,B,
D,,,9606.0,Homo sapiens,17066,10209,Expert,Binding affinity towards human 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,9,,1,3687,,CHEMBL620822,B,
D,,,9606.0,Homo sapiens,17066,10209,Expert,Displacement of [3H]5-HT from human 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,9,,1,3688,,CHEMBL620823,B,
D,,,9606.0,Homo sapiens,3555,10209,Expert,Binding affinity against 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,9,,1,3689,,CHEMBL620824,B,
H,,,,,6588,10209,Expert,Binding affinity towards human 5-hydroxytryptamine 7 receptor by the displacement of [3H]-5-HT radioligand from the cloned receptor expressed in CHO cells,,CHO,,,,BAO_0000219,8,,1,3690,449.0,CHEMBL620825,B,
H,,,,,15463,10209,Autocuration,Binding affinity towards recombinant human 5-hydroxytryptamine 7 receptor was determined using [3H]LSD as radioligand,,,,,,BAO_0000357,8,,1,3691,,CHEMBL872930,B,
H,,,,,6013,10209,Autocuration,Binding affinity towards 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,8,,1,3692,,CHEMBL620826,B,
H,,,,,16209,10209,Autocuration,Binding affinity towards human 5-hydroxytryptamine 7 receptor using [3H]5-HT as radioligand,,,,,,BAO_0000357,8,,1,3693,,CHEMBL620827,B,
H,,,,,3935,10209,Autocuration,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,8,,1,3694,,CHEMBL620828,B,
H,,,,,15818,10209,Autocuration,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,8,,1,3695,,CHEMBL620829,B,
H,,,,,5014,10209,Expert,Binding affinity towards human 5-hydroxytryptamine 7 receptor on HEK293 cells using radioligand [3H]LSD,,HEK293,,,,BAO_0000219,8,,1,3696,722.0,CHEMBL620830,B,
H,,,,,16441,10209,Expert,Tested on cell membranes from transfected cells selectively expressing human 5-hydroxytryptamine 7 receptor incubated with 1 nM [3H]LSD,,,,,,BAO_0000019,8,,1,3697,,CHEMBL620831,B,
H,,,,,16441,10209,Expert,Tested on cell membranes from transfected cells selectively expressing human 5-hydroxytryptamine 7 receptor incubated with 1 nM [3H]LSD; ND is No Data.,,,,,,BAO_0000019,8,,1,3698,,CHEMBL620832,B,
D,,,9606.0,Homo sapiens,4234,10209,Expert,In vitro binding affinity to human 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,9,,1,3699,,CHEMBL621548,B,
H,,,,,17085,10209,Autocuration,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000019,8,,1,3700,,CHEMBL621549,B,
H,,,,,17200,10209,Autocuration,Inhibitory constant against human 5-hydroxytryptamine 7 receptor using [3H]LSD radioligand,,,,,,BAO_0000357,8,,1,3701,,CHEMBL621550,B,
H,,,,,17451,10209,Autocuration,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 7 receptor expressed in CHO cells using [3H]-LSD as radioligand; Not determined,,CHO,,,,BAO_0000219,8,,1,3702,449.0,CHEMBL621551,B,
H,,,,,17085,10209,Autocuration,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 7 receptor; ND means not determined,,,,,,BAO_0000019,8,,1,3703,,CHEMBL621552,B,
H,,,,,5104,10209,Autocuration,Binding affinity for human cloned 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,8,,1,3704,,CHEMBL857077,B,
H,,,,,5104,10209,Autocuration,Binding affinity for human cloned 5-hydroxytryptamine 7 receptor; Not tested,,,,,,BAO_0000357,8,,1,3705,,CHEMBL618158,B,
D,,,9606.0,Homo sapiens,5033,10209,Expert,Ability to displace the radioligand [3H]5-carboxyamidotryptamine ([3H]5-CT) from human 5-hydroxytryptamine 7 receptor expressed in COS-7 cells,,COS-7,,,,BAO_0000219,9,,1,3706,643.0,CHEMBL618159,B,
H,,,,,5486,10209,Autocuration,Ability to displace the radioligand [3H]5-carboximidotryptamine ([3H]-5-CT) from cloned human 5-hydroxytryptamine 7 receptor expressed in COS-7 cells,,COS-7,,,,BAO_0000219,8,,1,3707,643.0,CHEMBL875101,B,
D,,,9606.0,Homo sapiens,4540,10209,Expert,Binding affinity to human cloned 5-hydroxytryptamine 7 receptor in HEK 293 cells using [3H]-5-CT as radioligand,,HEK293,,,,BAO_0000219,9,,1,3708,722.0,CHEMBL618160,B,
H,,,,,6166,10209,Expert,Binding affinity at human cloned 5-hydroxytryptamine 7 receptor.,,,,,,BAO_0000357,8,,1,3709,,CHEMBL618161,B,
H,,,,,17342,10209,Expert,Binding affinity towards cloned human 5-hydroxytryptamine 7 receptor was determined in HEK293 cells using [3H]5-CT as radioligand,,HEK293,,,,BAO_0000219,8,,1,3710,722.0,CHEMBL618162,B,
H,,,,,17342,10209,Expert,Binding affinity towards human recombinant 5-hydroxytryptamine 7 receptor was determined using [3H]5-CT as radioligand,,,,,,BAO_0000357,8,,1,3711,,CHEMBL618163,B,
H,,,,,17296,10209,Autocuration,Binding affinity against 5-hydroxytryptamine 7 human receptors,,,,,,BAO_0000357,8,,1,3712,,CHEMBL618164,B,
H,,,,,16429,10209,Expert,Binding affinity to human recombinant 5-hydroxytryptamine 7 receptor in mammalian cells using [3H]5-CT as radioligand,,,,,,BAO_0000219,8,,1,3713,,CHEMBL618165,B,
H,,,,,15779,10209,Autocuration,Binding affinity toward 5-hydroxytryptamine 7 receptor (human cloned receptor) in HEK 293 cells using [3H]-5-CT as radioligand.,,HEK293,,,,BAO_0000219,8,,1,3714,722.0,CHEMBL618166,B,
H,,,,,15779,10209,Autocuration,Binding affinity towards 5-hydroxytryptamine 7 receptor (a) (human cloned receptor) in HEK 293 cells using [3H]5-CT as radioligand.,,HEK293,,,,BAO_0000219,8,,1,3715,722.0,CHEMBL857989,B,
H,,,,,15779,10209,Autocuration,Binding affinity towards 5-hydroxytryptamine 7 receptor (human cloned receptor) in HEK 293 cells using [3H]5-CT as radioligand.,,HEK293,,,,BAO_0000219,8,,1,3716,722.0,CHEMBL619888,B,
H,,,,,15779,10209,Autocuration,Binding affinity towards 5-hydroxytryptamine 7 receptor (human cloned receptor) in HEK 293 cells using [3H]5-CT as radioligand.,,HEK293,,,,BAO_0000219,8,,1,3717,722.0,CHEMBL619889,B,
H,,,,,15779,10209,Autocuration,Binding affinity towards 5-hydroxytryptamine 7 receptor 7(a) (human cloned receptor in HEK 293 cells using [3H]5-CT as radioligand.,,HEK293,,,,BAO_0000219,8,,1,3718,722.0,CHEMBL619890,B,
H,,,,,17451,10209,Autocuration,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 7 receptor expressed in CHO cells using [3H]LSD as radioligand,,CHO,,,,BAO_0000219,8,,1,3719,449.0,CHEMBL619891,B,
H,,,,,4199,10209,Autocuration,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 7 receptor in HEK 293 cells using [3H]5-CT as the radioligand (n=3),,HEK293,,,,BAO_0000219,8,,1,3720,722.0,CHEMBL619892,B,
D,,,,,4199,10209,Expert,Displacement of [3H]-5-CT from human 5-hydroxytryptamine 7 receptor expressed in HEK-293 cells,,HEK293,,,,BAO_0000219,9,,1,3721,722.0,CHEMBL619893,B,
H,,,,,4199,10209,Autocuration,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 7 receptor in HEK 293 cells using [3H]5-CT as the radioligand(n=6),,HEK293,,,,BAO_0000219,8,,1,3722,722.0,CHEMBL619894,B,
D,,,,,3680,10209,Intermediate,Binding affinity towards cloned human 5-hydroxytryptamine 7 receptor in HEK 293 cells,,HEK293,,,,BAO_0000219,9,,1,3723,722.0,CHEMBL619895,B,
D,,,,,3680,10209,Intermediate,Binding affinity towards human recombinant 5-hydroxytryptamine 7 receptor using [3H]5-CT as radioligand,,,,,,BAO_0000357,9,,1,3724,,CHEMBL619896,B,
H,,,,,15316,10209,Autocuration,Compound was evaluated for its ability to displace [3H]5-CT binding from cloned human 5-hydroxytryptamine 7 receptor expressed in COS-7 cells.,,COS-7,,,,BAO_0000219,8,,1,3725,643.0,CHEMBL619897,B,
H,,,,,15146,10209,Autocuration,Compound was tested for its binding affinity against human cloned 5-hydroxytryptamine 7 receptor in HEK 293 cells using [3H]5-CT,,HEK293,,,,BAO_0000219,8,,1,3726,722.0,CHEMBL619898,B,
H,,,,,5213,10209,Expert,Binding affinity for human cloned 5-hydroxytryptamine 7 receptor in HEK 293 using [3H]5-CT as a radioligand,,HEK293,,,,BAO_0000219,8,,1,3727,722.0,CHEMBL619899,B,
H,,,,,5213,10209,Autocuration,Compound was tested for its binding affinity in 5-hydroxytryptamine 7 receptor (using human cloned receptors in HEK 293 and [3H]5-CT as a radioligand ),,HEK293,,,,BAO_0000219,8,,1,3728,722.0,CHEMBL619900,B,
D,,,9606.0,Homo sapiens,14818,10209,Expert,Binding affinity towards cloned human 5-hydroxytryptamine 7 receptor expressed in HEK 293 cells using [3H]5-CT,,HEK293,,,,BAO_0000219,9,,1,3729,722.0,CHEMBL619901,B,
H,,,,,14818,10209,Autocuration,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 7 receptor expressed in HEK 293 cells using [3H]5-CT. ,,HEK293,,,,BAO_0000219,8,,1,3730,722.0,CHEMBL620580,B,
H,,,,,14818,10209,Autocuration,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 7 receptor in HEK 293 cells using [3H]5-CT.,,HEK293,,,,BAO_0000219,8,,1,3731,722.0,CHEMBL620581,B,
H,,,,,4829,10209,Autocuration,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 7 receptor in HEK293 cells, using [3H]5-CT as radioligand",,HEK293,,,,BAO_0000219,8,,1,3732,722.0,CHEMBL620733,B,
D,,,9606.0,Homo sapiens,17200,10209,Autocuration,Inhibitory constant against human 5-hydroxytryptamine 7 receptor using [3H]-LSD radioligand; Not determined,,,,,,BAO_0000357,9,,1,3733,,CHEMBL620734,B,
D,,,10090.0,Mus musculus,17066,10022,Expert,Binding affinity towards mouse 5-hydroxytryptamine 7 receptor was evaluated using [3H]5-HT as radioligand,,,,,,BAO_0000357,9,,1,3734,,CHEMBL620735,B,
H,,,9986.0,Oryctolagus cuniculus,14025,10209,Autocuration,The dissociation equilibrium constant (pKB=-log KB) of compound was determined against the vascular 5-hydroxytryptamine 7 receptor in the endothelium denuded rabbit jugular vein.,,,,,,BAO_0000019,8,,1,3735,,CHEMBL620736,B,
H,,,,,15250,11923,Autocuration,Compound was tested for the displacement of [3H]5-HT binding to cloned rat 5-hydroxytryptamine 7 receptor stably expressed in CHO cells,,CHO,,,,BAO_0000219,8,,1,3736,449.0,CHEMBL620737,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors at a concentration of 10000 nM,,CHO,,,,BAO_0000219,8,,1,3737,449.0,CHEMBL620738,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors at a concentration of 100 nM,,CHO,,,,BAO_0000219,8,,1,3738,449.0,CHEMBL620739,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors at a concentration of 1 nM,,CHO,,,,BAO_0000219,8,,1,3739,449.0,CHEMBL620740,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors by 10000 nM 5-HT.,,CHO,,,,BAO_0000219,8,,1,3740,449.0,CHEMBL620741,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors by 100 nM 5-HT.,,CHO,,,,BAO_0000219,8,,1,3741,449.0,CHEMBL620742,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors by 1 nM 5-HT,,CHO,,,,BAO_0000219,8,,1,3742,449.0,CHEMBL620743,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors at a concentration of 10000 nM,,CHO,,,,BAO_0000219,8,,1,3743,449.0,CHEMBL620744,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors at a concentration of 100 nM,,CHO,,,,BAO_0000219,8,,1,3744,449.0,CHEMBL620745,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors at a concentration of 1 nM,,CHO,,,,BAO_0000219,8,,1,3745,449.0,CHEMBL620746,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors by 10000 nM 5-HT.,,CHO,,,,BAO_0000219,8,,1,3746,449.0,CHEMBL620747,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors by 100 nM 5-HT.,,CHO,,,,BAO_0000219,8,,1,3747,449.0,CHEMBL620748,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors by 1 nM 5-HT.,,CHO,,,,BAO_0000219,8,,1,3748,449.0,CHEMBL620749,B,
H,,,,,17066,11923,Expert,Binding affinity towards rat 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,8,,1,3749,,CHEMBL620750,B,
D,,,10116.0,Rattus norvegicus,17066,11923,Expert,Binding affinity towards rat 5-hydroxytryptamine 7 receptor was evaluated using [3H]5-HT as radioligand,,,,,,BAO_0000357,9,,1,3750,,CHEMBL620751,B,
H,,,,,17386,11923,Expert,Binding affinity to the rat 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,8,,1,3751,,CHEMBL620752,B,
H,,,,,14423,11923,Autocuration,Binding affinity against 5-hydroxytryptamine 7 receptor using from CHO cell membranes [3H]5-HT as the radioligand.,,,,,,BAO_0000019,8,,1,3752,,CHEMBL872929,B,
D,,,10116.0,Rattus norvegicus,15874,11923,Expert,Binding affinity against Rat 5-hydroxytryptamine 7 receptor using [3H]5-HT,,,,,,BAO_0000357,9,,1,3753,,CHEMBL620753,B,
D,,,10116.0,Rattus norvegicus,15874,11923,Expert,Displacement of [3H]5-HT from over-expressed rat 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,9,,1,3754,,CHEMBL620754,B,
D,,,10116.0,Rattus norvegicus,16372,11923,Expert,Displacement of [3H]5-HT from rat 5-hydroxytryptamine 7 receptor expressed in CHO cells,,CHO,,,,BAO_0000219,9,,1,3755,449.0,CHEMBL620755,B,
H,,,,,4622,11923,Autocuration,In vitro binding affinity towards cloned rat 5-hydroxytryptamine 7 receptor using [3H]5-HT as radioligand,,,,,,BAO_0000357,8,,1,3756,,CHEMBL620756,B,
H,,,,,15086,11923,Autocuration,The compound was tested for binding affinity against 5-hydroxytryptamine 7 receptor,,,,,,BAO_0000357,8,,1,3757,,CHEMBL620757,B,
H,,,,,16372,11923,Autocuration,"Effect of compound on stimulation of cAMP production in CHO cells expressing rat 5-HT7 receptors at 1, 10, 100 1000 and 10000 nM conc; Not tested",,CHO,,,,BAO_0000219,8,,1,3758,449.0,CHEMBL620758,B,
H,,,,,16372,11923,Autocuration,"Effect of compound on stimulation of cAMP production in CHO cells expressing rat 5-HT7 receptors at 1, 10, 100 1000 and 10000 nM conc; not tested",,CHO,,,,BAO_0000219,8,,1,3759,449.0,CHEMBL620759,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors at a concentration of 1 nM; not tested,,CHO,,,,BAO_0000219,8,,1,3760,449.0,CHEMBL620760,B,
H,,,,,16372,11923,Autocuration,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors by 1 nM 5-HT; Not tested,,CHO,,,,BAO_0000219,8,,1,3761,449.0,CHEMBL620761,B,
H,,,,,17386,11923,Autocuration,Maximal relaxation effect induced by 3 uM compound on substance P stimulated guinea pig ileum with 5-hydroxytryptamine 7 receptor desensitization,,,,,Ileum,BAO_0000221,8,,1,3762,,CHEMBL620762,F,2116.0
H,,,,,17386,11923,Autocuration,Maximal relaxation effect induced by 3 uM compound on substance P stimulated guinea pig ileum with 5-hydroxytryptamine 7 receptor nondesensitization,,,,,Ileum,BAO_0000221,8,,1,3763,,CHEMBL620763,F,2116.0
