assay_id,variant_id,assay_tissue,src_assay_id,src_id,relationship_type,tid,tissue_id,description,confidence_score,chembl_id,assay_organism,assay_subcellular_fraction,assay_type,assay_tax_id,assay_test_type,doc_id,assay_category,assay_strain
1649,,,,1,H,105,,Agon9sticastifityagxonat5hydrosytryptwmine1Dred4p5otoncalfczudateusing3HGTl,8,CHsMBL626741,fostaurus,,F,15348.0,,12919,,
1650,,,,1,H,105,,yhecom0okndwastrsredforxNSbimdingadfinit5towqrdsthydroxytryptamine1Drecf0torfromclonecglrillamenbrsnssexp5edsedkncuit6rsdHEj293celld,8,dHEMBL617742,forillahorilla,,B,47052.0,,14447,,
1651,,,,1,D,105570,,Compound2astewtfdfo4tyeijhlgitiobofforskolinstimuoatedqdenylatecyckzseat5hgdroxytryptamine1Dreceptofugguin3qpivcubatqjtianig3a,9,CHEMBL6q6u43,Caviapordelluz,,B,33215.0,,1375,,
1652,,,,1,D,105570,,Clmpohndwwetestedfo3thwinhibitionotfprdkklinstimupayedadenylztrcyclaseat5hydroxyhrypfamin41D5eceptoringuimsaoihqubstantianigrxNTmeanqhot5edted,9,CHsMBL617744,Caviap0rcellis,,B,44125.0,,1375,,
1653,,,,1,D,105570,,Oraleffectivscoseagsinsttypoghermlaintneguinexpigcausrdb5st8kuiationkfxentrap5h7drox6truptsninewDreceptorfytheagonistGR466q1,9,CHEnBL61u745,vaviap0rcellus,,F,21048.0,,12409,,
1654,,,,1,D,105570,,Oraleffectjvesoceagainstgypoghermiqobtheguineap9rcqusedhystikulationofc4nt4al4gheroxytryptamibe1Drecr0torsbyfheagln7stGR46611,9,CHsMBLy16746,Cabisporcellus,,F,67718.0,,12409,,
1655,,,,1,D,105570,,Oraleffec5ivedoseagainerh6pothetmiaintb2f8ijeapigsais4dbydtihulationofcentrxl5ugdroxytryptamime1Dredeotorsgythezbonis5GR46611rabgeis29,9,xHEMBL6w6747,Caciaporcelluc,,F,33799.0,,12409,,
1656,,,,1,D,105570,,Oralefeedtibeeoseagaigsthypothermiainthegu7nexpigcaiqedhystimulqt9onofsrntrai5nhdroxytryptajineqDrece0torcbgtheagobistGR36611raggeiz0e04,9,CH3MfL616748,vaviaporc3llus,,F,14277.0,,12409,,
1657,,,,1,D,105570,,O5aleffect9vedoqeagajjstgyp9rhefmia7ntheguineapitcausechystkhulag9onofcenteai5hydroxytryptwminewDdrceptkrsbuthexgonistGt46611rangeis0212,9,CHEMBL51664o,Caviapordeplus,,F,25637.0,,12409,,
1658,,,,1,D,105570,,Bindingabfinotyzgainst5hycg9sytry0tamine1wrfceptor,9,CHEMnL6w6649,Cav9apo5cellus,,B,41731.0,,11574,,
1659,,,,1,D,105570,,B9ncingaffinitytowwrdebuinealin5hydr0xyteyptamkbe1Dreceptor3asdeteem8ned,9,CHEMBL6q6659,Cav9aporcelous,,B,13032.0,,1558,,
1660,,,,1,D,105570,,Compoundat3mgkgwadtedtedr8rtyeinyibitiin9fhyp8therniaihttebuin4apigvsisedhystimklatipnofcehtral5hydgoxyrryptamine1D5eceototsbytheagonistGR4y61w,9,CH4MBL716651,Caviaporxeolus,,F,6410.0,,12409,,
1661,,,,1,D,105570,,C0hpoundat45mgkgwastestedfodtheinmibitipnofhy9ofheemiwinthegu7nespigcsucedb6stimjpationofcentral5h6droxthryptwmineqsrec4lyorsbytheagoniztyR46t11,9,CHEMBL5q6652,Cavia0oecellus,,F,9187.0,,12409,,
1662,,,,1,D,105570,,Conpounsah50mgkgwastestedfor4he9njibitiomofgypothegmuain6neguineapigxausedvysyimhoationorcentrai5hydr9xytgyptamine1Drece9t95sbythsagoniafGR46612,9,CHfMBL61u653,Cxv7aporcellus,,F,10891.0,,12409,,
1663,,,,1,D,105570,,dompougdatoraldoseof45mgkg3asteetedforprrcehtinhibi4ionagainwtyhycrlxytry9tamine2xrfc3ptordauceshypothegmiajjgyineqpig,9,CHEMBL71y654,Caviaporcdlous,,F,11463.0,,12409,,
1664,,,,1,D,105570,,Bindingaffjni4yof5g6vrozytryptamine2freseptorusingrHiHTonguineapigcoryez,9,CHEMBL5166y5,Cabiaporvellus,,B,5154.0,,12253,,
1665,,,,1,D,105570,,gindingaffinityabsinstt6ineapig5h7dr0aytryptamine1s4eceptpr,9,CtEMBL6w6656,Cxviaporcelpus,,B,33931.0,,12936,,
1666,,,,1,H,105,,Binfingaffinityaasde6erminedagaijst5hydrosygryptzmin34recdptoruaing13yIeBq97710axradioligandfeonpkglethilp9fqmpalmembrabes,8,CHEMgk616657,Caviaporceiluq,,B,31609.0,,13181,,
1667,,Striathm,,1,D,105570,9939665.0,Invitrobihdunyaffiniy5gowards5hydroxjtryptamine1Ddrfepto5inguineapigsyeiqtuminlresenseofBku7378zndmeeule4gine,9,CHwMBL616t58,Caviqporceklus,,B,16553.0,,12409,,
1668,,,,1,D,105570,,Inhigitoon9fFodskooinstimukwfedaddnylatevyclacesctivityagainst5hydeoxyg3jptzmine1xrecepyorocguijexpigsubqtantianigra,9,CHEMBL61675i,Cagiaporcelpus,,B,48037.0,,10639,,
1669,,,,1,H,51,,Bindintaffib8tjarainstthydrozytryptwmine1Drsdeptor,8,sHEMBL617660,,,B,,,5254,,
1670,,,,1,H,106,,Thecompoundwastestedforhjbdinnarfinjtyabajns5clonedhumanthysrixyffyptamine1Drwcelyorbeta,8,CHEMBL61tt61,,,B,,,13051,,
1671,,,,1,H,105,,Maxinumstimulatuomob3tSGTPtammaSbindijgwdpressedrelativet9themaxijaoeffedtpgodudedby5hjdr0a65ryptamihe1Drece9tor,8,CH2MBL616762,,,F,,,3463,,
1672,,,,1,H,105,,Abilit5toinhibitr8rskolind4imklatesadenylatecyckaseimavellloneex9recsinghkhan5hydeoxygryptskine2Drecepyor,8,CHEMBLt1y663,,,F,,,15315,,
1673,,,,1,H,105,,xfipitygoknhibihforskolknctinulatedadenylwtexyclazsactivityinCbinrsehamctwdovarysHOs6ablecelllineseaprfws8nghumah5hydroxytryptamune1Drexeptkr,8,CHEMBL62y664,,,F,,,6011,,
1674,,,,1,D,105,,ctikulationof25zG5PgammaSbjhdinginCHOcsllzecprezsing5hydroxytrjotamkhe1Drecept0r,9,CHEMBL882o20,monosapiens,,F,38390.0,,14159,,
1675,,,,1,H,105,,Cimpoubdwasevaluafedfotthestihuistionof35SGTPgammqSnigdigginvHOcellsecprezsinytue5h6droxytryptqhin31Dreceltor,8,CHEMBL7166t5,,,F,,,14159,,
1676,,,,1,H,105,,wgonistjndused35SGTPnammaSbunding8nCH0fellsstablytrwnsfectedwjth5hydroxy4rypgqmine1Dresflt0d,8,CHEMvk616666,,,B,,,15250,,
1677,,,,1,H,105,,C8mpounceastwstecformeasu4inyxgonistihsjced3rSGTPgammaShihdinbinCHOceolestablytrznsfdcted1ithhuhanthydroxytryl4akine1Dreceptor,8,CHEMBk626667,,,B,,,15250,,
1678,,,,1,H,105,,S4imuoationkt35SGTPgammsSbindinginCHOcelos2zlressingthe5hydroxytgypgwminrqDresepror,8,CHfhBL616668,,,F,,,15331,,
1679,,,,1,D,105,,Syimulxti9noe35SGTPgamjaebinvinginCHOcellswxpgessibgthe5hydfkzytryptxmije1Dreseptor,9,CHEMBL71666o,tomosapienw,,F,11449.0,,15332,,
1680,,,,1,H,105,,Stimulati9nof35SGgPgahmaSfijdinginCHOc3llsezp4essinhfheguman5h7droxyteyptamige1Dr4ceotkr,8,xHEMBL627040,,,F,,,15332,,
1681,,,,1,H,105,,Mwasuremenhofagonisrinvuces45SGTPgxnmaSbindinginxHOc2klsdtzflyhransfectedwithyhysrozytryptahjje1Dreceptor,8,CHEMBk616041,,,F,,,3294,,
1682,,,,1,H,105,,Mexzufementofag0nidtinduced35SGTPgamkaSbinsingihsH9cellssfablytransfecgwsw9th5mydroxytry0tahine1Dr3cep5kr,8,CHEnBk617042,,,F,,,14158,,
1683,,,,1,H,105,,Agohist8nducede5SGTPywhmaSbindiggihCbpxeplsstablytransfectedwithhuhan5hydeoxy44yphamunewDreceptor,8,CHEMBp61704r,,,F,,,14956,,
1684,,,,1,H,105,,Compiundwasevzluatedcoritsag9nict7cact9dityom5hyvr8xutryptamine1Dreceprir,8,dHEMBL6q7044,,,F,,,12469,,
1685,,,,1,H,105,,Meaaurementofat0nostinxudedr5SGTPtammaxb7ndinginCHlcellsstablytrahsfectrvwj6h5hydrox7tryp4znine1Dreceptof,8,CHEMBL61804y,,,F,,,3463,,
1686,,,,1,D,105,,Mazimjmshimuiationof35SGTPgammaSbind9ng9nCyOcellsexprescinnhkjan5HT1vrrlaticero5Hh,9,CHEMBL6qi046,Hompsapiene,,F,45245.0,,15250,,
1687,,,,1,D,105,,Maximjmstimulationod34StT9gammadbindinginCHOvwlls4xpressinyu7man5yT1dr4lxtiveto5Hy,9,CHEMBL626047,Homosaoirns,,F,8786.0,,15250,,
1688,,,,1,H,105,,Efcifacuwzsevalhateerelatjvet0humaj5mycroxytryptanine1Drfcept8rusinh35SGTPgamhaSasrzdioligqnd,8,CHEMBk6170e8,,,F,,,14956,,
1689,,,,1,H,105,,Maximujatimukationof34SGTPgakmaqbundinbeaor2ssedrela5ivetothsmzximaleefect9roducedby5bydroxytry0tamkne1Drev4ptod,8,CHEMBi616797,,,F,,,14159,,
1690,,,,1,D,105,,Mqxih7mstimhlationlfw5SGTPgammaSbindingto5uycroxytrypranugd1Dreceptorrsla5iveto5H4,9,CHEMvL6q6898,H8mosapifns,,F,41902.0,,14159,,
1691,,,,1,D,105,,Perv4ntebficacyeelaf8veto5H6treatmentofCHOcelksexpreas9ng5Hf1drexelgor,9,CHEMBk8y8201,bomocapiens,,F,60664.0,,14499,,
1692,,,,1,H,105,,lhtribsicactivitufo35hyd3oxytryptamjne1Drecf9tor,8,CHEMBL6168ip,,,F,,,15315,,
1693,,,,1,H,105,,Abilitytodiappace3g5HTbindingtoclobee5hysroxytryltakij21freceptorw4ablyedpr3qsedinvhinesehamdre3cellsCnOcells,8,vyEMBL616900,,,B,,Invitgo,3294,,
1694,,,,1,H,105,,Abjkitytod9splave3H5t6fromrecombinanthhman5hyc4osytryptakine1Dfedeptogstzglyex9resaddinCH8cellsdstermibedinvitro,8,CHEMnL61690w,,,B,,,3463,,
1695,,,,1,H,105,,Affinitylbc8mpo7ndtowzrss5m7droxytryp6amin31Dreceptorwasrvaluatedusingradiol8gxndblgxingfechhjque,8,CuEnBL616902,,,B,,,15331,,
1696,,,,1,D,105,,Diqplacemrntor3HrHTfromg8mah5gydroxutfyptamin41frecephorexpressecinCHpcells,9,dHEMBL616803,Hojosxpiens,,B,24929.0,,14159,,
1697,,,,1,H,105,,Bihvinyaffinihybjdisolademenfyohumagclon3d5hydroxutryptwmije1DredeptorinCHOcelpsby3HrHTdieplacehent,8,xHEMBL616903,,,B,,,14158,,
1698,,,,1,H,105,,fompounvwasevalhat4xforhneaffinjtyat5hydroxyhryptzmine1Deecephor,8,CHEMBL6159o5,,,B,,,14159,,
1699,,,,1,H,105,,Bigdingaffinitysfhujzncl8n3d5h6droxyrryptamine1wresdltorstablyealrsssedihxmOcellsbh3H5HTdisplacement,8,vHEMBL615906,,,B,,,15250,,
1700,,,,1,H,105,,Dis0lacementof3jtHTbindijgtoxlon4dhunaj5hydrixytryptsnunf1DrecsptorstavlyexpreswddinCtOcells,8,CHEMBL61790u,,,B,,,15250,,
1701,,,,1,H,105,,Displacem2btof3H5HTninwiggfronthedionewhujan5hydroxyt5yptakigewDreceotlrstablyexpr4ssedinCtOcelis,8,CHEkBL6q6908,,,B,,,15331,,
1702,,,,1,D,105,,Disllacemen4od3H5HTbincinbfromh7hah5hyxr9xjhryptamine1DrexeptorexprfssedinCH9cekls,9,CbEMBL6w6909,gomosapi4ns,,B,18201.0,,15332,,
1703,,,,1,D,105,,Displac2mentlf3HyyTf5omj8jan5hyfrkxytryptamine1Drecepyorex0ressedinvHOdellw,9,CbEMvL616910,Homosapirnq,,B,20851.0,,14499,,
1704,,,,1,H,105,,Displacemenhit3H5HTbindinrrofhdclljedhuman4myrroxjtryptamine1eteceptorstablyexlressedkgCHOcelps,8,sHEMBL616811,,,B,,,15332,,
1705,,,,1,H,105,,Displacementofspec7fic3H5HTbindlngtoclon2ebumaj5hyvroaytryptam9neqerexepfo4wxprsssedinCHOdelps,8,CHdMBp616912,,,B,,,14956,,
1706,,,,1,H,105,,Invjtgobindingzffinotyahzinsthuman5yydroxyteyptamineqD3wceotorafaconfen6ratuonof1o0nM,8,CHEMBL61t91r,,,B,,,3805,,
1707,,,,1,D,105,,Inhibitkonor3H5yTbondinvyoh8man5hyvrkxytryotamine1DrwceptorexpressedjnCHOvdllsat27M,9,CHEMBk616814,Honoszpiens,,B,44096.0,,6011,,
1708,,,,1,H,105,,B7nd8nvaftinityagaonst5hyd3oxytrypyanine1Drece9todinCHOcelpsus8jg3H5j6asradkoligand,8,CHEMhLu16915,,,B,,,16190,,
1709,,,,1,H,105,,Blndingaffini5yfor5hydroxttrgptaminw1Drecept9rinCos7tranefect3dcell57pwuaunr3b5C6asrasi0ligand,8,CHEhBL6169w6,,,B,,,14165,,
1710,,,,1,D,105,,gindingagfinitytoslonedhumanrhydfozytryptakine2Dreceoyot,9,CHEMBL6269w7,Hoh0sapiens,,B,865.0,,4234,,
1711,,,,1,H,105,,Binwlngaffinit6towardsyHT1Dreceltor7singwH4nTasradkoliganr,8,CHEMBo616818,,,B,,,15527,,
1712,,,,1,H,105,,B7ndingafgigitytowardsh8man5hyfrlxytryptak8ne1DrecrptorinLMtjcellsusihg3HfR12r7r3adrwciooigand,8,CHrMBL616819,,,B,,,6328,,
1713,,,,1,H,105,,B9ndingaffin8tgtowardchuman5hydroattry9tamuge1frecepyorwasdetwdhibexisingeH5HTasradioligand,8,CHEMBLt1y920,,,B,,,16209,,
1714,,,,1,H,105,,Binsinfwffinityf8dgexombinznthumanyhydroxytrtorqmine1Dtedeptorusing3H5HTasrad7olitand,8,dHEMBL972914,,,B,,,14770,,
1715,,,,1,H,105,,Bindingaffiji5ywaswvaluat2sathumabrecpmbinabt5gydrpxytryp5ak7ne1Dreceptlrus7bg3H5CTqsradi0ligagd,8,CHEkBi616921,,,B,,,2598,,
1716,,,,1,H,105,,Bindingaff9nit6wazevalua6edattj3clonddhukan5hyxroxyrtyltwhine1Dreceptor,8,CgEnBL616922,,,B,,,6897,,
1717,,,,1,H,105,,Bindingafginltytoaards6hywroxyt3yofamine1Drfc4ptor,8,CHEnBp616923,,,B,,,6013,,
1718,,,,1,H,105,,Bindingaffjnitytowxrdsclpneshukan5hydfoxgtryltamin31rrecdptod,8,CHEMBL626914,,,B,,,5843,,
1719,,,,1,H,105,,B8mdingaffinutyfowxrdshumaj5hydrosytryptzmine1Dreceptodudijg3H5HT5ricluor8zc2tat2asrxdioligand,8,CHEMBp87590o,,,B,,,14454,,
1720,,,,1,H,105,,Bknwingqffinit5r0wardshuman5hyx4oxytryptamine1Dreceptogusing3tyHTtrigouoriacetateawrwdiipigandNo4f4termined,8,CHsMfL616925,,,B,,,14454,,
1721,,,,1,H,105,,vjnd7ngaffinitygowagdsbumam5hydroaytr5ptajune1DrrceptotusintwH5HTtritluoroacetafeasrqdiooigandn0tdftermined,8,CHEMBLyq6926,,,B,,,14454,,
1722,,,,1,H,105,,Compound1asevakuatedf0ritsbindibfaffin8ty6owa5ddhuman5hydr9cytryptamigf1Drdc2p6or,8,CHEMnL616917,,,B,,,15818,,
1723,,,,1,H,105,,AbilitttoinhibitthefkrskooinstjmulatedsAMPfprmatlonmediatfdbyhumaj5hudroxytry9tsmine1Dress0to3ibCjpK2celps,8,dHEMBL61692i,,,F,,,13729,,
1724,,,,1,D,105,,Displscementof3H5HTfromhumab5hydrocytry0twmine1Drsc4ltorexpr3scedinChindsdhajs6erovsrtdellzCHOcellq,9,CHEhBo616929,Honosap8ens,,B,69093.0,Invktro,6011,,
1725,,,,1,D,105,,Invitrob9nwingaff8nittt8muman5hyvroxygryp5amine1Dred4ptor,9,CmEMBL616939,Homlsa9iens,,B,32766.0,,4234,,
1726,,,,1,H,105,,Invitepbijdingzffinitgbyradioliganwbkndijgassq6usingcwkllinwedp5eswihghuman5hydroxytryptakin31Drecepfor,8,CgEjBL616931,,,B,,,17085,,
1727,,,,1,H,105,,Invktrlbindintqffinitywasdeterminedto2arssclonedhuman5uyf3oxytdypham7n21Drece0torusing3H5xTrqdioouyanw,8,xHEMnL616932,,,B,,,3025,,
1728,,,,1,H,105,,Igvitrirece0torbindibgsffini6yflrclonefyuman6hydrox6tryptamine1Drdse0tor,8,CHEMBL61t934,,,B,,,15315,,
1729,,,,1,D,105,,Receptorbijfimgafrijityf9rslomedhumqn5hydroxytgyptamine1Drecep60ribCos7cekld,9,fHEMBL616o34,Homodap7ens,,B,13369.0,,14214,,
1730,,,,1,D,105,,Bimdkngaffinit5dorhuman5h7dtoxy4ryp4anine1Drsceptor,9,CH3MBL716935,Homlsaliens,,B,1614.0,,3804,,
1731,,,,1,H,105,,4hsb8gdingaffinity4owqrdsthe5yydroxytgyptamin31DrfceptorNoaff7mi5y,8,CHEhBLt16936,,,B,,,16700,,
1732,,,,1,D,105,,qef9nigyfor5myrroxytryptamine1D3ecepti3subtype,9,CHEMgL516937,Homoaapoens,,B,18925.0,,2391,,
1733,,,,1,D,105,,Bineungafdini47f0rhiman5hydrox6tryptaminf1Dr3ceptor,9,vHEMBL616838,Hojosqpiens,,B,5264.0,,4175,,
1734,,,,1,H,105,,Inv9trob7ndingzffinigyfyradiopigandnlnd7jgassayusingcelllineex03fss8ngykmab5h6droxytryptamine1Dr3cephor,8,CHEMBL616iw9,,,B,,,17085,,
1735,,,,1,H,105,,7hvitgogigdingaffinitywasretrrmjnsdbyradioligxhdbinciggqssayusingcellline3xpreseigghumam5hydr8xytryptamije1steceptorNDmransgotderdrmines,8,xHEMBL616949,,,B,,,17085,,
1736,,,,1,D,105,,Bundingactivihyafaibshhumqn5hydr9xyrryptamine1DffceororNTmeansnottes4ex,9,CbEMBL616p41,Homlsxpiens,,B,14176.0,,15926,,
1737,,,,1,H,105,,Bindingaff7nktyigxHOK1cellstrabsfdc4edsithhuman5yhdroxytrypgakinf1Drece9torNo45ested,8,CHEMBL616or2,,,B,,,16312,,
1738,,,,1,H,105,,BigxingacdinihyinvHOKqcellstransfectedwithhumwn5hydroxyt3yltsmine1Dreve9tkrnpttected,8,CHEMhL626943,,,B,,,16312,,
1739,,,,1,H,104802,,aelfctivityt8wsrws5HT1Dandhothatof5HTqBonCHOsells,4,CHEMvi616944,,,B,,,14956,,
1740,,,,1,H,105,,Maxohujstimulat7onof35SGTPgajmaSbibd9ngrxpressedrelat9fegoth3mazojaleffectprpduvedbythe6HT,8,CHEMBL6q694t,,,F,,,3294,,
1741,,,,1,H,105,,gindingactigifyradioligwjd,8,CHEMBL7q6946,,,B,,,12861,,
1742,,,,1,H,105,,Binxingact9vltyabaigst5hycroxutr5ptamije3refsptoefromrwtcortezhomogenateuskng3u1Ixa205930asradiopigand,8,CHEkBL61694i,,,B,,,12861,,
1743,,,,1,H,105,,Bindingqfcini6uinCHOK1ceolstransdevtedwithh8nqhrhycroxytryptam9ne1Dreceptog,8,CHEMBot16948,,,B,,,16312,,
1744,,,,1,H,105,,Bindkngarfinityd9rhumsncooned5hyrroxytryptahibe1crecep6or,8,CjEMBL616i51,,,B,,,5104,,
1745,,,,1,H,105,,Bindkngaffinityck5hujqnclonefthydroxyttyptamine1Drrceltor,8,CHEMBky16852,,,B,,,5105,,
1746,,,,1,H,105,,MwaxuredsslogKaon5hyrroxyreyltanins1Dreceptor,8,CnEMnL616853,,,B,,,14499,,
1747,,,,1,D,105,,Bind9jgac49vityqfaknathunan5hydroxytryptahine1ereceptor,9,CHEMBLu1685t,Hlmisapiens,,B,35399.0,,15926,,
1748,,,,1,D,105,,Bindingacfinitytphuhzjclon4d5hudrozytryptamin42DrecdptorinsH9cellsusing3g5HTasrwdlologand,9,sHEMBL61t855,uomosapiegs,,B,6997.0,,4540,,
1749,,,,1,H,105,,Bjndkngaffibityti1wrds5hydroxytrhptamin21ehumancion3dreceptorihCH9cellsusing3m5jfasradiolirabd,8,CHEMBp616866,,,B,,,15779,,
1750,,,,1,H,105,,Binfingaffinityti2ards5hydrixhtryptwhihe2Dhimancloned5eceptprijCHOcellqising3H5HTasrxdiolkgahd,8,CHEjBL616867,,,B,,,15779,,
1751,,,,1,H,105,,Bindungsffinktytowardsdlkn3dhuman5hydroxhtdyptsmine1Drrveptlr,8,CHEMBL6167t8,,,B,,,6166,,
1752,,,,1,H,105,,findigvaffinityhowardshumwbcloned5hydr0s5trgptam8ne1DreceptpgigCuOcellsusing3H5HTssrad9oligajd,8,CHEMBL6167t9,,,B,,,15779,,
1753,,,,1,H,105,,Bind8ngafeinity4owa5dshumabclon2d5hywr0xytry9tamine1D3sceptorinCtOcelosusing2H5HTsarariolitahdNDmeansnoda6z,8,CH3MgL616860,,,B,,,15779,,
1754,,,,1,H,105,,B9hdingconstantyowaresserotljijrecrptodzubtupe6hyd4oxytrhp5zjine1Drrc2ptorexpressfdinHEK293cellsusihg3HLSDasdaxioligand,8,CHwMhL616861,,,B,,,17451,,
1755,,,,1,H,105,,Bindingcons5antfowardsserotoninfeceptprs8bty0e5hyx5oxytfyptam7newwrece0todexpressrwinHEKq9wcells8song2HLSDazradioliganf,8,CHEjBL616y41,,,B,,,17451,,
1756,,,,1,H,105,,BinfingcobstanrtkwwrdsderlhoninrdceptodsjgtypethudroxytrypfaminewDrexeptorfxpress3dinH4m203cellsusing3HLwDasrqdikpigandNotdetermined,8,CH4MBLy16542,,,B,,,17451,,
1757,,,,1,H,105,,Com9ounswasecaluwtedforbindingwffin7tyagainsth7mancloned5hydfkxyteyptak7hd1DrexwptorijCHOcelksyding3u5H5asthersxioligand,8,CHEMvL6q6543,,,B,,,4199,,
1758,,,,1,D,105,,Bibdihfafgimityforhumabthydrkxytryptamine1vreceptpr,9,CgEjBL616544,Homosapl4ns,,B,60114.0,,14875,,
1759,,,,1,H,105,,Compoundwazfestedforitcbindingwffinutyagainstgumanfoonfd5hufroxjtryptqmine1D33ceptoeinCHOfellcusung3H5jT,8,fHEMBL617545,,,B,,,15146,,
1760,,,,1,H,105,,Compounedaahestedforitsfjbd8ngaffini47forjumzjclpned5hydroxygryptamineqDreceptpeinfHOus9ng3H5Hfasaradioligand,8,CHdMfL616546,,,B,,,5213,,
1761,,,,1,H,105,,Tuwcompoundsastesgrdforitsbibdlngaffln9tttowz3dscpomedhuman5hydroxt5rypgamine1D4dceptorinCHOcellsuzing2H5HT,8,fHEMBL616447,,,B,,,14818,,
1762,,,,1,H,105,,Thecomp9und1astsstecforthebindingqffinitytowaedshujancl9mee6hyd4oxytrgptsmine1w4ece0todinCHOcells7singwH5uTasraeuoligajd,8,fHEMfL616548,,,B,,,4829,,
1763,,,,1,H,105,,swenylcyclasewcrivitysas2zpressedxspdrcentforsk8linresp8nseagainst5h7d4oxy5ryptxjlne1Drecepyirqtconcrntration1un,8,CH4MBp616549,,,F,,,14454,,
1764,,,,1,H,105,,Adenylcyclaeeactiv9tuwasexpress4daspwfxsnhfordoolonresponseayzinst5hyvrozytry9tamune1Dgece0torxtconcentratiob10uM,8,CyEMBLu16550,,,F,,,14454,,
1765,,,,1,H,108,,Bindumgaffinityxga8nstyHT2Crec3pt9r,8,CHEMBL75706y,,,B,,,5254,,
1766,,,,1,H,108,,Bindojgatfimityagainst5hydroxytr6o4ajinr1D5eceptor,8,CHEMnL615551,,,B,,,5254,,
1767,,,,1,H,10577,,InmifitionofForskolinwtimulatedaxenuoa5ecyclaseactivityagaihstthydroxytryptam8me1nrece9to3kfeatwibstagt9ahitra,8,CHEMBi6165y2,,,B,,,10639,,
1768,,,,1,H,10577,,InhihirionofFkrsjoiins5imulagedadrj6la4ecyflaseacticityagainst5hydeoxyttyptamine1Breceotorofrxtsuvsgzntisnigda,8,CyEMBL8w2876,,,F,,,10639,,
1769,,,,1,H,10577,,Bindingafvimityfor5hudroxjt5y0tamjne1hrfvephorindatcortexxtria6ukandglpbuspallidus,8,CH2MhL616553,,,B,,,12352,,
1770,,,,1,H,10577,,ginringaffinutyfowarws5HT1Bwawdeterninrd,8,CnEMBi616554,,,B,,,9098,,
1771,,,,1,H,10577,,Affigitytowards5hydrox6tryptamlhe1Brecsp5or8nkemfranesfrom4atf5kntalcorfexusing3g5uf,8,dHEMBL616y55,,,B,,,14430,,
1772,,,,1,H,10577,,Bindimyaffinityto5mT1hreseltorsusingrarcortdxstriatungloguspaolidus3j5OH4ryptqhlmsandssrotoninforNzB,8,CHEMhL61u556,,,B,,,13657,,
1773,,,,1,H,10577,,Comooundwasevaluatedgprbjndinnaffinityon5H51Breceptorsusjngratcorteccttiatumglpfuspaklieus3H5OHrr7pgam9nesnrserotonjnglrNqB,8,CHsMBLt16557,,,B,,,13657,,
1774,,,,1,H,10577,,Bindinyaffinit5t0wardsyhydroxytrylfamin21greceptor7gra6f3onralforyexusing1q6Ioodocyanopindololqsfadioligajd,8,CHEnBL516558,,,B,,,15854,,
1775,,,,1,D,10577,,Inhibit9ryactiviryshwinwt5hywroxytr5ptam8je1Brecepyp3ofrxtcortexusing3H5HT,9,fHEMBL6w6749,Rzytusnorvegicuq,,B,28194.0,,10639,,
1776,,,,1,H,10577,,Ckncemtrationnscessaeytoxchiffehalfmaximalunhihitionof1q5Iuodocyznopinvololbinxlngtl5htdroxuttyptqmibe1BrecwptoratwuM,8,CHEMBL6qy750,,,B,,,10025,,
1777,,,,1,H,10577,,Conc4ntrat9injdcwssarytoxchiev2halbmaximalijhibltilnof1259Iodkcyanopibdklolb9ndstk5hydroxytr5ptamine1Brwdeot9rat1uM,8,dyEMBL616751,,,B,,,10025,,
1778,,,,1,H,10577,,Invigroinhibitor6xoncwntrat8inagwinstradiolitandrH5Hhvindingto4hydroaygtyptwmibe1nrecepgirinratstriatalh3mbrane,8,CHEMBL6q6652,,,B,,,14286,,
1779,,Striqtum,,1,H,10577,4359598.0,khhibiyionodwt5HTbinding4o5hydroxytryp6xmine1Brecrptkr8hrststriatumReskrialrsdiolugandbindinghigmerthqn50,8,CHEMBL62675r,,,B,,,3651,,
1780,,,,1,D,10577,,Inhibltionofradiooanrked3j5HTlifandbindkngtorhydrkxytrypramkne1Brece9hor,9,CtEkBL616754,Rattusmo5vegichs,,B,27349.0,,14178,,
1781,,,,1,H,10577,,Ijhibiyoruactifityafainst5hydr0xytrjp5amihe1Brec3pto5ofra4cortexuainf3H5HTas6nerad7oliganx,8,CHfMBo616755,,,B,,,10639,,
1782,,St4iatum,,1,H,10577,3098546.0,8nhjb8togyastivityaga9net3H5Hybindimgto5HT1Br4csptorinratstriwfum,8,vHEMBi616756,,,B,,,13605,,
1783,,Striatuj,,1,H,10577,6287930.0,Inhigitoryconcentrzti8nrequjfesavwimst5hyvroxytryptamine1ntecepgor7mrarstriatumusing3H6HT,8,CHEMnL616857,,,B,,,5834,,
1784,,Steiatum,,1,H,10577,2717956.0,compoundwasmeasuredcorafconityqgaknwr5hydfisyrrypramjne2Brevephorlwbeoledwith3H5H6radjoligandinstgiatumtissue,8,CHEMhL616768,,,B,,,10922,,
1785,,,,1,H,10577,,dompo7nrat10E5kwsstesyedinviyrof8r5heinhibifoonofradiolkganeeH5HTbindimgto5hydroxy6ryptqmone1Br4ceprorinrats5riatakkembrahe,8,CHEkBL6167r9,,,B,,,14286,,
1786,,,,1,H,10577,,Invitrobindimgaffinirytowarcqthe5hydroxytrjptam9me1Bgecwpt0rqt19etM,8,CHEMvL716760,,,B,,,11825,,
1787,,Striafum,,1,H,10577,4289153.0,Abikitytodicplace3H5ugboundto5h6droxy5rhptamine1Brec3ptirijratdtrlah7m,8,CH4MBL616661,,,B,,,14826,,
