assays_ss_d,assays_ss_sbclllr_frctn,assays_ss_strn,assays_ss_tst_tp,assays_ss_tx_d,assays_tss_d,assays_src_ss_d,assays_vrnt_d,assays_td,assays_ss_ctgr,assays_src_d,assays_rltnshp_tp,assays_cnfdnc_scr,assays_crtd_b,assays_chmbl_d,assays_cll_d,assays_b_frmt
1588,,,,10141.0,,,,106,,1,H,8,Autocuration,CHEMBL616999,,BAO_0000019
1589,,,,10141.0,,,,106,,1,H,8,Autocuration,CHEMBL617000,,BAO_0000019
1590,,,,10141.0,,,,106,,1,H,8,Autocuration,CHEMBL617001,,BAO_0000019
1591,,,,10141.0,,,,106,,1,H,8,Autocuration,CHEMBL858111,,BAO_0000019
1592,,,,,,,,106,,1,H,8,Autocuration,CHEMBL617002,,BAO_0000019
1593,,,,,,,,106,,1,H,8,Autocuration,CHEMBL617003,,BAO_0000019
1594,,,,,,,,106,,1,H,8,Autocuration,CHEMBL617004,,BAO_0000019
1595,,,,9606.0,,,,106,,1,D,9,Expert,CHEMBL617005,,BAO_0000019
1596,,,,9606.0,,,,106,,1,D,9,Expert,CHEMBL616623,485.0,BAO_0000219
1597,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616624,449.0,BAO_0000219
1598,,,,,,,,106,,1,H,8,Autocuration,CHEMBL883243,,BAO_0000357
1599,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616625,,BAO_0000019
1600,,,,,,,,106,,1,H,8,Expert,CHEMBL616626,449.0,BAO_0000219
1601,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616627,449.0,BAO_0000219
1602,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616628,449.0,BAO_0000219
1603,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616629,449.0,BAO_0000219
1604,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616630,449.0,BAO_0000219
1605,,,,,,,,106,,1,H,8,Expert,CHEMBL616631,,BAO_0000019
1606,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616632,,BAO_0000019
1607,,,,9606.0,,,,106,,1,D,9,Expert,CHEMBL616633,,BAO_0000357
1608,,,,,,,,106,,1,H,8,Expert,CHEMBL616634,449.0,BAO_0000219
1609,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616635,,BAO_0000357
1610,,,,9606.0,,,,106,,1,D,9,Expert,CHEMBL885358,,BAO_0000357
1611,,,,9606.0,,,,106,,1,D,9,Expert,CHEMBL616636,449.0,BAO_0000219
1612,,,,,,,,106,,1,H,8,Expert,CHEMBL616637,449.0,BAO_0000219
1613,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616638,,BAO_0000357
1614,,,,,,,,106,,1,H,8,Expert,CHEMBL616639,449.0,BAO_0000219
1615,,,,,,,,106,,1,H,8,Expert,CHEMBL616640,449.0,BAO_0000219
1616,,,,,,,,106,,1,H,8,Expert,CHEMBL616641,449.0,BAO_0000219
1617,,,,,,,,106,,1,H,8,Expert,CHEMBL616642,449.0,BAO_0000219
1618,,,,,,,,106,,1,H,8,Expert,CHEMBL616643,449.0,BAO_0000219
1619,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616644,,BAO_0000357
1620,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616645,,BAO_0000357
1621,,,,9986.0,,,,105,,1,H,8,Autocuration,CHEMBL616646,,BAO_0000019
1622,,,,9986.0,,,,105,,1,H,8,Expert,CHEMBL616647,,BAO_0000019
1623,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616509,,BAO_0000357
1624,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616510,,BAO_0000357
1625,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616511,,BAO_0000357
1626,,,,9913.0,,,,105,,1,H,8,Expert,CHEMBL616512,,BAO_0000357
1627,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616513,,BAO_0000357
1628,,,,9913.0,2435.0,,,105,,1,H,8,Autocuration,CHEMBL616514,,BAO_0000019
1629,,,,9913.0,,,,105,,1,H,8,Expert,CHEMBL616515,,BAO_0000357
1630,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616516,,BAO_0000019
1631,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616517,,BAO_0000357
1632,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616518,,BAO_0000357
1633,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616519,,BAO_0000357
1634,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616520,,BAO_0000357
1635,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616521,,BAO_0000357
1636,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616522,,BAO_0000357
1637,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL884531,,BAO_0000357
1638,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616523,,BAO_0000357
1639,,,,9913.0,2435.0,,,105,,1,H,8,Autocuration,CHEMBL616731,,BAO_0000019
1640,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616732,,BAO_0000019
1641,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616733,,BAO_0000357
1642,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616734,,BAO_0000357
1643,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616735,,BAO_0000249
1644,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616736,,BAO_0000249
1645,,,,9913.0,,,,105,,1,H,8,Expert,CHEMBL616737,,BAO_0000019
1646,,,,9913.0,,,,105,,1,H,8,Autocuration,CHEMBL616738,,BAO_0000019
1647,,,,9913.0,,,,105,,1,H,8,Expert,CHEMBL616739,,BAO_0000019
1648,,,,9913.0,,,,105,,1,H,8,Expert,CHEMBL616740,,BAO_0000019
1649,,,,9913.0,,,,105,,1,H,8,Expert,CHEMBL616741,,BAO_0000019
1650,,,,9593.0,,,,105,,1,H,8,Autocuration,CHEMBL616742,722.0,BAO_0000219
1651,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616743,,BAO_0000019
1652,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616744,,BAO_0000019
1653,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616745,,BAO_0000019
1654,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616746,,BAO_0000019
1655,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616747,,BAO_0000019
1656,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616748,,BAO_0000019
1657,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616648,,BAO_0000019
1658,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616649,,BAO_0000357
1659,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616650,,BAO_0000357
1660,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616651,,BAO_0000218
1661,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616652,,BAO_0000218
1662,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616653,,BAO_0000218
1663,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616654,,BAO_0000218
1664,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616655,,BAO_0000019
1665,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616656,,BAO_0000357
1666,,,,10141.0,,,,105,,1,H,8,Autocuration,CHEMBL616657,,BAO_0000019
1667,,,,10141.0,2435.0,,,105570,,1,D,9,Intermediate,CHEMBL616658,,BAO_0000357
1668,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL616659,,BAO_0000357
1669,,,,,,,,51,,1,H,8,Autocuration,CHEMBL616660,,BAO_0000357
1670,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616661,,BAO_0000357
1671,,,,,,,,105,,1,H,8,Expert,CHEMBL616662,,BAO_0000019
1672,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616663,,BAO_0000019
1673,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616664,,BAO_0000019
1674,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL881820,449.0,BAO_0000219
1675,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616665,449.0,BAO_0000219
1676,,,,,,,,105,,1,H,8,Expert,CHEMBL616666,449.0,BAO_0000219
1677,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616667,449.0,BAO_0000219
1678,,,,,,,,105,,1,H,8,Expert,CHEMBL616668,449.0,BAO_0000219
1679,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616669,449.0,BAO_0000219
1680,,,,,,,,105,,1,H,8,Expert,CHEMBL617040,449.0,BAO_0000219
1681,,,,,,,,105,,1,H,8,Autocuration,CHEMBL617041,449.0,BAO_0000219
1682,,,,,,,,105,,1,H,8,Expert,CHEMBL617042,449.0,BAO_0000219
1683,,,,,,,,105,,1,H,8,Expert,CHEMBL617043,449.0,BAO_0000219
1684,,,,,,,,105,,1,H,8,Autocuration,CHEMBL617044,,BAO_0000019
1685,,,,,,,,105,,1,H,8,Expert,CHEMBL617045,449.0,BAO_0000219
1686,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL617046,449.0,BAO_0000219
1687,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL617047,449.0,BAO_0000219
1688,,,,,,,,105,,1,H,8,Expert,CHEMBL617048,,BAO_0000019
1689,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616897,,BAO_0000019
1690,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616898,,BAO_0000019
1691,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL858201,449.0,BAO_0000219
1692,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616899,,BAO_0000019
1693,,,In vitro,,,,,105,,1,H,8,Autocuration,CHEMBL616900,,BAO_0000219
1694,,,,,,,,105,,1,H,8,Expert,CHEMBL616901,449.0,BAO_0000219
1695,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616902,,BAO_0000357
1696,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616903,449.0,BAO_0000219
1697,,,,,,,,105,,1,H,8,Expert,CHEMBL616904,449.0,BAO_0000219
1698,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616905,,BAO_0000357
1699,,,,,,,,105,,1,H,8,Expert,CHEMBL616906,449.0,BAO_0000219
1700,,,,,,,,105,,1,H,8,Expert,CHEMBL616907,449.0,BAO_0000219
1701,,,,,,,,105,,1,H,8,Expert,CHEMBL616908,449.0,BAO_0000219
1702,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616909,449.0,BAO_0000219
1703,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616910,449.0,BAO_0000219
1704,,,,,,,,105,,1,H,8,Expert,CHEMBL616911,449.0,BAO_0000219
1705,,,,,,,,105,,1,H,8,Expert,CHEMBL616912,449.0,BAO_0000219
1706,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616913,,BAO_0000357
1707,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616914,449.0,BAO_0000219
1708,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616915,449.0,BAO_0000219
1709,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616916,,BAO_0000019
1710,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616917,,BAO_0000357
1711,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616918,,BAO_0000357
1712,,,,,,,,105,,1,H,8,Expert,CHEMBL616919,,BAO_0000219
1713,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616920,,BAO_0000357
1714,,,,,,,,105,,1,H,8,Autocuration,CHEMBL872914,,BAO_0000357
1715,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616921,,BAO_0000357
1716,,,,,,,,105,,1,H,8,Expert,CHEMBL616922,,BAO_0000357
1717,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616923,,BAO_0000357
1718,,,,,,,,105,,1,H,8,Expert,CHEMBL616924,,BAO_0000357
1719,,,,,,,,105,,1,H,8,Expert,CHEMBL875909,,BAO_0000357
1720,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616925,,BAO_0000357
1721,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616926,,BAO_0000357
1722,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616927,,BAO_0000357
1723,,,,,,,,105,,1,H,8,Expert,CHEMBL616928,485.0,BAO_0000219
1724,,,In vitro,9606.0,,,,105,,1,D,9,Expert,CHEMBL616929,,BAO_0000219
1725,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616930,,BAO_0000357
1726,,,,,,,,105,,1,H,8,Expert,CHEMBL616931,,BAO_0000019
1727,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616932,,BAO_0000357
1728,,,,,,,,105,,1,H,8,Expert,CHEMBL616933,,BAO_0000357
1729,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616934,,BAO_0000219
1730,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616935,,BAO_0000357
1731,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616936,,BAO_0000357
1732,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616937,,BAO_0000357
1733,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616938,,BAO_0000357
1734,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616939,,BAO_0000019
1735,,,,,,,,105,,1,H,8,Expert,CHEMBL616940,,BAO_0000019
1736,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616941,,BAO_0000357
1737,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616942,485.0,BAO_0000219
1738,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616943,485.0,BAO_0000219
1739,,,,,,,,104802,,1,H,4,Autocuration,CHEMBL616944,449.0,BAO_0000219
1740,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616945,,BAO_0000019
1741,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616946,,BAO_0000357
1742,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616947,,BAO_0000019
1743,,,,,,,,105,,1,H,8,Expert,CHEMBL616948,485.0,BAO_0000219
1744,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616851,,BAO_0000357
1745,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616852,,BAO_0000357
1746,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616853,,BAO_0000357
1747,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616854,,BAO_0000357
1748,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616855,449.0,BAO_0000219
1749,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616856,449.0,BAO_0000219
1750,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616857,449.0,BAO_0000219
1751,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616858,,BAO_0000357
1752,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616859,449.0,BAO_0000219
1753,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616860,449.0,BAO_0000219
1754,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616861,722.0,BAO_0000219
1755,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616541,722.0,BAO_0000219
1756,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616542,722.0,BAO_0000219
1757,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616543,449.0,BAO_0000219
1758,,,,9606.0,,,,105,,1,D,9,Expert,CHEMBL616544,,BAO_0000357
1759,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616545,449.0,BAO_0000219
1760,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616546,,BAO_0000357
1761,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616547,449.0,BAO_0000219
1762,,,,,,,,105,,1,H,8,Autocuration,CHEMBL616548,449.0,BAO_0000219
1763,,,,,,,,105,,1,H,8,Expert,CHEMBL616549,,BAO_0000019
1764,,,,,,,,105,,1,H,8,Expert,CHEMBL616550,,BAO_0000019
1765,,,,,,,,108,,1,H,8,Autocuration,CHEMBL857066,,BAO_0000357
1766,,,,,,,,108,,1,H,8,Autocuration,CHEMBL616551,,BAO_0000357
1767,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616552,,BAO_0000357
1768,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL832876,,BAO_0000019
1769,,,,,,,,10577,,1,H,8,Expert,CHEMBL616553,,BAO_0000019
1770,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616554,,BAO_0000357
1771,,,,,,,,10577,,1,H,8,Expert,CHEMBL616555,,BAO_0000019
1772,,,,,,,,10577,,1,H,8,Expert,CHEMBL616556,,BAO_0000019
1773,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616557,,BAO_0000019
1774,,,,,,,,10577,,1,H,8,Expert,CHEMBL616558,,BAO_0000019
1775,,,,10116.0,,,,10577,,1,D,9,Expert,CHEMBL616749,,BAO_0000019
1776,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616750,,BAO_0000357
1777,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616751,,BAO_0000357
1778,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616752,,BAO_0000249
1779,,,,,2435.0,,,10577,,1,H,8,Autocuration,CHEMBL616753,,BAO_0000019
1780,,,,10116.0,,,,10577,,1,D,9,Expert,CHEMBL616754,,BAO_0000357
1781,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616755,,BAO_0000019
1782,,,,,2435.0,,,10577,,1,H,8,Autocuration,CHEMBL616756,,BAO_0000019
1783,,,,,2435.0,,,10577,,1,H,8,Autocuration,CHEMBL616757,,BAO_0000019
1784,,,,,2435.0,,,10577,,1,H,8,Autocuration,CHEMBL616758,,BAO_0000357
1785,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616759,,BAO_0000249
1786,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616760,,BAO_0000357
1787,,,,,2435.0,,,10577,,1,H,8,Autocuration,CHEMBL616761,,BAO_0000019
1788,,,,,2435.0,,,10577,,1,H,8,Autocuration,CHEMBL616762,,BAO_0000019
1789,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616763,,BAO_0000019
1790,,,,,,,,10577,,1,H,8,Expert,CHEMBL872909,,BAO_0000357
1791,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616764,,BAO_0000357
1792,,,,10116.0,,,,10577,,1,D,9,Expert,CHEMBL616765,,BAO_0000357
1793,,,,,2435.0,,,10577,,1,H,8,Autocuration,CHEMBL616766,,BAO_0000357
1794,,,,,2435.0,,,10577,,1,H,8,Autocuration,CHEMBL616767,,BAO_0000357
1795,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616768,,BAO_0000357
1796,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616769,,BAO_0000357
1797,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616770,,BAO_0000019
1798,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616771,,BAO_0000019
1799,,,,,2435.0,,,10577,,1,H,8,Autocuration,CHEMBL616772,,BAO_0000019
1800,,,,,,,,10577,,1,H,8,Expert,CHEMBL616773,,BAO_0000019
1801,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616774,,BAO_0000019
1802,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616775,,BAO_0000357
1803,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616776,,BAO_0000249
1804,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616777,,BAO_0000357
1805,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616778,,BAO_0000357
1806,,,,10116.0,,,,10577,,1,D,9,Expert,CHEMBL616779,,BAO_0000249
1807,,,,10116.0,,,,10577,,1,D,9,Expert,CHEMBL616780,,BAO_0000357
1808,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616781,,BAO_0000019
1809,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616782,,BAO_0000357
1810,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616783,,BAO_0000357
1811,,,,,2435.0,,,10577,,1,H,8,Expert,CHEMBL616784,,BAO_0000019
1812,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616785,,BAO_0000357
1813,,,,,955.0,,,10577,,1,H,8,Autocuration,CHEMBL857067,,BAO_0000249
1814,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616786,,BAO_0000019
1815,,,,,955.0,,,10577,,1,H,8,Autocuration,CHEMBL616787,,BAO_0000249
1816,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616788,,BAO_0000357
1817,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616789,,BAO_0000357
1818,,,,10116.0,,,,10577,,1,D,9,Expert,CHEMBL616790,,BAO_0000019
1819,,,,,,,,10577,,1,H,8,Expert,CHEMBL616791,,BAO_0000357
1820,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616792,,BAO_0000019
1821,,,,10116.0,,,,10577,,1,D,9,Expert,CHEMBL616793,,BAO_0000249
1822,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616794,,BAO_0000357
1823,,,,,,,,10577,,1,H,8,Autocuration,CHEMBL616795,,BAO_0000357
1824,,,,,,,,104686,,1,H,4,Autocuration,CHEMBL616796,,BAO_0000019
1825,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616797,,BAO_0000357
1826,Brain membranes,,,,,,,106,,1,H,8,Autocuration,CHEMBL616798,,BAO_0000249
1827,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616799,,BAO_0000357
1828,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616800,,BAO_0000357
1829,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616801,,BAO_0000357
1830,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616802,,BAO_0000357
1831,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616803,,BAO_0000357
1832,,,,,,,,106,,1,H,8,Expert,CHEMBL857068,,BAO_0000357
1833,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616804,,BAO_0000357
1834,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616805,,BAO_0000357
1835,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616806,,BAO_0000357
1836,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616807,,BAO_0000357
1837,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616808,,BAO_0000357
1838,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616809,,BAO_0000357
1839,,,,,,,,106,,1,H,8,Autocuration,CHEMBL616810,,BAO_0000357
1840,,,,,,,,104802,,1,H,4,Autocuration,CHEMBL616811,,BAO_0000224
1841,,,,9913.0,,,,108,,1,H,8,Autocuration,CHEMBL616812,,BAO_0000357
1842,,,,9823.0,,,,108,,1,H,8,Autocuration,CHEMBL616813,,BAO_0000357
1843,,,,9823.0,,,,108,,1,H,8,Autocuration,CHEMBL616814,,BAO_0000357
1844,,,,9823.0,,,,108,,1,H,8,Autocuration,CHEMBL616815,,BAO_0000357
1845,,,,9823.0,,,,108,,1,H,8,Autocuration,CHEMBL616816,,BAO_0000357
1846,,,,9823.0,,,,108,,1,H,8,Autocuration,CHEMBL616817,,BAO_0000357
1847,,,,9823.0,,,,108,,1,H,8,Autocuration,CHEMBL616818,,BAO_0000357
1848,,,,9823.0,,,,108,,1,H,8,Expert,CHEMBL616819,,BAO_0000357
1849,,,,9823.0,,,,108,,1,H,8,Expert,CHEMBL616820,,BAO_0000357
1850,,,,9823.0,,,,108,,1,H,8,Expert,CHEMBL616821,,BAO_0000019
1851,,,,9823.0,,,,108,,1,H,8,Autocuration,CHEMBL616822,,BAO_0000357
1852,,,,9986.0,,,,108,,1,H,8,Autocuration,CHEMBL616823,,BAO_0000019
1853,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616824,,BAO_0000357
1854,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616825,,BAO_0000357
1855,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616826,,BAO_0000357
1856,,,,10116.0,,,,12689,,1,D,9,Expert,CHEMBL616827,,BAO_0000019
1857,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616828,,BAO_0000357
1858,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616829,,BAO_0000357
1859,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616830,,BAO_0000019
1860,,,,10116.0,,,,12689,,1,D,9,Expert,CHEMBL616831,,BAO_0000357
1861,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616832,,BAO_0000019
1862,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616833,,BAO_0000019
1863,,,,10116.0,,,,12689,,1,D,9,Expert,CHEMBL616834,,BAO_0000019
1864,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL829595,,BAO_0000019
1865,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616835,,BAO_0000357
1866,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL872910,,BAO_0000249
1867,,,,,,,,12689,,1,H,8,Expert,CHEMBL616836,,BAO_0000357
1868,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616837,,BAO_0000357
1869,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616466,,BAO_0000019
1870,,,,10116.0,,,,12689,,1,D,9,Autocuration,CHEMBL616467,722.0,BAO_0000219
1871,,,,,,,,108,,1,H,8,Autocuration,CHEMBL616468,,BAO_0000357
1872,,,,,,,,108,,1,H,8,Autocuration,CHEMBL616469,,BAO_0000357
1873,,,,,,,,108,,1,H,8,Autocuration,CHEMBL616470,,BAO_0000357
1874,,,,,,,,12689,,1,H,8,Autocuration,CHEMBL616471,,BAO_0000357
1875,,,,,,,,12689,,1,H,8,Autocuration,CHEMBL616472,,BAO_0000357
1876,,,,,,,,12689,,1,H,8,Autocuration,CHEMBL616473,,BAO_0000357
1877,,,,,,,,12689,,1,H,8,Autocuration,CHEMBL616474,,BAO_0000357
1878,,,,,,,,12689,,1,H,8,Autocuration,CHEMBL616475,,BAO_0000357
1879,,,,,,,,12689,,1,H,8,Autocuration,CHEMBL616476,,BAO_0000357
1880,,,,9986.0,,,,105,,1,H,8,Autocuration,CHEMBL616477,,BAO_0000019
1881,,,,,,,,104686,,1,H,4,Autocuration,CHEMBL616478,,BAO_0000224
1882,,,,,,,,104686,,1,H,4,Autocuration,CHEMBL616479,,BAO_0000224
1883,,,,,,,,104686,,1,H,4,Autocuration,CHEMBL616480,,BAO_0000019
1884,,,,10116.0,,,,104686,,1,D,5,Autocuration,CHEMBL616481,,BAO_0000019
1885,,,,10116.0,,,,104686,,1,D,5,Autocuration,CHEMBL616482,,BAO_0000249
1886,,,,10116.0,955.0,,,104686,,1,D,5,Autocuration,CHEMBL884713,,BAO_0000221
1887,,,,,,,,104686,,1,H,4,Autocuration,CHEMBL616483,,BAO_0000224
1888,,,,,,,,104686,,1,H,4,Autocuration,CHEMBL616484,,BAO_0000224
1889,,,,,,,,104686,,1,H,4,Autocuration,CHEMBL616485,,BAO_0000019
1890,,,,,,,,104686,,1,H,4,Autocuration,CHEMBL616486,,BAO_0000224
1891,,,,,,,,104686,,1,H,4,Autocuration,CHEMBL616487,,BAO_0000224
1892,,,,,,,,104686,,1,H,4,Autocuration,CHEMBL616488,,BAO_0000224
1893,,,,,,,,104686,,1,H,4,Autocuration,CHEMBL616489,,BAO_0000019
