miller2_fsclr,miller2_ctstlfrdvlpmnt(mrkr),miller2_cntnntd,miller2_brnchd,miller2_rgnstnsb-clss,miller2_rtcprcnt,miller2_brnchnm,miller2_rgnlprgrm(mrkr),miller2_chldrnsss(mrkr),miller2_thsss(mrkr),miller2_cfl(mrkr),miller2_rgnstntp,miller2_dsrtfctn(mrkr),miller2_prgrmmngprcss(nw),miller2_fstcprcnt,miller2_sctnnm,miller2_mntspnt,miller2_rgnstnd,miller2_knwldgfrdvlpmnt(mrkr),miller2_sctrnm,miller2_stts,miller2_dvsnnm,miller2_rgnstnnm,miller2_prtcptrdvlpmntndgdgvrnnc,miller2_clmtchngdpttn(mrkr),miller2_bdvrst(mrkr),miller2_rbnsss(mrkr),miller2_ndgnssss(mrkr),miller2_dsbltsss(mrkr),miller2_gndrqlt(mrkr),miller2_rgnstnclss,miller2_cntnntnm,miller2_prjctbrwsrcntrd,miller2_cntrrgnd,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrd,miller2_sctrprcnt
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,450000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,CF,CF,Central Afr.Rep,1.0,72010,1.0
2009/2010,0,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,2700000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Asia,IQ,IQ,Iraq,1.0,72010,1.0
2009/2010,0,3,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,2100000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Asia,IQ,IQ,Iraq,1.0,72010,1.0
2009/2010,0,3,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,500000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Asia,PS,PS,West Bank Gaza,1.0,72010,1.0
2009/2010,0,3,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,900000.0,1014663,0,Material relief assistance and services,Terminating,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Asia,YE,YE,Yemen,1.0,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,125000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,DZ,DZ,Algeria,0.125,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,125000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,EG,EG,Egypt,0.125,72010,1.0
2009/2010,0,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,125000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Asia,IQ,IQ,Iraq,0.125,72010,1.0
2009/2010,0,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,125000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Asia,JO,JO,Jordan,0.125,72010,1.0
2009/2010,0,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,125000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Asia,LB,LB,Lebanon,0.125,72010,1.0
2009/2010,0,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,125000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Asia,PS,PS,West Bank Gaza,0.125,72010,1.0
2009/2010,0,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,125000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Asia,SY,SY,Syrian Arab Rep,0.125,72010,1.0
2009/2010,0,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,125000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Asia,YE,YE,Yemen,0.125,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,BF,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,BJ,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,CI,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,CV,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,GH,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,GM,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,GN,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,GW,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,LR,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,ML,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,MR,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,NE,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,NG,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,SL,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,SN,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,31250.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Africa,TG,80,Western Africa,0.0625,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,BF,BF,Burkina-Faso,0.05,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,BJ,BJ,Benin,0.05,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,160000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,CI,CI,C�te d'Ivoire,0.2,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,CV,CV,Cape Verde,0.05,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,GH,GH,Ghana,0.05,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,GM,GM,Gambia,0.05,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,80000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,GN,GN,Guinea,0.1,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,GW,GW,Guinea-Bissau,0.05,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,80000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,LR,LR,Liberia,0.1,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,ML,ML,Mali,0.05,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,NE,NE,Niger,0.05,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,NG,NG,Nigeria,0.05,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,80000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,SN,SN,Senegal,0.1,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,Africa,TG,TG,Togo,0.05,72010,1.0
2009/2010,0,2,B5100,NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,450000.0,1000307,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,M�decins sans fronti�res/ Doctors without Borders,0,0,0,0,0,0,0,Civil Society,Africa,NE,NE,Niger,1.0,72010,1.0
2009/2010,0,1,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,America,BR,BR,Brazil,0.16,72010,1.0
2009/2010,0,1,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,50000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,America,CO,CO,Colombia,0.2,72010,1.0
2009/2010,0,1,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,America,GT,GT,Guatemala,0.16,72010,1.0
2009/2010,0,1,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,America,HN,HN,Honduras,0.16,72010,1.0
2009/2010,0,1,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,America,MX,MX,Mexico,0.16,72010,1.0
2009/2010,0,1,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,40000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,America,SV,SV,El Salvador,0.16,72010,1.0
2009/2010,0,1,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,80000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,America,CO,CO,Colombia,0.2,72010,1.0
2009/2010,0,1,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,64000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,America,CR,CR,Costa Rica,0.16,72010,1.0
2009/2010,0,1,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,64000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,America,CU,CU,Cuba,0.16,72010,1.0
2009/2010,0,1,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,64000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,America,EC,EC,Ecuador,0.16,72010,1.0
2009/2010,0,1,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,64000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,America,PA,PA,Panama,0.16,72010,1.0
2009/2010,0,1,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,64000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,0,Multilateral,America,VE,VE,Venezuela Rep B,0.16,72010,1.0
2009/2010,0,1,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,750000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,America,CO,CO,Colombia,1.0,72010,1.0
2009/2010,0,1,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,350000.0,1014202,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,Action contre la faim,0,0,0,0,0,0,0,Civil Society,America,CO,CO,Colombia,1.0,72010,1.0
2009/2010,0,1,B5100,NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,250000.0,1002364,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,M�decins du Monde Canada,0,0,0,0,0,0,0,Civil Society,America,CO,CO,Colombia,1.0,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,80000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,Africa,BW,BW,Botswana,0.1,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,160000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,Africa,MW,MW,Malawi,0.2,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,160000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,Africa,,,Namibia,0.2,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,200000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,Africa,ZM,ZM,Zambia,0.25,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,200000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,Africa,ZW,ZW,Zimbabwe,0.25,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,100000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,1,Multilateral,Africa,AO,AO,Angola,0.1,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,150000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,1,Multilateral,Africa,BW,BW,Botswana,0.15,72010,1.0
