Fiscal year,Division name,CFLI (marker),Maximum CIDA contribution (project-level),Youth issues (marker),Section name,Fund centre ID,ICT as a tool for development (marker),Bilateral aid (international marker),Urban issues (marker),Status,Amount spent,Knowledge for development (marker),Disability issues (marker),FSTC percent,Section ID,Branch name,Sector ID,Branch ID,Programming process (new),Biodiversity (marker),Desertification (marker),Continent name,Continent ID,CountryRegion percent,Sector percent,Organisation sub-class,Regional program (marker),Untied amount(Project-level budget),Enviromental sustainability (marker),Project number,Project Browser country ID,Fund centre name,Organisation type,Organisation ID,Division ID,IRTC percent,CIDA business delivery model (old),PBA type,Climate change adaptation (marker),Climate change mitigation (marker),Participatory development and good governance,Trade development (marker)
2009/2010,NDD Americas Programming,0,13093033.73,0,Caricom - Adm,4434,0,1,0,Closed,15644.5291,0,0,1.0,S4429,NGM Americas,13040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0588,1.0,REGIONAL ORGANIZATION,1,13093033.73,0,A031238001,SR,Caribbean Region,Foreign Non-Profit Making,1001172,D4400,0.0,Directive,Not PBA,0,0,0,0
2009/2010,NDD Americas Programming,0,13093033.73,0,Caricom - Adm,4434,0,1,0,Closed,65056.592829999994,0,0,1.0,S4429,NGM Americas,13040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0588,1.0,INTERNATIONAL NGO,1,13093033.73,0,A031238001,SR,Caribbean Region,Foreign Non-Profit Making,1011001,D4400,0.0,Directive,Not PBA,0,0,0,0
2009/2010,NDD Americas Programming,0,13093033.73,0,Caricom - Adm,4434,0,1,0,Closed,18305.1633,0,0,1.0,S4429,NGM Americas,13040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0688,1.0,REGIONAL ORGANIZATION,1,13093033.73,0,A031238001,GY,Caribbean Region,Foreign Non-Profit Making,1001172,D4400,0.0,Directive,Not PBA,0,0,0,0
2009/2010,NDD Americas Programming,0,13093033.73,0,Caricom - Adm,4434,0,1,0,Closed,76120.63923,0,0,1.0,S4429,NGM Americas,13040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0688,1.0,INTERNATIONAL NGO,1,13093033.73,0,A031238001,GY,Caribbean Region,Foreign Non-Profit Making,1011001,D4400,0.0,Directive,Not PBA,0,0,0,0
2009/2010,OAD Asia Programming,0,14500000.0,0,OAV Vietnam,4112,0,1,0,Closed,464000.0,0,0,1.0,S4107,OGM Asia Pacific,11110,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.2,IFI,0,14500000.0,0,A031255001,VN,Vietnam,Foreign Non-Profit Making,1001306,D4100,0.0,Directive,Pooled funding,0,0,0,0
2009/2010,OAD Asia Programming,0,14500000.0,0,OAV Vietnam,4112,0,1,0,Closed,464000.0,0,0,1.0,S4107,OGM Asia Pacific,11130,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.2,IFI,0,14500000.0,0,A031255001,VN,Vietnam,Foreign Non-Profit Making,1001306,D4100,0.0,Directive,Pooled funding,0,0,0,0
2009/2010,OAD Asia Programming,0,14500000.0,0,OAV Vietnam,4112,0,1,0,Closed,1392000.0,0,0,1.0,S4107,OGM Asia Pacific,11220,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.6,IFI,0,14500000.0,0,A031255001,VN,Vietnam,Foreign Non-Profit Making,1001306,D4100,0.0,Directive,Pooled funding,0,0,0,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,95395.13292999999,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.6,FEDERAL,1,0.0,0,A031268001,BZ,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,23848.78323,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.15,FEDERAL,1,0.0,0,A031268001,BZ,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,15899.18882,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.1,FEDERAL,1,0.0,0,A031268001,BZ,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,7949.594411,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.05,FEDERAL,1,0.0,0,A031268001,BZ,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,15899.18882,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.1,FEDERAL,1,0.0,0,A031268001,BZ,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,117706.4384,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0823,0.6,FEDERAL,1,0.0,0,A031268001,VC,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,29426.6096,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0823,0.15,FEDERAL,1,0.0,0,A031268001,VC,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,19617.73973,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0823,0.1,FEDERAL,1,0.0,0,A031268001,VC,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,9808.869865,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0823,0.05,FEDERAL,1,0.0,0,A031268001,VC,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,19617.73973,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0823,0.1,FEDERAL,1,0.0,0,A031268001,VC,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,128290.0064,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.6,FEDERAL,1,0.0,0,A031268001,AG,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,32072.501589999996,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.15,FEDERAL,1,0.0,0,A031268001,AG,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,AG,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,10690.833859999999,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.05,FEDERAL,1,0.0,0,A031268001,AG,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,AG,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,128290.0064,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.6,FEDERAL,1,0.0,0,A031268001,AI,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,32072.501589999996,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.15,FEDERAL,1,0.0,0,A031268001,AI,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,AI,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,10690.833859999999,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.05,FEDERAL,1,0.0,0,A031268001,AI,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,AI,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,128290.0064,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.6,FEDERAL,1,0.0,0,A031268001,DM,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,32072.501589999996,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.15,FEDERAL,1,0.0,0,A031268001,DM,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,DM,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,10690.833859999999,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.05,FEDERAL,1,0.0,0,A031268001,DM,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,DM,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,128290.0064,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.6,FEDERAL,1,0.0,0,A031268001,GD,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,32072.501589999996,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.15,FEDERAL,1,0.0,0,A031268001,GD,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,GD,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,10690.833859999999,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.05,FEDERAL,1,0.0,0,A031268001,GD,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,GD,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,128290.0064,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.6,FEDERAL,1,0.0,0,A031268001,JM,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,32072.501589999996,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.15,FEDERAL,1,0.0,0,A031268001,JM,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,JM,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,10690.833859999999,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.05,FEDERAL,1,0.0,0,A031268001,JM,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,JM,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,128290.0064,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.6,FEDERAL,1,0.0,0,A031268001,KN,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,32072.501589999996,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.15,FEDERAL,1,0.0,0,A031268001,KN,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,KN,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,10690.833859999999,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.05,FEDERAL,1,0.0,0,A031268001,KN,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,KN,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,128290.0064,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.6,FEDERAL,1,0.0,0,A031268001,LC,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,32072.501589999996,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.15,FEDERAL,1,0.0,0,A031268001,LC,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,LC,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,10690.833859999999,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.05,FEDERAL,1,0.0,0,A031268001,LC,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,LC,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,128290.0064,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.6,FEDERAL,1,0.0,0,A031268001,MS,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,32072.501589999996,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.15,FEDERAL,1,0.0,0,A031268001,MS,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,MS,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,10690.833859999999,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.05,FEDERAL,1,0.0,0,A031268001,MS,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,21381.66773,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0897,0.1,FEDERAL,1,0.0,0,A031268001,MS,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,95395.13292999999,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.6,FEDERAL,1,0.0,0,A031268001,GY,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,23848.78323,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.15,FEDERAL,1,0.0,0,A031268001,GY,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,15899.18882,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.1,FEDERAL,1,0.0,0,A031268001,GY,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,7949.594411,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.05,FEDERAL,1,0.0,0,A031268001,GY,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,15899.18882,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.1,FEDERAL,1,0.0,0,A031268001,GY,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,95395.13292999999,0,0,1.0,S4429,NGM Americas,15110,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.6,FEDERAL,1,0.0,0,A031268001,SR,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,23848.78323,0,0,1.0,S4429,NGM Americas,15111,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.15,FEDERAL,1,0.0,0,A031268001,SR,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,15899.18882,0,0,1.0,S4429,NGM Americas,15130,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.1,FEDERAL,1,0.0,0,A031268001,SR,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,7949.594411,0,0,1.0,S4429,NGM Americas,22040,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.05,FEDERAL,1,0.0,0,A031268001,SR,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,17937704.13,0,Caricom - Adm,4434,1,1,0,Operational,15899.18882,0,0,1.0,S4429,NGM Americas,25010,B4400,Uncoded: Pre-APP,0,0,America,1,0.0667,0.1,FEDERAL,1,0.0,0,A031268001,SR,Caribbean Region,Canadian Non-Profit Making,11278,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,362250.33,1,Central Africa & Great Lakes Program,4302,0,1,0,Closed,3309.8475,0,0,1.0,S4287,WGM Sub-Saharan Africa,11330,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.15,CONSULTANT,0,362250.33,0,A031269003,RW,Rwanda,Canadian Profit Making,Information not available,D4207,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,362250.33,1,Central Africa & Great Lakes Program,4302,0,1,0,Closed,2206.565,0,0,1.0,S4287,WGM Sub-Saharan Africa,15110,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.1,CONSULTANT,0,362250.33,0,A031269003,RW,Rwanda,Canadian Profit Making,Information not available,D4207,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,362250.33,1,Central Africa & Great Lakes Program,4302,0,1,0,Closed,3309.8475,0,0,1.0,S4287,WGM Sub-Saharan Africa,15150,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.15,CONSULTANT,0,362250.33,0,A031269003,RW,Rwanda,Canadian Profit Making,Information not available,D4207,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,362250.33,1,Central Africa & Great Lakes Program,4302,0,1,0,Closed,1103.2825,0,0,1.0,S4287,WGM Sub-Saharan Africa,15240,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.05,CONSULTANT,0,362250.33,0,A031269003,RW,Rwanda,Canadian Profit Making,Information not available,D4207,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,362250.33,1,Central Africa & Great Lakes Program,4302,0,1,0,Closed,3309.8475,0,0,1.0,S4287,WGM Sub-Saharan Africa,16010,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.15,CONSULTANT,0,362250.33,0,A031269003,RW,Rwanda,Canadian Profit Making,Information not available,D4207,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,362250.33,1,Central Africa & Great Lakes Program,4302,0,1,0,Closed,2206.565,0,0,1.0,S4287,WGM Sub-Saharan Africa,24040,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.1,CONSULTANT,0,362250.33,0,A031269003,RW,Rwanda,Canadian Profit Making,Information not available,D4207,0.0,Directive,Not PBA,0,0,1,0
