assays_ss_d,assays_vrnt_d,assays_src_d,assays_ss_sbclllr_frctn,assays_ss_rgnsm,assays_cll_d,assays_ss_cll_tp,assays_td,assays_rltnshp_tp,assays_cnfdnc_scr,assays_crtd_b,assays_src_ss_d,assays_chmbl_d,assays_b_frmt,assays_tss_d
5254,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622683,BAO_0000218,
5255,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622684,BAO_0000218,
5256,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622685,BAO_0000218,
5257,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622686,BAO_0000218,
5258,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL618344,BAO_0000218,
5259,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL875582,BAO_0000218,
5260,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL618345,BAO_0000218,
5261,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL618346,BAO_0000218,
5262,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL618347,BAO_0000218,
5263,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL618348,BAO_0000218,
5264,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618349,BAO_0000019,
5265,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618350,BAO_0000019,
5266,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618351,BAO_0000019,
5267,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618352,BAO_0000019,
5268,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL873494,BAO_0000221,178.0
5269,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618353,BAO_0000366,1969.0
5270,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618354,BAO_0000366,1969.0
5271,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL875583,BAO_0000366,1969.0
5272,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618355,BAO_0000019,1977.0
5273,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618356,BAO_0000366,1969.0
5274,,1,Microsomes,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618357,BAO_0000251,
5275,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618358,BAO_0000366,1969.0
5276,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618359,BAO_0000221,14.0
5277,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618360,BAO_0000366,1969.0
5278,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618361,BAO_0000019,
5279,,1,Microsomes,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618362,BAO_0000251,2107.0
5280,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618363,BAO_0000366,1969.0
5281,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618364,BAO_0000366,1969.0
5282,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL875584,BAO_0000366,1969.0
5283,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618365,BAO_0000019,
5284,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL873495,BAO_0000366,1969.0
5285,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618366,BAO_0000366,1969.0
5286,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618367,BAO_0000019,
5287,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618368,BAO_0000221,178.0
5288,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618369,BAO_0000221,178.0
5289,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618370,BAO_0000366,1969.0
5290,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618371,BAO_0000019,
5291,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618372,BAO_0000221,178.0
5292,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618373,BAO_0000366,1969.0
5293,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618374,BAO_0000366,1969.0
5294,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618375,BAO_0000366,1969.0
5295,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618376,BAO_0000366,1969.0
5296,,1,Microsomes,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618377,BAO_0000251,2107.0
5297,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618378,BAO_0000366,1969.0
5298,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618379,BAO_0000366,1969.0
5299,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618380,BAO_0000366,1969.0
5300,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618381,BAO_0000366,1969.0
5301,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618382,BAO_0000366,1969.0
5302,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618383,BAO_0000019,
5303,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618384,BAO_0000019,
5304,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL618385,BAO_0000019,
5305,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL619099,BAO_0000366,1969.0
5306,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL619100,BAO_0000366,1969.0
5307,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL619101,BAO_0000019,
5308,,1,,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL619102,BAO_0000019,
5309,,1,Microsomes,Homo sapiens,,,22224,U,0,Autocuration,,CHEMBL619103,BAO_0000251,2107.0
5310,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL619268,BAO_0000218,
5311,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL619269,BAO_0000218,
5312,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL619270,BAO_0000218,
5313,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL619271,BAO_0000218,
5314,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL875585,BAO_0000218,
5315,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL619272,BAO_0000218,
5316,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619273,BAO_0000219,
5317,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619274,BAO_0000219,
5318,,1,,Homo sapiens,391.0,786-0,80640,N,1,Expert,,CHEMBL619275,BAO_0000219,
5319,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619276,BAO_0000219,
5320,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619277,BAO_0000219,
5321,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619278,BAO_0000219,
5322,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619279,BAO_0000219,
5323,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL858458,BAO_0000219,
5324,,1,,Homo sapiens,391.0,786-0,80640,N,1,Expert,,CHEMBL619280,BAO_0000219,
5325,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619281,BAO_0000219,
5326,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619282,BAO_0000219,
5327,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619283,BAO_0000219,
5328,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619284,BAO_0000219,
5329,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619285,BAO_0000219,
5330,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619286,BAO_0000219,
5331,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619287,BAO_0000219,
5332,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL857455,BAO_0000219,
5333,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL883801,BAO_0000219,
5334,,1,,Homo sapiens,972.0,791T cell line,80641,N,1,Intermediate,,CHEMBL619288,BAO_0000219,
5335,,1,,Homo sapiens,972.0,791T cell line,80641,N,1,Intermediate,,CHEMBL619289,BAO_0000219,
5336,,1,,Homo sapiens,972.0,791T cell line,80641,N,1,Intermediate,,CHEMBL619290,BAO_0000219,
5337,,1,,Homo sapiens,972.0,791T cell line,80641,N,1,Intermediate,,CHEMBL619291,BAO_0000219,
5338,,1,,Homo sapiens,972.0,791T cell line,80641,N,1,Intermediate,,CHEMBL619292,BAO_0000219,
5339,,1,,Homo sapiens,972.0,791T cell line,80641,N,1,Intermediate,,CHEMBL619293,BAO_0000219,
5340,,1,,Homo sapiens,972.0,791T cell line,80641,N,1,Intermediate,,CHEMBL619294,BAO_0000219,
5341,,1,,Homo sapiens,972.0,791T cell line,80641,N,1,Intermediate,,CHEMBL619295,BAO_0000219,
5342,,1,,Homo sapiens,972.0,791T cell line,80641,N,1,Intermediate,,CHEMBL619296,BAO_0000219,
5343,,1,,Homo sapiens,972.0,791T cell line,80641,N,1,Intermediate,,CHEMBL619297,BAO_0000219,
5344,,1,,Homo sapiens,391.0,786-0,80640,N,1,Intermediate,,CHEMBL619298,BAO_0000219,
5345,,1,,,,,22226,U,0,Intermediate,,CHEMBL619299,BAO_0000019,
5346,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Expert,,CHEMBL619300,BAO_0000219,
5347,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Expert,,CHEMBL619301,BAO_0000219,
5348,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL619302,BAO_0000219,
5349,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL619303,BAO_0000219,
5350,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL619304,BAO_0000219,
5351,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL857706,BAO_0000219,
5352,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL619305,BAO_0000219,
5353,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL619306,BAO_0000219,
5354,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL619307,BAO_0000219,
5355,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL619308,BAO_0000219,
5356,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL619309,BAO_0000219,
5357,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL619310,BAO_0000219,
5358,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL619311,BAO_0000219,
5359,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL619312,BAO_0000219,
5360,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL619313,BAO_0000219,
5361,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL619314,BAO_0000219,
5362,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL619959,BAO_0000219,
5363,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL619960,BAO_0000219,
5364,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL619961,BAO_0000219,
5365,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL619962,BAO_0000219,
5366,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL875586,BAO_0000219,
5367,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL619963,BAO_0000219,
5368,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL619964,BAO_0000219,
5369,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620108,BAO_0000219,
5370,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620109,BAO_0000219,
5371,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620110,BAO_0000219,
5372,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620111,BAO_0000219,
5373,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620112,BAO_0000219,
5374,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620113,BAO_0000219,
5375,,1,,Homo sapiens,624.0,A498,80021,N,1,Expert,,CHEMBL620114,BAO_0000219,
5376,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620115,BAO_0000219,
5377,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620116,BAO_0000219,
5378,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620117,BAO_0000219,
5379,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620118,BAO_0000219,
5380,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620119,BAO_0000219,
5381,,1,,Homo sapiens,624.0,A498,80021,N,1,Intermediate,,CHEMBL620120,BAO_0000219,
5382,,1,,Homo sapiens,646.0,A549,80682,N,1,Expert,,CHEMBL620121,BAO_0000219,
5383,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620122,BAO_0000219,
5384,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620123,BAO_0000219,
5385,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620124,BAO_0000219,
5386,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620125,BAO_0000219,
5387,,1,,Homo sapiens,646.0,A549,80682,N,1,Expert,,CHEMBL620126,BAO_0000219,
5388,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL883027,BAO_0000219,
5389,,1,,Homo sapiens,646.0,A549,80682,N,1,Expert,,CHEMBL620127,BAO_0000219,
5390,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620128,BAO_0000219,
5391,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620129,BAO_0000219,
5392,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620130,BAO_0000219,
5393,,1,,Homo sapiens,646.0,A549,80682,N,1,Expert,,CHEMBL620131,BAO_0000219,
5394,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620132,BAO_0000219,
5395,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620133,BAO_0000219,
5396,,1,,Homo sapiens,646.0,A549,80682,N,1,Expert,,CHEMBL620134,BAO_0000219,
5397,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620135,BAO_0000219,
5398,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620136,BAO_0000219,
5399,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620137,BAO_0000219,
5400,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620268,BAO_0000219,
5401,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620269,BAO_0000219,
5402,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620270,BAO_0000219,
5403,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620271,BAO_0000219,
5404,,1,,Homo sapiens,646.0,A549,80682,N,1,Expert,,CHEMBL620272,BAO_0000219,
5405,,1,,Homo sapiens,646.0,A549,80682,N,1,Expert,,CHEMBL620273,BAO_0000219,
5406,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620274,BAO_0000219,
5407,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620275,BAO_0000219,
5408,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620276,BAO_0000219,
5409,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620277,BAO_0000219,
5410,,1,,Homo sapiens,646.0,A549,80682,N,1,Intermediate,,CHEMBL620278,BAO_0000219,
5411,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL620279,BAO_0000218,
5412,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL620280,BAO_0000218,
5413,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL620281,BAO_0000218,
5414,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL620282,BAO_0000218,
5415,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621134,BAO_0000218,
5416,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621135,BAO_0000218,
5417,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621136,BAO_0000218,
5418,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621137,BAO_0000218,
5419,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621138,BAO_0000218,1969.0
5420,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL875587,BAO_0000218,1969.0
5421,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621139,BAO_0000218,
5422,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621140,BAO_0000218,
5423,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621141,BAO_0000218,
5424,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621142,BAO_0000218,
5425,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621143,BAO_0000218,
5426,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621144,BAO_0000218,
5427,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621145,BAO_0000218,
5428,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621146,BAO_0000218,
5429,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622567,BAO_0000218,
5430,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622568,BAO_0000218,
5431,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622569,BAO_0000218,
5432,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622570,BAO_0000218,
5433,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622571,BAO_0000218,1969.0
5434,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622572,BAO_0000218,
5435,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622573,BAO_0000218,
5436,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622574,BAO_0000218,
5437,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622575,BAO_0000218,
5438,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622576,BAO_0000218,
5439,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622577,BAO_0000218,
5440,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622578,BAO_0000218,
5441,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622579,BAO_0000218,
5442,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622580,BAO_0000218,
5443,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622581,BAO_0000218,
5444,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622582,BAO_0000218,
5445,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622583,BAO_0000218,
5446,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622584,BAO_0000218,
5447,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622585,BAO_0000218,
5448,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL622586,BAO_0000218,
5449,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL623281,BAO_0000218,
5450,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL623282,BAO_0000218,
5451,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL623283,BAO_0000218,
5452,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL623284,BAO_0000218,
5453,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL623285,BAO_0000218,
5454,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL623463,BAO_0000218,1969.0
5455,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL875952,BAO_0000218,1969.0
5456,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621705,BAO_0000218,
5457,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621706,BAO_0000218,
5458,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621707,BAO_0000218,
5459,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621708,BAO_0000218,
5460,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621709,BAO_0000218,
5461,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621710,BAO_0000218,
5462,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621711,BAO_0000218,
5463,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621712,BAO_0000218,
5464,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621713,BAO_0000218,
5465,,1,,Canis lupus familiaris,,,50588,N,1,Intermediate,,CHEMBL621714,BAO_0000218,
5466,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL621715,BAO_0000218,
5467,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL623717,BAO_0000218,2107.0
5468,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL623718,BAO_0000218,2107.0
5469,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL623719,BAO_0000218,2107.0
5470,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL623720,BAO_0000218,
5471,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL623721,BAO_0000218,
5472,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL623722,BAO_0000218,2385.0
5473,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL623723,BAO_0000218,2385.0
5474,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL618543,BAO_0000218,2385.0
5475,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL618544,BAO_0000218,2106.0
5476,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL875155,BAO_0000218,2106.0
5477,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL618545,BAO_0000218,
5478,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL618546,BAO_0000218,
5479,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL623529,BAO_0000218,
5480,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL623530,BAO_0000218,
5481,,1,,Mus sp.,,,22224,U,0,Autocuration,,CHEMBL621764,BAO_0000218,
5482,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621765,BAO_0000019,
5483,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621766,BAO_0000019,2037.0
5484,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621767,BAO_0000019,1870.0
5485,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621768,BAO_0000019,
5486,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621769,BAO_0000019,2435.0
5487,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621770,BAO_0000019,
5488,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621771,BAO_0000019,2037.0
5489,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621772,BAO_0000019,1870.0
5490,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621773,BAO_0000019,
5491,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621774,BAO_0000019,2435.0
5492,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621775,BAO_0000218,
5493,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621776,BAO_0000218,1969.0
5494,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL621777,BAO_0000019,
5495,,1,,Cercopithecidae,,,22224,U,0,Autocuration,,CHEMBL875162,BAO_0000218,
5496,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL621778,BAO_0000218,1969.0
5497,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL621779,BAO_0000218,1969.0
5498,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL622479,BAO_0000218,1969.0
5499,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL622480,BAO_0000218,
5500,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL622481,BAO_0000218,
5501,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL622482,BAO_0000218,
5502,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL622483,BAO_0000218,
5503,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL622484,BAO_0000218,
5504,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL622641,BAO_0000218,
5505,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL622642,BAO_0000218,
5506,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL622643,BAO_0000218,
5507,,1,,Mus musculus,,,50594,N,1,Intermediate,,CHEMBL622644,BAO_0000218,
5508,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL622645,BAO_0000219,
5509,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL622646,BAO_0000219,
5510,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL621238,BAO_0000219,
5511,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL621239,BAO_0000219,
5512,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL621240,BAO_0000219,
5513,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL621241,BAO_0000219,
5514,,1,,Homo sapiens,741.0,RPMI-8226,80433,N,1,Intermediate,,CHEMBL621242,BAO_0000219,
