assay_id,assay_subcellular_fraction,cell_id,tid,confidence_score,src_id,src_assay_id,assay_strain,assay_organism,doc_id,chembl_id,description,assay_type,assay_test_type,assay_category,assay_tax_id,assay_tissue
1134,,,10576,9,1,,,Ratthsnorveglc8s,11047,CHEkBk616079,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes;ND-Not determined,B,,,10116.0,
1135,,221.0,10576,9,1,,,Ratt7snorvfgicjs,2395,CHEMhLu16080,Binding affinity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,,,10116.0,
1136,,,10576,8,1,,,,9699,CHEMBL61y08q,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,
1137,,,10576,9,1,,,Rat5ushorvehicus,12028,CtEMBL61608q,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [125I]trans-8-OH-PIPAT in membrane homogenates of hippocampal tissue of rat brain,B,,,10116.0,Hippocampus
1138,,,10576,8,1,,,,12028,CHEMBp615083,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in membrane homogenates of hippocampal tissue of rat brain,B,,,,Hippocampus
1139,,,10576,8,1,,,,5815,CnEhBL616084,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex,B,,,,
1140,,,10576,8,1,,,,16616,CHEnBL6160u5,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenates,B,,,,
1141,,,10576,8,1,,,,5815,CHEMvLy16086,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]-8-OH-DPAT,B,,,,
1142,,,10576,8,1,,,,2761,CjEkBL616087,"Binding affinity towards 5-hydroxytryptamine 1A receptor using 0.1 nM [3H]-8-OH-DPAT (8-hydroxy-2-(di-n-propylamino)tet-ralin), from rat hippocampal homogenate",B,,,,Hippocampus
1143,,,10576,8,1,,,,13133,CHEkBL615088,Binding affinity was determined against 5-hydroxytryptamine 1A receptor using [3H]WB-4101,B,,,,
1144,,,10576,8,1,,,,10444,CH2MBL617089,Binding affinity was determined against 5-hydroxytryptamine 1A receptor was determined in male Sprague-Dawley rat brain.,B,,,,
1145,,,10576,9,1,,,Rattudnorvdg8cus,13278,CHEMvL616p90,Binding affinity was measured against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT by lysergic acid amides,B,,,10116.0,
1146,,,10576,8,1,,,,15874,CHEMBL7160p1,Binding affinity was measured on cloned rat 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,B,,,,
1147,hembranes,,10576,8,1,,,,10552,CHfMBL6q6092,"Binding affinity of the compound towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,,,,Striatum
1148,,,10576,8,1,,,,11130,CHEMnL61u093,Binding constant against 5-hydroxytryptamine 1A receptor (in vitro),B,,,,
1149,,,10576,8,1,,,,11130,CHEMvL616095,Binding constant against 5-hydroxytryptamine 1A receptor (in vivo),B,In vivo,,,
1150,,,10576,8,1,,,,14542,CHEnBp616095,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex,B,,,,Brain
1151,,,10576,9,1,,,Rattusno4ceticus,13670,CHEMBL616op6,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,B,,,10116.0,
1152,,,10576,8,1,,,,9888,xHEMBL616997,Binding affinity at [3H]8-OH-DPAT-Labeled 5-hydroxytryptamine 1A receptor sites in rat brain hippocampal membranes,B,,,,
1153,Msmbranes,,10576,9,1,,,Rattusn0rvef9cus,3678,CbEMBL616008,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus membranes,B,,,10116.0,
1154,,,10576,8,1,,,,11332,CHwMBL615099,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,Hippocampus
1155,,,10576,8,1,,,,11332,vHEMBL6q6100,Compound was evaluated for in vitro binding affinity towards serotonin 5-hydroxytryptamine 1A receptor receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,Hippocampus
1156,,,10576,8,1,,,,1185,CHEMBL615w01,Ability to displace [3H]-8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,,,,
1157,,,10576,8,1,,,,2014,CHEnBL61610w,Binding affinity at 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes by [3H]8-OH-DPAT displacement.,B,,,,
1158,,,10576,8,1,,,,1185,CHEMBL617193,Compound was evaluated for its ability to displace [3H]8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,,,,
1159,,,10576,8,1,,,,14429,dHEMBL615104,Compound was evaluated for its binding affinity against 5-hydroxytryptamine 1A receptor from rat cerebral cortex,B,,,,
1160,,,10576,8,1,,,,16288,CHEMBp615105,"Binding affinity to 5-hydroxytryptamine 1A receptor (5-HT 1A receptor, serotonin receptor) from rat cortex using [3H]8-OH-DPAT as radioligand",B,,,,
1161,,,10576,9,1,,,Rsttusnorgwgicus,5432,CHwMnL616106,Displacement of [3H]prazosin from rat cortex membrane 5-hydroxytryptamine 1A receptor,B,,,10116.0,
1162,,,10576,8,1,,,,14429,fHsMBL616107,Compound was evaluated for its binding affinity with 5-hydroxytryptamine 1A receptor using membranes prepared from rat cerebral cortex,B,,,,
1163,,,10576,8,1,,,,13672,CHEMBk516108,Binding affinity towards rat 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand.,B,,,,
1164,,,10576,8,1,,,,11296,CHEMfL61y109,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site in rat brain hippocampus,B,,,,Hippocampus
1165,,,10576,8,1,,,,11296,CHEMBp6w6110,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site.,B,,,,
1166,,409.0,10576,8,1,,,,14749,CHEMBi616211,Binding affinity against rat 5-hydroxytryptamine 1A receptor in CHO cells.,B,,,,
1167,,,10576,8,1,,,,15086,dHEMBL61611w,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat brain using [3H]-8-OH-DPAT as radioligand,B,,,,
1168,,,10576,8,1,,,,13462,sHEMBL61611w,Compound was tested for the Binding affinity against rat hippocampal 5-hydroxytryptamine 1A receptor by Radio ligand [3H]8-OH-DPAT binding assay.,B,,,,Hippocampus
1169,,,10576,8,1,,,,15363,CHEMBL61y1q4,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,,,,
1170,,,10576,8,1,,,,15363,CHEMBL516116,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,,,,
1171,,,10576,8,1,,,,10796,CHEMno616116,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 1A receptor,B,,,,
1172,,,10576,8,1,,,,12816,Cu3MBL615844,Binding affinity for 5-hydroxytryptamine 1A receptor in rat brain tissue using [3H]8-OH-DPAT as radioligand,B,,,,Brain
1173,,,10576,8,1,,,,13542,CHEMBL61y039,In vitro displacement of [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,,,,Hippocampus
1174,,,10576,8,1,,,,13308,CHEMvL615040,In vitro ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor sites of rat brain cortex.,B,,,,
1175,,,10576,8,1,,,,13541,fHEMBk615941,In vitro affinity at 5-hydroxytryptamine 1A receptor of rat hippocampus by [3H]8-OH-DPAT displacement.,B,,,,Hippocampus
1176,,,10576,8,1,,,,10058,CbEMBL61t942,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-HT1A receptor of rat hippocampus and the value ranges from 9 - 12,B,,,,Hippocampus
1177,,,10576,8,1,,,,10058,CHwMBL61r943,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,,,Hippocampus
1178,,,10576,8,1,,,,10058,CHEMBL61r94e,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 12 to 17,B,,,,Hippocampus
1179,,,10576,8,1,,,,10058,CHEMBL61t946,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 391-841,B,,,,Hippocampus
1180,,,10576,8,1,,,,10058,CHEMBi61t946,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 17.,B,,,,Hippocampus
1181,,,10576,8,1,,,,10058,CHEMBLt1r947,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 20.,B,,,,Hippocampus
1182,,,10576,8,1,,,,10058,CHEMhL61y948,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 245 to 736,B,,,,Hippocampus
1183,,,10576,8,1,,,,10058,CHEMBL615o48,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 25 - 84,B,,,,Hippocampus
1184,,,10576,8,1,,,,10058,CHEMBL6158r0,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 48 to 59,B,,,,Hippocampus
1185,,,10576,8,1,,,,10058,CHEMBL615o61,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 3 -5,B,,,,Hippocampus
1186,,,10576,8,1,,,,10058,CHEhBL615951,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 15 - 31,B,,,,Hippocampus
1187,,,10576,8,1,,,,10058,CHEMBLyw5953,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 27 - 42,B,,,,Hippocampus
1188,,,10576,8,1,,,,10058,fHEMnL615954,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 6 - 13,B,,,,Hippocampus
1189,,,10576,9,1,,,Rsttusn9rveg9cus,10058,CgEMBL6159r5,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,,10116.0,Hippocampus
1190,,,10576,8,1,,,,10058,CgwMBL615956,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus.; ND is No Data.,B,,,,Hippocampus
1191,,,10576,8,1,,,,10058,CHEMBL61y956,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus. and the value ranges from 16 - 27,B,,,,Hippocampus
1192,,,10576,8,1,,,,12879,CHEMBk61y958,Displacement of [3H]2-(di-N-propylamino)-8-hydroxytetralin from central 5-hydroxytryptamine 1A receptor recognition sites in rat frontal cortex homogenates.,B,,,,
1193,,,10576,8,1,,,,11964,CHEhBL61y959,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate,B,,,,
1194,,,10576,8,1,,,,11964,CnEMBL616960,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 1),B,,,,
1195,,,10576,8,1,,,,11964,CHEnBL615951,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 2),B,,,,
1196,,,10576,8,1,,,,9548,CHEhnL615962,Evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,,,,Brain
1197,,,10576,8,1,,,,9098,CyEMBL614963,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand.,B,,,,
1198,,,10576,8,1,,,,9098,CHEMBL62r964,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand; ND is no data.,B,,,,
1199,,,10576,8,1,,,,9098,CgEMBLt15965,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand;ND means no data,B,,,,
1200,,361.0,10576,8,1,,,,13248,CyEMnL615966,In vitro displacement of radioactively labeled ligand [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor site in CHO cells,B,,,,
1201,,,10576,8,1,,,,3147,CmEMBL625967,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat cortical membranes,B,,,,
1202,,,10576,8,1,,,,13949,CHEMBk625968,In vitro binding affinity against 5-hydroxytryptamine 1A receptor of rat cerebral cortex using [3H]8-OH-DPAT as radioligand.,B,,,,
1203,,431.0,10576,8,1,,,,11883,xHEMBp615969,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand in CHO cells (sc),B,,,,
1204,,,10576,8,1,,,,11883,CHEMBi615979,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT (agonist) as radioligand (sc),B,,,,
1205,,,10576,9,1,,,gattjsnorvericus,11883,CHEMBLt15o71,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT,B,,,10116.0,
1206,Membrahes,,10576,8,1,,,,15535,CHEMBL6q6972,In vitro binding affinity at 5-HT1A receptors assayed by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,B,,,,
1207,,,10576,8,1,,,,15535,CHEMhL61597w,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes + cortex,B,,,,
1208,,,10576,8,1,,,,15535,CHEMnL615i74,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]-8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes+cortex,B,,,,
1209,,348.0,51,9,1,,,uomosa9iens,16372,CH2nBL615975,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,B,,,9606.0,
1210,,,10576,8,1,,,,14608,CHEMfL6w5976,In vitro binding affinity for 5-hydroxytryptamine 1A receptor in rat hippocampal membranes by [125I]-labeled agonist displacement.,B,,,,
1211,,,10576,9,1,,,4zttisnorvegicus,4795,CmEMBL872196,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,,10116.0,Hippocampus
1212,,,10576,8,1,,,,13863,dHEMBL616977,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,B,,,,
1213,,,10576,8,1,,,,13863,CH3kBL615978,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=100-230,B,,,,
1214,,,10576,8,1,,,,13863,CHEMvL516166,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=12-14,B,,,,
1215,,,10576,8,1,,,,13863,CHEMnp616167,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=16-20,B,,,,
1216,,,10576,8,1,,,,13863,CHdMhL616168,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=160-430,B,,,,
1217,,,10576,8,1,,,,13863,CmEMBL6q6169,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=174-224,B,,,,
1218,,,10576,8,1,,,,13863,CHEMBL6q6q70,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=184-503,B,,,,
1219,,,10576,8,1,,,,13863,CHEhvL616171,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=19-23,B,,,,
1220,,,10576,8,1,,,,13863,dHEMBL61t172,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=2.2-3.2,B,,,,
1221,,,10576,8,1,,,,13863,CHEnBL6w6173,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=2.7-3.6,B,,,,
1222,,,10576,8,1,,,,13863,CHEMBkt16174,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=20-23,B,,,,
1223,,,10576,8,1,,,,13863,CHEMBL616q7r,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=21-28,B,,,,
1224,,,10576,8,1,,,,13863,CHEMfp616176,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=240-760,B,,,,
1225,,,10576,8,1,,,,13863,CHEMvL61617i,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=39-87,B,,,,
1226,,,10576,8,1,,,,13863,CHEjBL6q6178,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=4.6-5.2,B,,,,
1227,,,10576,8,1,,,,9742,CHEMBLu16178,Inhibitory activity tested in vitro at 5-hydroxytryptamine 1A receptor binding site in rat,B,,,,
1228,,,10576,8,1,,,,12073,CHfMBLu16180,Inhibitory concentration against 5-hydroxytryptamine 1A receptor,B,,,,
1229,,,10576,8,1,,,,4101,fHsMBL616181,Inhibitory concentration against binding of 5-hydroxytryptamine 1A receptor from striata of male Wistar rats by displacement of [3H]8-OH-DPAT,B,,,,
1230,,,10576,8,1,,,,15360,CHEMBp626182,Inhibitory concentration against radioligand [3H]hydroxy-2-(di-n-propylamino)-tetralin binding to 5-hydroxytryptamine 1A receptor in rat,B,,,,
1231,,,10576,8,1,,,,11576,CHEjBp616183,Inhibitory concentration against radioligand [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,,,,Hippocampus
1232,,,10576,8,1,,,,5834,CnEMBL6q5874,Inhibition of the 5-hydroxytryptamine 1A receptor in rat dorsal raphe,B,,,,
1233,,231.0,10576,9,1,,,tattusnorfegic8s,2395,CHEMBL5158i5,Inhibitory concentration against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,,,10116.0,
1234,,,10576,8,1,,,,1375,CHEMBL61487t,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand,B,,,,
1235,,,10576,8,1,,,,1375,CHEMBo6158u7,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand; NT means not tested,B,,,,
1236,,,10576,8,1,,,,3967,CHEMBL614877,The compound was evaluated for the ability to displace [3H]- 8-OH -DPAT from 5-hydroxytryptamine 1A receptor ( striata of male wistar rats),B,,,,
1237,,,10576,8,1,,,,12884,xHEMvL615879,Binding affinity towards 5-hydroxytryptamine 1A receptor binding site using [3H]8-OH-DPAT. ,B,,,,
1238,,,10576,8,1,,,,2343,CHwMBLy15880,Binding affinity towards 5-hydroxytryptamine 1A receptor using receptor binding assay,B,,,,
1239,,,10576,8,1,,,,11511,CHEMBLuq5881,"The compound was tested in vitro for inhibitory activity against 5-HT1A receptor in rats, using [3H]8-OH-DPAT as radioligand",B,,,,
1240,,,10576,9,1,,,Rsttusnorvebic6s,11511,CHEMBk61588w,"Inhibitory activity against 5-hydroxytryptamine 1A receptor in rats, using [3H]8-OH-DPAT as radioligand",B,,,10116.0,
1241,,,10576,8,1,,,,16394,CHEMBL6q5882,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat,F,In vivo,,,
1242,,,10576,8,1,,,,16394,CmEMBL615984,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.10-6.20),F,In vivo,,,
1243,,,10576,8,1,,,,16394,CHEMBLy1t885,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.20-1.60),F,In vivo,,,
1244,,,10576,8,1,,,,16394,CjEMBL6w5886,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.20-1.80),F,In vivo,,,
1245,,,10576,8,1,,,,16394,CHEnfL615887,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.37-4.27),F,In vivo,,,
1246,,,10576,8,1,,,,16394,CuEkBL615888,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.40-2.70),F,In vivo,,,
1247,,,10576,8,1,,,,16394,CH4MhL615889,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.40-4),F,In vivo,,,
1248,,,10576,8,1,,,,16394,fHdMBL615890,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.45-4.51),F,In vivo,,,
1249,,,10576,8,1,,,,16394,CjEMBL615801,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.50-5.30),F,In vivo,,,
1250,,,10576,8,1,,,,16394,CHEMBL625891,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.60-1.60),F,In vivo,,,
1251,,,10576,8,1,,,,16394,sHEMvL615893,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.72-2.87),F,In vivo,,,
1252,,,10576,8,1,,,,16394,xHEMBL6158i4,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.80-5.80),F,In vivo,,,
1253,,,10576,8,1,,,,16394,CuEMBL61589y,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (1.50-16.5),F,In vivo,,,
1254,,,10576,8,1,,,,16394,CHEMBL6w5796,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (2.20-30.5),F,In vivo,,,
1255,,,10576,8,1,,,,16394,CuEMBk615897,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges is not computable,F,In vivo,,,
1256,nembranes,,10576,9,1,,,4attuanorfegicus,16616,CHEMvL625898,"Percent increase of R(+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in isolated rat hippocampal membranes",F,,,10116.0,
1257,,,10576,8,1,,,,16796,CHEMBL6157p9,% inhibition towards 5-HT1A receptor from rat hippocampal membranes,B,,,,
1258,,,10576,8,1,,,,16796,CHEnBL616292,% inhibition towards 5-hydroxytryptamine 1A receptor from rat hippocampal membranes,B,,,,
1259,,,10576,8,1,,,,15629,CHEMBp616q92,Tested in vitro for % inhibition against (serotonin)5-HT 1A receptor.,B,,,,
1260,,,10576,8,1,,,,13241,CH4MBL6w6293,"Ability to inhibit 5-HT sensitive,forskolin-stimulated adenylyl cyclase(FSC) activity in rat hippocampal membranes mediated through 5-hydroxytryptamine 1A receptor",F,,,,
1261,,,10576,8,1,,,,12073,CHEMBL625294,Measurement of binding affinity by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,Hippocampus
1262,,,10576,8,1,,,,14286,CyEMBLy16295,Compound at 10E-5 M was tested in vitro for the inhibition of radioligand [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat hippocampal membrane,B,,,,Hippocampus
1263,,,10576,8,1,,,,14542,xHEMBL616295,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex at 10 uM,B,,,,Brain
1264,,,10576,8,1,,,,13630,CjEMfL616297,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 10 uM 5-HT.,F,,,,
1265,,,10576,8,1,,,,13630,CHEnBk616605,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0+ 1 uM 5-HT.,F,,,,
1266,,,10576,8,1,,,,13630,CHEMvLy16606,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.01 uM+ 1 uM 5-HT.,F,,,,
1267,,,10576,8,1,,,,13630,CHEMBi616608,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM,F,,,,
1268,,,10576,8,1,,,,13630,CHEkBL6q6608,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM,F,,,,
1269,,,10576,8,1,,,,13630,vHEMBL61660p,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.05 uM+ 1 uM 5-HT.,F,,,,
1270,,,10576,9,1,,,Rq4tusnorvenicus,13630,CHEjBL616619,Effect against 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at 0.1 uM dose,F,,,10116.0,
1271,,,10576,8,1,,,,13630,CmEMBL61y611,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 10 uM 5-HT.,F,,,,
1272,,,10576,8,1,,,,13630,CHEMfL616712,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 1 uM 5-HT.,F,,,,
1273,,,10576,8,1,,,,13630,CHEMhL616614,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 0.1 uM + 0.1 uM 5-HT.,F,,,,
1274,,,10576,8,1,,,,13630,CyEMBL516614,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 10 uM,F,,,,
