Fiscal year,Branch name,Gender equality (marker),Organisation type,ICT as a tool for development (marker),Urban issues (marker),Bilateral aid (international marker),Section name,Division ID,Division name,Organisation name,Climate change mitigation (marker),Organisation ID,IRTC percent,Project number,CountryRegion percent,FSTC percent,Fund centre ID,Amount spent,Untied amount(Project-level budget),Branch ID,Continent name,Indigenous issues (marker),CIDA business delivery model (old),Children issues (marker),Status,Maximum CIDA contribution (project-level),Section ID,Regional program (marker),Fund centre name,CFLI (marker),Programming process (new),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
2009/2010,OGM Asia Pacific,2,Canadian Non-Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Statistics Canada,0,10540,0.0,A031879001,1.0,1.0,4130,1655389.096,13087032.38,B4100,Asia,0,Directive,0,Closed,13087032.38,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Agriteam Canada,0,1000601,0.0,A031879001,1.0,1.0,4130,4915.912,13087032.38,B4100,Asia,0,Directive,0,Closed,13087032.38,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Non-Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Statistics Canada,0,10540,0.0,A031879001,1.0,1.0,4130,413847.274,13087032.38,B4100,Asia,0,Directive,0,Closed,13087032.38,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Agriteam Canada,0,1000601,0.0,A031879001,1.0,1.0,4130,1228.978,13087032.38,B4100,Asia,0,Directive,0,Closed,13087032.38,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,0,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Agriteam Canada,0,1000601,0.0,A031882001,1.0,1.0,4130,1994846.86,16888643.16,B4100,Asia,0,Directive,0,Terminating,16888643.16,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,0,Canadian Non-Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,National Judicial Institute,0,1002101,0.0,A031883001,1.0,1.0,4130,1325.0,0.0,B4100,Asia,0,Responsive,0,Closed,4500000.0,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,OGM Asia Pacific,0,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Salasan Consulting Inc.,0,1000524,0.0,A031883002,1.0,1.0,4130,1005.01,0.0,B4100,Asia,0,Directive,0,Closed,158919.43,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,Ghana Program Section,D4207,WWD West & Central Africa,Nova Scotia Agricultural College,0,1001672,0.0,A031887001,1.0,1.0,4254,131601.73,2188660.48,B4200,Africa,0,Responsive,0,Closed,2188660.48,S4253,0,Ghana,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Ghana Program Section,D4207,WWD West & Central Africa,Information not available,0,Information not available,0.0,A031887001,1.0,1.0,4254,2563.6,2188660.48,B4200,Africa,0,Responsive,0,Closed,2188660.48,S4253,0,Ghana,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,Ghana Program Section,D4207,WWD West & Central Africa,Nova Scotia Agricultural College,0,1001672,0.0,A031887001,1.0,1.0,4254,65800.865,2188660.48,B4200,Africa,0,Responsive,0,Closed,2188660.48,S4253,0,Ghana,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Ghana Program Section,D4207,WWD West & Central Africa,Information not available,0,Information not available,0.0,A031887001,1.0,1.0,4254,1281.8,2188660.48,B4200,Africa,0,Responsive,0,Closed,2188660.48,S4253,0,Ghana,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,Ghana Program Section,D4207,WWD West & Central Africa,Nova Scotia Agricultural College,0,1001672,0.0,A031887001,1.0,1.0,4254,65800.865,2188660.48,B4200,Africa,0,Responsive,0,Closed,2188660.48,S4253,0,Ghana,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Ghana Program Section,D4207,WWD West & Central Africa,Information not available,0,Information not available,0.0,A031887001,1.0,1.0,4254,1281.8,2188660.48,B4200,Africa,0,Responsive,0,Closed,2188660.48,S4253,0,Ghana,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,Mali Program Section,D4207,WWD West & Central Africa,UPA DI - Union des producteurs agricoles d�veloppement,0,1000171,0.0,A031895001,1.0,1.0,4216,213919.46,2500000.0,B4200,Africa,0,Responsive,0,Closed,8042053.03,S4215,0,Mali,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Mali Program Section,D4207,WWD West & Central Africa,Information not available,0,Information not available,0.0,A031895001,1.0,1.0,4216,6310.0,2500000.0,B4200,Africa,0,Responsive,0,Closed,8042053.03,S4215,0,Mali,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Profit Making,0,0,1,Ghana Program Section,D4207,WWD West & Central Africa,SNC Lavalin International Inc. *** BLOCKED RE ? ADRESSE ?***,0,1001223,0.0,A031901001,1.0,1.0,4254,368563.731,5456094.24,B4200,Africa,0,Directive,0,Closed,5456094.24,S4253,0,Ghana,0,Uncoded: Pre-APP,Not PBA,1,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Profit Making,0,0,1,Ghana Program Section,D4207,WWD West & Central Africa,SNC Lavalin International Inc. *** BLOCKED RE ? ADRESSE ?***,0,1001223,0.0,A031901001,1.0,1.0,4254,368563.731,5456094.24,B4200,Africa,0,Directive,0,Closed,5456094.24,S4253,0,Ghana,0,Uncoded: Pre-APP,Not PBA,1,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Profit Making,0,0,1,Ghana Program Section,D4207,WWD West & Central Africa,SNC Lavalin International Inc. *** BLOCKED RE ? ADRESSE ?***,0,1001223,0.0,A031901001,1.0,1.0,4254,491418.30799999996,5456094.24,B4200,Africa,0,Directive,0,Closed,5456094.24,S4253,0,Ghana,0,Uncoded: Pre-APP,Not PBA,1,0,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",2,Canadian Profit Making,0,1,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Agriteam Canada,0,1000601,0.0,A031906001,1.0,1.0,3127,3635501.56,14565608.06,B3100,Africa,1,Directive,1,Terminating,14565608.06,S4256,1,Broader M-E & North Africa (BMENA),0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Non-Profit Making,0,1,1,Philippines and Mongolia,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031909008,1.0,0.0,4116,406834.48,409994.48,B4100,Asia,0,Directive,1,Closed,409994.48,S4130,0,*India,1,Uncoded: Pre-APP,Not PBA,1,0,0,2,0
2009/2010,OGM Asia Pacific,1,Canadian Non-Profit Making,0,1,1,Philippines and Mongolia,D4100,OAD Asia Programming,PAYE DFAIT,0,1008469,0.0,A031909008,1.0,0.0,4116,3160.0,409994.48,B4100,Asia,0,Directive,1,Closed,409994.48,S4130,0,*India,1,Uncoded: Pre-APP,Not PBA,1,0,0,2,0
2009/2010,WGM Sub-Saharan Africa,0,Foreign Profit Making,0,0,1,South Sudan Program,D4270,WED Southern & Eastern Africa,"The Praxis Group, Ltd.",0,1015088,0.0,A031917001,1.0,1.0,4232,24992.0,1678280.19,B4200,Africa,0,Responsive,0,Closed,1678280.19,S4232,0,South Sudan,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,0,Foreign Profit Making,0,0,1,South Sudan Program,D4270,WED Southern & Eastern Africa,"The Praxis Group, Ltd.",0,1015088,0.0,A031917001,1.0,1.0,4232,24992.0,1678280.19,B4200,Africa,0,Responsive,0,Closed,1678280.19,S4232,0,South Sudan,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,0,Foreign Profit Making,0,0,1,South Sudan Program,D4270,WED Southern & Eastern Africa,"The Praxis Group, Ltd.",0,1015088,0.0,A031917001,1.0,1.0,4232,24992.0,1678280.19,B4200,Africa,0,Responsive,0,Closed,1678280.19,S4232,0,South Sudan,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,0,Foreign Profit Making,0,0,1,South Sudan Program,D4270,WED Southern & Eastern Africa,"The Praxis Group, Ltd.",0,1015088,0.0,A031917001,1.0,1.0,4232,24992.0,1678280.19,B4200,Africa,0,Responsive,0,Closed,1678280.19,S4232,0,South Sudan,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Non-Profit Making,0,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031927001,1.0,1.0,4128,87.385,15507684.49,B4100,Asia,0,Directive,0,Closed,15507684.49,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Profit Making,0,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Agriteam Canada,0,1000601,0.0,A031927001,1.0,1.0,4128,1217438.14,15507684.49,B4100,Asia,0,Directive,0,Closed,15507684.49,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Profit Making,0,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Information not available,0,Information not available,0.0,A031927001,1.0,1.0,4128,32539.38,15507684.49,B4100,Asia,0,Directive,0,Closed,15507684.49,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Non-Profit Making,0,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031927001,1.0,1.0,4128,52.431000000000004,15507684.49,B4100,Asia,0,Directive,0,Closed,15507684.49,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Profit Making,0,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Agriteam Canada,0,1000601,0.0,A031927001,1.0,1.0,4128,730462.8840000001,15507684.49,B4100,Asia,0,Directive,0,Closed,15507684.49,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Profit Making,0,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Information not available,0,Information not available,0.0,A031927001,1.0,1.0,4128,19523.628,15507684.49,B4100,Asia,0,Directive,0,Closed,15507684.49,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Non-Profit Making,0,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031927001,1.0,1.0,4128,34.954,15507684.49,B4100,Asia,0,Directive,0,Closed,15507684.49,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Profit Making,0,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Agriteam Canada,0,1000601,0.0,A031927001,1.0,1.0,4128,486975.256,15507684.49,B4100,Asia,0,Directive,0,Closed,15507684.49,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Profit Making,0,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Information not available,0,Information not available,0.0,A031927001,1.0,1.0,4128,13015.752,15507684.49,B4100,Asia,0,Directive,0,Closed,15507684.49,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,"EGM Europe, Middle East and Maghreb",1,Canadian Non-Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031929001,1.0,1.0,4266,6750.0,4693076.25,B3100,Asia,0,Responsive,0,Closed,4693076.25,S4256,0,Jordan,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",1,Foreign Non-Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,National Center for Human Resources Development,0,1010841,0.0,A031929001,1.0,1.0,4266,222871.5,4693076.25,B3100,Asia,0,Responsive,0,Closed,4693076.25,S4256,0,Jordan,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",1,Canadian Non-Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031929001,1.0,1.0,4266,6750.0,4693076.25,B3100,Asia,0,Responsive,0,Closed,4693076.25,S4256,0,Jordan,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,"EGM Europe, Middle East and Maghreb",1,Foreign Non-Profit Making,1,0,1,Middle East and North Africa,D3100,EDD Europe-Middle East Programming,National Center for Human Resources Development,0,1010841,0.0,A031929001,1.0,1.0,4266,222871.5,4693076.25,B3100,Asia,0,Responsive,0,Closed,4693076.25,S4256,0,Jordan,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,OGM Asia Pacific,3,Canadian Non-Profit Making,0,0,1,Bangladesh Section,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031932001,1.0,1.0,4122,95460.3,2500000.0,B4100,Asia,0,Responsive,0,Closed,2550404.31,S4122,0,Bangladesh,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,OGM Asia Pacific,3,Canadian Non-Profit Making,0,0,1,Bangladesh Section,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031932001,1.0,1.0,4122,95460.3,2500000.0,B4100,Asia,0,Responsive,0,Closed,2550404.31,S4122,0,Bangladesh,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,OGM Asia Pacific,2,Canadian Non-Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Human Resources and Skills Development Canada / Service Canada,0,10014,0.0,A031933001,1.0,1.0,4130,130.29,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Non-Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031933001,1.0,1.0,4130,23777.185,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Non-Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,CANADA INDUSTRIAL RELATIONS BOARD C.D. HOWE BUILDING,0,10600,0.0,A031933001,1.0,1.0,4130,148.735,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Non-Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Public Works and Government Services Canada,0,11270,0.0,A031933001,1.0,1.0,4130,3192.0,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,STILES ASSOCIATES INC.,0,1001046,0.0,A031933001,1.0,1.0,4130,11326.255,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,GARRY A. COMBER (COMBER & ASSOCIATES CONSULTING),0,1004134,0.0,A031933001,1.0,1.0,4130,14059.96,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Groupe-conseil Interalia S.E.N.C.,0,1014192,0.0,A031933001,1.0,1.0,4130,16158.91,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Information not available,0,Information not available,0.0,A031933001,1.0,1.0,4130,3150.0,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Information not available,0,Information not available,0.0,A031933001,1.0,1.0,4130,8422.0,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Non-Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Human Resources and Skills Development Canada / Service Canada,0,10014,0.0,A031933001,1.0,1.0,4130,130.29,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Non-Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031933001,1.0,1.0,4130,23777.185,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Non-Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,CANADA INDUSTRIAL RELATIONS BOARD C.D. HOWE BUILDING,0,10600,0.0,A031933001,1.0,1.0,4130,148.735,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Non-Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Public Works and Government Services Canada,0,11270,0.0,A031933001,1.0,1.0,4130,3192.0,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,STILES ASSOCIATES INC.,0,1001046,0.0,A031933001,1.0,1.0,4130,11326.255,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,GARRY A. COMBER (COMBER & ASSOCIATES CONSULTING),0,1004134,0.0,A031933001,1.0,1.0,4130,14059.96,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Groupe-conseil Interalia S.E.N.C.,0,1014192,0.0,A031933001,1.0,1.0,4130,16158.91,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Information not available,0,Information not available,0.0,A031933001,1.0,1.0,4130,3150.0,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,2,Canadian Profit Making,0,0,1,OAI Indonesia and SEA Regional,D4100,OAD Asia Programming,Information not available,0,Information not available,0.0,A031933001,1.0,1.0,4130,8422.0,3313759.76,B4100,Asia,0,Directive,0,Terminating,3313759.76,S4126,0,China,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,1,Canadian Non-Profit Making,0,0,1,Central Africa & Great Lakes Program,D4207,WWD West & Central Africa,Department of Foreign Affairs and International Trade,0,10050,0.0,A031934001,1.0,1.0,4289,7563.63,1623170.64,B4200,Africa,0,Responsive,0,Closed,1623170.64,S4287,0,Cameroon,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,1,Canadian Non-Profit Making,0,0,1,Central Africa & Great Lakes Program,D4207,WWD West & Central Africa,PAYE DFAIT,0,1008469,0.0,A031934001,1.0,1.0,4289,13425.0,1623170.64,B4200,Africa,0,Responsive,0,Closed,1623170.64,S4287,0,Cameroon,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,1,Canadian Non-Profit Making,0,0,1,Central Africa & Great Lakes Program,D4207,WWD West & Central Africa,CARE Canada,0,1000517,0.0,A031934002,1.0,1.0,4289,319358.0,4818857.87,B4200,Africa,0,Responsive,0,Closed,4818857.87,S4287,0,Cameroon,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,NGM Americas,0,Canadian Non-Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031935001,1.0,0.0,4452,1183.963,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,C�RAC Inc.,0,1000647,0.0,A031935001,1.0,0.0,4452,4881.67,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Non-Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,CECI/CRC Sogema INC./ENAP/SOCODEVI,0,1013076,0.0,A031935001,1.0,0.0,4452,347516.75399999996,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,Information not available,0,Information not available,0.0,A031935001,1.0,0.0,4452,506.67,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,Information not available,0,Information not available,0.0,A031935001,1.0,0.0,4452,4711.1759999999995,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Non-Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031935001,1.0,0.0,4452,3551.889,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,C�RAC Inc.,0,1000647,0.0,A031935001,1.0,0.0,4452,14645.01,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Non-Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,CECI/CRC Sogema INC./ENAP/SOCODEVI,0,1013076,0.0,A031935001,1.0,0.0,4452,1042550.262,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,Information not available,0,Information not available,0.0,A031935001,1.0,0.0,4452,1520.01,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,Information not available,0,Information not available,0.0,A031935001,1.0,0.0,4452,14133.528,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Non-Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A031935001,1.0,0.0,4452,591.9815,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,C�RAC Inc.,0,1000647,0.0,A031935001,1.0,0.0,4452,2440.835,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,NGM Americas,0,Canadian Non-Profit Making,0,0,1,Ha�ti & Dominican Republic Section,D4400,NDD Americas Programming,CECI/CRC Sogema INC./ENAP/SOCODEVI,0,1013076,0.0,A031935001,1.0,0.0,4452,173758.37699999998,20000000.0,B4400,America,0,Directive,0,Terminating,20000000.0,S4449,0,Haiti,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
