Fiscal year,CountryRegion name,Organisation ID,Indigenous issues (marker),Branch name,Sector percent,Organisation type,Section ID,Children issues (marker),Project Browser country ID,Biodiversity (marker),Continent name,Sector ID,Organisation class,Division ID,Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Division name,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker)
2009/2010,Middle Africa,1003347,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4249,0,TD,0,Africa,11430,Civil Society,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,Information not available,0,WGM Sub-Saharan Africa,0.2,Canadian Profit Making,S4249,0,TD,0,Africa,11430,Individual,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,10050,0,WGM Sub-Saharan Africa,0.2,Canadian Non-Profit Making,S4249,0,TD,0,Africa,15110,Governmental,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,1003347,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4249,0,TD,0,Africa,15110,Civil Society,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,Information not available,0,WGM Sub-Saharan Africa,0.2,Canadian Profit Making,S4249,0,TD,0,Africa,15110,Individual,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,10050,0,WGM Sub-Saharan Africa,0.2,Canadian Non-Profit Making,S4249,0,TD,0,Africa,15111,Governmental,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,1003347,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4249,0,TD,0,Africa,15111,Civil Society,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,Information not available,0,WGM Sub-Saharan Africa,0.2,Canadian Profit Making,S4249,0,TD,0,Africa,15111,Individual,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,10050,0,WGM Sub-Saharan Africa,0.2,Canadian Non-Profit Making,S4249,0,TD,0,Africa,15150,Governmental,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,1003347,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4249,0,TD,0,Africa,15150,Civil Society,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,Information not available,0,WGM Sub-Saharan Africa,0.2,Canadian Profit Making,S4249,0,TD,0,Africa,15150,Individual,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,10050,0,WGM Sub-Saharan Africa,0.2,Canadian Non-Profit Making,S4249,0,TD,0,Africa,43030,Governmental,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,1003347,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4249,0,TD,0,Africa,43030,Civil Society,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Middle Africa,Information not available,0,WGM Sub-Saharan Africa,0.2,Canadian Profit Making,S4249,0,TD,0,Africa,43030,Individual,D4207,A032226001,Closed,3867664.46,B4200,WWD West & Central Africa,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,3867664.46,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Mozambique,10050,0,WGM Sub-Saharan Africa,1.0,Canadian Non-Profit Making,S4271,2,MZ,0,Africa,13040,Governmental,D4270,A032227001,Closed,7705752.58,B4200,WED Southern & Eastern Africa,Mozambique Program,0,4274,Mozambique,7705752.58,0.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,Sectoral budget support,0
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,TD,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,TD,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,TD,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,TD,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,CD,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,CD,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,CD,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,CD,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,CF,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,CF,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,CF,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,CF,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,CG,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,CG,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,CG,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,CG,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,GA,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,GA,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,GA,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,GA,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,GQ,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,GQ,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,GQ,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,GQ,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,ST,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,ST,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,ST,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,ST,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,CM,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,CM,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,CM,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Middle Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,CM,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,MW,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,MW,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,MW,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,MW,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,MZ,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,MZ,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,MZ,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,MZ,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,ZM,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,ZM,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,ZM,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,ZM,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,ZW,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,ZW,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,ZW,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,ZW,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,BI,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,BI,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,BI,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,BI,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,DJ,0,Africa,31120,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.2,Foreign Non-Profit Making,S4281,0,DJ,0,Africa,31181,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.6,Foreign Non-Profit Making,S4281,0,DJ,0,Africa,31182,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Eastern Africa,1009855,0,WGM Sub-Saharan Africa,0.1,Foreign Non-Profit Making,S4281,0,DJ,0,Africa,31191,Multilateral,D4270,A032229002,Closed,24100562.0,B4200,WED Southern & Eastern Africa,"AHSI, Extractives, Special Initiatives",1,4315,Canada Fund for Africa Secretariat,24100562.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
