assay_type,assay_cell_type,cell_id,assay_test_type,assay_category,tissue_id,assay_strain,confidence_score,assay_tax_id,tid,src_id,curated_by,src_assay_id,variant_id,assay_id,assay_subcellular_fraction,doc_id,relationship_type,chembl_id,bao_format,assay_tissue,description,assay_organism
B,,,,,,,4,,104686,1,Autocuration,,,2151,,11702,H,CHEMBL617232,BAO_0000224,,Compound was tested for the inhibition of quipazine binding at 5-HT2 receptor,
B,,,,,,,4,,104686,1,Autocuration,,,2152,,11702,H,CHEMBL617233,BAO_0000224,,Compound was tested for the inhibition of quipazine binding at 5-hydroxytryptamine 2 receptor,
B,,,,,,,4,,104686,1,Autocuration,,,2153,,11702,H,CHEMBL617234,BAO_0000224,,Compound was tested for the inhibition of quipazine binding at 5-hydroxytryptamine 2 receptor; NT=Not tested,
F,,,,,,,4,,104686,1,Autocuration,,,2154,,11702,H,CHEMBL617235,BAO_0000019,,Compound was tested for the inhibition of quipazine induced head twitches in rats,
F,,,,,,,4,,104686,1,Autocuration,,,2155,,11702,H,CHEMBL617236,BAO_0000019,,Compound was tested for the inhibition of quipazine induced head twitches in rats; NT=Not tested,
B,,,,,10000000.0,,4,,104686,1,Autocuration,,,2156,,10085,H,CHEMBL617237,BAO_0000221,Hippocampus,Ability to bind at 5-hydroxytryptamine 2 receptor of rat hippocampus by displacing [3H]spiperone,
B,,,,,10000000.0,,4,,104686,1,Autocuration,,,2157,,10085,H,CHEMBL617238,BAO_0000221,Hippocampus,Ability to bind at serotonin 5-hydroxytryptamine 2 receptors of rat hippocampus by displacing [3H]spiperone,
B,,,,,955.0,,5,10116.0,104686,1,Autocuration,,,2158,,9630,D,CHEMBL617239,BAO_0000221,Brain,Displacement of [3H]spiroperidol from 5-hydroxytryptamine 2 receptor in rat brain,Rattus norvegicus
B,,,,,,,4,,104686,1,Autocuration,,,2159,,11070,H,CHEMBL617240,BAO_0000019,,Ability to inhibit binding of [3H]KET to 5-hydroxytryptamine 2 receptor in rat cortex,
B,,,,,,,4,,104686,1,Autocuration,,,2160,Membranes,9841,H,CHEMBL617241,BAO_0000249,,Ability to inhibit binding of titreated spiperone to 5-hydroxytryptamine 2 receptor in rat brain frontal cortex membranes,
B,,,,,,,4,,104686,1,Autocuration,,,2161,Membranes,9841,H,CHEMBL875907,BAO_0000249,,Ability to inhibit binding of titreated spiperone to the 5-hydroxytryptamine 2 receptor in rat brain frontal cortex membranes,
B,,,,,,,4,,104686,1,Autocuration,,,2162,,13291,H,CHEMBL617242,BAO_0000019,,Affinity for 5-hydroxytryptamine 2 receptor binding sites by its ability to displace [3H]spiperone from rat frontal cortex.,
F,,,,,,,4,,104686,1,Autocuration,,,2163,,10590,H,CHEMBL617152,BAO_0000019,,Antagonistic activity against 5-hydroxytryptamine 2 receptor on rat frontal cortex membrane.,
B,,,,,955.0,,5,10116.0,104686,1,Autocuration,,,2164,,9064,D,CHEMBL617153,BAO_0000221,Brain,Binding affinity against serotonin-2 receptor in rat brain using [3H]spiroperidol,Rattus norvegicus
B,,,,,,,5,10116.0,104686,1,Autocuration,,,2165,Membranes,12268,D,CHEMBL617154,BAO_0000249,,Binding affinity at 5-hydroxytryptamine 2 receptor by the inhibition of binding to [3H]ketanserin in rat cortical membranes,Rattus norvegicus
B,,,,,955.0,,4,,104686,1,Autocuration,,,2166,,13508,H,CHEMBL617155,BAO_0000221,Brain,Binding affinity against 5-hydroxytryptamine 2 receptor in rat brain using [3H]ketanserin as radioligand,
F,,,,,,,4,,104686,1,Autocuration,,,2167,,11279,H,CHEMBL617156,BAO_0000019,,5-hydroxytryptamine 2 receptor antagonistic activity on the rat tail artery determined by Schild plot.,
F,,,,,,,4,,104686,1,Autocuration,,,2168,,11200,H,CHEMBL617157,BAO_0000019,,In vitro antagonistic activity against the contraction induced by 5-HT through 5-HT2 receptor in rat thoracic aortic strips,
F,,,,,,,4,,104686,1,Autocuration,,,2169,,11200,H,CHEMBL617158,BAO_0000019,,In vitro antagonistic activity tested against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,
F,,,,,,,4,,104686,1,Autocuration,,,2170,,11200,H,CHEMBL617159,BAO_0000019,,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips; NC=non competitive antagonism,
F,,,,,,,4,,104686,1,Autocuration,,,2171,,11200,H,CHEMBL617160,BAO_0000019,,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips; NC=non competitive antagonism,
F,,,,,,,4,,104686,1,Autocuration,,,2172,,11200,H,CHEMBL858113,BAO_0000019,,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,
B,,,,,955.0,,4,,104686,1,Autocuration,,,2173,,9231,H,CHEMBL617247,BAO_0000220,Brain,Tested for 5-hydroxytryptamine 2 receptor binding ability by displacement of [3H]spiperone from rat brain frontal cortex synaptosomes,
B,,,,,,,4,,104686,1,Autocuration,,,2174,,9737,H,CHEMBL617248,BAO_0000019,,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat frontal cortex using [3H]ketanserin as radioligand,
B,,,,,955.0,,4,,104686,1,Autocuration,,,2175,,9737,H,CHEMBL617249,BAO_0000249,Brain,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat brain membrane using [3H]8-OH-DPAT as a selective ligand.,
B,,,,,,,4,,104686,1,Autocuration,,,2176,,9737,H,CHEMBL617250,BAO_0000019,,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat frontal cortex,
B,,,,,,,4,,104686,1,Autocuration,,,2177,,9737,H,CHEMBL617251,BAO_0000019,,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat frontal cortex using [3H]ketanserin as radioligand,
B,,,,,,,5,10116.0,104686,1,Autocuration,,,2178,,11828,D,CHEMBL617252,BAO_0000019,,isplacement of [3H]DOB from rat cortex homogenate 5-hydroxytryptamine 2 receptor,Rattus norvegicus
B,,,,,,,4,,104686,1,Autocuration,,,2179,,12253,H,CHEMBL617006,BAO_0000019,,Binding affinity of 5-hydroxytryptamine 2 receptor using [3H]- ketanserin in rat frontal cortex,
B,,,,,,,4,,104686,1,Autocuration,,,2180,,12253,H,CHEMBL617007,BAO_0000019,,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ketanserin in rat frontal cortex,
F,,,,,,,4,,104686,1,Autocuration,,,2181,,11279,H,CHEMBL617008,BAO_0000019,,"5-hydroxytryptamine 2 receptor antagonistic activity at concentrations of<br>3,10 and 30 uM on the rat tail artery.",
B,,,,,,,4,,104686,1,Autocuration,,,2182,,11866,H,CHEMBL617009,BAO_0000019,,Binding affinity for 5-hydroxytryptamine 2 receptor in rat cortex using [3H]- ketanserin,
B,,,,,,,5,10116.0,104686,1,Autocuration,,,2183,,14424,D,CHEMBL617010,BAO_0000224,,Binding affinity against 5-hydroxytryptamine 2 receptor in serotonin-induced contraction of the rat aorta,Rattus norvegicus
B,,,,,,,5,10116.0,104686,1,Autocuration,,,2184,,15180,D,CHEMBL857978,BAO_0000019,,Displacement of [3H]ketanserin from rat brain 5-hydroxytryptamine 2 receptor,Rattus norvegicus
B,,,,,,,5,10116.0,104686,1,Autocuration,,,2185,,15180,D,CHEMBL617011,BAO_0000019,,Displacement of [3H]ketanserin from rat brain 5-hydroxytryptamine 2 receptor,Rattus norvegicus
B,,,,,,,5,10116.0,104686,1,Autocuration,,,2186,,9786,D,CHEMBL617012,BAO_0000019,,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor of rat frontal cortex homogenate,Rattus norvegicus
B,,,,,,,4,,104686,1,Autocuration,,,2187,,12132,H,CHEMBL617013,BAO_0000224,,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]-ketanserin as radioligand.,
B,,,,,,,4,,104686,1,Autocuration,,,2188,,5486,H,CHEMBL617014,BAO_0000249,,Binding affinity towards 5-hydroxytryptamine 2 receptor by the displacement of [3H]ketanserin in rat cerebral cortex membrane,
B,,,,,,,4,,104686,1,Autocuration,,,2189,,15316,H,CHEMBL617015,BAO_0000019,,Compound was evaluated for its ability to displace [3H]ketanserin binding from cloned rat cerebral cortex membranes 5-hydroxytryptamine 2 receptor,
B,,,,,,,4,,104686,1,Autocuration,,,2190,,16429,H,CHEMBL617016,BAO_0000019,,In vitro binding affinity to 5-hydroxytryptamine 2 receptor of rat cerebral cortex membranes using [3H]ketanserin as the radioligand,
B,,,,,,,4,,104686,1,Autocuration,,,2191,,14617,H,CHEMBL617017,BAO_0000224,,pKi value for 5-hydroxytryptamine 2 receptor binding site,
B,,,,,955.0,,4,,104686,1,Autocuration,,,2192,,11351,H,CHEMBL617018,BAO_0000221,Brain,Inhibitory constant (1 uM) was measured on 5-hydroxytryptamine 2 receptor/uptake using [3H]- ketanserin as radioligand in rat brain cortex.,
F,,,,,,,4,,104686,1,Autocuration,,,2193,,11279,H,CHEMBL617019,BAO_0000019,,5-hydroxytryptamine 2 receptor antagonistic activity on the rat tail artery determined by Schild plot.,
B,,,,,,,4,,105075,1,Autocuration,,,2194,,9523,H,CHEMBL617020,BAO_0000019,,Binding affinity at 5-hydroxytryptamine 2 receptor determined using [125I]- DOI as radioligand in rat frontal cortex,
B,,,,,,,4,,105075,1,Autocuration,,,2195,,9523,H,CHEMBL617021,BAO_0000019,,Binding affinity at 5-hydroxytryptamine 2 receptor was determined using [125I]- DOI as radioligand in rat frontal cortex,
B,,,,,,,4,,105075,1,Autocuration,,,2196,,9523,H,CHEMBL617022,BAO_0000019,,Binding affinity at [3H]DOB labeled sites of 5-hydroxytryptamine 2 receptor determined using [125I]- DOI as radioligand in rat frontal cortex,
B,,,,,,,4,,105075,1,Autocuration,,,2197,,9523,H,CHEMBL617023,BAO_0000019,,Binding affinity at [3H]DOB labeled sites of 5-hydroxytryptamine 2 receptor was determined using [125I]- DOI as radioligand in rat frontal cortex,
B,,,,,,,4,,105075,1,Autocuration,,,2198,,9523,H,CHEMBL617024,BAO_0000019,,Binding affinity at [3H]KET labeled sites of 5-hydroxytryptamine 2 receptor determined using [125I]- DOI as radioligand in rat frontal cortex,
B,,,,,,,4,,105075,1,Autocuration,,,2199,,9523,H,CHEMBL617025,BAO_0000019,,Binding affinity at [3H]KET labeled sites of 5-hydroxytryptamine 2 receptor was determined using [125I]- DOI as radioligand in rat frontal cortex,
B,,,,,,,4,,105075,1,Autocuration,,,2200,,9523,H,CHEMBL617026,BAO_0000224,,Hill coefficient of compound was determined,
B,,,,,,,0,,22226,1,Autocuration,,,2201,,4771,U,CHEMBL617027,BAO_0000019,,Ancillary Binding affinity towards rat 5-hydroxytryptamine 2 receptor,
B,,,,,,,5,10116.0,104686,1,Autocuration,,,2202,,5033,D,CHEMBL617028,BAO_0000019,,Ability to displace the radioligand [3H]5-carboximidotryptamine ([3H]-ketanserin) from 5-hydroxytryptamine 2 receptor of rat cerebral cortex membrane,Rattus norvegicus
B,,,,,,,8,,12687,1,Expert,,,2203,,10845,H,CHEMBL617029,BAO_0000019,,Binding affinity against rat 5-hydroxytryptamine 2 receptor in rat cerebral cortex tissue using [3H]spiperone as radioligand,
B,,,,,,,8,,12687,1,Expert,,,2204,,10845,H,CHEMBL875908,BAO_0000019,,Binding affinity against rat 5-hydroxytryptamine 2 receptor in rat cerebral cortex tissue using [3H]spiperone as radioligand; IA-Inactive,
B,,,,,,,8,,12687,1,Autocuration,,,2205,,16288,H,CHEMBL617030,BAO_0000357,,Affinity at 5-hydroxytryptamine 2 receptor (For ketanserin = Ki(nM)= 0.7+/-0.09),
B,,,,,,,8,,12687,1,Autocuration,,,2206,,16288,H,CHEMBL617031,BAO_0000019,,Affinity at 5-hydroxytryptamine 2 receptor from rat frontal cortex using [3H]ketanserin as radioligand (For ketanserin = Ki(nM)=0.7+/-0.09),
B,,,,,,,8,,12687,1,Autocuration,,,2207,,16190,H,CHEMBL617032,BAO_0000019,,Binding affinity for 5-hydroxytryptamine 2 receptor of rat cortical membrane using [3H]DOB radioligand,
B,,,,,,,5,10116.0,104686,1,Autocuration,,,2208,,12463,D,CHEMBL617033,BAO_0000224,,Tested in vitro for receptor binding affinity against 5-hydroxytryptamine 2 receptor using radioligand [3H]ketanserin,Rattus norvegicus
B,,,,,,,4,,104686,1,Autocuration,,,2209,,9699,H,CHEMBL617034,BAO_0000224,,"Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- 1-(4-bromo-2,5-dimethoxy-phenyl)-2-aminopropane (D) as radioligand",
B,,,,,,,4,,104686,1,Autocuration,,,2210,,9699,H,CHEMBL617035,BAO_0000224,,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- ketanserin as radioligand,
B,,,,,,,4,,104686,1,Autocuration,,,2211,,11662,H,CHEMBL617036,BAO_0000019,,"Compound was tested for binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]ketanserin as radioligand; Not Determined",
B,,,,,,,4,,104784,1,Autocuration,,,2212,,1205,H,CHEMBL617037,BAO_0000224,,Inhibitory concentration against 5-hydroxytryptamine 2 receptor,
B,,,,,,,0,,22226,1,Autocuration,,,2213,,11376,U,CHEMBL617038,BAO_0000219,,Compound was evaluated for the binding affinity towards 5-hydroxytryptamine 2 receptor from mammalian clones expressed in CHO cell membranes using [3H]-ketanserin as radioligand,
B,,,,,,,4,,104784,1,Autocuration,,,2214,,11376,H,CHEMBL617039,BAO_0000219,,"Binding affinity towards 5-hydroxytryptamine 2 receptor expressed in CHO cell membranes using [3H]ketanserin (60 Ci/mmol, 1 nM)",
B,,,,,,,4,,104784,1,Autocuration,,,2215,,4639,H,CHEMBL617161,BAO_0000224,,Compound was tested for binding affinity against 5-hydroxytryptamine 2 receptor,
B,,,,,,,4,,104784,1,Autocuration,,,2216,,2222,H,CHEMBL617162,BAO_0000224,,Compound was tested for inhibitory activity against 5-hydroxytryptamine 2 receptor,
B,,,,,,,4,,104784,1,Autocuration,,,2217,,1558,H,CHEMBL617163,BAO_0000224,,Compound was tested for its affinity towards 5-hydroxytryptamine 2 receptor,
B,,,,,,,4,,104784,1,Autocuration,,,2218,,1089,H,CHEMBL617164,BAO_0000224,,Tested for binding affinity for 5-hydroxytryptamine 2 receptor,
B,,,,,,,4,,104784,1,Autocuration,,,2219,Brain membranes,386,H,CHEMBL617165,BAO_0000249,,The compound was evaluated for its ability to displace [3H]ketanserin from 5-hydroxytryptamine 2 receptor in cellular brain membranes,
B,,,,,,,4,,104784,1,Autocuration,,,2220,,2474,H,CHEMBL617166,BAO_0000224,,Compound was measured for its binding affinity at 5-hydroxytryptamine 2 receptor at a concentration of 10 uM using [3H]ketanserin as radioligand,
B,,,,,,,4,,104784,1,Autocuration,,,2221,,17066,H,CHEMBL617167,BAO_0000224,,Binding affinity towards 5-HT2 receptor,
B,,,,,,,4,,104784,1,Autocuration,,,2222,,959,H,CHEMBL872912,BAO_0000224,,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor,
B,,,,,,,4,,104784,1,Autocuration,,,2223,,6398,H,CHEMBL617168,BAO_0000224,,Compound was evaluated for 5-hydroxytryptamine 2 receptor binding,
B,,,,,,,4,,104686,1,Autocuration,,,2224,,11889,H,CHEMBL617169,BAO_0000224,,In vitro binding affinity against rat 5-hydroxytryptamine 2 receptor.,
B,,,,,,,4,,104784,1,Autocuration,,,2225,,4221,H,CHEMBL617170,BAO_0000224,,In vitro binding affinity for 5-hydroxytryptamine 2 receptor,
B,,,,,,,4,,104784,1,Autocuration,,,2226,,11026,H,CHEMBL617171,BAO_0000224,,The compound was tested for binding affinity against 5-hydroxytryptamine 2 receptor using ketanserin as radioligand,
B,,,,,,,4,,104784,1,Autocuration,,,2227,,11866,H,CHEMBL617172,BAO_0000224,,Binding affinity for 5-hydroxytryptamine 2 receptor was determined,
B,,,,,,,4,,104784,1,Autocuration,,,2228,,4221,H,CHEMBL617173,BAO_0000224,,In vitro binding affinity for 5-hydroxytryptamine 2 receptor,
B,,,,,,,0,,22226,1,Autocuration,,,2229,,13950,U,CHEMBL617174,BAO_0000019,,In Vitro binding affinity for 5-hydroxytryptamine 2 receptor,
B,,,,,,,4,,104784,1,Autocuration,,,2230,,1263,H,CHEMBL617175,BAO_0000224,,5-hydroxytryptamine 2 receptor binding affinity,
B,,,,,,,8,,17005,1,Autocuration,,,2231,,13291,H,CHEMBL617176,BAO_0000357,,Binding affinity against 5-hydroxytryptamine 2 receptor was determined using [ [3H]spiperone radioligand,
B,,,,,,,8,,17005,1,Autocuration,,,2232,,10812,H,CHEMBL617177,BAO_0000357,,Compound was tested for the binding affinity against 5-hydroxytryptamine 2 receptor by using [3H]ketanserin as radioligand,
B,,,,,,,4,,104784,1,Autocuration,,,2233,,13020,H,CHEMBL617178,BAO_0000224,,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor at 10e-5 M,
B,,,,,,,4,,104784,1,Autocuration,,,2234,,13021,H,CHEMBL617179,BAO_0000224,,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor of central nervous system,
B,,,,,,,4,,104784,1,Autocuration,,,2235,,13020,H,CHEMBL617180,BAO_0000224,,Ketanserin binding to 5-hydroxytryptamine 2 receptor at 10e-5 M,
B,,,,,,,8,,17005,1,Autocuration,,,2236,,14532,H,CHEMBL617181,BAO_0000357,,Inhibitory activity against 5-hydroxytryptamine 2 receptor using [3H]-ketanserin as radioligand at 10e-5 M concentration,
B,,,,,,,8,,17005,1,Autocuration,,,2237,,13944,H,CHEMBL617182,BAO_0000357,,Binding affinity against 5-hydroxytryptamine 2 receptor,
B,,,,,,,8,,17005,1,Autocuration,,,2238,,14331,H,CHEMBL617183,BAO_0000357,,Binding affinity against 5-hydroxytryptamine 2 receptor,
B,,,,,,,8,,17005,1,Autocuration,,,2239,,14118,H,CHEMBL617184,BAO_0000357,,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand,
B,,,,,,,8,,17005,1,Autocuration,,,2240,,13033,H,CHEMBL617185,BAO_0000357,,Binding affinity against serotonergic 5-HT2 receptor,
B,,,,,,,8,,17005,1,Autocuration,,,2241,,10321,H,CHEMBL617186,BAO_0000357,,Binding affinity for 5-hydroxytryptamine 2 receptor was determined by using [3H]ketanserin as radioligand,
B,,,,,,,8,,17005,1,Autocuration,,,2242,,12918,H,CHEMBL617187,BAO_0000357,,Compound was evaluated for the binding affinity at 5- HT2 receptor,
B,,,,,,,8,,17005,1,Autocuration,,,2243,,15120,H,CHEMBL617188,BAO_0000357,,Compound was tested for binding affinity using [3H]ketanserin against 5-hydroxytryptamine 2 receptor,
B,,,,,,,8,,17005,1,Autocuration,,,2244,,2613,H,CHEMBL617189,BAO_0000218,,In vivo binding affinity was evaluated against 5-hydroxytryptamine 2 receptor,
B,,,,,,,5,9606.0,104784,1,Autocuration,,,2245,,13378,D,CHEMBL617190,BAO_0000224,,Inhibitory activity against cloned human 5-HT2 receptor,Homo sapiens
B,CHO,449.0,,,,,5,9606.0,104784,1,Autocuration,,,2246,,2331,D,CHEMBL617191,BAO_0000219,,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells",Homo sapiens
B,CHO,449.0,,,,,5,9606.0,104784,1,Autocuration,,,2247,,2331,D,CHEMBL617192,BAO_0000219,,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells.",Homo sapiens
B,CHO,449.0,,,,,5,9606.0,104784,1,Autocuration,,,2248,,2331,D,CHEMBL617193,BAO_0000219,,"Tested in vitro for the inhibition of [3H]-ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells; Inactive",Homo sapiens
B,CHO,449.0,,,,,5,9606.0,104784,1,Autocuration,,,2249,,2331,D,CHEMBL617194,BAO_0000219,,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells; not tested",Homo sapiens
B,,,,,,,4,,104784,1,Autocuration,,,2250,,4170,H,CHEMBL617195,BAO_0000224,,Binding affinity towards 5-hydroxytryptamine 2 receptor,
B,,,,,,,4,,104784,1,Autocuration,,,2251,,15453,H,CHEMBL881830,BAO_0000224,,Percent decrease in 5-hydroxytryptamine 2 receptor binding using ketanserin,
B,,,,,,,8,,17005,1,Autocuration,,,2252,,1479,H,CHEMBL617196,BAO_0000357,,Binding affinity towards 5-hydroxytryptamine 2 receptor,
B,,,,,,,4,,104686,1,Autocuration,,,2253,,11139,H,CHEMBL617197,BAO_0000224,,Binding affinity towards 5-hydroxytryptamine 2- receptor using [3H]ketanserin as radioligand in competitive binding assay,
B,,,,,,,8,,17005,1,Expert,,,2254,,13969,H,CHEMBL617198,BAO_0000357,,Binding affinity against 5-hydroxytryptamine 2A receptor was measured using [3H]ketanserin as radioligand,
B,,,,,,,8,,17005,1,Expert,,,2255,,13392,H,CHEMBL873476,BAO_0000357,,Binding affinity towards 5-hydroxytryptamine 2A receptor,
B,,,,,,,8,,17005,1,Expert,,,2256,,14430,H,CHEMBL617199,BAO_0000019,,Affinity towards 5-hydroxytryptamine 2A receptor in membranes from bovine frontal cortex using [3H]ketanserin,
B,,,,,,,8,10141.0,107,1,Autocuration,,,2257,,13181,H,CHEMBL617200,BAO_0000357,,Binding affinity was determined against 5-hydroxytryptamine 2A receptor,Cavia porcellus
B,,,,,,,8,,51,1,Autocuration,,,2258,,17200,H,CHEMBL617484,BAO_0000357,,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,
B,,,,,,,8,,107,1,Autocuration,,,2259,,17200,H,CHEMBL617485,BAO_0000357,,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,
B,,,,,,,8,,51,1,Autocuration,,,2260,,17200,H,CHEMBL617486,BAO_0000357,,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,
B,,,,,,,8,,107,1,Autocuration,,,2261,,13463,H,CHEMBL858022,BAO_0000357,,Binding affinity analysed on 5-HT 2A human clone using [3H]ketanserin as radioligand,
B,CHO,449.0,,,,,8,,107,1,Autocuration,,,2262,,6347,H,CHEMBL617049,BAO_0000219,,Effective concentration against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand,
F,CHO,449.0,,,,,9,9606.0,107,1,Expert,,,2263,,6857,D,CHEMBL617050,BAO_0000219,,Functional activity against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader,Homo sapiens
F,,,,,,,8,,107,1,Autocuration,,,2264,,4176,H,CHEMBL617051,BAO_0000219,,Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line,
F,,,,,,,8,,107,1,Autocuration,,,2265,,4176,H,CHEMBL617052,BAO_0000219,,Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line; no data,
F,,,,,,,8,,107,1,Autocuration,,,2266,,4176,H,CHEMBL617053,BAO_0000219,,Functional antagonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line,
B,CHO,449.0,,,,,8,,107,1,Autocuration,,,2267,,6347,H,CHEMBL617054,BAO_0000219,,"Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand, expressed as Emax",
B,CHO,449.0,,,,,8,,107,1,Autocuration,,,2268,,6347,H,CHEMBL617055,BAO_0000219,,"Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells, expressed as Emax",
B,,,,,,,8,,107,1,Autocuration,,,2269,,15331,H,CHEMBL882924,BAO_0000357,,Affinity of compound towards human 5-hydroxytryptamine 2A receptor was evaluated using radioligand binding technique,
B,,,,,,,9,9606.0,107,1,Expert,,,2270,,16146,D,CHEMBL617056,BAO_0000357,,Inhibition of human 5-hydroxytryptamine 2A receptor,Homo sapiens
B,CHO,449.0,,,,,8,,107,1,Autocuration,,,2271,,15250,H,CHEMBL617057,BAO_0000219,,Compound was tested for the displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,
B,,,,,,,8,,107,1,Expert,,,2272,,13631,H,CHEMBL617058,BAO_0000219,,Inhibitory concentration against human 5-HT2A receptor in BEK cells,
B,,,,,,,8,,107,1,Autocuration,,,2273,,3805,H,CHEMBL617059,BAO_0000357,,In vitro binding affinity against human 5-hydroxytryptamine 2A receptor at a concentration of 100 (nM),
B,CHO,449.0,,,,,8,,107,1,Autocuration,,,2274,,4011,H,CHEMBL617060,BAO_0000219,,Ability to displace [3H]ketanserin from CHO cells expressing human 5-hydroxytryptamine 2A receptor was determined,
B,CHO,449.0,,,,,8,,107,1,Expert,,,2275,,4012,H,CHEMBL617061,BAO_0000219,,Displacement of [3H]ketanserin from CHO cells expressing human 5-hydroxytryptamine 2A receptor.,
B,L929,307.0,,,,,8,,107,1,Expert,,,2276,,6366,H,CHEMBL617062,BAO_0000219,,Ability to displace [125I]R91150 from human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells,
B,CHO,449.0,,,,,8,,107,1,Expert,,,2277,,15949,H,CHEMBL617063,BAO_0000219,,Ability to displace [3H]ketanserin binding to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,
F,,,,,,,8,,107,1,Autocuration,,,2278,,14093,H,CHEMBL617064,BAO_0000019,,Agonist activity at cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI radioligand,
F,,,,,,,8,,107,1,Autocuration,,,2279,,13481,H,CHEMBL617065,BAO_0000019,,Agonistic activity at cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,
B,CHO,449.0,,,,,8,,107,1,Autocuration,,,2280,,6347,H,CHEMBL617066,BAO_0000219,,Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand,
B,CHO,449.0,,,,,8,,107,1,Autocuration,,,2281,,6347,H,CHEMBL617067,BAO_0000219,,Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand; Nd means not done,
F,,,,,,,8,,107,1,Autocuration,,,2282,,14093,H,CHEMBL617068,BAO_0000019,,Antagonist activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]-Ketanserin radioligand,
F,,,,,,,8,,107,1,Autocuration,,,2283,,14093,H,CHEMBL617069,BAO_0000019,,Antagonist activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin radioligand; Not tested,
F,,,,,,,8,,107,1,Autocuration,,,2284,,13481,H,CHEMBL617070,BAO_0000019,,Antagonistic activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,
B,,,,,,,8,,107,1,Autocuration,,,2285,,14442,H,CHEMBL617071,BAO_0000357,,Binding ability of compound at cloned human 5-hydroxytryptamine 2A receptor using [125 I]DOI as radioligand,
B,,,,,,,8,,107,1,Autocuration,,,2286,,14442,H,CHEMBL872915,BAO_0000357,,Binding ability of compound at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,
B,,,,,,,8,,107,1,Autocuration,,,2287,,14755,H,CHEMBL617072,BAO_0000357,,Binding activity against cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as the radioligand.,
B,,,,,,,8,,107,1,Autocuration,,,2288,,16441,H,CHEMBL617073,BAO_0000357,,Binding affinity against 5-hydroxytryptamine 2A receptor in humans,
