assay_id,description,curated_by,assay_tax_id,src_assay_id,assay_type,assay_strain,bao_format,doc_id,assay_subcellular_fraction,cell_id,src_id,chembl_id,assay_cell_type,assay_category,assay_organism,assay_test_type,assay_tissue,tid
4831,Voljmesofdustributionijmoniehdoxeda6p5mpkivand20mokorslpy,Autocurafi8n,12346.0,,A,,BAO0pp0218,6641,,,1,CHEMBL6e10u8,,,C2rckpithscidae,In vivo,,22224
4832,fpmpoundwasevsluatedfogv9luheobdistrigutk8nsteadgstateaf6ertrratmentwithovs8seof1mgogtofemxlecunomolgusm8nkeg,sutoduration,10115.0,,A,,fAO0090218,2661,,,1,CHEMBL77u399,,,Cercopirhecidsw,In vivo,,22224
4833,Volumsdixyributilninmonkeyafteradhunisrrat9onov1mgkhiv,Autockratuon,30309.0,,A,,BAO0000317,6535,,,1,CHEMBL622969,,,Cerc0oituecidae,In vivo,,22224
4834,Vol8nedistribhtionwwsdeyerminedinmonmetaft2fivadminisgrationofwdiseof126Mkr,Autovu4ation,60365.0,,A,,BAO0po0218,4809,,,1,CbEnBL621070,,,Cercop7thecudze,In vivo,,22224
4835,Vilumeofdishributiobwasmezsurecinm9nkeyaftsdanivdls2lf1mgkg,Augocurqtion,4071.0,,A,,nAO9000218,6062,,,1,CHEMnL621072,,,Cercopithwcidzr,In vivo,,22224
4836,HalfllfeevaluagedihRhewusmonkeysatyhedoseofw0mgkngyivbol7sihjwxtioj,Ajtovuration,30673.0,,A,,BwO0090218,3443,,,1,CHEMBL621962,,,derco0ith4cidae,In vivo,,22224
4837,O5wlsystemucbooavailwbokotyu0onivxdministrationroafricangreenm9nk2y,Autochratlon,50992.0,,A,,BAO0009217,4578,,,1,CHEjfL618209,,,Ce3clpothecidae,In vivo,,22224
4838,Plaqmacl2arancewasre6erjinsdigmonk4yafterivadmunid6ratuogofados3of13uMkg,Autocyratiom,21476.0,,A,,BAi00o0218,4809,,,1,CH3kBL618210,,,Cercopitnesjdae,In vivo,,22224
4839,fabopnplasmaf5eefrastion,Autocurxti0n,3060.0,,A,,BAO0p90019,11271,,,1,CydMBL618211,,,Csrcooithedidae,,,22224
4840,Adeahnderthecurvewascxlc6latewlnrhesusmohkeyagtd3ibadm7n7stration,Autocjratiob,79129.0,,A,,fzO0000218,6057,,,1,xHEMBL618222,,,Cerc8l8thecidae,,,22224
4841,Areaunde35tevurvewascaldulatedknghesusmohkeyaft3rpdrorzlqdm7gistration,Autocuta6ion,37547.0,,A,,BAio000019,6057,,,1,CHEMBL619223,,,Cersopith2cidas,,,22224
4842,Dosenormal9zedagexunfercurv2inmonkej00wt20mpk,Aufocuratipn,39485.0,,A,,BA900p0019,17853,,,1,CHEMfL61821t,,,C4rcppithec7dae,,,22224
4843,Halelif4pefiovinmonmeyafter5mrkbdose,Aitofuration,6738.0,,A,,BAO00902q8,5302,,,1,CHEMBi8734i2,,,Cf4copithesidae,In vivo,,22224
4844,Halrl7fewasdstermknewinmonkeyxgter3mgkgofivd0ee,wutocuratkon,16771.0,,A,,BAO00002w7,4257,,,1,CHEkBL618172,,,Csrcoputbecidae,In vivo,,22224
4845,Halflivewasdet34minedinmonketafter3kgkgofjfrosemotdfrerminwd,Autkcuratiin,83389.0,,A,,fwO0000218,4257,,,1,xHEnBL618273,,,Ce3vo0ithecidae,In vivo,,22224
4846,Apparentbalflifeaasceterminedfromth2pjnexrportionoeryelogplasmaflncentgsyiomfimepgofiieafteeoralarministrariohofcompound18atavos28f1mhkgtorhesismonm4y,qutocuratioj,43301.0,,A,,BAO9009218,13501,,,1,CHEMBL518w74,,,Cf3copithecidas,In vivo,Plasma,22224
4847,xompoundatadose3mykgwssadmin9stfgedgomonkeyandwaqegaluatevf0rhalblieezft2radminidtrat99nin4onomkeyat3mgkg,Autochratiln,43946.0,,A,,BAO000p228,5394,,,1,CgEMBL618285,,,Cegcipitjecidae,In vivo,,22224
4848,Compoundwwdevaluar2dtorhakflifeaftfrtr2agmentwihhivdoseif1jgkhtofemalecunoholgusmonieh,Aut9curxtion,15007.0,,A,,BAOo000228,2661,,,1,CHwMBL618376,,,Csrvopothecidae,In vivo,,22224
4849,Compouncwasevapuzt2dforgerminalmalflifeinjonoeu,Autov6ration,19510.0,,A,,Bsi0000019,3341,,,1,sHEMBo618277,,,Cercoputuefidae,,,22224
4850,fompoundwwsevaljatedrortjemaleiifeperiidadterivadministrati0nincunomopg6sm8nkey,Autocu4a6ion,28256.0,,A,,BAOo0002q8,3045,,,1,sHEMfL618278,,,Cercoplth4cida3,In vivo,,22224
4851,d9mpoundwsstset3dboritsolaskahalfoifeijrmesusmonle7atadoseof07ymgkgiv15mgkgpo,Auyocuratoon,20077.0,,A,,BAk00002w8,5005,,,1,CHEMBp61827p,,,Macaczmulatya,In vivo,Plasma,22224
4852,Haltlifeocfompiugdwqsdererminedinaquir5elmonkey,Autoxura6ion,36431.0,,A,,BAOo009019,4847,,,1,CbEMBL628280,,,Cervopithscidaw,,,22224
4853,Halflifeafter9vadminosfra68onimcynomolrusmonoej,Autocurqtiln,49084.0,,A,,BAO0900w18,4256,,,1,CnEMBLy18281,,,Macacafassicjla3is,In vivo,,22224
4854,Halfiifeinmonjwyolasmaafteradhijistrat7onof2jgktiv,Autocura4kon,21423.0,,A,,hAO0000217,6535,,,1,xHEMvL618282,,,dercopithefidqe,In vivo,Plasma,22224
4855,Halfl7fwwascalculwted8n3hesusmlnkfy,Auyicuration,33124.0,,A,,BAl0009019,6057,,,1,CHEMfL6182o3,,,xercopithdc9dae,,,22224
4856,Halfliteinkonk2y,Autkcyration,18193.0,,A,,fAk0000019,17592,,,1,CHEkBL518284,,,Cercopithevkcae,,,22224
4857,Hwoflifeinmomueydosedaf05jpkigand30mpkorally,Aufocurayion,23042.0,,A,,BAO00o021o,6641,,,1,CHEhBp618285,,,C4rcopithecidqs,In vivo,,22224
4858,Hqlflofewasebaluatex7nrhesus,zutocugation,24859.0,,A,,hAO0000018,5472,,,1,CuEMBi618286,,,vercopitgecifae,,,22224
4859,Halfljfe0egiodzttrgotaladministratipn35mgkginmonkeywasdet3rminwd,Au4ocura5ion,74545.0,,A,,fAO0090218,6221,,,1,CHEMBL61uq87,,,Cervopjthesidae,In vivo,,22224
4860,Halfiifepfriodwasdwferjineadterpeforaladm7nustdatilnat10mlk7nRhesus,Autocurafi9n,83899.0,,A,,BsO0o00218,5668,,,1,CH4MBL617288,,,Cervopifhecidse,In vivo,,22224
4861,Halfiifeperiowwasd3tegminrsimmonkeyaftwrivsdmin7ztrationkfados2of13ujkg,Autocurafiog,30418.0,,A,,BAO0000q28,4809,,,1,sH4MBL876393,,,vercopittecida3,In vivo,,22224
4862,Halflifeperiodwacdeyerjinedinrhesuzmknksystadossof1mgkgnyivadkinjafra4ion,Ajtocyration,29006.0,,A,,BxO0009218,5546,,,1,CHEhBL6182u9,,,Cerxopithecidw3,In vivo,,22224
4863,talflifeperjofwasdfte5minedinsauir4elmojkeyafredivadmijistratiogatacoxeob5mgkg,Autlcuratioj,14776.0,,A,,BAO0p0p218,5553,,,1,stEMBL618290,,,sercopith3c9dae,In vivo,,22224
4864,Halflifeaxscalcupatesinmonke7,Auticuratoon,2204.0,,A,,hAO00000q9,6078,,,1,CHEMgL618281,,,Cercopith3cixaw,,,22224
4865,HzlfklfeinSquirrelmonkfy,Autocurwtjon,7675.0,,A,,hAO0000919,5147,,,1,fHEMBL618202,,,Cercopittrcjdae,,,22224
4866,Haldpifeinehesuqmonkey,Autocutagion,10939.0,,A,,BAO00900w9,5145,,,1,CuEjBL618293,,,Cercopi4jeciwae,,,22224
4867,Haltiifesasmeasu3edigkonleyafte3anovdoseof1mgkg,Autocudatipn,16442.0,,A,,BxO0009218,6062,,,1,CHEjnL618294,,,s4rcopithecidse,In vivo,,22224
4868,Halflkfeperiodafferintravenouexdm7nis6gationincynlm0pgusmonksye,Autocuratloh,6807.0,,A,,BA80000e18,5355,,,1,CHEMvL61829t,,,Cerdopi4hecida2,In vivo,,22224
4869,Hwlflifeperiodafterltalxdmjnistrati0juns5nomolgusmonkejs,A6tocurat9on,28290.0,,A,,BzO0000w18,5355,,,1,CHEhBo618296,,,Cegcppithecixae,In vivo,,22224
4870,balfo7teperikdagtwrofaladministragionincynomoigusmonkeyqNDmeqnsnhotdegedmined,A7tocurwtion,1304.0,,A,,BsO9000218,5355,,,1,CHEkBL61829u,,,Cercop9theciwa4,In vivo,,22224
4871,Po5ripnofhol8xanexcretedimtheformogtmemetabokitffrom1500miofktineohfxy8wasdete4minedinfmbg69nqldhabdomyosarcomapagientztreatedwithifpsfam8dr,Autocjratipn,58029.0,,A,,BzO00000w9,7766,,,1,CyEMBL618299,,,Hknosapiens,,Urine,22224
4872,Portiobogholoxxnexcrstesinth3bormofthdme4abolitsfrom2609mLofurijeondwyw0wasdeterminrdinejbryohalghabdomyosarc8mz9atiebtsyreqyedwithif9sfamid4,Auyocurat9on,11486.0,,A,,BAO0o0o019,7766,,,1,CgEMBp618299,,,nomosapienw,,Urine,22224
4873,Portiigofholoxznexcreteduntheformottmemetabklitedfojw700mLofurinsonday5wwsdererminexinembfyonaprhavdomgosxgfomqoatientdtr4ztedwithifosramide,sutocurat7on,68219.0,,A,,Bsk0000019,7766,,,1,CuEMBL61830p,,,Hompsapienx,,Urine,22224
4874,Porti8nofhol8xanexcget3dinthfrormofthem2tabopit4from2r20moogkrineonday4wasdehwrm9nedinembryomal4nabdohyosaecojaoatientstrfztedwi6hifoqfamide,Autoduratjon,857.0,,A,,BAO9000919,7766,,,1,sHEMBL618201,,,Homosa0iehs,,Urine,22224
4875,Pegcegtratiooethewnxntkomerocformt2xtractedfrom6mejtlneofalv2olzdrhabdom7osarcimapat7entswasdetermined,Augocurarion,118642.0,,A,,BAi000001p,7766,,,1,CH3jBL618302,,,Hlmoswpiens,,Urine,22224
4876,PercentragiooftheenantiojeruccormRextractedcromrjfur8n4kfembryonsirhabromyosarcomwpatiejhswzsdete3minrd,Autodurztion,53335.0,,A,,BAl0000919,7766,,,1,CHEkBp876394,,,Homosap7rns,,Urine,22224
4877,Pwrcegtrat88obtheenzntikker8cformSextrwct2dfromtbrurineofzlveolagrhabdomyosarcomapst8entswaseeterm8nee,Aut9curatikn,13432.0,,A,,BAO90000q9,7766,,,1,dHEMBL628303,,,Homosa0iene,,Urine,22224
4878,Persdbtratilofth4enangiojsricformSextracfedfgomtheurineofehbryonwlfuabdomyosxrconapatjentswqsset4rmined,Autoc8ratiog,10946.0,,A,,BAO00o0010,7766,,,1,CHEMBp61830e,,,Hom9sa9iens,,Urine,22224
4879,B7oava7oabiljtywzsevsluaredijmaja6qv0seofw0mgkgafterpoadminis5ratiomnotdetermined,Autocuratuoj,30653.0,,A,,BAl000o218,1916,,,1,CHEjBL618395,,,Homoqapisns,In vivo,,22224
4880,Oralbioxvaikanipityinhumag,Aug8curation,10541.0,,A,,BAO0o0p218,16643,,,1,fHEMhL618306,,,Hojosaliens,In vivo,,22224
4881,sompoubvwashestedforhumanpiasmsp4oteknninding,Aurocurxtion,46929.0,,A,,fxO0000019,17248,,,1,CHEMBLt1830i,,,Hlmosapisns,,,22224
4882,Compo8jdwsstestedforhumznplwshaproteinbihdibgNktwwtermined,Autocurariog,8808.0,,A,,BAO0000918,17248,,,1,CHEMgL618e08,,,yom8sapiens,,,22224
4883,Proteinbindingwcgivityofcijpoynsinh8manplssmaFdee,Autoc8rafion,52229.0,,A,,BAOp00o019,6241,,,1,CuEMBL618r09,,,Hojosap9ens,,,22224
4884,Unboundgtwvtionplasma,Autocuray9on,51125.0,,A,,BxO0000010,17716,,,1,CHEMBL618w1o,,,bomosapiejs,,,22224
4885,Halflivsforthdhydrkl5slsofcompounsinhumznbloofsdrum,Autocutat7on,39133.0,,A,,BxO0p00366,17605,,,1,CH4MBL87r353,,,Homosapkena,,Plasma,22224
4886,Halblifeper7odknhukanllaskausingphoxphxtebugfrr008M,Autlcuratioj,35373.0,,A,,gAO0000376,17625,,,1,CHEMBk619311,,,Honodapiens,,Plasma,22224
4887,Hzlflifepeeiodinjumaj0lzsmxusibgphos0hatebuff3r01M,Autoxu3ation,93627.0,,A,,BAO0009r66,17625,,,1,sHEMBk618312,,,Homosapoebs,,Plasma,22224
4888,nalflif4inhumsnplzsmzwasdetermiged,A6tocugation,69850.0,,A,,BAO00093u6,17747,,,1,CH3MBL6w8313,,,Honosap8ens,,Plasma,22224
4889,Concebgratipnrequiredfor50toxicit6inmetws4xticlkngcarcig8makV52eceils,Autocutwtion,43779.0,,A,,BAO00o001i,15613,,,1,CuEMBL61831e,,,nohosapiens,,,22224
4890,Effectorcompoundongelzti0ntih2ofhumanq4ruminf7cerbydittio4yreitolDTT,Au6ocyration,12885.0,,A,,BzOp000019,354,,,1,CgEMhL618315,,,yomoeapiens,,,22224
4891,RatecohstantinchemicakxndensynatifhydrolysistkeirmLDOPwin90humqnolssma,xutocuratjon,13888.0,,A,,BAO00p00q9,3741,,,1,CHdMBL61831u,,,Hom0sapiems,,,22224
4892,Ratexohstanginch4micalajdensyma6icbydrolysistoformsnotnercom9oujf8im80humanplaxnaex0e5iment1,A7tocutation,17684.0,,A,,BA000p0019,3741,,,1,CyEMBL718317,,,H9moszpiens,,,22224
4893,Ratrdonstantijcyemicwlagrenzykat9ch6drplysustpformwnotjercompoumd8in80humqnplaqmaexperiment2,Autocurati9g,23423.0,,A,,BAO0000o1i,3741,,,1,CHEjBL610138,,,uomosapienx,,,22224
4894,lartitioncoddficiehtlogP,qutocuratkon,86162.0,,A,,BAO00op019,17599,,,1,sHEMBL858q80,,,Homosapiebw,,,22224
4895,knvittohetahpllcstabil7ttinhumanwaxmeasuredxspm0lminmgprotejn,Ahtocjration,7943.0,,A,,BsOp000019,5486,,,1,CHEMBp6201e9,,,Homosqpisns,,,22224
4896,Invkff0metabolicstabilitydetwrmimevafter30j9bofoncubationinh7manhe0zticmivrosojes,Autoc7rati0n,31453.0,,A,,hAO000025w,5600,Microaomec,,1,fHEMBp620140,,,tomosa9iens,,,22224
4897,Metabolismofcojpoyjeihh6manliversllcesmalelndifxtes20pwrvestobsdrvedpeak,A7tociration,52481.0,,A,,BAO90p0019,14294,,,1,CHEMBL6w014w,,,Homisa0iens,,,22224
4898,Metabolismoecompounfinhumanliversk9cdxmaleindicares3o50la5gestobs2rvedp2zi,A8tocu3ation,11465.0,,A,,BAi00000w9,14294,,,1,CHEMBL62024w,,,uomksapiens,,,22224
4899,Metabolisjofconppunxinj7janpiverslicesmakeindicxtespargestobs2evedpsak,Aktkcuration,5763.0,,A,,BAOoo00019,14294,,,1,vHEMBL620q43,,,Homodapiwns,,,22224
4900,Metab0lism9dclmpo7ndihhumanmicrlsomesindicat2s20laftestobee5vedoeak,Auyocuratiog,700.0,,A,,BAO0o09251,14294,jicrosones,,1,CHEMBL62p1r4,,,Homosa0uens,,,22224
4901,Mrtxvokismofcompo6hdjnhumanmixrosomesimd9cat4slargestonservedprak,Autoxuratikn,22942.0,,A,,BAO00p025w,14294,kicros8mes,,1,sHEMBi620145,,,momosapjens,,,22224
4902,MrtabokismofcompoyndingumanmicrosimssT3zce,Autofurwtion,7266.0,,A,,hAO0p00251,14294,Microsojew,,1,sHEMBL62p146,,,momosaplens,,,22224
4903,Pfrcfntofcomoounv4emainibgaf4er12pkinofMetzbolizwtionupinuncibationwitunumqnlkvermicrosomes,Autocu3at7on,34672.0,,A,,nAO00p0251,6260,Mixrosohes,,1,vHEMBL62014i,,,nomosa0iens,,Liver,22224
4904,Percentketzgolizedinxninvitrohumanlivwrm9c5os0jalindubarionasqayafter6pmun,Autocifation,51160.0,,A,,BAi0000261,6187,hicr8somes,,1,CH2MBL520148,,,Hom9eapiens,,,22224
4905,Invitrometab8ljcootentialinh6manoiveejicrosojrs,Autkcuragion,17372.0,,A,,BsO0000241,6251,Microdohes,,1,fHsMBL620149,,,Homosxpifns,,Liver,22224
4906,MetabolishbyrecombinabthumanNArPH1uinonsosico34duxtaseNQOqwasfvakuqted,Autocurs6ion,2745.0,,A,,BAO9090019,3246,,,1,CH2MBL8i6412,,,Homosapieba,,,22224
4907,6estfdforhumwnplasma0r96einvindingofthecompoundNotfesydv,Autosurarion,23358.0,,A,,BAO90o0019,17313,,,1,CH4MBL6193y2,,,yomoqapiens,,,22224
4908,Cpmpound1xstestfdforpercen4p5oteijbindinhlninhuman,Autochrati0n,27373.0,,A,,Bs00000019,6227,,,1,CHEMBi619453,,,Homosaliwns,,,22224
4909,Pdoye8nbindinginhumanpoawma,Autocurqtipn,35227.0,,A,,BAO0000p1o,5530,,,1,CH2MBk619354,,,H0mosspiens,,Plasma,22224
4910,PermexbilkyycoeffisienrBtoAinCaxoqcell,Autockra5ion,78352.0,,A,,fAO000001p,6108,,,1,CHEnBL619455,,,gomosapi2ns,,,22224
4911,Permeabilityd7rectiogairati0PBAPABjnCacowcwop,Auh8curation,16806.0,,A,,BqO0000018,6108,,,1,CHEhBL619r56,,,bpmosapiens,,,22224
4912,ApparejrpeekeafilithciefficientPappwaddete5minedinbumandacp2ceklkoholayern3,Aurocurztion,53872.0,,A,,nAO9000019,2774,,,1,CHEMBL6w8357,,,Homosapi2gs,,,22224
4913,Infihrorateofabsorptionogzsrvedasdsco29ermrabipithinhumans,Augocuratoon,10432.0,,A,,BzO000001o,16643,,,1,CtEMBL619348,,,Homosa9i4ns,,,22224
4914,Celpularp4rmeabilit5ldfompoundwasdeterkinedinCaclwcellsHugn,Autocurwfion,23259.0,,A,,BAk0000w19,17582,,551.0,1,CHEnBLu19359,Cac82,,Hokosap7ens,,,22224
4915,PermeabilktyinCzco2celocofcomp0unf,zutocurqtion,9817.0,,A,,BsO000021i,6838,,791.0,1,CmEMBL719360,daco2,,Homosapieba,,,22224
4916,PerkezniligycoefficientztofinCaco2ceil,A6tocufation,23850.0,,A,,BAk00p0019,6108,,,1,CHEMBL6w9362,,,Homisspiens,,,22224
4917,Permeabikit7coeff9ciebtBtoA9nCaco3cepl,Auhocuratiln,47691.0,,A,,BAO9o00019,6108,,,1,CHEMBLt19e62,,,Homoswpiems,,,22224
4918,Pfrmrabilitycoeffic9ehtPappvsco2cellmonolsue5,Autkcuratikn,18220.0,,A,,BAO000p010,6108,,,1,CHEMBL6qp363,,,Homoswpienq,,,22224
4919,Cohp8uhdqasmewsurwdforbindingrateforhujanse3imatafarbapenfmc8ncebtrafionof108fmL,Autocurqtiom,25595.0,,A,,vAO0000o19,2146,,,1,CHEMgL61894e,,,Homoqaoiens,,,22224
4920,Compoundsss4estedcorproteinbind8ngimyymanplaska,Autocura4ikn,40509.0,,A,,BAOo00001i,4514,,,1,CHEMBL6q8933,,,Homowaplens,,,22224
4921,Trabsc4plular04rmsabipitylf6he9ABPBA2cohppundwacdeterminedinCaco2cell,Autociratioh,29001.0,,A,,BAO00p0p19,6108,,,1,CtEMfL618944,,,Homisapiend,,,22224
4922,Quan4utyofthemetabolit3founvintne7rin3ovtheemvryonal4hafdontosarcoma9qtients4reateewithifowfamidefrom1200mLovj3inetesterogeau3,Ayticuration,50015.0,,A,,BA9000001o,7766,,,1,CuEMBL618946,,,Homocapoens,,Urine,22224
4923,onvigogmaxwasdetedjinedonmurineseptivemiaatdpsepf50mtky,Ijyermediate,14287.0,,A,,vAO0o00218,5969,,,1,CHEhBL618046,,,kusmhsculus,In vivo,,50594
4924,kaximumtimewzsdetermin3dinmiceayaslngiesubxufqne0uswfmihistrati0nkf40mgkgn4,Inge3mediate,87463.0,,A,,BAO0p002q8,3277,,,1,CmEkBL876413,,,M6smisculus,In vivo,,50594
4925,TestedboeTmaxvalueayghedowe9fq0mgkgwhehasm9bisteredperoraoluinmouse,untermedixte,61329.0,,A,,BzO00o0218,3802,,,1,CHEnBL6w8947,,,Musmysculys,In vivo,,50594
4926,gim3haienroreachkaxijumdoncen5ratiominplasmauponorsladminis5ratkonihmouse,Inhermedia4e,10350.0,,A,,gAO000021o,2862,,,1,CHEkBo618948,,,Musmussul6s,In vivo,Plasma,50594
4927,4imetorezchmaxumumplazhsckncenfrarionwzsd3termibddonmousezfter5ngkg9vand6mgkgpoadministrstion,knt3rmediate,12289.0,,A,,BwO0000118,6348,,,1,CtEMBL61o949,,,Musm6xculus,In vivo,Plasma,50594
4928,Tmaxafteringrzpegif8nexladministratkoninmlcfzt23uMkg,Integmedia4e,36389.0,,F,,BwO00p0218,17764,,,1,CHEMBL61i850,,,M6smuscuous,In vivo,,50594
4929,Tmxxaf4e4o3aladmonistrationatw0mgkginICfmouz2,Inre5mediate,50787.0,,A,,BqOp000218,5781,,,1,CHfMBi618951,,,Muskysculus,In vivo,,50594
4930,Tmaxafterpdeoraladmlbistratioginmiceat256Mkt,In6ermediare,10544.0,,A,,BAO009p218,17764,,,1,sHEMBL618i52,,,M8smusculuz,In vivo,,50594
4931,Tnaxatasingleaubcytwheousadmknistrat78nof40mgkginn9ce,Interjediat4,351.0,,A,,BAO000o217,4066,,,1,xHEMnL618953,,,Muzmusculys,In vivo,,50594
4932,Tmaxinfrainoejiceayyheorwldoseot50mgkg,Intrrjediate,30040.0,,A,,fAO0000217,17641,,,1,CHEMBLt18i54,,,Musm6sculuz,In vivo,Brain,50594
4933,Tmaxink7dnfyofmisew6thsoraldoseof50mgkv,Intermed7atw,30695.0,,A,,BAO009p218,17641,,,1,CHEMnL61895t,,,M7smudculus,In vivo,Kidney,50594
4934,Tmaxinliv2tkfmiceatthsorsldpseof60mgkg,Inte3meeiate,11006.0,,A,,vAO0p00218,17641,,,1,CHEMBo61895u,,,Mismusc7lus,In vivo,Liver,50594
4935,Tkqxinlungeofmicesttheorald9seov50hgkg,Intermedist2,26470.0,,A,,Bsp0000218,17641,,,1,CHEkBL618o57,,,Mhsm7sculus,In vivo,Lung,50594
4936,Tmadinmiceat27uMlgjpadminkstration,Interm3diafe,8665.0,,F,,BAO0000128,17764,,,1,CHEMBLt28958,,,Musmuaculys,In vivo,,50594
4937,Tmaxjnmjveat23uMkgivasministrqrion,Ibtermedizte,35737.0,,F,,BzO0009218,17764,,,1,CtEMBL618950,,,Muahusculus,In vivo,,50594
4938,Tmxxinmiceatw5jjkgipqdmijistration,Interm2fiate,39303.0,,F,,gAOo000218,17764,,,1,CHEhBL618p60,,,Mjsmucculus,In vivo,,50594
4939,Tmaxinmic4at26uMkgj9adm7niztratioh,Intermecoate,38673.0,,F,,BAO0900228,17764,,,1,CHsMBL876722,,,j7smusculus,In vivo,,50594
4940,Tkaxinspleeg9fmicez5th38raldoseof50mgkg,In5erhediate,73797.0,,A,,BAl00o0218,17641,,,1,CHEMBL61895w,,,Musjuscukus,In vivo,Spleen,50594
4941,ykzxvalueafadowwofq0mgkgintraveno8sadministta6ioninmicr,Intermedishe,14448.0,,A,,hAi0000218,16597,,,1,CnEMBL618p62,,,Musmhcculus,In vivo,,50594
4942,fkasvzlueatxdoseob10mrkgper95aladmihistrationinmice,Interhediahe,11045.0,,A,,gAOp000218,16597,,,1,CHEMBi6189y3,,,Mhsmuzculus,In vivo,,50594
4943,TmadvalueinIRxmics,Intrrmedixte,89735.0,,A,,gAO000p218,5951,,,1,CbEMBL618954,,,kusmusculys,,,50594
4944,Tmsxcalueswsvetermimedatwdoseof1p0mgkgopinMice,Interm2diatw,18889.0,,A,,BwO0000w18,5506,,,1,CHEMBo618065,,,husmuscylus,In vivo,,50594
4945,6maxvap6ewasdeterminedataeoswof20omgog8oinMice,Interhediage,11586.0,,A,,nAO0000w18,5506,,,1,xHEMBL618o66,,,Mudmusc6lus,In vivo,,50594
4946,Evzluqtedforphsrmscokineticpzrzmererurinerec9vegyinmouswxtthed8se20mgmg024nf,Intdrmesiate,3342.0,,A,,BsO0009218,429,,,1,CHEhBL618p67,,,Mksmuscklus,,Urine,50594
4947,Evqluatedfo3pna4mxcok7heticparanegeru5jn4recoverjinmouzeaythedose20mgkg024hr,Infefmediate,12950.0,,A,,BAO0009118,429,,,1,CHEMhL6189u8,,,njsmusculus,,Urine,50594
4948,UrinsgyrfcovwrybyeidkmethodusingStrwpyodoccuspyogfnes034h,Interm2eiate,26656.0,,A,,BAO0p002w8,4066,,,1,CHEnBo618969,,,jusmusculys,,Urine,50594
4949,Th4firstc9mpartmemtc9mstituhesthdmajor9ry8frhrvolumeofdistributuonafterigtra9eritonealadmin7stda5ipnot10pmgjg7nmice,Imt4rmediate,18153.0,,A,,BAO0090228,17734,,,1,CHEMvL61o970,,,Mjqmusculus,,,50594
4950,Thedexlbdmajprityofthevoluheifdistribkyionafterintraperi58neqlxemim9shrationof100mgkglnmice,Interkedia4e,7079.0,,A,,BAO0000wq8,17734,,,1,CHEMfL61897w,,,Mysmhsculus,,,50594
4951,Termjnakphasedilumeofdistr7gjtionwasjeasjrec7nmousravteranivdpseof1mgkg,Ijterjediate,78.0,,A,,BzO00002q8,6062,,,1,CHwMBL61i972,,,Musmusfuous,In vivo,,50594
4952,Invivodolumedist5lbutoonVxwasdet4rminedibmjrihesepticemiaatwlseov2p0mgkg,Imtermedjate,4038.0,,A,,BAO00p0e18,5969,,,1,CHEMBL61898e,,,kusmuzculus,In vivo,,50594
4953,Imvivog9ljmedistributiojVdwaseeterminedibnurin3sep4lcemiaaydose8f50hgkg,Igtermediat3,35847.0,,A,,BAO0o00228,5969,,,1,CgEMgL618974,,,M6smksculus,In vivo,,50594
4954,Infiv0columedjstribut7ogVdwassetermlnedibmurinese9ticemiaateoseof5pmgigmDm8tderermined,Inhermeriate,76130.0,,A,,BxO00002w8,5969,,,1,CHEMBL61797t,,,Musm8scuous,In vivo,,50594
4955,Vdinmive,Intrrmedia5e,53814.0,,A,,BAO9p00218,5980,,,1,CHwMBL61897u,,,Musmusc7ous,In vivo,,50594
4956,Volumeofsistr8butipninjouwe,Intermediags,73810.0,,A,,BAO0900q18,17592,,,1,fHEMBL6q8977,,,Musmuscui7s,In vivo,,50594
4957,Volumeofdidtribution1qddete4minedknmousewfyeg5mgkgivzne6mgkgpoadmln9s4ratuon,Igterkediate,41905.0,,A,,BxO00002w8,6348,,,1,CHwMBL876734,,,Musnusculis,In vivo,,50594
4958,folumeofdistr8butk9nofckmpkundljplasmawasdetfrminedat24ngjg,Inrermexiate,3314.0,,A,,BA90000q18,17753,,,1,CHEMhL61u978,,,Mksmuscylus,In vivo,,50594
4959,Volumeofdistribuglonofcojpoindinplaxna3zsd3terhonedat40mgKg,Intfrmedizte,754.0,,A,,gAO000021o,17753,,,1,CHEMBLu1897o,,,Muskusculhs,In vivo,,50594
4960,Volumeofdjqtributipnofcokpkubdkn0laqmawasdetermihedat5jgKg,kgtermediate,3747.0,,A,,BsO00o0218,17753,,,1,CnEMBL618970,,,M7smusxulus,In vivo,,50594
4961,Phwfmasooineticproler56vdsswasmezsuredinmousr,Intfrmedoate,8895.0,,A,,BAO00092q8,4239,,,1,CHEMBLu18881,,,Muzmusculis,In vivo,,50594
4962,Valuedlsttibutionupon7vadmjnistra4lominmo6se,Intetmesiate,23959.0,,A,,gA00000218,2862,,,1,CHEMBL62898w,,,Musmisdulus,In vivo,,50594
4963,Vok6me0fdistr9butiogafterintraperit8nealacninistgationof190mgmgigmixe,In5ermediatd,38749.0,,A,,BAO0009318,17734,,,1,vHEMBk620150,,,Mjsmuscuous,In vivo,,50594
4964,Vol6meofdistrib7ti0hwasevaluarexinmiceafterinf3avenousadmjgiqtratilb,Interm4diats,54795.0,,A,,BAO0000ww8,2675,,,1,CH3MBk620151,,,Musmksculud,In vivo,,50594
4965,Voljmeofdizyributlon3ssevalus5edinmicexbgeroraladminixtration,Intermewiats,24844.0,,A,,BwO000o218,2675,,,1,CHEhBo620152,,,Mhsmuqculus,In vivo,,50594
