assays_ss_cll_tp,assays_ss_tst_tp,assays_vrnt_d,assays_cll_d,assays_crtd_b,assays_b_frmt,assays_ss_d,assays_cnfdnc_scr,assays_ss_tx_d,assays_rltnshp_tp,assays_ss_ctgr,assays_src_ss_d,assays_dc_d,assays_chmbl_d,assays_ss_strn,assays_dscrptn,assays_ss_tss,assays_ss_tp,assays_td,assays_src_d,assays_ss_sbclllr_frctn,assays_tss_d,assays_ss_rgnsm
,In vivo,,,Intermediate,BAO_0000218,8497,1,10090.0,N,,,17208,CHEMBL628422,,Biodistribution of radioactivity in normal mice (ICR) kidney after 2 minutes of intravenous injection of [125I]-16(IMPY),Kidney,A,50594,1,,2113.0,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,8498,1,10090.0,N,,,17208,CHEMBL628423,,Biodistribution of radioactivity in normal mice (ICR) kidney after 24 hours of intravenous injection of [125I]-16(IMPY),Kidney,A,50594,1,,2113.0,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,8499,1,10116.0,N,,,5089,CHEMBL628424,,Plasma clearance value at intravenous dose of 1 mg/kg (2 mg/kg po (cassette dosing) in Dawley rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8500,1,10116.0,N,,,5089,CHEMBL628425,,Plasma clearance value at intravenous dose of 1 mg/kg (2 mg/kg po (cassette dosing)) in Dawley rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8501,1,10116.0,N,,,4257,CHEMBL628426,,Plasma clearance value was determined in rat after a 3 mg/kg of iv dose,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8502,1,10116.0,N,,,6679,CHEMBL628427,,Plasma clearance was determined after 1 mg/kg (i.v.) / 2 mg/kg (p.o.) of compound administration,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8503,1,10116.0,N,,,5546,CHEMBL626938,,Plasma clearance was determined in Sprague-Dawley rats at a dose of 1 mg/kg by iv administration,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8504,1,10116.0,N,,,6141,CHEMBL626939,,Plasma clearance was evaluated at 1 mg/kg of iv administration in Sprague-Dawley rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8505,1,10116.0,N,,,5334,CHEMBL626940,,Plasma clearance was reported after intravenous administration at a dose of 1 mg/kg in Sprague-Dawley rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8506,1,10116.0,N,,,5334,CHEMBL626941,,Plasma clearance was reported after oral administration at a dose of 2 mg/kg in Sprague-Dawley rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8507,1,10116.0,N,,,5334,CHEMBL626942,,Plasma clearance was reported in Sprague-Dawley rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8508,1,10116.0,N,,,4689,CHEMBL876812,,Plasma clearance after intravenous administration (1 mg/kg) in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8509,1,10116.0,N,,,6848,CHEMBL626943,,Plasma clearance of compound in rats was evaluated,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8510,1,10116.0,N,,,6848,CHEMBL626944,,Plasma clearance of compound in rats was evaluated; ND indicates not determined,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8511,1,10116.0,N,,,6467,CHEMBL626945,,Plasma clearance in rats at the dose of 1.0 mpk by i.v. administration,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8512,1,10116.0,N,,,6467,CHEMBL626946,,Plasma clearance in rats at the dose of 1.0 mpk by i.v. administration; ND= not determined,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8513,1,10116.0,N,,,4956,CHEMBL626856,,Plasma clearance rate in Sprague-Dawley rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8514,1,10116.0,N,,,5529,CHEMBL626857,,Plasma clearance was determined in rat after intravenous administration (0.5 mg/kg),,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8515,1,10116.0,N,,,406,CHEMBL626858,,The compound was evaluated for plasma clearance in rat,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8516,1,10116.0,N,,,17655,CHEMBL627018,,Total plasma clearance in rat,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8517,1,10116.0,N,,,3293,CHEMBL625331,,Absorption behavior was judged by the peak blood concentration determined after oral dose of 30 mg/kg in rats.,Blood,A,50597,1,,178.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8518,1,10116.0,N,,,4075,CHEMBL625332,,Blood level after a 10 mg/kg oral dose in rat expressed as Cmax was determined,Blood,A,50597,1,,178.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8519,1,10116.0,N,,,2792,CHEMBL877590,,C max was determined at 10 mg/kg po dose in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8520,1,10116.0,N,,,2792,CHEMBL625333,,C max was determined at 3 mg/kg po dose in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8521,1,10116.0,N,,,17594,CHEMBL625334,,Cmax after repeated oral dose of compound at 1 mg/kg in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8522,1,10116.0,N,,,17594,CHEMBL625335,,Cmax after single intravenous bolus of 1 mg/kg in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8523,1,10116.0,N,,,4762,CHEMBL625336,,Cmax of compound at 5 mg/kg after po administration was determined in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8524,1,10116.0,N,,,17509,CHEMBL625337,,Cmax 24 hr after 10 mg/kg oral administration in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8525,1,10116.0,N,,,17509,CHEMBL625338,,Cmax 24 hr after 2 mg/kg oral administration in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8526,1,10116.0,N,,,1466,CHEMBL625339,,Cmax in plasma was determined upon peroral administration of 10.0 mg/Kg dose in rat,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8527,1,10116.0,N,,,6535,CHEMBL625340,,Cmax in rat after administration of 2 mg/kg iv,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8528,1,10116.0,N,,,6535,CHEMBL625341,,Cmax in rat after administration of 2 mg/kg iv,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8529,1,10116.0,N,,,3169,CHEMBL622687,,Cmax in rats determined 6 hours after oral dosing of 20 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8530,1,10116.0,N,,,6515,CHEMBL622688,,Cmax wa determined in rat plasma at 30 mg/kg after po administration,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8531,1,10116.0,N,,,11149,CHEMBL622689,,Cmax was calculated as maximum concentration reached in the blood after oral administration to male F344 rats,Blood,A,50597,1,,178.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8532,1,10116.0,N,,,11149,CHEMBL620295,,Cmax was calculated as maximum concentration reached in the blood in air pouch exudate after oral administration to male F344 rats,Blood,A,50597,1,,178.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8533,1,10116.0,N,,,17858,CHEMBL620296,,Cmax after 10 mg/kg oral administration in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8534,1,10116.0,N,,,6518,CHEMBL620297,,Cmax after IV dosing at 0.5 mg/kg in rat; no data,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8535,1,10116.0,N,,,6518,CHEMBL620298,,Cmax after IV dosing at 1 mg/kg in rat; no data,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8536,1,10116.0,N,,,4426,CHEMBL620299,,Cmax after oral administration at 20 mpk in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8537,1,10116.0,N,,,4426,CHEMBL620300,,Cmax after oral administration at 20 mpk in rats; Not performed.,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8538,1,10116.0,N,,,4426,CHEMBL620301,,Cmax after oral administration at 20 mpk in rats d; Not performed.,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8539,1,10116.0,N,,,5656,CHEMBL620302,,Cmax after oral administration in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8540,1,10116.0,N,,,6518,CHEMBL620303,,Cmax after oral administration at a dose of 2 mg/kg in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8541,1,10116.0,N,,,6518,CHEMBL620304,,Cmax after oral administration at a dose of 4 mg/kg in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8542,1,10116.0,N,,,6113,CHEMBL620305,,Cmax in rats after 20 mg/kg oral dose,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8543,1,10116.0,N,,,17764,CHEMBL620306,,Cmax after peroral administration in rats at 2.4 uM/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8544,1,10116.0,N,,,4756,CHEMBL620307,,Cmax at the dose of 2 mg/Kg administered perorally in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8545,1,10116.0,N,,,4756,CHEMBL620308,,Cmax at the dose of 5 mg/Kg administered perorally in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8546,1,10116.0,N,,,6402,CHEMBL620309,,Cmax by administering at 20 mg/kg p.o. in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8547,1,10116.0,N,,,5610,CHEMBL620310,,Cmax in male rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8548,1,10116.0,N,,,5207,CHEMBL620311,,Cmax in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8549,1,10116.0,N,,,6011,CHEMBL620312,,Cmax in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8550,1,10116.0,N,,,6504,CHEMBL620313,,Cmax in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8551,1,10116.0,N,,,6046,CHEMBL620314,,Cmax in rat at 10 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8552,1,10116.0,N,,,6504,CHEMBL620315,,Cmax in rat at the dose of 1 mg/kg i.v.,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8553,1,10116.0,N,,,5874,CHEMBL620316,,Cmax in rat by po administration at a dose of 40 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8554,1,10116.0,N,,,17686,CHEMBL620317,,Cmax in rat p.o. at 20 mg/kg concentration,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8555,1,10116.0,N,,,5836,CHEMBL620318,,Cmax in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8556,1,10116.0,N,,,17596,CHEMBL620319,,Cmax in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8557,1,10116.0,N,,,16423,CHEMBL620320,,Cmax was evaluated after 20 uM/kg of peroral administration,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8558,1,10116.0,N,,,17804,CHEMBL620321,,Cmax was measured in rats after peroral administration at 3 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8559,1,10116.0,N,,,1908,CHEMBL620322,,Cmax value after oral dose at a dose of 10 mg/kg in rats.,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8560,1,10116.0,N,,,13950,CHEMBL620323,,Distribution of [123I]-label in rat brain (diencephalon) was reported at 60 min post injection. Value shown is %ID/g of tissue,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8561,1,10116.0,N,,,13950,CHEMBL620324,,Distribution of [123I]-label in rat brain (frontal cortex) was reported at 20 min post injection. Value shown is %ID/g of tissue,Frontal cortex,A,50597,1,,1870.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8562,1,10116.0,N,,,13950,CHEMBL620325,,Distribution of [123I]-label in rat brain (frontal cortex) was reported at 60 min post injection. Value shown is %ID/g of tissue,Frontal cortex,A,50597,1,,1870.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8563,1,10116.0,N,,,13950,CHEMBL620326,,Distribution of [123I]-label in rat brain (hippocampus) was reported at 20 min post injection. Value shown is %ID/g of tissue,Hippocampus,A,50597,1,,10000000.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8564,1,10116.0,N,,,13950,CHEMBL620327,,Distribution of [123I]-label in rat brain (hippocampus) was reported at 60 min post injection. Value shown is %ID/g of tissue,Hippocampus,A,50597,1,,10000000.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8565,1,10116.0,N,,,13950,CHEMBL620328,,Distribution of [123I]-label in rat brain (medulla pons) was reported at 20 min post injection. Value shown is %ID/g of tissue,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8566,1,10116.0,N,,,13950,CHEMBL620329,,Distribution of [123I]-label in rat brain (medulla pons) was reported at 60 min post injection. Value shown is %ID/g of tissue,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8567,1,10116.0,N,,,13950,CHEMBL620330,,Distribution of [123I]-label in rat brain (midbrain) was reported at 20 min post injection. Value shown is %ID/g of tissue,Midbrain,A,50597,1,,1891.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8568,1,10116.0,N,,,13950,CHEMBL875286,,Distribution of [123I]-label in rat brain (midbrain) was reported at 60 min post injection. Value shown is %ID/g of tissue,Midbrain,A,50597,1,,1891.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8569,1,10116.0,N,,,13950,CHEMBL620331,,Distribution of [123I]-label in rat brain (posterior cortex) was reported at 20 min post injection. Value shown is %ID/g of tissue,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8570,1,10116.0,N,,,13950,CHEMBL620332,,Distribution of [123I]-label in rat brain (posterior cortex) was reported at 60 min post injection. Value shown is %ID/g of tissue,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8571,1,10116.0,N,,,13950,CHEMBL620333,,Distribution of [123I]-label in rat brain (striatum) was reported at 20 min post injection. Value shown is %ID/g of tissue,Striatum,A,50597,1,,2435.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8572,1,10116.0,N,,,13950,CHEMBL620334,,Distribution of [123I]-label in rat brain (striatum) was reported at 60 min post injection. Value shown is %ID/g of tissue,Striatum,A,50597,1,,2435.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8573,1,10116.0,N,,,16434,CHEMBL621015,,Radioactivity distribution in blood of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 120 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8574,1,10116.0,N,,,16434,CHEMBL621016,,Radioactivity distribution in blood of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 30 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8575,1,10116.0,N,,,16434,CHEMBL621191,,Radioactivity distribution in blood of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 5 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8576,1,10116.0,N,,,16434,CHEMBL621192,,Radioactivity distribution in blood of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 60 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8577,1,10116.0,N,,,16434,CHEMBL621193,,Radioactivity distribution in blood of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8578,1,10116.0,N,,,16434,CHEMBL621194,,Radioactivity distribution in blood of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 30 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8579,1,10116.0,N,,,16434,CHEMBL624204,,Radioactivity distribution in blood of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8580,1,10116.0,N,,,16434,CHEMBL624205,,Radioactivity distribution in blood of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8581,1,10116.0,N,,,16435,CHEMBL624206,,Radioactivity distribution in blood of normal fischer rat after injection of anti-[18F]FMACBC after 120 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8582,1,10116.0,N,,,16435,CHEMBL624207,,Radioactivity distribution in blood of normal fischer rat after injection of anti-[18F]FMACBC after 30 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8583,1,10116.0,N,,,16435,CHEMBL624208,,Radioactivity distribution in blood of normal fischer rat after injection of anti-[18F]FMACBC after 5 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8584,1,10116.0,N,,,16435,CHEMBL624209,,Radioactivity distribution in blood of normal fischer rat after injection of anti-[18F]FMACBC after 60 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8585,1,10116.0,N,,,16435,CHEMBL624210,,Radioactivity distribution in blood of normal fischer rat after injection of syn-[18F]-FMACBC after 120 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8586,1,10116.0,N,,,16435,CHEMBL624211,,Radioactivity distribution in blood of normal fischer rat after injection of syn-[18F]-FMACBC after 30 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8587,1,10116.0,N,,,16435,CHEMBL624212,,Radioactivity distribution in blood of normal fischer rat after injection of syn-[18F]-FMACBC after 5 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8588,1,10116.0,N,,,16435,CHEMBL624213,,Radioactivity distribution in blood of normal fischer rat after injection of syn-[18F]-FMACBC after 60 min.,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8589,1,10116.0,N,,,16434,CHEMBL876611,,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8590,1,10116.0,N,,,16434,CHEMBL624214,,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8591,1,10116.0,N,,,16434,CHEMBL624215,,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8592,1,10116.0,N,,,16435,CHEMBL624216,,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 120 min,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8593,1,10116.0,N,,,16435,CHEMBL624217,,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 5 min,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8594,1,10116.0,N,,,16435,CHEMBL624218,,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 60 min,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8595,1,10116.0,N,,,16435,CHEMBL624219,,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 120 min,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8596,1,10116.0,N,,,16435,CHEMBL624220,,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 5 min,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8597,1,10116.0,N,,,16435,CHEMBL624221,,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 60 min,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8598,1,10116.0,N,,,16434,CHEMBL624222,,Radioactivity distribution in bone of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 120 min.,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8599,1,10116.0,N,,,16434,CHEMBL624223,,Radioactivity distribution in bone of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 30 min.,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8600,1,10116.0,N,,,16434,CHEMBL624224,,Radioactivity distribution in bone of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 5 min.,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8601,1,10116.0,N,,,16434,CHEMBL624225,,Radioactivity distribution in bone of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 60 min.,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8602,1,10116.0,N,,,17764,CHEMBL622420,,Volume of solubility in solution after intravenous administration in rats at 24 uM/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8603,1,10116.0,N,,,5031,CHEMBL622421,,Volume of steady state distribution after i.v. administration in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8604,1,10116.0,N,,,6215,CHEMBL622422,,Vss after intravenous administration (5.0 mg/kg) was determined in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8605,1,10116.0,N,,,17671,CHEMBL622423,,Vss in male Sprague-Dawley rats following an intravenous bolus dose at 10-20 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8606,1,10116.0,N,,,17752,CHEMBL622424,,Vss was determined,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8607,1,10116.0,N,,,6596,CHEMBL622425,,Vss in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8608,1,10116.0,N,,,16423,CHEMBL876612,,Vss was evaluated after 10 uM/kg of intra arterial administration,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8609,1,10116.0,N,,,15662,CHEMBL622426,,volume of distribution at steady state was observed after intravenous administration in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8610,1,10116.0,N,,,6062,CHEMBL622427,,Volume of distribution was measured in rat after an iv dose of 1 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8611,1,10116.0,N,,,5874,CHEMBL622428,,Pharmacokinetic (PK) parameter Vz in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8612,1,10116.0,N,,,4942,CHEMBL622429,,Volume distribution in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8613,1,10116.0,N,,,17796,CHEMBL622430,,Volume of distribution in rat; No data,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8614,1,10116.0,N,,,4890,CHEMBL622431,,Volume of distribution was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,8615,1,10116.0,N,,,15765,CHEMBL622432,,% absorption predicted from in vitro rat ileum transport studies,Ileum,A,50597,1,,2116.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8616,1,10116.0,N,,,13569,CHEMBL622433,,Bioavailability at an iv dose of 12 mg/Kg and po dose of 23 mg/Kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8617,1,10116.0,N,,,13569,CHEMBL622434,,Bioavailability at an iv dose of 14 mg/Kg and po dose of 15 mg/Kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8618,1,10116.0,N,,,13569,CHEMBL622435,,Bioavailability at an iv dose of 14 mg/Kg and po dose of 28 mg/Kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8619,1,10116.0,N,,,13569,CHEMBL618748,,Bioavailability (dose 15 mg/kg i.v. and 30 mg/kg p.o.),,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8620,1,10116.0,N,,,13569,CHEMBL618749,,Bioavailability at an iv dose of 15 mg/Kg and po dose of 30.2 mg/Kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8621,1,10116.0,N,,,13569,CHEMBL618750,,Bioavailability at an iv dose of 15.6 mg/Kg and po dose of 31.2 mg/Kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8622,1,10116.0,N,,,13569,CHEMBL618751,,Bioavailability at an iv dose of 15.7 mg/Kg and po dose of 31.4 mg/Kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8623,1,10116.0,N,,,13569,CHEMBL618752,,Bioavailability at an iv dose of 16 mg/Kg and po dose of 35 mg/Kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8624,1,10116.0,N,,,4576,CHEMBL618753,,Oral bioavailability in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8625,1,10116.0,N,,,750,CHEMBL618754,,Oral bioavailability estimated by measurement of the circulating plasma levels of BMS-183920 after intravenous and oral dosing to rats for 4 determinations,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8626,1,10116.0,N,,,750,CHEMBL618755,,Oral bioavailability in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,8627,1,10116.0,N,,,4590,CHEMBL618756,,Oral bioavailability in rat,,A,50597,1,,,Rattus norvegicus
