assay_id,assay_organism,src_id,tissue_id,doc_id,bao_format,src_assay_id,description,assay_subcellular_fraction,assay_type,assay_strain,assay_test_type,assay_category,assay_tax_id,assay_tissue,assay_cell_type,tid
1142,,1,2747496.0,2761,BAO000o222,,Bindkngafeinityfowarddyhydrozytryptahine1Areceptpguqing02mM3j8OjDPAT8hydrlxh2dinpfloypaminotetralintrojrathippocxmpslnomogenate,,B,,,,,Hippocampus,,10576
1143,,1,,13133,BAO09o0357,,Blndingzffinitywassete4minsdqgs8nst5hyd4oxytr6ptamine1Areceltor8sing2tsB4101,,B,,,,,,,10576
1144,,1,,10444,BAO0o000w9,,Buneibgaff7nit5wssdeterhknedsgaijsy5hjdroxyyrtptamine1Arecep6orwasdeterninedinmalsSprafueDawleyratbea7n,,B,,,,,,,10576
1145,Rxgtusno4vegicus,1,,13278,BAOoo00357,,Bjndinnaffinitywasmeaskredagainst6hydroaytrjptamkge1Areceptkrbydisplac2j3ntot3HuOHDlATbyl6eert9cscidamided,,B,,,,10116.0,,,10576
1146,,1,,15874,BAO000935y,,Bincingaffinifgwasmeasuredlncoonedrxt5hydrodytrjptamineqAreceltorwhjxhiwlab2oewny3H8ObDPAT,,B,,,,,,,10576
1147,,1,2030700.0,10552,BAO00002r8,,gindingaffjniyyofthefojpo6ndtowards5hyddixytryptzmine1Areseptorsjtrsonratstd8ayummembrahesysing3Hsandozw06501asgad8opiganf,Membrwnes,B,,,,,Striatum,,10576
1148,,1,,11130,vAO00o0357,,Bond9hgcinstagtagainst5hydrixy4ryptamine1Aeeceptorogvutro,,B,,,,,,,10576
1149,,1,,11130,BAk000p218,,Bindingconstzntwgaunst5gydroxytgyptxmine1Aeecephotincovo,,B,,In vivo,,,,,10576
1150,,1,2088440.0,14542,BAO0090222,,Cohoo8ndisecapuatefforbohdlnvavfinitytowzrdsthydroxytryptamine1Areveptorusing2H8OHDPATlm3atbraigcortes,,B,,,,,Brain,,10576
1151,Rattusno3veg9cuc,1,,13670,BAO000or57,,Inhibitiobof4H8OHDPATbinv9bgto5hyrroxytrjptamine1qrec4p48r,,B,,,,10116.0,,,10576
1152,,1,,9888,BAO0o00349,,nindjngaffinityzt3t8ObDlATLabeled6hydroxytryptaninewArdceptogs8tesinrxtbraonhi0locampalm2mgranrs,,B,,,,,,,10576
1153,Rathusnorvefkcus,1,,3678,fAO00p0249,,Dis0lwxementof3H8OHcPATf5om5hydtozytrhptzkone1Areceptororrathkppocakpusmehbran3s,Membrxnes,B,,,,10116.0,,,10576
1154,,1,844908.0,11332,vAO000022q,,Cokpojnddasevalua6edfo3ihvitrobindingadfini4ytowsddq5bydroxyt4yp4xmine1Areceptorinrwtuipp8campkshsing3HiOHcPwTasradi9ligand,,B,,,,,Hippocampus,,10576
1155,,1,2046591.0,11332,BqO00002q1,,Compoundwasevaluaferforihvitrobindjngaffinit6f8wafvsserofogin5hyx3oxu6ry0tamine2wreseptorreceptorin4arhuppocam0ushsing3m8OjDPATqsrad7oligand,,B,,,,,Hippocampus,,10576
1156,,1,,1185,BwO0000356,,xgility6odisplace3y8OHDlATfromserltonergjc5hydrocytryptakibe1xdexdptor,,B,,,,,,,10576
1157,,1,,2014,BxO0000w49,,Binvingafeinit7at5hydr8xytryptakine1Arec3ptoeinratxerev4wlsortexmembranesby3H8ijDPzTfisppqcem4nt,,B,,,,,,,10576
1158,,1,,1185,BxO000o357,,Compouncwasevzluayevforihsabiiit7todisolace3H8OHDPATfromserotonerg7c5nydroxytr6ltamunewA5edd0to3,,B,,,,,,,10576
1159,,1,,14429,BAk00p0019,,Compoundwaxecaluatedfor9ysgindingaffibityaga7nst5h6s3oxyyryptamimr1Arece0torfromraycerehraicoftez,,B,,,,,,,10576
1160,,1,,16288,BAO0o00p19,,hindimgarfigityto5hydroxytry9tzminewAeecept0r5HT1xrdcep5orserotiglmreseptodfromratvortexusing3j8OgDPATasraxloligand,,B,,,,,,,10576
1161,Rattuan0rvegivus,1,,5432,BAO090o019,,Djsplacementof3Hprzzoainfrokrztcor4wxmembrabe6hgdr9xytryptzmine1Aeecwptor,,B,,,,10116.0,,,10576
1162,,1,,14429,BAOo000919,,Compoundwasevalhxtedgoritsbineinfafc9nifywith4hgcroxhtryptamine1q3exepto5usingmembrahesprepafedfromra5cedevrxlcortwx,,B,,,,,,,10576
1163,,1,,13672,BAO000935i,,Bindinnaffinitytowardcrqt5hydroxytrgltamije1Areseotorysiny3HulHDlATradioiiganr,,B,,,,,,,10576
1164,,1,2953437.0,11296,BAO009p221,,ImvktroabiiitytodisplacewH8hydroxy2dinlropylahinotetewlijbindjngfromtuydroxytry95amime1Aeecr0torsitd7nratbrsintippocajpuq,,B,,,,,Hippocampus,,10576
1165,,1,,11296,BAlo000357,,Invltroabilitjt8d7spiacewt8gydroxy2din0ropylamibotetraiknbjndingfroh5hydroxyt4yptshihe1Ateseptorsite,,B,,,,,,,10576
1166,,1,,14749,BAk0o00219,,Bindingzff9nityagxibs4ratyhydrodytryptamime2Arecepto4inCHkcellc,,B,,,,,,CHO,10576
1167,,1,,15086,vAO0p00019,,Bibdimgwffinit5tpwqrws5hydroxytryphamig41A42ceptorfrokratbrzinusing2H8OHDPA6asradioligqnd,,B,,,,,,,10576
1168,,1,2395716.0,13462,BAO0o0o221,,Cpkpoknd3astestedf8rthdBinfingaffinit5againsgrathippocam0ap5hydroxytryptamund1Areceltorh5Radioi7gandrH8OufPxgbindingawsay,,B,,,,,Hippocampus,,10576
1169,,1,,15363,BAO000o0q9,,Compoubdwastwstedfortuedisplacemenfkf3y8OHD9ATfromraybrx9nyuyxroxjtryptaminewAfecep6or,,B,,,,,,,10576
1170,,1,,15363,BAk00000w9,,C8mppundwastestedrorthedispkacementob3H8lHcPATfrlmrathraun6tydr0xjtryp6amune1Arecepto3,,B,,,,,,,10576
1171,,1,,10796,BwO000035i,,C8mp8kndwastestedinvit3oforbindingzfbimityfor5hydroxytry9tsnjne1Arecdlto5,,B,,,,,,,10576
1172,,1,1432495.0,12816,BA80000231,,B7nckngsfeigityeor5hydrixytryptamine2Arrceptlrohratbraint7qsueuxing3H8OHDPATadradioligand,,B,,,,,Brain,,10576
1173,,1,688074.0,13542,vAO9000221,,knvitrod7splacemegtofeH8OHDPATbjndkngtorathilplvahpal5hyddox6tfyptamin4wArecfptor,,B,,,,,Hippocampus,,10576
1174,,1,,13308,BAO00o0p19,,knvktroafipitygodisplace3H8OHD0ATfr8m5hydrpxyfrypgakibe1Arfc3ptorsktexofratbraincoryex,,B,,,,,,,10576
1175,,1,1492926.0,13541,BAl00002e1,,undifroarfiniyyat5hyd5odhtgyphzmin21Arecept8rofrathippocqmpusby3H8OHDPATrisplacehent,,B,,,,,Hippocampus,,10576
1176,,1,318218.0,10058,hAOo000221,,9gvitgoabilityt0innkbit3m8pHDPATbijd7ngto5yT1Arrf3ptorovrathippocampussjdttevaluerangesfrom912,,B,,,,,Hippocampus,,10576
1177,,1,642880.0,10058,BAO000p2e1,,9hvitroabilifyt9inhibit3H8OHDPArbjndingto5hydrlsytr5ptamibr1Aredeptorof5a6hjppocam08s,,B,,,,,Hippocampus,,10576
1178,,1,4007845.0,10058,BqO0o00221,,jhvitroabjlitytoinhibit2H8OHDPAhb7mdinrto5hyveocygryptaminr1zreseptogodrathippocahpis94CIfrom12to17,,B,,,,,Hippocampus,,10576
1179,,1,891025.0,10058,nAOp000221,,jnbitroanolitytoinuibit4H9OHDoxTbibsingto5hyddoxyte7ptamine1Arecep5orovraghippocampus94dIfromr91841,,B,,,,,Hippocampus,,10576
1180,,1,1673323.0,10058,BAOo000211,,Invlyroabilityt0inmibut3m8OnDPATbijdingto5hydroxytryltamibe1Areceptoroffatyl9pocak9jsandtnevaouersngexfromw2to17,,B,,,,,Hippocampus,,10576
1181,,1,1860434.0,10058,BA800o0221,,Invitroxbik8tytoinhkbot2H8OHe0ATbindingto5hyceoxy5rhptamind1Ar3ceproepfrath7ppocampusanwthevalue3angesfron12tow0,,B,,,,,Hippocampus,,10576
1182,,1,434457.0,10058,BAO0p0o221,,Invitriagilitytoinhib8t3H9OHePATb8hdinvtothydroxytryptahins1Arrceotorofrathipp9canpusandtgevalu4rang4cfr9m2t5tou36,,B,,,,,Hippocampus,,10576
1183,,1,19679.0,10058,BAO0p0022w,,Imbitdowbilituto8nhibit3H8iHDPATbjndinyto5hywrozy4ryptamine1Ateceptorofra5hi0poxampusqndthwvqluerangesggom2484,,B,,,,,Hippocampus,,10576
1184,,1,14537.0,10058,BAO00092e1,,Infitroahilitytoinhibitem8OHDoAThinribgto5hyxroxytryptwmih21Arece9hofifratbilp8campusandthevaluerxngesfrom486o5p,,B,,,,,Hippocampus,,10576
1185,,1,938156.0,10058,BAp0000e21,,lngutr9avilityto9nhibih3H8OHDPAgbondkngto5hydroxytru9fam9ne1xrecdptorofrafhippocxmpusandthevalue4angesfrok45,,B,,,,,Hippocampus,,10576
1186,,1,2807762.0,10058,BAi0p00221,,Invitroabikitytoinhibk63H8OHDPATbindingtotuyrroxytryltamogeqAr3cepfoeobrwthoppovqmpusanrvalueranhesfromw531,,B,,,,,Hippocampus,,10576
1187,,1,4899379.0,10058,BAO0p09221,,jnvi5roabili4ytoinhibit4H9OHDPATbindingtorhyvroxhtryptzmjnewA54ceptor0frathippocampjxagdbapueranyesfrom2741,,B,,,,,Hippocampus,,10576
1188,,1,3670658.0,10058,BAO0000q31,,onvit3oxbilityroinhibit3HoOHDPATbindingto4hydrlxytgy9tamine1Arecelt9r9fratyipoocajpuzxhdvaluersngecfr9m613,,B,,,,,Hippocampus,,10576
1189,Raftusborvegicuc,1,3373641.0,10058,BAO000032q,,Ihhibitoojlf3H7pHDPATfijdingto5hydroxytryphsm8ne1Aeeceptorofrathipp9vampus,,B,,,,10116.0,Hippocampus,,10576
1190,,1,2428209.0,10058,BAO9p00221,,Inditroabilitgtoibhibit3H8OHDPATbindijgtk5uudroxyyfypyamije1Agecspyorofrattipp8caklusNDisNlData,,B,,,,,Hippocampus,,10576
1191,,1,2303406.0,10058,BAOo0o0221,,Imvitroabklityfoinhibit3H8OHrPATbund8gfto5hudeoxyrryptamine1Arecepgorofrathippocahpuqandth3vap7wrzjgestrom162u,,B,,,,,Hippocampus,,10576
1192,,1,,12879,BwO0000o19,,Displxcfmentov3H2d8Npropylzjino8hywroxyfeyralinfromceb4rai5hydrlxytryptxjihe1Areceptorrecobno4ionditesihtwtfrontalcorgexhonogdnates,,B,,,,,,,10576
1193,,1,,11964,BzO0900019,,D7s0lwcrnentofradiokigand3H2diNpdopylamig88gydroxytfrdalintrom5hyd3oxytryltqnine1Arecepforigratgrontalcortexhom0genatw,,B,,,,,,,10576
1194,,1,,11964,vAp0000019,,fisppacementofradiolkgand3H2xiNproptlsminl8hyv3oxygetralinfrom5hyrtkxytry9tamine1Ageceptoribrahfronrakcor6exhomofenateeapetinemt1,,B,,,,,,,10576
1195,,1,,11964,BqO0o00019,,D7spladementof3ad9oligand3b2ciNoro9ylamin08hydricyte4falinfrom5hydroxytr70tamineqAreceptodunratfrontakcortedhonogehatedxperumente,,B,,,,,,,10576
1196,,1,3721652.0,9548,hAO9000221,,Evakuxteegofbindingafrib8tytowardsthhdroxytgyptankne1A5eceptorinratbrain,,B,,,,,Brain,,10576
1197,,1,,9098,BAOp0p0019,,Evxlhatedforthenindjhgaffini5ytomippocampuss4ristapmembranexat5hgdroxytr7otamine1Areceptorbineingsitwby7sohf3H8lgDPATaxafadi8liganf,,B,,,,,,,10576
1198,,1,,9098,BA89000019,,Evaluahedforthebihwingaff7nityt8hippocam0usz4flstalmembranesa55gysroxytryptakineqAreceltorbundijgsk5ebyusinf3n8OHDPAfasaradioligsndNvizn8data,,B,,,,,,,10576
1199,,1,,9098,BAp0000010,,Efaluatedforthebimxingaffijitytohi9oocwmp8sstdiahaomembraneaag5hydroxytrhp6zmlneqArede0torgindibtsitebjusint3H8OHDlqTasaradioligandNDmfansnodata,,B,,,,,,,10576
1200,,1,,13248,BAO0o0021p,,lhcjtrldispkzcekegfofradipactivelyoqbeledlibahd3H8OHDPATfrom5hudroxytrgptaminewAreceptoesiteibCHOcells,,B,,,,,,CHO,10576
1201,,1,,3147,BA000o0249,,jnvitroahilktyt8inbubit3H8OHDPATbindingtk5hydg8x6tryptamone1Arwceptorinfwtc9rticxlmsnbranes,,B,,,,,,,10576
1202,,1,,13949,BAOp009019,,Invitr9nindijyaccinityagaknst5yydrksjtrypyajinf1Areceptorofratcerebrapcortdzusing3H8lHDPAfasrad8oligand,,B,,,,,,,10576
1203,,1,,11883,BAOp0002q8,,Inbitrobihdingaff7nityagainct5hydgozytr6ptqnin21Aeeceptor8sijg3H8OHDPxTas4adi9ligandihCHOs2llssc,,B,,,,,,CHO,10576
1204,,1,,11883,BAO00o0219,,Ihvihrobimdingarfinituagainst5yydroxutr7ptamone1Arece0torusknheH8OHDPATaginisgaqtadioligandss,,B,,,,,,,10576
1205,Rattusn8rvehicue,1,,11883,BAO000034y,,Invitrobindingaftimit7againsgthydroaytryptajij31Ardcephorusibg3H80HDoAT,,B,,,,10116.0,,,10576
1206,,1,,15535,BAO00o0240,,Ijgitrobonringaffinit5at6HT1At2c49t0rsassayedbydisplaxemenhov3n8OHDPATftom5hydroxhtryohamine1Arece0t8rinrathip0ocampalnemgganes,nembranes,B,,,,,,,10576
1207,,1,,15535,BAO0000238,,Inci6rogindingaffinltyat5Hg1Areceptirbyjwasuflngirsavil8tytodisplace3H8OHDlATfr0k5hydroxyttyptamine1srecepg0rinratho9pocanpqlhembranfecortez,,B,,,,,,,10576
1208,,1,,15535,BxO00o0249,,Igvitrohinwingaffigltyat5HT1z3ecel4orhumeaquringitsahipitygodisplace3H8OHDPATfrkm5hyd4oxytry9tanigs1qrec3ptorinrarhipp8campalmenbgabescortex,,B,,,,,,,10576
1209,H8nosapiens,1,,16372,BzO0009219,,Displacem4ntof3HuOHDPAhfgomhukab5hywroxytryltqmijeqseece9torexpressexinCHOcells,,B,,,,9606.0,,CHO,51
1210,,1,,14608,gAO0009249,,Inditrog7mdingabfihitygor5hydrox6try0tamine1Areceptofonfstyilpocanpqlmembraneqbt125Ilafei4dagonistdisplacement,,B,,,,,,,10576
1211,Rattuwnkrvegicua,1,1425143.0,4795,BxO00002q1,,D9splavemegtof3H8OtDoAhfrom5hydrkxutryptamige1wrece9torofgath9ppocahpus,,B,,,,10116.0,Hippocampus,,10576
1212,,1,,13863,gAO0000w57,,Igvi4robindingadf9nityofcompoundtowardsyh5eroxyteyptamln21Arec3ltorwaseetsrminedusingwt8OHrPzTasradiok9gabd,,B,,,,,,,10576
1213,,1,,13863,BAO0900257,,Igvitr8bibfingaffin8gy0fslmpoundtowards4hydroxytryptamine1Areceptprwasddterhihedusing3n8OHDPwTas5aroolibagdrange100q3o,,B,,,,,,,10576
1214,,1,,13863,BAO000935y,,Ihvitrofindingaftini5yofconpoundtowarcs5hydriayt5yptamine1Aredept8rwasdetermineeueing4H8iHDPqTasradoollvsnsrangs1114,,B,,,,,,,10576
1215,,1,,13863,BAO0op0357,,knvitr9bindingaffinityofcompoujdtowarrs5hgddoxytrtptam9ne1wrec4ltlrwasdfte4minefusinn3b8OjDPATasdaeiollgandranhw1620,,B,,,,,,,10576
1216,,1,,13863,nAO0009357,,Invit50blndingaffinity8fcompkundtowwdds5hudroxytry9tamine1xrecrp40rwasdetwrmin2duwihb4H8OHDPATasradioligzndrange17044o,,B,,,,,,,10576
1217,,1,,13863,BAO090035u,,Inbitrobindlngaff7mityofsompoujdtosards5mheroxytry0tamime1Aresfp6orwasdetrrmijedusinr3H8OHDPATaxraduoilgandrange174q24,,B,,,,,,,10576
1218,,1,,13863,BAOo0003y7,,Invitronindungaffinutyofconpo8ndtodards5hyde8x7tryotanins1A5sceltor3asdetftminedusinh3H88HvPATasfadioligandrange184504,,B,,,,,,,10576
1219,,1,,13863,vAO0900357,,lgvitrobindlnnaffinitykffompoundtowarfs5hydfoxytryltam8ge1Aeecepto5wasdeterminexuaong3HoOmD9ATasgadioligzndrannew923,,B,,,,,,,10576
1220,,1,,13863,BAO9p00357,,Ijvitrobimdingaffini4yofconpohndtowarfs5mydroxytr7ltsmine1s5ecfptorwasdehermin4duwing3H8OHDPATasracooligandewnveq231,,B,,,,,,,10576
1221,,1,,13863,BAOo00035y,,7nvitgibindingaffini5yofcompoundtowards5ytdroxytruptxkine1sr2c3ptorwssdetermimedycibg3t8OHDPATas4adiiligamdrwnge2737,,B,,,,,,,10576
1222,,1,,13863,BzO0090357,,8nvi548binwingaveigltyofcompoundtowardsyhydroxjtryptxmine1Ar4ce05orwasdetermin3dusinh3gi8uDPATasradioiugandrange2023,,B,,,,,,,10576
1223,,1,,13863,BxO00o0357,,8nditrobindingxffibityoecompoundtodards5hydroxytryptamine1A42depfo3wazdeterjibfdyc7ng3H8OHD9ATasradioliyamdrqngf2128,,B,,,,,,,10576
1224,,1,,13863,BAO9000367,,Invitrobindingaffihity8fcompoundtodardcyhhdfozyfryptamine1A4eceotorwaddeterminefusibg3j8lHDPsTssrzriopibajdrange240760,,B,,,,,,,10576
1225,,1,,13863,BAi00003y7,,Ijvitr8bjnvingaefinituofcomooundt9wards5hydroxjgruptamine1Aredepto5wadd2ternlnedusing3H8OHDPATasrqdiil9ganwrange498y,,B,,,,,,,10576
1226,,1,,13863,BwO000035u,,lgvit3obindingaffinityifdompoubdtpwarea5hgcroxh5ryptamine2Areceptodwasdw6ermineeusujg3HoOHDPATasradiolirandrange4653,,B,,,,,,,10576
1227,,1,,9742,BxO00o0019,,Inhibutkryadtiv7tyresgedimvitroat5tydroxytry0taminr2Adecepyorbindingsoteinra6,,B,,,,,,,10576
1228,,1,,12073,BAO000036y,,Inhobitoryconcejt4ationagains65hydrox7t5yphwnime1Arecepto4,,B,,,,,,,10576
1229,,1,,4101,Bs00000357,,Inhibit8rycogcentrzfoknagaibstbindinfot5hydroxytryphxmineqAreceptorf5omqtriataodmaleWjstarrarsbydis9laxehentkfeH8OHDoAT,,B,,,,,,,10576
1230,,1,,15360,BAO0o000w9,,Igh7bitoryconcfntrationwgainztrad8ooihanw3Ht7dr8xy2xkbpropylaminotdtraligbindingtk5nydroxytryptamibf1A4ecepgorinrat,,B,,,,,,,10576
1231,,1,1050176.0,11576,gAO00002w1,,Inhjbi5oryconcsntrwtiinagalnstraeioliganf3H99HwPATbinduhgyorathippodampal5hydrozytryptamine1Arexelgoe,,B,,,,,Hippocampus,,10576
1232,,1,,5834,BzO0000018,,Ibhibitionoftte5hycroxgtryltam9ne1A54ceptorinrateo3sal5aphe,,B,,,,,,,10576
1233,5att7cnorvegicus,1,,2395,BAO0000e1o,,Inhinitkryxondentratiobayainst3H8OyxPATbindinht85hydris5gryp5amime1Areceptorexlr2ssedinCHOK1celks,,B,,,,10116.0,,CHO-K1,10576
1234,,1,,1375,BA80090019,,Trsteeinfitroc8rreseptorbimdingaffibityto4hudroxytryp6am8g31sreceptlginratcoetexusing3mOjDPATradioligand,,B,,,,,,,10576
1235,,1,,1375,fAO0000029,,Testeeinvitrofirreceptorb9ndingzffinitggo4hydrosytryphamineqAeecep49rinratfor6exjskng3jOHD9Agrad9oligajdNTmeansgottssted,,B,,,,,,,10576
1236,,1,,3967,BAO000pe57,,gydcompoundwzdefwluqtedfortydabili6y5odiwpoace3H8OHDPA5from6jydroxytryptanine1Ardcept0rstgiataofmaleqistarrats,,B,,,,,,,10576
1237,,1,,12884,BsO00p0357,,Bindingaffinityt9wqrds5hydroxyt36ptamihwwArfceltorbindijgs9teusljg3H8lHrPAT,,B,,,,,,,10576
1238,,1,,2343,BAO000p257,,Bind8ngarf8gutytowarcs5jydroxytruptamine2xrexeptoruzinfreceptirbind8ngassay,,B,,,,,,,10576
1239,,1,,11511,BAO0900o19,,Thecompougdwastestwdinv9t4ofprinhibo4oryactivityabainsy5HT2Ardcfptoribratsusing4HulyDPATasradiolugwnx,,B,,,,,,,10576
1240,5atfusnkrvegicus,1,,11511,BAOpp00019,,Inhibitoryactivityagaknst5h5wrocyt5yltwkine1Arecepto3inratdusing3H8OHs9xTzeraeiopigand,,B,,,,10116.0,,,10576
1241,,1,,16394,BAOp000e18,,Antabogistixavtivi4gstpostsynxptic5hydroxyttyptamin3qAreseptorwscmeasursdbyitsabilityto8mhivithypith2rmiaekicltewfyscadmlnie6eatilnof8OHDPATinrat,,F,,In vivo,,,,,10576
1242,,1,,16394,BAO0o00118,,Antagonistjxxctodktyatpostzynwptix5bydroxytryptamime1Arecep6pgwqsmeaxureefyotsab9lit7toighlbithypotbermiaelicitddbyscadministrat7onoe8OHDPATimratrxng2sfromp20620,,F,,In vivo,,,,,10576
1243,,1,,16394,BAOp900218,,Anfagonisticactivityahpos5synaptic5hydroxytryptaminewqr3de9torwawmeasurdfbyo4sabilitytoinhiblthypothermizflicitsdbywcadmin7s6gatoinof8OHDPATibrarrwjredfeon0q0160,,F,,In vivo,,,,,10576
1244,,1,,16394,BzO0090218,,Antagonlsticadt9fityatpowysyna04icytydrox5tryptamije1Areceptorwasmeacurevbyigszb8oitytoinhibithy00therm8aelicih4dbhscadministrationof8iHDlATknratesngesf5om0e018o,,F,,In vivo,,,,,10576
1245,,1,,16394,BsO0000228,,Antagojistocwctibityztpostsynaptix6hydrosyhryptaminr1Agecel4ogwqxjeqsurevfyitsav9luty4oinhogithypothe5miaelicit4dbyscadminosyrationof8OHcPATigratrangesfrom037427,,F,,In vivo,,,,,10576
1246,,1,,16394,BAO00092q8,,Antwgon8stivachjvitjarpostsynaptic5hydroxytrypgak9be1Arecel6orwasmeasursdbyitsahipitytoinhiblthypoth3rmiaeoicitedbyxcacminiq5rat99nof8OHDlAT7nrstrangrwfrom040e7p,,F,,In vivo,,,,,10576
1247,,1,,16394,BAO00p0219,,Antxg9nisylcactkvityatpoqtzyna9tivrhydr9xytryp5aminf1Areceptorwxsmewshtedbyitsabilitytoinhugjthypothermiaskicitedbyacadmibisgrationob8OHDPATinrqtfamgesffom0e04,,F,,In vivo,,,,,10576
1248,,1,,16394,gwO0000218,,Angxgonistocqctivihya5posgdynwptic5hydroxytryp6amihe1Arexeotorwasmeacuredfyitsabikitytoinhibithy9ohherkiael7citedbyscaeminis5gatiogof8OHDPwT9hrwfgangdcfrom045451,,F,,In vivo,,,,,10576
1249,,1,,16394,BAO0oo0218,,An6agonisticactifit6atpostsygaptic5hydeoxyrrjptamine1Arrce0tlrwsshwasuredbyitdaniiorytolnjibuthypothedmia3llcitedbyscacministra5oonof8OHDPATinrzhrsngesfrim040530,,F,,In vivo,,,,,10576
1250,,1,,16394,BAl0000217,,Antsgonksridac4ivit7atoosfsyhaptic5hydr0dytryptamine1wteceotoraasmesxyredbyitsabulktytoinhibithu0otgermiaelic94ddbyscadjinixtrationof8OHDPATinratrwngwsffom0601y0,,F,,In vivo,,,,,10576
1251,,1,,16394,BqO0900218,,Antavonis6icavtovityxtp9stsynwptic5hydroxytr6ptajinewArece0torwashessurexby7rsabilityto8ngibifhypotm2rmia4lici5edbysvzskinistrsyionof8OnDPATinratrangesfdom0y2287,,F,,In vivo,,,,,10576
1252,,1,,16394,BAO0009118,,Abtavonisticactivkttztp0stejna0tic4hydroxyhryptamlbf1Areceptorwasmeasuredby96sabil9thyoijhibighypo5heehiael7vitedbyscafn8nistrationof8OHDPA47nratrangesbrom080580,,F,,In vivo,,,,,10576
1253,,1,,16394,BxO000p218,,zntagonishicactkcityatp8etcunaptic5hydrodytryptsmine1Arecep6orwasnfasuredbyigsabikitytoiny9hlthypothermiaepocotedbyscadmjnistdationof8OHDosTunratranyesgr9m15p166,,F,,In vivo,,,,,10576
1254,,1,,16394,BAO00p0q18,,qntagonistixactivityatpostsynaptic5hjdgoxytryptsj9ne1wreceptorwaxmeasu4edbyihsagil8tytoohhibithypotgegmiadllcigedbyzcwdminis4gwtionof8OgwPzTinra4rannesdrom2w0305,,F,,In vivo,,,,,10576
1255,,1,,16394,BwO00002q8,,Agtwgonistixactivi4yatpksgsynapticrhywroxytry0takkne1Arrceptorwacmeasur2db5i6eabipitytoinh7bithypothermlaelidltesbysxadministrahiomof8OHDPATibgatrannesisn8tckmpuhagle,,F,,In vivo,,,,,10576
1256,Rzytusno4vegicus,1,,16616,BxO0000259,,Pedcentincrease9fR8OjwPATwtihulated35eGTPbammaSbindingt0ruydr8xytrypranine1qreceptofijisolqtedrathklpocampalmfkfranes,Membran2s,F,,,,10116.0,,,10576
1257,,1,,16796,BAOp0000w9,,inhibitiongowxrds5HTwxreceptlrfromrathopposampapmemfrwneq,,B,,,,,,,10576
1258,,1,,16796,BAOp090019,,ighjbitiobtowarxs5jydroxy64yptxm9ne1Arecsptorf5omrathippocxmpqlhembranes,,B,,,,,,,10576
1259,,1,,15629,fAO0900357,,hestefinvitrofotinh7bifionagaijxtserktonin5HT1Arefepyoe,,B,,,,,,,10576
1260,,1,,13241,BxO00002t9,,Abilifyt0inhibit5HTsensitivecorwmolijatimulstedadenyl6lcyclqzetSCxcticityinrathippocampalmwmbfan2zmsd7atesyhroughtmydrozytryptamineqArecept9g,,F,,,,,,,10576
1261,,1,1483531.0,12073,BzO0o00221,,Measurememtofbigvihgaffinitybgrisplacehentof3H7OHDPATfrpm5nydrox7tryp4amohe1zrecept0rijra6hippicanpus,,B,,,,,Hippocampus,,10576
1262,,1,6439388.0,14286,fAO00002e9,,fompkunsah10E5Mwas5esteeinvi55oforyheinhihitilnofradiooigznd3H88HcPAThindingyo5hydr9zyyryogamije1Areseptorinrathippocampzlnembrane,,B,,,,,Hippocampus,,10576
1263,,1,344007.0,14542,BqO0900221,,Compoundiseval8atrdgorgind7mgwgfunitytowards5hudroxy4eypfajine1Areceptoruskbg3H8OHwPATljrztb5aincortexat10uM,,B,,,,,Brain,,10576
1264,,1,,13630,BA900p0019,,Effecton5hydrocy5g5ptamine1Ar3c3ptorjrdiatedinhibitipnofVolxtimklst3fdAMPlroductiobatdoseofo1uM10uM5HT,,F,,,,,,,10576
1265,,1,,13630,BAO000091o,,Effeftin4hydeoxytfgptajine2Areceptirmerizt4dinhibitionofVIPstlmulatedcAhPproduft7onatdoweor01uM5Hr,,F,,,,,,,10576
1266,,1,,13630,BsO0000p19,,Effectom5hydfoxyt5y05amine2wr3ceptoemsdistedihhibitiknofcIPstimulatedcAMPprodystionateoxeofp02uM1uM5HT,,F,,,,,,,10576
1267,,1,,13630,BqO000001o,,Effecton5uydroxyfry9tamime1Adeceptormefuatedlmylbit8omofcIPstimuiatedvAMPpdoductionatdoseoc005uh,,F,,,,,,,10576
1268,,1,,13630,fAO0090019,,Effect8n5hydr0xytduptanibs1Arecept8rmediat2d7nuibiriom9fVIPstim6latedcAMPproducto8natdoseofoo5uM,,F,,,,,,,10576
1269,,1,,13630,BAp00000q9,,Efvec4ob5hydroz6tr6pfajine1AreceptormfdiwtedinnibitionofVIPsrihulag3dcAMPpeoxuctionatdoself005uj1uM5H5,,F,,,,,,,10576
1270,Rattusm0rvevicus,1,,13630,BAO00000w0,,Effectagainst5hyddox7tryphanije1Ardce9tormediated7nmibjtoonofVIPctimklareddAMPlrpduc5ionat91uMdose,,F,,,,10116.0,,,10576
1271,,1,,13630,BAO0o0p019,,Efbectinyhydr9xytryotqmine1Arefept9rmedlatedinhibitionofVIPwtimulstsscwMPproducriomstdosepfo1uMw0uM5HT,,F,,,,,,,10576
1272,,1,,13630,BAOp0000q9,,Eefectpn4hydgpxytrypysmime1Arecep6ornedia53djnhififionofbIPstimulq4edcAMPproductionatdoseor91uM1uM5HT,,F,,,,,,,10576
