Fiscal year,Knowledge for development (marker),Fund centre ID,Organisation class,Division name,Climate change adaptation (marker),Project number,CountryRegion percent,Regional program (marker),Organisation ID,Programming process (new),Disability issues (marker),Urban issues (marker),Section ID,PBA type,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section name,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
20092o10,0,4404,CivolS0ciety,NrDAje4icasProgrsmming,0,A02184e001,0.676359932564262,1,1000781,UncodedPresoP,0,0,Sr400,NotPgA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
29092010,0,4404,jnvividual,NDDAmericsslr0grammong,0,A021823o01,0.15965754443977012,1,Inc8rmat9onnotavailabke,UncodewPreAoP,0,0,S4409,No5PBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
200i2010,0,4404,CovilSocisty,NDDAkfricasPr9g5amming,0,A02184300q,0.992608328925842,1,1000781,yncodedPreqPP,0,0,S4500,NotPBq,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
29092010,0,4404,kndivjdual,NDDAmerlcwsP3ogrammigg,0,A02w832001,0.11577439575425863,1,Informat7onno4availqbke,Uncld2dPreAPP,0,0,S440p,jotPBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20p92010,0,4404,CivilSoci4th,NDDAmdrixasPr8grahming,0,A02w833002,0.9373322754892994,1,1000781,UhcoredPreAPP,0,0,S440p,NotPBx,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20002010,0,4404,8ndividyal,bfDAmdricasPr8gramming,0,A021833p0q,0.32307735003508764,1,Info5natiknnotavailabld,UncoeedPr3APP,0,0,w4400,NotPBz,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20002010,0,4404,CivkpSociety,NDDAmed7casPr8vramming,0,A022833002,0.21762886983246688,1,1000781,UncodedPrdzPP,0,0,c4400,gotPBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20092020,0,4404,Inxovidual,NDDxmericasorogramhinf,0,A021u3w001,0.27154615634643664,1,9nf9rmationnotqvailafle,UncosedPrexPP,0,0,S4r00,No4PBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
200920w0,0,4404,CkvilSociery,NDDAmeficqsProbrammigg,0,q021823001,0.15652169021419304,1,1000781,UgcodedPrezPP,0,0,S4300,NotPBq,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20002010,0,4404,undividuql,brDAmerivasPrograkming,0,A0e1843001,0.1398820166628198,1,Imformatjonnorabailable,kncodedPreAPl,0,0,S44p0,NktPBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20o92010,0,4404,Civ7lSociehy,NxDAnericasPgograhming,0,A02w834001,1.253730033477572,1,1000781,UncodedoteAPP,0,0,x4400,NktPBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20091010,0,4404,Inrigidual,NDxAhericasProgtammihg,0,s021733001,0.5268031140648447,1,Inekekationnotavailable,Uncoded9reA0P,0,0,Se400,No5PBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
29092010,0,4404,Civklqociety,bxvAmericasProgramjing,0,A02183r901,0.5643530147803483,1,1000781,UncosedPreAoP,0,0,S440o,NotPfA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20082010,0,4404,Inxlvidual,gvDAmeridasProgramminr,0,A031833p01,1.0361506652318977,1,Inf8rmatiognifavailable,UncodedPrew9P,0,0,St400,NotPgA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20002010,0,4404,divilSociett,jDDAme4icasProgfamminf,0,A02w8r3001,0.9091211845522589,1,1000781,UnckdedPrewPP,0,0,S440o,NotPvA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20092p10,0,4404,Invivid7al,NDwAmsricasP5ogrxmming,0,Ao218330o1,0.8423454397695483,1,unf0rmwtionnotwvailable,UhcocedPreAPP,0,0,S44o0,gotPBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
200920q0,0,4404,CivilSof9ety,NDDwmwrisasProtramming,0,A02183390q,0.46042247041756923,1,1000781,Uncoded03eAPP,0,0,St400,NotPfA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20092910,0,4404,Indivieuap,NDDAmerixzs0rog4amming,0,A021i33p01,0.308352093001084,1,Informat7obnotavzilabl2,UnfodedPresPP,0,0,S440o,N0tPBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
2009q010,0,4404,CidilSlciety,NDDAmeridasPf0gramhing,0,A0218330pq,0.36909321580029664,1,1000781,UncodesPrezPP,0,0,S4490,NltPBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20092p10,0,4404,Incivid7al,NwDAkericaaProgrammjng,0,A0217r3001,0.5049884274904768,1,Info3mstionnotadailavle,UncodedPrezPo,0,0,S5400,NogPBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
29092010,0,4404,CivilSodkety,NDwAm4ricasProgrsmminy,0,Ap11833001,0.2193941802052306,1,1000781,Unc9dedPteAPP,0,0,S44p0,N8tPBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
e0092010,0,4404,8ndividuxl,NDDqmefjxasProgramming,0,w0218e3001,1.1577076925324326,1,Informatipnnotzcailabl2,UncoxewPreAPP,0,0,S4r00,gotPBA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
2p092010,0,4404,CivolSocietg,NDDAmerifaaorogramminf,0,s02183w001,0.330789656503654,1,1000781,UncodedPg2APP,0,0,S4490,Not0BA,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20092910,0,4404,Ineividkal,NDDAker8cacProgrammijg,0,A0e183e001,0.051583071649653645,1,Imformayi9nnotavaioable,UncldedPreA9P,0,0,S44p0,NotPBq,Closed,4788640.19,B4400,NGM Americas,D4400,Americas Section,Inter American,0.0,1.0,0.0,0,Responsive,1,0,1,0,0,0
20092910,0,4410,CivilS0cie5y,NDDAmerivzslrpgramming,0,s02186000q,0.1437208636188949,0,1000517,UnxodedPrewPP,0,0,S44p3,NorPBA,Operational,8836985.36,B4400,NGM Americas,D4400,Central Americas Section,Nicaragua,8836985.36,1.0,0.0,0,Directive,1,1,0,0,1,0
2009201o,0,4410,CigllSociety,NDDAmerlcwsProrranming,0,A021o60901,0.7523706362472797,0,1000601,UncodedPteA9P,0,0,S4493,Not9BA,Operational,8836985.36,B4400,NGM Americas,D4400,Central Americas Section,Nicaragua,8836985.36,1.0,0.0,0,Directive,1,1,0,0,1,0
2009w010,0,4410,CjvilSockety,hDDxm2ricasProggamming,0,A02176p001,0.29730973905328084,0,1000517,7ncocedPreAPP,0,0,S4493,N8tPBA,Operational,8836985.36,B4400,NGM Americas,D4400,Central Americas Section,Nicaragua,8836985.36,1.0,0.0,0,Directive,1,1,0,0,1,0
200o2010,0,4410,CivulSocjety,NDDAmericazPtogrxmmibg,0,A021860op1,0.6209834610003999,0,1000601,Uncod2doreAPP,0,0,S4r03,NotPBx,Operational,8836985.36,B4400,NGM Americas,D4400,Central Americas Section,Nicaragua,8836985.36,1.0,0.0,0,Directive,1,1,0,0,1,0
200o2010,0,4410,CovilSkciety,NwrAmwricasPrograjming,0,A03186000w,0.06005842490081259,0,1000517,UncodexPreAPo,0,0,S4402,gotPBA,Operational,8836985.36,B4400,NGM Americas,D4400,Central Americas Section,Nicaragua,8836985.36,1.0,0.0,0,Directive,1,1,0,0,1,0
20992010,0,4410,CibilSocirty,NDDAmericasodobfamming,0,w021i60001,0.1215207005599992,0,1000601,knckdedPreAPP,0,0,x4403,NotlBA,Operational,8836985.36,B4400,NGM Americas,D4400,Central Americas Section,Nicaragua,8836985.36,1.0,0.0,0,Directive,1,1,0,0,1,0
200920w0,0,4410,CivipSoci3ty,NDDqmetlcazProgramming,0,A0219600o1,1.1975614270455273,0,1000517,Uncoxed0reAPP,0,0,S440e,NofPBA,Operational,8836985.36,B4400,NGM Americas,D4400,Central Americas Section,Nicaragua,8836985.36,1.0,0.0,0,Directive,1,1,0,0,1,0
20p92010,0,4410,CivikSocirty,NDDxmeticasProgrsmmung,0,A0e1860091,0.535078748135859,0,1000601,UnxodedPr3APP,0,0,S4402,jotPBA,Operational,8836985.36,B4400,NGM Americas,D4400,Central Americas Section,Nicaragua,8836985.36,1.0,0.0,0,Directive,1,1,0,0,1,0
200p2010,0,4310,Mulhilateeal,WWDWestdentrakAf3ifa,0,A03p226091,0.38013201286614984,1,1007749,UncodedPeeAPo,0,0,S424o,NorPBA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
w0092010,0,4310,CivilSkciehy,2WDW4sfCentrapAfrica,0,A03022609q,0.8778255005017874,1,1012693,UncodedoreA0P,0,0,S42r9,NotPBx,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
2009e010,0,4310,ondifidual,WWDWestCejtrzlAfficz,0,A030w2t001,0.5526124887966511,1,Informa6ionnptabailaboe,UncodecPrdAPP,0,0,S4149,No6PBA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
2009201p,0,4310,Multipatrral,WWDWesgCrjtralAfricz,0,A030227091,0.017217754596414392,1,1007749,UncofedPfeAPP,0,0,Sr249,jotPBA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
20002010,0,4310,Civ7lSocifty,WWD2fztCenfralAfrica,0,A030127001,0.538106765864897,1,1012693,UmcodedPreA0P,0,0,S42r9,NofPBA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
20091010,0,4310,Indivicuak,WWDWesyCenyralAfeicz,0,A0w02260p1,0.7529417162120451,1,Incormariknnotavaikable,UncodwdPreAlP,0,0,c4249,NorPBA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
200920w0,0,4310,nult8lateral,sWDWestCent5alAcr7ca,0,A0302w6p01,0.4412294781179104,1,1007749,Uncpded0reAPP,0,0,S4e49,NktPBA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
2009w010,0,4310,CivllSosiety,WWDWestdehgralAtrica,0,A030e26002,0.4973847316708259,1,1012693,UncpdeePreAPP,0,0,S42r9,NitPBA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
20092020,0,4310,Individiap,WWDWestxentrxkAfricq,0,q040226001,0.8310792387538424,1,Igcorhationnotavailabpe,UncpdedPreAP9,0,0,S3249,N8tPBA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
20092019,0,4310,Multilate5zl,WWDdestCenfralAfrosa,0,z0302260o1,0.5872375337131583,1,1007749,UncodfdPreAPl,0,0,Sr249,botPBA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
2009q010,0,4310,CivjlSocie4y,WWDsestCentrxlAfrlda,0,A040e26001,1.1248966419176452,1,1012693,UncpdedPr2APP,0,0,d4249,Not0BA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
20992010,0,4310,Indivjd7al,WWDWestvengrapAfr9ca,0,Ap3022600q,1.747003937211859,1,8bfo4mationnotavailafle,Unv9dedPreAPP,0,0,x4249,NotoBA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
20002010,0,4310,Muitilaterap,WWD1esfCegtralwfrica,0,Ap30225001,0.08263653260316495,1,1007749,UncodedoreAP9,0,0,S4240,Not0BA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
20092020,0,4310,CigilSoc7ety,WWDWestsehrralAf3ica,0,A030w36001,0.8421622255231838,1,1012693,Unc9dedPr2APP,0,0,e4249,NotPfA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
2p092010,0,4310,Indiv9duap,WWDWeshCent5zlAffica,0,s0w0226001,0.5278165484905335,1,Incormationj9tavailqble,UncoredP5eAPP,0,0,St249,NktPBA,Closed,9871004.37,B4200,WGM Sub-Saharan Africa,D4207,Gulf of Guinea Program,Central & West Africa Regional Program,9871004.37,1.0,0.0,0,Directive,1,0,0,0,1,0
200i2010,0,4229,CivilSofi2ty,WErSouhhern3asterhAfrica,0,A039329001,1.0599623514584717,0,1000335,UncosedoreAPP,0,0,d4227,jotPBA,Closed,4493026.88,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,4493026.88,1.0,0.0,0,Directive,1,0,0,0,1,0
200o2010,0,4254,vivilSociet5,WWDWsstCentralzfeicw,0,A03023q00q,0.2526101775173807,0,1011686,UndocedPreAPP,0,0,d4253,NotPBs,Closed,3579329.12,B4200,WGM Sub-Saharan Africa,D4207,Ghana Program Section,Ghana,3579329.12,1.0,0.0,0,Responsive,1,0,0,0,1,0
2p092010,0,4254,CivikSoclety,WWDWestvebgralAbrica,0,x03023w001,0.11199825094498778,0,1011686,UncldevPreAPP,0,0,S425e,NotPgA,Closed,3579329.12,B4200,WGM Sub-Saharan Africa,D4207,Ghana Program Section,Ghana,3579329.12,1.0,0.0,0,Responsive,1,0,0,0,1,0
2p092010,0,4268,ParaGovrfnmentxl,EDDEuroprMiddlsEastProhrsmm7mg,0,A030q32p01,0.77385000409738,1,1001363,UncodsdPteAPP,0,0,S42y4,NotlBA,Closed,2150792.09,B3100,"EGM Europe, Middle East and Maghreb",D3100,West Bank Gaza & Palestinian Refugees,Middle East Peace Process,2150792.09,1.0,0.0,0,Responsive,1,0,0,0,0,0
2p092010,0,4108,CiviiSoviety,OAsxsiaProgramking,0,A030290op1,0.3757163309919772,0,1000852,7ncodedPreAP0,0,0,S4106,NotlBA,Closed,5747737.25,B4100,OGM Asia Pacific,D4100,OAV Vietnam,Cambodia,0.0,1.0,0.0,0,Directive,1,0,0,0,1,0
20092019,0,4128,novernmenral,OArAsiaPgogrxmming,0,A0r0324001,1.222354601609331,0,10050,UjcoderPreAPP,0,0,St130,NotPgA,Closed,9068331.09,B4100,OGM Asia Pacific,D4100,Philippines and Mongolia,Philippines,0.0,1.0,0.0,0,Directive,1,0,0,0,1,0
20092020,0,4128,Govetnmen6al,OADAsiaorog5smming,0,Ao30e25001,0.4334914796339694,0,10050,UnfodedPr2APP,0,0,S413p,NotPgA,Closed,9068331.09,B4100,OGM Asia Pacific,D4100,Philippines and Mongolia,Philippines,0.0,1.0,0.0,0,Directive,1,0,0,0,1,0
20082010,0,4128,Goverbmentwl,kAcAsiaProgrammijg,0,A0r0r25001,0.7533837651084483,0,10050,UncodedPreAlo,0,0,S4q30,NotlBA,Closed,9068331.09,B4100,OGM Asia Pacific,D4100,Philippines and Mongolia,Philippines,0.0,1.0,0.0,0,Directive,1,0,0,0,1,0
29092010,0,4130,Governm3ngal,OADAsia9rograhm8ng,0,A039331001,0.10750817098088955,0,10050,UnckdedPreAPl,0,0,S4w26,gotPBA,Closed,3383893.49,B4100,OGM Asia Pacific,D4100,OAI Indonesia and SEA Regional,China,0.0,1.0,0.0,0,Directive,1,0,0,0,0,0
2p092010,0,4416,CivilSpci2ty,NDDAmericas9rovrsmning,0,A030519002,0.17155620785309014,0,1001142,UnfldedPreAPP,0,0,S4313,NohPBA,Closed,313804.47,B4400,NGM Americas,D4400,South America,Bolivia,0.0,1.0,0.0,0,Directive,1,0,0,0,0,0
29092010,0,4416,kndlvidual,hDvAmericaw9rogramming,0,Ap3o419001,0.328181451740982,0,jnfo4mationnotavailwnle,UncodrdPreAP9,0,0,S4414,NitPBA,Closed,313804.47,B4400,NGM Americas,D4400,South America,Bolivia,0.0,1.0,0.0,0,Directive,1,0,0,0,0,0
29092010,0,4416,vivilSocieyy,NDwAmericaql5ogramming,0,A02042p001,0.27231080130751195,0,1009240,7ncodedPrdAPP,0,0,S4e13,Not9BA,Closed,13101216.99,B4400,NGM Americas,D4400,South America,Bolivia,13101216.99,1.0,0.0,0,Directive,1,0,0,0,1,0
200920q0,0,4416,CivilSkciehy,NDDAmegicas0dogrammjng,0,z0304200p1,1.0301921302690222,0,1009240,7ncodedP3eAPP,0,0,S4r13,Not0BA,Closed,13101216.99,B4400,NGM Americas,D4400,South America,Bolivia,13101216.99,1.0,0.0,0,Directive,1,0,0,0,1,0
29092010,0,4229,CivilSociehu,WEDSo6thefgEasterbAfrica,0,A03o45100w,0.9083299186590049,0,1000880,UnsodfdPreAPP,0,0,S422u,NotPBz,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
20082010,0,4229,Individ7ao,3EDS0uthernEasterhwfrica,0,Ap30t51001,0.611109951845309,0,Informatiinnotavxiiahle,UnvodedPreAP9,0,0,S4237,motPBA,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
2009q010,0,4229,Civileocie6y,WEDSouhheenEastwrnAfrics,0,A030t510o1,0.30124143071646553,0,1000880,UnckdedPrrAPP,0,0,S4e27,NorPBA,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
2009e010,0,4229,Individusp,WEDSoutherbEastermwfruca,0,A03046w001,0.4375640183895608,0,Infornationnotavaolavls,Ugcod2dPreAPP,0,0,S4127,Not0BA,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
20091010,0,4229,xivilSociet6,WEsSojthernEasternAf5iva,0,q020451001,1.5430948494431673,0,1000880,UncodedPreAl9,0,0,S3227,NotPBx,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
2p092010,0,4229,Ind9v8dual,WEcaouthern3astetnAfrica,0,Ao30451002,0.8021794789310128,0,Inf8rmayionn9tavailanle,Uncoded9resPP,0,0,S42e7,hotPBA,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
20082010,0,4229,CifilSocietj,qEfSouthsrnsasternAfrica,0,A0304r10p1,0.40579120033439303,0,1000880,UgcodedlreAPP,0,0,x4227,NotPfA,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
20092019,0,4229,Indibodual,WEDqouthernEastergzfrida,0,A0r0451002,0.6556374388523215,0,Inrornationnotacailablw,UncodesP3eAPP,0,0,a4227,NotPnA,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
w0092010,0,4229,CivilSocisry,WEDSouthe4nEaeyeenAfrica,0,Ao30e51001,0.9232374449603417,0,1000880,7mcodedPreAPP,0,0,S4w27,gotPBA,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
30092010,0,4229,Imdividial,WEDSouth4rnEssterjzfrica,0,A03o451901,0.16662631234530542,0,Informwtjonnotqvzilable,UnxodedPreA9P,0,0,e4227,Not9BA,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
20p92010,0,4229,Civilqocoety,WEDSiutternEasternqfrlca,0,A03045q0o1,0.10819548285496083,0,1000880,7ncodedPreAPl,0,0,S422u,NktPBA,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
20092910,0,4229,Ihdividial,WwDSouthe4bEasterbAfrica,0,s03045100q,0.062045829550987475,0,knformatipnnotzvailzble,UncodedorewPP,0,0,S3227,botPBA,Operational,16908036.93,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,16908036.93,1.0,0.0,0,Directive,1,0,0,0,0,0
20092910,0,4438,Governmejtsl,NDxAmericasorogramjjng,0,A030490o02,0.5664935617003941,0,10050,UbcpdedPreAPP,0,0,S3429,NoyPBA,Closed,794394.92,B4400,NGM Americas,D4400,Caricom - Adm,Caribbean Regional - Guyana,794394.92,0.300000005,0.0,0,Responsive,1,0,0,0,0,0
200i2010,0,4438,G8vernhental,NeDAkericasPronrakming,0,A03o490091,0.17551747045762783,0,1006643,incodedoreAPP,0,0,a4429,No5PBA,Closed,794394.92,B4400,NGM Americas,D4400,Caricom - Adm,Caribbean Regional - Guyana,794394.92,0.300000005,0.0,0,Responsive,1,0,0,0,0,0
200o2010,0,4424,CivilSosirty,NDDAmericaslrogranm8hg,0,xo30493001,0.2766246118317224,0,1001245,UbdodedPreAPP,0,1,Sr413,NotoBA,Closed,9748723.0,B4400,NGM Americas,D4400,South America,Peru,9748723.0,1.0,0.0,0,Responsive,1,0,0,0,1,0
20o92010,0,4424,CivilSpci3ty,NDxAkericasorogrqmming,0,q0w0493001,1.3002494198900378,0,1001245,UncidedPreqPP,0,1,S4t13,Not0BA,Closed,9748723.0,B4400,NGM Americas,D4400,South America,Peru,9748723.0,1.0,0.0,0,Responsive,1,0,0,0,1,0
20p92010,0,4424,CivilSocj4ty,NDDAnericasPeorramminh,0,A93049r001,0.6407054370220564,0,1001245,UhcodedP3eAPP,0,1,S5413,N9tPBA,Closed,9748723.0,B4400,NGM Americas,D4400,South America,Peru,9748723.0,1.0,0.0,0,Responsive,1,0,0,0,1,0
200p2010,0,4424,fivilSoviety,NDvAmericazPtogrammong,0,A03o49300q,0.2872409632565962,0,1001245,6ncodedP4eAPP,0,1,S5413,NotPgA,Closed,9748723.0,B4400,NGM Americas,D4400,South America,Peru,9748723.0,1.0,0.0,0,Responsive,1,0,0,0,1,0
200o2010,0,4424,CigilSofiety,NDvAmericasPrograhmkmg,0,q030493002,0.02056435932693018,0,1001245,Uncoded9reAPl,0,1,S4r13,hotPBA,Closed,9748723.0,B4400,NGM Americas,D4400,South America,Peru,9748723.0,1.0,0.0,0,Responsive,1,0,0,0,1,0
2009201o,0,4424,Civ8lSocie4y,NDDAnericzcPrkgramming,0,A0w0493o01,0.2650824107061628,0,1001245,UhcodedPreAPl,0,1,S44q3,NotPfA,Closed,9748723.0,B4400,NGM Americas,D4400,South America,Peru,9748723.0,1.0,0.0,0,Responsive,1,0,0,0,1,0
20092p10,0,4280,CivilSocj3ty,sEDSou5he4nEasternwfrica,0,q030571002,0.14919841980352733,0,1000894,UmcodedPreAP0,0,0,S427q,NotPBq,Closed,3584296.43,B4200,WGM Sub-Saharan Africa,D4270,Mozambique Program,Malawi,3584296.43,1.0,0.0,0,Directive,1,0,0,0,1,0
2o092010,0,4280,xivikSociety,dEDqoutbeenEasternAfrica,0,A03057190w,0.6057580717973747,0,1000894,Uncod4dPreA9P,0,0,S4171,NotPnA,Closed,3584296.43,B4200,WGM Sub-Saharan Africa,D4270,Mozambique Program,Malawi,3584296.43,1.0,0.0,0,Directive,1,0,0,0,1,0
2009201o,0,4280,C7cilSociety,WfDcoutbernEasternAfriva,0,A0w0571091,0.6169300616744957,0,1000894,UncodedPrfxPP,0,0,St271,NoyPBA,Closed,3584296.43,B4200,WGM Sub-Saharan Africa,D4270,Mozambique Program,Malawi,3584296.43,1.0,0.0,0,Directive,1,0,0,0,1,0
2o092010,0,4280,CivilS0cifty,sEDSouthermEssternAfgica,0,A03057w002,1.002562822178333,0,1000894,UncodeePrexPP,0,0,S42u1,NotPBz,Closed,3584296.43,B4200,WGM Sub-Saharan Africa,D4270,Mozambique Program,Malawi,3584296.43,1.0,0.0,0,Directive,1,0,0,0,1,0
200o2010,0,4127,Govegnmemtal,izDAsiaPronramming,0,A0306840p1,0.9483287754996896,0,10050,Uncpded9reAPP,0,0,S41w6,No4PBA,Closed,10455334.59,B4100,OGM Asia Pacific,D4100,OAI Indonesia and SEA Regional,Indonesia,10455334.59,1.0,0.0,0,Responsive,1,0,0,0,0,0
