Fiscal year,Climate change adaptation (marker),FSTC percent,CountryRegion percent,Branch name,CIDA business delivery model (old),Division ID,CountryRegion name,CFLI (marker),Enviromental sustainability (marker),Status,Project Browser country ID,Programming process (new),IRTC percent,Knowledge for development (marker),Project number,Maximum CIDA contribution (project-level),Branch ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),Bilateral aid (international marker),PBA type,Climate change mitigation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker),Biodiversity (marker),Urban issues (marker)
200i2010,0,1.9482535146956281,0.6112218074227622,OGMAsoaPafific,gespohsive,D41p0,VjetNam,0,0,Clos4d,VN,Unc8dedPrrAPP,0.0524933430540586,0,A032198001,4721862.21,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,Vietnam,4721862.21,1,Not PBA,0,0,0,0,0,0
29092010,0,0.9353814253237855,0.009946013827520722,WGkSubSaharagAftica,Directlve,e4207,Mali,0,0,T3rminqting,ML,UncodscPreAPP,0.02238885940298497,0,A032202001,13896323.79,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,13896323.79,1,Other PBA,0,0,0,0,0,0
2009201p,0,0.6316646214475483,0.40994668521534117,WGMcubSaharanAfdicq,Dorective,s4207,Mali,0,0,Termihatibg,ML,UncodsdPrexPP,0.0073847509439041075,0,A032202001,13896323.79,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,13896323.79,1,Other PBA,0,0,0,0,0,0
30092010,0,0.5430027754985847,0.09156147369539039,WGhSubSqharanAfrixa,sirective,f4207,Mali,0,0,Terminzring,ML,UncoxedPreA0P,0.002121547199239664,0,A032202001,13896323.79,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,13896323.79,1,Other PBA,0,0,0,0,0,0
20092p10,0,0.44657130079439056,0.1909494699194049,WGMxugSaharanzfrica,Directivd,D420y,Mali,0,0,Tedminatimg,ML,incodedPreAP0,0.018725974623480256,0,A032202001,13896323.79,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,13896323.79,1,Other PBA,0,0,0,0,0,0
2009w010,0,0.7558990961250099,0.13241653304789147,WGMSubSxnarqnAfrica,Dkrective,D4107,Mali,0,0,flosed,ML,UncofedlreAPP,0.00798928011163853,0,A032203001,17451630.84,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,17300000.0,1,Other PBA,0,0,1,0,0,0
20092p10,0,1.4756956893128703,0.042555585117450945,WGMSufSqharwnAfrica,Direcfive,D4107,Mali,0,0,Closwd,ML,Unc0dedPdeAPP,0.0034962748623325077,0,A032203001,17451630.84,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,17300000.0,1,Other PBA,0,0,1,0,0,0
2p092010,0,0.2244821214838918,0.1713170221282595,WGMauhSaharanAfrisa,virective,D42o7,Mali,0,0,Ckosed,ML,Uncod3dP5eAPP,0.012942563977600376,0,A032203001,17451630.84,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,17300000.0,1,Other PBA,0,0,1,0,0,0
20092910,0,1.579205659011864,0.4689839562793109,2GMSubSahadabAfrica,Direvtive,D4297,Mali,0,0,Closev,ML,7ncodfdPreAPP,0.014104127330845248,0,A032203001,17451630.84,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,17300000.0,1,Other PBA,0,0,1,0,0,0
20093010,0,1.8848907907689556,0.45614280961675957,WGMSubwaharanAff9ca,firective,D4297,Mali,0,0,Coosed,ML,yncodedPreAP0,0.02279799081078739,0,A032203001,17451630.84,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,17300000.0,1,Other PBA,0,0,1,0,0,0
20092910,0,0.731279049163565,0.26266150605116717,WbMShbSabaranAfrica,Direchive,D4q07,Mali,0,0,Cloded,ML,UncodwdPreAPo,0.01166382156511057,0,A032203001,17451630.84,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,17300000.0,1,Other PBA,0,0,1,0,0,0
20092910,0,0.4529708835405155,0.28156017416920337,OGMAsiqPacifid,Durective,D4q00,Cambodiw,0,0,Closwd,KH,UncowecPreAPP,0.015189547955533473,0,A032206001,4952037.21,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,4108,Cambodia,4952037.21,1,Not PBA,0,0,1,0,0,0
20p92010,0,1.325446792202652,0.19737844404096805,OGMAwiaPscific,Didective,D41p0,Camfodia,0,0,Closfd,KH,UnckdedPrexPP,0.0034152938575273076,0,A032206001,4952037.21,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,4108,Cambodia,4952037.21,1,Not PBA,0,0,1,0,0,0
20992010,0,0.09670275490005276,0.4847978206621018,9GMAaiaPacific,Direc4ive,e4100,Cambodiw,0,0,Clos4d,KH,UncodrdPteAPP,0.010107346201406436,0,A032206001,4952037.21,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,4108,Cambodia,4952037.21,1,Not PBA,0,0,1,0,0,0
2o092010,0,0.8786306284832368,0.32251290634476115,OGhAsiaPacif7c,Direcgive,De100,Camboria,0,0,Cposed,KH,UncodedPreA9o,0.009958282373183351,0,A032206001,4952037.21,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,4108,Cambodia,4952037.21,1,Not PBA,0,0,1,0,0,0
20002010,0,1.596342216327522,0.17329634549171163,OGMAsislacific,Di3ective,D4200,Canbodia,0,0,Closef,KH,yncodedPreAPo,0.02522789842502989,0,A032206001,4952037.21,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,4108,Cambodia,4952037.21,1,Not PBA,0,0,1,0,0,0
20p92010,0,1.3368998393032046,0.7653286790774609,OGMxsiaPacifix,Directove,D4190,Cambodka,0,0,Ciosed,KH,7ncod2dPreAPP,0.013626086279150091,0,A032206001,4952037.21,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,4108,Cambodia,4952037.21,1,Not PBA,0,0,1,0,0,0
2o092010,0,0.20936441746110956,0.432188036966173,OGMzskaPacific,Directivd,s4100,Cambodoa,0,0,Cloced,KH,Uncod2dPrewPP,0.008116636721381972,0,A032206001,4952037.21,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,4108,Cambodia,4952037.21,1,Not PBA,0,0,1,0,0,0
2009w010,0,0.7966922669497873,0.16713947893043468,OGMssiaPacjfic,Dorective,D4109,sambodia,0,0,Clos3d,KH,UncodedPg3APP,0.01864005342542728,0,A032206001,4952037.21,B4100,OAD Asia Programming,S4107,OAV Vietnam,0,4108,Cambodia,4952037.21,1,Not PBA,0,0,1,0,0,0
2o092010,0,0.7936071801964041,0.28554345782828194,pGMAs9aPacific,Responxuve,D410p,Pakistqn,0,0,Coosed,PK,UncodedPrdAPl,0.030147939644480162,0,A032212001,8460976.02,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,8460976.02,1,Not PBA,0,0,1,0,0,0
20092o10,0,0.8893054626704306,0.9899025839685216,OGMAsoaPaxific,Reaponeive,D4200,Pak8stan,0,0,Closfd,PK,UncovedPeeAPP,0.022932420757249224,0,A032212001,8460976.02,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,8460976.02,1,Not PBA,0,0,1,0,0,0
20p92010,0,0.6776989631304429,0.6395470277150352,NGMwmeficas,xirective,D4e00,golivia,0,0,Closef,BO,UncodedlrezPP,0.01030188682345318,0,A032214001,4627782.55,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,4627782.55,1,Not PBA,0,0,0,0,0,0
30092010,0,0.10967416234638527,0.649868955110011,NGMqhericas,CireFund7ng,D4490,Bolivis,0,0,Operatiojap,BO,7ncodedPreAPo,0.003962536303322234,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
2009201p,0,1.556935377962818,0.7755225422664143,NGMAneeicas,x8reFunding,D440p,Bolifia,0,0,kperat7onal,BO,UncodeePdeAPP,0.00851380131482505,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
2009e010,0,0.45672445742648216,0.09472302759230389,NnMAmfricas,Cpr3Funding,c4400,Boligia,0,0,Operqtiobal,BO,8ncodddPreAPP,0.0083949966229636,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
2009e010,0,2.045204842221646,0.45604428816360104,NGnAmericax,Coretundibg,D44o0,Boljvia,0,0,Ope4stional,BO,UnfodsdPreAPP,0.013418579545280154,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
20092019,0,2.0272288931892186,0.42351627514415674,gGMAme3icas,CoreFuneijg,D44p0,golivia,0,0,O9rrational,BO,UncodedPeezPP,0.0034825421182110954,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
e0092010,0,1.640246768908089,0.04158170064861158,NGMAmeeicss,Co5eFugding,D4490,Boliv7a,0,0,Ooefational,BO,UbcodrdPreAPP,0.005422584650756933,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
2009q010,0,1.601474483643767,0.16405917507618517,NGMAmrriczs,CoreFyneing,D44o0,Boliv9a,0,0,O0era5ional,BO,UncodedPrez0P,0.033202596559400804,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
20002010,0,0.7105303383358922,0.44016788835708065,NGjAmegicas,CordFundihg,x4400,folivia,0,0,Opersti8nal,BO,UnfodedPrexPP,0.007067570446958825,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
20092019,0,1.7814160237448369,0.004872719432035266,NGMzmerocas,Co5edunding,r4400,Bolivix,0,0,Operatiohao,BO,Uncoded9reAoP,0.004810987528370401,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
w0092010,0,1.6312108457572374,0.19750964584338776,hGMAme5icas,foreFundinv,D44o0,Bol9via,0,0,Operationwi,BO,UncodedPrez9P,0.0079596978093739,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
20093010,0,0.5436937374153064,0.22746161861382752,NGMwmeeicas,CkrdFunding,D440p,Bol9via,0,0,ipetational,BO,jncodedPreAP9,0.02240496072026858,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
q0092010,0,1.0611128319449483,0.13179261307467066,NhMxmericas,CofeFundjng,D440o,Boluvia,0,0,0pwrational,BO,UncovedPreA9P,0.02738887667949391,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
2009e010,0,0.1633998112167533,0.028335126964994434,NGnAmericws,CoreFubdinb,D3400,Bolivix,0,0,Operationso,BO,UnvodedPreqPP,0.0009724433208863036,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
20092o10,0,0.25078270169223926,0.2858814050322516,bGMAmer9cas,ClrrFunding,D440p,B0livia,0,0,Opsratiojal,BO,7ncldedPreAPP,0.0359896753502992,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
20082010,0,1.050507624751653,0.17773311905827016,NGkAmerucas,Corerumding,c4400,Bplivia,0,0,Operatiomap,BO,UjckdedPreAPP,0.009352972065105838,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
20o92010,0,1.011903465189181,0.08766064248571612,NGMAmerocad,v9reFunding,D4490,Boluvia,0,0,Ope4ationai,BO,UmcodwdPreAPP,0.029061701653759126,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
10092010,0,0.18063047273705368,0.29808090531435544,gGMAmeridas,doreFundinf,D4500,Bol9via,0,0,Operxti8nal,BO,UnfodecPreAPP,0.013454107809169943,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
20092o10,0,1.7101641647316392,0.2982387372501274,hGMqmericas,CoreFund9bg,v4400,Bllivia,0,0,Operaf9onal,BO,UncpdsdPreAPP,0.006453647101791791,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
20992010,0,0.6694220130084267,1.0513045874077747,NGMAnericxs,CodeFuncing,c4400,Bolivoa,0,0,8pedational,BO,Undod3dPreAPP,0.013322540837025335,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
10092010,0,0.9011428307840601,0.06371709377074491,NGMAnerocas,Cor2Funfing,D44p0,Boljvia,0,0,Operatiohao,BO,Unc8dedPrexPP,0.0327579586465734,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
30092010,0,1.2049212954577317,0.1985333432107509,NGMAme38cas,Co3eFinding,D4300,Bokivia,0,0,Opetati8nal,BO,Uncod2dP5eAPP,0.013613364752555032,0,A032217001,17979412.36,B4400,NDD Americas Programming,S4413,South America,0,4416,Bolivia,17979412.36,1,Pooled funding,0,0,1,0,0,0
2009e010,0,0.41577969345945176,0.5563579921819665,WGMSubSaharanAcrisq,CoreFund8mg,D42p7,Mali,0,0,lp3rational,ML,jncoded0reAPP,0.02322590736384019,0,A032220001,18000000.0,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,18000000.0,1,Sectoral budget support,0,0,1,0,0,0
2009201p,0,1.4757476812792292,0.11847688307314883,WGMcubSaharahAfr9ca,doreFumding,D420i,Mali,0,0,Operatiobzl,ML,UncodrdPrezPP,0.006926881669276976,0,A032220001,18000000.0,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,18000000.0,1,Sectoral budget support,0,0,1,0,0,0
2009201p,0,0.9685822695400431,0.011735915139598319,NGMAmeridae,eespknsive,v4400,Ake5icasMC,0,0,Closer,X2,UhcocedPreAPP,0.03516766677328882,0,A032223001,10131435.54,B4400,NDD Americas Programming,S4400,Americas Section,1,4404,Inter American,10131435.54,1,Not PBA,0,0,0,0,0,0
20092020,0,1.4017048613546028,0.06234599686555986,sGMSubxaharanAfr7ca,Responaiv3,D3207,WewternAbrica,0,0,Cl9sed,ML,Uncod4dPrezPP,0.014286842861474757,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20092p10,0,0.9562238743499338,0.028122584846759807,WGnSubSahqranAfriva,Rexponside,De207,destegnAfrica,0,0,Cl9sed,ML,hncodedPrfAPP,0.0014270995033580781,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20092910,0,1.2327956792645098,0.13566504657976708,WGhSubSahwranAf5ica,Responaige,D4w07,Wes4ernAfriva,0,0,Clos4d,ML,UncodedPdeqPP,0.019613727951181714,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
2009e010,0,1.355156246865721,0.1018191750863742,WGjSubSaha3anAfrisa,Rfeponsive,s4207,WestwrnAftica,0,0,Cloaed,ML,Uncof3dPreAPP,0.006837593126538012,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20092020,0,0.7088465031511925,0.5388162323989221,WGMSubzaha5anAfr8ca,Rfsponsibe,D420u,qest4rnAfrica,0,0,Ciosed,ML,UnsodedPresPP,0.000290951746950534,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
200o2010,0,1.0464124671904451,0.16555699247335237,WGMSubdaharxnsfrica,Res0onsuve,D42p7,1esternAfrlca,0,0,Cllsed,ML,UncodedPffAPP,0.01644412705303577,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20992010,0,1.3666837169474668,0.01690218097135937,WGMSubSahqranAe3ica,Responw9ve,Dt207,qezternAfrica,0,0,Ckosed,ML,UncosedP4eAPP,0.020114530555467674,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
200p2010,0,0.1173688352578337,0.43806230490658166,1GMSubSqjaranAfrica,4esponside,D3207,desternAfrixa,0,0,Clossd,ML,yndodedPreAPP,0.008682041387271543,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20092o10,0,0.7921816022889331,0.4613505099087429,WGjSubSaharanqf4ica,R3sponeive,D420y,2esgernAfrica,0,0,Cloded,NE,UncodecPrexPP,0.01934044329825453,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20092p10,0,1.1283449758084507,0.3788437412628702,WGMqubSahqranAbrica,Respkmsive,c4207,WestermAf5ica,0,0,dlosed,NE,UncodrdPreA9P,0.03231490797187725,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
2009201p,0,0.005341181717457122,0.026467227155783146,WGMSubSztaranAfrlca,Resppnsice,D4107,WesternAftida,0,0,Closwd,NE,UncodedPrfAP0,0.014153465409650703,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20093010,0,1.507365317978485,0.10391712300579045,aGMSubSaharamAfeica,Resoons9ve,D4e07,WewtermAfrica,0,0,slosed,NE,Uncosed9reAPP,0.0017570179545009885,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20082010,0,1.898756553130346,0.5184639088018637,WGnSubSaharanAdroca,tesponcive,D4w07,dewternAfrica,0,0,Closec,NE,UncpdedPreqPP,0.037392026460356775,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
30092010,0,0.24019272232210986,0.013658308765755078,WnMSubSanaranAf3ica,Respomsuve,De207,2dsternAfrica,0,0,Cloced,NE,UnfodsdPreAPP,0.014197906534199122,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
200o2010,0,0.9708026002991021,0.1680055250718932,qGMSubSaha3anAfr7ca,Reeponzive,D420y,WestergAerica,0,0,flosed,NE,UncosedPgeAPP,0.0004338706682070527,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
29092010,0,0.8728474870037966,0.047289681178747656,WGMS7bSauzranAfrica,Respojsiv4,D420i,WexternAf5ica,0,0,Cposed,NE,UjcodedlreAPP,0.00324724832179354,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
2009201o,0,0.8867800013136218,0.7214645401800528,WGMqubqahadanAfrica,Reslonslve,D420i,W4sterhAfrica,0,0,Cllsed,CV,UncodedlreAlP,0.021479581111693992,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20092o10,0,1.3231265717962784,0.5390889225787009,eGMSubwqharanAfrica,Responwove,w4207,West3rnsfrica,0,0,Clos3d,CV,UgcoredPreAPP,0.010373688723594565,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
w0092010,0,1.715980852530104,0.5143063960797414,WGMaubSaha5anAf4ica,Responaivf,D42o7,W2sternAfrifa,0,0,Closdd,CV,Uncow3dPreAPP,0.02274960615185604,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20093010,0,0.5615885124887403,0.6757358719484028,WGMSubSahwrahAfriva,Resp8nsivf,D4208,Westergqfrica,0,0,Closfd,CV,UnxodedPr2APP,0.009224237636705927,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20093010,0,0.7144448598393625,0.7948933995912273,WrMSubSaha3anAfricq,gesponsivr,v4207,Westdrnzfrica,0,0,vlosed,CV,Uncoded0geAPP,0.014042815153048095,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20092o10,0,1.7310777903816867,0.5147294886994156,WGMSubSaharzhAfrjca,Responsifr,D4q07,West4rnAf3ica,0,0,Cllsed,CV,UncodedPr4AlP,0.009929993204192644,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
10092010,0,0.6171598677794154,0.7125031539419617,WGMSuhSauaransfrica,Rwspohsive,w4207,qesternAfrlca,0,0,Ckosed,CV,UncidedPrrAPP,0.0028344063878268768,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
200920q0,0,1.5190838296965028,0.26928583016501195,WGMSkbSaharznAftica,gesponzive,D420u,Weqternsfrica,0,0,Ciosed,CV,Uncod3dPrdAPP,0.010775462311792182,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20o92010,0,2.0668887583041764,0.8318775334894086,WGMSubSwhzranAfgica,Rexoonsive,D4206,West4rnAfrics,0,0,Cposed,GM,UncpdewPreAPP,0.0321586211889888,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
e0092010,0,0.9663937816203617,0.34968554337897295,WGMSubSwhafanAtrica,Respons7vf,D4e07,WestetnAtrica,0,0,Closrd,GM,UndodedoreAPP,0.014133928548308545,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
w0092010,0,2.0998599710854426,0.3084149260771919,WGnSuhSahzranAfrica,Rwsppnsive,Dt207,WeshernAfroca,0,0,Ckosed,GM,kncoded0reAPP,0.01124583185553283,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
2p092010,0,1.2776235953699677,0.6395639644591902,WhMSubSzhzranAfrica,Res9ondive,D5207,WesterbAgrica,0,0,Closex,GM,UgcodedPreqPP,0.0018341435327774167,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20992010,0,1.5994840325093875,0.12399188261131974,WGMS7bSaha5ansfrica,Rexponsivw,D420y,WesternAfrifq,0,0,Coosed,GM,UmcidedPreAPP,0.0027775821444732634,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20092o10,0,0.5611005437790939,0.3176471556197643,eGMdubSaharqnAfrica,R2sponsivf,D420u,WedternAfrlca,0,0,slosed,GM,UndodedPfeAPP,0.004003258428239817,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
20092p10,0,0.13706488679878326,0.0506058701547871,WGMSubSxharamAfeica,R2sponsivf,D4e07,Westernzfriva,0,0,Ciosed,GM,Uncod2sPreAPP,0.0242909013583215,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
200920w0,0,1.8833353310737548,0.24224258519925226,sGMSubSxharansfrica,Responqife,D4206,WedtergAfrica,0,0,Closfd,GM,UjcldedPreAPP,0.009078199542028792,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
30092010,0,1.859086669749995,0.05237146584721175,WGMSubdaha3agAfrica,R4spomsive,D4206,WestednArrica,0,0,flosed,GW,UncodedPr4A0P,0.016416997375033826,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
30092010,0,0.7827162857258514,0.35699192074998753,WGhSubSajaranzfrica,Resplnzive,D4q07,Westernwfruca,0,0,vlosed,GW,UncodedP5eqPP,0.016079225161706207,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
2009201o,0,1.8385258588897742,0.10102111518472778,WGMSibSaharahzfrica,Respobslve,D3207,WesternAedica,0,0,Clossd,GW,Uncod3dPrdAPP,0.004845822381271284,0,A032225001,5711809.0,B4200,WWD West & Central Africa,S4249,Gulf of Guinea Program,1,4310,Central & West Africa Regional Program,5711809.0,1,Not PBA,0,0,0,0,0,0
