Fiscal year,Status,Enviromental sustainability (marker),Regional program (marker),Trade development (marker),Children issues (marker),ICT as a tool for development (marker),PBA type,Participatory development and good governance,Bilateral aid (international marker),Continent ID,FSTC percent,Project Browser country ID,Climate change adaptation (marker),Maximum CIDA contribution (project-level),Desertification (marker),Untied amount(Project-level budget),CountryRegion ID,Sector ID,Youth issues (marker),IRTC percent,Project number,CIDA business delivery model (old),Indigenous issues (marker),Division name,Branch ID,Branch name,Division ID,Section ID,Section name,Fund centre ID,Fund centre name,CFLI (marker),Programming process (new),Climate change mitigation (marker),Biodiversity (marker),Urban issues (marker),Disability issues (marker)
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,3,1.0,AF,0,6260026.89,0,6260026.89,AF,11330,0,0.0,A032527001,Responsive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4125,Afghanistan,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,3,1.0,AF,0,6260026.89,0,6260026.89,AF,11330,0,0.0,A032527001,Responsive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4125,Afghanistan,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,3,1.0,AF,0,220122.0,0,220122.0,AF,11330,0,0.0,A032527002,Responsive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4125,Afghanistan,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,4883477.7,0,4883477.7,HT,15160,0,0.0,A032542001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,13753191.36,0,13753191.36,HT,15150,0,0.0,A032543001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,13753191.36,0,13753191.36,HT,15150,0,0.0,A032543001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,13753191.36,0,13753191.36,HT,15150,0,0.0,A032543001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,13753191.36,0,13753191.36,HT,15150,0,0.0,A032543001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,13753191.36,0,13753191.36,HT,15150,0,0.0,A032543001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,13753191.36,0,13753191.36,HT,15150,0,0.0,A032543001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,13753191.36,0,13753191.36,HT,15150,0,0.0,A032543001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,1,1.0,HT,0,4950746.38,0,4383325.44,HT,43010,0,0.0,A032544001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,1,1.0,HT,0,4950746.38,0,4383325.44,HT,43010,0,0.0,A032544001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,18702545.4,0,18702545.4,HT,11220,0,0.0,A032545001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,18702545.4,0,18702545.4,HT,12220,0,0.0,A032545001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,6986340.78,0,6986340.78,HT,15150,0,0.0,A032546001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Terminating,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,19990829.0,0,19990829.0,HT,23110,0,0.0,A032547001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Terminating,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,19990829.0,0,19990829.0,HT,23181,0,0.0,A032547001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Terminating,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,19990829.0,0,19990829.0,HT,23210,0,0.0,A032547001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Terminating,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,19990829.0,0,19990829.0,HT,23310,0,0.0,A032547001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Terminating,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,19990829.0,0,19990829.0,HT,23630,0,0.0,A032547001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,6082869.98,0,6082869.98,HT,15150,0,0.0,A032549001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,6082869.98,0,6082869.98,HT,31120,0,0.0,A032549001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,6082869.98,0,6082869.98,HT,31161,0,0.0,A032549001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,6082869.98,0,6082869.98,HT,31220,0,0.0,A032549001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,1,1.0,HT,0,5000000.0,0,5000000.0,HT,15150,0,0.0,A032550001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,1,1.0,HT,0,5000000.0,0,5000000.0,HT,31161,0,0.0,A032550001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,1,1.0,HT,0,5000000.0,0,5000000.0,HT,43040,0,0.0,A032550001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,3650000.0,0,3650000.0,HT,15150,0,0.0,A032551001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,3650000.0,0,3650000.0,HT,31161,0,0.0,A032551001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,3650000.0,0,3650000.0,HT,43040,0,0.0,A032551001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,1,0,Not PBA,0,1,1,1.0,HT,0,9895896.05,0,9895896.05,HT,14031,1,0.0,A032552001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,1,0
2009/2010,Closed,1,0,0,1,0,Not PBA,0,1,1,1.0,HT,0,9895896.05,0,9895896.05,HT,14032,1,0.0,A032552001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,1,0
2009/2010,Closed,1,0,0,1,0,Not PBA,0,1,1,1.0,HT,0,9895896.05,0,9895896.05,HT,16010,1,0.0,A032552001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,1,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,4893112.11,0,4800000.0,HT,15130,0,0.0,A032555001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,4893112.11,0,4800000.0,HT,15130,0,0.0,A032555001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,4893112.11,0,4800000.0,HT,15160,0,0.0,A032555001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,4893112.11,0,4800000.0,HT,15160,0,0.0,A032555001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,LB,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,LB,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,LB,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,LB,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,JO,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,JO,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,JO,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,JO,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,PS,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,PS,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,PS,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,1,0,0,0,Not PBA,0,1,3,0.0,PS,0,959386.88,0,959386.88,130,43010,0,0.0,A032557001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,4268,Middle East Peace Process,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,0,1,Not PBA,0,1,2,1.0,X1,0,3173622.16,1,3000000.0,X1,14015,0,0.0,A032558001,Responsive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,4310,Central & West Africa Regional Program,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,0,1,Not PBA,0,1,2,1.0,X1,0,3173622.16,1,3000000.0,X1,31130,0,0.0,A032558001,Responsive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,4310,Central & West Africa Regional Program,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,0,1,Not PBA,0,1,2,1.0,X1,0,3173622.16,1,3000000.0,X1,41010,0,0.0,A032558001,Responsive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,4310,Central & West Africa Regional Program,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,2,1,1,1.0,HT,0,20000000.0,0,20000000.0,HT,15130,0,0.0,A032561001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,3335670.39,0,3335670.39,CU,15110,0,0.0,A032562001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,3335670.39,0,3335670.39,CU,15111,0,0.0,A032562001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,3335670.39,0,3335670.39,CU,22040,0,0.0,A032562001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,15110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,15110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,15110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,15110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,15110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,15110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,15110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,15110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,31110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,31110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,31110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,31110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,31110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,31110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,31110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,31110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,32110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,32110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,32110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,32110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,32110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,32110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,32110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,32110,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,41010,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,41010,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,41010,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,41010,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,41010,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,41010,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Operational,0,0,0,0,0,Not PBA,1,1,1,1.0,CU,0,5000000.0,0,5000000.0,CU,41010,0,0.0,A032563001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4450,Cuba,4450,Cuba,0,Uncoded: Pre-APP,0,0,0,0
