assay_id,tid,assay_cell_type,assay_organism,assay_tissue,description,doc_id,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_subcellular_fraction,relationship_type
1867,12689,,,,Tested for binding affinity against 5-hydroxytryptamine 1C receptor from rat frontal cortical regions using [3H]mesulergine as radioligand,11933,B,,,,,,H
1868,12689,,Rattus norvegicus,,The binding affinity was measured on 5-hydroxytryptamine 1C receptor using [3H]- serotonin as radioligand.,12092,B,,,10116.0,,,D
1869,12689,,Rattus norvegicus,,Binding affinity of 5-hydroxytryptamine 1C receptor using [3H]- ketanserin in rat frontal cortex,12253,B,,,10116.0,,,D
1870,12689,HEK293,Rattus norvegicus,,Binding affinity towards rat 5-hydroxytryptamine 1C receptor using [3H]mesulergine as radioligand expressed in 293 cells,12253,B,,,10116.0,,,D
1871,108,,,,Compound was tested for its affinity towards 5-hydroxytryptamine 1C receptor,1558,B,,,,,,H
1872,108,,,,Compound was measured for its binding affinity at 5-hydroxytryptamine 1C receptor at a concentration of 100 nM using [3H]mesulergine as radioligand,2474,B,,,,,,H
1873,108,,,,Compound was measured for its binding affinity at 5-hydroxytryptamine 1C receptor at a concentration of 100 nM using [3H]mesulergine as radioligand,2474,B,,,,,,H
1874,12689,,,,Binding affinity against 5-hydroxytryptamine 1C receptor,11574,B,,,,,,H
1875,12689,,,,Compound was tested for its affinity towards 5-hydroxytryptamine 1C receptor,1558,B,,,,,,H
1876,12689,,,,Binding affinity against 5-hydroxytryptamine 1C receptor,13944,B,,,,,,H
1877,12689,,,,Binding affinity against serotonergic 5-HT1c receptor,13033,B,,,,,,H
1878,12689,,,,Binding affinity for 5-hydroxytryptamine 1C receptor was determined by using [3H]- mesulergine as radioligand,10321,B,,,,,,H
1879,12689,,,,Binding affinity for 5-hydroxytryptamine 1C receptor was determined,11866,B,,,,,,H
1880,105,,Oryctolagus cuniculus,,Compound was tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),14454,B,,,9986.0,,,H
1881,104686,,,,Binding affinity against 5-hydroxytryptamine 2 receptor using [125I]DOI as radioligand.,11574,B,,,,,,H
1882,104686,,,,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ket as radioligand.,11574,B,,,,,,H
1883,104686,,,,Binding affinity towards serotonin 5-HT2 receptor was determined in rat cortex using [3H]spiperone as ligand,13631,B,,,,,,H
1884,104686,,Rattus norvegicus,,Binding affinity towards 5-hydroxytryptamine 2 receptor as antagonism of serotonin-induced contractions in rat jugular vein,9630,B,,,10116.0,,,D
1885,104686,,Rattus norvegicus,,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat brain cortical membranes,8822,B,,,10116.0,,,D
1886,104686,,Rattus norvegicus,Brain,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat brain using [3H]spiroperidol,9064,B,,,10116.0,,,D
1887,104686,,,,Binding affinity towards 5-hydroxytryptamine 2 receptor measured using radioligand ([3H]spiperone) binding assay,8868,B,,,,,,H
1888,104686,,,,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- spiroperidol,9064,B,,,,,,H
1889,104686,,,,Binding affinity at 5-hydroxytryptamine 2 receptor from rat frontal cortex homogenates by [3H]-spiperone displacement.,9806,B,,,,,,H
1890,104686,,,,Binding affinity towards 5-hydroxytryptamine 2 receptor was determined,9098,B,,,,,,H
1891,104686,,,,Binding affinity towards 5-hydroxytryptamine 2 receptor was measured using radioligand ([3H]spiperone) binding assay,8868,B,,,,,,H
1892,104686,,,,Binding affinity at serotonin 5-hydroxytryptamine 2 receptor by [3H]ketanserin displacement.,12765,B,,,,,,H
1893,104686,,,,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,11049,B,,,,,,H
1894,104686,,,,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,11049,B,,,,,,H
1895,104686,,,,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]-Ketanserin as radioligand; not determined,11049,B,,,,,,H
1896,104686,,,,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand; ND-Not determined,11049,B,,,,,,H
1897,104686,,,,Compound was evaluated In vitro for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,11049,B,,,,,,H
1898,104686,,,,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor in rat anterior cortex using [125I]DOI as radioligand,11473,B,,,,,,H
1899,104686,,,,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor in rat anterior cortex using [3H]ketanserin as radioligand,11473,B,,,,,,H
1900,104686,,,,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat pre frontal cortex,3086,B,,,,,,H
1901,104686,,,,Compound was evaluated for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,11049,B,,,,,,H
1902,104686,,,,Compound was evaluated for its activity by binding to 5-hydroxytryptamine 2 receptor in the rat brain using [3H]ketanserin as radioligand.,11049,B,,,,,,H
1903,104686,,,,Compound was evaluated for its inhibitory activity against 5-hydroxytryptamine 2 receptor of rat anterior cortex using [3H]ketanserin as the radioligand,10639,B,,,,,,H
1904,104686,,,,Compound was measured for affinity at 5-hydroxytryptamine 2 receptor in rat cortical by [3H]spiroperidol displacement.,10922,B,,,,,,H
1905,104686,,Rattus norvegicus,Brain,Binding affinity against serotonin-2 receptor in rat brain using [3H]spiroperidol,9064,B,,,10116.0,,,D
1906,104686,,,Brain,Compound was tested for its inhibitory effect on the binding profile in 5-hydroxytryptamine 2 receptor using [3H]spiroperidol in rat brain.,10748,B,,,,,,H
1907,104686,,,,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor from rat cortical membranes.,11614,B,,,,,Membranes,H
1908,104686,,,,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat cortical membranes,11615,B,,,,,Membranes,H
1909,104686,,,,Compound was tested for the displacement of [3H]ketanserin from serotonin 5-hydroxytryptamine 2 receptor,11615,B,,,,,,H
1910,104686,,,,Compound was tested for the displacement of [3H]ketanserin from serotonin 5-hydroxytryptamine 2 receptor from rat cortical membranes.,11614,B,,,,,Membranes,H
1911,104686,,,,Inhibition of [3H]ketanserin binding to rat 5-hydroxytryptamine 2 receptors.,11702,B,,,,,,H
1912,104686,,,,Compound was tested for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor; NT=Not tested,11702,B,,,,,,H
1913,104686,,Rattus norvegicus,,Inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor,11702,B,,,10116.0,,,D
1914,104686,,,,Compound was tested for the inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor; NT=Not tested,11702,B,,,,,,H
1915,104686,,,,Inhibition of [3H]ketanserin binding at 5-hydroxytryptamine 2 receptor from rat frontal cortex.,13346,B,,,,,,H
1916,104686,,,,Concentration necessary to achieve half maximal inhibition of [3H]-ketanserin binding to 5-hydroxytryptamine 2 receptor,10025,B,,,,,,H
1917,104686,,,,Concentration necessary to achieve half maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor at 1 uM,10025,B,,,,,,H
1918,104686,,,,"Concentration necessary to achieve half maximal inhibition of [3H]ketanserin, binds to 5-hydroxytryptamine 2 receptor at 1 uM",10025,B,,,,,,H
1919,104686,,,,Evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using radioligand [3H]-spiperone,9036,B,,,,,,H
1920,104686,,,,Evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using radioligand [3H]spiperone; IA=Inactive,9036,B,,,,,,H
1921,104686,,,,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.,9161,B,,,,,,H
1922,104686,,,,Inhibition of binding of radioligand [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cerebral cortex,12304,B,,,,,,H
1923,104686,,,,In vitro binding affinity measured on serotonin 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand.,13276,B,,,,,,H
1924,104686,,,,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,11825,B,,,,,,H
1925,104686,,,,In vitro binding affinity was measured on serotonergic 5-hydroxytryptamine 2 receptor by displacement of [3H]- ketanserin,12443,B,,,,,,H
1926,104686,,,,In vitro inhibitory activity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor,13830,B,,,,,,H
1927,104686,,,,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes,9592,B,,,,,Membranes,H
1928,104686,,,,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes; Not tested,9592,B,,,,,Membranes,H
1929,104686,,,,Inhibitory activity against 5-hydroxytryptamine 2 receptor by 3H ligand binding experiments.,10881,B,,,,,,H
1930,104686,,,,Inhibitory activity against [3H]spiroperidol binding to 5-HT2 receptor in rat cortex,13605,B,,,,,,H
1931,104686,,Rattus norvegicus,,Inhibitory activity against 5-hydroxytryptamine 2 receptor,11624,B,,,10116.0,,,D
1932,104686,,,,Inhibitory concentration against 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,4101,B,,,,,,H
1933,104686,,,,Inhibitory concentration against binding of 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,4101,B,,,,,,H
1934,104686,,,,Inhibitory concentration against radioligand [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat,15360,B,,,,,,H
1935,104686,,,,Inhibitory concentration against radioligand [3H]spiperone binding to 5-hydroxytryptamine 2 receptor in rat cortex,11576,B,,,,,,H
1936,104686,,,,Inhibitory concentration required against 5-hydroxytryptamine 2 receptor in rat cortex using [3H]spiperone,5834,B,,,,,,H
1937,104686,CHO-K1,Rattus norvegicus,,Inhibitory concentration against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,2395,B,,,10116.0,,,D
1938,104686,,,,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat cortical membranes,11965,B,,,,,Membranes,H
1939,104686,,,,The compound was evaluated for the ability to displace [3H]ketanserin from 5-hydroxytryptamine 2 receptor ( striata of male wistar rats),3967,B,,,,,,H
1940,104686,,,,The concentration required to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat brain membranes (in vitro),11130,B,,,,,Brain membranes,H
1941,104686,,,,Binding affinity of [3H]ketanserin towards 5-hydroxytryptamine 2 receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,13427,B,In vitro,,,,,H
1942,104686,,,,Binding affinity towards 5-hydroxytryptamine 2 receptor,9443,B,,,,,,H
1943,104686,,,,Binding affinity towards 5-hydroxytryptamine 2 receptor at 1.0 uM concentration,9443,B,,,,,,H
1944,104686,,,,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,11825,B,,,,,,H
1945,104686,,,,Percent inhibition of binding of 1.0 nM [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e -5 M,12120,B,,,,,Membranes,H
1946,104686,,,,Percent inhibition of binding of 1.0 nM [3H]-ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e-5 M.,12120,B,,,,,Membranes,H
1947,104686,,,Thoracic aorta,Tested for antagonistic activity against 5-hydroxytryptamine 2 receptor from rat thoracic aorta,11963,F,,,,,,H
1948,104686,,,,Binding affinity for membrane-bound 5-hydroxytryptamine 2 receptor,9069,B,,,,,,H
1949,104686,,,,Compound was tested for its effect on 5-hydroxytryptamine 2 receptor saturation analysis,8868,B,,,,,,H
1950,10624,,,,Inhibitory constant against human 5-hydroxytryptamine 1B receptor using [3H]5-CT radioligand,17200,B,,,,,,H
1951,10624,,,,Inhibitory constant against human 5-hydroxytryptamine 1D receptor using [3H]5-CT radioligand,17200,B,,,,,,H
1952,17106,,,,Binding affinity against 5-hydroxytryptamine 1D receptor was measured using [3H]5-HT as radioligand,13969,B,,,,,,H
1953,17106,,,,Binding affinity for 5-hydroxytryptamine 1D receptor,13392,B,,,,,,D
1954,17106,,,,Compound was tested for its ability to displace [125I]GTI binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,1742,B,,,,,,H
1955,17106,,,,Compound was tested for its ability to displace [3H]-5-HT binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,1742,B,,,,,,H
1956,17106,,,Striatum,Binding affinity against 5-hydroxytryptamine 1D receptor using [3H]5-HT in pig striatum + frontalCortex,14331,B,,,,,,H
1957,17106,,,,Relative agonist efficacy against 1 uM 5-hydroxytryptamine 1D receptor,12861,F,,,,,,H
1958,17106,,,,Binding activity against 5-hydroxytryptamine 1D receptor from pig caudate membrane using [3H]5-HT as radioligand,12861,B,,,,,,H
1959,17106,,,,Binding activity radioligand.,12861,B,,,,,,H
1960,17106,,,,Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,12861,B,,,,,,H
1961,17106,,,,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,12861,B,,,,,,H
1962,17106,,,,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand; NA Not Available,12861,B,,,,,,H
1963,17106,,,,Compound was tested for the displacement of [3H]-5-HT to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,675,B,,,,,,H
1964,17106,,,,Displacement of [3H]5-HT binding to 5-hydroxytryptamine 1D receptor from pig caudate membrane,12490,B,,,,,,H
1965,17106,,,,Displacement of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1D receptor in pig caudate membrane,11828,B,,,,,,H
1966,17106,,,,Binding affinity for 5-hydroxytryptamine 1D receptor in piglet caudate using [3H]5-HT,11866,B,,,,,,H
1967,105,,Sus scrofa,,In Vitro Binding affinity againist 5-hydroxytryptamine 1D receptor by displacing [125I]GTI from pig caudate,773,B,,,9823.0,,,H
1968,105,,Oryctolagus cuniculus,,The compound was tested for intrinsic activity against 5-HT1D receptor,13047,B,,,9986.0,,,H
1969,105,,Oryctolagus cuniculus,,Intrinsic activity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,13047,B,,,9986.0,,,H
1970,105,,Oryctolagus cuniculus,,The compound was tested for binding affinity against 5-HT1D receptor,13047,B,,,9986.0,,,H
1971,10578,,,,Tested for the effect on binding at 5-hydroxytryptamine 1D receptor; No activity,188,B,,,,,,H
1972,10578,,,,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1D receptor of rat substantia nigra,10639,F,,,,,,H
1973,10578,,,,Inhibition of forskolin stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor,12438,F,,,,,,H
1974,10578,,,,Binding affinity was measured against serotonin 5-hydroxytryptamine 1D receptor,12438,B,,,,,,H
1975,10578,,,,Binding affinity towards 5-hydroxytryptamine 1D receptor in rat frontal cortex using [125I]iodocyanopindolol as radio-ligand.,15854,B,,,,,,H
1976,10578,,,,Inhibitory activity against 5-hydroxytryptamine 1D receptor in rat cortical membranes using [3H]5-HT as a radioligand,10394,B,,,,,,H
1977,10578,,,,The binding affinity was measured on 5-hydroxytryptamine 1D receptor using [3H]- serotonin as radioligand.,12092,B,,,,,,H
1978,10578,,,,Binding affinity to 5-hydroxytryptamine 1D receptor in the rat forebrain by [3H]- SB-204269 displacement.,3389,B,,,,,,H
1979,105,,,,Inhibition of binding towards 5-hydroxytryptamine 1D receptor at 100 nM concentration,6011,B,,,,,,H
1980,105,,,,Compound was tested for binding affinity against 5-hydroxytryptamine 1D receptor,4639,B,,,,,,H
1981,105,,,,Compound was measured for its binding affinity at 5-hydroxytryptamine 1D receptor at a concentration of 10 uM using [3H]5-HT as radioligand,2474,B,,,,,,H
1982,105,,,,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 1D receptor,5014,B,,,,,,H
1983,105,,,,Binding affinity of compound towards serotonin 5-hydroxytryptamine 1D receptor; inactive at 10 uM,17515,B,,,,,,H
1984,105,,,,Binding affinity for 5-hydroxytryptamine 1D receptor was determined,11866,B,,,,,,H
1985,105,,,,Evaluated for the binding affinity against 5-hydroxytryptamine 1D receptor,4687,B,,,,,,H
1986,105,,,,Tested against 5-hydroxytryptamine 1D receptor,12146,B,,,,,,H
1987,105,,,,Binding affinity for 5-hydroxytryptamine 1D receptor was determined by using [3H]5-HT as radioligand,10321,B,,,,,,H
1988,105,HEK293,,,Antagonistic binding affinity measured against 5-hydroxytryptamine 2A receptor (human clone expressed in 293 cells) using [3H]ketanserin as radioligand,13267,B,,,,,,H
1989,105,,Homo sapiens,,Binding affinity against 5-Hydroxytryptamine 1D receptor,1274,B,,,9606.0,,,D
1990,105,,,,,15250,B,,,,,,H
1991,106,CHO-K1,,,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,13706,B,,,,,,H
1992,105,CHO-K1,,,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,13706,B,,,,,,H
1993,105,HEK293,,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line.,13706,B,,,,,,H
1994,105,HEK293,,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,13706,B,,,,,,H
1995,105,,,,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,13047,B,,,,,,H
1996,105,,,,Binding affinity of compound against 5-HT1Dalpha Binding affinity of compound against 5-HT1D alpha receptors in human,13366,B,,,,,,H
1997,105,,,,In vitro affinity human cloned 5-hydroxytryptamine 1D receptor alpha by [3H]5-HT displacement.,13366,B,,,,,,H
1998,105,,,,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor alpha was determined,1558,B,,,,,,H
1999,105,CHO-K1,,,"Binding affinity against 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells, using [3H]-5-HT as the radioligand.",12902,B,,,,,,H
2000,105,CHO-K1,,,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,13706,B,,,,,,H
2001,105,,,,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor alpha measured as the reduction of forskolin-stimulated cAMP.,13706,F,,,,,,H
2002,105,,,,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,13706,F,,,,,,H
2003,105,,,,Compound was tested for its agonist activity against human 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,14251,F,,,,,,H
2004,105,,,,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,14251,F,,,,,,H
2005,105,,,,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,14251,F,,,,,,H
2006,105,,,,In vitro binding affinity towards 5-HT1D alpha receptor by using [3H]5-HT as radioligand,13313,B,,,,,,H
2007,105,,,,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]5-HT as radioligand,13313,B,,,,,,H
2008,105,,,,Selectivity towards 5-hydroxytryptamine 1D receptor beta to that of 5-hydroxytryptamine 1D receptor alpha,13366,B,,,,,,H
2009,105,,,,Binding affinity to recombinant human 5-hydroxytryptamine 1D receptor alpha,13051,B,,,,,,H
2010,105,CHO,,,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor alpha expressed in CHO cells, by using [3H]5-HT as radioligand",12903,B,,,,,,H
2011,105,,Homo sapiens,,Binding affinity was measured on 5-hydroxytryptamine 1D receptor alpha in COS cells transfected with human 5-HT1D alpha gene labeled with [3H]5-HT,12469,B,,,9606.0,,,D
2012,17106,,,,Binding affinity (in vitro) against 5-hydroxytryptamine 1D receptor alpha using radio-ligand binding assay,5619,B,,,,,,H
2013,105,,Oryctolagus cuniculus,,Binding affinity against 5-hydroxytryptamine 4 receptor using rabbit saphenous vein assay.,13047,B,,,9986.0,,,H
2014,105,,,,Binding affinities against 5-hydroxytryptamine 1D receptor alpha,16633,B,,,,,,H
2015,105,,,,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,16633,B,,,,,,H
2016,105,,,,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,16633,B,,,,,,H
2017,105,,,,Binding affinity towards 5-hydroxytryptamine 1D receptor alpha using [3H]8-OH-DPAT as radioligand,16633,B,,,,,,H
2018,105,,,,Affinity against 5-hydroxytryptamine 1D receptor alpha,3269,B,,,,,,H
2019,105,,,,Binding affinity against 5-hydroxytryptamine 1D receptor alpha,12409,B,,,,,,H
2020,106,,,,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,13706,F,,,,,,H
2021,106,HEK293,,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line.,13706,B,,,,,,H
2022,106,HEK293,,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,13706,B,,,,,,H
2023,106,CHO,,,"The compound was tested in vitro for binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",12903,B,,,,,,H
2024,106,,,,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,13047,B,,,,,,H
2025,106,,,,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,13366,B,,,,,,D
2026,106,,,,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,13366,B,,,,,,D
2027,106,,,,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,13366,B,,,,,,D
2028,106,,,,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined using [3H]8-OH-DPAT as radioligand,13366,B,,,,,,H
2029,106,,,,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor was determined using [3H]8-OH-DPAT as radioligand,13366,B,,,,,,H
2030,106,CHO,,,Binding affinity was measured on 5-hydroxytryptamine 1D receptor beta in CHO cells transfected with human 5-HT1D beta gene labeled with [3H]5-HT,12469,B,,,,,,H
2031,106,CHO-K1,,,Compound was tested for binding affinity against cloned human 5-HT1D beta receptor expressed in CHO-K1 cells.,13706,B,,,,,,H
2032,106,CHO-K1,,,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells.,13706,B,,,,,,H
2033,106,,,,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,13706,F,,,,,,H
2034,106,CHO-K1,,,"Binding affinity against 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells, using [3H]5-HT as the radioligand.",12902,B,,,,,,H
2035,105,,,,Binding affinity for cloned human 5-hydroxytryptamine 1D receptor beta,13051,B,,,,,,H
2036,106,CHO,,,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",12903,B,,,,,,H
2037,105,CHO-K1,,,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.24-0.55,1558,F,,,,,,H
2038,105,CHO-K1,,,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.6-2.0,1558,F,,,,,,H
2039,105,CHO-K1,,,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 2.8-6.5,1558,F,,,,,,H
2040,105,CHO-K1,,,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 30-70,1558,F,,,,,,H
2041,105,,,,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined,1558,B,,,,,,H
2042,106,,Oryctolagus cuniculus,,Binding affinity against 5-hydroxytryptamine 3 receptor using rabbit saphenous vein assay.,13047,B,,,9986.0,,,H
2043,105,,,,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]-5-HT as radioligand,13313,B,,,,,,H
2044,105,,,,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor beta by using [3H]5-HT as radioligand,13313,B,,,,,,H
2045,105,,,,Binding affinity against 5-hydroxytryptamine 1D receptor beta,12409,B,,,,,,H
2046,10618,CHO,,,Compound was tested for the displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 1E receptor stably expressed in CHO cells,15250,B,,,,,,H
2047,10618,,Homo sapiens,,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype,1348,B,,,9606.0,,,D
2048,10618,,,,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype; NA denotes data not available,1348,B,,,,,,H
2049,10618,,Homo sapiens,,Binding affinity to cloned human 5-hydroxytryptamine 1E receptor,4234,B,,,9606.0,,,D
2050,10618,,,,Binding affinity towards human 5-hydroxytryptamine 1E receptor was determined using [3H]5-HT as radioligand,16209,B,,,,,,H
2051,10618,,,,Binding affinity was determined against 5-hydroxytryptamine 1E receptor in human cortical homogenate,10444,B,,,,,,H
2052,10618,,,,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1E receptor,3935,B,,,,,,H
2053,10618,,,,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1E receptor,15818,B,,,,,,H
2054,10618,,,,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1E receptor,17085,B,,,,,,H
2055,10618,CHO,Homo sapiens,,Binding affinity against human 5-hydroxytryptamine 1E receptor expressed in CHO cells,12936,B,,,9606.0,,,D
2056,10618,,,,Binding affinity towards cloned human 5-hydroxytryptamine 1E receptor was determined,6166,B,,,,,,H
2057,10618,CHO,,,Binding affinity towards 5-hydroxytryptamine 1E receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand.,15779,B,,,,,,H
2058,10618,CHO,,,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand.,15779,B,,,,,,H
2059,10618,CHO,,,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand;ND means no data.,15779,B,,,,,,H
2060,10618,,,,Binding affinity was determined against 5-hydroxytryptamine 1D receptor,13181,B,,,,,,H
2061,10618,CHO,,,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as the radioligand,4199,B,,,,,,H
2062,10618,,,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1E receptor,14875,B,,,,,,H
2063,10618,CHO,,,Compound was tested for its binding affinity against cloned human 5-hydroxytryptamine 1E receptor in CHO cells using [3H]-5-HT,15146,B,,,,,,H
2064,10618,,,,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1E receptor in CHO using [3H]5-HT as a radioligand,5213,B,,,,,,H
