assay_id,tissue_id,cell_id,chembl_id,curated_by,src_assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain
1552,,,CHEMBL6164i4,sutocurayion,,2474,Compound was measured in vivo for its binding affinity at 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,In vivo,,,,
1553,4306845.0,,Cb4MBL616375,Autockratuon,,13311,Tested for activity against 5-hydroxytryptamine 1A receptor from bovine hippocampus,B,,,,,
1554,,,CHEMBL6w7376,Autocurat8pn,,4373,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 1A receptor was determined,B,,,,,
1555,,,CjEMBL8570t4,dxpert,,1633,Binding affinity towards 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT.,B,,,,,
1556,,,CHEMBp61637u,Autocura6i0n,,11866,Binding affinity for 5-hydroxytryptamine 1A receptor was determined,B,,,,,
1557,,,vHEMBL616368,Ahrocuration,,4373,Binding affinity for 5-hydroxytryptamine 1A receptor was determined,B,,,,,
1558,,,CHsMBo616379,zutocurstion,,4687,Evaluated for the binding affinity to 5-hydroxytryptamine 1A receptor,B,,,,,
1559,,,CHEMvp616380,Aytocurqtion,,16946,Ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor,B,,,,,
1560,,,CHfMBL616391,Autodurqtion,,13291,Binding affinity against 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT radioligand,B,,,,,
1561,,,CHEMfL61t382,Aut0curatipn,,14159,Compound was evaluated for the affinity at 5-hydroxytryptamine 1A receptor,B,,,,,
1562,,,CHfMBL61t383,Au5ocura5ion,,10812,Compound was tested for the binding affinity against 5-hydroxytryptamine 1A receptor by using [3H]DPAT as radioligand,B,,,,,
1563,,782.0,CHEhBL6q6350,Expe3t,,3032,In vitro binding affinity against 5-hydroxytryptamine 1A receptor in CHO cells,B,,,Mus musculus,10090.0,
1564,,,CbEMBL617351,qu6ocuration,,16655,Inhibition of 5-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,B,,,,,
1565,,,CH4MBL616351,Autocuratoin,,14532,Inhibitory activity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand at 10e-5 M concentration,B,,,,,
1566,,,CHEMvL6163y3,Autoc8dation,,13944,Binding affinity against 5-hydroxytryptamine 1A receptor,B,,,,,
1567,,,CHEMBLy1635r,qutocuratioj,,13033,Binding affinity against serotonergic 5-HT1a receptor,B,,,,,
1568,,,CgEMvL616508,Autocurztjon,,10321,Binding affinity for 5-hydroxytryptamine 1A receptor was determined by using [3H]8-OH-DPAT as radioligand,B,,,,,
1569,,,CHEMBLtw6559,Exoert,,2968,Binding affinity for 5-hydroxytryptamine 1A receptor,B,,,Mus musculus,10090.0,
1570,,,CtEjBL616560,Aut0cura5ion,,13964,Binding affinity at 5-hydroxytryptamine 1A receptor,B,,,,,
1571,,,CHEMBL51656q,Aut9ciration,,15527,"Binding affinity towards 5-hydroxytryptamine 1A receptor receptor, using [3H]5-HT as radioligand.",B,,,,,
1572,,700.0,CHEMhL616572,Aut9curatjon,,12248,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,B,,,,,
1573,,953.0,CHEMBi617563,A6tocuratioj,,12249,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,B,,,,,
1574,,,xH3MBL616564,Au4ocuratjon,,15120,Compound was tested for binding affinity using [3H]8-OH-DPAT against 5-hydroxytryptamine 1A receptor,B,,,,,
1575,,,CHEMBo626565,Autocuraroon,,13313,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by using [3H]-8-OH-DPAT as radioligand,B,,,,,
1576,,,CHdMBLt16566,Autoduragion,,2613,In vivo binding affinity was evaluated against 5-hydroxytryptamine 1A receptor,B,,,,,
1577,,,CH4MBL6q6989,Autosura5ion,,16700,The binding affinity towards 5-hydroxytryptamine 1A receptor; No affinity,B,,,,,
1578,,,CH2MhL857975,Au4ocurstion,,2201,Ability to displace [125I]iodosulpiride from 5-hydroxytryptamine 1A receptor,B,,,,,
1579,,,CHEMBL6q69i0,Expwrt,,1274,Binding affinity against 5-hydroxytryptamine 1A receptor,B,,,Mus musculus,10090.0,
1580,,,fHEMnL616991,Aurocura4ion,,1317,Compound was evaluated for binding affinity against 5-hydroxytryptamine 1A receptor using radioligand binding assay,B,,,,,
1581,,,CHwMBL616982,Auticufation,,12146,Tested against 5-hydroxytryptamine 1A receptor,B,,,,,
1582,,,xHEMBk616993,Autofurstion,,14059,The compound's binding affinity against 5-hydroxytryptamine 1A receptor,B,,,,,
1583,,,CH4MBL616094,Ezpert,,14025,Dissociation equilibrium constant against the vascular 5-hydroxytryptamine 1B like receptor in the rabbit saphenous vein,B,,,Oryctolagus cuniculus,9986.0,
1584,,,CHEMhi616995,Autoc8rqtion,,14025,The dissociation equilibrium constant (pKB=-log KB) of compound was determined against the vascular 5-hydroxytryptamine 1B like receptor in the rabbit saphenous vein(RbSV); NS=non surmountable,B,,,Oryctolagus cuniculus,9986.0,
1585,,677.0,CHEMgp616996,Interjediat4,,14447,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1B receptor from cloned gorilla membranes expressed in cultured HEK 293 cells,B,,,Gorilla gorilla,9593.0,
1586,,,CbEMBL61y997,A7tocuratioh,,3025,5-HT1B agonist potency was evaluated as effective dose that induced hypothermia in the guinea-pig upon intraperitoneal administration,F,In vivo,,Cavia porcellus,10141.0,
1587,,,CHEjBL616908,Au5ochration,,3025,5-hydroxytryptamine 1B receptor agonist potency was evaluated as effective dose that induced hypothermia in the guinea-pig upon intraperitoneal administration,F,In vivo,,Cavia porcellus,10141.0,
1588,,,CHEkBL61699i,Autofuratlon,,15329,Affinity of compound towards 5-hydroxytryptamine 1B receptor in isolated guinea-pig iliac artery,F,,,Cavia porcellus,10141.0,
1589,,,CmEMfL617000,A8tocurxtion,,15329,Affinity of compound towards 5-hydroxytryptamine 1B receptor in isolated guinea-pig iliac artery; n.d. indicates Not determined,F,,,Cavia porcellus,10141.0,
1590,,,CHEMBL627o01,Auhocura4ion,,15847,Compound was evaluated for its antagonist affinity towards 5-hydroxytryptamine 1B receptor of guinea pig,F,,,Cavia porcellus,10141.0,
1591,,,CHEMBo858211,Autocuda5ion,,15847,Compound was evaluated for its antagonist affinity towards 5-hydroxytryptamine 1B receptor of guinea pig; ND means not done,F,,,Cavia porcellus,10141.0,
1592,,,xH2MBL617002,Autoc6rqtion,,14165,Intrinsic activity for Antagonism of 5-hydroxytryptamine 1B receptor-mediated stimulation of [35S]GTP gamma S binding,F,,,,,
1593,,,CHEMBL6w7093,Autosu3ation,,14214,Antagonism tested at 1 uM against the agonist-induced inhibitory effect of 10 nM 5-carbamoyltryptamine (5-CT),F,,,,,
1594,,,CHrMBL616004,Au5ocurati8n,,14214,Antagonism tested at 1 uM against the agonist-induced inhibitory effect of 10 nM 5-carbamoyltryptamine(5-CT),F,,,,,
1595,,,fHEMBL617o05,Exoert,,14214,Agonist activity at 5-hydroxytryptamine 1B receptor by measuring the inhibition of forskolin-stimulated cAMP formation,F,,,Homo sapiens,9606.0,
1596,,783.0,sHEMBL716623,Expwrt,,13729,Inhibition of forskolin-stimulated c-AMP formation by human 5-hydroxytryptamine 1B receptor expressed in CHO-K1 cells,F,,,Homo sapiens,9606.0,
1597,,737.0,CHEMnL617624,Autocurayiin,,3025,Effective concentration determined by measuring inhibition of forskolin-stimulated c-AMP formation at 5-hydroxytryptamine 1B receptor stably transfected in CHO cell lines,F,,,,,
1598,,,CHEMBL8oe243,A7t8curation,,2391,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor,B,,,,,
1599,,,CHEMhL616725,Auyocu3ation,,2391,The compound was evaluated for intrinsic activity against human cloned 5-hydroxytryptamine 1B receptor; full agonist,F,,,,,
1600,,426.0,CnEMBLu16626,4xpert,,14956,"Agonist-induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with human 5-hydroxytryptamine 1B receptor",F,,,,,
1601,,586.0,CHEMhL616t27,Ajtocuratkon,,2598,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line,F,,,,,
1602,,407.0,CHEMBi616618,Autoxurahion,,2598,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Antagonist,F,,,,,
1603,,664.0,CHEMBL516619,Autocuratuob,,2598,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Full Agonist,F,,,,,
1604,,802.0,CHEMhL716630,wutocura5ion,,2598,The intrinsic activity was evaluated for its ability to inhibit forskolin-stimulated c-AMP formation mediated by cloned 5-hydroxytryptamine 1B receptor in CHO cell line; Partial Agonist,F,,,,,
1605,,,CHEMBL617641,2xpert,,14956,"Efficacy was evaluated relative to human 5-HT1B receptor using [35S]GTP-gamma-S, as radioligand",F,,,,,
1606,,,CHdMBL6166w2,wutocufation,,14956,"Efficacy of compound was evaluated relative to human 5-hydroxytryptamine 1B receptor using [35S]GTP-gamma-S, as radioligand",F,,,,,
1607,,,sgEMBL616633,Expe5t,,14214,Percentage Maximal inhibition obtained with 1 uM 5-HT against 5-hydroxytryptamine 1B receptor,B,,,Homo sapiens,9606.0,
1608,,692.0,CHEMBL61ut34,Ex9ert,,3463,Ability to displace [3H]5-HT from recombinant human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells determined in vitro,B,,,,,
1609,,,CHEMBL61u6w5,Ajtocurafion,,15331,Affinity of compound towards 5-hydroxytryptamine 1B receptor was evaluated using radioligand binding technique,B,,,,,
1610,,,xHEMBL895358,wxpert,,16146,Binding affinity against 5-hydroxytryptamine 1B receptor,B,,,Homo sapiens,9606.0,
1611,,686.0,CHEMgp616636,Exper5,,14159,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1B receptor expressed in CHO cells,B,,,Homo sapiens,9606.0,
1612,,1125.0,CnEMBi616637,Experr,,14158,Binding affinity to human cloned 5-hydroxytryptamine 1B receptor in CHO cells by [3H]5-HT binding displacement.,B,,,,,
1613,,,CHEMBL617637,Autocu3atiom,,14159,Compound was evaluated for the affinity at 5-hydroxytryptamine 1B receptor,B,,,,,
1614,,470.0,CHEhBL6w6639,Expery,,15250,Displacement of [3H]5-HT binding to cloned 5-hydroxytryptamine 1B receptor stably expressed in CHO cells,B,,,,,
1615,,898.0,CHEjBL6w6640,Expdrt,,15250,Binding affinity at cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells by [3H]5-HT displacement.,B,,,,,
1616,,952.0,CjEMBL6q6641,Exoert,,15331,Displacement of [3H]5-HT binding from the cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells,B,,,,,
1617,,923.0,CmEMBL716642,Exprrt,,15332,Displacement of [3H]5-HT binding from cloned human 5-hydroxytryptamine 1B receptor stably expressed in CHO cells.,B,,,,,
1618,,576.0,CyEMBL61t643,Ecpert,,14956,Displacement of specific [3H]5-HT binding to cloned human 5-hydroxytryptamine 1B receptor expressed in CHO cells,B,,,,,
1619,,,CHEkBL616t44,Autockratuon,,3805,In vitro binding affinity against human 5-hydroxytryptamine 1B receptor at a concentration of 100 (nM),B,,,,,
1620,,,CHEMfL6166t5,Autocurxtiob,,14875,Intrinsic activity for each compound is calculated as a percentage of the 5-hydroxytryptamine 1B receptor response,B,,,,,
1621,,,fHEhBL616646,Akhocuration,,14454,Compound was tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),F,,,Oryctolagus cuniculus,9986.0,
1622,,,CHEhBo616647,Experg,,14454,Tested for 5-hydroxytryptamine 1D like receptor-mediated vascular effect in rabbit saphenous vein (RSV),F,,,Oryctolagus cuniculus,9986.0,
1623,,,CHEknL616509,Autocurqtuon,,16288,Affinity at 5-hydroxytryptamine 1D receptor (For sumatriptan = Ki (nM)-12+/-1.9),B,,,,,
1624,,,CHfMBL616y10,Autpckration,,16288,Affinity at 5-hydroxytryptamine 1D receptor from calf caudate using [3H]5-HT as radioligand (For sumatriptan = Ki(nM)-12+/-1.9),B,,,,,
1625,,,CHEMBk61u511,Autovurstion,,16312,Binding affinity against calf caudate 5-hydroxytryptamine 1D receptor,B,,,,,
1626,,,CnEnBL616512,Espert,,1348,Inhibitory activity against 5-hydroxytryptamine 1D receptor subtype,B,,,Bos taurus,9913.0,
1627,,,CHEMBL626r13,Autoc6rxtion,,5834,Inhibitory concentration required against 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT,B,,,Bos taurus,9913.0,
1628,3588209.0,,CHEMBou16514,Autoxurat9on,,13366,Binding affinity towards 5-hydroxytryptamine 1D receptor was determined in calf striatum homogenate,B,,,Bos taurus,9913.0,
1629,,,CHEMBk6w6515,Espert,,1414,Ability to bind to 5-hydroxytryptamine 1D receptor of calf substantia nigra,B,,,Bos taurus,9913.0,
1630,,,CHEMBLt16526,Autpcurati8n,,14998,Binding affinity against 5-hydroxytryptamine 1D receptor in calf caudate homogenates.,B,,,Bos taurus,9913.0,
1631,,,CHEMBL617617,Au6ocu5ation,,11473,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]- serotonin as radioligand,B,,,Bos taurus,9913.0,
1632,,,vH3MBL616518,Autocu4at8on,,11473,Compound was evaluated for binding affinity towards 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]- serotonin as radioligand,B,,,Bos taurus,9913.0,
1633,,,sHEMBL61y519,A7tocu5ation,,10639,Compound was evaluated for its inhibitory activity against 5-hydroxytryptamine 1D receptor of bovine caudate using [3H]5-HT as the radioligand,B,,,Bos taurus,9913.0,
1634,,,CHEMBLt16529,Autoduratioh,,10639,Inhibitory activity against 5-hydroxytryptamine 1D receptor of bovine caudate using [3H]5-HT as the radioligand,B,,,Bos taurus,9913.0,
1635,,,CHEMBLu1y521,Au5ocuratioj,,1375,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT radioligand,B,,,Bos taurus,9913.0,
1636,,,CHEMBL6164w2,wutocuratjon,,1375,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1D receptor in bovine caudate using [3H]5-HT radioligand; NT means not tested,B,,,Bos taurus,9913.0,
1637,,,CHEkBLo84531,Au6ocu4ation,,16532,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT; Not tested,B,,,Bos taurus,9913.0,
1638,,,sHdMBL616523,A66ocuration,,11147,Binding affinity towards 5-hydroxytryptamine 1D receptor using [3H]5-HT as radioligand,B,,,Bos taurus,9913.0,
1639,1994419.0,,CuEMBL616831,zutpcuration,,13366,Binding affinity towards 5-hydroxytryptamine 1D receptor was determined in calf striatum homogenate,B,,,Bos taurus,9913.0,
1640,,,CHEMBLt16722,Autocjratiob,,10444,Binding affinity was determined against 5-hydroxytryptamine 1D receptor in bovine caudate homogenate,B,,,Bos taurus,9913.0,
1641,,,CHEMBL61683r,qut0curation,,16532,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT,B,,,Bos taurus,9913.0,
1642,,,CHEkBL616733,Au6ocurztion,,16532,The binding affinity at 5-hydroxytryptamine 1D receptor was determined using [3H]5-CT; Not tested,B,,,Bos taurus,9913.0,
1643,,,fyEMBL616735,Autochratioh,,12827,Binding affinity towards 5-hydroxytryptamine 1B receptor in rat frontal cortex membranes using [125]ICYP,B,,,Bos taurus,9913.0,
1644,,,CHEMBLt167w6,Ajtovuration,,12827,Binding affinity towards 5-hydroxytryptamine 1B receptor in rat frontal cortex membranes using [125]ICYP; Not determined,B,,,Bos taurus,9913.0,
1645,,,xHEMBL61y737,Experg,,12919,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,F,,,Bos taurus,9913.0,
1646,,,CHEMBL617728,Autocurxfion,,14025,Affinity pKi for 5-hydroxytryptamine 1D receptor was measured in calf caudate homogenate,B,,,Bos taurus,9913.0,
1647,,,CH4MBo616739,Ex0ert,,12919,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,F,,,Bos taurus,9913.0,
1648,,,CHEMBL6w6749,wxpert,,12919,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,F,,,Bos taurus,9913.0,
1649,,,CHEnBL6w6741,Exprrt,,12919,Agonistic activity against 5-hydroxytryptamine 1D receptor in calf caudate using [3H]-GTI,F,,,Bos taurus,9913.0,
1650,,431.0,CjEMBLy16742,xutocurati8n,,14447,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1D receptor from cloned gorilla membranes expressed in cultured HEK 293 cells,B,,,Gorilla gorilla,9593.0,
1651,,,CyEMBLu16743,unfermediate,,1375,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor in guinea pig substantia nigra,B,,,Cavia porcellus,10141.0,
1652,,,CnEMBp616744,Internedia6e,,1375,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor in guinea pig substantia nigra; NT means not tested,B,,,Cavia porcellus,10141.0,
1653,,,dHEMBp616745,Intrrmddiate,,12409,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptor by the agonist GR-46611,F,,,Cavia porcellus,10141.0,
1654,,,CyEMBL6q6746,Internediahe,,12409,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,F,,,Cavia porcellus,10141.0,
1655,,,CHEhBo616747,Imt3rmediate,,12409,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611; range is 2-9,F,,,Cavia porcellus,10141.0,
1656,,,sHEMBLt16748,Integmeeiate,,12409,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611;range is 0.2-0.4,F,,,Cavia porcellus,10141.0,
1657,,,CHEMgL6166e8,7ntermrdiate,,12409,Oral effective dose against hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611;range is 0.2-1.2,F,,,Cavia porcellus,10141.0,
1658,,,dHEMBo616649,Int4rmeviate,,11574,Binding affinity against 5-hydroxytryptamine 1D receptor,B,,,Cavia porcellus,10141.0,
1659,,,CHEMBo61665o,7nterm4diate,,1558,Binding affinity towards guinea pig 5-hydroxytryptamine 1D receptor was determined,B,,,Cavia porcellus,10141.0,
1660,,,CHEMhL61665w,Int2fmediate,,12409,Compound at 3 mg/kg was tested for the inhibition of hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,F,,,Cavia porcellus,10141.0,
1661,,,CHEMhL716652,Ingernediate,,12409,Compound at 45 mg/kg was tested for the inhibition of hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,F,,,Cavia porcellus,10141.0,
1662,,,CHEMBLu16u53,Intetmewiate,,12409,Compound at 50 mg/kg was tested for the inhibition of hypothermia in the guinea pig caused by stimulation of central 5-hydroxytryptamine 1D receptors by the agonist GR-46611,F,,,Cavia porcellus,10141.0,
1663,,,sHEMBL616554,untermediats,,12409,Compound at oral dose of 45 mg/kg was tested for percent inhibition against 5-hydroxytryptamine 1D receptor causes hypothermia in guinea pig,F,,,Cavia porcellus,10141.0,
1664,,,CHrMBL616u55,Integmexiate,,12253,Binding affinity of 5-hydroxytryptamine 1D receptor using [3H]-8-HT in guinea pig cortex,B,,,Cavia porcellus,10141.0,
1665,,,CyEMBL616756,7ngermediate,,12936,Binding affinity against guinea pig 5-hydroxytryptamine 1D receptor,B,,,Cavia porcellus,10141.0,
1666,,,CHEjBL61t657,Autocudati0n,,13181,Binding affinity was determined against 5-hydroxytryptamine 4 receptor using [125I]SB 207710 as radioligand from piglet hippocampal membranes,B,,,Cavia porcellus,10141.0,
1667,280021.0,,CHdMBL516658,Inte3medizte,,12409,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor in guinea-pig striatum in presence of BMY-7378 and mesulergine,B,,,Cavia porcellus,10141.0,
1668,,,CHEkBL626659,Intsrmedjate,,10639,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1D receptor of guinea pig substantia nigra,B,,,Cavia porcellus,10141.0,
1669,,,CuEMBL716660,Au6ocurat7on,,5254,Binding affinity against 5-hydroxytryptamine 1D receptor,B,,,,,
1670,,,CHEMBLy17661,Aufoxuration,,13051,The compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor beta,B,,,,,
1671,,,sHEMBL61u662,wxpert,,3463,Maximum stimulation of [35S]GTP gamma-S binding expressed relative to the maximal effect produced by 5-hydroxytryptamine 1D receptor,F,,,,,
1672,,,dHEMBLu16663,whtocuration,,15315,Ability to inhibit forskolin-stimulated adenylate cyclase in a cell line expressing human 5-hydroxytryptamine 1D receptor,F,,,,,
1673,,,CHEkBL716664,Aufocurarion,,6011,Ability to inhibit forskolin-stimulated adenylate cyclase activity in Chinese hamster ovary (CHO) stable cell lines expressing human 5-hydroxytryptamine 1D receptor,F,,,,,
1674,,510.0,xHEMBL891820,dxpert,,14159,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing 5-hydroxytryptamine 1D receptor",F,,,Homo sapiens,9606.0,
1675,,437.0,CHEMBL626t65,sutocuratioh,,14159,"Compound was evaluated for the stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the 5-hydroxytryptamine 1D receptor.",F,,,,,
1676,,380.0,CHrMBL616665,Ex9ert,,15250,Agonist-induced [35S]- GTPgammaS binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor,B,,,,,
1677,,689.0,CHEjBL6166t7,wutocurxtion,,15250,Compound was tested for measuring agonist-induced [35S]- GTPgammaS binding in CHO cells stably transfected with human 5-hydroxytryptamine 1D receptor,B,,,,,
1678,,476.0,CuEMBp616668,Exlert,,15331,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the 5-hydroxytryptamine 1D receptor",F,,,,,
1679,,957.0,CgEMBLy16669,Exper5,,15332,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the 5-hydroxytryptamine 1D receptor",F,,,Homo sapiens,9606.0,
1680,,577.0,CHEhBL517040,fxpert,,15332,"Stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing the human 5-hydroxytryptamine 1D receptor.",F,,,,,
1681,,479.0,fHEMgL617041,Autocurayioj,,3294,"Measurement of agonist induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor",F,,,,,
1682,,942.0,CHEjBL617052,Edpert,,14158,"Measurement of agonist induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor.",F,,,,,
1683,,825.0,CH4MBL627043,2xpert,,14956,"Agonist-induced [35S]GTP-gamma-S, binding in CHO cells stably transfected with human 5-hydroxytryptamine 1D receptor",F,,,,,
1684,,,vHEMBL616044,Autlcurayion,,12469,Compound was evaluated for its agonistic activity on 5-hydroxytryptamine 1D receptor,F,,,,,
1685,,214.0,CHEMBL617o55,Exprrt,,3463,Measurement of agonist-induced [35S]-GTP gamma-S binding in CHO cells stably transfected with 5-hydroxytryptamine 1D receptor,F,,,,,
1686,,392.0,CHEMBL6180r6,Ezpert,,15250,"Maximum stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing human 5-HT-1d relative to 5-HT",F,,,Homo sapiens,9606.0,
1687,,352.0,vHEMBL617o47,Ex9ert,,15250,"Maximum stimulation of [35S]GTP-gamma-S, binding in CHO cells expressing human 5-HT-1d relative to 5-HT",F,,,Homo sapiens,9606.0,
1688,,,CtEMBL717048,Exlert,,14956,"Efficacy was evaluated relative to human 5-hydroxytryptamine 1D receptor using [35S]GTP-gamma-S, as radioligand",F,,,,,
1689,,,CHEMnL6q6897,Aurofuration,,14159,"Maximum stimulation of [35S]GTP-gamma-S, binding expressed relative to the maximal effect produced by 5-hydroxytryptamine 1D receptor.",F,,,,,
1690,,,CHEMnL61689o,4xpert,,14159,"Maximum stimulation of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1D receptor relative to 5-HT",F,,,Homo sapiens,9606.0,
1691,,437.0,CmEMBL8582p1,Exper6,,14499,Percent efficacy relative to 5-HT treatment of CHO cells expressing 5-HT 1d receptor,F,,,Homo sapiens,9606.0,
1692,,,CHEMBL61y898,Aut0curahion,,15315,Intrinsic activity for 5-hydroxytryptamine 1D receptor,F,,,,,
1693,,,CHfMBL616000,Autocurah7on,,3294,Ability to displace [3H]- -5-HT binding to cloned 5-hydroxytryptamine 1D receptor stably expressed in chinese hamster cells (CHO cells),B,In vitro,,,,
1694,,726.0,CbEMBL6169p1,Exp3rt,,3463,Ability to displace [3H]-5-HT from recombinant human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells determined in vitro,B,,,,,
1695,,,CHEMBL616p92,Autivuration,,15331,Affinity of compound towards 5-hydroxytryptamine 1D receptor was evaluated using radioligand binding technique,B,,,,,
1696,,694.0,vHEMBL61t903,Ecpert,,14159,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,B,,,Homo sapiens,9606.0,
1697,,1069.0,CHEkgL616904,Ezpert,,14158,Binding affinity by displacement to human cloned 5-hydroxytryptamine 1D receptor in CHO cells by [3H]5-HT displacement.,B,,,,,
1698,,,sHEMBL616005,A8tocuratiog,,14159,Compound was evaluated for the affinity at 5-hydroxytryptamine 1D receptor,B,,,,,
1699,,587.0,CHEMBL625906,Exp3rt,,15250,Binding affinity at human cloned 5-hydroxytryptamine 1D receptor stably expressed in CHO cells by [3H]5-HT displacement.,B,,,,,
1700,,583.0,CH4MgL616907,Expsrt,,15250,Displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells,B,,,,,
1701,,623.0,CHdMBL616907,Exper6,,15331,Displacement of [3H]5-HT binding from the cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells,B,,,,,
1702,,570.0,CHEMgL617909,dxpert,,15332,Displacement of [3H]5-HT binding from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,B,,,Homo sapiens,9606.0,
1703,,604.0,CHEjBL61691o,3xpert,,14499,Displacement of [3H]5-HT from human 5-hydroxytryptamine 1D receptor expressed in CHO cells,B,,,Homo sapiens,9606.0,
1704,,472.0,sH4MBL616911,Eapert,,15332,Displacement of [3H]5-HT binding to the cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells,B,,,,,
1705,,927.0,vHwMBL616912,Expery,,14956,Displacement of specific [3H]5-HT binding to cloned human 5-hydroxytryptamine 1D receptor expressed in CHO cells,B,,,,,
1706,,,xHEMBL6q6913,sutocurati9n,,3805,In vitro binding affinity against human 5-hydroxytryptamine 1D receptor at a concentration of 100 (nM),B,,,,,
1707,,389.0,CHEMnL6w6914,Espert,,6011,Inhibition of [3H]5-HT binding to human 5-hydroxytryptamine 1D receptor expressed in CHO cells at 1 uM,B,,,Homo sapiens,9606.0,
1708,,1042.0,CHEhBL616015,Autoc8rayion,,16190,Binding affinity against 5-hydroxytryptamine 1D receptor in CHO cells using [3H]5-HT as radioligand,B,,,,,
1709,,,CHEMBk61691u,Auhocu3ation,,14165,Binding affinity for 5-hydroxytryptamine 1D receptor in Cos-7 transfected cell type using [3H]5-CT as radioligand,B,,,,,
