assays_assay_id,assays_assay_subcellular_fraction,assays_assay_test_type,assays_assay_tissue,assays_assay_type,assays_assay_cell_type,assays_cell_id,assays_assay_category,assays_description,assays_relationship_type,assays_assay_strain,assays_src_id,assays_src_assay_id,assays_chembl_id,assays_bao_format,assays_tissue_id,assays_variant_id
4018,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following intravenous administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL620043,BAO_0000218,178.0,
4019,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following peroral administration at the dose of 0.3 mg/kg",H,,1,,CHEMBL620044,BAO_0000218,178.0,
4020,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following peroral administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL620045,BAO_0000218,178.0,
4021,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following peroral administration at the dose of 3.0 mg/kg",H,,1,,CHEMBL620046,BAO_0000218,178.0,
4022,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following intravenous administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL620047,BAO_0000218,178.0,
4023,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following peroral administration at the dose of 0.3 mg/kg",H,,1,,CHEMBL620048,BAO_0000218,178.0,
4024,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following peroral administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL857703,BAO_0000218,178.0,
4025,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following peroral administration at the dose of 3.0 mg/kg",H,,1,,CHEMBL620049,BAO_0000218,178.0,
4026,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.08h, following intravenous administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL620050,BAO_0000218,178.0,
4027,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following intravenous administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL620051,BAO_0000218,178.0,
4028,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.5h, following intravenous administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL619213,BAO_0000218,178.0,
4029,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 1.0h, following intravenous administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL619214,BAO_0000218,178.0,
4030,,In vivo,Blood,F,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 3.0h, following intravenous administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL619804,BAO_0000218,178.0,
4031,,In vivo,Blood,F,,,,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 0.25h, following peroral administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL619805,BAO_0000218,178.0,
4032,,In vivo,Blood,F,,,,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 24h, following intravenous administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL619806,BAO_0000218,178.0,
4033,,In vivo,Blood,F,,,,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 6.0h, following intravenous administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL619807,BAO_0000218,178.0,
4034,,In vivo,Blood,F,,,,"Ex vivo inhibition was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 9.0h, following intravenous administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL619808,BAO_0000218,178.0,
4035,,,,B,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 24 hr r,H,,1,,CHEMBL619809,BAO_0000218,,
4036,,,,B,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 24 hr r to canine,H,,1,,CHEMBL619810,BAO_0000218,,
4037,,,,B,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 2 hr,H,,1,,CHEMBL619811,BAO_0000218,,
4038,,,,B,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 2 hr to canine,H,,1,,CHEMBL620769,BAO_0000218,,
4039,,,,B,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 4 hr,H,,1,,CHEMBL620770,BAO_0000218,,
4040,,,,B,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 4 hr to canine,H,,1,,CHEMBL620771,BAO_0000218,,
4041,,,,B,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 8 hr,H,,1,,CHEMBL620772,BAO_0000218,,
4042,,,,B,,,,Inhibitory activity against 5-lipoxygenase (5-LO) in after oral administration of 5 mg/kg at 8 hr to canine,H,,1,,CHEMBL620773,BAO_0000218,,
4043,,,,B,,,,Ability to inhibit 5-lipoxygenase in guinea pig,H,,1,,CHEMBL620774,BAO_0000357,,
4044,,,,B,,,,Inhibition of [14C]arachidonic acid conversion to 5-HETE by broken cell 5-lipoxygenase in vitro (guinea pig PMN),H,,1,,CHEMBL620775,BAO_0000357,,
4045,,,,B,,,,Compound was tested for the inhibition of 5-lipoxygenase (5-Lpo) in guinea pig.,H,,1,,CHEMBL620776,BAO_0000357,,
4046,,,Blood,B,,,,"Ex vivo inhibition of 5-lipoxygenase was determined by the measurement of A-23187-stimulated LTB4 production in dog blood at 12 h, following intravenous administration at the dose of 1.0 mg/kg",H,,1,,CHEMBL620777,BAO_0000218,178.0,
4047,,,,B,,,,In vitro 5-lipoxygenase inhibition in guinea pig PMNs was determined based on 5-hydroxyeicosapentaenoic acid (5-HETE) production,H,,1,,CHEMBL620778,BAO_0000357,,
4048,,,,B,,,,In vitro 5-lipoxygenase inhibition in guinea pig PMNs was determined based on LTB4 production,H,,1,,CHEMBL620779,BAO_0000357,,
4049,,,,B,,,,In vitro 5-lipoxygenase inhibitory activity against A-23187-stimulated conversion of [14C]-AA to 5-HETE in guinea pig peritoneal polymorphonuclear leukocytes,H,,1,,CHEMBL621500,BAO_0000019,,
4050,,,,B,,,,In vitro 5-lipoxygenase inhibitory activity against A-23187-stimulated conversion of [14C]AA to LTB4 in guinea pig peritoneal polymorphonuclear leukocytes,H,,1,,CHEMBL621501,BAO_0000019,,
4051,,,,B,,,,In vitro 5-lipoxygenase inhibitory activity against A-23187-stimulated conversion of [14C]AA to LTB4 in guinea pig peritoneal polymorphonuclear leukocytes,H,,1,,CHEMBL618098,BAO_0000019,,
4052,,,,B,,,,Inhibition against 5-lipoxygenase from guinea pig polymorphonuclear lymphocytes,H,,1,,CHEMBL618099,BAO_0000019,,
4053,,,,B,,,,Inhibitory activity against 5-lipoxygenase,H,,1,,CHEMBL618100,BAO_0000357,,
4054,,,,B,,,,Inhibitory activity against 5-lipoxygenase in guinea pig leukocyte,H,,1,,CHEMBL618101,BAO_0000357,,
4055,,,,B,,,,Inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase using guinea pig supernatant,H,,1,,CHEMBL618102,BAO_0000357,,
4056,,,,B,,,,Inhibitory activity against partially-purified Guinea pig PMN 5-lipoxygenase,H,,1,,CHEMBL618103,BAO_0000357,,
4057,,,,B,,,,Inhibitory activity uM,H,,1,,CHEMBL618104,BAO_0000357,,
4058,,,,B,,,,Inhibitory activity against 5-lipoxygenase in guinea pig leukocytes was determined,H,,1,,CHEMBL883712,BAO_0000219,,
4059,,,,B,,,,Inhibitory activity against 5-lipoxygenase at 10 uM,H,,1,,CHEMBL618105,BAO_0000357,,
4060,,,,B,,,,Inhibitory activity against 5-lipoxygenase at a dose of 0.1 mM,H,,1,,CHEMBL618106,BAO_0000357,,
4061,,,,B,,,,Inhibitory activity against 5-lipoxygenase in guinea pig leukocyte at 30 uM,H,,1,,CHEMBL618107,BAO_0000357,,
4062,,,,B,,,,Inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase using guinea pig supernatant at 10 uM,H,,1,,CHEMBL618108,BAO_0000357,,
4063,,,,B,,,,Inhibitory activity uM,H,,1,,CHEMBL618109,BAO_0000357,,
4064,,,,B,,,,Inhibitory activity against partially-purified Guinea pig PMN 5-lipoxygenase at 10 uM,H,,1,,CHEMBL618110,BAO_0000357,,
4065,,,,B,,,,Inhibitory activity uM,H,,1,,CHEMBL618111,BAO_0000357,,
4066,,,,F,,,,Inhibitory activity uM,H,,1,,CHEMBL618112,BAO_0000019,,
4067,,,,B,,,,Percent inhibition against 5-lipoxygenase from guinea pig polymorphonuclear lymphocytes,H,,1,,CHEMBL618113,BAO_0000019,,
4068,,,,B,,,,Inhibitory activity against 5-lipoxygenase at a dose of 0.1 mM,H,,1,,CHEMBL618114,BAO_0000357,,
4069,,,Ileum,F,,,,Evaluated for inhibition of the formation and release of 5-lipoxygenase in isolated guinea pig ileum,H,,1,,CHEMBL620871,BAO_0000221,2116.0,
4070,,,,B,,,,5-lipoxygenase Inhibitory activity was measured by enzyme immunoassay using human whole blood stimulated with calcium ionophore (A23187) and LTB4 (leukotriene B4),H,,1,,CHEMBL620872,BAO_0000357,,
4071,,,,B,,,,5-lipoxygenase Inhibitory activity was measured by enzyme immunoassay using human whole blood stimulated with calcium ionophore (A23187) and LTB4 (leukotriene B4),H,,1,,CHEMBL620873,BAO_0000357,,
4072,,,,B,,,,Compound was evaluated for in vitro inhibition of recombinant human 5-lipoxygenase (5-LO),H,,1,,CHEMBL620874,BAO_0000357,,
4073,,,,B,,,,In vitro inhibition of human 5-Lipoxygenase.,H,,1,,CHEMBL620875,BAO_0000357,,
4074,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 75 uM,U,,1,,CHEMBL620876,BAO_0000251,2107.0,
4075,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1 uM,U,,1,,CHEMBL620877,BAO_0000251,2107.0,
4076,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 10 uM,U,,1,,CHEMBL857854,BAO_0000251,2107.0,
4077,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 10 uM exposed 100 uM,U,,1,,CHEMBL620878,BAO_0000251,2107.0,
4078,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 100 uM,U,,1,,CHEMBL620879,BAO_0000251,2107.0,
4079,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1000 uM,U,,1,,CHEMBL620880,BAO_0000251,2107.0,
4080,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1000 uM,U,,1,,CHEMBL620881,BAO_0000251,2107.0,
4081,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 150 uM,U,,1,,CHEMBL620882,BAO_0000251,2107.0,
4082,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1500 uM,U,,1,,CHEMBL620883,BAO_0000251,2107.0,
4083,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 2.5 uM,U,,1,,CHEMBL620884,BAO_0000251,2107.0,
4084,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 200 uM,U,,1,,CHEMBL620885,BAO_0000251,2107.0,
4085,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 27.5 uM,U,,1,,CHEMBL620886,BAO_0000251,2107.0,
4086,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 5 uM,U,,1,,CHEMBL620887,BAO_0000251,2107.0,
4087,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 50 uM,U,,1,,CHEMBL618039,BAO_0000251,2107.0,
4088,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 500 uM,U,,1,,CHEMBL618040,BAO_0000251,2107.0,
4089,Microsomes,,Liver,B,,,,Michaelis-Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to exposed to 3-methylcholanthrene at concentration of 200 uM,U,,1,,CHEMBL618041,BAO_0000251,2107.0,
4090,Microsomes,,Liver,B,,,,"Compound was evaluated for inhibition constant, in liver microsomes from 3-methylcholanthrene-exposed rats",U,,1,,CHEMBL618216,BAO_0000251,2107.0,
4091,Microsomes,,Liver,B,,,,"Compound was evaluated for inhibition constant, in liver microsomes from beta-naphthoflavone-exposed rats",U,,1,,CHEMBL618217,BAO_0000251,2107.0,
4092,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes 3-methylcholanthrene at concentration of 100 uM,U,,1,,CHEMBL618218,BAO_0000251,2107.0,
4093,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes 3-methylcholanthrene at concentration of 200 uM,U,,1,,CHEMBL618219,BAO_0000251,2107.0,
4094,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes 3-methylcholanthrene at concentration of 50 uM,U,,1,,CHEMBL618220,BAO_0000251,2107.0,
4095,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at 5 uM,U,,1,,CHEMBL618221,BAO_0000251,2107.0,
4096,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at 50 uM,U,,1,,CHEMBL618222,BAO_0000251,2107.0,
4097,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at a concentration of 10 uM,U,,1,,CHEMBL618223,BAO_0000251,2107.0,
4098,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 100 uM,U,,1,,CHEMBL618224,BAO_0000251,2107.0,
4099,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 1 uM,U,,1,,CHEMBL618225,BAO_0000251,2107.0,
4100,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 20 uM,U,,1,,CHEMBL618226,BAO_0000251,2107.0,
4101,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 200 uM,U,,1,,CHEMBL618227,BAO_0000251,2107.0,
4102,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 25 uM,U,,1,,CHEMBL618228,BAO_0000251,2107.0,
4103,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 50 uM,U,,1,,CHEMBL618229,BAO_0000251,2107.0,
4104,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to 3-methylcholanthrene at concentration of 75 uM,U,,1,,CHEMBL618230,BAO_0000251,2107.0,
4105,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1 uM,U,,1,,CHEMBL618231,BAO_0000251,2107.0,
4106,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 10 uM,U,,1,,CHEMBL618232,BAO_0000251,2107.0,
4107,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 100 uM,U,,1,,CHEMBL618233,BAO_0000251,2107.0,
4108,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1000 uM,U,,1,,CHEMBL618234,BAO_0000251,2107.0,
4109,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 150 uM,U,,1,,CHEMBL618235,BAO_0000251,2107.0,
4110,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 1500 uM,U,,1,,CHEMBL618115,BAO_0000251,2107.0,
4111,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 2.5 uM,U,,1,,CHEMBL618116,BAO_0000251,2107.0,
4112,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 200 uM,U,,1,,CHEMBL618117,BAO_0000251,2107.0,
4113,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 5 uM,U,,1,,CHEMBL619968,BAO_0000251,2107.0,
4114,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 50 uM,U,,1,,CHEMBL619969,BAO_0000251,2107.0,
4115,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 500 uM,U,,1,,CHEMBL619970,BAO_0000251,2107.0,
4116,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at concentration of 1000 uM,U,,1,,CHEMBL619971,BAO_0000251,2107.0,
4117,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at concentration of 1500 uM,U,,1,,CHEMBL619972,BAO_0000251,2107.0,
4118,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at concentration of 27.5 uM,U,,1,,CHEMBL619973,BAO_0000251,2107.0,
4119,Microsomes,,Liver,B,,,,Maximum rate constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at concentration of 500 uM,U,,1,,CHEMBL619974,BAO_0000251,2107.0,
4120,Microsomes,,Liver,B,,,,Menten constant for 7-ethoxycoumarin deethylation in rat liver microsomes exposed to beta-naphthoflavone at 50 uM,U,,1,,CHEMBL619975,BAO_0000251,2107.0,
4121,Microsomes,,,B,,,,Vmax determined by 7-ethoxycoumarin deethylation in the presence by liver microsomes from rats exposed to 3-methylcholanthrene at concentration of 10 uM,U,,1,,CHEMBL619976,BAO_0000251,,
4122,Microsomes,,Liver,B,,,,"Compound was evaluated for alpha -rate constant, in liver microsomes from 3-methylcholanthrene-exposed rats",U,,1,,CHEMBL619977,BAO_0000251,2107.0,
4123,Microsomes,,Liver,B,,,,"Compound was evaluated for alpha -rate constant, in liver microsomes from beta-naphthoflavone-exposed rats",U,,1,,CHEMBL619978,BAO_0000251,2107.0,
4124,Microsomes,,Liver,B,,,,"Compound was evaluated for alpha -rate constant, in liver microsomes from beta-naphthoflavone-exposed rats; competitive inhibition",U,,1,,CHEMBL619979,BAO_0000251,2107.0,
4125,Microsomes,,Liver,B,,,,"Compound was evaluated for alpha inhibition constant, in liver microsomes from 3-methylcholanthrene-exposed rats",U,,1,,CHEMBL619980,BAO_0000251,2107.0,
4126,Microsomes,,Liver,B,,,,"Compound was evaluated for alpha inhibition constant, in liver microsomes from beta-naphthoflavone-exposed rats",U,,1,,CHEMBL619981,BAO_0000251,2107.0,
4127,,,,F,RPMI-8226,741.0,,In vitro inhibition of 7226/S myeloma cancer cell line,N,,1,,CHEMBL619982,BAO_0000219,,
4128,,,,F,BEL-7404 tumor cell line,993.0,,In vitro antitumor activity of compound against 7404 cell line (human liver carcinoma cells),N,,1,,CHEMBL619983,BAO_0000219,,
4129,,,,F,786-0,391.0,,In vitro growth inhibition of compound was determined against 768-0 cell lines of Renal cancer,N,,1,,CHEMBL620031,BAO_0000219,,
4130,,,,F,786-0,391.0,,In vitro growth inhibition of compound was determined against 768-0 cell lines of Renal cancer,N,,1,,CHEMBL620032,BAO_0000219,,
4131,,,,F,V79,505.0,,Net accumulation of the [99mTc]Isonitrile complex was measured in 77A cell lines in the presence of Verapamil.,N,,1,,CHEMBL620033,BAO_0000219,,
4132,,,,F,V79,505.0,,Verapamil index represents the ratio of net uptake in the presense of verapamil over control in 77A cell lines.,N,,1,,CHEMBL620034,BAO_0000219,,
4133,,,,F,7800C1 cell line,1119.0,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 10 ug/mL dose,N,,1,,CHEMBL620035,BAO_0000219,,
4134,,,,F,7800C1 cell line,1119.0,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 2 ug/mL dose,N,,1,,CHEMBL618318,BAO_0000219,,
4135,,,,F,7800C1 cell line,1119.0,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 20 ug/mL dose,N,,1,,CHEMBL618319,BAO_0000219,,
4136,,,,F,7800C1 cell line,1119.0,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 5 ug/mL dose,N,,1,,CHEMBL618320,BAO_0000219,,
4137,,,,F,7800C1 cell line,1119.0,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 50 ug/mL dose,N,,1,,CHEMBL618321,BAO_0000219,,
4138,,,,F,7800C1 cell line,1119.0,,Tested for its cytotoxic effect on the growth of the cell strain 7800C1 (1 x 10e 4 (MEM)) at 75 ug/mL dose,N,,1,,CHEMBL883118,BAO_0000219,,
4139,,,,F,786-0,391.0,,In vitro antitumor activity against renal 786-0 tumor cell lines,N,,1,,CHEMBL883795,BAO_0000219,,
4140,,,,F,786-0,391.0,,Cytotoxic activity against 786-0 Renal cancer cell line,N,,1,,CHEMBL618322,BAO_0000219,,
4141,,,,F,786-0,391.0,,Growth inhibitory activity was determined against 786-0 cancer cell line of Renal cancer,N,,1,,CHEMBL618323,BAO_0000219,,
4142,,,,F,786-0,391.0,,Growth inhibitory activity was determined against 786-0 cancer cell line of renal cancer,N,,1,,CHEMBL618324,BAO_0000219,,
4143,,,,F,786-0,391.0,,In vitro antitumor activity against human renal 786-0 cell line,N,,1,,CHEMBL618325,BAO_0000219,,
4144,,,,F,786-0,391.0,,Inhibition of Renal cancer in 786-0 cancer cell lines,N,,1,,CHEMBL875416,BAO_0000219,,
4145,,,,F,786-0,391.0,,Inhibition of the growth of renal cancer(786-0) cell line. value in parentheses is percent inhibition at 0.01 uM,N,,1,,CHEMBL618326,BAO_0000219,,
4146,,,,F,786-0,391.0,,The compound was tested for its cytotoxic activity against the following renal cancer cell lines 786-0,N,,1,,CHEMBL618327,BAO_0000219,,
4147,,,,F,786-0,391.0,,inhibition of the growth of renal cancer(786-0) cell line,N,,1,,CHEMBL619215,BAO_0000219,,
4148,,,,F,786-0,391.0,,Compound was evaluated for in vitro activity against 786-0 kidney cell lines (Human tumor cells ),N,,1,,CHEMBL619216,BAO_0000219,,
4149,,,,F,786-0,391.0,,Compound was tested for the growth inhibition of 786-0 renal tumor cell line,N,,1,,CHEMBL619217,BAO_0000219,,
4150,,,,F,786-0,391.0,,The IC50 value was measured on 786-0 cell line in ovarian tumor,N,,1,,CHEMBL619218,BAO_0000219,,
4151,,,,F,786-0,391.0,,The IC50 value was measured on 786-0 cell line in ovarian tumor t,N,,1,,CHEMBL619219,BAO_0000219,,
4152,,,,F,786-0,391.0,,The IC50 value was measured on 786-0 cell line in renal tumor type.,N,,1,,CHEMBL619220,BAO_0000219,,
4153,,,,F,786-0,391.0,,Inhibition of the growth of renal cancer(786-0) cell line at 0.01 uM,N,,1,,CHEMBL619221,BAO_0000219,,
4154,,,,F,786-0,391.0,,Tested for cytotoxic activity against renal cancer 786-0 cell line,N,,1,,CHEMBL619222,BAO_0000219,,
4155,,,,F,786-0,391.0,,Compound was tested for growth inhibitory activity against 786-0 cell line,N,,1,,CHEMBL857454,BAO_0000219,,
4156,,,,B,RBL-1,702.0,,Inhibitory activity against 5-lipoxygenase in intact rat basophilic leukemia cells stimulated with the calcium ionophore A-23187; Inactive(N)= <50% inhibition at 10 uM,H,,1,,CHEMBL619223,BAO_0000219,,
4157,,,,B,RBL-1,702.0,,Inhibitory activity against 5-lipoxygenase in intact rat basophilic leukemia cells stimulated with the calcium ionophore A-23187; N=Inactive,H,,1,,CHEMBL619224,BAO_0000219,,
4158,,,,B,,,,Inhibitory activity against 5-lipoxygenase obtained from rat basophilic leukemia cells,H,,1,,CHEMBL619225,BAO_0000019,,
4159,,,,B,RBL-1,702.0,,Inhibitory activity against 5-lipoxygenase (5-LO) in intact rat barophilic leukemia cells (RBL-1),H,,1,,CHEMBL619226,BAO_0000219,,
4160,,,,B,RBL-1,702.0,,Inhibitory activity against 5-lipoxygenase (5-LO) using broken rat barophilic leukemia cells (RBL-1),H,,1,,CHEMBL619227,BAO_0000219,,
4161,,,,B,,,,Inhibitory activity against rat basophilic leukemia 5-lipoxygenase,H,,1,,CHEMBL619228,BAO_0000357,,
4162,,,,B,,,,Inhibitory activity against 5-lipoxygenase in rat polymorphonuclear leukocytes,H,,1,,CHEMBL619229,BAO_0000219,,
4163,,,,B,RBL-1,702.0,,Inhibitory activity against 5-lipoxygenase of RBL-1 cell line,H,,1,,CHEMBL619230,BAO_0000219,,
4164,,,,B,,,,Inhibitory activity against RBL broken cell-supematant 5-lipoxygenase was evaluated,H,,1,,CHEMBL619231,BAO_0000357,,
