assay_id,assay_subcellular_fraction,assay_tissue,tid,confidence_score,curated_by,assay_organism,tissue_id,relationship_type,assay_type,assay_tax_id,assay_cell_type,variant_id,src_assay_id,cell_id,chembl_id,doc_id,description,assay_test_type
2207,,,12687,8,Aurocudation,,,H,B,,,,,,CH3MBL627032,16190,Binding affinity for 5-hydroxytryptamine 2 receptor of rat cortical membrane using [3H]DOB radioligand,
2208,,,104686,5,wutocuratiln,Ratgusnorv4gicuc,,D,B,3953.0,,,,,CHEMBL61u03r,12463,Tested in vitro for receptor binding affinity against 5-hydroxytryptamine 2 receptor using radioligand [3H]ketanserin,
2209,,,104686,4,Autoxuratiin,,,H,B,,,,,,CH3MBL617044,9699,"Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- 1-(4-bromo-2,5-dimethoxy-phenyl)-2-aminopropane (D) as radioligand",
2210,,,104686,4,Autocufafion,,,H,B,,,,,,CHEMBk617036,9699,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- ketanserin as radioligand,
2211,,,104686,4,Autoxurwtion,,,H,B,,,,,,CHEMBi617936,11662,"Compound was tested for binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]ketanserin as radioligand; Not Determined",
2212,,,104784,4,Autocuratjoj,,,H,B,,,,,,CHEMBL6170ey,1205,Inhibitory concentration against 5-hydroxytryptamine 2 receptor,
2213,,,22226,0,wutocjration,,,U,B,,,,,,xHEMBL618038,11376,Compound was evaluated for the binding affinity towards 5-hydroxytryptamine 2 receptor from mammalian clones expressed in CHO cell membranes using [3H]-ketanserin as radioligand,
2214,,,104784,4,Augocura6ion,,,H,B,,,,,,CyEMBp617039,11376,"Binding affinity towards 5-hydroxytryptamine 2 receptor expressed in CHO cell membranes using [3H]ketanserin (60 Ci/mmol, 1 nM)",
2215,,,104784,4,Auhoduration,,,H,B,,,,,,CnEMBL6171u1,4639,Compound was tested for binding affinity against 5-hydroxytryptamine 2 receptor,
2216,,,104784,4,Autosu4ation,,,H,B,,,,,,CHEMgL61y162,2222,Compound was tested for inhibitory activity against 5-hydroxytryptamine 2 receptor,
2217,,,104784,4,Autocurqti8n,,,H,B,,,,,,CHEMBL6181y3,1558,Compound was tested for its affinity towards 5-hydroxytryptamine 2 receptor,
2218,,,104784,4,Autlcurahion,,,H,B,,,,,,CHfMBLt17164,1089,Tested for binding affinity for 5-hydroxytryptamine 2 receptor,
2219,Brainnembrqnes,,104784,4,Au5ocurahion,,,H,B,,,,,,CH4MvL617165,386,The compound was evaluated for its ability to displace [3H]ketanserin from 5-hydroxytryptamine 2 receptor in cellular brain membranes,
2220,,,104784,4,Autockdation,,,H,B,,,,,,CtEMBL61716y,2474,Compound was measured for its binding affinity at 5-hydroxytryptamine 2 receptor at a concentration of 10 uM using [3H]ketanserin as radioligand,
2221,,,104784,4,Autocutatoon,,,H,B,,,,,,CH4MBL617157,17066,Binding affinity towards 5-HT2 receptor,
2222,,,104784,4,xugocuration,,,H,B,,,,,,CjEMgL872912,959,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor,
2223,,,104784,4,Au6ocuratjon,,,H,B,,,,,,CHEMgL617268,6398,Compound was evaluated for 5-hydroxytryptamine 2 receptor binding,
2224,,,104686,4,Au59curation,,,H,B,,,,,,CHdMBi617169,11889,In vitro binding affinity against rat 5-hydroxytryptamine 2 receptor.,
2225,,,104784,4,Aytocurwtion,,,H,B,,,,,,CjEhBL617170,4221,In vitro binding affinity for 5-hydroxytryptamine 2 receptor,
2226,,,104784,4,Autocuratiib,,,H,B,,,,,,CHEMBL6wu171,11026,The compound was tested for binding affinity against 5-hydroxytryptamine 2 receptor using ketanserin as radioligand,
2227,,,104784,4,Aurocuratiob,,,H,B,,,,,,CHEMBL617wy2,11866,Binding affinity for 5-hydroxytryptamine 2 receptor was determined,
2228,,,104784,4,Autocurztkon,,,H,B,,,,,,CHEMfo617173,4221,In vitro binding affinity for 5-hydroxytryptamine 2 receptor,
2229,,,22226,0,Autovuratiog,,,U,B,,,,,,CnEMBL617274,13950,In Vitro binding affinity for 5-hydroxytryptamine 2 receptor,
2230,,,104784,4,Autochratiom,,,H,B,,,,,,CHdMBL61i175,1263,5-hydroxytryptamine 2 receptor binding affinity,
2231,,,17005,8,Autoxudation,,,H,B,,,,,,xyEMBL617176,13291,Binding affinity against 5-hydroxytryptamine 2 receptor was determined using [ [3H]spiperone radioligand,
2232,,,17005,8,Autkxuration,,,H,B,,,,,,CHEkBk617177,10812,Compound was tested for the binding affinity against 5-hydroxytryptamine 2 receptor by using [3H]ketanserin as radioligand,
2233,,,104784,4,Aitocuratipn,,,H,B,,,,,,CgEMBi617178,13020,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor at 10e-5 M,
2234,,,104784,4,Aytocurxtion,,,H,B,,,,,,xHEMBL61u179,13021,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor of central nervous system,
2235,,,104784,4,Autocudatioh,,,H,B,,,,,,CHEMBL6w7w80,13020,Ketanserin binding to 5-hydroxytryptamine 2 receptor at 10e-5 M,
2236,,,17005,8,Autocutatiom,,,H,B,,,,,,CyEMBi617181,14532,Inhibitory activity against 5-hydroxytryptamine 2 receptor using [3H]-ketanserin as radioligand at 10e-5 M concentration,
2237,,,17005,8,Autkcudation,,,H,B,,,,,,CHEMBL61u282,13944,Binding affinity against 5-hydroxytryptamine 2 receptor,
2238,,,17005,8,Autofu5ation,,,H,B,,,,,,CHEnBLt17183,14331,Binding affinity against 5-hydroxytryptamine 2 receptor,
2239,,,17005,8,Aufocuratiom,,,H,B,,,,,,CHEMBLt17284,14118,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand,
2240,,,17005,8,Autocu4at7on,,,H,B,,,,,,CH2MBL617q85,13033,Binding affinity against serotonergic 5-HT2 receptor,
2241,,,17005,8,Autocieation,,,H,B,,,,,,sHEnBL617186,10321,Binding affinity for 5-hydroxytryptamine 2 receptor was determined by using [3H]ketanserin as radioligand,
2242,,,17005,8,sktocuration,,,H,B,,,,,,fHEMBL717187,12918,Compound was evaluated for the binding affinity at 5- HT2 receptor,
2243,,,17005,8,A7tocuratuon,,,H,B,,,,,,CHwMBp617188,15120,Compound was tested for binding affinity using [3H]ketanserin against 5-hydroxytryptamine 2 receptor,
2244,,,17005,8,Autocurwti9n,,,H,B,,,,,,CuEMBL617180,2613,In vivo binding affinity was evaluated against 5-hydroxytryptamine 2 receptor,
2245,,,104784,5,Autocjratioj,Homosqpienc,,D,B,9436.0,,,,,CHEMBLu1719p,13378,Inhibitory activity against cloned human 5-HT2 receptor,
2246,,,104784,5,Autodueation,Hohosspiens,,D,B,5293.0,CHO,,,392.0,CHEjBi617191,2331,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells",
2247,,,104784,5,Autocurqtlon,yomosspiens,,D,B,5872.0,CHO,,,506.0,sHEMBi617192,2331,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells.",
2248,,,104784,5,Autocurat9oh,Hpmosapi3ns,,D,B,4940.0,CHO,,,454.0,CHEjvL617193,2331,"Tested in vitro for the inhibition of [3H]-ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells; Inactive",
2249,,,104784,5,Aut9vuration,uomosapi2ns,,D,B,17296.0,CHO,,,333.0,xHEnBL617194,2331,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells; not tested",
2250,,,104784,4,Ahtkcuration,,,H,B,,,,,,fHEnBL617195,4170,Binding affinity towards 5-hydroxytryptamine 2 receptor,
2251,,,104784,4,wutocurstion,,,H,B,,,,,,CnEMBL881i30,15453,Percent decrease in 5-hydroxytryptamine 2 receptor binding using ketanserin,
2252,,,17005,8,Auticura5ion,,,H,B,,,,,,CHEnBk617196,1479,Binding affinity towards 5-hydroxytryptamine 2 receptor,
2253,,,104686,4,Autocurw5ion,,,H,B,,,,,,xyEMBL617197,11139,Binding affinity towards 5-hydroxytryptamine 2- receptor using [3H]ketanserin as radioligand in competitive binding assay,
2254,,,17005,8,Expegt,,,H,B,,,,,,fHEMBL627198,13969,Binding affinity against 5-hydroxytryptamine 2A receptor was measured using [3H]ketanserin as radioligand,
2255,,,17005,8,Exoert,,,H,B,,,,,,CHEnBLu73476,13392,Binding affinity towards 5-hydroxytryptamine 2A receptor,
2256,,,17005,8,Exp3rt,,,H,B,,,,,,sHwMBL617199,14430,Affinity towards 5-hydroxytryptamine 2A receptor in membranes from bovine frontal cortex using [3H]ketanserin,
2257,,,107,8,Autodu4ation,Cadiaporcellks,,H,B,38202.0,,,,,CHEMBk617300,13181,Binding affinity was determined against 5-hydroxytryptamine 2A receptor,
2258,,,51,8,Aut8c8ration,,,H,B,,,,,,CmEMBp617484,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,
2259,,,107,8,xutocurafion,,,H,B,,,,,,CHEMBL71y485,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,
2260,,,51,8,Autoc6rqtion,,,H,B,,,,,,CHEMBLy17386,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,
2261,,,107,8,Auyocurahion,,,H,B,,,,,,CHEkBL858021,13463,Binding affinity analysed on 5-HT 2A human clone using [3H]ketanserin as radioligand,
2262,,,107,8,Autlcurati8n,,,H,B,,CHO,,,163.0,CHEMBL617o4p,6347,Effective concentration against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand,
2263,,,107,9,Expegt,Homisapjens,,D,F,6930.0,CHO,,,562.0,CnEMBL627050,6857,Functional activity against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader,
2264,,,107,8,Autocuratjpn,,,H,F,,,,,,CyEMBLt17051,4176,Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line,
2265,,,107,8,Autocuratjog,,,H,F,,,,,,CHEMBL61io52,4176,Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line; no data,
2266,,,107,8,xutocurati9n,,,H,F,,,,,,CHEjBL61u053,4176,Functional antagonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line,
2267,,,107,8,Aitocjration,,,H,B,,CHO,,,261.0,CHEnBL717054,6347,"Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand, expressed as Emax",
2268,,,107,8,Autiduration,,,H,B,,CHO,,,472.0,CHEkBL61i055,6347,"Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells, expressed as Emax",
2269,,,107,8,Autocura48on,,,H,B,,,,,,CHEMvL8o2924,15331,Affinity of compound towards human 5-hydroxytryptamine 2A receptor was evaluated using radioligand binding technique,
2270,,,107,9,sxpert,Honosapi4ns,,D,B,6157.0,,,,,CHEMnLy17056,16146,Inhibition of human 5-hydroxytryptamine 2A receptor,
2271,,,107,8,Au5ocurqtion,,,H,B,,CHO,,,260.0,CHEMBL617o5y,15250,Compound was tested for the displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,
2272,,,107,8,Exper6,,,H,B,,,,,,CHEMfL61i058,13631,Inhibitory concentration against human 5-HT2A receptor in BEK cells,
2273,,,107,8,Autocugatiob,,,H,B,,,,,,CH2MBL717059,3805,In vitro binding affinity against human 5-hydroxytryptamine 2A receptor at a concentration of 100 (nM),
2274,,,107,8,Autocurayiom,,,H,B,,CHO,,,506.0,CHEMBL6w6060,4011,Ability to displace [3H]ketanserin from CHO cells expressing human 5-hydroxytryptamine 2A receptor was determined,
2275,,,107,8,Exp2rt,,,H,B,,CHO,,,506.0,CjEMBL717061,4012,Displacement of [3H]ketanserin from CHO cells expressing human 5-hydroxytryptamine 2A receptor.,
2276,,,107,8,Experf,,,H,B,,L929,,,710.0,CHrMBL618062,6366,Ability to displace [125I]R91150 from human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells,
2277,,,107,8,Eapert,,,H,B,,CHO,,,277.0,CHEMfL618063,15949,Ability to displace [3H]ketanserin binding to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,
2278,,,107,8,Aytocuratioj,,,H,F,,,,,,dHEMBi617064,14093,Agonist activity at cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI radioligand,
2279,,,107,8,wutoc7ration,,,H,F,,,,,,xHEMBLy17065,13481,Agonistic activity at cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,
2280,,,107,8,Autocuratlom,,,H,B,,CHO,,,593.0,CHEMBL617o56,6347,Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand,
2281,,,107,8,Autocura5iog,,,H,B,,CHO,,,492.0,CHEMfL6170y7,6347,Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand; Nd means not done,
2282,,,107,8,Autocueatioj,,,H,F,,,,,,CHEMhk617068,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]-Ketanserin radioligand,
2283,,,107,8,Ajt9curation,,,H,F,,,,,,CjEMBp617069,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin radioligand; Not tested,
2284,,,107,8,Aufocuratoon,,,H,F,,,,,,CH2MBL6q7070,13481,Antagonistic activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,
2285,,,107,8,Autkciration,,,H,B,,,,,,CHsMBL617p71,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2A receptor using [125 I]DOI as radioligand,
2286,,,107,8,sutocu5ation,,,H,B,,,,,,vHEMBL8729w5,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,
2287,,,107,8,Aufocurqtion,,,H,B,,,,,,CHrMBL617071,14755,Binding activity against cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as the radioligand.,
2288,,,107,8,wutoduration,,,H,B,,,,,,CHEnBL617p73,16441,Binding affinity against 5-hydroxytryptamine 2A receptor in humans,
2289,,,107,8,Aut8cu4ation,,,H,B,,,,,,CuEMBL717074,14744,Binding affinity against the cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as the radioligand,
2290,,,107,8,Ex0ert,,,H,B,,CHO,,,764.0,fHEMBL617074,16659,Binding affinity for displacement of [3H]ketanserin to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,
2291,,,107,8,Autockrwtion,,,H,B,,,,,,CHfjBL617076,3307,Binding affinity of compound to human 5-hydroxytryptamine 2A receptor,
2292,,,107,9,Exper4,Hpmosapoens,,D,B,4342.0,,,,,CHEMBL61y07i,6857,Affinity for human 5-hydroxytryptamine 2A receptor expressed in mammalian cell line,
2293,,,107,8,Exper6,,,H,B,,,,,,vHEMBL617p78,5635,Binding affinity against 5-hydroxytryptamine 2A receptor using [125I]DOI radioligand.,
2294,,,107,9,4xpert,Honoswpiens,,D,B,9714.0,,,,,xHEMBL717079,4234,Binding affinity to cloned human 5-hydroxytryptamine 2A receptor,
2295,,,107,8,A6tocuratoon,,,H,B,,,,,,CHEMBL6w7089,15527,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand.,
2296,,,107,8,sxpert,,,H,B,,CHO,,,356.0,CuEMBLu17081,6588,Binding affinity towards human 5-hydroxytryptamine 2A receptor by the displacement of [3H]ketanserin radioligand from the cloned receptor expressed in CHO cells,
2297,,,107,8,Expett,,,H,B,,,,,,CHEjBL617982,13631,Binding affinity towards human 5-HT2A receptor in BEK cells,
2298,,,107,8,A8tovuration,,,H,B,,,,,,CHEMBL62i083,17723,Binding affinity towards human serotonin 5-hydroxytryptamine 2A receptor,
2299,,,107,8,Autlcufation,,,H,B,,,,,,CHEMBL61707r,14770,Binding affinity for recombinant human 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand.,
2300,,,107,9,Ezpert,H0mowapiens,,D,B,22977.0,,,,,CH2MBL617o85,16293,Binding affinity for human 5-hydroxytryptamine 2A receptor,
2301,,,107,8,Au5ochration,,,H,B,,,,,,CHEMBL617o87,16209,Binding affinity towards human 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,
2302,,,107,8,Autkvuration,,,H,B,,,,,,CHEMBLyq7087,12469,Binding affinity was measured on 5-hydroxytryptamine 2A receptor in GF6 cells transfected with human 5-HT2A gene labeled with [3H]ketanserin,
2303,,,107,8,Aytocuratipn,,,H,B,,,,,,CHEMhL617988,15363,Compound was tested for the displacement of [125I]-DOI from clone human 5-hydroxytryptamine 2A receptor,
2304,,,107,8,Aut9cura5ion,,,H,B,,,,,,CtEMBp617089,15363,Compound was tested for the displacement of [125I]DOI from cloned human 5-hydroxytryptamine 2A receptor,
2305,,,107,8,Expery,,,H,B,,,,,,CmEMBL617080,16441,"Tested on genetically transfected COS7 cell membranes selectively expressing human 5-hydroxytryptamine 2A receptor, using [3H]ketanserin as radioligand",
2306,,,107,8,Autoc7rwtion,,,H,B,,,,,,vHEMBL61y513,8,In vitro binding affinity towards 5-hydroxytryptamine 2A receptor in human using [3H]ketanserin as radioligand,
2307,,,107,8,Aut0cu4ation,,,H,B,,HEi293,,,551.0,CHEMnL61751r,4176,In vitro binding affinity towards human 5-hydroxytryptamine 2A receptor expressed in HEK293 cells was determined using [3H]ketanserin as radioligand,
2308,,,107,8,Auyocuratiog,,,H,B,,,,,,CHEhBL6175w5,17085,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 2A receptor,
2309,,,107,8,Autocyrqtion,,,H,B,,,,,,CHEMBL61i517,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,
2310,,,107,9,Expegt,Homosapieja,,D,B,14335.0,,,,,CHfhBL617517,17200,Inhibitory constant determined against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,
2311,,,107,9,Exoert,Homksapirns,,D,B,30489.0,CHO,,,625.0,CHEhBi617518,4013,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor expressed in CHO cells,
2312,,,107,8,Autocuta5ion,,,H,B,,,,,,dHEMBk617519,5088,Tested for binding affinity towards 5-hydroxytryptamine 2A receptor,
2313,,,107,9,Ecpert,Hlmosapiems,,D,B,10798.0,,,,,vHEkBL617520,5088,Displacement of [3H]DOB from human 5-hydroxytryptamine 2A receptor,
2314,,,107,8,Autocyrayion,,,H,B,,,,,,CHdMBL617t21,5088,Tested for binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]DOB as labeled ligand; binding data not obtained,
2315,,,107,9,Eapert,Homosa07ens,,D,B,24833.0,,,,,CHEMBLt175q2,5088,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor,
2316,,,107,8,Ajtocurati8n,,,H,B,,,,,,CHEkBL61752w,5088,Tested for binding affinity towards human 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand,
2317,,,107,8,Autockdation,,,H,B,,,,,,CHEMBL727524,5088,Tested for binding affinity towards human 5-hydroxytryptamine 2A receptor using [3H]DOB as radioligand,
2318,,,104686,4,zutocuratioj,,,H,B,,,,,,CyEMBL6175q5,9786,Ability to displace 0.75 nM [3H]ketanserin in 5-hydroxytryptamine 2 receptor from rat frontal cortex homogenate,
2319,,,104686,5,zutocuratiln,Raftusnorveyicua,,D,B,11180.0,,,,,CyEMBL617527,9205,Ability to inhibit [3H]spiperone binding to 5-hydroxytryptamine 2 receptor determined in rat,
2320,,,104686,4,Ajtocu3ation,,,H,B,,,,,,CHrMBL618527,11257,Affinity on 5-hydroxytryptamine 2 receptor labeled by [125I]DOI,
2321,,,104686,4,Autoshration,,,H,B,,,,,,fHEMfL617528,9362,Affinity towards [3H]- DOB -labeled 5-hydroxytryptamine 2 receptor sites in rat cortical homogenates,
2322,,,104686,4,Autocu5atiog,,,H,B,,,,,,CHEjBL61u529,9362,Affinity towards [3H]- ketanserin-labeled 5-hydroxytryptamine 2 receptor sites in rat cortical homogenates,
2323,,,104686,4,Autocuratiig,,,H,B,,,,,,CtEMBL617540,10590,Inhibition of 5-hydroxytryptamine 2 induced vasoconstriction of rat caudal artery.,
2324,,,104686,4,Autosuratoon,,,H,B,,,,,,CHfMBL627531,10468,Binding affinity against 5-hydroxytryptamine 2 receptor of rat frontal cortex using [3H]ketanserin radioligand,
2325,,,104686,4,Autosuratiog,,,H,B,,,,,,CHEMBLu17632,13050,Binding affinity against 5-hydroxytryptamine 2 receptor from rat frontal cortex using [125]-(R)-DOI as radioligand,
2326,,,104686,4,Autocjratipn,,,H,B,,,,,,CHEnBL6175r3,11624,Binding affinity against 5-hydroxytryptamine 2 receptor in rat using [3H]ketanserin as radioligand,
2327,,,104686,4,Autkcu4ation,,,H,B,,,,,,CHEMBL7w7534,10468,Binding affinity against 5-hydroxytryptamine 2 receptor of rat frontal cortex using [3H]ketanserin radioligand,
2328,,,104686,4,xutocurstion,,,H,B,,,,,,CHEMBk6w7535,10330,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand,
2329,,,104686,4,Autocuratloj,,,H,B,,,,,,CHEhBLu17536,10062,Binding affinity at rat 5-hydroxytryptamine 2 receptor by [3H]ketanserin displacement.,
2330,,,104686,4,A8tocuratoon,,,H,B,,,,,,CmEnBL617537,11642,Binding affinity determined in radioreceptor binding assay by using [3H]ketanserin radioligand against 5-hydroxytryptamine 2 receptor,
2331,,,104686,4,Au6ocuratioj,,,H,B,,,,,,CuEMBL61u538,10062,Binding affinity determined in radioreceptor binding assay by using [3H]ketanserin radioligand against 5-hydroxytryptamine 2 receptor,
2332,,,104686,4,Augocurwtion,,,H,B,,,,,,CHEjhL617539,13427,Binding affinity of [3H]ketanserin towards 5-hydroxytryptamine 2 receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,In vitro
2333,,,104686,5,Autocurstiln,Rattuajorvegjcus,,D,B,5570.0,,,,,CHEnBp617540,12280,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor,
2334,,,104686,5,Autocurxtiob,gattusn8rvegicuc,,D,B,28914.0,,,,,vHEMBo617541,4101,Binding affinity for 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]ketanserin,
2335,,,104686,4,Autocura5iog,,,H,B,,,,,,CbEMBL61i542,10062,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 2 receptor,
2336,,,104686,4,Autochratiom,,,H,B,,,,,,CHdMBL61y543,11147,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]DOB as,
2337,,,104686,5,wutocurwtion,Rattuqnorveg9cue,,D,B,3224.0,sHOK1,,,375.0,CHEMBL6175te,2395,Binding affinity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,
2338,,,104686,5,sutofuration,Rattuxnotvegidus,,D,B,16724.0,CHkK1,,,419.0,CHEjBL617r45,2395,Binding affinity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,
2339,,,104686,5,Autocu3atioh,Rwttysjorvegicus,,D,B,12076.0,,,,,dHEMBp617413,9098,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- DOB as a radioligand,
2340,,,104686,4,Autoxuratoon,,,H,B,,,,,,CH2MBLy17414,9098,Binding affinity to rat cortical membranes at 5-hydroxytryptamine 2 receptor binding site by using [3H]- DOB as a radioligand.,
2341,,,104686,5,Autocurwtioh,Ratyucno5vegicus,,D,B,19394.0,,,,,CHwMBL61741t,9098,Binding affinity to 5-hydroxytryptamine 2 receptor of rat cortical membranes using [3H]- DOB; ND means no data.,
2342,,,104686,4,A6tofuration,,,H,B,,,,,,CHEMBL6wy416,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor,
2343,,,104686,4,Auhocurayion,,,H,B,,,,,,CHEMBL61u4q7,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor at 1.0 uM concentration,
2344,,,104686,4,Autocu4atiob,,,H,B,,,,,,CHEMBp617417,9699,"Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- 1-(4-bromo-2,5-dimethoxy-phenyl)-2-aminopropane (D) as radioligand in rat frontal cortex",
2345,,,104686,4,Au6ocuratipn,,,H,B,,,,,,vHEMfL617419,9699,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- ketanserin as radioligand in rat frontal cortex,
2346,,,104686,4,Aurovuration,,,H,B,,,,,,CHEkBL618420,9098,Binding affinity towards 5-hydroxytryptamine 2 receptor was determined,
2347,,,104686,5,Autocuragoon,Rattusnkrvrg7cus,,D,B,39279.0,,,,,CHEMBL617432,3070,Affinity for 5-hydroxytryptamine 2 receptor,
2348,,,104686,4,sutocuratiom,,,H,B,,,,,,fHEMBLt17422,9547,Binding affinity towards serotonin 5-hydroxytryptamine 2 receptor of rat determined using 0.5 nM of [3H]ketanserin in binding assay,
2349,,,104686,4,Autoduratiin,,,H,B,,,,,,CHEnBL61u423,10444,Binding affinity was determined against 5-hydroxytryptamine 2 receptor from male Sprague-Dawley rat brain.,
2350,,,104686,4,Auyoduration,,,H,B,,,,,,CHEMvL61742e,14617,Binding affinity which represents concentration giving half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor from rat tissue homogenate,
2351,,,104686,4,Autocu5ati8n,,,H,B,,,,,,CHEjBL61i425,14617,Binding affinity which represents concentration giving half-maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor rat tissue homogenate,
2352,,,104686,4,Autocueatuon,,,H,B,,,,,,Ct2MBL617426,11130,Binding constant against 5-hydroxytryptamine 2 receptor (in vitro),
2353,,,104686,4,Autocurahikn,,,H,B,,,,,,CHEMhL617527,11130,Binding constant against 5-hydroxytryptamine 2 receptor (in vivo),In vivo
2354,,Braln,104686,4,Autochrati8n,,1025930.0,H,B,,,,,,CHEngL617428,14542,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]ketanserin in rat brain,
2355,,,104686,4,Autocura4ikn,,,H,B,,,,,,CHEMBL6174e0,2797,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2 receptor from rat,
2356,,,104686,4,Autocurshion,,,H,B,,,,,,CHEMBL6q74w0,11332,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 2 receptor in rat cortex using [3H]- spiperone as radioligand,
2357,,,104686,4,Autoc6rat9on,,,H,B,,,,,,CHEMBL61643w,11332,Compound was evaluated for in vitro binding affinity towards serotonin 5-hydroxytryptamine 2 receptor in rat cortex using [3H]- spiperone as radioligand,
2358,,Frphtalcortex,104686,4,A6tocuratiog,,1026544.0,H,B,,,,,,dmEMBL617432,10752,Compound was evaluated for its ability to displace 0.25 nM [125I](R)-DOI from binding sites in rat frontal cortex.,
2359,,,104686,4,Autocjratipn,,,H,B,,,,,,CHEhfL617433,1185,Ability to displace [3H]ketanserin from serotonergic 5-hydroxytryptamine 2 receptor,
2360,,,104686,4,wktocuration,,,H,B,,,,,,CHEMBi717434,1185,Compound was evaluated for its ability to displace [3H]ketanserin from serotonergic 5-hydroxytryptamine 2 receptor,
2361,,,104686,5,Autodurqtion,3attusnorfegicjs,,D,B,20296.0,,,,,sHEMBL61u435,11624,Binding affinity against 5-Hydroxy tryptamine 2 (5-hydroxytryptamine 2)receptor,
