prospect_gncd,prospect_nmbrchldrn,prospect_stt,prospect_g,prospect_gndr,prospect_ct,prospect_ncm,prospect_nmbrcrs,prospect_mrtlstts,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
Snc8380,4.0,WA,86.0,f,Pembroke Pines,213536.0,5.0,U,604.0,O,Symantec,4.0,2047050.0
lyc8381,1.0,AR,22.0,,Hartford,289455.0,5.0,M,698.0,O,Saks,3.0,1174967.0
Hyb8382,2.0,WY,5.0,,Warren,237620.0,1.0,M,403.0,O,Medtronic,1.0,3278883.0
cjz8383,,LA,90.0,M,Brownsville,293766.0,0.0,M,714.0,O,Dean Foods,5.0,2537363.0
Nqx8384,5.0,Manitoba,73.0,M,Albuquerque,136793.0,4.0,S,455.0,O,Ford Motor,,1146313.0
Oeq8385,2.0,WI,94.0,,Pasadena,418283.0,4.0,M,642.0,O,Icahn Enterprises,5.0,2583488.0
Aiz8386,4.0,Ontario,73.0,M,Dayton,28204.0,1.0,W,328.0,U,Roper Industries,4.0,3399031.0
STH8387,4.0,ME,8.0,,Durham,269022.0,4.0,M,489.0,U,Saks,4.0,2430620.0
Gmo8388,5.0,NY,51.0,,Sacramento,31831.0,1.0,U,835.0,O,Mueller Water Products,0.0,385940.0
VVF8389,5.0,KY,90.0,,Mount Pearl,416623.0,5.0,M,567.0,O,Molson Coors Brewing,5.0,1164249.0
Bwc8390,2.0,AR,62.0,,Sudbury,123110.0,3.0,,310.0,U,Dun & Bradstreet,0.0,
Gab8391,1.0,KS,80.0,M,Oklahoma City,246022.0,4.0,W,366.0,O,Volt Information Sciences,0.0,857850.0
fzc8392,3.0,MS,28.0,F,Mesa,114486.0,4.0,M,,,AMC Entertainment,,198683.0
EKN8393,4.0,AZ,51.0,,Pembroke Pines,435741.0,1.0,M,425.0,O,ConAgra Foods,6.0,3677526.0
KMK8394,5.0,SD,40.0,J,Independence,127447.0,5.0,D,593.0,R,,2.0,845549.0
FZF8395,0.0,SD,1.0,,Fort Lauderdale,69855.0,2.0,M,,O,Clorox,10.0,2989701.0
len8396,5.0,AZ,44.0,,Tucson,488405.0,3.0,M,661.0,O,Flowers Foods,1.0,2724881.0
VLM8397,2.0,ID,41.0,,Lansing,473.0,4.0,W,494.0,O,Hewitt Associates,2.0,2228585.0
mav8398,1.0,MA,69.0,,Saskatoon,78269.0,0.0,M,324.0,O,Cablevision Systems,8.0,2411133.0
SFQ8399,2.0,VA,34.0,,Santa Clara,133210.0,4.0,W,801.0,R,Vought Aircraft Industries,0.0,2006554.0
NFI8400,4.0,OH,11.0,F,Honolulu,398312.0,3.0,U,430.0,O,Scotts Miracle-Gro,,1105583.0
Pqm8401,1.0,DE,40.0,F,Escondido,346267.0,1.0,U,590.0,O,Pactiv,8.0,2450714.0
ZPN8402,1.0,UT,1.0,f,Lowell,246402.0,,U,617.0,O,Nasdaq OMX Group,1.0,1367113.0
Fht8403,2.0,Manitoba,93.0,f,Des Moines,355336.0,3.0,M,594.0,O,Timken,0.0,1458300.0
xmv8404,0.0,NC,94.0,,Costa Mesa,277343.0,5.0,U,,O,Catalyst Health Solutions,1.0,2153900.0
kuo8405,2.0,DE,44.0,m,Lewiston,448803.0,2.0,W,411.0,O,DynCorp International,1.0,693726.0
Gnx8406,,Alberta,6.0,F,Hampton,494763.0,0.0,,541.0,O,Pulte Homes,1.0,1456507.0
NBI8407,5.0,CT,78.0,m,Durham,219917.0,4.0,U,618.0,U,Pantry,6.0,613257.0
tci8408,1.0,NJ,3.0,,Salem,275576.0,5.0,W,487.0,O,SAIC,3.0,545439.0
lad8409,4.0,WI,75.0,,Iqaluit,313667.0,0.0,M,733.0,O,Service Enterprise Group,5.0,2352979.0
Gsv8410,2.0,ME,64.0,,Pembroke Pines,117546.0,0.0,S,788.0,O,Level 3 Communications,1.0,2662579.0
Fkc8411,5.0,MN,85.0,f,Cedar Rapids,61410.0,5.0,U,393.0,O,Safeway,6.0,313104.0
ntt8412,0.0,IN,17.0,f,Savannah,193365.0,1.0,W,412.0,O,CACI International,2.0,3015714.0
Enq8413,3.0,NE,,F,Erie,99313.0,1.0,S,557.0,R,Land O'Lakes,8.0,614942.0
Zxq8414,4.0,MS,66.0,f,Las Vegas,186026.0,5.0,M,397.0,,Zions Bancorp.,2.0,1471593.0
CQV8415,2.0,NM,19.0,,Windsor,288720.0,4.0,M,561.0,R,Career Education,3.0,
BEZ8416,5.0,ME,91.0,,Windsor,183068.0,3.0,,516.0,O,Apple,8.0,1353127.0
Yul8417,2.0,VA,,,Akron,406673.0,3.0,M,764.0,O,Mutual of America Life,3.0,488073.0
Jtb8418,3.0,WV,69.0,f,Lowell,322767.0,1.0,M,725.0,O,H.J. Heinz,,1770822.0
Hqd8419,0.0,ME,39.0,M,Akron,41575.0,1.0,S,463.0,O,Herman Miller,6.0,3349478.0
Vrn8420,,New Brunswick,67.0,,Eugene,65319.0,5.0,D,774.0,O,RSC Holdings,7.0,3343920.0
WDU8421,4.0,MI,41.0,,Savannah,50132.0,3.0,M,654.0,R,News Corp.,3.0,1500921.0
uab8422,4.0,CA,99.0,,Durham,491132.0,2.0,S,329.0,O,Tenneco,9.0,3704032.0
KFD8423,0.0,GA,66.0,,Scottsdale,491971.0,4.0,D,544.0,O,LifePoint Hospitals,1.0,624438.0
Izt8424,0.0,SD,49.0,,Louisville,375380.0,3.0,U,526.0,O,Emcor Group,,3598369.0
Auo8425,0.0,NE,21.0,,London,416339.0,4.0,S,770.0,R,Public Storage,8.0,3110160.0
pqs8426,3.0,Manitoba,44.0,,Glendale,185175.0,3.0,U,691.0,O,Boston Scientific,1.0,3683789.0
bfm8427,0.0,Manitoba,29.0,M,Jacksonville,414591.0,4.0,U,790.0,R,Dick's Sporting Goods,,2208898.0
EWM8428,4.0,NM,19.0,,Warren,451105.0,2.0,U,584.0,O,Commercial Metals,5.0,3381435.0
ejp8429,4.0,NY,40.0,M,Nashua,330727.0,3.0,S,821.0,O,Baker Hughes,1.0,499477.0
Riv8430,5.0,UT,38.0,,Louisville,50921.0,1.0,W,423.0,U,Questar,7.0,3054107.0
Ppo8431,5.0,British Columbia,45.0,F,Lafayette,219560.0,3.0,U,723.0,O,D.R. Horton,6.0,3034114.0
HCD8432,5.0,NC,79.0,F,Hampton,72005.0,1.0,M,793.0,O,AGCO,0.0,604365.0
Swy8433,1.0,SD,,f,Springfield,303962.0,0.0,,711.0,O,Pentair,4.0,631885.0
num8434,0.0,NC,63.0,,Atlanta,319808.0,4.0,S,500.0,O,Health Management Associates,5.0,1801070.0
ixo8435,0.0,British Columbia,84.0,,Lansing,,3.0,M,776.0,O,Tupperware Brands,1.0,1726194.0
vzk8436,,AL,46.0,,Jacksonville,391449.0,0.0,D,478.0,O,ManTech International,6.0,3557258.0
Cch8437,4.0,Prince Edward Island,95.0,,Lakewood,314671.0,,S,776.0,O,Tiffany & Co,5.0,1435561.0
Sev8438,5.0,DC,78.0,f,Akron,193317.0,0.0,U,795.0,O,,4.0,140715.0
Bao8439,1.0,NJ,93.0,,Cheyenne,228417.0,,W,843.0,R,Pall,8.0,2953490.0
hvf8440,0.0,NJ,100.0,f,Buffalo,164976.0,0.0,S,612.0,R,,5.0,3497594.0
Crm8441,2.0,NV,71.0,,Glendale,28548.0,0.0,S,601.0,U,Raytheon,10.0,3626781.0
Euo8442,5.0,OH,44.0,F,Independence,119902.0,2.0,U,667.0,O,Kimberly-Clark,7.0,3934140.0
Kxp8443,0.0,WV,18.0,,Reno,228131.0,2.0,D,702.0,O,WellPoint,8.0,2103324.0
Wep8444,4.0,ND,48.0,M,Hialeah,153927.0,4.0,M,517.0,O,IAC/InterActiveCorp,,751426.0
Hvh8445,2.0,British Columbia,,M,Detroit,442135.0,5.0,M,597.0,O,Priceline.com,10.0,72928.0
Rsx8446,5.0,UT,68.0,m,Stamford,292340.0,0.0,M,788.0,O,Navistar International,1.0,170466.0
Doi8447,1.0,AL,54.0,,Berkeley,26963.0,,S,464.0,O,Jarden,3.0,76336.0
Qqp8448,0.0,IN,41.0,M,Augusta,337062.0,5.0,W,703.0,O,Atlas America,6.0,172798.0
Fae8449,3.0,DC,49.0,,Boston,71795.0,0.0,U,476.0,O,Insight Enterprises,9.0,2266559.0
FIU8450,5.0,AR,9.0,m,Tempe,271114.0,4.0,S,617.0,O,Broadridge Financial Solutions,5.0,1446659.0
Eqf8451,3.0,ME,95.0,,Scottsdale,322148.0,0.0,S,347.0,O,Perrigo,4.0,2733798.0
Cmj8452,5.0,Saskatchewan,89.0,M,Casper,233357.0,3.0,M,,O,Embarq,7.0,3057177.0
HDU8453,0.0,VA,54.0,,Montpelier,105107.0,5.0,W,767.0,O,,5.0,1392119.0
tss8454,1.0,VA,50.0,,Stamford,248032.0,1.0,M,478.0,O,WABCO Holdings,3.0,2505151.0
pit8455,,HI,79.0,,Aurora,478696.0,4.0,,521.0,O,Beacon Roofing Supply,7.0,1238133.0
Vol8456,2.0,WY,,F,Saint John,3391.0,2.0,D,585.0,O,Smith International,4.0,1932173.0
Ewz8457,5.0,CO,50.0,,San Bernardino,121179.0,2.0,D,334.0,O,Huntington Bancshares,8.0,1930474.0
OWW8458,2.0,OH,28.0,f,Warren,303801.0,,M,727.0,O,Core-Mark Holding,5.0,2443730.0
Hhn8459,,FL,17.0,,Louisville,6744.0,1.0,W,611.0,R,Sentry Insurance Group,1.0,990303.0
FFX8460,1.0,MA,,f,Cedar Rapids,326543.0,3.0,S,360.0,,Amerigroup,5.0,1635558.0
vus8461,3.0,CT,26.0,f,Eugene,270638.0,5.0,D,445.0,O,Terex,5.0,1831763.0
MCX8462,0.0,HI,49.0,M,Great Falls,60200.0,4.0,S,713.0,O,Coca-Cola Enterprises,4.0,429010.0
hno8463,2.0,WY,26.0,,Torrance,183336.0,2.0,S,570.0,O,Lockheed Martin,3.0,1831294.0
ndf8464,4.0,TN,83.0,F,Casper,340069.0,4.0,M,656.0,U,AGCO,7.0,436257.0
CAP8465,3.0,WI,74.0,,Durham,4339.0,0.0,S,567.0,O,Con-way,10.0,799882.0
rkj8466,2.0,AR,65.0,f,Miami,380166.0,0.0,M,726.0,O,CC Media Holdings,10.0,3387121.0
eue8467,2.0,MD,3.0,,Mount Pearl,483411.0,5.0,W,488.0,O,Dynegy,5.0,3690724.0
Ofd8468,0.0,MI,12.0,f,Louisville,31197.0,4.0,M,525.0,O,CMS Energy,2.0,1730508.0
fcp8469,5.0,VT,3.0,f,Escondido,470929.0,,S,640.0,O,Domtar,6.0,728292.0
Yyz8470,1.0,CO,50.0,,Richmond,106289.0,4.0,M,314.0,R,Pacific Life,8.0,1112286.0
Nwq8471,4.0,Quebec,95.0,,North Las Vegas,212470.0,0.0,S,793.0,,Packaging Corp. of America,0.0,3167276.0
kgp8472,,MS,77.0,,Saskatoon,324050.0,2.0,,,O,Magellan Health Services,0.0,2917329.0
uio8473,2.0,NH,28.0,F,Carrollton,323659.0,3.0,U,715.0,R,Philip Morris International,4.0,1033637.0
Ocr8474,3.0,MA,38.0,,Waterbury,228220.0,2.0,S,585.0,O,Ingram Micro,2.0,626914.0
Uzq8475,2.0,CO,41.0,F,San Buenaventura,272203.0,4.0,M,447.0,O,Intuit,2.0,2875202.0
jdb8476,5.0,British Columbia,17.0,F,Irvine,451917.0,3.0,U,536.0,O,Kla-Tencor,1.0,3949799.0
Lgd8477,1.0,FL,100.0,f,Warren,111293.0,2.0,D,843.0,O,Bio-Rad Laboratories,10.0,636659.0
LOB8478,,AZ,56.0,,Wichita,475106.0,3.0,D,316.0,U,WABCO Holdings,9.0,2563261.0
Qbj8479,3.0,VT,19.0,,Boston,331836.0,3.0,,562.0,O,FM Global,4.0,2705581.0
Qcn8480,0.0,CO,49.0,,St. Louis,81588.0,4.0,M,708.0,,Silgan Holdings,5.0,2698096.0
LMS8481,2.0,SC,23.0,F,Raleigh,105974.0,4.0,M,764.0,O,Ameriprise Financial,2.0,2572600.0
OUC8482,3.0,RI,34.0,,Rancho Cucamonga,1657.0,4.0,S,785.0,O,W.W. Grainger,2.0,1537032.0
Trp8483,5.0,NM,31.0,m,Lafayette,397454.0,,U,345.0,O,Modine Manufacturing,,2126200.0
gte8484,0.0,GA,38.0,,Fayetteville,262796.0,4.0,U,784.0,R,FPL Group,5.0,770068.0
ROB8485,4.0,WY,23.0,,Long Beach,412539.0,3.0,M,558.0,O,Puget Energy,5.0,1412791.0
rcd8486,4.0,NJ,81.0,F,Huntington Beach,123391.0,1.0,,841.0,O,Simon Property Group,8.0,1469286.0
YMW8487,5.0,SC,8.0,,Baton Rouge,435982.0,3.0,S,571.0,O,Burger King Holdings,2.0,1152298.0
Brz8488,1.0,ME,86.0,F,Macon,290792.0,2.0,S,392.0,R,Pall,6.0,3897005.0
chh8489,3.0,Alberta,40.0,,Henderson,120990.0,2.0,S,533.0,O,NCR,3.0,3989969.0
JUN8490,4.0,Quebec,55.0,m,Lowell,457396.0,2.0,U,,O,Whole Foods Market,0.0,3345234.0
THH8491,4.0,IL,30.0,,Austin,112285.0,5.0,D,543.0,O,Danaher,8.0,2863120.0
apr8492,1.0,ID,94.0,m,Raleigh,451364.0,3.0,S,827.0,R,HealthSpring,4.0,3050091.0
Ljz8493,5.0,FL,94.0,f,Corpus Christi,235284.0,3.0,M,809.0,O,Occidental Petroleum,10.0,939956.0
zox8494,2.0,MA,7.0,f,Dayton,263074.0,1.0,M,,,Perot Systems,,1160430.0
lzd8495,3.0,Manitoba,,f,Warwick,96123.0,1.0,M,687.0,O,Dell,9.0,2081947.0
JXF8496,5.0,MD,95.0,F,Independence,,3.0,U,776.0,O,Helmerich & Payne,7.0,90282.0
lvy8497,2.0,Saskatchewan,75.0,F,Santa Fe,204485.0,0.0,M,411.0,O,Alpha Natural Resources,2.0,
Npb8498,3.0,AZ,,f,Augusta,121193.0,5.0,M,493.0,O,Sherwin-Williams,6.0,1399007.0
Jfj8499,1.0,DE,76.0,,Savannah,,3.0,W,562.0,O,Tupperware Brands,9.0,1477739.0
Fwb8500,2.0,AR,78.0,,Sydney,83167.0,5.0,S,749.0,O,CUNA Mutual Group,7.0,104989.0
Krh8501,0.0,CA,21.0,f,Miami,282942.0,2.0,W,532.0,,Administaff,7.0,29623.0
Cyp8502,0.0,Newfoundland,32.0,M,Orlando,349287.0,3.0,M,699.0,O,,9.0,923672.0
Qvu8503,3.0,ND,43.0,F,Salinas,398595.0,4.0,S,760.0,O,NTK Holdings,7.0,2147817.0
OBR8504,5.0,IN,39.0,m,Denver,7297.0,3.0,S,580.0,O,Monsanto,4.0,919794.0
yzf8505,2.0,VA,76.0,M,Charlotte,172475.0,0.0,D,815.0,O,Ingram Micro,10.0,1375357.0
ZBQ8506,4.0,Saskatchewan,47.0,,Akron,323969.0,2.0,M,654.0,O,Kroger,6.0,678771.0
Aai8507,1.0,NV,86.0,m,Livonia,195423.0,5.0,W,781.0,O,Holly,4.0,3164138.0
Ruc8508,4.0,TN,41.0,,London,74911.0,4.0,M,823.0,U,,8.0,1428073.0
Dpp8509,0.0,NE,77.0,,Newport News,391792.0,1.0,D,821.0,U,Unum Group,3.0,98688.0
UTU8510,0.0,TN,35.0,,Vallejo,,2.0,U,376.0,O,NCI Building Systems,9.0,1696676.0
dow8511,,SD,41.0,f,Iqaluit,116960.0,0.0,M,790.0,O,Bon-Ton Stores,10.0,567657.0
Xcn8512,4.0,CA,33.0,f,Savannah,185858.0,4.0,D,544.0,O,AMR,7.0,2217949.0
Efl8513,0.0,LA,15.0,,Thousand Oaks,44305.0,0.0,M,333.0,R,New Jersey Resources,3.0,2753769.0
Lod8514,2.0,LA,90.0,,Thousand Oaks,439692.0,4.0,W,598.0,O,Embarq,4.0,1381997.0
Pfa8515,3.0,NH,46.0,,Louisville,224895.0,,S,410.0,O,BorgWarner,7.0,3587663.0
Qfr8516,0.0,MO,3.0,,Baton Rouge,125085.0,0.0,S,800.0,R,Neiman Marcus,8.0,1080310.0
Wnp8517,1.0,KY,16.0,F,Montgomery,233974.0,4.0,U,346.0,U,Amazon.com,4.0,3248166.0
Gvu8518,1.0,OH,96.0,f,Halifax,316779.0,1.0,S,318.0,,Arkansas Best,,3957538.0
VFW8519,3.0,ME,52.0,,Santa Rosa,,0.0,,470.0,O,Nationwide,7.0,1070106.0
Afx8520,4.0,NV,38.0,,Raleigh,,3.0,S,416.0,O,,10.0,268243.0
Usl8521,3.0,HI,78.0,f,Casper,69217.0,0.0,S,365.0,O,State Farm Insurance Cos.,5.0,2932666.0
toj8522,2.0,RI,2.0,M,Dawson City,128400.0,3.0,S,668.0,,,10.0,2510854.0
fqp8523,1.0,TX,1.0,M,Sterling Heights,172941.0,1.0,M,705.0,R,Buildings Materials Corp.,9.0,43530.0
sjm8524,4.0,WA,64.0,,Long Beach,,5.0,M,471.0,O,FMC,5.0,1611189.0
Rie8525,4.0,FL,29.0,M,El Monte,90913.0,5.0,S,344.0,O,ABM Industries,10.0,
Msj8526,2.0,WY,,,Bellevue,497850.0,3.0,,545.0,O,Burlington Northern Santa Fe,9.0,2668412.0
GQI8527,0.0,Prince Edward Island,92.0,f,Boise,122536.0,4.0,M,469.0,R,W.R. Grace,,3357587.0
Qux8528,5.0,OR,90.0,M,Berkeley,325913.0,2.0,U,504.0,O,Vanguard Health Systems,2.0,2477983.0
IEE8529,1.0,GA,43.0,,Columbia,132810.0,1.0,M,715.0,U,Graham Packaging,9.0,3024331.0
Htj8530,4.0,MO,54.0,,Santa Clarita,84453.0,5.0,M,726.0,O,Wisconsin Energy,3.0,424598.0
dxa8531,4.0,Ontario,85.0,,Plano,155366.0,3.0,M,715.0,O,Simon Property Group,9.0,3291469.0
mpd8532,2.0,SD,90.0,,Fairbanks,427365.0,1.0,S,,O,Convergys,8.0,2438535.0
Icl8533,2.0,GA,100.0,m,Warren,330508.0,1.0,U,583.0,U,Diebold,5.0,2930050.0
Rkm8534,5.0,GA,89.0,t,Saskatoon,14063.0,3.0,M,805.0,O,Vectren,2.0,3994449.0
TIZ8535,1.0,ND,67.0,,Wichita,61322.0,0.0,M,,O,AbitibiBowater,10.0,1601499.0
usl8536,3.0,IN,,F,Buffalo,488500.0,5.0,U,678.0,O,Brunswick,0.0,708829.0
hzy8537,5.0,AZ,80.0,,New Haven,,5.0,S,415.0,U,Interactive Brokers Group,0.0,2087147.0
TWG8538,1.0,SD,90.0,,Aurora,381888.0,1.0,M,741.0,R,OM Group,8.0,2607740.0
Zdt8539,2.0,NC,84.0,,Fontana,106937.0,2.0,S,722.0,O,Pulte Homes,10.0,506421.0
JMI8540,0.0,CA,88.0,,Wilmington,,5.0,M,720.0,R,Global Partners,9.0,1833920.0
nvv8541,4.0,Prince Edward Island,25.0,,Modesto,73858.0,5.0,D,345.0,O,TJX,5.0,162870.0
Xbh8542,3.0,NH,26.0,,Hollywood,356137.0,2.0,M,710.0,O,Whirlpool,9.0,1194756.0
vbt8543,1.0,CA,58.0,,Las Cruces,493727.0,5.0,D,378.0,O,Oil States International,1.0,1080794.0
Nbu8544,0.0,UT,54.0,f,Chicago,255446.0,1.0,M,627.0,,Tech Data,7.0,2555310.0
Rgr8545,5.0,WI,,,Mesquite,356544.0,,M,623.0,O,Pactiv,2.0,3333718.0
Ftq8546,,MO,87.0,,Plano,419228.0,3.0,D,782.0,O,Avnet,7.0,3111050.0
FPQ8547,5.0,NJ,62.0,,Cedar Rapids,279760.0,4.0,M,535.0,O,Family Insurance Group,,1786559.0
zok8548,,MO,88.0,f,El Monte,92895.0,3.0,D,673.0,O,Las Vegas Sands,10.0,2936931.0
oqa8549,4.0,DC,41.0,,Lafayette,300631.0,4.0,S,336.0,R,Corn Products International,5.0,2245050.0
YIB8550,5.0,SD,9.0,,Frederick,387843.0,1.0,M,791.0,R,,7.0,3280943.0
Csu8551,2.0,VT,54.0,,Columbus,352565.0,0.0,U,414.0,O,Energizer Holdings,6.0,2927688.0
kim8552,0.0,WY,80.0,,Shreveport,429081.0,3.0,U,828.0,O,Cliffs Natural Resources,1.0,1585088.0
Wnh8553,5.0,TN,85.0,,Pittsburgh,14301.0,,M,,O,Newell Rubbermaid,10.0,999428.0
qlh8554,1.0,VT,62.0,m,Lexington,497857.0,3.0,W,400.0,U,Merck,0.0,1627222.0
Nwo8555,1.0,FL,95.0,m,Salinas,24869.0,3.0,D,839.0,O,Airgas,1.0,3135975.0
Xot8556,2.0,NV,13.0,,New Haven,2909.0,5.0,U,420.0,O,NuStar Energy,1.0,3765659.0
MTA8557,4.0,MA,83.0,,London,125147.0,5.0,D,333.0,O,Wesco International,3.0,1001954.0
KSL8558,3.0,MD,90.0,,Norfolk,276867.0,0.0,S,,O,AK Steel Holding,2.0,1697540.0
ecg8559,3.0,IL,50.0,P,Charleston,46118.0,3.0,M,592.0,O,Pepco Holdings,8.0,
Cih8560,0.0,RI,16.0,,Miami,226788.0,1.0,S,324.0,O,AK Steel Holding,3.0,1665028.0
mjj8561,2.0,AZ,49.0,,Moncton,,1.0,S,590.0,O,,9.0,605814.0
njc8562,2.0,NE,4.0,,Brownsville,427738.0,5.0,U,749.0,O,Sentry Insurance Group,0.0,499139.0
QBV8563,2.0,MA,9.0,,San Antonio,39631.0,4.0,M,831.0,O,Verso Paper,8.0,
zlq8564,5.0,AK,66.0,M,Shreveport,406178.0,3.0,M,394.0,O,Corn Products International,7.0,2020749.0
JKJ8565,5.0,ND,,f,Santa Ana,219605.0,1.0,U,743.0,O,Olin,6.0,3158622.0
VQN8566,5.0,Newfoundland,7.0,F,Fremont,139846.0,3.0,M,492.0,O,Hasbro,7.0,2571398.0
Vtc8567,4.0,NJ,,,St. Louis,133766.0,0.0,U,708.0,O,Commercial Metals,7.0,2385565.0
MKK8568,3.0,WY,35.0,f,Saskatoon,319693.0,0.0,S,311.0,O,Micron Technology,9.0,
Uhr8569,,NY,92.0,m,Coral Springs,393562.0,3.0,M,559.0,O,DST Systems,4.0,3807560.0
Syo8570,4.0,PA,58.0,,Washington,294774.0,4.0,U,348.0,O,Land O'Lakes,1.0,994608.0
amb8571,3.0,WI,65.0,,Overland Park,344292.0,0.0,W,646.0,O,Aetna,3.0,1090133.0
Yap8572,3.0,Alberta,82.0,,Fremont,205716.0,3.0,W,389.0,O,,2.0,2069203.0
QEF8573,4.0,HI,3.0,,Lakewood,,4.0,U,519.0,O,W.R. Grace,3.0,3584493.0
YQM8574,3.0,New Brunswick,31.0,,Yellow Knife,254912.0,0.0,U,329.0,O,Oil States International,1.0,825011.0
FMY8575,2.0,IL,21.0,M,Iqaluit,,3.0,W,677.0,O,Equifax,10.0,2164663.0
PSI8576,2.0,MD,37.0,,Orlando,171520.0,2.0,U,694.0,R,Harrah's Entertainment,10.0,
Iet8577,2.0,VT,99.0,m,Yellow Knife,469956.0,5.0,M,415.0,O,Amkor Technology,0.0,1833295.0
CES8578,5.0,WY,10.0,,Philadelphia,87678.0,4.0,M,478.0,R,Alliant Techsystems,9.0,2613406.0
zkb8579,4.0,KY,100.0,m,Omaha,194160.0,0.0,D,549.0,O,ScanSource,4.0,667919.0
Geu8580,1.0,MT,35.0,,Pittsburgh,404373.0,3.0,S,,O,Oshkosh,7.0,2164860.0
PVX8581,2.0,AL,9.0,,Mobile,320544.0,2.0,M,305.0,O,Mylan,6.0,2584624.0
BSK8582,2.0,WA,0.0,f,West Valley,275851.0,2.0,S,390.0,O,FirstEnergy,3.0,
Ksg8583,5.0,SC,57.0,F,Raleigh,12801.0,3.0,S,559.0,O,Family Insurance Group,1.0,2579454.0
IXT8584,4.0,WY,26.0,m,Hilo,171542.0,4.0,M,344.0,O,Rent A Center,2.0,654997.0
CAT8585,5.0,Newfoundland,100.0,,Hull,385808.0,3.0,S,384.0,O,Alcoa,3.0,1781704.0
GEI8586,2.0,MA,59.0,F,San Antonio,392215.0,5.0,M,627.0,R,Becton Dickinson,2.0,828567.0
fzq8587,3.0,WV,48.0,,Lowell,391581.0,1.0,M,416.0,O,Humana,2.0,3549977.0
akp8588,3.0,UT,,M,Rancho Cucamonga,403794.0,5.0,U,731.0,O,Amerigroup,8.0,1091038.0
Gjy8589,5.0,UT,81.0,f,Tallahassee,300089.0,0.0,U,301.0,O,HCC Insurance Holdings,5.0,3328839.0
VAM8590,0.0,Alberta,89.0,f,St. Paul,348355.0,4.0,W,634.0,O,Country Financial Services,5.0,3629267.0
vhi8591,,NJ,2.0,m,Albuquerque,392681.0,0.0,M,567.0,O,,9.0,641857.0
FKP8592,1.0,KS,44.0,,Milwaukee,,2.0,S,582.0,O,Levi Strauss,8.0,
Nks8593,2.0,CO,62.0,m,Whitehorse,50201.0,0.0,D,820.0,,Ecolab,0.0,1261679.0
Tlb8594,3.0,MO,90.0,m,London,339560.0,5.0,M,575.0,O,HSN,1.0,1045427.0
JCP8595,5.0,TN,45.0,f,Oakland,316007.0,2.0,S,805.0,O,NCR,8.0,275062.0
Ahl8596,3.0,VT,18.0,,Albuquerque,242613.0,3.0,U,708.0,,Blockbuster,7.0,423990.0
PMV8597,3.0,Ontario,46.0,M,Saint John,159051.0,4.0,U,779.0,R,Paychex,,2825842.0
ZVV8598,3.0,WY,49.0,,Denver,330406.0,1.0,M,305.0,O,Applied Biosystems,8.0,3381734.0
xkt8599,5.0,MS,17.0,,Evansville,195219.0,4.0,S,315.0,O,E*Trade Financial,8.0,
Gpd8600,2.0,PA,0.0,M,Winston-Salem,344329.0,3.0,D,419.0,O,MPS Group,3.0,
Cac8601,1.0,WI,37.0,,Tulsa,251678.0,4.0,S,686.0,O,,1.0,369324.0
Hjv8602,2.0,HI,53.0,M,Lancaster,228925.0,4.0,M,533.0,O,Northeast Utilities,0.0,3595684.0
BGT8603,5.0,British Columbia,58.0,m,Cincinnati,490808.0,3.0,S,471.0,O,New Jersey Resources,2.0,2887362.0
bmy8604,1.0,CT,93.0,,Calgary,462770.0,0.0,U,830.0,O,Family Insurance Group,6.0,2712723.0
Fgi8605,3.0,NY,90.0,,Lansing,16016.0,1.0,M,316.0,O,Sprint Nextel,6.0,481938.0
Gdm8606,4.0,PA,25.0,m,Yellow Knife,295940.0,0.0,M,721.0,O,,9.0,51727.0
Lcc8607,2.0,OH,75.0,m,Providence,483119.0,4.0,W,805.0,U,Pantry,5.0,905678.0
Tzv8608,4.0,ND,29.0,,San Diego,34284.0,0.0,U,468.0,,Apollo Group,0.0,3099198.0
Qrw8609,3.0,NV,34.0,,Lubbock,168208.0,3.0,U,696.0,,,5.0,1286722.0
LIP8610,0.0,NJ,6.0,m,Chandler,267730.0,3.0,S,631.0,O,Target,0.0,1751169.0
Ppr8611,,NJ,7.0,m,Lakewood,24383.0,3.0,S,463.0,O,Thor Industries,5.0,372631.0
uni8612,1.0,HI,9.0,F,Providence,286678.0,5.0,W,740.0,O,Terex,3.0,1710525.0
Cpp8613,2.0,WI,67.0,m,Hilo,380955.0,3.0,M,627.0,O,Synnex,5.0,380664.0
EKG8614,1.0,VT,1.0,f,Wilmington,,1.0,S,667.0,O,Arch Coal,6.0,3917347.0
Lyk8615,4.0,Alberta,0.0,m,Thousand Oaks,428257.0,3.0,M,467.0,R,AnnTaylor Stores,,13701.0
Ecf8616,2.0,NY,28.0,m,Overland Park,15535.0,2.0,M,510.0,O,ENSCO International,1.0,
Ieg8617,2.0,MN,41.0,,Mobile,239390.0,1.0,M,807.0,O,Children's Place Retail Stores,5.0,1116236.0
Ohh8618,5.0,Quebec,30.0,A,Bismarck,315629.0,3.0,S,482.0,O,McClatchy,5.0,466597.0
Jah8619,0.0,IL,21.0,,Honolulu,120199.0,4.0,S,548.0,O,Tractor Supply,1.0,3972709.0
MGK8620,2.0,MA,59.0,f,El Monte,352122.0,1.0,M,742.0,O,Flowserve,4.0,2526150.0
