assay_id,assay_organism,tissue_id,chembl_id,description,assay_test_type,doc_id,assay_tissue,tid,variant_id,assay_category,bao_format,src_assay_id,curated_by,assay_subcellular_fraction,assay_tax_id,assay_type,assay_strain,assay_cell_type
1925,,,CHEMBL616979,In vitro binding affinity was measured on serotonergic 5-hydroxytryptamine 2 receptor by displacement of [3H]- ketanserin,,12443,,104686,,,BAO_0000224,,Autocuration,,,B,,
1926,,,CHEMBL616980,In vitro inhibitory activity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor,,13830,,104686,,,BAO_0000224,,Autocuration,,,B,,
1927,,,CHEMBL616981,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes,,9592,,104686,,,BAO_0000249,,Autocuration,Membranes,,B,,
1928,,,CHEMBL616982,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes; Not tested,,9592,,104686,,,BAO_0000249,,Autocuration,Membranes,,B,,
1929,,,CHEMBL616983,Inhibitory activity against 5-hydroxytryptamine 2 receptor by 3H ligand binding experiments.,,10881,,104686,,,BAO_0000224,,Autocuration,,,B,,
1930,,,CHEMBL616984,Inhibitory activity against [3H]spiroperidol binding to 5-HT2 receptor in rat cortex,,13605,,104686,,,BAO_0000019,,Autocuration,,,B,,
1931,Rattus norvegicus,,CHEMBL616985,Inhibitory activity against 5-hydroxytryptamine 2 receptor,,11624,,104686,,,BAO_0000224,,Autocuration,,10116.0,B,,
1932,,,CHEMBL616986,Inhibitory concentration against 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,,4101,,104686,,,BAO_0000224,,Autocuration,,,B,,
1933,,,CHEMBL616987,Inhibitory concentration against binding of 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,,4101,,104686,,,BAO_0000224,,Autocuration,,,B,,
1934,,,CHEMBL616988,Inhibitory concentration against radioligand [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat,,15360,,104686,,,BAO_0000019,,Autocuration,,,B,,
1935,,,CHEMBL617243,Inhibitory concentration against radioligand [3H]spiperone binding to 5-hydroxytryptamine 2 receptor in rat cortex,,11576,,104686,,,BAO_0000019,,Autocuration,,,B,,
1936,,,CHEMBL617244,Inhibitory concentration required against 5-hydroxytryptamine 2 receptor in rat cortex using [3H]spiperone,,5834,,104686,,,BAO_0000019,,Autocuration,,,B,,
1937,Rattus norvegicus,,CHEMBL617245,Inhibitory concentration against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,,2395,,104686,,,BAO_0000219,,Autocuration,,10116.0,B,,CHO-K1
1938,,,CHEMBL617246,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat cortical membranes,,11965,,104686,,,BAO_0000249,,Autocuration,Membranes,,B,,
1939,,,CHEMBL617546,The compound was evaluated for the ability to displace [3H]ketanserin from 5-hydroxytryptamine 2 receptor ( striata of male wistar rats),,3967,,104686,,,BAO_0000224,,Autocuration,,,B,,
1940,,,CHEMBL617547,The concentration required to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat brain membranes (in vitro),,11130,,104686,,,BAO_0000249,,Autocuration,Brain membranes,,B,,
1941,,,CHEMBL617548,Binding affinity of [3H]ketanserin towards 5-hydroxytryptamine 2 receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,In vitro,13427,,104686,,,BAO_0000219,,Autocuration,,,B,,
1942,,,CHEMBL617549,Binding affinity towards 5-hydroxytryptamine 2 receptor,,9443,,104686,,,BAO_0000224,,Autocuration,,,B,,
1943,,,CHEMBL617550,Binding affinity towards 5-hydroxytryptamine 2 receptor at 1.0 uM concentration,,9443,,104686,,,BAO_0000224,,Autocuration,,,B,,
1944,,,CHEMBL617551,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,,11825,,104686,,,BAO_0000224,,Autocuration,,,B,,
1945,,,CHEMBL617552,Percent inhibition of binding of 1.0 nM [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e -5 M,,12120,,104686,,,BAO_0000249,,Autocuration,Membranes,,B,,
1946,,,CHEMBL617553,Percent inhibition of binding of 1.0 nM [3H]-ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e-5 M.,,12120,,104686,,,BAO_0000249,,Autocuration,Membranes,,B,,
1947,,1515.0,CHEMBL617554,Tested for antagonistic activity against 5-hydroxytryptamine 2 receptor from rat thoracic aorta,,11963,Thoracic aorta,104686,,,BAO_0000019,,Autocuration,,,F,,
1948,,,CHEMBL617555,Binding affinity for membrane-bound 5-hydroxytryptamine 2 receptor,,9069,,104686,,,BAO_0000019,,Autocuration,,,B,,
1949,,,CHEMBL617556,Compound was tested for its effect on 5-hydroxytryptamine 2 receptor saturation analysis,,8868,,104686,,,BAO_0000224,,Autocuration,,,B,,
1950,,,CHEMBL617557,Inhibitory constant against human 5-hydroxytryptamine 1B receptor using [3H]5-CT radioligand,,17200,,10624,,,BAO_0000357,,Autocuration,,,B,,
1951,,,CHEMBL617558,Inhibitory constant against human 5-hydroxytryptamine 1D receptor using [3H]5-CT radioligand,,17200,,10624,,,BAO_0000357,,Autocuration,,,B,,
1952,,,CHEMBL617559,Binding affinity against 5-hydroxytryptamine 1D receptor was measured using [3H]5-HT as radioligand,,13969,,17106,,,BAO_0000357,,Expert,,,B,,
1953,,,CHEMBL617560,Binding affinity for 5-hydroxytryptamine 1D receptor,,13392,,17106,,,BAO_0000357,,Expert,,,B,,
1954,,,CHEMBL617561,Compound was tested for its ability to displace [125I]GTI binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,,1742,,17106,,,BAO_0000249,,Autocuration,,,B,,
1955,,,CHEMBL617562,Compound was tested for its ability to displace [3H]-5-HT binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,,1742,,17106,,,BAO_0000249,,Autocuration,,,B,,
1956,,2435.0,CHEMBL617563,Binding affinity against 5-hydroxytryptamine 1D receptor using [3H]5-HT in pig striatum + frontalCortex,,14331,Striatum,17106,,,BAO_0000357,,Autocuration,,,B,,
1957,,,CHEMBL617564,Relative agonist efficacy against 1 uM 5-hydroxytryptamine 1D receptor,,12861,,17106,,,BAO_0000019,,Autocuration,,,F,,
1958,,,CHEMBL617565,Binding activity against 5-hydroxytryptamine 1D receptor from pig caudate membrane using [3H]5-HT as radioligand,,12861,,17106,,,BAO_0000019,,Expert,,,B,,
1959,,,CHEMBL856076,Binding activity radioligand.,,12861,,17106,,,BAO_0000357,,Autocuration,,,B,,
1960,,,CHEMBL617566,Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,,12861,,17106,,,BAO_0000019,,Autocuration,,,B,,
1961,,,CHEMBL875911,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,,12861,,17106,,,BAO_0000019,,Expert,,,B,,
1962,,,CHEMBL617567,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand; NA Not Available,,12861,,17106,,,BAO_0000019,,Autocuration,,,B,,
1963,,,CHEMBL617568,Compound was tested for the displacement of [3H]-5-HT to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,,675,,17106,,,BAO_0000249,,Autocuration,,,B,,
1964,,,CHEMBL617569,Displacement of [3H]5-HT binding to 5-hydroxytryptamine 1D receptor from pig caudate membrane,,12490,,17106,,,BAO_0000019,,Expert,,,B,,
1965,,,CHEMBL617570,Displacement of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1D receptor in pig caudate membrane,,11828,,17106,,,BAO_0000249,,Expert,,,B,,
1966,,,CHEMBL617571,Binding affinity for 5-hydroxytryptamine 1D receptor in piglet caudate using [3H]5-HT,,11866,,17106,,,BAO_0000357,,Autocuration,,,B,,
1967,Sus scrofa,,CHEMBL617572,In Vitro Binding affinity againist 5-hydroxytryptamine 1D receptor by displacing [125I]GTI from pig caudate,,773,,105,,,BAO_0000357,,Autocuration,,9823.0,B,,
1968,Oryctolagus cuniculus,,CHEMBL617573,The compound was tested for intrinsic activity against 5-HT1D receptor,,13047,,105,,,BAO_0000357,,Expert,,9986.0,B,,
1969,Oryctolagus cuniculus,,CHEMBL617574,Intrinsic activity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,,13047,,105,,,BAO_0000019,,Autocuration,,9986.0,B,,
1970,Oryctolagus cuniculus,,CHEMBL617575,The compound was tested for binding affinity against 5-HT1D receptor,,13047,,105,,,BAO_0000357,,Expert,,9986.0,B,,
1971,,,CHEMBL617576,Tested for the effect on binding at 5-hydroxytryptamine 1D receptor; No activity,,188,,10578,,,BAO_0000357,,Autocuration,,,B,,
1972,,,CHEMBL617577,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1D receptor of rat substantia nigra,,10639,,10578,,,BAO_0000019,,Autocuration,,,F,,
1973,,,CHEMBL617578,Inhibition of forskolin stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor,,12438,,10578,,,BAO_0000019,,Autocuration,,,F,,
1974,,,CHEMBL617579,Binding affinity was measured against serotonin 5-hydroxytryptamine 1D receptor,,12438,,10578,,,BAO_0000357,,Autocuration,,,B,,
1975,,,CHEMBL617580,Binding affinity towards 5-hydroxytryptamine 1D receptor in rat frontal cortex using [125I]iodocyanopindolol as radio-ligand.,,15854,,10578,,,BAO_0000019,,Expert,,,B,,
1976,,,CHEMBL617581,Inhibitory activity against 5-hydroxytryptamine 1D receptor in rat cortical membranes using [3H]5-HT as a radioligand,,10394,,10578,,,BAO_0000249,,Autocuration,,,B,,
1977,,,CHEMBL617582,The binding affinity was measured on 5-hydroxytryptamine 1D receptor using [3H]- serotonin as radioligand.,,12092,,10578,,,BAO_0000357,,Autocuration,,,B,,
1978,,,CHEMBL617583,Binding affinity to 5-hydroxytryptamine 1D receptor in the rat forebrain by [3H]- SB-204269 displacement.,,3389,,10578,,,BAO_0000019,,Expert,,,B,,
1979,,,CHEMBL617584,Inhibition of binding towards 5-hydroxytryptamine 1D receptor at 100 nM concentration,,6011,,105,,,BAO_0000357,,Autocuration,,,B,,
1980,,,CHEMBL617585,Compound was tested for binding affinity against 5-hydroxytryptamine 1D receptor,,4639,,105,,,BAO_0000357,,Autocuration,,,B,,
1981,,,CHEMBL875912,Compound was measured for its binding affinity at 5-hydroxytryptamine 1D receptor at a concentration of 10 uM using [3H]5-HT as radioligand,,2474,,105,,,BAO_0000357,,Autocuration,,,B,,
1982,,,CHEMBL617586,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 1D receptor,,5014,,105,,,BAO_0000357,,Autocuration,,,B,,
1983,,,CHEMBL617587,Binding affinity of compound towards serotonin 5-hydroxytryptamine 1D receptor; inactive at 10 uM,,17515,,105,,,BAO_0000357,,Autocuration,,,B,,
1984,,,CHEMBL617588,Binding affinity for 5-hydroxytryptamine 1D receptor was determined,,11866,,105,,,BAO_0000357,,Autocuration,,,B,,
1985,,,CHEMBL857980,Evaluated for the binding affinity against 5-hydroxytryptamine 1D receptor,,4687,,105,,,BAO_0000357,,Autocuration,,,B,,
1986,,,CHEMBL617589,Tested against 5-hydroxytryptamine 1D receptor,,12146,,105,,,BAO_0000357,,Autocuration,,,B,,
1987,,,CHEMBL617590,Binding affinity for 5-hydroxytryptamine 1D receptor was determined by using [3H]5-HT as radioligand,,10321,,105,,,BAO_0000357,,Autocuration,,,B,,
1988,,,CHEMBL617591,Antagonistic binding affinity measured against 5-hydroxytryptamine 2A receptor (human clone expressed in 293 cells) using [3H]ketanserin as radioligand,,13267,,105,,,BAO_0000219,,Autocuration,,,B,,HEK293
1989,Homo sapiens,,CHEMBL617592,Binding affinity against 5-Hydroxytryptamine 1D receptor,,1274,,105,,,BAO_0000357,,Expert,,9606.0,B,,
1990,,,CHEMBL617593,,,15250,,105,,,BAO_0000357,,Autocuration,,,B,,
1991,,,CHEMBL617594,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,,13706,,106,,,BAO_0000219,,Autocuration,,,B,,CHO-K1
1992,,,CHEMBL617595,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,,13706,,105,,,BAO_0000219,,Autocuration,,,B,,CHO-K1
1993,,,CHEMBL617596,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line.,,13706,,105,,,BAO_0000219,,Autocuration,,,B,,HEK293
1994,,,CHEMBL617597,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,,13706,,105,,,BAO_0000219,,Autocuration,,,B,,HEK293
1995,,,CHEMBL617598,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,,13047,,105,,,BAO_0000019,,Autocuration,,,B,,
1996,,,CHEMBL872916,Binding affinity of compound against 5-HT1Dalpha Binding affinity of compound against 5-HT1D alpha receptors in human,,13366,,105,,,BAO_0000357,,Autocuration,,,B,,
1997,,,CHEMBL617599,In vitro affinity human cloned 5-hydroxytryptamine 1D receptor alpha by [3H]5-HT displacement.,,13366,,105,,,BAO_0000357,,Expert,,,B,,
1998,,,CHEMBL617091,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor alpha was determined,,1558,,105,,,BAO_0000357,,Autocuration,,,B,,
1999,,,CHEMBL617092,"Binding affinity against 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells, using [3H]-5-HT as the radioligand.",,12902,,105,,,BAO_0000219,,Expert,,,B,,CHO-K1
2000,,,CHEMBL617093,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,,13706,,105,,,BAO_0000219,,Autocuration,,,B,,CHO-K1
2001,,,CHEMBL617094,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor alpha measured as the reduction of forskolin-stimulated cAMP.,,13706,,105,,,BAO_0000019,,Autocuration,,,F,,
2002,,,CHEMBL617095,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,,13706,,105,,,BAO_0000019,,Autocuration,,,F,,
2003,,,CHEMBL617096,Compound was tested for its agonist activity against human 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,,14251,,105,,,BAO_0000019,,Autocuration,,,F,,
2004,,,CHEMBL617097,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,,14251,,105,,,BAO_0000019,,Autocuration,,,F,,
2005,,,CHEMBL617098,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,,14251,,105,,,BAO_0000019,,Autocuration,,,F,,
2006,,,CHEMBL617301,In vitro binding affinity towards 5-HT1D alpha receptor by using [3H]5-HT as radioligand,,13313,,105,,,BAO_0000357,,Autocuration,,,B,,
2007,,,CHEMBL617302,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]5-HT as radioligand,,13313,,105,,,BAO_0000357,,Autocuration,,,B,,
2008,,,CHEMBL617303,Selectivity towards 5-hydroxytryptamine 1D receptor beta to that of 5-hydroxytryptamine 1D receptor alpha,,13366,,105,,,BAO_0000357,,Autocuration,,,B,,
2009,,,CHEMBL617304,Binding affinity to recombinant human 5-hydroxytryptamine 1D receptor alpha,,13051,,105,,,BAO_0000357,,Expert,,,B,,
2010,,,CHEMBL617305,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor alpha expressed in CHO cells, by using [3H]5-HT as radioligand",,12903,,105,,,BAO_0000219,,Expert,,,B,,CHO
2011,Homo sapiens,,CHEMBL617306,Binding affinity was measured on 5-hydroxytryptamine 1D receptor alpha in COS cells transfected with human 5-HT1D alpha gene labeled with [3H]5-HT,,12469,,105,,,BAO_0000219,,Autocuration,,9606.0,B,,
2012,,,CHEMBL617307,Binding affinity (in vitro) against 5-hydroxytryptamine 1D receptor alpha using radio-ligand binding assay,,5619,,17106,,,BAO_0000357,,Autocuration,,,B,,
2013,Oryctolagus cuniculus,,CHEMBL617308,Binding affinity against 5-hydroxytryptamine 4 receptor using rabbit saphenous vein assay.,,13047,,105,,,BAO_0000019,,Autocuration,,9986.0,B,,
2014,,,CHEMBL617309,Binding affinities against 5-hydroxytryptamine 1D receptor alpha,,16633,,105,,,BAO_0000357,,Autocuration,,,B,,
2015,,,CHEMBL617310,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,,16633,,105,,,BAO_0000357,,Autocuration,,,B,,
2016,,,CHEMBL617311,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,,16633,,105,,,BAO_0000357,,Autocuration,,,B,,
2017,,,CHEMBL617312,Binding affinity towards 5-hydroxytryptamine 1D receptor alpha using [3H]8-OH-DPAT as radioligand,,16633,,105,,,BAO_0000357,,Autocuration,,,B,,
2018,,,CHEMBL617313,Affinity against 5-hydroxytryptamine 1D receptor alpha,,3269,,105,,,BAO_0000357,,Autocuration,,,B,,
2019,,,CHEMBL617314,Binding affinity against 5-hydroxytryptamine 1D receptor alpha,,12409,,105,,,BAO_0000357,,Expert,,,B,,
2020,,,CHEMBL617315,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,,13706,,106,,,BAO_0000019,,Autocuration,,,F,,
2021,,,CHEMBL617316,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line.,,13706,,106,,,BAO_0000219,,Autocuration,,,B,,HEK293
2022,,,CHEMBL617317,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,,13706,,106,,,BAO_0000219,,Autocuration,,,B,,HEK293
2023,,,CHEMBL617318,"The compound was tested in vitro for binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",,12903,,106,,,BAO_0000219,,Autocuration,,,B,,CHO
2024,,,CHEMBL617319,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,,13047,,106,,,BAO_0000019,,Autocuration,,,B,,
2025,,,CHEMBL617320,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,,13366,,106,,,BAO_0000357,,Expert,,,B,,
2026,,,CHEMBL617321,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,,13366,,106,,,BAO_0000357,,Expert,,,B,,
2027,,,CHEMBL617322,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,,13366,,106,,,BAO_0000357,,Expert,,,B,,
2028,,,CHEMBL616862,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined using [3H]8-OH-DPAT as radioligand,,13366,,106,,,BAO_0000357,,Autocuration,,,B,,
2029,,,CHEMBL616863,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor was determined using [3H]8-OH-DPAT as radioligand,,13366,,106,,,BAO_0000357,,Autocuration,,,B,,
2030,,,CHEMBL616864,Binding affinity was measured on 5-hydroxytryptamine 1D receptor beta in CHO cells transfected with human 5-HT1D beta gene labeled with [3H]5-HT,,12469,,106,,,BAO_0000219,,Autocuration,,,B,,CHO
2031,,,CHEMBL616865,Compound was tested for binding affinity against cloned human 5-HT1D beta receptor expressed in CHO-K1 cells.,,13706,,106,,,BAO_0000219,,Autocuration,,,B,,CHO-K1
2032,,,CHEMBL616866,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells.,,13706,,106,,,BAO_0000219,,Autocuration,,,B,,CHO-K1
2033,,,CHEMBL616867,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,,13706,,106,,,BAO_0000019,,Autocuration,,,F,,
2034,,,CHEMBL616868,"Binding affinity against 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells, using [3H]5-HT as the radioligand.",,12902,,106,,,BAO_0000219,,Expert,,,B,,CHO-K1
2035,,,CHEMBL616869,Binding affinity for cloned human 5-hydroxytryptamine 1D receptor beta,,13051,,105,,,BAO_0000357,,Expert,,,B,,
2036,,,CHEMBL616870,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",,12903,,106,,,BAO_0000219,,Expert,,,B,,CHO
2037,,,CHEMBL616871,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.24-0.55,,1558,,105,,,BAO_0000219,,Autocuration,,,F,,CHO-K1
2038,,,CHEMBL616872,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.6-2.0,,1558,,105,,,BAO_0000219,,Autocuration,,,F,,CHO-K1
2039,,,CHEMBL616873,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 2.8-6.5,,1558,,105,,,BAO_0000219,,Autocuration,,,F,,CHO-K1
2040,,,CHEMBL616838,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 30-70,,1558,,105,,,BAO_0000219,,Autocuration,,,F,,CHO-K1
2041,,,CHEMBL616839,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined,,1558,,105,,,BAO_0000357,,Autocuration,,,B,,
2042,Oryctolagus cuniculus,,CHEMBL616840,Binding affinity against 5-hydroxytryptamine 3 receptor using rabbit saphenous vein assay.,,13047,,106,,,BAO_0000019,,Autocuration,,9986.0,B,,
2043,,,CHEMBL616841,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]-5-HT as radioligand,,13313,,105,,,BAO_0000357,,Autocuration,,,B,,
2044,,,CHEMBL616842,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor beta by using [3H]5-HT as radioligand,,13313,,105,,,BAO_0000357,,Autocuration,,,B,,
2045,,,CHEMBL857976,Binding affinity against 5-hydroxytryptamine 1D receptor beta,,12409,,105,,,BAO_0000357,,Expert,,,B,,
2046,,,CHEMBL616843,Compound was tested for the displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 1E receptor stably expressed in CHO cells,,15250,,10618,,,BAO_0000219,,Autocuration,,,B,,CHO
2047,Homo sapiens,,CHEMBL616844,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype,,1348,,10618,,,BAO_0000357,,Expert,,9606.0,B,,
2048,,,CHEMBL616845,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype; NA denotes data not available,,1348,,10618,,,BAO_0000357,,Autocuration,,,B,,
2049,Homo sapiens,,CHEMBL616846,Binding affinity to cloned human 5-hydroxytryptamine 1E receptor,,4234,,10618,,,BAO_0000357,,Expert,,9606.0,B,,
2050,,,CHEMBL616847,Binding affinity towards human 5-hydroxytryptamine 1E receptor was determined using [3H]5-HT as radioligand,,16209,,10618,,,BAO_0000357,,Autocuration,,,B,,
2051,,,CHEMBL616848,Binding affinity was determined against 5-hydroxytryptamine 1E receptor in human cortical homogenate,,10444,,10618,,,BAO_0000019,,Autocuration,,,B,,
2052,,,CHEMBL616849,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1E receptor,,3935,,10618,,,BAO_0000357,,Autocuration,,,B,,
2053,,,CHEMBL872911,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1E receptor,,15818,,10618,,,BAO_0000357,,Autocuration,,,B,,
2054,,,CHEMBL616850,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1E receptor,,17085,,10618,,,BAO_0000019,,Autocuration,,,B,,
2055,Homo sapiens,,CHEMBL616699,Binding affinity against human 5-hydroxytryptamine 1E receptor expressed in CHO cells,,12936,,10618,,,BAO_0000219,,Expert,,9606.0,B,,CHO
2056,,,CHEMBL616700,Binding affinity towards cloned human 5-hydroxytryptamine 1E receptor was determined,,6166,,10618,,,BAO_0000357,,Autocuration,,,B,,
2057,,,CHEMBL616701,Binding affinity towards 5-hydroxytryptamine 1E receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand.,,15779,,10618,,,BAO_0000219,,Autocuration,,,B,,CHO
2058,,,CHEMBL616702,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand.,,15779,,10618,,,BAO_0000219,,Autocuration,,,B,,CHO
2059,,,CHEMBL616703,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand;ND means no data.,,15779,,10618,,,BAO_0000219,,Autocuration,,,B,,CHO
2060,,,CHEMBL616704,Binding affinity was determined against 5-hydroxytryptamine 1D receptor,,13181,,10618,,,BAO_0000357,,Autocuration,,,B,,
2061,,,CHEMBL616705,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as the radioligand,,4199,,10618,,,BAO_0000219,,Autocuration,,,B,,CHO
2062,,,CHEMBL616706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1E receptor,,14875,,10618,,,BAO_0000357,,Autocuration,,,B,,
2063,,,CHEMBL616707,Compound was tested for its binding affinity against cloned human 5-hydroxytryptamine 1E receptor in CHO cells using [3H]-5-HT,,15146,,10618,,,BAO_0000219,,Autocuration,,,B,,CHO
2064,,,CHEMBL616708,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1E receptor in CHO using [3H]5-HT as a radioligand,,5213,,10618,,,BAO_0000357,,Autocuration,,,B,,
2065,,,CHEMBL616709,Tested for binding affinity towards cloned human 5-hydroxytryptamine 1E receptor using [3H]5-HT as radioligand,,12146,,10618,,,BAO_0000357,,Autocuration,,,B,,
2066,,,CHEMBL616710,The binding affinity (pKi) measured against 5-hydroxytryptamine 1E receptor (cloned human receptors in CHO cells) using [3H]5-HT1E as radioligand,,13267,,10618,,,BAO_0000219,,Autocuration,,,B,,CHO
2067,,,CHEMBL616711,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT.,,14818,,10618,,,BAO_0000219,,Autocuration,,,B,,CHO
2068,,,CHEMBL616712,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells, using [3H]5-HT as radioligand",,4829,,10618,,,BAO_0000219,,Autocuration,,,B,,CHO
2069,,,CHEMBL616713,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 1E receptor was determined,,4373,,10618,,,BAO_0000357,,Autocuration,,,B,,
2070,,,CHEMBL616714,Binding affinity for 5-hydroxytryptamine 1E receptor was determined,,4373,,10618,,,BAO_0000357,,Autocuration,,,B,,
2071,,,CHEMBL616715,Compound was evaluated for the affinity at 5-hydroxytryptamine 1E receptor,,14159,,10618,,,BAO_0000357,,Autocuration,,,B,,
2072,,,CHEMBL616716,Binding affinity towards 5-hydroxytryptamine 1E receptor,,16633,,10618,,,BAO_0000357,,Autocuration,,,B,,
2073,,,CHEMBL616717,"In vitro effective concentration for stimulation of [35S]GTP-gamma-S, binding in mouse LM(tk-)cells expressing the human 5-HT1F receptor",,17085,,279,,,BAO_0000019,,Autocuration,,,F,,
