assays_ASI,assays_Desc,assays_CUB,assays_ASSTI,assays_SASI,assays_ASSTY,assays_ASSSTR,assays_BFOR,assays_DI,assays_ASSUBCFRAC,assays_CI,assays_SI,assays_CHEI,assays_ASSCT,assays_ASSCA,assays_ASORG,assays_RELTY,assays_CONFISCO,assays_TII,assays_VARII
3735,The dissociation equilibrium constant (pKB=-log KB) of compound was determined against the vascular 5-hydroxytryptamine 7 receptor in the endothelium denuded rabbit jugular vein.,Autocuration,9986.0,,B,,BAO_0000019,14025,,,1,CHEMBL620736,,,Oryctolagus cuniculus,H,8,,
3736,Compound was tested for the displacement of [3H]5-HT binding to cloned rat 5-hydroxytryptamine 7 receptor stably expressed in CHO cells,Autocuration,,,B,,BAO_0000219,15250,,449.0,1,CHEMBL620737,CHO,,,H,8,,
3737,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors at a concentration of 10000 nM,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620738,CHO,,,H,8,,
3738,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors at a concentration of 100 nM,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620739,CHO,,,H,8,,
3739,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors at a concentration of 1 nM,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620740,CHO,,,H,8,,
3740,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors by 10000 nM 5-HT.,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620741,CHO,,,H,8,,
3741,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors by 100 nM 5-HT.,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620742,CHO,,,H,8,,
3742,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT 7 receptors by 1 nM 5-HT,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620743,CHO,,,H,8,,
3743,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors at a concentration of 10000 nM,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620744,CHO,,,H,8,,
3744,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors at a concentration of 100 nM,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620745,CHO,,,H,8,,
3745,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors at a concentration of 1 nM,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620746,CHO,,,H,8,,
3746,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors by 10000 nM 5-HT.,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620747,CHO,,,H,8,,
3747,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors by 100 nM 5-HT.,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620748,CHO,,,H,8,,
3748,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors by 1 nM 5-HT.,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620749,CHO,,,H,8,,
3749,Binding affinity towards rat 5-hydroxytryptamine 7 receptor,Expert,,,B,,BAO_0000357,17066,,,1,CHEMBL620750,,,,H,8,,
3750,Binding affinity towards rat 5-hydroxytryptamine 7 receptor was evaluated using [3H]5-HT as radioligand,Expert,10116.0,,B,,BAO_0000357,17066,,,1,CHEMBL620751,,,Rattus norvegicus,D,9,,
3751,Binding affinity to the rat 5-hydroxytryptamine 7 receptor,Expert,,,B,,BAO_0000357,17386,,,1,CHEMBL620752,,,,H,8,,
3752,Binding affinity against 5-hydroxytryptamine 7 receptor using from CHO cell membranes [3H]5-HT as the radioligand.,Autocuration,,,B,,BAO_0000019,14423,,,1,CHEMBL872929,,,,H,8,,
3753,Binding affinity against Rat 5-hydroxytryptamine 7 receptor using [3H]5-HT,Expert,10116.0,,B,,BAO_0000357,15874,,,1,CHEMBL620753,,,Rattus norvegicus,D,9,,
3754,Displacement of [3H]5-HT from over-expressed rat 5-hydroxytryptamine 7 receptor,Expert,10116.0,,B,,BAO_0000357,15874,,,1,CHEMBL620754,,,Rattus norvegicus,D,9,,
3755,Displacement of [3H]5-HT from rat 5-hydroxytryptamine 7 receptor expressed in CHO cells,Expert,10116.0,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620755,CHO,,Rattus norvegicus,D,9,,
3756,In vitro binding affinity towards cloned rat 5-hydroxytryptamine 7 receptor using [3H]5-HT as radioligand,Autocuration,,,B,,BAO_0000357,4622,,,1,CHEMBL620756,,,,H,8,,
3757,The compound was tested for binding affinity against 5-hydroxytryptamine 7 receptor,Autocuration,,,B,,BAO_0000357,15086,,,1,CHEMBL620757,,,,H,8,,
3758,"Effect of compound on stimulation of cAMP production in CHO cells expressing rat 5-HT7 receptors at 1, 10, 100 1000 and 10000 nM conc; Not tested",Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620758,CHO,,,H,8,,
3759,"Effect of compound on stimulation of cAMP production in CHO cells expressing rat 5-HT7 receptors at 1, 10, 100 1000 and 10000 nM conc; not tested",Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620759,CHO,,,H,8,,
3760,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors at a concentration of 1 nM; not tested,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620760,CHO,,,H,8,,
3761,Percent inhibition of 5-HT7-induced stimulation of cAMP production in CHO cells expressing rat 5-HT receptors by 1 nM 5-HT; Not tested,Autocuration,,,B,,BAO_0000219,16372,,449.0,1,CHEMBL620761,CHO,,,H,8,,
3762,Maximal relaxation effect induced by 3 uM compound on substance P stimulated guinea pig ileum with 5-hydroxytryptamine 7 receptor desensitization,Autocuration,,,F,,BAO_0000221,17386,,,1,CHEMBL620762,,,,H,8,2116.0,
3763,Maximal relaxation effect induced by 3 uM compound on substance P stimulated guinea pig ileum with 5-hydroxytryptamine 7 receptor nondesensitization,Autocuration,,,F,,BAO_0000221,17386,,,1,CHEMBL620763,,,,H,8,2116.0,
3764,Maximal relaxation effect induced by 3 uM compound on substance P stimulated guinea pig ileum with 5-hydroxytryptamine receptor desensitization,Autocuration,,,F,,BAO_0000221,17386,,,1,CHEMBL620764,,,,H,8,2116.0,
3765,Inhibition of [3H]-5-CT binding to 5-hydroxytryptamine 7 receptor of rat cortical membranes,Expert,10116.0,,B,,BAO_0000249,5831,Membranes,,1,CHEMBL857990,,,Rattus norvegicus,D,9,,
3766,Binding affinity of compound towards serotonin 5-hydroxytryptamine 7 receptor was determined,Autocuration,,,B,,BAO_0000357,4342,,,1,CHEMBL620765,,,,H,8,,
3767,Binding affinity at rat 5-hydroxytryptamine 7 receptor.,Expert,,,B,,BAO_0000357,17319,,,1,CHEMBL620766,,,,H,8,,
3768,Binding affinity towards 5-hydroxytryptamine receptor 7 on rat hypothalamus membranes using [3H]5-CT as radioligand.,Expert,,,B,,BAO_0000019,17342,,,1,CHEMBL620767,,,,H,8,1898.0,
3769,Binding affinity towards cloned rat 5-hydroxytryptamine 7 receptor was determined using [3H]5-HT as radioligand,Autocuration,,,B,,BAO_0000357,17342,,,1,CHEMBL620768,,,,H,8,,
3770,Binding affinity against 5-hydroxytryptamine 7 receptor using [3H]-5-CT in rat hypothalamus membranes,Expert,,,B,,BAO_0000249,3680,,,1,CHEMBL619051,,,,H,8,1898.0,
3771,Binding affinity towards 5-hydroxytryptamine 7 receptor,Expert,,,B,,BAO_0000357,3680,,,1,CHEMBL619052,,,,H,8,,
3772,Agonistic activity against rat 5-HT7 adenyl cyclase expressed by HEK293 cells,Expert,10116.0,,F,,BAO_0000219,17319,,722.0,1,CHEMBL619053,HEK293,,Rattus norvegicus,D,9,,
3773,Agonistic activity against rat 5-HT7 adenyl cyclase expressed in HEK293 cells; Active,Expert,10116.0,,F,,BAO_0000219,17319,,722.0,1,CHEMBL619703,HEK293,,Rattus norvegicus,D,9,,
3774,Agonistic activity against rat 5-HT7-adenyl cyclase expressed by HEK293 cells; Active,Autocuration,10116.0,,F,,BAO_0000219,17319,,722.0,1,CHEMBL619704,HEK293,,Rattus norvegicus,D,9,,
3775,Binding affinity towards 5-hydroxytryptamine 7 receptor,Expert,,,B,,BAO_0000357,4820,,,1,CHEMBL619851,,,,H,8,,
3776,Percentage of displacement at 5-hydroxytryptamine 7 receptor at 10e-8 M,Autocuration,,,B,,BAO_0000357,4639,,,1,CHEMBL619852,,,,H,8,,
3777,Inhibition of binding towards 5-hydroxytryptamine 7 receptor at 100 nM concentration,Autocuration,,,B,,BAO_0000357,6011,,,1,CHEMBL619853,,,,H,8,,
3778,Binding affinity towards human 5-hydroxytryptamine 7 receptor,Expert,9606.0,,B,,BAO_0000357,17066,,,1,CHEMBL619854,,,Homo sapiens,D,9,,
3779,Binding affinity of compound towards rodent 5-hydroxytryptamine 7 receptor,Expert,,,B,,BAO_0000357,17066,,,1,CHEMBL619855,,,,H,8,,
3780,Binding affinity of compound towards serotonin 5-hydroxytryptamine 7 receptor; inactive at 10 uM,Autocuration,,,B,,BAO_0000357,17515,,,1,CHEMBL619856,,,,H,8,,
3781,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 7 receptor was determined,Autocuration,,,B,,BAO_0000357,4373,,,1,CHEMBL619857,,,,H,8,,
3782,Antagonistic activity towards 5-hydroxytryptamine 7 receptor was evaluated by cAMP assay,Expert,,,F,,BAO_0000019,17066,,,1,CHEMBL619858,,,,H,8,,
3783,Binding affinity for 5-hydroxytryptamine 7 receptor was determined,Autocuration,,,B,,BAO_0000357,4373,,,1,CHEMBL619859,,,,H,8,,
3784,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 7 receptor was determined,Autocuration,,,B,,BAO_0000357,4373,,,1,CHEMBL619860,,,,H,8,,
3785,Evaluated for the binding affinity to 5-hydroxytryptamine 7 receptor,Autocuration,,,B,,BAO_0000357,4687,,,1,CHEMBL619861,,,,H,8,,
3786,Non-selective inhibitory activity was determined against 5-hydroxytryptamine 7 receptor,Expert,,,B,,BAO_0000357,17342,,,1,CHEMBL619862,,,,H,8,,
3787,Ability to displace [125I]LSD 113808 from 5-hydroxytryptamine 7 receptor at concentration of 10e-6 M,Autocuration,,,B,,BAO_0000357,16946,,,1,CHEMBL619863,,,,H,8,,
3788,Ability to displace [125I]LSD 113808 from 5-hydroxytryptamine 7 receptor at concentration of 10e-8 M,Autocuration,,,B,,BAO_0000357,16946,,,1,CHEMBL619864,,,,H,8,,
3789,Binding affinities against 5-hydroxytryptamine 7 receptor,Autocuration,,,B,,BAO_0000357,16633,,,1,CHEMBL872928,,,,H,8,,
3790,Binding affinities towards 5-hydroxytryptamine 7 receptor,Autocuration,,,B,,BAO_0000357,16633,,,1,CHEMBL619865,,,,H,8,,
3791,Binding affinity towards rodent 5-hydroxytryptamine 7 receptor,Expert,,,B,,BAO_0000357,17066,,,1,CHEMBL619866,,,,H,8,,
3792,The binding affinity towards 5-hydroxytryptamine 7 receptor; No affinity,Autocuration,,,B,,BAO_0000357,16700,,,1,CHEMBL619867,,,,H,8,,
3793,Maximal relaxation effect induced by 3 uM compound on substance P stimulated guinea pig ileum with 5-hydroxytryptamine 7 receptor desensitization,Autocuration,,,B,,BAO_0000221,17386,,,1,CHEMBL619868,,,,H,8,2116.0,
3794,Compound was evaluated for the potency to inhibit oxidation of arachidonic acid by human recombinant 5-Lipoxygenase using a spectrophotometric assay,Autocuration,,,F,,BAO_0000019,14080,,,1,CHEMBL619869,,,,H,8,,
3795,Inhibition of oxidation of arachidonic acid by human 5-Lipoxygenase using spectrophotometric assay,Expert,9606.0,,F,,BAO_0000019,14080,,,1,CHEMBL619870,,,Homo sapiens,D,9,,
3796,In vitro inhibition of human recombinant 5-lipoxygenase enzyme,Autocuration,,,B,,BAO_0000357,409,,,1,CHEMBL619871,,,,H,8,,
3797,In vitro inhibition of human recombinant lipoxygenase enzyme,Autocuration,,,B,,BAO_0000357,409,,,1,CHEMBL619872,,,,H,8,,
3798,In vitro inhibition of human recombinant lipoxygenase enzyme; No inhibition,Autocuration,,,B,,BAO_0000357,409,,,1,CHEMBL619873,,,,H,8,,
3799,Inhibition of 5-lipoxygenase in human whole blood.,Expert,,,B,,BAO_0000357,11090,,,1,CHEMBL619874,,,,H,8,178.0,
3800,Inhibition of 5-lipoxygenase in human whole blood.,Expert,,,B,,BAO_0000357,11090,,,1,CHEMBL619875,,,,H,8,178.0,
3801,Compound was tested for the inhibition of 5-lipoxygenase of human PMN stimulated by calcium ionophore A-23187 for the formation of 5-HETE,Autocuration,,,B,,BAO_0000357,948,,,1,CHEMBL619876,,,,H,8,,
3802,Compound was tested for the inhibition of 5-lipoxygenase of human PMN stimulated by calcium ionophore A-23187 for the formation of leukotriene B4 (LTB4),Autocuration,,,B,,BAO_0000357,948,,,1,CHEMBL619877,,,,H,8,,
3803,In vitro 5-lipoxygenase inhibitory activity against calcium ionophore (A23187) induced LTB4 formation in human polymorphonuclear leukocytes.,Expert,,,F,,BAO_0000219,13622,,,1,CHEMBL619878,,,,H,8,,
3804,In vitro 5-lipoxygenase inhibitory activity against calcium ionophore (A23187) induced LTB4 formation in human whole blood,Autocuration,,,F,,BAO_0000019,13622,,,1,CHEMBL619879,,,,H,8,178.0,
3805,In vitro inhibition of 5-lipoxygenase from human polymorphs,Autocuration,,,B,,BAO_0000357,9637,,,1,CHEMBL619880,,,,H,8,,
3806,In vitro inhibition of leukotriene B4 synthesis in human whole blood by inhibiting 5-LPO (5-lipoxygenase),Autocuration,,,B,,BAO_0000357,11320,,,1,CHEMBL619881,,,,H,8,,
3807,In vitro inhibition of leukotriene B4 synthesis in human whole blood by inhibiting 5-lipoxygenase,Expert,,,B,,BAO_0000357,11320,,,1,CHEMBL619882,,,,H,8,,
3808,In vitro inhibitory activity against 5-lipoxygenase in a human whole blood assay,Autocuration,,,B,,BAO_0000357,6838,,,1,CHEMBL619883,,,,H,8,,
3809,Inhibition of 5-Lipoxygenase (5-LO) of human whole blood (HWB),Expert,9606.0,,B,,BAO_0000357,17667,,,1,CHEMBL619884,,,Homo sapiens,D,9,178.0,
3810,In vitro potency against human 5-Lipoxygenase,Autocuration,,,B,,BAO_0000357,12703,,,1,CHEMBL619885,,,,H,8,,
3811,Inhibitory activity against 5-lipoxygenase in Human whole blood (HWBL) stimulated with calcium ionophore (A23187) and LTB4 measured by enzyme immunoassay,Expert,9606.0,,F,,BAO_0000019,14312,,,1,CHEMBL619886,,,Homo sapiens,D,9,,
3812,Inhibition activity against 5-lipoxygenase in Human whole blood (HWBL) stimulated with calcium ionophore (A23187) and LTB4 measured by enzyme immunoassay; No data,Autocuration,,,F,,BAO_0000019,14312,,,1,CHEMBL619887,,,,H,8,178.0,
3813,Inhibition of 5-lipoxygenase activity of compound evaluated as determined by the inhibition of calcium ionophore-induced leukotriene B4 production in human blood.,Autocuration,,,F,,BAO_0000019,5364,,,1,CHEMBL875097,,,,H,8,,
3814,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE,Autocuration,,,B,,BAO_0000219,951,,,1,CHEMBL618001,,,,H,8,,
3815,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE; NA means Not active,Autocuration,,,B,,BAO_0000219,951,,,1,CHEMBL618002,,,,H,8,,
3816,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4,Autocuration,,,B,,BAO_0000219,951,,,1,CHEMBL618003,,,,H,8,,
3817,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4; NA means Not active,Autocuration,,,B,,BAO_0000219,951,,,1,CHEMBL618004,,,,H,8,,
3818,Inhibition of human 5-lipoxygenase in human cells,Autocuration,,,B,,BAO_0000219,12365,,,1,CHEMBL618005,,,,H,8,,
3819,Inhibition of human neutrophil 5-lipoxygenase,Expert,,,B,,BAO_0000357,10603,,,1,CHEMBL618006,,,,H,8,,
3820,Inhibitory activity against 5-lipoxygenase expressed from human polymorphonuclear cells,Autocuration,,,B,,BAO_0000019,10501,,,1,CHEMBL875086,,,,H,8,,
3821,Inhibition of 5-lipoxygenase from human whole blood,Expert,,,B,,BAO_0000357,12281,,,1,CHEMBL618007,,,,H,8,178.0,
3822,Inhibitory concentration required against 5-lipoxygenase activity in cytosolic fractions of human neutrophils,Autocuration,,,B,,BAO_0000357,2567,,,1,CHEMBL618008,,,,H,8,,
3823,Inhibitory concentration required against 5-lipoxygenase activity in intact cells of human neutrophils,Autocuration,,,B,,BAO_0000219,2567,,,1,CHEMBL618009,,,,H,8,,
3824,In vitro inhibition of polymorphonuclear leukocyte derived human 5-lipoxygenase,Expert,,,B,,BAO_0000357,10193,,,1,CHEMBL618010,,,,H,8,,
3825,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 10 uM,Autocuration,,,B,,BAO_0000357,10193,,,1,CHEMBL618011,,,,H,8,,
3826,Potency to inhibit oxidation of arachidonic acid by recombinant human 5-lipoxygenase,Expert,,,B,,BAO_0000357,13623,,,1,CHEMBL618012,,,,H,8,,
3827,Tested against 5-lipoxygenase,Autocuration,,,B,,BAO_0000357,12780,,,1,CHEMBL882927,,,,H,8,,
3828,Tested for activity against 5-Lipoxygenase (5-LO),Autocuration,,,B,,BAO_0000357,12780,,,1,CHEMBL618013,,,,H,8,,
3829,Tested for activity against 5-lipoxygenase,Autocuration,,,B,,BAO_0000357,12780,,,1,CHEMBL618014,,,,H,8,,
3830,Tested for inhibition of 5-HPETE production by human 5-LO,Autocuration,,,B,,BAO_0000357,11966,,,1,CHEMBL618015,,,,H,8,,
3831,The 5-lipoxygenase activity by the inhibition of calcium ionophore-induced leukotriene B4 production in human blood.,Autocuration,,,F,,BAO_0000019,5364,,,1,CHEMBL618016,,,,H,8,,
3832,Inhibition of Human 5-lipoxygenase,Expert,,,B,,BAO_0000357,13165,,,1,CHEMBL618017,,,,H,8,,
3833,The compound was evaluated for its inhibitory activity against 5-lipoxygenase using granulocytes-type cells,Autocuration,,,B,,BAO_0000019,5364,,,1,CHEMBL618018,,,,H,8,,
3834,The compound was tested for inhibitory activity against 5-lipoxygenase in human polymorphonuclear leukocytes[PMNS],Autocuration,,,B,,BAO_0000219,11311,,,1,CHEMBL875087,,,,H,8,,
3835,The compound was tested for inhibitory activity against LT synthesis in human polymorphonuclear leukocytes[PMNS],Autocuration,,,B,,BAO_0000219,11311,,,1,CHEMBL618019,,,,H,8,,
3836,The compound was tested for the concentration (in uM) to inhibit 50% of 5-Lipoxygenase (5-LOX) and is expressed in IC50.,Autocuration,,,B,,BAO_0000019,14863,,,1,CHEMBL618020,,,,H,8,,
3837,The compound was tested for the concentration (in uM) to inhibit 50% of 5-Lipoxygenase (5-LOX) and is expressed in IC50; Not tested,Autocuration,,,B,,BAO_0000019,14863,,,1,CHEMBL618021,,,,H,8,,
3838,The compound was tested for the inhibition of 5-lipoxygenase (5-lo) in human whole blood (HWBL),Autocuration,,,B,,BAO_0000357,11087,,,1,CHEMBL618022,,,,H,8,178.0,
3839,The compound was tested in vitro for inhibition against 5-lipoxygenase in intact human neutrophils,Autocuration,,,B,,BAO_0000357,455,,,1,CHEMBL618023,,,,H,8,,
3840,5-lipoxygenase Inhibitory activity was measured by enzyme immunoassay using human whole blood stimulated with calcium ionophore (A23187) and LTB4 (leukotriene B4),Autocuration,,,B,,BAO_0000357,13183,,,1,CHEMBL618024,,,,H,8,,
3841,In vitro inhibitory activity against 5-lipoxygenase in human polymorphonuclear (PMN) cells,Expert,,,B,,BAO_0000019,10319,,,1,CHEMBL873950,,,,H,8,,
3842,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 10 uM,Autocuration,,,B,,BAO_0000357,10193,,,1,CHEMBL618025,,,,H,8,,
3843,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE at 10 uM,Autocuration,,,B,,BAO_0000219,951,,,1,CHEMBL618026,,,,H,8,,
3844,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of 5-HETE at 10 uM; NA means Inactive,Autocuration,,,B,,BAO_0000219,951,,,1,CHEMBL618027,,,,H,8,,
3845,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4 at 10 uM,Autocuration,,,B,,BAO_0000219,951,,,1,CHEMBL618028,,,,H,8,,
3846,Inhibition of 5-lipoxygenase was evaluated in human polymorphonuclear leukocytes stimulated by calcium ionophore A-23187 for formation of LTB4 at 10 uM; NA means Inactive,Autocuration,,,B,,BAO_0000219,951,,,1,CHEMBL618029,,,,H,8,,
3847,Inhibitory activity against 5-lipoxygenase at 10 uM concentration,Expert,,,B,,BAO_0000357,9859,,,1,CHEMBL618030,,,,H,8,,
3848,Inhibitory activity against 5-lipoxygenase at 1 uM concentration,Expert,,,B,,BAO_0000357,9859,,,1,CHEMBL618031,,,,H,8,,
3849,Inhibitory activity against lipoxygenase (LO) at 10 uM concentration,Autocuration,,,B,,BAO_0000357,9859,,,1,CHEMBL618032,,,,H,8,,
3850,Inhibitory concentration required against 5-lipoxygenase activity in cytosolic fractions of human neutrophils,Autocuration,,,B,,BAO_0000357,2567,,,1,CHEMBL618033,,,,H,8,,
3851,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 1 uM,Autocuration,,,B,,BAO_0000357,10193,,,1,CHEMBL618034,,,,H,8,,
3852,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell at 10 uM,Autocuration,,,B,,BAO_0000357,10193,,,1,CHEMBL875088,,,,H,8,,
3853,Tested for the inhibition of 5-lipoxygenase from human polymorphonuclear leukocytes(PMN) at 10 uM concentration of the compound; IA= Inactive,Autocuration,,,B,,BAO_0000019,949,,,1,CHEMBL618035,,,,H,8,,
3854,Tested for the inhibition of 5-lipoxygenase from human polymorphonuclear leukocytes(PMN) at 10 uM concentration of the compound; value ranges from 70-90,Autocuration,,,B,,BAO_0000019,949,,,1,CHEMBL618036,,,,H,8,,
3855,Inhibition of human neutrophil 5-lipoxygenase at the concentration of 0.1 uM,Expert,,,B,,BAO_0000357,10603,,,1,CHEMBL618037,,,,H,8,,
3856,Inhibition of human neutrophil 5-lipoxygenase at the concentration of 1 uM,Expert,,,B,,BAO_0000357,10603,,,1,CHEMBL618038,,,,H,8,,
3857,Inhibition of human neutrophil 5-lipoxygenase at the concentration of 1 uM,Autocuration,,,F,,BAO_0000019,10603,,,1,CHEMBL618761,,,,H,8,,
3858,Inhibition of lipoxygenase at the concentration of 0.1 uM,Expert,,,B,,BAO_0000357,10603,,,1,CHEMBL618762,,,,H,8,,
3859,Inhibition of lipoxygenase at the concentration of 1 uM,Expert,,,B,,BAO_0000357,10603,,,1,CHEMBL618763,,,,H,8,,
3860,In vitro inhibitory activity against polymorphonuclear leukocyte 5-lipoxygenase in human cell,Autocuration,,,B,,BAO_0000357,10193,,,1,CHEMBL618764,,,,H,8,,
3861,Inhibition of 5-Lipoxygenase (5-LOX),Expert,9606.0,,B,,BAO_0000357,14580,,,1,CHEMBL618765,,,Homo sapiens,D,9,,
3862,Inhibition of 5-lipoxygenase in mouse macrophages.,Expert,,,B,,BAO_0000357,11090,,,1,CHEMBL618766,,,,H,8,,
3863,Inhibition of 5-lipoxygenase in mouse macrophages.,Expert,,,B,,BAO_0000357,11090,,,1,CHEMBL618767,,,,H,8,,
3864,Inhibitory activity against lipoxygenase-2 in mice,Autocuration,,,B,,BAO_0000357,6339,,,1,CHEMBL619380,,,,H,8,,
3865,Inhibitory activity against murine lipoxygenase-2.,Expert,,,B,,BAO_0000357,6339,,,1,CHEMBL619381,,,,H,8,,
3866,Inhibition of 5-lipoxygenase from mouse macrophage,Expert,10090.0,,B,,BAO_0000357,12281,,,1,CHEMBL619382,,,Mus musculus,D,9,,
3867,The compound was tested for inhibitory activity against 5-lipoxygenase in mouse macrophages,Autocuration,,,B,,BAO_0000357,11311,,,1,CHEMBL619383,,,,H,8,,
3868,The compound was tested for the inhibition of Arachidonate 5-lipoxygenase purified from porcine leukocytes.,Autocuration,9823.0,,B,,BAO_0000019,11089,,,1,CHEMBL619384,,,Sus scrofa,H,8,,
3869,Inhibition of 5-lipoxygenase reaction catalyzed by purified enzyme from porcine leukocytes,Autocuration,9823.0,,B,,BAO_0000019,10091,,,1,CHEMBL619385,,,Sus scrofa,H,8,,
3870,Inhibitory concentration against 5-lipoxygenase from isolated rabbit granulocytes,Autocuration,9986.0,,B,,BAO_0000019,14352,,,1,CHEMBL882928,,,Oryctolagus cuniculus,H,8,,
3871,5-lipoxygenase Inhibitory activity against rat polymorphonuclear leucocytes using 5-HETE,Expert,10116.0,,B,,BAO_0000019,13329,,,1,CHEMBL619386,,,Rattus norvegicus,D,9,,
3872,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using 5-HETE. ",Autocuration,,,B,,BAO_0000019,13329,,,1,CHEMBL619387,,,,H,8,,
3873,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using 5-HETE.",Autocuration,,,B,,BAO_0000019,13329,,,1,CHEMBL619388,,,,H,8,,
3874,"5-lipoxygenase inhibitory activity against rat polymorphonuclear leucocytes from female wistar rat, by using LTB4.",Autocuration,,,B,,BAO_0000019,13329,,,1,CHEMBL619389,,,,H,8,,
3875,Inhibition of 5-lipoxygenase pathway in rat polymorphonuclear assay (inhibition of 5-HETE formation),Expert,,,B,,BAO_0000019,13329,,,1,CHEMBL619390,,,,H,8,,
3876,"Inhibition of 5-lipoxygenase pathway in rat polymorphonuclear assay, by ability to inhibit formation of LTB4 AT 10 uM",Expert,,,B,,BAO_0000019,13329,,,1,CHEMBL619391,,,,H,8,,
3877,Inhibition of 5-lipoxygenase pathway was evaluated in rat polymorphonuclear assay by compound (50 uM) ability to inhibit formation of 5-HETE,Autocuration,,,B,,BAO_0000019,13329,,,1,CHEMBL619392,,,,H,8,,
3878,The effective dose for inhibition of 5-lipoxygenase in rat blood leukocyte (ex vivo),Autocuration,,,B,,BAO_0000019,11311,,,1,CHEMBL619393,,,,H,8,,
3879,The effective dose for inhibition of 5-lipoxygenase in rat passive Arthus model after oral administration,Autocuration,,,B,,BAO_0000019,11311,,,1,CHEMBL619394,,,,H,8,,
3880,"In vitro inhibition of 5-lipoxygenase HETE (5-hydroperoxyeicosatetraenoic acid) in RBL-1 macrophage, a cell-free enzyme assay",Autocuration,,,B,,BAO_0000219,105,,702.0,1,CHEMBL619395,RBL-1,,,H,8,,
3881,"In vitro inhibition of 5-lipoxygenase HETE (5-hydroperoxyeicosatetraenoic acid) in RBL-1 macrophage, a cell-free enzyme assay",Autocuration,,,B,,BAO_0000219,105,,702.0,1,CHEMBL619396,RBL-1,,,H,8,,
3882,Inhibition of rat neutrophil 5- Lipoxygenase (5-LO),Autocuration,,,B,,BAO_0000357,9138,,,1,CHEMBL619397,,,,H,8,,
