assay_id,variant_id,src_id,assay_cell_type,bao_format,tissue_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain
2131,,1,,BAO000p121,,5333,Compound was tested in vitro for its ability to compete with [3H]-ketanserin at 5-hydroxytryptamine 2 receptor in porcine brain homogenate,B,,,,,
2132,,1,,vAO0000231,,4437,In vitro for its ability to displace [3H]- ketanserin from 5-hydroxytryptamine 2 receptor in porcine brain homogenate,B,,,,,
2133,,1,,BA90000w57,,5033,Ability to displace the radioligand [3H]mesulergine from pig choroid plexus 5-hydroxytryptamine 2 receptor,B,,,Sus scrofa,9823.0,
2134,,1,,BAO00o00q9,,15267,Inhibition of [3H]- Ketanserin binding against rat brain 5-hydroxytryptamine 2 receptor,B,,,,,
2135,,1,,BAl00000q9,,15267,Inhibition of [3H]- Ketanserin binding against rat brain 5-hydroxytryptamine 2 receptor,B,,,,,
2136,,1,,BAO0oo0019,,11820,Binding affinity against 5-hydroxytryptamine 2 receptor from rat cortical synaptosomal membrane using radioligand [3H]ketanserin.,B,,,,,
2137,,1,,BA900002q4,,9069,Evaluated for binding activity against [3H]ketanserin as radioligand for 5-hydroxytryptamine 2 receptor,B,,,,,
2138,,1,,BAO00p001o,,9162,Affinity towards 5-hydroxytryptamine 2 receptor by measuring its ability to antagonize serotonin-induced contractions in the rat jugular vein; ND means no data,B,,,Rattus norvegicus,10116.0,
2139,,1,,BAO0p00o19,,9162,Affinity towards 5-hydroxytryptamine 2 receptor by measuring its ability to antagonize serotonin-induced contractions in the rat jugular vein.,B,,,,,
2140,,1,,BAO00o00q9,,9162,Affinity towards 5-hydroxytryptamine 2 receptor by measuring its ability to antagonize serotonin-induced contractions in the rat jugular vein; no appreciable 5-HT2 receptor affinity,B,,,,,
2141,,1,,hA90000019,,10428,Antagonistic activity against (5-hydroxytryptamine 2 receptor) serotonin-induced contractions in the rat jugular vein,F,,,,,
2142,,1,,fA00000019,,9628,Binding affinity to the 5-hydroxytryptamine 2 receptor assayed by antagonism of serotonin-induced contractions in the rat jugular vein,B,,,,,
2143,,1,,BA80p00224,,12704,Binding affinity against serotonin 5-hydroxytryptamine 2 receptor,B,,,,,
2144,,1,,BAO000922r,,15453,Percent decrease in 5-hydroxytryptamine 2 receptor binding using ketanserin,B,,,Rattus norvegicus,10116.0,
2145,,1,,BzO0o00224,,188,Tested for the effect on binding at 5-hydroxytryptamine 2 receptor; No activity,B,,,,,
2146,,1,,nAO000p224,,10349,Effect of 2 week administration of compound on 5-hydroxytryptamine 2 receptor binding by using 0.4 nM dose of [3H]- spiperone as a radioligand.,B,,,,,
2147,,1,,BAOo900224,,10349,Effect of 2 week administration of compound on 5-hydroxytryptamine 2 receptor binding by using 0.6 nM dose of [3H]- spiperone as a radioligand.,B,,,,,
2148,,1,,BAO9p00224,,8868,Compound was tested for its effect on 5-hydroxytryptamine 2 receptor saturation analysis,B,,,,,
2149,,1,,BAp000022e,,10025,Concentration necessary to achieve half maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor at 1 uM,B,,,,,
2150,,1,,BA000o0224,,10025,"Concentration necessary to achieve half maximal inhibition of [3H]ketanserin, binds to 5-hydroxytryptamine 2 receptor at 1 uM",B,,,,,
2151,,1,,BAOp090224,,11702,Compound was tested for the inhibition of quipazine binding at 5-HT2 receptor,B,,,,,
2152,,1,,BAO000p2e4,,11702,Compound was tested for the inhibition of quipazine binding at 5-hydroxytryptamine 2 receptor,B,,,,,
2153,,1,,BAOo00022t,,11702,Compound was tested for the inhibition of quipazine binding at 5-hydroxytryptamine 2 receptor; NT=Not tested,B,,,,,
2154,,1,,BAO0900919,,11702,Compound was tested for the inhibition of quipazine induced head twitches in rats,F,,,,,
2155,,1,,Bwi0000019,,11702,Compound was tested for the inhibition of quipazine induced head twitches in rats; NT=Not tested,F,,,,,
2156,,1,,vAO9000221,694722.0,10085,Ability to bind at 5-hydroxytryptamine 2 receptor of rat hippocampus by displacing [3H]spiperone,B,,,,,
2157,,1,,BAOo000121,3531323.0,10085,Ability to bind at serotonin 5-hydroxytryptamine 2 receptors of rat hippocampus by displacing [3H]spiperone,B,,,,,
2158,,1,,vAO0000321,461706.0,9630,Displacement of [3H]spiroperidol from 5-hydroxytryptamine 2 receptor in rat brain,B,,,Rattus norvegicus,10116.0,
2159,,1,,gAO000p019,,11070,Ability to inhibit binding of [3H]KET to 5-hydroxytryptamine 2 receptor in rat cortex,B,,,,,
2160,,1,,BA800002r9,,9841,Ability to inhibit binding of titreated spiperone to 5-hydroxytryptamine 2 receptor in rat brain frontal cortex membranes,B,,,,,
2161,,1,,BAO0p0024p,,9841,Ability to inhibit binding of titreated spiperone to the 5-hydroxytryptamine 2 receptor in rat brain frontal cortex membranes,B,,,,,
2162,,1,,BAO0000929,,13291,Affinity for 5-hydroxytryptamine 2 receptor binding sites by its ability to displace [3H]spiperone from rat frontal cortex.,B,,,,,
2163,,1,,BAOp00o019,,10590,Antagonistic activity against 5-hydroxytryptamine 2 receptor on rat frontal cortex membrane.,F,,,,,
2164,,1,,BAO00002qw,2515000.0,9064,Binding affinity against serotonin-2 receptor in rat brain using [3H]spiroperidol,B,,,Rattus norvegicus,10116.0,
2165,,1,,fsO0000249,,12268,Binding affinity at 5-hydroxytryptamine 2 receptor by the inhibition of binding to [3H]ketanserin in rat cortical membranes,B,,,Rattus norvegicus,10116.0,
2166,,1,,BAi0000231,2953544.0,13508,Binding affinity against 5-hydroxytryptamine 2 receptor in rat brain using [3H]ketanserin as radioligand,B,,,,,
2167,,1,,BAO0p0001o,,11279,5-hydroxytryptamine 2 receptor antagonistic activity on the rat tail artery determined by Schild plot.,F,,,,,
2168,,1,,BAO0o000w9,,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-HT2 receptor in rat thoracic aortic strips,F,,,,,
2169,,1,,BAO000p029,,11200,In vitro antagonistic activity tested against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,F,,,,,
2170,,1,,BAOo000919,,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips; NC=non competitive antagonism,F,,,,,
2171,,1,,nAl0000019,,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips; NC=non competitive antagonism,F,,,,,
2172,,1,,gAO0900019,,11200,In vitro antagonistic activity against the contraction induced by 5-HT through 5-hydroxytryptamine 2 receptor in rat thoracic aortic strips,F,,,,,
2173,,1,,Bwp0000220,4763882.0,9231,Tested for 5-hydroxytryptamine 2 receptor binding ability by displacement of [3H]spiperone from rat brain frontal cortex synaptosomes,B,,,,,
2174,,1,,BAO00o00w9,,9737,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat frontal cortex using [3H]ketanserin as radioligand,B,,,,,
2175,,1,,BAO0000159,6798995.0,9737,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat brain membrane using [3H]8-OH-DPAT as a selective ligand.,B,,,,,
2176,,1,,BAO90000w9,,9737,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat frontal cortex,B,,,,,
2177,,1,,BAi0000p19,,9737,Binding affinity towards 5-hydroxytryptamine 2 receptor in rat frontal cortex using [3H]ketanserin as radioligand,B,,,,,
2178,,1,,BAOo009019,,11828,isplacement of [3H]DOB from rat cortex homogenate 5-hydroxytryptamine 2 receptor,B,,,Rattus norvegicus,10116.0,
2179,,1,,BAO000o01i,,12253,Binding affinity of 5-hydroxytryptamine 2 receptor using [3H]- ketanserin in rat frontal cortex,B,,,,,
2180,,1,,BAp0000029,,12253,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ketanserin in rat frontal cortex,B,,,,,
2181,,1,,BAO00p9019,,11279,"5-hydroxytryptamine 2 receptor antagonistic activity at concentrations of<br>3,10 and 30 uM on the rat tail artery.",F,,,,,
2182,,1,,hAO0090019,,11866,Binding affinity for 5-hydroxytryptamine 2 receptor in rat cortex using [3H]- ketanserin,B,,,,,
2183,,1,,BAO00p022e,,14424,Binding affinity against 5-hydroxytryptamine 2 receptor in serotonin-induced contraction of the rat aorta,B,,,Rattus norvegicus,10116.0,
2184,,1,,BAOp00p019,,15180,Displacement of [3H]ketanserin from rat brain 5-hydroxytryptamine 2 receptor,B,,,Rattus norvegicus,10116.0,
2185,,1,,BxO0000010,,15180,Displacement of [3H]ketanserin from rat brain 5-hydroxytryptamine 2 receptor,B,,,Rattus norvegicus,10116.0,
2186,,1,,BAk00p0019,,9786,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor of rat frontal cortex homogenate,B,,,Rattus norvegicus,10116.0,
2187,,1,,BAO0090q24,,12132,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]-ketanserin as radioligand.,B,,,,,
2188,,1,,BAO00o024i,,5486,Binding affinity towards 5-hydroxytryptamine 2 receptor by the displacement of [3H]ketanserin in rat cerebral cortex membrane,B,,,,,
2189,,1,,gzO0000019,,15316,Compound was evaluated for its ability to displace [3H]ketanserin binding from cloned rat cerebral cortex membranes 5-hydroxytryptamine 2 receptor,B,,,,,
2190,,1,,BAO0900919,,16429,In vitro binding affinity to 5-hydroxytryptamine 2 receptor of rat cerebral cortex membranes using [3H]ketanserin as the radioligand,B,,,,,
2191,,1,,BAOpp00224,,14617,pKi value for 5-hydroxytryptamine 2 receptor binding site,B,,,,,
2192,,1,,BA000p0221,1587848.0,11351,Inhibitory constant (1 uM) was measured on 5-hydroxytryptamine 2 receptor/uptake using [3H]- ketanserin as radioligand in rat brain cortex.,B,,,,,
2193,,1,,BAO00009w9,,11279,5-hydroxytryptamine 2 receptor antagonistic activity on the rat tail artery determined by Schild plot.,F,,,,,
2194,,1,,BAO0909019,,9523,Binding affinity at 5-hydroxytryptamine 2 receptor determined using [125I]- DOI as radioligand in rat frontal cortex,B,,,,,
2195,,1,,BqO000p019,,9523,Binding affinity at 5-hydroxytryptamine 2 receptor was determined using [125I]- DOI as radioligand in rat frontal cortex,B,,,,,
2196,,1,,BzO0p00019,,9523,Binding affinity at [3H]DOB labeled sites of 5-hydroxytryptamine 2 receptor determined using [125I]- DOI as radioligand in rat frontal cortex,B,,,,,
2197,,1,,nAO0p00019,,9523,Binding affinity at [3H]DOB labeled sites of 5-hydroxytryptamine 2 receptor was determined using [125I]- DOI as radioligand in rat frontal cortex,B,,,,,
2198,,1,,nAO000001i,,9523,Binding affinity at [3H]KET labeled sites of 5-hydroxytryptamine 2 receptor determined using [125I]- DOI as radioligand in rat frontal cortex,B,,,,,
2199,,1,,BA8000p019,,9523,Binding affinity at [3H]KET labeled sites of 5-hydroxytryptamine 2 receptor was determined using [125I]- DOI as radioligand in rat frontal cortex,B,,,,,
2200,,1,,BA9000p224,,9523,Hill coefficient of compound was determined,B,,,,,
2201,,1,,BAO000o0q9,,4771,Ancillary Binding affinity towards rat 5-hydroxytryptamine 2 receptor,B,,,,,
2202,,1,,BAO900001o,,5033,Ability to displace the radioligand [3H]5-carboximidotryptamine ([3H]-ketanserin) from 5-hydroxytryptamine 2 receptor of rat cerebral cortex membrane,B,,,Rattus norvegicus,10116.0,
2203,,1,,BAOpp00019,,10845,Binding affinity against rat 5-hydroxytryptamine 2 receptor in rat cerebral cortex tissue using [3H]spiperone as radioligand,B,,,,,
2204,,1,,BAO00p0p19,,10845,Binding affinity against rat 5-hydroxytryptamine 2 receptor in rat cerebral cortex tissue using [3H]spiperone as radioligand; IA-Inactive,B,,,,,
2205,,1,,BAO0000r47,,16288,Affinity at 5-hydroxytryptamine 2 receptor (For ketanserin = Ki(nM)= 0.7+/-0.09),B,,,,,
2206,,1,,BAO00090q9,,16288,Affinity at 5-hydroxytryptamine 2 receptor from rat frontal cortex using [3H]ketanserin as radioligand (For ketanserin = Ki(nM)=0.7+/-0.09),B,,,,,
2207,,1,,BAOp900019,,16190,Binding affinity for 5-hydroxytryptamine 2 receptor of rat cortical membrane using [3H]DOB radioligand,B,,,,,
2208,,1,,BAO0000w2e,,12463,Tested in vitro for receptor binding affinity against 5-hydroxytryptamine 2 receptor using radioligand [3H]ketanserin,B,,,Rattus norvegicus,10116.0,
2209,,1,,BAOo0o0224,,9699,"Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- 1-(4-bromo-2,5-dimethoxy-phenyl)-2-aminopropane (D) as radioligand",B,,,,,
2210,,1,,BAO0pp0224,,9699,Binding affinity towards 5-hydroxytryptamine 2 receptor using [3H]- ketanserin as radioligand,B,,,,,
2211,,1,,BAO000p0w9,,11662,"Compound was tested for binding affinity towards 5-hydroxytryptamine 2 receptor from frontal cortical regions of male Sprague-Dawley rat homogenates, using [3H]ketanserin as radioligand; Not Determined",B,,,,,
2212,,1,,BA80000234,,1205,Inhibitory concentration against 5-hydroxytryptamine 2 receptor,B,,,,,
2213,,1,,BAO0o002q9,,11376,Compound was evaluated for the binding affinity towards 5-hydroxytryptamine 2 receptor from mammalian clones expressed in CHO cell membranes using [3H]-ketanserin as radioligand,B,,,,,
2214,,1,,BA09000219,,11376,"Binding affinity towards 5-hydroxytryptamine 2 receptor expressed in CHO cell membranes using [3H]ketanserin (60 Ci/mmol, 1 nM)",B,,,,,
2215,,1,,BAO0000e2e,,4639,Compound was tested for binding affinity against 5-hydroxytryptamine 2 receptor,B,,,,,
2216,,1,,BA80000223,,2222,Compound was tested for inhibitory activity against 5-hydroxytryptamine 2 receptor,B,,,,,
2217,,1,,vA90000224,,1558,Compound was tested for its affinity towards 5-hydroxytryptamine 2 receptor,B,,,,,
2218,,1,,BAO00002er,,1089,Tested for binding affinity for 5-hydroxytryptamine 2 receptor,B,,,,,
2219,,1,,BAOo00024i,,386,The compound was evaluated for its ability to displace [3H]ketanserin from 5-hydroxytryptamine 2 receptor in cellular brain membranes,B,,,,,
2220,,1,,vAO0009224,,2474,Compound was measured for its binding affinity at 5-hydroxytryptamine 2 receptor at a concentration of 10 uM using [3H]ketanserin as radioligand,B,,,,,
2221,,1,,BAO00pp224,,17066,Binding affinity towards 5-HT2 receptor,B,,,,,
2222,,1,,BA0o000224,,959,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor,B,,,,,
2223,,1,,BAO0000qw4,,6398,Compound was evaluated for 5-hydroxytryptamine 2 receptor binding,B,,,,,
2224,,1,,BAO0900234,,11889,In vitro binding affinity against rat 5-hydroxytryptamine 2 receptor.,B,,,,,
2225,,1,,BAO09o0224,,4221,In vitro binding affinity for 5-hydroxytryptamine 2 receptor,B,,,,,
2226,,1,,vAO0o00224,,11026,The compound was tested for binding affinity against 5-hydroxytryptamine 2 receptor using ketanserin as radioligand,B,,,,,
2227,,1,,BxO000022t,,11866,Binding affinity for 5-hydroxytryptamine 2 receptor was determined,B,,,,,
2228,,1,,BAOp090224,,4221,In vitro binding affinity for 5-hydroxytryptamine 2 receptor,B,,,,,
2229,,1,,hAl0000019,,13950,In Vitro binding affinity for 5-hydroxytryptamine 2 receptor,B,,,,,
2230,,1,,BAO0900234,,1263,5-hydroxytryptamine 2 receptor binding affinity,B,,,,,
2231,,1,,BAO0009r57,,13291,Binding affinity against 5-hydroxytryptamine 2 receptor was determined using [ [3H]spiperone radioligand,B,,,,,
2232,,1,,BAO0009358,,10812,Compound was tested for the binding affinity against 5-hydroxytryptamine 2 receptor by using [3H]ketanserin as radioligand,B,,,,,
2233,,1,,hAO00o0224,,13020,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor at 10e-5 M,B,,,,,
2234,,1,,BzO000o224,,13021,Inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor of central nervous system,B,,,,,
2235,,1,,BwO0000223,,13020,Ketanserin binding to 5-hydroxytryptamine 2 receptor at 10e-5 M,B,,,,,
2236,,1,,BqO00p0357,,14532,Inhibitory activity against 5-hydroxytryptamine 2 receptor using [3H]-ketanserin as radioligand at 10e-5 M concentration,B,,,,,
2237,,1,,vAk0000357,,13944,Binding affinity against 5-hydroxytryptamine 2 receptor,B,,,,,
2238,,1,,BAO0o09357,,14331,Binding affinity against 5-hydroxytryptamine 2 receptor,B,,,,,
2239,,1,,hAO0000358,,14118,Binding affinity against 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand,B,,,,,
2240,,1,,BAO0009457,,13033,Binding affinity against serotonergic 5-HT2 receptor,B,,,,,
2241,,1,,BAO00op357,,10321,Binding affinity for 5-hydroxytryptamine 2 receptor was determined by using [3H]ketanserin as radioligand,B,,,,,
2242,,1,,Bw90000357,,12918,Compound was evaluated for the binding affinity at 5- HT2 receptor,B,,,,,
2243,,1,,vAO00o0357,,15120,Compound was tested for binding affinity using [3H]ketanserin against 5-hydroxytryptamine 2 receptor,B,,,,,
2244,,1,,fAO000021u,,2613,In vivo binding affinity was evaluated against 5-hydroxytryptamine 2 receptor,B,,,,,
2245,,1,,BAp00002w4,,13378,Inhibitory activity against cloned human 5-HT2 receptor,B,,,Homo sapiens,9606.0,
2246,,1,CHO,BAO0p00218,,2331,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells",B,,,Homo sapiens,9606.0,
2247,,1,CHO,BwO0900219,,2331,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells.",B,,,Homo sapiens,9606.0,
2248,,1,CHO,BqO0p00219,,2331,"Tested in vitro for the inhibition of [3H]-ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells; Inactive",B,,,Homo sapiens,9606.0,
2249,,1,CHO,nxO0000219,,2331,"Tested in vitro for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor, expressed in cloned CHO cells; not tested",B,,,Homo sapiens,9606.0,
2250,,1,,BAO0000235,,4170,Binding affinity towards 5-hydroxytryptamine 2 receptor,B,,,,,
2251,,1,,nAO0000225,,15453,Percent decrease in 5-hydroxytryptamine 2 receptor binding using ketanserin,B,,,,,
2252,,1,,BAO00p0356,,1479,Binding affinity towards 5-hydroxytryptamine 2 receptor,B,,,,,
2253,,1,,BAO0p00w24,,11139,Binding affinity towards 5-hydroxytryptamine 2- receptor using [3H]ketanserin as radioligand in competitive binding assay,B,,,,,
2254,,1,,BqO0o00357,,13969,Binding affinity against 5-hydroxytryptamine 2A receptor was measured using [3H]ketanserin as radioligand,B,,,,,
2255,,1,,BxO0000367,,13392,Binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,,
2256,,1,,BAO0p00029,,14430,Affinity towards 5-hydroxytryptamine 2A receptor in membranes from bovine frontal cortex using [3H]ketanserin,B,,,,,
2257,,1,,fAO0000r57,,13181,Binding affinity was determined against 5-hydroxytryptamine 2A receptor,B,,,Cavia porcellus,10141.0,
2258,,1,,BAO00o9357,,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,B,,,,,
2259,,1,,vAO0000e57,,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,B,,,,,
2260,,1,,BsO000o357,,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,B,,,,,
2261,,1,,BA8p000357,,13463,Binding affinity analysed on 5-HT 2A human clone using [3H]ketanserin as radioligand,B,,,,,
2262,,1,CHO,BAO00092w9,,6347,Effective concentration against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand,B,,,,,
2263,,1,CHO,BAl00002w9,,6857,Functional activity against human 5-hydroxytryptamine 2A receptor expressed in CHO cells using fluorometric imaging plate reader,F,,,Homo sapiens,9606.0,
2264,,1,,BAOp0002w9,,4176,Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line,F,,,,,
2265,,1,,BAO0p09219,,4176,Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line; no data,F,,,,,
2266,,1,,nAO00002q9,,4176,Functional antagonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line,F,,,,,
2267,,1,CHO,BAO09002q9,,6347,"Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand, expressed as Emax",B,,,,,
2268,,1,CHO,BAO0p0021o,,6347,"Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells, expressed as Emax",B,,,,,
2269,,1,,fAO000035y,,15331,Affinity of compound towards human 5-hydroxytryptamine 2A receptor was evaluated using radioligand binding technique,B,,,,,
2270,,1,,BA8000p357,,16146,Inhibition of human 5-hydroxytryptamine 2A receptor,B,,,Homo sapiens,9606.0,
2271,,1,CHO,BA0000021i,,15250,Compound was tested for the displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,B,,,,,
2272,,1,,BA80o00219,,13631,Inhibitory concentration against human 5-HT2A receptor in BEK cells,B,,,,,
2273,,1,,hAO000o357,,3805,In vitro binding affinity against human 5-hydroxytryptamine 2A receptor at a concentration of 100 (nM),B,,,,,
2274,,1,CHO,BAO0900319,,4011,Ability to displace [3H]ketanserin from CHO cells expressing human 5-hydroxytryptamine 2A receptor was determined,B,,,,,
2275,,1,CHO,gAO000021p,,4012,Displacement of [3H]ketanserin from CHO cells expressing human 5-hydroxytryptamine 2A receptor.,B,,,,,
2276,,1,L929,BqO000p219,,6366,Ability to displace [125I]R91150 from human cloned 5-hydroxytryptamine 2A receptor expressed in L929 cells,B,,,,,
2277,,1,CHO,fAO00002w9,,15949,Ability to displace [3H]ketanserin binding to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,B,,,,,
2278,,1,,BAO00pp019,,14093,Agonist activity at cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI radioligand,F,,,,,
2279,,1,,BAp000o019,,13481,Agonistic activity at cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,F,,,,,
2280,,1,CHO,BAO0p00119,,6347,Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand,B,,,,,
2281,,1,CHO,fqO0000219,,6347,Agonistic binding affinity against human 5-hydroxytryptamine 2A receptor in CHO cells using 8-OH-DPA radioligand; Nd means not done,B,,,,,
2282,,1,,BAk0000010,,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]-Ketanserin radioligand,F,,,,,
2283,,1,,BxO000001i,,14093,Antagonist activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin radioligand; Not tested,F,,,,,
2284,,1,,BAOp009019,,13481,Antagonistic activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,F,,,,,
2285,,1,,BAi000035y,,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2A receptor using [125 I]DOI as radioligand,B,,,,,
2286,,1,,fAO000035y,,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2A receptor using [3H]ketanserin as radioligand,B,,,,,
2287,,1,,BAi0000367,,14755,Binding activity against cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as the radioligand.,B,,,,,
2288,,1,,BAi00003r7,,16441,Binding affinity against 5-hydroxytryptamine 2A receptor in humans,B,,,,,
2289,,1,,hxO0000357,,14744,Binding affinity against the cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI as the radioligand,B,,,,,
2290,,1,CHO,BAOp0002q9,,16659,Binding affinity for displacement of [3H]ketanserin to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,B,,,,,
2291,,1,,BAOp0003y7,,3307,Binding affinity of compound to human 5-hydroxytryptamine 2A receptor,B,,,,,
2292,,1,,gAp0000019,,6857,Affinity for human 5-hydroxytryptamine 2A receptor expressed in mammalian cell line,B,,,Homo sapiens,9606.0,
2293,,1,,BAO0000r67,,5635,Binding affinity against 5-hydroxytryptamine 2A receptor using [125I]DOI radioligand.,B,,,,,
2294,,1,,BAO0000wr7,,4234,Binding affinity to cloned human 5-hydroxytryptamine 2A receptor,B,,,Homo sapiens,9606.0,
2295,,1,,BA90p00357,,15527,Binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand.,B,,,,,
2296,,1,CHO,BAO00092q9,,6588,Binding affinity towards human 5-hydroxytryptamine 2A receptor by the displacement of [3H]ketanserin radioligand from the cloned receptor expressed in CHO cells,B,,,,,
2297,,1,,BAOoo00219,,13631,Binding affinity towards human 5-HT2A receptor in BEK cells,B,,,,,
2298,,1,,BAO0op0357,,17723,Binding affinity towards human serotonin 5-hydroxytryptamine 2A receptor,B,,,,,
2299,,1,,BAO000p35u,,14770,Binding affinity for recombinant human 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand.,B,,,,,
2300,,1,,BAO000p35y,,16293,Binding affinity for human 5-hydroxytryptamine 2A receptor,B,,,Homo sapiens,9606.0,
2301,,1,,BAO0090347,,16209,Binding affinity towards human 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand,B,,,,,
2302,,1,,BsO00002q9,,12469,Binding affinity was measured on 5-hydroxytryptamine 2A receptor in GF6 cells transfected with human 5-HT2A gene labeled with [3H]ketanserin,B,,,,,
2303,,1,,BwO0900357,,15363,Compound was tested for the displacement of [125I]-DOI from clone human 5-hydroxytryptamine 2A receptor,B,,,,,
2304,,1,,BAk0o00357,,15363,Compound was tested for the displacement of [125I]DOI from cloned human 5-hydroxytryptamine 2A receptor,B,,,,,
2305,,1,,BAO0o00919,,16441,"Tested on genetically transfected COS7 cell membranes selectively expressing human 5-hydroxytryptamine 2A receptor, using [3H]ketanserin as radioligand",B,,,,,
2306,,1,,fAO0p00357,,8,In vitro binding affinity towards 5-hydroxytryptamine 2A receptor in human using [3H]ketanserin as radioligand,B,,,,,
2307,,1,HEi293,BA0p000219,,4176,In vitro binding affinity towards human 5-hydroxytryptamine 2A receptor expressed in HEK293 cells was determined using [3H]ketanserin as radioligand,B,,,,,
2308,,1,,BAO00000wo,,17085,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 2A receptor,B,,,,,
2309,,1,,BzO0009357,,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,B,,,,,
2310,,1,,BAO000o257,,17200,Inhibitory constant determined against cloned human 5-hydroxytryptamine 2A receptor using with [125I]- DOI radioligand,B,,,Homo sapiens,9606.0,
2311,,1,CHO,BqO0000210,,4013,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor expressed in CHO cells,B,,,Homo sapiens,9606.0,
2312,,1,,BA80000358,,5088,Tested for binding affinity towards 5-hydroxytryptamine 2A receptor,B,,,,,
2313,,1,,BsO0000457,,5088,Displacement of [3H]DOB from human 5-hydroxytryptamine 2A receptor,B,,,Homo sapiens,9606.0,
2314,,1,,BAO00003t6,,5088,Tested for binding affinity towards 5-hydroxytryptamine 2A receptor using [3H]DOB as labeled ligand; binding data not obtained,B,,,,,
2315,,1,,BxO000o357,,5088,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2A receptor,B,,,Homo sapiens,9606.0,
2316,,1,,BAO00p9357,,5088,Tested for binding affinity towards human 5-hydroxytryptamine 2A receptor using [3H]5-HT as radioligand,B,,,,,
2317,,1,,BAO000036u,,5088,Tested for binding affinity towards human 5-hydroxytryptamine 2A receptor using [3H]DOB as radioligand,B,,,,,
2318,,1,,BqO0000919,,9786,Ability to displace 0.75 nM [3H]ketanserin in 5-hydroxytryptamine 2 receptor from rat frontal cortex homogenate,B,,,,,
2319,,1,,BAOp900019,,9205,Ability to inhibit [3H]spiperone binding to 5-hydroxytryptamine 2 receptor determined in rat,B,,,Rattus norvegicus,10116.0,
