ASSI,CUB,ASTAI,ASSTT,SRI,TISI,ASSCA,Descr,RELATIT,ASSUBFR,CEI,Ti,CONSCO,SRASI,CHI,BFOR,VARII
878,Autocuration,,,1,,,Inhibition concentration against binding of radioligand [35S]GTP-gamma-S in CHO cells expressing 5-hydroxytryptamine 1A receptor,H,,449.0,51,8,,CHEMBL615933,BAO_0000219,
879,Autocuration,,,1,,,Inhibition of [3H]- 8-OH-DAPT binding against human recombinant 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL615934,BAO_0000357,
880,Autocuration,,,1,,,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT; Not tested,H,,,51,8,,CHEMBL615935,BAO_0000357,
881,Autocuration,,,1,,,"Agonistic activity of compound towards 5-hydroxytryptamine 1A receptor was evaluated by [35S]GTP-gamma-S, stimulated cAMP assay",H,,,51,8,,CHEMBL615936,BAO_0000019,
882,Autocuration,,,1,,,Ability to displace [3H]-8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor at a concentration of 1 uM,H,,449.0,51,8,,CHEMBL615937,BAO_0000219,
883,Autocuration,,,1,,,Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL615938,BAO_0000357,
884,Autocuration,,,1,,,In vitro binding affinity against human 5-hydroxytryptamine 1A receptor at a concentration of 100 (nM),H,,,51,8,,CHEMBL615797,BAO_0000357,
885,Autocuration,,,1,,,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615798,BAO_0000357,
886,Autocuration,,,1,,,Inhibition of [3H]8-OH-DPAT binding to human 5-hydroxytryptamine 1A receptor at 1000 nM compound concentration,H,,,51,8,,CHEMBL872870,BAO_0000357,
887,Autocuration,,,1,,,Inhibitory activity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand at 100 nM concentration,H,,,51,8,,CHEMBL615799,BAO_0000357,
888,Autocuration,,,1,,,Percent binding affinity against 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL615800,BAO_0000357,
889,Autocuration,,,1,,,Intrinsic activity for human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,H,,722.0,51,8,,CHEMBL615801,BAO_0000219,
890,Autocuration,,,1,,,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit jugular vein assay in the absence of endothelium,H,,,51,8,,CHEMBL615802,BAO_0000019,
891,Autocuration,,,1,,,Dissociation constant against human 5-hydroxytryptamine 1A receptor receptor,H,,,51,8,,CHEMBL615803,BAO_0000357,
892,Expert,,,1,,,"Inhibition of 5-HT induced [35S]GTP-gamma-S, binding at human cloned 5-HT 1A receptors.",H,,,51,8,,CHEMBL835002,BAO_0000019,
893,Autocuration,,,1,,,"5-hydroxytryptamine 1A receptor antagonism was evaluated by the ability to inhibit [35S]GTP-gamma-S, binding that was induced by 5-HT; Ki (nM): not determined",H,,,51,8,,CHEMBL615804,BAO_0000019,
894,Expert,,,1,,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor,H,,308.0,51,8,,CHEMBL615805,BAO_0000219,
895,Autocuration,,,1,,,Ability to displace [3H]8-OH-DPAT from CHO cells stably transfected with human 5-hydroxytryptamine 1A receptor,H,,449.0,51,8,,CHEMBL615806,BAO_0000219,
896,Expert,9606.0,,1,,,Affinity towards human 5-hydroxytryptamine 1A serotonin receptor,D,,,51,9,,CHEMBL615807,BAO_0000357,
897,Autocuration,,,1,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT-as radioligand,H,,,51,8,,CHEMBL615808,BAO_0000357,
898,Expert,9606.0,,1,,,Binding affinity against 5-hydroxytryptamine 1A receptor,D,,,51,9,,CHEMBL615809,BAO_0000357,
899,Autocuration,,,1,,,Binding affinity against 5-hydroxytryptamine 1A receptor in HeLa cells was determined using [3H]5-HT,H,,308.0,51,8,,CHEMBL615810,BAO_0000219,
900,Autocuration,,,1,,,Binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615811,BAO_0000357,
901,Autocuration,,,1,,,Binding affinity against [3H]- -8-OH-DPAT -labeled 5-hydroxytryptamine 1A sites in cloned CHO cells,H,,449.0,51,8,,CHEMBL615812,BAO_0000219,
902,Autocuration,,,1,,,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,H,,449.0,51,8,,CHEMBL615751,BAO_0000219,
903,Autocuration,,,1,,,Binding affinity against human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL615752,BAO_0000357,
904,Expert,,,1,,,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand,H,,449.0,51,8,,CHEMBL615753,BAO_0000219,
905,Autocuration,,,1,,,Binding affinity against human 5-hydroxytryptamine 1A receptor in CHO cells labeled with [3H]8-OH-DPAT radioligand; nd=not determined,H,,449.0,51,8,,CHEMBL615754,BAO_0000219,
906,Autocuration,,,1,,,Binding affinity of compound to human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL615755,BAO_0000357,
907,Expert,9606.0,,1,,,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,D,,449.0,51,9,,CHEMBL615756,BAO_0000219,
908,Autocuration,,,1,,,Binding affinity for 5-hydroxytryptamine 1A receptor in HeLa transfected cell type using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615757,BAO_0000019,
909,Autocuration,,,1,,,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,H,,,51,8,,CHEMBL615758,BAO_0000357,
910,Expert,,,1,,,In vitro affinity at human cloned 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,H,,,51,8,,CHEMBL615759,BAO_0000357,
911,Autocuration,,,1,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL615760,BAO_0000357,
912,Expert,,,1,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor by the displacement of [3H]5-HT radioligand from the cloned receptor expressed in HeLa cells,H,,308.0,51,8,,CHEMBL615761,BAO_0000219,
913,Autocuration,,,1,,,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]-5-HT as radioligand,H,,,51,8,,CHEMBL872104,BAO_0000357,
914,Autocuration,,,1,,,Binding affinity towards recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615762,BAO_0000357,
915,Autocuration,,,1,,,Binding affinity towards recombinant human Compound at 1 uM was tested for the inhibition of radioligand [3H]8-OH-DPAT binding to recombinant human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615763,BAO_0000357,
916,Autocuration,,,1,,,Binding affinity for recombinant human 5-hydroxytryptamine 1A receptor using [3H]5-HT as radioligand.,H,,,51,8,,CHEMBL615764,BAO_0000357,
917,Autocuration,,,1,,,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines (He La),H,,1167.0,51,8,,CHEMBL615765,BAO_0000219,
918,Autocuration,,,1,,,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines(He La),H,,,51,8,,CHEMBL615766,BAO_0000019,
919,Autocuration,,,1,,,Binding affinity towards 5-HT1A receptor using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615767,BAO_0000357,
920,Expert,,,1,,,Binding affinity was determined towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615768,BAO_0000357,
921,Autocuration,,,1,,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615769,BAO_0000357,
922,Expert,,,1,,,Binding affinity was evaluated at 5-hydroxytryptamine 1A receptor labeled with [3H]-8-OH-DPAT,H,,,51,8,,CHEMBL615770,BAO_0000357,
923,Autocuration,,,1,,,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615771,BAO_0000357,
924,Expert,,,1,,,Binding affinity to human 5-hydroxytryptamine 1A receptor was measured using [3H]-8-hydroxy-2-(di-n-propylamine) tetraline [3H]8-OH-DPAT) as radioligand,H,,,51,8,,CHEMBL615772,BAO_0000357,
925,Autocuration,,,1,,,Binding affinity towards 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL615773,BAO_0000357,
926,Expert,,,1,,,Binding affinity towards 5-hydroxytryptamine 1A receptor in human using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615774,BAO_0000357,
927,Autocuration,,,1,,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615775,BAO_0000357,
928,Autocuration,,,1,,,Binding affinity towards cloned human 5-hydroxytryptamine 1A receptor was determined,H,,,51,8,,CHEMBL615776,BAO_0000357,
929,Expert,,,1,,,Binding affinity towards human cloned 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL615777,BAO_0000357,
930,Autocuration,,,1,,,Binding affinity was measured on 5-hydroxytryptamine 1A receptor in AK cells transfected with human 5-HT1A gene labeled with [3H]-8-OH-DPAT,H,,,51,8,,CHEMBL615778,BAO_0000219,
931,Expert,9606.0,,1,,,Binding affinity was measured on cloned Human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,D,,,51,9,,CHEMBL615779,BAO_0000357,
932,Autocuration,,,1,,,Binding affinity was measured on cloned human 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,H,,,51,8,,CHEMBL615780,BAO_0000357,
933,Autocuration,,,1,,,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616298,BAO_0000357,
934,Autocuration,,,1,,,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616299,BAO_0000357,
935,Autocuration,,,1,,,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells.,H,,485.0,51,8,,CHEMBL616300,BAO_0000219,
936,Expert,,,1,,,Ability to inhibit the forskolin-stimulated c-AMP formation mediated by human 5-hydroxytryptamine 1A receptor in CHO-K1 cells,H,,485.0,51,8,,CHEMBL616301,BAO_0000219,
937,Autocuration,,,1,,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616302,BAO_0000019,
938,Autocuration,,,1,,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 1),H,,,51,8,,CHEMBL616117,BAO_0000019,
939,Autocuration,,,1,,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor (Experiment 2),H,,,51,8,,CHEMBL616118,BAO_0000019,
940,Autocuration,,,1,,,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor by Panlabs assay,H,,,51,8,,CHEMBL616119,BAO_0000019,
941,Expert,9606.0,,1,,,Displacement of specific [3H]- 5-HT binding to cloned human 5-hydroxytryptamine 1A receptor stably expressed in HeLa cells,D,,308.0,51,9,,CHEMBL616120,BAO_0000219,
942,Autocuration,,,1,,,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616121,BAO_0000357,
943,Autocuration,,,1,,,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor receptor,H,,,51,8,,CHEMBL616122,BAO_0000357,
944,Autocuration,,,1,,,In vitro binding affinity tested on human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616123,BAO_0000357,
945,Expert,9606.0,,1,,,In vitro binding affinity to human 5-hydroxytryptamine 1A receptor,D,,,51,9,,CHEMBL616124,BAO_0000357,
946,Expert,,,1,,,In vitro binding affinity at 5-hydroxytryptamine 1A receptor by [3H]8-OH-DPAT displacement.,H,,,51,8,,CHEMBL616125,BAO_0000357,
947,Expert,10116.0,,1,,,In vitro binding affinity towards Human 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT,H,,,51,8,,CHEMBL616126,BAO_0000357,
948,Autocuration,,,1,,,In vitro binding affinity towards cloned human 5-hydroxytryptamine 1A receptor expressed in Chinese hamster ovary (CHO) cells using [3H]8-OH-DPAT as radioligand,H,,449.0,51,8,,CHEMBL616127,BAO_0000219,
949,Expert,,,1,,,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616128,BAO_0000019,
950,Autocuration,,,1,,,In vitro binding affinity was determined towards cloned human 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand,H,,,51,8,,CHEMBL616129,BAO_0000357,
951,Expert,,,1,,,In vitro receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616130,BAO_0000357,
952,Autocuration,,,1,,,Inhibition of [3H]- OH-DPAT binding against 5-hydroxytryptamine 1A receptor from human recombinant,H,,,51,8,,CHEMBL616131,BAO_0000357,
953,Autocuration,,,1,,,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor serotonergic receptor in human HeLa cells,H,,308.0,51,8,,CHEMBL616132,BAO_0000219,
954,Expert,9606.0,,1,,,Receptor binding affinity for cloned human 5-hydroxytryptamine 1A receptor in HeLa cells,D,,308.0,51,9,,CHEMBL616133,BAO_0000219,
955,Autocuration,,,1,,,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL616134,BAO_0000357,
956,Autocuration,,,1,,,The binding affinity at the 5-hydroxytryptamine 1A receptor determined using [3H]5-CT,H,,,51,8,,CHEMBL616135,BAO_0000357,
957,Expert,9606.0,,1,,,Affinity for 5-hydroxytryptamine 1A receptor subtype,D,,,51,9,,CHEMBL616136,BAO_0000357,
958,Autocuration,,,1,,,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes,H,,,51,8,,CHEMBL616137,BAO_0000019,
959,Autocuration,,,1,,,The compound was tested for CNS binding affinity towards 5-hydroxytryptamine 1A receptor from cloned Human membranes.,H,,,51,8,,CHEMBL872105,BAO_0000019,
960,Autocuration,,,1,,,The compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor receptor,H,,,51,8,,CHEMBL616138,BAO_0000357,
961,Expert,9606.0,,1,,,Binding affinity for cloned human 5-hydroxytryptamine 1A receptor,D,,,51,9,,CHEMBL616139,BAO_0000357,
962,Autocuration,,,1,,,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor; Not active",H,,,51,8,,CHEMBL616140,BAO_0000019,
963,Expert,,,1,,,In vitro binding affinity was determined by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor; ND means not determined,H,,,51,8,,CHEMBL616141,BAO_0000019,
964,Autocuration,,,1,,,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,H,,,51,8,,CHEMBL616142,BAO_0000357,
965,Autocuration,,,1,,,Tested in vitro for its ability to bind to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; ND means Not determined,H,,,51,8,,CHEMBL616143,BAO_0000357,
966,Autocuration,,,1,,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,H,,308.0,51,8,,CHEMBL616144,BAO_0000219,
967,Autocuration,,,1,,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT=not tested,H,,308.0,51,8,,CHEMBL616145,BAO_0000219,
968,Autocuration,,,1,,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,H,,308.0,51,8,,CHEMBL616012,BAO_0000219,
969,Autocuration,,,1,,,Ability to displace [3H]5-CT (2.0 nM) from HeLa cells of human 5-hydroxytryptamine 1A receptor; NT denotes not tested,H,,308.0,51,8,,CHEMBL616013,BAO_0000219,
970,Autocuration,,,1,,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",H,,,51,8,,CHEMBL616014,BAO_0000019,
971,Autocuration,,,1,,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",H,,,51,8,,CHEMBL616015,BAO_0000019,
972,Autocuration,,,1,,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT.; NT is not tested",H,,,51,8,,CHEMBL616016,BAO_0000019,
973,Autocuration,,In vivo,1,,,Antagonist induction of hypothermia by 8-OH-DPAT in 5-hydroxytryptamine 1A receptor after subcutaneous administration; NT is not tested,H,,,51,8,,CHEMBL616017,BAO_0000218,
974,Autocuration,,,1,,,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]-8-OH-DPAT binding in Chinese hamster ovary cell line; NT is not tested,H,,,51,8,,CHEMBL616018,BAO_0000019,
975,Autocuration,,,1,,,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor receptor; Not tested,H,,,51,8,,CHEMBL616019,BAO_0000019,
976,Autocuration,,,1,,,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor; Not tested,H,,,51,8,,CHEMBL616020,BAO_0000019,
977,Autocuration,,,1,,,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL858018,BAO_0000357,
978,Autocuration,,,1,,,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,H,,722.0,51,8,,CHEMBL616021,BAO_0000219,
979,Expert,,,1,,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at 1 uM.",H,,,51,8,,CHEMBL616022,BAO_0000019,
980,Autocuration,,,1,,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means Not determined",H,,,51,8,,CHEMBL616023,BAO_0000019,
981,Autocuration,,,1,,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means not determined",H,,,51,8,,CHEMBL616024,BAO_0000019,
982,Autocuration,,,1,,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; Not determined",H,,,51,8,,CHEMBL616025,BAO_0000019,
983,Autocuration,,,1,,,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,H,,449.0,51,8,,CHEMBL616026,BAO_0000219,
984,Autocuration,,,1,,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT",H,,,51,8,,CHEMBL616027,BAO_0000019,
985,Expert,9606.0,,1,,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared to 5-HT",D,,,51,9,,CHEMBL616028,BAO_0000019,
986,Expert,9606.0,,1,,,Percent efficacy against human 5-hydroxytryptamine 1A receptor relative to maximal 5-HT response,D,,,51,9,,CHEMBL616029,BAO_0000019,
987,Expert,,,1,,,Binding affinity for 5-hydroxytryptamine 1A receptor was determined by incubating human 5-hydroxytryptamine 1A receptor transfected CHO cells with [3H]8-OH-DPAT,H,,449.0,51,8,,CHEMBL616030,BAO_0000219,
988,Expert,,,1,,,In vitro inhibition of [3H]8-OH-DPAT binding to human cloned 5-hydroxytryptamine 1A receptor on CHO cell membranes.,H,,,51,8,,CHEMBL616031,BAO_0000019,
989,Expert,9606.0,,1,,,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,D,,,51,9,,CHEMBL616032,BAO_0000019,
990,Expert,9606.0,,1,,,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,D,,,51,9,,CHEMBL616033,BAO_0000019,
991,Autocuration,,,1,,,Maximum binding affinity was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,H,,,51,8,,CHEMBL616034,BAO_0000019,
992,Autocuration,,,1,,,Maximum binding affinity was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,H,,,51,8,,CHEMBL616035,BAO_0000019,
993,Autocuration,,,1,,,Maximum binding affinity was evaluated as ([35S]GTP binding on cloned human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616036,BAO_0000019,
994,Autocuration,,,1,,,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,H,,,51,8,,CHEMBL616037,BAO_0000019,
995,Autocuration,,,1,,,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,H,,,51,8,,CHEMBL616038,BAO_0000019,
996,Autocuration,,,1,,,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,H,,,51,8,,CHEMBL616039,BAO_0000019,
997,Autocuration,,,1,,,Agonist efficacy was evaluated as [35S]GTP binding on cloned human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616040,BAO_0000019,
998,Expert,9606.0,,1,,,Concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,D,,308.0,51,9,,CHEMBL616041,BAO_0000219,
999,Expert,9606.0,,1,,,Negative logarithm of concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,D,,308.0,51,9,,CHEMBL616042,BAO_0000219,
1000,Expert,9606.0,,1,,,Negative logarithm of concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,D,,308.0,51,9,,CHEMBL616043,BAO_0000219,
1001,Autocuration,,,1,,,"Potency (pD2) for the stimulation of [35S]GTP-gamma-S, binding on 5-hydroxytryptamine 1A receptor",H,,,51,8,,CHEMBL616044,BAO_0000019,
1002,Autocuration,,,1,,,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",H,,,51,8,,CHEMBL616045,BAO_0000019,
1003,Autocuration,,,1,,,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,H,,722.0,51,8,,CHEMBL616046,BAO_0000219,
1004,Autocuration,,,1,,,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),H,,449.0,51,8,,CHEMBL616047,BAO_0000219,
1005,Autocuration,,,1,,,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells,H,,449.0,51,8,,CHEMBL616048,BAO_0000219,
1006,Expert,9606.0,,1,,,Potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 1),D,,449.0,51,9,,CHEMBL616049,BAO_0000219,
1007,Autocuration,,,1,,,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),H,,449.0,51,8,,CHEMBL616050,BAO_0000219,
1008,Expert,,,1,,,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor,H,,,51,8,,CHEMBL616051,BAO_0000219,
1009,Autocuration,,,1,,,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor; Not tested,H,,,51,8,,CHEMBL616212,BAO_0000219,
1010,Autocuration,,,1,,,"ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",H,,,51,8,,CHEMBL616213,BAO_0000019,
1011,Expert,,In vitro,1,,,Ability to bind to 5-hydroxytryptamine 1A receptor from cloned human expressed in Ha7 cells,H,,,51,8,,CHEMBL616214,BAO_0000219,
1012,Expert,,In vitro,1,,,Ability to bind to 5-hydroxytryptamine 1A receptor subtype from cloned human expressed in Ha7 cells,H,,,51,8,,CHEMBL616215,BAO_0000219,
1013,Autocuration,,,1,,,Binding activity radioligand.,H,,,51,8,,CHEMBL616216,BAO_0000357,
1014,Autocuration,,,1,,,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,H,,,51,8,,CHEMBL616217,BAO_0000019,
1015,Autocuration,,,1,,,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616218,BAO_0000357,
1016,Autocuration,,,1,,,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616219,BAO_0000357,
1017,Autocuration,,,1,,,binding affinity towards human recombinant 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616220,BAO_0000357,
1018,Expert,9606.0,,1,,,Displacement of [3H]8-hydroxy-2-(di-n-propylamino)tetralin from human 5-hydroxytryptamine 1A receptor,D,,,51,9,,CHEMBL833493,BAO_0000357,
1019,Autocuration,,,1,,,Ability to displace the radioligand [3H]-8-OH-DPAT from human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616221,BAO_0000357,
1020,Expert,9606.0,,1,,,Affinity constant on CHO cells expressing Human recombinant 5-hydroxytryptamine receptor 1A,D,,449.0,51,9,,CHEMBL616222,BAO_0000219,
1021,Autocuration,,,1,,,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor,H,,,51,8,,CHEMBL616223,BAO_0000019,
1022,Autocuration,,,1,,,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor; Not determined,H,,,51,8,,CHEMBL616224,BAO_0000019,
1023,Expert,,,1,,,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding in Chinese hamster ovary cell line,H,,,51,8,,CHEMBL616225,BAO_0000019,
1024,Expert,9606.0,,1,,,Binding affinity to human cloned 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]-8-OH- DPAT as radioligand,D,,722.0,51,9,,CHEMBL616226,BAO_0000219,
1025,Autocuration,,,1,,,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells,H,,722.0,51,8,,CHEMBL616227,BAO_0000219,
1026,Autocuration,,,1,,,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells using [3H]8-OH-DPAT as radioligand,H,,722.0,51,8,,CHEMBL616228,BAO_0000219,
1027,Autocuration,,,1,,,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;,H,,722.0,51,8,,CHEMBL616229,BAO_0000219,
