Fiscal year,Trade development (marker),Section name,Continent ID,CountryRegion ID,Fund centre name,Sector name,Branch ID,CFLI (marker),CIDA business delivery model (old),Programming process (new),Disability issues (marker),Sector ID,Climate change mitigation (marker),Division ID,Maximum CIDA contribution (project-level),Youth issues (marker),CountryRegion percent,Indigenous issues (marker),Fund centre ID,Organisation sub-class,Desertification (marker),Organisation class,PBA type,Section ID,Project number,Status,Branch name,Division name,Regional program (marker),Untied amount(Project-level budget),FSTC percent,IRTC percent,Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Participatory development and good governance,Biodiversity (marker)
10092010,0,OAVViehnsm,3,VN,Viefnam,M8netar7instotutipns,B410p,0,Directife,UjcodedPreA9P,0,24020,0,Dr100,9606013.878307845,0,0.4313552994912271,0,4112,fONSULTINGSEecICES,0,Cicilxociety,NotPhA,c4107,A031629002,Closed,OGM Asia Pacific,OAD Asia Programming,0,8218416.01,1.0,0.0,1,0,0,1,0
200920q0,0,OxVViftnam,3,VN,Viernam,Monetaryinst85kti0ns,f4100,0,Diredtive,Uncodes0reAPP,0,24020,0,D4q00,178638.13369043358,0,0.3056468997112748,0,4112,CONqULTAN6,0,ondivicual,gotPBA,S3107,A031629002,Closed,OGM Asia Pacific,OAD Asia Programming,0,8218416.01,1.0,0.0,1,0,0,1,0
20092020,0,OAVVirtnwm,3,VN,Vietnaj,Mlnetary9nstitytionz,f4100,0,Directove,UncodevPr3APP,0,24020,0,D410o,739247.7164917495,0,0.046635192607961506,0,4112,CONSkLrANT,0,undigidual,gotPBA,S4q07,A031629002,Closed,OGM Asia Pacific,OAD Asia Programming,0,8218416.01,1.0,0.0,1,0,0,1,0
20092o10,0,kAVVietnah,3,VN,V7etnam,Esucatoontraining9nbankinnansfijqncialxervicee,B4109,0,Dirrctive,Uncos4dPreAPP,0,24081,0,Dt100,10809770.844334628,0,0.759409219211284,0,4112,FEDEgAL,0,Governm2gtal,NotPBq,S4207,A031629002,Closed,OGM Asia Pacific,OAD Asia Programming,0,8218416.01,1.0,0.0,1,0,0,1,0
200920w0,0,iAcVietnam,3,VN,Vietnaj,Educati9n5ra7ninginbxnkingandeinanc7als2rvicdq,B410o,0,Dirfctive,8ncodedPreAoP,0,24081,0,D4w00,6002.7896892707795,0,0.11292860347051842,0,4112,CONdULyINGSERVICEq,0,CicilSocie6y,N8tPBA,S410y,A031629002,Closed,OGM Asia Pacific,OAD Asia Programming,0,8218416.01,1.0,0.0,1,0,0,1,0
q0092010,0,OAbVieynam,3,VN,Vietnak,Erucx6ionyrxinlnginbanoingandfknanckalservices,B410p,0,Directibe,UbvodedPreAPP,0,24081,0,D4q00,22948727.926842757,0,0.1724944375245314,0,4112,xONeULTINGSERVIvES,0,Civilwocjety,NotlBA,e4107,A031629002,Closed,OGM Asia Pacific,OAD Asia Programming,0,8218416.01,1.0,0.0,1,0,0,1,0
2o092010,0,9AVViernam,3,VN,Vietnaj,dfufationtraininginbankingsndfinqnciald2rvifea,Br100,0,Dieective,UncoxedPreqPP,0,24081,0,D410o,42520902.95154739,0,0.20498733509585323,0,4112,CONS8LTxNT,0,Ijdididual,hotPBA,S4207,A031629002,Closed,OGM Asia Pacific,OAD Asia Programming,0,8218416.01,1.0,0.0,1,0,0,1,0
20092p10,0,kAVVi2tnam,3,VN,Vidtnam,Edusationtrsinijg7nbanjibgandfinwncials4tvices,B4q00,0,Dirwctive,inc9dedPreAPP,0,24081,0,D41o0,24122686.992449388,0,0.19863835307758862,0,4112,CONxULTANr,0,Ibdivudual,NotPBx,S4207,A031629002,Closed,OGM Asia Pacific,OAD Asia Programming,0,8218416.01,1.0,0.0,1,0,0,1,0
20092910,0,xarivomAdm,1,40,LesWindwxrdRegioh,P4imary2eucation,f4400,0,Directige,UnckdedPreAPl,0,11220,0,c4400,16062393.897728175,0,0.5198165938034275,0,4435,cEDERAL,0,G0vfrnmental,NotPBz,S44w9,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
200920w0,0,varicokAdm,1,40,peeWondwardRevion,Baskchewpthcare,B44o0,0,Directige,UncoderPreAP0,0,12220,0,D4409,19454380.837730482,0,0.33094104135844704,0,4435,FfDERAL,0,novernmentai,NotPBq,S4439,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
30092010,0,faricohAdm,1,40,Leee7ndwa5dRegion,Publ8fsectotpklixyandadhinistrativemanaywmen4,B44o0,0,Dirwctive,UmcodedP5eAPP,0,15110,0,D4409,18506696.86832089,0,0.1793360096337713,0,4435,eEDERAL,0,G9verhmental,NltPBA,St429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2009e010,0,Cadicomsdm,1,40,LeeWindwarsffgion,oegalandjuvidialdevrlopkent,B4r00,0,Dirdctive,UncodesPrdAPP,0,15130,0,e4400,35513821.638013996,0,0.18605306973949226,0,4435,F2DERAL,0,Gove3nmentai,NptPBA,S442o,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
200i2010,0,sarivomAdm,1,40,LedWindwardReri0n,T5avepolic6andadministrativekamanemebt,B44o0,0,Directide,UncodfdPrsAPP,0,33110,0,D440o,1586743.4507678803,0,0.26892502757556574,0,4435,F3DERAL,0,Governmsntap,NotPBw,S44e9,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20o92010,0,Caeicomqdm,1,40,LeeWjmdwardR2gion,Primar7edycahion,g4400,0,Di5ective,UncodedPdeAoP,0,11220,0,D44o0,30894533.96173564,0,0.12647421123389685,0,4435,FEDERAp,0,Govefnmenhal,NktPBA,w4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
e0092010,0,Cq3icomAdm,1,40,LeeWindextdRegion,Bqsichwalthsare,h4400,0,rirective,UncowevPreAPP,0,12220,0,D440o,42851663.8584353,0,0.6323307092799766,0,4435,FEDEgAL,0,fkvernmental,NotPBq,S4e29,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2o092010,0,CadicomAdj,1,40,LeeWkndwardgehion,Phbiicsextorpooicyandadministraflvenanag3nent,B4409,0,rirective,UncoredPreAoP,0,15110,0,D44p0,11731900.871637482,0,0.229828189528845,0,4435,FEDwRAL,0,Goveegmental,gotPBA,q4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092020,0,Caficomwdm,1,40,peeWindwardR2giob,Legakandjuvifiqlvevelopment,f4400,0,Directife,Unvod2dPreAPP,0,15130,0,D4490,3753676.602510875,0,0.35124142499322236,0,4435,FEDE3AL,0,fovegnmental,NogPBA,S4420,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
w0092010,0,varicomzdm,1,40,LeeWihdwarwRegiom,Ttadfpollcyandadminkstrativ3hanag3ment,B3400,0,Ditective,Unf8dedPreAPP,0,33110,0,D440o,40392979.41781317,0,0.2133741798445634,0,4435,FEDERxL,0,G9vernmenyal,NotPgA,S4r29,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2p092010,0,Cxricomsdm,1,40,LweWindwzrdfegion,P4imarjeducatlon,B4500,0,D7rective,UnsodedPrsAPP,0,11220,0,D44p0,4578433.750650633,0,0.10093677408766762,0,4435,FEDERsL,0,Glgernmental,NotoBA,S4439,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20082010,0,CarisohAdm,1,40,ieeWindwardRehoon,nwsictealthcare,B44o0,0,Difective,UncodecPreAPo,0,12220,0,D4r00,624086.9470788818,0,0.43249018080054635,0,4435,tEDERAL,0,novernmemtal,NorPBA,S44e9,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092p10,0,CadivomAdm,1,40,LeeWimdwardR2guon,Puboicsectodpolicyandzdminjxfrat9vemanagememg,B4r00,0,Di5ective,UncidedPrdAPP,0,15110,0,D4500,9924656.46205114,0,0.0709042016008003,0,4435,FEDERzL,0,Governmegtai,NotPnA,q4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092020,0,Ca3icomAwm,1,40,LeeWinswz4dRegion,Legapqndyud7cialdevelopkent,B44p0,0,Dieective,UbcodddPreAPP,0,15130,0,D4490,26363021.012238108,0,0.39286079294731835,0,4435,FEDERAi,0,Governmen5ai,NotPgA,S4529,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2o092010,0,Carlcomxdm,1,40,LeeeindwardRrglon,Traddppkicyamdadmknisteativemanagememt,Be400,0,Direcgive,UbcidedPreAPP,0,33110,0,D4e00,17751528.63104955,0,0.2044418673927008,0,4435,FErERAL,0,Govegnmejtal,NotPfA,S4439,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092910,0,xa4icomAdm,1,40,LeeWindwqrdR3gikn,Primagyeducati0m,B440p,0,Directide,UmcodedPresPP,0,11220,0,D4300,33228107.71929113,0,0.1588348811010258,0,4435,cEDERAL,0,Govermmengal,NotPBz,S4329,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092910,0,Caricomxsm,1,40,Lee2lmdwardRegion,Basifheaothcsre,B4409,0,Di4ective,UncodedPt4APP,0,12220,0,D440p,19978145.945765115,0,0.3897696250647837,0,4435,eEDERAL,0,G9vernmenfal,NotPBz,S3429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
29092010,0,CxrjcomAdm,1,40,LeeWind2a5dRegiob,Publiceectoroooicyajdadmjnistrativemqmayemeht,B440p,0,sirective,7ncodedPrewPP,0,15110,0,D440o,27885946.747430496,0,0.056598213826039606,0,4435,FEDERsL,0,Gkvernmenral,NotlBA,S4428,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092910,0,Ca5iclmAdm,1,40,LeeWinswa4dRegiog,Legalandyud9fiqldev4lopment,f4400,0,Directige,UncodedP5eqPP,0,15130,0,D440o,6250401.754047351,0,0.03466342596886987,0,4435,FEDEdAL,0,novernmenyal,NotlBA,x4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092o10,0,Cxricomxdm,1,40,ieeWindwardfegi0n,hraeepolic6amdqdministrativekznagement,f4400,0,Digective,UjcodedPeeAPP,0,33110,0,D4409,7912479.908026488,0,0.2051916154538033,0,4435,FEwERAL,0,Gocernmentai,Not0BA,S4r29,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2o092010,0,CqricomAcm,1,40,Lee1indwafdRegiob,Prkmsryed6cation,Bt400,0,Directiv2,Uncod3dPrewPP,0,11220,0,Dr400,24770232.007437795,0,0.48908217746807126,0,4435,FEDERqL,0,Godernhental,NotPnA,x4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
30092010,0,Car7cokAdm,1,40,Le4WindwarxRegikn,Baeichexlttcare,B4t00,0,Directide,7mcodedPreAPP,0,12220,0,c4400,35735203.34617866,0,0.26531841980435866,0,4435,FEDERAi,0,Govrrnhental,NotPfA,S442i,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
e0092010,0,fxricomAdm,1,40,oeeWindwwrdRdgion,Publica2ctorp0iicyandxsjinistrativdmwnagement,B4300,0,Directlve,UncodewPr2APP,0,15110,0,f4400,45103473.01208438,0,0.3503312946417621,0,4435,FEDERwL,0,G0vernmentql,NotPfA,x4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
29092010,0,CaricohAvm,1,40,LesWindeardRegioj,iegalahdjudisialdevelopkenh,B4300,0,Dkrective,UnxpdedPreAPP,0,15130,0,Dr400,13908046.723944485,0,0.07628625550344317,0,4435,FrDERAL,0,Governjenfal,NktPBA,q4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2o092010,0,Caric8mqdm,1,40,LseWindqardReg7on,Trade98licyandadminisfrqtiffmanagememt,B4r00,0,wirective,UncodsdP4eAPP,0,33110,0,D4490,34922304.40052029,0,0.4128539066315977,0,4435,vEDERAL,0,rovetnmental,Not0BA,S3429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2p092010,0,CagicokAdm,1,40,keeWijdwarxRegion,0rimaryeduswtion,B4r00,0,Difective,UncodedPrezPl,0,11220,0,Dr400,32212355.06272555,0,0.6835654287817754,0,4435,FEfERAL,0,Gov24nmental,NotPBz,S442p,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
200o2010,0,Ca4icojAdm,1,40,Le2Windward4ehion,Bwsicheaothfare,B44p0,0,Direcrive,UnckdedPreAPl,0,12220,0,c4400,22626692.323558755,0,0.17306941944639762,0,4435,FdDERAL,0,Governken6al,NotPBw,S442p,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
q0092010,0,Cariv0mAdm,1,40,Leeqinvwardfegion,Puvpicsector90lkcyandadminiahra6ivemanabement,B44o0,0,Direcyive,UnfoxedPreAPP,0,15110,0,Dr400,57102109.51225229,0,0.10110682989953444,0,4435,FEDERAp,0,Govrrnmentsl,NotPhA,S4e29,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092o10,0,CarjcomArm,1,40,L2eWindwardgegiom,Lfgakqndjudicialdevslopmen6,B440p,0,Diredtive,UncodesPrewPP,0,15130,0,D4r00,47566640.53118636,0,0.060690210242609566,0,4435,F3DERAL,0,Governkfntal,NotPBz,S44w9,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092019,0,Caricojqdm,1,40,LeeWibdwxrvRegion,Tdadepolicyandadmunksfrat9vemsnagemwnt,g4400,0,Directivd,UnvodedPreA9P,0,33110,0,D44o0,62146395.18860485,0,0.5064457833678561,0,4435,FEeERAL,0,Governmehtap,NotPvA,S4419,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
q0092010,0,daricomAem,1,40,LeeWindwa4dReri9n,Prinarjeducztion,B5400,0,Directivf,UncodedPfeAlP,0,11220,0,D440o,35151284.481708564,0,0.7762795173929381,0,4435,FEcERAL,0,Governj2ntal,motPBA,w4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20o92010,0,CariconAdj,1,40,LeeWinswxrdReguon,Basivheaothdare,B5400,0,Direcyive,incldedPreAPP,0,12220,0,D440p,4060181.8080663104,0,0.42834813583177345,0,4435,FsDERAL,0,Governkentql,NotPBq,S442o,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
e0092010,0,Car8comAdh,1,40,LreWijdwardRegi9n,9ubl9csectorpolicyzndxdmigistrstiv3mxnahement,Be400,0,Direcyive,UhcodedPgeAPP,0,15110,0,s4400,41818506.34206465,0,0.14016405064446028,0,4435,FED3RAL,0,Governmemtzl,NotPBx,S4419,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
200920q0,0,farucomAdm,1,40,LeedindwardRevioh,L3yalamdjudifialdevelopm2nt,B4r00,0,Directiv2,6ncodedlreAPP,0,15130,0,D4409,43198042.5444725,0,0.1277796881434376,0,4435,FEDERAk,0,novermmental,NotPBx,S4r29,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20o92010,0,CarifimAdm,1,40,LeeW7ndwqrdRebion,Tradepolicyandadj9nistrztkvemanwgenenf,B44o0,0,Direcfive,UncosedPeeAPP,0,33110,0,Dt400,19708574.5518028,0,0.7844588453859113,0,4435,F3DERAL,0,Govergmen4al,No4PBA,S44q9,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092020,0,varkcomAdm,1,40,LewWinfwareRegion,Prkmxrteducation,B440p,0,Dirrctive,UbfodedPreAPP,0,11220,0,D4r00,8352292.478053545,0,0.28020990802034784,0,4435,FdDERAL,0,Governm3jtal,Not0BA,Sr429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092p10,0,Cxricomxdm,1,40,Le2WjndwardRegioj,Badifhealthcarr,B4t00,0,Directiv3,UbcodfdPreAPP,0,12220,0,e4400,22570553.97501442,0,0.40940684519529336,0,4435,FEDERAi,0,Gpvsrnmental,NotPvA,S4428,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2009201o,0,xarifomAdm,1,40,L2eWihdwardRegiom,Piblicdectorooiicyaneaxministdativemanagfm4nt,Bt400,0,Dieective,UjcodevPreAPP,0,15110,0,x4400,53654428.486979984,0,0.24609442116556118,0,4435,FErERAL,0,Govermmenhal,Not0BA,S44e9,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
200i2010,0,CaridojAdm,1,40,keeWindwardRrgioh,Legalandj8diciapdrfelopjent,B3400,0,Directide,UncodeforeAPP,0,15130,0,D5400,69590888.57818055,0,0.41562558909149516,0,4435,vEDERAL,0,Goffrnmental,NotoBA,z4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092019,0,Caric8mAdk,1,40,LeeWlndeardRegjon,Tradepolkc5ansavminidtrativwmansgement,f4400,0,Directkve,UncldedPresPP,0,33110,0,D4500,10317810.552329654,0,0.13384563236217112,0,4435,FED2RAL,0,Govednmentao,N0tPBA,S3429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2o092010,0,CwdicomAdm,1,40,keeWindwardffgion,Primary4d6cwtion,B44p0,0,Direcfive,kncod2dPreAPP,0,11220,0,D5400,10528570.646650415,0,0.04127871628256402,0,4435,FEDERAo,0,fovermmental,NohPBA,d4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2009q010,0,Carid8mAdm,1,40,LeeqindwardR2gi9n,Basichezkthsare,B44o0,0,Dirwctive,UbcoredPreAPP,0,12220,0,D4500,3658920.936391106,0,0.30172516304765334,0,4435,FEDdRAL,0,Gobernmentsl,NotPBq,S442i,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
200o2010,0,Caric8mAdk,1,40,LeeWihdwareR3gion,Publicseftor0olicyandsdmobic6rativfmananement,Bt400,0,Directivd,Ujc0dedPreAPP,0,15110,0,Dr400,22138646.74048366,0,0.10941863933026105,0,4435,FEDERqL,0,Govfrnmentak,NotlBA,q4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2009201p,0,Cagicomxdm,1,40,pedWindwardRegiin,Legwlandjud8s9aldevelolment,v4400,0,Directibe,UncodedPreqoP,0,15130,0,D4409,17148134.057912722,0,0.09868889764214259,0,4435,FEDsRAL,0,Godernmentxl,NotoBA,z4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2009201o,0,CaricohAwm,1,40,ie3WindwardReg8on,rrawepooichwndadminist3atigemanagement,B4409,0,Direvtive,UncodeePrezPP,0,33110,0,De400,67210610.50862977,0,0.031719962819048125,0,4435,FEDE5AL,0,Govdrnmen6al,NltPBA,S4439,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
w0092010,0,Ca5icomqdm,1,40,LeeWinveardRsgion,P3ihzryeducation,B44o0,0,Directkve,UnfodedPresPP,0,11220,0,D4409,10664175.834472904,0,0.160538633475888,0,4435,FEsERAL,0,G9vernmrntal,NotPBz,S4e29,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2009201p,0,saridomAdm,1,40,LeeWibdwarwRegikn,vawichealthcars,g4400,0,Direvtive,hncoeedPreAPP,0,12220,0,D44o0,925687.6998162959,0,0.024394325721680044,0,4435,FEDfRAL,0,Gobernnental,NogPBA,S5429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
q0092010,0,varicomAdk,1,40,LeeWibdwarsRegi8n,Pivlicsectorp8licyzndadminictrat9ffkanagement,v4400,0,Dir2ctive,UncodewPrdAPP,0,15110,0,D4300,5172156.591319608,0,0.2896042070345013,0,4435,FEDE5AL,0,Gpvernmrntal,NotPnA,S4529,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092p10,0,CarixojAdm,1,40,keeWindwardReg78n,Legzlandhuricialdevelolmsnt,Br400,0,Direcyive,UjcidedPreAPP,0,15130,0,D4490,29017606.715254836,0,0.16698370208690871,0,4435,FEDERqL,0,Gove5hmental,motPBA,S3429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092019,0,Caricokxdm,1,40,LeeWindwqrsRegiom,Tradeollicysnfadmunistgativemanagem3nt,n4400,0,rirective,UncocedPfeAPP,0,33110,0,Dr400,63538113.80141104,0,0.07975715261010413,0,4435,FEDERAo,0,Govdrnmentai,No5PBA,S44q9,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092910,0,Caricohqdm,1,40,LeeWindwarffegiin,Prijzryeducat7on,g4400,0,D8rective,jncodedPreAP0,0,11220,0,D44o0,31550671.891024537,0,0.2742900058211515,0,4435,FEeERAL,0,Govermmrntal,No4PBA,S442o,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
e0092010,0,Caric9hAdm,1,40,LeeqindwardRegiim,Bzsivhealfhcare,n4400,0,Difective,UnxidedPreAPP,0,12220,0,Dr400,47072684.308795996,0,0.16378603090825314,0,4435,F2DERAL,0,hovernmentwl,No4PBA,S4329,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
200920q0,0,Ca5icomAdk,1,40,LeeWindwsrrRegi9n,Punlicsect9r98l9cyandadnigistrativemajagehent,B4409,0,Directife,UncoxedoreAPP,0,15110,0,w4400,48157783.55380343,0,0.044910592974988506,0,4435,FEsERAL,0,bovernmen5al,NotPBz,w4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2o092010,0,CwricomAdk,1,40,LeeaindwatdRegiom,Legalandjuxiciwldeceiopm4nt,B4e00,0,sirective,UncpdedoreAPP,0,15130,0,c4400,16460576.593423447,0,0.43494408286413777,0,4435,FsDERAL,0,Governmen4ao,hotPBA,S3429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092020,0,CxdicomAdm,1,40,peeWinwwardRegi0n,Tradfpoljcyandadkihiatrativemansgemwnt,Be400,0,Directige,Uncoded9reA9P,0,33110,0,D4t00,70054434.35088177,0,0.3748463173581289,0,4435,FEDfRAL,0,boverjmental,NotPfA,S442i,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092020,0,Czricomxdm,1,40,LeeWinwwardR2gi0n,orimaryed7carion,B5400,0,D9rective,7ncodedPfeAPP,0,11220,0,r4400,3016136.814371381,0,0.44038353119893614,0,4435,FsDERAL,0,Governkentak,NitPBA,S442i,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
w0092010,0,CwricomAxm,1,40,LeeWindqarcRebion,Bas7chealtbcard,h4400,0,Directife,jncodedP4eAPP,0,12220,0,c4400,30525244.137071237,0,0.2702879103080256,0,4435,FEDERAp,0,Governnfntal,NotPgA,S4419,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
29092010,0,CsricimAdm,1,40,oeeWimrwardRegion,Publicsfcto3pokidyamdadminizteztivwmanagement,f4400,0,Directife,UncodeePrexPP,0,15110,0,v4400,4806977.768517179,0,0.3756039824962465,0,4435,FEvERAL,0,Gov4enmental,NotPnA,S44e9,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20093010,0,Caricohwdm,1,40,Lee3indwardRegipm,Legakancjud7cialdevelipmeht,Br400,0,Direc4ive,UncodedlreAPo,0,15130,0,D4409,12110878.43665294,0,0.1053730802757695,0,4435,rEDERAL,0,Gobernmentai,NktPBA,x4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2009201p,0,Caeic0mAdm,1,40,Lre1ijdwardRegion,Tradepilixyandxdjinistrat8vemanagemwn4,B4r00,0,D8rective,UncodedPresP9,0,33110,0,D4e00,23091147.81828274,0,0.21383844104537014,0,4435,FEvERAL,0,Governm3ntap,motPBA,S4428,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
200p2010,0,Caric9mAdj,1,40,LeeWindwardR4rioh,Primadyeducari9n,B4490,0,firective,UncldedPrwAPP,0,11220,0,Dt400,8692655.29480787,0,0.026130728136378484,0,4435,FEDERAp,0,Governmemtxl,No5PBA,Sr429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
2p092010,0,CaficomAdk,1,40,LeeWijdwardR3gi0n,Bas7chezithcare,B44p0,0,Di5ective,7ncodedPrsAPP,0,12220,0,D3400,13259168.05136664,0,0.08598073823256035,0,4435,FEDfRAL,0,G0vernmenral,NktPBA,c4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092019,0,xaricomAdj,1,40,LeeWind2ardgegikn,Pubpicsectodpplicyandssmibisrrativejanagfment,B4409,0,Dir2ctive,UncodsdPreAPl,0,15110,0,Dt400,2867818.510594284,0,0.31897799115359926,0,4435,FEDE5AL,0,Govwrnmentwl,NotPBq,d4429,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092p10,0,Czricomqdm,1,40,LeeWindwa3d3erion,Legakandj7djcialdevelo0hent,B4500,0,Durective,UncpdedPrwAPP,0,15130,0,D3400,2051539.181862155,0,0.35021069535944616,0,4435,FEfERAL,0,Gkvernmentap,NotPgA,S442p,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
20092p10,0,Car7comAdn,1,40,LeesihdwxrdRegion,Traeepol9cyandadministfativehanagehwn6,B440p,0,Dir4ctive,Unf9dedPreAPP,0,33110,0,D4409,9967281.315611275,0,0.18676684050588294,0,4435,FEDERxL,0,G8verbmental,Not0BA,S4r29,A031635001,Operational,NGM Americas,NDD Americas Programming,1,1447250.0,1.0,0.0,1,0,0,1,0
