assay_id,tissue_id,src_id,assay_tissue,doc_id,assay_subcellular_fraction,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_cell_type
977,,1,,15740,,Evaluated for the binding constant at [3H]8-OH-DPAT-labeled human 5-hydroxytryptamine 1A receptor,B,,,,,,
978,,1,,17296,,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,F,,,,,,HEK293
979,,1,,5640,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at 1 uM.",F,,,,,,
980,,1,,5640,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means Not determined",F,,,,,,
981,,1,,5640,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; ND means not determined",F,,,,,,
982,,1,,5640,,"Stimulation of binding of [35S]GTP-gamma-S, to G protein mediated by human cloned 5-hydroxytryptamine 1A receptor tested in vitro at a concentration of 1 uM; Not determined",F,,,,,,
983,,1,,2759,,Antagonistic efficacy was evaluated by adenylyl cyclase assay in CHO cells stably expressing the human 5-HT1A receptor,F,,,,,,CHO
984,,1,,16394,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared with 5-HT",F,,,,,,
985,,1,,16394,,"Agonist efficacy of [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor compared to 5-HT",F,,,Homo sapiens,9606.0,,
986,,1,,3445,,Percent efficacy against human 5-hydroxytryptamine 1A receptor relative to maximal 5-HT response,F,,,Homo sapiens,9606.0,,
987,,1,,4316,,Binding affinity for 5-hydroxytryptamine 1A receptor was determined by incubating human 5-hydroxytryptamine 1A receptor transfected CHO cells with [3H]8-OH-DPAT,B,,,,,,CHO
988,,1,,4316,,In vitro inhibition of [3H]8-OH-DPAT binding to human cloned 5-hydroxytryptamine 1A receptor on CHO cell membranes.,B,,,,,,
989,,1,,15180,,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,F,,,Homo sapiens,9606.0,,
990,,1,,15180,,Agonist efficacy on 5-hydroxytryptamine 1A receptor subtype,F,,,Homo sapiens,9606.0,,
991,,1,,15042,,Maximum binding affinity was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,F,,,,,,
992,,1,,15042,,Maximum binding affinity was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,F,,,,,,
993,,1,,15042,,Maximum binding affinity was evaluated as ([35S]GTP binding on cloned human 5-hydroxytryptamine 1A receptor,F,,,,,,
994,,1,,15042,,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,F,,,,,,
995,,1,,15042,,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,F,,,,,,
996,,1,,15042,,Agonist efficacy was evaluated as ([35S]GTP binding on 5-hydroxytryptamine 1A serotonergic receptors.,F,,,,,,
997,,1,,15042,,Agonist efficacy was evaluated as [35S]GTP binding on cloned human 5-hydroxytryptamine 1A receptor,F,,,,,,
998,,1,,15180,,Concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,F,,,Homo sapiens,9606.0,,HeLa
999,,1,,15180,,Negative logarithm of concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,F,,,Homo sapiens,9606.0,,HeLa
1000,,1,,15180,,Negative logarithm of concentration required to obtain 50% maximal stimulation of [35S]GTP gamma-S binding to human cloned 5-HT1A receptors of cell membranes from HeLa cells,F,,,Homo sapiens,9606.0,,HeLa
1001,,1,,16245,,"Potency (pD2) for the stimulation of [35S]GTP-gamma-S, binding on 5-hydroxytryptamine 1A receptor",F,,,,,,
1002,,1,,16026,,"Ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",F,,,,,,
1003,,1,,17296,,Binding affinity against human 5-hydroxytryptamine 1A receptors HEK 293 cell membranes using [35S]GTP gamma-S,F,,,,,,HEK293
1004,,1,,2759,,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),F,,,,,,CHO
1005,,1,,2759,,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells,F,,,,,,CHO
1006,,1,,2759,,Potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 1),F,,,Homo sapiens,9606.0,,CHO
1007,,1,,2759,,Compound was tested for its potency against human 5-hydroxytryptamine 1A receptor expressed in CHO cells (experiment 2),F,,,,,,CHO
1008,,1,,15419,,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor,F,,,,,,
1009,,1,,15419,,In vitro effective concentration required to inhibit forskolin-stimulated cAMP levels in HA7 cells expressing human 5-HT1A receptor; Not tested,F,,,,,,
1010,,1,,16026,,"ability to influence the binding of [35S]GTP-gamma-S, to HeLa cell membranes expressing the human 5-hydroxytryptamine 1A receptor",F,,,,,,
1011,,1,,1414,,Ability to bind to 5-hydroxytryptamine 1A receptor from cloned human expressed in Ha7 cells,B,In vitro,,,,,
1012,,1,,1414,,Ability to bind to 5-hydroxytryptamine 1A receptor subtype from cloned human expressed in Ha7 cells,B,In vitro,,,,,
1013,,1,,12861,,Binding activity radioligand.,B,,,,,,
1014,,1,,12861,,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,B,,,,,,
1015,,1,,5104,,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,B,,,,,,
1016,,1,,5105,,Binding affinity for human cloned 5-hydroxytryptamine 1A receptor,B,,,,,,
1017,,1,,16312,,binding affinity towards human recombinant 5-hydroxytryptamine 1A receptor,B,,,,,,
1018,,1,,15180,,Displacement of [3H]8-hydroxy-2-(di-n-propylamino)tetralin from human 5-hydroxytryptamine 1A receptor,B,,,Homo sapiens,9606.0,,
1019,,1,,5033,,Ability to displace the radioligand [3H]-8-OH-DPAT from human 5-hydroxytryptamine 1A receptor,B,,,,,,
1020,,1,,16909,,Affinity constant on CHO cells expressing Human recombinant 5-hydroxytryptamine receptor 1A,B,,,Homo sapiens,9606.0,,CHO
1021,,1,,2590,,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor,F,,,,,,
1022,,1,,2590,,Antagonistic affinity against cloned human 5-hydroxytryptamine 1A receptor; Not determined,F,,,,,,
1023,,1,,16394,,Binding affinity at human 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding in Chinese hamster ovary cell line,B,,,,,,
1024,,1,,4540,,Binding affinity to human cloned 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]-8-OH- DPAT as radioligand,B,,,Homo sapiens,9606.0,,HEK293
1025,,1,,17296,,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells,B,,,,,,HEK293
1026,,1,,17296,,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells using [3H]8-OH-DPAT as radioligand,B,,,,,,HEK293
1027,,1,,15779,,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;,B,,,,,,HEK293
1028,,1,,15779,,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand; ND means no data,B,,,,,,HEK293
1029,,1,,15779,,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;ND means no data.,B,,,,,,HEK293
1030,,1,,6166,,Binding affinity towards 5-hydroxytryptamine 1A receptor in human using [3H]8-OH-DPAT as radioligand,B,,,,,,
1031,,1,,15779,,Binding affinity towards 5-hydroxytryptamine 1A receptor (human cloned receptor) in HEK293 cells using [3H]8-OH-DPAT as radioligand;,B,,,,,,HEK293
1032,,1,,4199,,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]8-OH-DPAT as the radioligand,B,,,,,,HEK293
1033,,1,,15316,,Compound was evaluated for its ability to displace [3H]8-OH-DPAT binding from human 5-hydroxytryptamine 1A receptor in mammalian cells,B,,,,,,
1034,,1,,14875,,Compound was tested for binding affinity against human 5-hydroxytryptamine 1A receptor,B,,,,,,
1035,,1,,14727,,Binding affinity at human cloned 5-hydroxytryptamine 1A receptor expressed in HeLa cells by [3H]8-hydroxy-2-(di-n-propylamino)tetraline displacement.,B,,,,,,HeLa
1036,,1,,14727,,Binding affinity at native 5-hydroxytryptamine 1A receptor in rat by [3H]8-hydroxy-2-(di-n-propylamino)tetraline displacement.,B,,,,,,
1037,,1,,15146,,Compound was tested for its binding affinity against 5-hydroxytryptamine 1A receptor in human cloned receptors in HEK 293 cells using [3H]8-OH-DPAT,B,,,,,,HEK293
1038,,1,,5213,,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1A receptor in HEK 293 using [3H]5-CT as a radioligand,B,,,,,,HEK293
1039,,1,,16429,,In vitro binding affinity at human recombinant 5-hydroxytryptamine 1A receptor in mammalian cells using 3[H]8-OH-DPAT as the radioligand,B,,,,,,
1040,,1,,15042,,The binding affinity was evaluated on cloned human 5-hydroxytryptamine 1A receptor expressed in HeLa cells by using DPAT as radioligand.,B,,,Homo sapiens,9606.0,,HeLa
1041,,1,,14818,,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 1A receptor in HEK 293 cells using [3H]8-OH-DPAT.,B,,,,,,HEK293
1042,,1,,4829,,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 1A receptor in HEK293 cells, using [3H]8-OH-DPAT as radioligand",B,,,,,,HEK293
1043,,1,,17200,,In vitro inhibitory concentration required against [3H]8-OH-DPAT binding to cloned human 5-hydroxytryptamine 1A receptor,B,,,,,,
1044,,1,,13051,,The compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1A receptor,B,,,Homo sapiens,9606.0,,
1045,,1,,5486,,Binding affinity towards 5-HT1B receptor by the displacement of [3H]-5-CT] in human recombinant receptors in mammalian cell,B,,,,,,
1046,,1,,5254,,Binding affinity against 5-HT1D receptor,B,,,,,,
1047,,1,,5254,,Binding affinity against 5-hydroxytryptamine 1A receptor,B,,,,,,
1048,,1,,15331,,Affinity of compound towards 5-hydroxytryptamine 1A receptor was evaluated using radioligand binding technique,B,,,,,,
1049,,1,,13506,,Binding affinity against serotonin 5-hydroxytryptamine 1A receptor using radioligand [3H]8-OH-DPAT binding assay,B,,,Homo sapiens,9606.0,,
1050,,1,,15267,,Inhibition of [3H]- 8-OH-DAPT binding against human recombinant 5-hydroxytryptamine 1A receptor,B,,,,,,
1051,,1,,16616,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 15 min after administration of the compound,F,In vivo,,,,,
1052,,1,,16616,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 30 min after administration of the compound,F,In vivo,,,,,
1053,,1,,16616,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice 60 min after administration of the compound,F,In vivo,,,,,
1054,,1,,16616,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 15 min,F,,,Mus musculus,10090.0,,
1055,,1,,16616,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 30 min,F,,,Mus musculus,10090.0,,
1056,,1,,16616,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 10 mg/kg after 60 min,F,,,Mus musculus,10090.0,,
1057,,1,,16616,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 15 min,F,,,Mus musculus,10090.0,,
1058,,1,,16616,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 30 min,F,,,Mus musculus,10090.0,,
1059,,1,,16616,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 60 min,F,,,Mus musculus,10090.0,,
1060,10000000.0,1,Hippocampus,10297,,Hill number was determined for inhibition of of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in mouse hippocampus,B,,,,,,
1061,,1,,13704,,Inhibitory activity against serotonin 5-hydroxytryptamine 1A receptor from mice.,B,,,,,,
1062,10000000.0,1,Hippocampus,10297,,Inhibitory activity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus,B,,,Mus musculus,10090.0,,
1063,10000000.0,1,Hippocampus,10297,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus; Not determined,B,,,,,,
1064,10000000.0,1,Hippocampus,10297,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus,B,,,Mus musculus,10090.0,,
1065,10000000.0,1,Hippocampus,10297,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus; Not determined,B,,,,,,
1066,,1,,217,,Compound was tested for binding affinity to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as a radioligand,B,,,,,,
1067,10000000.0,1,Hippocampus,10297,,Hill number was determined for inhibition of of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in mouse hippocampus,B,,,Mus musculus,10090.0,,
1068,,1,,4921,,Ability to displace [3H]8-OH-DPAT radioligand from porcine 5-hydroxytryptamine 1A receptor,B,,,Sus scrofa,9823.0,,
1069,,1,,4921,,Ability to displace [3H]8-OH-DPAT radioligand from porcine 5-hydroxytryptamine 1A receptor; ND denotes not determined,B,,,Sus scrofa,9823.0,,
1070,,1,,4996,,Binding affinity of compound measured for 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT-labeled porcine brain homogenates,B,,,Sus scrofa,9823.0,,
1071,,1,,12918,,Compound was evaluated for the binding affinity at 5- HT1A receptor,B,,,Sus scrofa,9823.0,,
1072,,1,,5333,,Compound was tested in vitro for its ability to compete with [3H]8-OH-DPAT at 5-hydroxytryptamine 1A receptor in porcine brain homogenate,B,,,Sus scrofa,9823.0,,
1073,,1,,4437,,In vitro for its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in porcine brain homogenate,B,,,Sus scrofa,9823.0,,
1074,,1,,1742,,Compound was tested for its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in pig cortex,B,,,Sus scrofa,9823.0,,
1075,,1,,16688,,Displacement of [3H]- 8-OH-DPAT from porcine 5-hydroxytryptamine 1A receptor,B,,,Sus scrofa,9823.0,,
1076,,1,,12861,,Binding activity radioligand.,B,,,Sus scrofa,9823.0,,
1077,,1,,12861,,Binding activity against 5-hydroxytryptamine 1A receptor from pig cortex membrane using [3H]8-OH-DPAT-HT as radioligand.,B,,,Sus scrofa,9823.0,,
1078,,1,,12861,,Binding activity against 5-hydroxytryptamine 1A receptor from pig cortex membrane using [3H]8-OH-DPAT-HT as radioligand.,B,,,Sus scrofa,9823.0,,
1079,,1,,12490,,Displacement of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor from pig cortex,B,,,,,,
1080,,1,,11828,,Displacement of [3H]8-OH-DPAT from pig cortex 5-hydroxytryptamine 1A receptor,B,,,Sus scrofa,9823.0,,
1081,10000000.0,1,Hippocampus,11866,,Binding affinity for 5-hydroxytryptamine 1A receptor in piglet hippocampus using [3H]8-OH-DPAT,B,,,Sus scrofa,9823.0,,
1082,,1,,12827,,Binding affinity towards 5-hydroxytryptamine 1A receptor in pig frontal cortex membranes using [8H]-OH-DPAT,B,,,Sus scrofa,9823.0,,
1083,,1,,12918,,Binding affinity was evaluated by 5-hydroxytryptamine 1A receptor agonism in the pig cortex by displacing 8-OH-DPAT,B,,,Sus scrofa,9823.0,,
1084,,1,,12919,,Agonistic activity against 5-hydroxytryptamine 1A receptor in pig cortex using [3H]8-OH-DPAT,F,,,Sus scrofa,9823.0,,
1085,,1,,13047,,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit jugular vein assay in the presence of endothelium,B,,,Oryctolagus cuniculus,9986.0,,
1086,,1,,15796,,Inhibition activity against 5-hydroxytryptamine 1A receptor in rat hippocampus membranes using radio binding assays,B,,,Rattus norvegicus,10116.0,,
1087,10000000.0,1,Hippocampus,3651,,"Inhibition of [3H]8-hydroxy-2-dipropylamino-1,2,3,4-tetrahydronaphthalene binding to 5-hydroxytryptamine 1A receptor in hippocampus region of rat brain; Less active",B,,,Rattus norvegicus,10116.0,,
1088,,1,,188,,Tested for the effect on binding at 5-hydroxytryptamine 1A receptor; No activity,B,,,,,,
1089,,1,,16616,Membranes,"Antagonist activity to stimulate binding of [35S]GTP-gamma-S, to 5-hydroxytryptamine 1A receptor in isolated rat hippocampal membranes",F,,,Rattus norvegicus,10116.0,,
1090,10000000.0,1,Hippocampus,16616,Membranes,"Inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding in rat hippocampal membranes",F,,,Rattus norvegicus,10116.0,,
1091,10000000.0,1,Hippocampus,12306,,The binding of [125I]MPPI ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,B,,,,,,
1092,10000000.0,1,Hippocampus,17167,,Binding affinity for rat hippocampus 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding,B,,,Rattus norvegicus,10116.0,,
1093,,1,,14776,,Binding affinity measured at the 5-hydroxytryptamine 1A receptor by the inhibition of [3H]8-OH-DPAT binding to rat cortex using unlabeled buspirone for nonspecific binding.,B,,,,,,
1094,,1,,12158,,Binding affinity of 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand.,B,,,,,,
1095,,1,,13481,,Binding affinity of [3H]- -8-OH-DPAT labelled towards Rat Hippocampal 5-hydroxytryptamine 1A receptor using radioligand binding assay,B,,,,,,
1096,,1,,13427,,Binding affinity of [3H]-8-OH-DPAT towards 5-hydroxytryptamine 1A receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,B,In vitro,,,,,
1097,,1,,10210,,Binding affinity of compound against 5-hydroxytryptamine 1A receptor binding site using radioligand [3H]8-OH-DPAT,B,,,,,,
1098,,1,,10205,Membranes,Binding affinity of compound towards 5-HT 1A receptor by measuring ability to displace [3H]OH-DPAT from 5-hydroxytryptamine 1A receptor in rat striatal membranes,B,,,,,,
1099,,1,,10205,Membranes,Binding affinity of compound towards 5-HT 1A receptor by measuring ability to displace [3H]OH-DPAT from 5-hydroxytryptamine 1A receptor in rat striatal membranes,B,,,,,,
1100,,1,,10205,Membranes,Binding affinity of compound towards 5-hydroxytryptamine 1A receptor in rat striatal membranes by [3H]OH-DPAT displacement.,B,,,,,,
1101,,1,,12280,,Binding affinity for 5-hydroxytryptamine 1A receptor with [3H]5-HT,B,,,Rattus norvegicus,10116.0,,
1102,,1,,17386,,Binding affinity to the rat 5-hydroxytryptamine 1A receptor,B,,,,,,
1103,,1,,13654,,Binding affinity was tested on 5-hydroxytryptamine 1A receptor using radioligand [3H]5-HT binding assay.,B,,,,,,
1104,10000000.0,1,Hippocampus,14423,,Binding affinity against 5-hydroxytryptamine 1A receptor from rat hippocampus using [3H]8-OH-DPAT as the radioligand.,B,,,,,,
1105,10000000.0,1,Hippocampus,15412,,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampus tissue.,B,,,,,,
1106,10000000.0,1,Hippocampus,12073,,Binding affinity by measuring displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,,,
1107,,1,,4101,,Displacement of [3H]8-OH-DPAT from rat striata 5-hydroxytryptamine 1A receptor,B,,,Rattus norvegicus,10116.0,,
1108,,1,,10062,,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1A receptor,B,,,,,,
1109,,1,,6238,,Binding affinity towards 5-HT 1A receptor in rat cerebral cortex membranes using [3H]8-OH-DPAT as radioligand,B,,,,,,
1110,,1,,16273,,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,,,
1111,,1,,11139,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in competitive binding assay,B,,,,,,
1112,,1,,16796,,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat hippocampal membranes,B,,,,,,
1113,955.0,1,Brain,9548,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,,,Rattus norvegicus,10116.0,,
1114,955.0,1,Brain,10381,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,,,,,,
1115,,1,,13408,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat hypocampus membrane using [3H]8-OH-DPAT as radioligand,B,,,,,,
1116,10000000.0,1,Hippocampus,13825,,Binding affinity towards 5-hydroxytryptamine 1A receptor in the rat brain (hippocampus) using [3H]8-OH-DPAT,B,,,Rattus norvegicus,10116.0,,
1117,10000000.0,1,Hippocampus,11147,,Binding affinity towards 5-hydroxytryptamine 1A receptor of rat hippocampus using [3H]-8-hydroxy-2-(di-n-propylamine) tetralin (8-OH-DPAT) as a radioligand,B,,,,,,
1118,,1,,10552,,Binding affinity towards 5-hydroxytryptamine 1A receptor sites in cortical membranes using [3H]8-OH-DPAT as radioligand,B,,,,,,
1119,2435.0,1,Striatum,10552,,"Binding affinity towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,,,,,,
1120,,1,,17136,Membranes,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cortex membranes,B,,,Rattus norvegicus,10116.0,,
1121,,1,,5778,Membranes,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cerebral cortex membranes,B,,,Rattus norvegicus,10116.0,,
1122,10000000.0,1,Hippocampus,13481,,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,,
1123,10000000.0,1,Hippocampus,13481,,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; Not tested,B,,,,,,
1124,10000000.0,1,Hippocampus,13630,,Binding affinity against rat hippocampal 5-hydroxytryptamine 1A (5-HT1A) receptor determined using [3H]8-OH-DPAT as radioligand,B,,,,,,
1125,,1,,16245,,Binding was determined on 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,B,,,,,,
1126,10000000.0,1,Hippocampus,14509,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,,,
1127,10000000.0,1,Hippocampus,14509,,Binding affinity against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.,B,,,,,,
1128,10000000.0,1,Hippocampus,14509,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.; ND = Not determined,B,,,,,,
1129,10000000.0,1,Hippocampus,14509,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand; ND = Not determined,B,,,,,,
1130,,1,,14256,,Binding affinity was evaluated by determining in vitro displacement of [3H]8-OH-DPAT from the central 5-hydroxytryptamine 1A receptor recognition site in rat frontal cortex homogenate.,B,,,,,,
1131,,1,,11139,,Binding affinity was evaluated by using [3H]8-OH-DPAT radioligand by using competitive binding assay on 5-hydroxytryptamine 1A receptor,B,,,,,,
1132,,1,,11047,,Binding affinity for 5-HT1A measured by displacing [3H]8-OH-DPAT from rat cortical membranes; Not determined,B,,,Rattus norvegicus,10116.0,,
1133,,1,,11047,,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes,B,,,Rattus norvegicus,10116.0,,
1134,,1,,11047,,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes;ND-Not determined,B,,,Rattus norvegicus,10116.0,,
1135,,1,,2395,,Binding affinity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,,,Rattus norvegicus,10116.0,,CHO-K1
1136,,1,,9699,,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,,,
1137,10000000.0,1,Hippocampus,12028,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [125I]trans-8-OH-PIPAT in membrane homogenates of hippocampal tissue of rat brain,B,,,Rattus norvegicus,10116.0,,
1138,10000000.0,1,Hippocampus,12028,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in membrane homogenates of hippocampal tissue of rat brain,B,,,,,,
1139,,1,,5815,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex,B,,,,,,
1140,,1,,16616,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenates,B,,,,,,
1141,,1,,5815,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]-8-OH-DPAT,B,,,,,,
1142,10000000.0,1,Hippocampus,2761,,"Binding affinity towards 5-hydroxytryptamine 1A receptor using 0.1 nM [3H]-8-OH-DPAT (8-hydroxy-2-(di-n-propylamino)tet-ralin), from rat hippocampal homogenate",B,,,,,,
1143,,1,,13133,,Binding affinity was determined against 5-hydroxytryptamine 1A receptor using [3H]WB-4101,B,,,,,,
1144,,1,,10444,,Binding affinity was determined against 5-hydroxytryptamine 1A receptor was determined in male Sprague-Dawley rat brain.,B,,,,,,
1145,,1,,13278,,Binding affinity was measured against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT by lysergic acid amides,B,,,Rattus norvegicus,10116.0,,
1146,,1,,15874,,Binding affinity was measured on cloned rat 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,B,,,,,,
1147,2435.0,1,Striatum,10552,Membranes,"Binding affinity of the compound towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,,,,,,
1148,,1,,11130,,Binding constant against 5-hydroxytryptamine 1A receptor (in vitro),B,,,,,,
1149,,1,,11130,,Binding constant against 5-hydroxytryptamine 1A receptor (in vivo),B,In vivo,,,,,
1150,955.0,1,Brain,14542,,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex,B,,,,,,
1151,,1,,13670,,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,B,,,Rattus norvegicus,10116.0,,
1152,,1,,9888,,Binding affinity at [3H]8-OH-DPAT-Labeled 5-hydroxytryptamine 1A receptor sites in rat brain hippocampal membranes,B,,,,,,
1153,,1,,3678,Membranes,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus membranes,B,,,Rattus norvegicus,10116.0,,
1154,10000000.0,1,Hippocampus,11332,,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,,,
