Fiscal year,Participatory development and good governance,Climate change adaptation (marker),CFLI (marker),Project number,Continent ID,Division ID,Organisation sub-class,Branch ID,Status,Continent name,Project Browser country ID,Organisation type,Children issues (marker),Knowledge for development (marker),Maximum CIDA contribution (project-level),Gender equality (marker),FSTC percent,ICT as a tool for development (marker),Bilateral aid (international marker),Enviromental sustainability (marker),IRTC percent,Sector percent,Sector name,Fund centre name,Regional program (marker),Section ID,PBA type,CIDA business delivery model (old),Branch name,Urban issues (marker),Organisation ID,Biodiversity (marker),Indigenous issues (marker),CountryRegion ID,Division name,Section name,Fund centre ID,Untied amount(Project-level budget),Programming process (new),Climate change mitigation (marker),Desertification (marker),Trade development (marker)
2009/2010,0,0,0,A032298001,1,D4400,Unknown,B4400,Closed,America,CO,Uncoded,0,0,4938180.39,3,1.0,0,1,0,0.0,0.5,Democratic participation and civil society,*S.A. Regional,1,S4413,Not PBA,Responsive,NGM Americas,0,Information not available,0,0,50,NDD Americas Programming,South America,4427,4938180.39,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032298001,1,D4400,FEDERAL,B4400,Closed,America,CO,Canadian Non-Profit Making,0,0,4938180.39,3,1.0,0,1,0,0.0,0.5,Human rights,*S.A. Regional,1,S4413,Not PBA,Responsive,NGM Americas,0,10050,0,0,50,NDD Americas Programming,South America,4427,4938180.39,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032298001,1,D4400,Unknown,B4400,Closed,America,CO,Uncoded,0,0,4938180.39,3,1.0,0,1,0,0.0,0.5,Human rights,*S.A. Regional,1,S4413,Not PBA,Responsive,NGM Americas,0,Information not available,0,0,50,NDD Americas Programming,South America,4427,4938180.39,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032298001,1,D4400,FEDERAL,B4400,Closed,America,EC,Canadian Non-Profit Making,0,0,4938180.39,3,1.0,0,1,0,0.0,0.5,Democratic participation and civil society,*S.A. Regional,1,S4413,Not PBA,Responsive,NGM Americas,0,10050,0,0,50,NDD Americas Programming,South America,4427,4938180.39,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032298001,1,D4400,Unknown,B4400,Closed,America,EC,Uncoded,0,0,4938180.39,3,1.0,0,1,0,0.0,0.5,Democratic participation and civil society,*S.A. Regional,1,S4413,Not PBA,Responsive,NGM Americas,0,Information not available,0,0,50,NDD Americas Programming,South America,4427,4938180.39,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032298001,1,D4400,FEDERAL,B4400,Closed,America,EC,Canadian Non-Profit Making,0,0,4938180.39,3,1.0,0,1,0,0.0,0.5,Human rights,*S.A. Regional,1,S4413,Not PBA,Responsive,NGM Americas,0,10050,0,0,50,NDD Americas Programming,South America,4427,4938180.39,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032298001,1,D4400,Unknown,B4400,Closed,America,EC,Uncoded,0,0,4938180.39,3,1.0,0,1,0,0.0,0.5,Human rights,*S.A. Regional,1,S4413,Not PBA,Responsive,NGM Americas,0,Information not available,0,0,50,NDD Americas Programming,South America,4427,4938180.39,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032298001,1,D4400,FEDERAL,B4400,Closed,America,PE,Canadian Non-Profit Making,0,0,4938180.39,3,1.0,0,1,0,0.0,0.5,Democratic participation and civil society,*S.A. Regional,1,S4413,Not PBA,Responsive,NGM Americas,0,10050,0,0,50,NDD Americas Programming,South America,4427,4938180.39,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032298001,1,D4400,Unknown,B4400,Closed,America,PE,Uncoded,0,0,4938180.39,3,1.0,0,1,0,0.0,0.5,Democratic participation and civil society,*S.A. Regional,1,S4413,Not PBA,Responsive,NGM Americas,0,Information not available,0,0,50,NDD Americas Programming,South America,4427,4938180.39,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032298001,1,D4400,FEDERAL,B4400,Closed,America,PE,Canadian Non-Profit Making,0,0,4938180.39,3,1.0,0,1,0,0.0,0.5,Human rights,*S.A. Regional,1,S4413,Not PBA,Responsive,NGM Americas,0,10050,0,0,50,NDD Americas Programming,South America,4427,4938180.39,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032298001,1,D4400,Unknown,B4400,Closed,America,PE,Uncoded,0,0,4938180.39,3,1.0,0,1,0,0.0,0.5,Human rights,*S.A. Regional,1,S4413,Not PBA,Responsive,NGM Americas,0,Information not available,0,0,50,NDD Americas Programming,South America,4427,4938180.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032299001,3,D4100,MUNICIPAL,B4100,Closed,Asia,CN,Canadian Non-Profit Making,0,0,4965278.82,2,1.0,0,1,0,0.0,1.0,Human rights,China,0,S4126,Not PBA,Responsive,OGM Asia Pacific,0,1000788,0,0,CN,OAD Asia Programming,OAI Indonesia and SEA Regional,4130,4965278.82,Uncoded: Pre-APP,0,0,0
2009/2010,1,2,0,A032303001,2,D4207,NGO,B4200,Closed,Africa,NG,Canadian Non-Profit Making,0,0,4820235.12,2,1.0,0,1,2,0.0,0.35,Public sector policy and administrative management,Nigeria,0,S4287,Not PBA,Responsive,WGM Sub-Saharan Africa,0,1014866,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,4820235.12,Uncoded: Pre-APP,1,0,0
2009/2010,1,2,0,A032303001,2,D4207,NGO,B4200,Closed,Africa,NG,Canadian Non-Profit Making,0,0,4820235.12,2,1.0,0,1,2,0.0,0.25,Environmental policy and administrative management,Nigeria,0,S4287,Not PBA,Responsive,WGM Sub-Saharan Africa,0,1014866,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,4820235.12,Uncoded: Pre-APP,1,0,0
2009/2010,1,2,0,A032303001,2,D4207,NGO,B4200,Closed,Africa,NG,Canadian Non-Profit Making,0,0,4820235.12,2,1.0,0,1,2,0.0,0.4,Environmental education/training,Nigeria,0,S4287,Not PBA,Responsive,WGM Sub-Saharan Africa,0,1014866,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,4820235.12,Uncoded: Pre-APP,1,0,0
2009/2010,0,0,0,A032307001,1,D4400,ASSOCIATIONS,B4400,Closed,America,PY,Canadian Non-Profit Making,0,0,1440127.94,0,1.0,0,1,1,0.0,0.25,Business support services and institutions,*Southern Cone,1,S4413,Not PBA,Responsive,NGM Americas,0,1010797,0,0,50,NDD Americas Programming,South America,4422,1440127.94,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032307001,1,D4400,ASSOCIATIONS,B4400,Closed,America,PY,Canadian Non-Profit Making,0,0,1440127.94,0,1.0,0,1,1,0.0,0.5,Livestock,*Southern Cone,1,S4413,Not PBA,Responsive,NGM Americas,0,1010797,0,0,50,NDD Americas Programming,South America,4422,1440127.94,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032307001,1,D4400,ASSOCIATIONS,B4400,Closed,America,PY,Canadian Non-Profit Making,0,0,1440127.94,0,1.0,0,1,1,0.0,0.25,Agricultural education/training,*Southern Cone,1,S4413,Not PBA,Responsive,NGM Americas,0,1010797,0,0,50,NDD Americas Programming,South America,4422,1440127.94,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032307001,1,D4400,ASSOCIATIONS,B4400,Closed,America,UY,Canadian Non-Profit Making,0,0,1440127.94,0,1.0,0,1,1,0.0,0.25,Business support services and institutions,*Southern Cone,1,S4413,Not PBA,Responsive,NGM Americas,0,1010797,0,0,50,NDD Americas Programming,South America,4422,1440127.94,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032307001,1,D4400,ASSOCIATIONS,B4400,Closed,America,UY,Canadian Non-Profit Making,0,0,1440127.94,0,1.0,0,1,1,0.0,0.5,Livestock,*Southern Cone,1,S4413,Not PBA,Responsive,NGM Americas,0,1010797,0,0,50,NDD Americas Programming,South America,4422,1440127.94,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032307001,1,D4400,ASSOCIATIONS,B4400,Closed,America,UY,Canadian Non-Profit Making,0,0,1440127.94,0,1.0,0,1,1,0.0,0.25,Agricultural education/training,*Southern Cone,1,S4413,Not PBA,Responsive,NGM Americas,0,1010797,0,0,50,NDD Americas Programming,South America,4422,1440127.94,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032311002,1,D4400,ASSOCIATIONS,B4400,Operational,America,GT,Canadian Non-Profit Making,0,0,10119230.87,2,1.0,0,1,0,0.0,0.2,Food crop production,Guatemala,0,S4403,Not PBA,Directive,NGM Americas,0,1013251,0,0,GT,NDD Americas Programming,Central Americas Section,4407,10119230.87,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032311002,1,D4400,ASSOCIATIONS,B4400,Operational,America,GT,Canadian Non-Profit Making,0,0,10119230.87,2,1.0,0,1,0,0.0,0.6,Rural development,Guatemala,0,S4403,Not PBA,Directive,NGM Americas,0,1013251,0,0,GT,NDD Americas Programming,Central Americas Section,4407,10119230.87,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032311002,1,D4400,ASSOCIATIONS,B4400,Operational,America,GT,Canadian Non-Profit Making,0,0,10119230.87,2,1.0,0,1,0,0.0,0.2,Non-agricultural alternative development,Guatemala,0,S4403,Not PBA,Directive,NGM Americas,0,1013251,0,0,GT,NDD Americas Programming,Central Americas Section,4407,10119230.87,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,FEDERAL,B3100,Terminating,Africa,MA,Canadian Non-Profit Making,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Education policy and administrative management,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,10050,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,SUPPLIER OF GOODS/SERVICES,B3100,Terminating,Africa,MA,Canadian Profit Making,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Education policy and administrative management,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1006632,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,Unknown,B3100,Terminating,Africa,MA,Uncoded,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Education policy and administrative management,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,Information not available,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,FEDERAL,B3100,Terminating,Africa,MA,Canadian Non-Profit Making,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Vocational training,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,10050,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,SUPPLIER OF GOODS/SERVICES,B3100,Terminating,Africa,MA,Canadian Profit Making,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Vocational training,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1006632,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,Unknown,B3100,Terminating,Africa,MA,Uncoded,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Vocational training,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,Information not available,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,FEDERAL,B3100,Terminating,Africa,MA,Canadian Non-Profit Making,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Public sector policy and administrative management,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,10050,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,SUPPLIER OF GOODS/SERVICES,B3100,Terminating,Africa,MA,Canadian Profit Making,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Public sector policy and administrative management,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1006632,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,Unknown,B3100,Terminating,Africa,MA,Uncoded,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Public sector policy and administrative management,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,Information not available,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,FEDERAL,B3100,Terminating,Africa,MA,Canadian Non-Profit Making,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Democratic participation and civil society,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,10050,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,SUPPLIER OF GOODS/SERVICES,B3100,Terminating,Africa,MA,Canadian Profit Making,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Democratic participation and civil society,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,1006632,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032312001,2,D3100,Unknown,B3100,Terminating,Africa,MA,Uncoded,0,0,3421490.39,2,1.0,0,1,0,0.0,0.25,Democratic participation and civil society,Morocco,0,S4256,Not PBA,Directive,"EGM Europe, Middle East and Maghreb",0,Information not available,0,0,MA,EDD Europe-Middle East Programming,Middle East and North Africa,4260,3421490.39,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032315001,2,D4207,SUPPLIER OF GOODS/SERVICES,B4200,Closed,Africa,CM,Canadian Profit Making,0,0,496892.43,1,1.0,0,1,0,0.0,0.4,Public finance management,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,1003223,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032315001,2,D4207,Unknown,B4200,Closed,Africa,CM,Uncoded,0,0,496892.43,1,1.0,0,1,0,0.0,0.4,Public finance management,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,100001263,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032315001,2,D4207,SUPPLIER OF GOODS/SERVICES,B4200,Closed,Africa,CM,Canadian Profit Making,0,0,496892.43,1,1.0,0,1,0,0.0,0.1,Legal and judicial development,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,1003223,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032315001,2,D4207,Unknown,B4200,Closed,Africa,CM,Uncoded,0,0,496892.43,1,1.0,0,1,0,0.0,0.1,Legal and judicial development,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,100001263,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032315001,2,D4207,SUPPLIER OF GOODS/SERVICES,B4200,Closed,Africa,CM,Canadian Profit Making,0,0,496892.43,1,1.0,0,1,0,0.0,0.4,Democratic participation and civil society,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,1003223,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032315001,2,D4207,Unknown,B4200,Closed,Africa,CM,Uncoded,0,0,496892.43,1,1.0,0,1,0,0.0,0.4,Democratic participation and civil society,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,100001263,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032315001,2,D4207,SUPPLIER OF GOODS/SERVICES,B4200,Closed,Africa,CM,Canadian Profit Making,0,0,496892.43,1,1.0,0,1,0,0.0,0.1,Elections,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,1003223,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032315001,2,D4207,Unknown,B4200,Closed,Africa,CM,Uncoded,0,0,496892.43,1,1.0,0,1,0,0.0,0.1,Elections,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,100001263,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032316001,2,D4207,FEDERAL,B4200,Closed,Africa,RW,Canadian Non-Profit Making,0,0,2999909.52,3,1.0,0,1,0,0.0,0.3,Public sector policy and administrative management,Rwanda,0,S4287,Not PBA,Responsive,WGM Sub-Saharan Africa,0,10050,0,0,RW,WWD West & Central Africa,Central Africa & Great Lakes Program,4302,2999909.52,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032316001,2,D4207,FEDERAL,B4200,Closed,Africa,RW,Canadian Non-Profit Making,0,0,2999909.52,3,1.0,0,1,0,0.0,0.7,Democratic participation and civil society,Rwanda,0,S4287,Not PBA,Responsive,WGM Sub-Saharan Africa,0,10050,0,0,RW,WWD West & Central Africa,Central Africa & Great Lakes Program,4302,2999909.52,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032343001,2,D4207,FEDERAL,B4200,Closed,Africa,NG,Canadian Non-Profit Making,0,0,561666.36,2,1.0,0,1,0,0.0,0.5,Basic health care,Nigeria,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,10050,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,561666.36,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032343001,2,D4207,CONSULTANT,B4200,Closed,Africa,NG,Canadian Profit Making,0,0,561666.36,2,1.0,0,1,0,0.0,0.5,Basic health care,Nigeria,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,561666.36,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032343001,2,D4207,Unknown,B4200,Closed,Africa,NG,Uncoded,0,0,561666.36,2,1.0,0,1,0,0.0,0.5,Basic health care,Nigeria,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,561666.36,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032343001,2,D4207,FEDERAL,B4200,Closed,Africa,NG,Canadian Non-Profit Making,0,0,561666.36,2,1.0,0,1,0,0.0,0.25,Agricultural policy and administrative management,Nigeria,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,10050,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,561666.36,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032343001,2,D4207,CONSULTANT,B4200,Closed,Africa,NG,Canadian Profit Making,0,0,561666.36,2,1.0,0,1,0,0.0,0.25,Agricultural policy and administrative management,Nigeria,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,561666.36,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032343001,2,D4207,Unknown,B4200,Closed,Africa,NG,Uncoded,0,0,561666.36,2,1.0,0,1,0,0.0,0.25,Agricultural policy and administrative management,Nigeria,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,561666.36,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032343001,2,D4207,FEDERAL,B4200,Closed,Africa,NG,Canadian Non-Profit Making,0,0,561666.36,2,1.0,0,1,0,0.0,0.25,Environmental policy and administrative management,Nigeria,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,10050,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,561666.36,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032343001,2,D4207,CONSULTANT,B4200,Closed,Africa,NG,Canadian Profit Making,0,0,561666.36,2,1.0,0,1,0,0.0,0.25,Environmental policy and administrative management,Nigeria,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,561666.36,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032343001,2,D4207,Unknown,B4200,Closed,Africa,NG,Uncoded,0,0,561666.36,2,1.0,0,1,0,0.0,0.25,Environmental policy and administrative management,Nigeria,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,NG,WWD West & Central Africa,Central Africa & Great Lakes Program,4255,561666.36,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032350001,1,D4400,FEDERAL,B4400,Operational,America,NI,Canadian Non-Profit Making,0,0,5538874.0,2,1.0,0,1,0,0.0,0.5,Public sector policy and administrative management,Nicaragua,0,S4403,Not PBA,Directive,NGM Americas,0,10050,0,0,NI,NDD Americas Programming,Central Americas Section,4410,4519214.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032350001,1,D4400,SUPPLIER OF GOODS/SERVICES,B4400,Operational,America,NI,Canadian Profit Making,0,0,5538874.0,2,1.0,0,1,0,0.0,0.5,Public sector policy and administrative management,Nicaragua,0,S4403,Not PBA,Directive,NGM Americas,0,1011232,0,0,NI,NDD Americas Programming,Central Americas Section,4410,4519214.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032350001,1,D4400,COOPERANT,B4400,Operational,America,NI,Canadian Profit Making,0,0,5538874.0,2,1.0,0,1,0,0.0,0.5,Public sector policy and administrative management,Nicaragua,0,S4403,Not PBA,Directive,NGM Americas,0,Information not available,0,0,NI,NDD Americas Programming,Central Americas Section,4410,4519214.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032350001,1,D4400,Unknown,B4400,Operational,America,NI,Uncoded,0,0,5538874.0,2,1.0,0,1,0,0.0,0.5,Public sector policy and administrative management,Nicaragua,0,S4403,Not PBA,Directive,NGM Americas,0,Information not available,0,0,NI,NDD Americas Programming,Central Americas Section,4410,4519214.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032350001,1,D4400,FEDERAL,B4400,Operational,America,NI,Canadian Non-Profit Making,0,0,5538874.0,2,1.0,0,1,0,0.0,0.5,Rural development,Nicaragua,0,S4403,Not PBA,Directive,NGM Americas,0,10050,0,0,NI,NDD Americas Programming,Central Americas Section,4410,4519214.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032350001,1,D4400,SUPPLIER OF GOODS/SERVICES,B4400,Operational,America,NI,Canadian Profit Making,0,0,5538874.0,2,1.0,0,1,0,0.0,0.5,Rural development,Nicaragua,0,S4403,Not PBA,Directive,NGM Americas,0,1011232,0,0,NI,NDD Americas Programming,Central Americas Section,4410,4519214.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032350001,1,D4400,COOPERANT,B4400,Operational,America,NI,Canadian Profit Making,0,0,5538874.0,2,1.0,0,1,0,0.0,0.5,Rural development,Nicaragua,0,S4403,Not PBA,Directive,NGM Americas,0,Information not available,0,0,NI,NDD Americas Programming,Central Americas Section,4410,4519214.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032350001,1,D4400,Unknown,B4400,Operational,America,NI,Uncoded,0,0,5538874.0,2,1.0,0,1,0,0.0,0.5,Rural development,Nicaragua,0,S4403,Not PBA,Directive,NGM Americas,0,Information not available,0,0,NI,NDD Americas Programming,Central Americas Section,4410,4519214.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032356001,3,D4100,IFI,B4100,Closed,Asia,BD,Foreign Non-Profit Making,0,0,18522913.78,3,1.0,0,1,0,0.0,0.11,Education policy and administrative management,Bangladesh,0,S4122,Other PBA,Directive,OGM Asia Pacific,0,1002419,0,1,BD,OAD Asia Programming,Bangladesh Section,4122,18522913.78,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032356001,3,D4100,IFI,B4100,Closed,Asia,BD,Foreign Non-Profit Making,0,0,18522913.78,3,1.0,0,1,0,0.0,0.09,Education facilities and training,Bangladesh,0,S4122,Other PBA,Directive,OGM Asia Pacific,0,1002419,0,1,BD,OAD Asia Programming,Bangladesh Section,4122,18522913.78,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A032356001,3,D4100,IFI,B4100,Closed,Asia,BD,Foreign Non-Profit Making,0,0,18522913.78,3,1.0,0,1,0,0.0,0.8,Teacher training,Bangladesh,0,S4122,Other PBA,Directive,OGM Asia Pacific,0,1002419,0,1,BD,OAD Asia Programming,Bangladesh Section,4122,18522913.78,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032362001,1,D4400,FEDERAL,B4400,Closed,America,GT,Canadian Non-Profit Making,0,0,1335020.43,2,1.0,0,1,0,0.0,0.2,Public sector policy and administrative management,Guatemala,0,S4403,Not PBA,Directive,NGM Americas,0,10050,0,0,GT,NDD Americas Programming,Central Americas Section,4407,1335020.43,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032362001,1,D4400,Unknown,B4400,Closed,America,GT,Uncoded,0,0,1335020.43,2,1.0,0,1,0,0.0,0.2,Public sector policy and administrative management,Guatemala,0,S4403,Not PBA,Directive,NGM Americas,0,Information not available,0,0,GT,NDD Americas Programming,Central Americas Section,4407,1335020.43,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032362001,1,D4400,FEDERAL,B4400,Closed,America,GT,Canadian Non-Profit Making,0,0,1335020.43,2,1.0,0,1,0,0.0,0.2,Democratic participation and civil society,Guatemala,0,S4403,Not PBA,Directive,NGM Americas,0,10050,0,0,GT,NDD Americas Programming,Central Americas Section,4407,1335020.43,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032362001,1,D4400,Unknown,B4400,Closed,America,GT,Uncoded,0,0,1335020.43,2,1.0,0,1,0,0.0,0.2,Democratic participation and civil society,Guatemala,0,S4403,Not PBA,Directive,NGM Americas,0,Information not available,0,0,GT,NDD Americas Programming,Central Americas Section,4407,1335020.43,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A032362001,1,D4400,FEDERAL,B4400,Closed,America,GT,Canadian Non-Profit Making,0,0,1335020.43,2,1.0,0,1,0,0.0,0.2,Human rights,Guatemala,0,S4403,Not PBA,Directive,NGM Americas,0,10050,0,0,GT,NDD Americas Programming,Central Americas Section,4407,1335020.43,Uncoded: Pre-APP,0,0,0
