id,Style,ABV,Beer_Name,Brew_Factory_Name
603,American Strong Ale,9.50 %,Backwoods Spruce Springsteen Strong Ale,Backwoods Brewing Company
604,Amber Ale,5.20 %,Magic Hat deVEILed,Magic Hat Brewing Company &#40; North American Breweries &#41;
605,Amber Ale,5.60 %,Boulder Draft House Alpenglow Amber,Boulder Draft House
606,Amber Ale,5.24 %,Bugnutty Suzi_s Red Belly Ale,Bugnutty Brewing Company
607,American Strong Ale,11 %,Great Flood Velvet Racer,Great Flood Brewing Company
608,Irish Ale,4.80 %,Bonfire BeWildeRed Irish Red Ale,Bonfire Brewing
609,Amber Ale,6.50 %,Paradox Beer Self Esteem - Candid Kaiser Project,Paradox Beer Company
610,Dunkler Bock,5.80 %,3 Ravens The Ravenator Bock,3 Ravens
611,Amber Ale,4.50 %,Pelicon Out of China,Pivovarna Pelicon
612,Mead,13 %,Black Heath Proserpine,Black Heath Meadery
613,American Pale Ale,5.50 %,1933 Hoppy Ending Pale,1933 Brewing Company
614,Spice/Herb/Vegetable,6.50 %,SanTan 12 Daze Caramel Spiced Amber,SanTan Brewing Company
615,Amber Ale,5.50 %,Red Horn Coffee House and Brewing Company Red Horn Drink Well Red Ale,Red Horn Coffee House and Brewing Company
616,Amber Ale,5.80 %,Dirty Bucket Dirty Amber Ale,Dirty Bucket Brewing Company
617,Amber Ale,-,Southport Fairfield Red,Southport Brewing Company
618,Amber Ale,5 %,Vault Penn Harvest Ale,Vault Brewing Company
619,Amber Ale,6.80 %,Thorn Street Red Headed Hop Child,Thorn Street Brewery
620,American Strong Ale,8 %,American Highstick,American Brewing Company
621,American Strong Ale,10.20 %,Mission Carrack Imperial Red Ale,Mission Brewery
622,Amber Ale,5 %,Suginoya Amber Ale,Suginoya Beer / Hamachi Shuzo
623,American Strong Ale,9.50 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .
624,India Pale Ale &#40; IPA &#41;,6.70 %,Mohawk Easter Rocket Red IPA,SlottskÃ $ llans Bryggeri
625,Specialty Grain,5.50 %,La Petrognola Ambrata al Farro,La Petrognola / Rio Maggio
626,German Hefeweizen,-,Alandale Unfiltered Wheat,Kirkwood Station Brewing Company
627,Amber Ale,4.50 %,Pizza Port Team Cretins Hoppy Amber Ale,Pizza Port &#40; Ocean Beach &#41;
628,Amber Ale,7.10 %,21st Amendment Big Hoppy Red Bird,21st Amendment Brewery
629,Amber Ale,6 %,Black Kettle Northwest Red Ale,Black Kettle Brewing
630,Amber Ale,6 %,Modernist Stockholm Syndrome,Modernist Brewery
631,Amber Ale,-,Blue Heron Amber_s Folly Amber Ale,Blue Heron Brewing Company
632,Amber Ale,5.70 %,Brewery Terra Firma Manitou Island Hopper,Brewery Terra Firma
633,Amber Ale,-,Big River Grille Disney World Bobs Amber Ale,Big River Grille & Brewing Works Lake Buena Vista &#40; CraftWorks &#41;
634,Heller Bock,5.30 %,Fort Collins Hometown Helles,Fort Collins Brewery
635,Amber Ale,5.80 %,Slanted Rock Iron Butt Red Ale,Slanted Rock Brewing Company
636,Amber Ale,4.60 %,All Inn Ruby Amber Ale,All Inn Brewing Co. .
637,Mild Ale,4 %,Fulton MPLS Mild - Charred Cherrywood,Fulton Beer Company
638,Amber Ale,-,Conquest Garnet Red Ale,Conquest Brewing Company
639,Amber Ale,4.80 %,Adnams Wild Hop Amber Beer,Adnams
640,Amber Ale,5 %,Freedom_s Edge Horizon Amber,Freedom_s Edge Brewing
641,American Strong Ale,-,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery
642,Amber Ale,5.50 %,Walker Brown Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;
643,Premium Bitter/ESB,4.60 %,Abbeydale Resurrection,Abbeydale
644,Amber Ale,-,Armadillo Amber Ale,Hale_s Ales
645,Amber Ale,4 %,Desert Edge Anniversary Amber,Desert Edge Brewery
646,American Strong Ale,9.20 %,406 Imperial Red Ale,406 Brewing Company
647,Amber Ale,4.70 %,Breakside Hoppy Amber,Breakside Brewery
648,Amber Ale,6.50 %,Millersburg Bag_s Best Red Ale,Millersburg Brewing
649,India Pale Ale &#40; IPA &#41;,8.50 %,Triptych Imperial Red XPA,Triptych Brewing Company
650,American Strong Ale,8.50 %,Amager Red Nitro,Amager Bryghus
651,Amber Ale,6.50 %,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Apeldoornse Bierbrouwerij De Vlijt
652,Cider,6 %,Acoustic Rock Steady Red Cider,Acoustic Brewing Company
653,American Strong Ale,9 %,Martin House The Imperial Texan,Martin House Brewing Company
654,Irish Ale,6.10 %,Bull Falls Irish Red Ale,Bull Falls Brewery
655,Sour/Wild Ale,6 %,Against the Grain French Oak Aged Gnag Reflex,Against the Grain Brewery
656,Saison,5.80 %,4 Hands Cuvee Diable,4 Hands Brewing Company
657,Amber Ale,5.60 %,Outlaw The Gambler American Amber,Outlaw Brewing Company &#40; MT &#41;
658,Amber Ale,5.50 %,Northport Morazon Amber,Northport Brewing
659,American Strong Ale,7.40 %,Phantom Imperial Red Rye,Phantom Ales
660,Fruit Beer,6 %,Town Hall Blackberry Crimson Oat,Minneapolis Town Hall Brewery
661,American Strong Ale,10 %,Escape &#40; CA &#41; Road Rage Imperial Red,Escape Craft Brewery
662,Amber Ale,4.70 %,1516 Pub & Brewery Red Zeppelin,1516 Pub & Brewery
663,Amber Ale,4.50 %,Tin Roof Perfect Tin Amber,Tin Roof Brewing Company
664,Amber Ale,5.30 %,Rivertowne Red Head Red,Rivertowne Pour House
665,American Strong Ale,9.10 %,Daves BrewFarm LEAP Beer,Daves BrewFarm
666,Brown Ale,-,Angelic Shakedown Brown,Angelic Brewing Company
667,SakÃ © - NamasakÃ ©,15.50 %,Akishika Junmai Gingo Namazake,Akishika Shuzo
668,American Pale Ale,5.80 %,BTU Rusty_s Red Ale,BTU Brewing
669,Session IPA,4.50 %,Het Uiltje Velduil,Jopen
670,English Pale Ale,-,Wiltses Paul Bunyan Ale,Wiltses Brew Pub
671,American Pale Ale,6 %,Alcazar Windjammer IPA,Alcazar
672,Amber Ale,5.10 %,7 Barrios Amber,Cerveceria Lesnez
673,Amber Ale,-,Claim Jumper Original Red Ale,Maritime Pacific Brewing Co. .
674,Amber Ale,4.50 %,Marshall Wharf Little Max Red Ale,Marshall Wharf Brewing Company
675,India Pale Ale &#40; IPA &#41;,7 %,Aldus Olde Factory Amber IPA,Aldus Brewing Company
676,Imperial Stout,14.60 %,Anchorage Time Waits For No One,Anchorage Brewing Company
677,Amber Ale,5 %,Shiretown Siren_s T_ale,Shiretown Brewing
678,American Strong Ale,8.10 %,La Cumbre La Roja Grande,La Cumbre Brewing Company
679,Amber Ale,5.80 %,Sierra Andina Alpamayo Amber Ale,Sierra Andina
680,Amber Ale,5.80 %,Highland Gaelic Ale,Highland Brewing Company
681,Golden Ale/Blond Ale,4.20 %,Goose Eye Autumn Ale,Goose Eye
682,Amber Ale,7 %,De Lepelaer Gerstebrij Jubilee Amber,Brouwerij de Lepelaer
683,India Pale Ale &#40; IPA &#41;,7.30 %,4 Pines Keller Door West Coast Red Rye IPA,4 Pines Brewing Company
684,Amber Ale,5.26 %,Boxing Bear Ambear Ale,Boxing Bear Brewing Company
685,Amber Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu
686,Amber Ale,-,Bend Axe Head Red Ale,Bend Brewing Company
687,Amber Ale,5.20 %,Artisan_s Hoppy Amber Ale,Artisan_s Brewery and Italian Grill
688,Amber Ale,-,Port Aransas Mustang Amber Ale,Port Aransas Brewing Company
689,Amber Ale,7.50 %,Able Ebenezer Tabula Rasa,Able Ebenezer Brewing Company
690,American Strong Ale,8.50 %,Pizza Port Big Dumb Animal,Pizza Port &#40; Carlsbad &#41;
691,Amber Ale,4.80 %,Peak Organic Amber Ale,Shipyard Brewing Company
692,Amber Ale,5.70 %,2nd Story Hoppy New Year Amber Ale,2nd Story Brewing Company
693,Amber Ale,4 %,Marks & Spencer Greenwich Red Ale,Meantime &#40; SAB Miller &#41;
694,American Strong Ale,6.20 %,North Fork Son of Frog,North Fork Brewery/Pizza/Beer Shrine
695,Amber Ale,5.30 %,Eventide Red-Headed Haley,Eventide Brewing
696,Amber Ale,5.40 %,Oceanside Ale Works San Luis Rey Red Ale,Oceanside Ale Works
697,Spice/Herb/Vegetable,6.80 %,Against the Grain Truffle Shuffle,Against the Grain Brewery
698,American Strong Ale,8 %,Rusty Truck Stupiphany Imperial Red Ale,Rusty Truck Brewing / Roadhouse 101
699,Amber Ale,6 %,Birdland Kewlerskald,Birdland Brewing Company
700,Amber Lager/Vienna,5 %,Alattomos _ rdÃ ¶ g VÃ ¶ rÃ ¶ s SÃ ¶ r - Red Beer,JÃ $ ger SÃ ¶ rf & # 337zde - Akpedo Kft . ( OrgovÃ ¡ ny )
701,India Pale Ale &#40; IPA &#41;,7.10 %,18th Street Rise of the Phoenix,18th Street Brewery
702,Golden Ale/Blond Ale,4.60 %,Brentwood Project Venus Sugar & Spice,Brentwood
703,Amber Ale,5.50 %,La Verne Dead Leprechaun Irish Red,La Verne Brewing Co. .
704,India Pale Ale &#40; IPA &#41;,6 %,Bacchus / Burrow Bloodhound Blood Red IPA,Bacchus Brewing Company &#40; Australia &#41;
705,American Strong Ale,7.20 %,Firehouse Full Tilt Bozo,Firehouse Brewing Company &#40; SD &#41;
706,Amber Ale,6.10 %,10 Barrel Northwest Red,10 Barrel Brewing &#40; AB InBev &#41;
707,Bitter,4.60 %,Caledonian Double Amber,Caledonian &#40; Heineken UK &#41;
708,Amber Ale,6.69 %,Quantum &#40; CA &#41; Uncertainty Red,Quantum Brewing &#40; CA &#41;
709,Amber Ale,4.70 %,Bull & Barrel Session Style - Amber Ale,Bull & Barrel Brew Pub
710,Amber Ale,5 %,Kirishima Kirinokura Amber,Kirishima Shuzo Kirinokura Brewery
711,Amber Ale,5.75 %,Alt Platz Sedona Bronze Ale,Alt Platz Brewing Company
712,Amber Ale,5.50 %,Dempseys Valkyrie Red,Dempseys Brewery
713,Amber Ale,5 %,Burro de Sancho Roja,Daviyun / Sagra
714,Belgian Ale,6.20 %,Alligator Chocolate Orange Belgian Ale,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;
715,Amber Ale,5.70 %,Beachwood Knucklehead Red,Beachwood BBQ & Brewing
716,Amber Ale,4.90 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company
717,Amber Ale,7 %,Country Boy Our Daily Red,Country Boy Brewing
718,Amber Ale,5.10 %,Keweenaw Red Jacket Amber Ale,Keweenaw Brewing Company
719,Amber Ale,7 %,Cellar Lucky Enough Amber,Cellar Brewing Company
720,Amber Ale,5.10 %,Platt Park Astronaut Amber,Platt Park Brewing Company
721,Amber Lager/Vienna,5.20 %,Altstadthof Rotbier,Hausbrauerei Altstadthof
722,Altbier,5.20 %,Alameda East Village Amber,Alameda Brewing Co. .
723,Spice/Herb/Vegetable,5.60 %,MashCraft Ancho Annie,MashCraft Brewing
724,Spice/Herb/Vegetable,7 %,21st Amendment Holiday Spiced Ale,21st Amendment Brewery
725,Amber Ale,5.20 %,Sleeping Lady Forty Niner Amber Ale,Sleeping Lady Brewing Co. .
726,Amber Ale,4.50 %,1010 Red Nose Reinbeer,1010 Brewing &#40; Sale St Brewery &#41;
727,American Strong Ale,13 %,21st Amendment Red Giant,21st Amendment Brewery
728,Premium Lager,4.80 %,Amber Po Godzinach : India Pale Lager,Browar Amber
729,Amber Ale,-,&#268; eskÃ 1/2 Rudolec Red Ale 13Â °,&#268; eskÃ 1/2 Rudolec
730,Amber Ale,6 %,MadTree Bourbon Barrel Aged Happy Amber,MadTree Brewing Company
731,Amber Ale,5 %,Central City Red Racer Copper Ale,Central City Brewers + Distillers
732,Amber Ale,5.50 %,Osgood Oakestown,Osgood Brewing
733,Amber Ale,6 %,Allendale End 34 Red Columbus,Allendale
734,Amber Ale,5.40 %,Pints Rehab Red Amber,Pints Brewery & Sports Bar on the Colorado Belle
735,Amber Ale,6.50 %,NoDa Guildy as Sin,NoDa Brewing Company
736,Amber Ale,5.80 %,Charleston Brewing White Elephant Red Ale,Charleston Brewing Company &#40; WV &#41;
737,Amber Ale,6 %,La Quinta Brewing Co. . Heatwave Red Ale,La Quinta Brewing Co. .
738,Irish Ale,6.50 %,Big Block Flathead Red,Big Block Brewing
739,Imperial IPA,9.50 %,Founders Backstage Series # 13 : reDANKulous Imperial Red IPA,Founders Brewing Company
740,Amber Ale,6 %,Northgate Winter Soldier,Northgate Brewing
741,Imperial IPA,8.80 %,Toccalmatto Delta Red Disorder,Birrificio Toccalmatto
742,Amber Ale,-,Kalamazoo Royal Amber Ale,Bells Brewery
743,Amber Ale,4.90 %,Berwick Arden_s Amber,Berwick Brewing Company
744,Amber Ale,7 %,Bootjesbier,Antwerpse Brouw Compagnie
745,Amber Ale,5 %,Ukiah 10 Guilder,Ukiah Brewing Company
746,Irish Ale,5 %,Beer Works Crimson Clover Irish Red,Beer Works
747,Amber Ale,4.85 %,Boulder Beer Sundance Amber Ale,Boulder Beer Company
748,Amber Ale,4 %,Ruby River Ruby Red Ale,Ruby River Steakhouse and Brewery
749,Fruit Beer,4 %,El Toro Black Raspberry Ale,El Toro Brewing Co. .
750,Amber Ale,6 %,Mare Nostrum Prestige,Mare Nostrum Brasseur du Sud
751,Amber Ale,-,Appalachian Artie_s Amber Ale,Appalachian Brewing Company &#40; PA &#41;
752,Premium Bitter/ESB,-,Denver Beer American Rojo,Denver Beer Company
753,India Pale Ale &#40; IPA &#41;,5.50 %,Goldspot Pantalones Rojo Red IPA,Goldspot Brewing Company
754,English Strong Ale,6 %,Wye Valley Dorothy Goodbody_s Country Ale,Wye Valley
755,Irish Ale,5 %,Destihl Roadblock British Red Ale,Destihl Brewery
756,Bitter,4 %,Brodies West End Best &#40; 4.0 % &#41;,Brodies
757,American Strong Ale,8 %,Firetrucker 2 Alarm Red,Firetrucker Brewery
758,Amber Ale,6.60 %,Corralitos Richter Red Ale,Corralitos Brewing Company
759,Amber Ale,-,Boulder Dam Reclamation Amber,Boulder Dam Brewing Co. .
760,American Strong Ale,9.30 %,AleWerks Winter Hop,AleWerks Brewing Company
761,Amber Ale,4 %,Brains Craft Brewery Simply Red,Brains
762,Amber Ale,-,Crested Butte White Buffalo Peace Ale,Crested Butte Brewing
763,American Strong Ale,10.50 %,MobCraft Barrel Aged Rabbits Bounty,House of Brews
764,American Strong Ale,8.90 %,Veracious Owd Boreas Imperial Red,Veracious Brewing Company
765,Amber Ale,6.80 %,Big Axe Red Ale,Big Axe Brewing Company
766,Cream Ale,5.70 %,3 Daughters Orange Cream Ale,3 Daughters Brewing Company
767,Amber Ale,-,Court Avenue Dorchester Amber,Court Avenue Brewing Company
768,Oktoberfest/M Ã $ rzen,-,Alandale Octoberfest,Kirkwood Station Brewing Company
769,Amber Ale,6.20 %,Back Alley Fire Hydrant Red Ale,Back Alley Brewery
770,Stout,-,Iron Horse Brewlette # 3,Iron Horse Brewery
771,India Pale Ale &#40; IPA &#41;,7 %,Brassneck Counter Cultured,Brassneck Brewery
772,Brown Ale,-,Infusion Butcher Block Brown Ale,Infusion Brewing Company
773,Belgian Ale,5 %,Thr3e Wise Men Hoggy Style Amber,Thr3e Wise Men
774,American Pale Ale,6.40 %,Free State Thunderhead Pale Ale,Free State Brewing Company
775,Amber Ale,5.70 %,Four Saints Potter_s Clay Amber Ale,Four Saints Brewing Company
776,Amber Ale,5.10 %,Planetary Brewing Heliotropic Amber,Planetary Brewing Company
777,Amber Ale,5.90 %,Booze Brothers Green Eyed Amber,Booze Brothers Brewing Co
778,Amber Ale,4 %,Hobbs Tavern WakeWolfe Amber,Hobbs Tavern & Brewing Company
779,Smoked,6.30 %,Svaty Norbert MasopustnÃ 16Â ° Naku &#345; ovanÃ 1/2 Porter,KlÃ ¡ _ ternÃ Pivovar Strahov
780,Amber Ale,5.30 %,Fort Barcelona Amber Ale,LlÃºpols i Llevats &#40; Glops &#41;
781,India Pale Ale &#40; IPA &#41;,7.50 %,Catskill Devil_s Path IPA,Catskill Brewery
782,Amber Ale,6.10 %,Main Street Amber Ale with Ella & Galaxy,Main Street Brewing &#40; BC &#41;
783,Irish Ale,4.60 %,Noble Ale Works The Irisher,Noble Ale Works
784,Amber Ale,6 %,Sockeye Crooked Trail Harvest Ale,Sockeye Brewing
785,Amber Ale,6.70 %,Empirical Atomic Amber : Honey Hypothesis,Empirical Brewery
786,Dunkel/Tmav Ã 1/2,5.20 %,Su_i &#269; Ã ¡ k TmavÃ ¡ Emilka,Pivovar U _ velch &#367;
787,Sour Red/Brown,6.10 %,Blue Owl Van Dayum &#033; Sour Red Ale,Blue Owl Brewing
788,American Strong Ale,6.50 %,Molly Pitcher Imperial Red,Molly Pitcher Brewing Company
789,Amber Ale,5.10 %,Lake Norman Outboard Amber Ale,Lake Norman Brewing Company
790,Amber Ale,6.10 %,Mike Hess Station Copper Ale,Mike Hess Brewing Company
791,Amber Ale,5.20 %,Sun Up Armadillo Red Ale,Sun Up Brewing Company &#40; Sonora Brewhouse &#41;
792,Belgian Ale,7 %,Equinox Borealis Winter Ale,Equinox Brewing
793,Amber Ale,-,Prohibition Pig Dream of the 90s,Prohibition Pig
794,Traditional Ale,5.80 %,Earth Eagle Chillaxico,Earth Eagle Brewings
795,Amber Ale,5 %,Basqueland Arraun Amber Ale,Mateo & BernabÃ ©
796,Session IPA,4.70 %,16 Mile Mile Stones Batch # 1,16 Mile Brewing Company
797,Amber Ale,5.50 %,Brew By Numbers 16/03 Red Ale - Mosaic & Chinook,Brew By Numbers
798,American Strong Ale,10.10 %,Thunder Canyon Morning Star Imperial Red,Thunder Canyon Brewery
799,Amber Ale,6.20 %,Sisyphus Hoppy Amber,Sisyphus Brewing
800,English Strong Ale,5.50 %,Leavenworth Nosferatu Red Ale,Fish Brewing Company/Leavenworth Beers
801,Amber Ale,-,1516 Amarillo Amber Ale,1516 Brewing Company
802,Amber Ale,5.50 %,Baias Ambar,Baias Garagardotegia
803,Amber Ale,-,Black Woods Forest Ale,August Schell Brewing Company
804,Amber Ale,7.20 %,Fairhope Rescue Dog Red Ale,Fairhope Brewing Company
805,Amber Ale,6.70 %,Peak Organic The Maple Collaboration,Shipyard Brewing Company
806,Brown Ale,8 %,8 Wired C4 Double Coffee Brown Ale,Renaissance Brewing
807,Amber Ale,5.60 %,Exit # 005 Amber Ale,Cavalier Beer
808,Sour/Wild Ale,9.50 %,8 Wired Wild Feijoa Sour Ale 2013,Renaissance Brewing
809,Amber Ale,5 %,La Virgen Jamonera,Cervezas La Virgen
810,Traditional Ale,7 %,21st Amendment Poor Richards Ale,21st Amendment Brewery
811,Amber Ale,-,Horse & Dragon Flagstone Copper Ale,Horse & Dragon Brewing Company
812,Amber Ale,8.50 %,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company
813,Amber Ale,5 %,Fish Tale Organic Amber Ale,Fish Brewing Company/Leavenworth Beers
814,Low Alcohol,0.50 %,_ irv &#279; nos Dundulio Pilstoma Gira,_ irv &#279; nos Bravoras &#40; Dundulis &#41;
815,Amber Ale,5.30 %,Rock Bottom Milwaukee Badger Stripe Ale,Rock Bottom Milwaukee
816,Amber Ale,5.80 %,Okkara Rinkusteinur,Okkara
817,Amber Lager/Vienna,6 %,Acoustic Ales Rock Out With Your Vienna Out,Acoustic Ales Brewing Experiment
818,Amber Ale,4.20 %,12th Abbey Altered Amber,12th Abbey
819,Sweet Stout,-,5 Seasons Westside Rosebud_s Milk Stout,5 Seasons Westside
820,Amber Ale,4.50 %,Marks & Spencer Lowland Glen Amber,Harviestoun
821,Pilsener,5 %,Albatros Bira Pilsener,TÃ 1/4 rk Tuborg
822,Wheat Ale,-,Blue Blood Vanessa_s Wheat,Blue Blood Brewing Company
823,Abbey Tripel,9.50 %,&#40; 512 &#41; Cabernet Barrel Aged Three,&#40; 512 &#41; Brewing Company
824,American Strong Ale,8 %,Our Mutual Friend Brett and Barreled Chinook Red Ale,Our Mutual Friend Malt & Brew
825,Amber Ale,-,Troubled Monk Accidental Amber,Troubled Monk
826,Amber Lager/Vienna,5.20 %,Michelob AmberBock,Anheuser-Busch InBev
827,Amber Lager/Vienna,5.50 %,Metropolitan Shezmu Red Lager,Metropolitan Brewing
828,American Strong Ale,8.50 %,Northwest Peaks Double Redoubt Red,Northwest Peaks Brewery
829,Amber Ale,7 %,Boneyard Diablo Rojo,Boneyard Beer Company
830,Irish Ale,-,Brickstone Irish Red Ale,Brickstone Restaurant & Brewery
831,Amber Ale,5 %,Wolf Hollow Amber,Wolf Hollow Brewing Company
832,Amber Ale,-,Georgia Tea Party,Eagle Creek Brewing Company
833,Golden Ale/Blond Ale,-,508 Dorado Pampeana,508 Gastrobrewery
834,Amber Ale,5.24 %,Agua Mala Marea Roja,CervecerÃa Agua Mala
835,Amber Ale,5.70 %,Sawtooth False Summit Amber Ale,Sawtooth Brewery
836,Amber Ale,5.60 %,Uncle Bear_s Head To Tale Amber,Uncle Bear_s Brewery
837,Amber Ale,5.50 %,Prohibition Pig Rufous,Prohibition Pig
838,Irish Ale,5 %,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Cigar City Brewing
839,Amber Ale,4 %,Dugges Juldricka,Dugges Ale & Porterbryggeri
840,Amber Ale,5.20 %,Dry City MiracAle Amber,Dry City Brew Works
841,Imperial IPA,-,Atlas Pterodactyl Deathscream Imperial Red IPA,Atlas Brewing Company
842,Amber Ale,5 %,Legends of the Bay Champlain 1615-2015,Midland Beer Works
843,Amber Ale,5.80 %,Ornery Occoquan Oats,Ornery Beer Company Public House
844,Amber Ale,7 %,Cartel Indiana Nights Imperial American Amber,Brew Link Brewing
845,American Pale Ale,5.20 %,Hill Farmstead Amarillo Single Hop Pale Ale,Hill Farmstead Brewery
846,Sweet Stout,9.50 %,18th Street Barrel Aged Hunter,18th Street Brewery
847,Amber Ale,-,Courtyard Nova Convention,The Courtyard Brewery
848,Amber Ale,-,Pints Pub Phonebox Amber,Pints Pub Brewery & Freehouse
849,Amber Ale,-,Chatham Amber,Chatham Brewing
850,Belgian Ale,6 %,Grimm Brothers Ungrateful Son,Grimm Brothers Brewhouse
851,Amber Ale,-,Padre Island Tailing Red Amber,Padre Island Brewing Company
852,Irish Ale,3.90 %,Hereford & Hops Cleary Red,Hereford & Hops Restaurant & Brew Pub
853,Belgian Strong Ale,7.30 %,S : t Eriks / Samuel Adams Transatlantic Belgian Red Strong Ale,S : t Eriks Bryggeri &#40; Galatea &#41;
854,American Strong Ale,9.50 %,Bifferhaus Wacko Swami Amber Ale,Bifferhaus Brewing Company
855,Amber Ale,5.50 %,Inlet Brewing Monk in the Trunk Organic Amber Ale,Thomas Creek Brewery
856,Amber Ale,5.60 %,Dry Dock Nautilus American Red,Dry Dock Brewing Co. .
857,Amber Ale,5 %,Aotearoa Mata Brown-Boy,Aotearoa Breweries
858,Amber Ale,6 %,Twains Blushing Ape Oatmeal India Red,Twains Billiards and Tap
859,Irish Ale,-,Bills Rudy_s Red,Bills Tavern and Brewhouse
860,Amber Ale,5.60 %,Asheville / Thirsty Monk Sister Bad Habit,Asheville Brewing Company
861,Amber Ale,3.90 %,Cigar City / DuClaw Impey Barbicane_s Moongun,Cigar City Brewing
862,Amber Ale,5.40 %,Flytrap Rehder_s Red Ale,Flytrap Brewing
863,German Hefeweizen,5.30 %,AmberWeiss Wheat Beer,Kaluzhskaya &#40; Moskva-Efes &#41;
864,Bitter,4.30 %,Mash Amber,Mash Brewery &#40; Hampshire &#41;
865,India Pale Ale &#40; IPA &#41;,5.50 %,10 Barrel Crosby Farms Harvest Fresh Hop Ale,10 Barrel Brewing &#40; AB InBev &#41;
866,Oktoberfest/M Ã $ rzen,6.50 %,Bucks County Munich Autumn,Bucks County Brewery
867,India Pale Ale &#40; IPA &#41;,6.30 %,7venth Sun Ruby Red Overhead IPA,7venth Sun Brewery
868,Amber Ale,5.50 %,SanTan Epicenter Amber Ale,SanTan Brewing Company
869,Amber Ale,5.10 %,Paw Paw Gus Meister Amber Ale,Paw Paw Microbrewery
870,Irish Ale,5 %,BandWagon Ezra Red Ale,BandWagon Brewpub
871,Amber Ale,5.50 %,Broad Ripple Firecracker Red Ale,Broad Ripple Brewing Co. .
872,Amber Ale,-,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing
873,Amber Ale,5.40 %,Gun Hill Redcoat Resistance,Gun Hill Brewing Company
874,Amber Ale,5.20 %,Little Apple Rileys Red Ale,Little Apple Brewing Co. .
875,Amber Ale,5.25 %,Sherwood Production Line Red,Sherwood Brewing Company
876,Bitter,4 %,MÃ ² R Scode &#033;,MÃ ² R Brewing
877,Amber Ale,5.20 %,Illawarra Rust Amber Ale,Illawarra Brewing Company
878,American Strong Ale,7.50 %,_ mog_ala Winter Ale,Joalda
879,Amber Ale,4 %,Vizir Lucky Luke Sexy Ale,Pivovarna Vizir
880,Amber Ale,5.40 %,Bethlehem Brew Works Rockwell Red Ale,Fegley_s Brew Works
881,Amber Ale,8 %,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company
882,American Strong Ale,6.50 %,Baerlic Arctos,Baerlic Brewing
883,Golden Ale/Blond Ale,4.90 %,Fresh Chios Beer / FrÃ © skia MpÃ 1/2 ra ChÃou &#40; House Ale &#41;,Chios Microbrewery
884,Amber Ale,4.50 %,Swamp Head Part-Time Lubber,Swamp Head Brewery
885,Amber Ale,5.50 %,Blue Canoe Joe_s Electric Bill,Blue Canoe Brewery
886,Amber Ale,6.70 %,Manitou Tall Rev Red Ale,Manitou Brewing Company
887,Irish Ale,-,Angry Minnow Redhorse Ale,Angry Minnow
888,Pilsener,5 %,8 Wired Extra Pils,Renaissance Brewing
889,Amber Ale,5 %,Colleen_s Finest Amber Ale,Hog_s Head Brewing Company
890,Amber Ale,4 %,Bonneville Brewery Antelope Amber Ale,Bonneville Brewery Company
891,Amber Ale,6.20 %,Portsmouth Amber Dandy,Portsmouth Brewery
892,Imperial Stout,11 %,Backpocket First Runnings,Backpocket Brewing
893,Amber Ale,6.10 %,I & I Orange Flower Amber,I & I Brewing
894,Sweet Stout,-,&#40; 512 &#41; Mole Cream Stout,&#40; 512 &#41; Brewing Company
895,Amber Ale,4.50 %,Able Ebenezer Auburn Ale,Able Ebenezer Brewing Company
896,Sweet Stout,6.20 %,10 Barrel Big Black Stout,10 Barrel Brewing &#40; AB InBev &#41;
897,Amber Ale,5.60 %,Borderlands Santa Rita Amber Ale,Borderlands Brewing Company
898,Spice/Herb/Vegetable,5.20 %,Elitch Gardens Fire Roasted Amber,Wynkoop Brewing Company
899,Amber Ale,5.70 %,Bad Beat Ante Up Amber Ale,Bad Beat Brewing
900,Premium Bitter/ESB,5.90 %,Buffalo Bayou Cedar Aged 1836,Buffalo Bayou Brewing
901,Amber Ale,5.30 %,FOTM Hoosier Amber,Fire on the Mountain Brewing Co. .
902,American Strong Ale,9.50 %,Momentum Brewhouse Knee Highs,Momentum Brewhouse
903,India Pale Ale &#40; IPA &#41;,7.50 %,Alpha State Red Simcoe,Alpha State
904,Amber Ale,-,21st Amendment Larrys Last Call Ale,21st Amendment Brewery
905,Amber Ale,6 %,BrainDead Red,BrainDead Brewing
906,Saison,5.80 %,Lompoc Saison d_Evolution,Lompoc Brewing
907,Amber Ale,7.50 %,Milwaukee Ale House Louies Resurrection,Milwaukee Ale House
908,Cream Ale,5 %,McMinnville Malthouse Scaredman Cream Ale,McMinnville Malthouse
909,Amber Ale,5.50 %,Heartland Belgian Red Rooster,Greenpoint Beer Works
910,Amber Ale,-,Rocky Mountain Spirit Hill Amber,Rocky Mountain Brewery
