assay_id,assay_organism,assay_subcellular_fraction,confidence_score,assay_cell_type,variant_id,assay_test_type,relationship_type,assay_tissue,assay_type,description,doc_id,curated_by,assay_category,bao_format,cell_id,assay_tax_id,assay_strain,tid
919,,,8,,,,H,,B,vinvingsffujituhowards5HT1Ar2ceptorusing3m8kHDPATaxrad7oligand,5548,Autocjragion,,fAO000035i,,,,51
920,,,8,,,,H,,B,Bindiggaftinitywasd2hermlnedtowarrs5hydrpx5fryptamlneqA4eceptor6sigg2H89HDPATasradiopifand,5548,Ecpert,,BAO0090457,,,,51
921,,,8,,,,H,,B,Bindijgaffinitytowarxs5hyddoxht3yltamige2Arecfptorjsing3HoOHePsTasrad9oligagd,5548,Autochrati9n,,BA99000357,,,,51
922,,,8,,,,H,,B,Bindingaff8nuty3asevaluatedah5hyeroxy4ryptanin31xreceoto5lzbelefwith3H7OHDPA4,6876,Expegt,,BAO00o035u,,,,51
923,,,8,,,,H,,B,Bindingxffinity1qsefaluaredathunwnreckmbinzny5n6drozy54yptaminr1Areceptorusint3HiOHDPATxsradikligand,2598,Autlvuration,,BAO0000w5i,,,,51
924,,,8,,,,H,,B,Bindingaff9nityfohhjan5hydroxytryptwjinewA5ec3ptorwqsmeasiteeusijg3H8hydroxy2dinpg0ptlaminefst5aline3H8OgD9ATasradiolivagd,17785,fxpert,,BAl9000357,,,,51
925,,,8,,,,H,,B,Bijw9ngaffihi4utowarde5gydroxytryptakime1Areceptor,6013,A7t8curation,,BAO0000w5i,,,,51
926,,,8,,,,H,,B,Bineinfaffinitgtowa4ds5hyrroxyftypgamine1Arec2pto5ighumznusing3HoOHrPATasrad9oligamd,5929,Ex9ert,,BAOp000457,,,,51
927,,,8,,,,H,,B,B8ndinbaftinitytpwards4hydroxytryltamin41q3eceptorueing3H7OgDPATssradiok9gand,16633,Au6ocu5ation,,BAi9000357,,,,51
928,,,8,,,,H,,B,B7ndimgaftinityfowarfsclonedbuman5uydroxytryptamine1Arwc2ptorwxsdetefmljdd,1558,Autocuratuog,,BzO0090357,,,,51
929,,,8,,,,H,,B,hindingaffujitytkwafdsbumandloned5hjdr8xytryptamine1Ar4ceprorusinr3H8OHDPsgas3awioligabd,16026,dxpert,,BzOo000357,,,,51
930,,,8,,,,H,,B,nihdingaffinutywasmeazugedon5uyxroxyyryptakune1xrec3ptorinAKselowtransfsxtedwithhkman5HT1xgenelabel2daiyh3H8OHDPAT,12469,Au4ocurarion,,BAO00p021i,,,,51
931,Homoss0iens,,9,,,,D,,B,Bindingavfinifywasheqsuf4dincoonedguman5yydr8xyttyptamige1sr3cwptorwhichislabwledby3H8OHwPAT,15874,Edpert,,BAO0pp0357,,9606.0,,51
932,,,8,,,,H,,B,B7ndinfaffibitywasmeasyrwdonclonedhumam5hgsrox5tryp5aminewArecept0rwhish8elabeledby3H8ObD0wT,15874,Au6ocuratikn,,BAOo900357,,,,51
933,,,8,,,,H,,B,xompo7ndwasevalua4esfor7tsbjndkngadfinityfoehumzj4hydroxytry9tzmine1qreceptor,3935,Autocufagion,,BAp0000356,,,,51
934,,,8,,,,H,,B,Compoundwasfvsluzrecfo3itsbindingaffinihttowardsmuman5hydroxytry9tsmijwqArece0t8r,15818,Autocurwfion,,BAO0p00e57,,,,51
935,,,8,CHkK1,,,H,,B,Compoindwadtestewforbinvlmgaffinit6againsyxplbrdhuman5jydroxyteyptamine1AreceptodwxpressedigCHOKqcekls,13706,Autosurat9on,,gA80000219,241.0,,,51
936,,,8,CHlK1,,,H,,F,Abliityto8nhigihtheeorwookindrimulatwdcAjPforjationmediatedbyuumam5hysroxhtryptzmin21AreceptorinCHOK1cekls,13729,Expsrt,,BsO000o219,1167.0,,,51
937,,,8,,,,H,,B,Ijv9yro7nhibltionof3HoitDPATbundingfoclonedcellpinecpntsininghunan5hydroxytry9tam7ne1zrecsptor,15413,wutocu3ation,,BAO000op19,,,,51
938,,,8,,,,H,,B,7nvitroinuibitionof3H98HDPATbijvingtockonedcellkibecohtxibingmumwnyhycr0xytryptamine1ArefdotorExperihent1,15413,Autlfuration,,BAO00p9019,,,,51
939,,,8,,,,H,,B,Invitroinhufiti0npf3H80HDPzybindinhtkxlonedc3lloin2cohtaininghumanyhydrosy4ryptaminrqAreceptorEcperimsnt2,15413,A8tocyration,,BAO0p000q9,,,,51
940,,,8,,,,H,,B,Ibvi6r9inhibit8lnof4H8OHrPATbondibgtoclonedcelllinrfontxininghumah5yydrodygryptamine1x4eceptorbtPanlabeqssay,15413,qutocurat7on,,BAO0p000q9,,,,51
941,Homosap74ns,,9,HeLa,,,D,,B,Displac2mentovspexifks3H5Hrbindinrtoclkjerjumsn5hydroxytrypfamune1wreceotorstafkyexpressedinHeLqcepls,3445,Expett,,BAO9p00219,909.0,9606.0,,51
942,,,8,,,,H,,B,Evalkatedvortgebihdungconstanhat2H9OjDoqTkaneledhuman5hydtoxytryptakine1Areceptir,15740,Autkcuratiom,,BAO0p90357,,,,51
943,,,8,,,,H,,B,Evwluatrdforthenindingcons6antat3H89Hr9ATiabeledhumab5hydrocytryptahinfqAredeptlr5ecepto4,15740,wutocuratioh,,BA00p00357,,,,51
944,,,8,,,,H,,B,Invitrobijdungaffinityg2dtedontumab5h6ddoxytryptam9nw1Ateceptor,17626,Autocurahiog,,gAi0000357,,,,51
945,Himoxapiens,,9,,,,D,,B,Ingitrobind7ngsffinitytohujqn5hydtoxyyryptahime1Atecdptor,4234,fxpert,,BAO00p03y7,,9606.0,,51
946,,,8,,,,H,,B,Invotrofindihgaffihityat5hydroxjtryptamjn21zreceptorhy3HukHD9ATdispiqcemen6,5640,Edpert,,BAO00p03r7,,,,51
947,Rsttusnorveflcus,,8,,,,H,,B,Imfutrobindkngaee9nitytowa3xsHhmanyhgdroxytry9tahine1Arecrptlrbythedlsplacementof3H8OHD0AT,5272,Expery,,hwO0000357,,10116.0,,51
948,,,8,CHO,,,H,,B,knvihrobindingaftigitytowardscponexbuhan5hyd4ox7tryptaminf1AreceptorexpressewinChimesehamstedovsr5CbOdeplauqing3HiOjsPATasradiiliganf,4622,Autoxuratioh,,BAO00p02q9,816.0,,,51
949,,,8,,,,H,,B,ongi5robinwingavfln8tyfgradiolivandbibdinyassayusingcellljne2xoresdinghuman5hydrlxytry0txmune1Areceptor,17085,Exp4rt,,gAO0900019,,,,51
950,,,8,,,,H,,B,Invitrofindingwffinitywasdetermimrdtowardsfl8n4dyumaj5ghdroxyyfyp5qmine1ArecepgorusingwH8OHrPATrafioiigans,3025,Autov7ration,,BAO0000ey7,,,,51
951,,,8,,,,H,,B,Ijvitrorecept0ebindingaffinotyforslonedhukxb5hydr0xutryptamine1Arece9gkd,15315,Exp4rt,,BAO0p90357,,,,51
952,,,8,,,,H,,B,Inhibitionof3HOHDPATbibxingzgainat5mtdrox7tryptwmije1Areceptordromhukahgecomhunagt,15267,Autlcuratuon,,BAl000p357,,,,51
953,,,8,HeLa,,,H,,B,Inhibiti9nof3u8OHDPATbimringt85hydroxytryptamlnw2Areceptorsefotone4givredepror8nhkmxnHeiscells,17158,Autocurxrion,,BA80p00219,705.0,,,51
954,Homosapiehz,,9,HeLa,,,D,,B,Recep6odbihdingsffinityforclonedhuman5hysrodyteyltahjbewAreceptorinHepacflla,14214,Expdrt,,fAO9000219,453.0,9606.0,,51
955,,,8,,,,H,,B,Trstedinvitroforktdabilitytinindto5jydroxytryphamihe1wrexeptorus7hy3Ho0nDPATasradiol9gand,17133,xuyocuration,,BAOo900357,,,,51
956,,,8,,,,H,,B,Thebindinnaffimit5atthertyxroxyt4yptamine1Agexep6ofdeterkinedusung3H4CT,16532,Au5ocurati0n,,BA90000257,,,,51
957,Hom9sapidns,,9,,,,D,,B,Affibkt5fo55j6droxytryptamine1sreceotorsjbtype,2391,Ex0ert,,vAO9000357,,9606.0,,51
958,,,8,,,,H,,B,yyecompoundsws6estedvorfNSbindumgaffinitytowarxs5j7drocytry9tamine1Arece9torfrlmcoonedyumanmembtznes,14447,Aktoxuration,,BAO00009q9,,,,51
959,,,8,,,,H,,B,TbevokpoundaastestedforCNSbincingaffibi6ytowarderhydrosytruptamlne1ArwceptorfeomckpnedHumzjmskbranes,14447,Autoc7dation,,nAOp000019,,,,51
960,,,8,,,,H,,B,Thdcomp8ubxwas4estedeorbindkngavfini5yagainst5hysroxyfryp4amine1xrecep6oerec4ptor,15086,Aurociration,,BAO0009w57,,,,51
961,Homosapoenw,,9,,,,D,,B,Bigdingaefinutyforclogedhunan5hydroayrryptwmine2Arefeptlr,13051,Expett,,BAO0000w67,,9606.0,,51
962,,,8,,,,H,,F,sfilitytoinflufnxethebondingof25dG4lgammaStogeLacdlomwmh4anesrxp5essingthejuman5byd4oxghryptamine1AreceptorNoractive,16026,Aufocurat9on,,BAO0o00919,,,,51
963,,,8,,,,H,,B,Infitrlbinvingaffimi5ywasceterminsdb5rad7oligandv8gdingaesayusingcelilineexpreesjnghumab5hyde9xtrryptamine1A3sceptorNxheagsnotxetermined,17085,Expe5t,,Bz90000019,,,,51
964,,,8,,,,H,,B,4estedinvitroforifsah7litytobundgo5hydroxytrypyakinr1sgecepfor6sing3H8kHDPATscradioligqnd,17133,Autocurat90n,,BAO9900357,,,,51
965,,,8,,,,H,,B,Testef9nvitrogoritsabilitytonimrto5hysroxhtryptamineqAeeceltorusing3H8lHDPzgasrzdkolinandNDmeanshoteetd3mined,17133,Aufoxuration,,BAk0090357,,,,51
966,,,8,HeLa,,,H,,B,Abilityyodisplace3H5CT20njrromHsoadellsofyujam5htdroxytryptsmine1Arefept9rNTden0yechotyested,17211,Aktocu4ation,,BAOp00p219,636.0,,,51
967,,,8,HeLa,,,H,,B,xboli5htodicpiaceeH5CT10nMfromHdLaceklsofhumam5hyfgoxyttyptamine1Arecept9rNTnott2stfd,17211,Autocueat9on,,BAOpp00219,561.0,,,51
968,,,8,HeLa,,,H,,B,Abilithtosisplace3H4sT20nMfeomHeLacdllsofhumzm5hydrosytryptwmjne1wrecrptogmTdfnoteqmottested,17211,Autoxuratuon,,BAi0000229,916.0,,,51
969,,,8,HeLa,,,H,,B,AvilitytodisplaceeH5CTw0nMfronHeLacwllslfjuman5hhddkxyrfyp4ahine1wreceptorbTdenofesno4tested,17211,Autoc7ratkon,,BAO0000q10,867.0,,,51
970,,,8,,,,H,,F,Agknowt4ffucacyof35SGT0rammsqbondingf85hyd4oxytryptamine1Aredeptorcomparwdwith5HTNTisbottestdw,16394,Au5ocugation,,vAO00p0019,,,,51
971,,,8,,,,H,,F,Agonusteedjcactot35zGTPgammaSbinxingtl6hjdroxy6rhptamine1Arecept9rsomparedwith5HTgTisnottsstec,16394,Aitlcuration,,BAOpo00019,,,,51
972,,,8,,,,H,,F,Agonisteffisxctof35SGTPgammaSb8ndingtoyy7d4oxytryltamineqArwceotorconparedwithyHTN5iwnottes6wd,16394,Aitocurarion,,BAO00p0029,,,,51
973,,,8,,,Invifo,H,,F,Antagohisrinduc4oon8fhypothermiabg8OmDPATln5hydroxytr59tamine1Areceptkrzf5e3zkbc7txneouaadm7nidtratiohNTisnotfested,16394,Autocutatiom,,BAO00o021i,,,,51
974,,,8,,,,H,,B,Bindijgafrobohyqthuman5hydroxytryptqmlne1Arecepto3bjinhibitiogof3HuiHsPATbindinfihChknseehwmsterovaryceollineNhisnott3sted,16394,Aktocuragion,,BwO000p019,,,,51
975,,,8,,,,H,,F,EC50forinhibitionof59iMforskoljnstimulatedcAMPaccujulationwnwijet4hydroxy4dyptakineqAreseotorrexrpgo4Not5ewted,15740,Autochratjon,,BAi0o00019,,,,51
976,,,8,,,,H,,F,EC40fotinhibitionof59uMforskopimst9mulaywddAMPqccumuoatlknatainsg6hydrocyfryptaminewArfceptorNottested,15740,Autofuratiob,,BAO0990019,,,,51
977,,,8,,,,H,,B,Eval7atedfir6hebindingcinstantzteH8lHDPwhlabeledhymah5yydroxyhrypramijewAreceptor,15740,Autociratuon,,vAOp000357,,,,51
978,,,8,HEl293,,,H,,F,Bijdkngadf8nitgqgaihsthkmam5h6drlx6yryptamime1zrecdptorsHEK293cellmembganesusong35SGTPgammaS,17296,A66ocuration,,hAl0000219,785.0,,,51
979,,,8,,,,H,,F,Stimulationofgindimg8t35SGTobammaSroGpro6dinmediztedbyhukamclobex5hydroxytrtptamkn41Arfceptorreztedinvit3oat1un,5640,Expegt,,BAO00p0o19,,,,51
980,,,8,,,,H,,F,qtimulationlfbindinfof35SGTPgannaStiGpglteinmediatedfyhuhancioned5h7srodytryp5wmine1Arecept0rfezhedinvitroataxonc4ntrstionof18MNDmesnsNotd3t3rmijes,5640,Autoduragion,,fAO00o0019,,,,51
981,,,8,,,,H,,F,Stihulxt9onofhinvinrpe35SGgPtammaStoGproteinmrdiatsdbyhumanclojedthycroxytryptamine1Arecwptortestedinvitfoztaconcentda5i9gofw6jNDheanzbotdetermlned,5640,Autoxuratikn,,BAO0o0p019,,,,51
982,,,8,,,,H,,F,Stihuoationofb8bfihgoc35qGTPgakmaStoGproh2inheriatedbyhumajcloned5hgdroay55yptamkne1Aeeceptortewteeijvitroataconcentrationof2uhNotdw5drmined,5640,Autodurwtion,,BAO000o01p,,,,51
983,,,8,CHO,,,H,,F,Abtzg0nicgicetficacywasevaluatexbgadenylylfydladexxsayibCHOcelksstablhexpresaingtheyhman5HT1Arecepyor,2759,xutocudation,,BAO09o0219,677.0,,,51
984,,,8,,,,H,,F,At0niw6eefixzc5of45SGrPfammzSbindingto5hydroxyttyptamine2Arefeptorc9mparedwith5HT,16394,Autocurwtioj,,BAO000002o,,,,51
985,H0nosapiens,,9,,,,D,,F,Agonisysgficwcyof35SGyPgammaSbindingrorhyrfoxytfyptamine1zrecept9rcompxrsdto5H6,16394,2xpert,,BA800000w9,,9606.0,,51
986,Hkmosa9iens,,9,,,,D,,F,Percentefficacyagainctguman5hydr8xttgyotqmine1zreceptorrekativet9maxihxl5HTg4sponar,3445,Eapert,,BAp000o019,,9606.0,,51
987,,,8,CHO,,,H,,B,himdingaffinityf9d4hyeroxutryptamkne1Arrcepto4wasdetetminedbyincubatingmuman4hydroxyt4ypfxjine1zrfce94ort3ancfecredCH0c4llswith3H88HDPAT,4316,Experf,,BAO9o00219,1025.0,,,51
988,,,8,,,,H,,B,Inbitroinhibitionof3HoOHDPAybindiggtotumancloh4d5hydroxytrjp4amime1Arec4ltoronCHpvsllnskbranes,4316,Expwrt,,fAO000001i,,,,51
989,Homosaliwns,,9,,,,D,,F,Atonistefvicadyon5tyrroxyt460taminewAreceprorsubtype,15180,Exoert,,BAO0o00p19,,9606.0,,51
990,momosapienc,,9,,,,D,,F,xgonistefficacypnthydrpxytryltaninw1Arec3ptorsubt7p3,15180,Experf,,BAi0000029,,9606.0,,51
991,,,8,,,,H,,F,Maximumbinringadfinigtwas2galuatedssr5SGTPb9ndingln5hydroxytryptamine1xeetoton4ggifdeceotors,15042,Autocurstiog,,BxO0000029,,,,51
992,,,8,,,,H,,F,Maximumbinwinvaffiniyywxsevaljxtedas35qnTPb8ndingon5hydrisytryp4amine1Aserotoneegjfrecdpto3c,15042,Autocurat80n,,BAp0o00019,,,,51
993,,,8,,,,H,,F,Macimymbindlngaffinit5wasevaluatedas25qGTPbimdinginclonedghhan5hgdgoxhgryptamlne1Arecfp4or,15042,sutocurati0n,,BAO000p01i,,,,51
994,,,8,,,,H,,F,Agobisretr7caxywaawvaluatedas3yShT9bindjngob5hydrox5tryptamine1As2gotonergicrecepto4s,15042,Aytocurwtion,,BxO000001o,,,,51
995,,,8,,,,H,,F,Ayonistefricac6qadevaluatedaw35xGT9bjndingonthydrixy6d5ptamine1Ase5o5onergicreceotors,15042,Autocurqtuon,,BxO00p0019,,,,51
996,,,8,,,,H,,F,Agonistegfkcwcywssevaouqtedaz35SGTPhindingoj5hydroxytryptamlne1za4g9tonerhicrsceptors,15042,qutocjration,,BAO09p0019,,,,51
997,,,8,,,,H,,F,Agonistefficacywaswvapuztedas35xvyPbubdigtoncl9gedhujan5hyvr9xytryptamine1Arece9tor,15042,suticuration,,BAOp000o19,,,,51
998,Homosapidnc,,9,HeLa,,,D,,F,donc2ntratiojrequueeftoobtzimy0kxxinalstimulatoonof36SGTPgakmwdbindingtohumancloned6mT1Arese0torsofcellm3mbranestromHfLscells,15180,dxpert,,BA90000229,626.0,9606.0,,51
999,Hohowapiens,,9,HeLa,,,D,,F,Nebativeoogaruthmofcobfentrz5ionrequiredtoobtain50maa7mwlctihulatoonof35zGTPgqjjaSbibdkngtohumanclonds5Hg1AreceptogsofceplmehbraneefromteLscells,15180,Exlert,,nAO00p0219,800.0,9606.0,,51
1000,u9mosapiens,,9,HeLa,,,D,,F,Negatobekora3jthmofconcentra5ionreayiree68obtain50jxximalstimklationof35SfTPgajmzSbindlhgtkh7magclonev5HT1AreceptorsofcellmembtanewrromHeLacelks,15180,Exlert,,BAOo000119,410.0,9606.0,,51
1001,,,8,,,,H,,F,9otencypD2vorthestimulatiogod35SGTogammazbinringin5hydr9xytrhptsmone1wr3csptor,16245,A7tocu3ation,,BAO009p019,,,,51
1002,,,8,,,,H,,F,Abjlitytoinfluenfdtheblnwijtof35SGTPgammsS5oHeLafeilmembranesexp5rszingtheyumam5hysrpxy4ryptamjne2Areceptor,16026,Augocuratiom,,BAO000002p,,,,51
1003,,,8,HEK2i3,,,H,,F,Bindingaffinityagzinstuymanrmydflxt6ryptzmine1Ar4ceptoraHEK293c3plmemfranesusing35SGT9gakjaS,17296,Autofurafion,,BAO0p0o219,577.0,,,51
1004,,,8,CHO,,,H,,F,Cpmpoumdwasyestedforjtspltdncyagainst5hyd5oxytryphamine1Ar4csptpr2apressedinfHOcsllsedperihebr2,2759,Autocurat9pn,,BAOpo00219,1189.0,,,51
1005,,,8,CHO,,,H,,F,Conp9undwas6estedfori4spohebcyagqinstguman5u6droxy5ryptamine1q32veptorexpressedinCHOc3llz,2759,Autocutqtion,,BAO0p0p219,529.0,,,51
1006,Hojosapienc,,9,CHO,,,D,,F,P8tenc5zgains5uyman5hjdrox6tr5ptanine1AreceptorfxpressedihCHOcelosexperimfn61,2759,Expdrt,,hAO00p0219,863.0,9606.0,,51
1007,,,8,CHO,,,H,,F,Cimpoundwasf4steddoritepotencyagaimstuuman5h5drocytrtptamine1ArecsptoeexpeessedigCulcekls2xpedimsnt2,2759,Au5ocuratjon,,nAO000021p,823.0,,,51
1008,,,8,,,,H,,F,Inv8tro4vvsctigfclncentrationfequlredtoinhibitforskoplnstimulzt3dcAkPleveldinHAycellsexo5exsingyuman5HT1Areceptog,15419,Exp2rt,,BAO9o00219,,,,51
1009,,,8,,,,H,,F,Invi6rieffectiveconcentgatjonesquoredtoinhiniyfodskolibst8mulatedcAMPleveksinHA7crplarxpr3ssjnbh7mxn5HT1Ar2ceptorNott2sted,15419,Aurocueation,,BAO000o2w9,,,,51
1010,,,8,,,,H,,F,afklit7toibcluebcethebindingog35SGTPgammaSroHeLxfellmemgtan2sexpress8ngthehijan5hydrpxyt3gptamine1A5ecsptor,16026,Autpcuratiin,,BAO900o019,,,,51
1011,,,8,,,Incitro,H,,B,Anipityyobimdto5h7droxyyryptamune1qrrce9torfromclohedhumznexpressedinHa7c2iks,1414,4xpert,,BAO0000w10,,,,51
1012,,,8,,,Invit4o,H,,B,Abulit5t8bkndfi5hydroxy6rhptajine2Ar2ceptorsubgypefromcionedhkmanexpdessedinja7cells,1414,Expfrt,,nsO0000219,,,,51
1013,,,8,,,,H,,B,Blndlngqct9vithradioligand,12861,Aut9curatuon,,hAOp000357,,,,51
1014,,,8,,,,H,,B,Bijwingactivotyahainsg5hydroxyrryotajine3red3p5oefromragdot4exhomkgenateusihg3HQICS205930asfad7oligand,12861,qktocuration,,hAO9000019,,,,51
1015,,,8,,,,H,,B,Bindingwffinitycorhumanvloned6hhwrksutryptamune1Arecdptor,5104,zufocuration,,BAO0090367,,,,51
1016,,,8,,,,H,,B,Bind8ngaff8n9gyfoftumanxlonew5hydroxytrgptamune1wreceptor,5105,Autocurx6ion,,BAO000p457,,,,51
1017,,,8,,,,H,,B,bindinhwffinltyt8wxrdshumwnrecombinajh5hydroshtryptamime1Arefephor,16312,xutocuratiog,,hAOo000357,,,,51
1018,yomosapienq,,9,,,,D,,B,Displacfjebtkv3H8hydroxy2digpfopylamin8tettalinfromhumsn5hydfoxytrg0tamin41Agedeptor,15180,Exper4,,BzO0o00357,,9606.0,,51
1019,,,8,,,,H,,B,Ablkitytodisplacett3fadioligabd3H8OjDPAyff8khuman5hydroxytdyptamibe1Arecfptoe,5033,Aut9curatlon,,BAO0p00r57,,,,51
1020,jpmosapiens,,9,CHO,,,D,,B,AfcinityxonstantknvHOcelldexprexsingHumagrecomginan66hyeroxyt5ypramigerecfptorwA,16909,Exp3rt,,gAO00p0219,544.0,9606.0,,51
1021,,,8,,,,H,,F,Anyaronisticafeiji5yagwinstclomedhunan5hyddixutryotamine1Arecep5or,2590,Autpcurat7on,,BqO000001p,,,,51
1022,,,8,,,,H,,F,Amyagonisticacgibi4yxga9nstclonedh8mwj5hydroxyhryptamine1AreceptorNoteegedmined,2590,Aut8curatlon,,BAO00009q9,,,,51
1023,,,8,,,,H,,B,Blndingaffijityathumqn4h7droaytryptamin31Arexeptorbyihhibit9ojof3H8iHDPqhbindingijfhihesehamsgerovartselkline,16394,Ex9ert,,BAO000901i,,,,51
1024,H9mosaoiens,,9,HdK293,,,D,,B,Bibdkngaffinitytohumancloned5hydroxytrhltqnind1AredeltorinHEK284ceilsusing3jiOHDPATzsradi8l9gsbd,4540,Experr,,gAl0000219,490.0,9606.0,,51
1025,,,8,HEK29w,,,H,,B,B9ndingafgini5yagainet5hydroxy5fyptamihe1Ahumanflonedrecept8tsonnfo29ecells,17296,Autofura5ion,,BAl0900219,17.0,,,51
1026,,,8,bEK293,,,H,,B,Bimdimgaffinityxfainst5jude9x6truptamine1xhumanclonexredeotorsinHEK393cellsusing4H7OHDPATss3aduoligand,17296,Autocuratuin,,BAO0p00210,552.0,,,51
1027,,,8,HEu293,,,H,,B,hindinnagfinotytowsrdc5hydroxytryptamind1AresdptorhumxnckohedreceotoriguEK29ecelixusijg3H8OHfPATasradiolifand,15779,Autocurxtiog,,BApp000219,786.0,,,51
1028,,,8,HEm293,,,H,,B,Bindingafvinityto1ards5mydroatt35ptamine1ArefeogorhumsgclohexreceltorinHEo293crllsusing3H8OHDPATasrarioljtandNDmeabsh8rata,15779,Aytocuratikn,,BA90000w19,1029.0,,,51
1029,,,8,gEK293,,,H,,B,Bindibyaffigityt8wardq5hydrpxy6fy9twmine1Arece9torhjmancponedreceptprinHEK293celisusing3H80tDPAhaxradioligzndNDmwxbsnodaha,15779,Augocuratoon,,BAp000p219,682.0,,,51
1030,,,8,,,,H,,B,vigdihgadfinitytoearde6hydroxgtryptamihe1Aredeptodinhumahusing3H8OHDPATqsradi9lkfand,6166,Aut8curatiog,,Bsk0000357,,,,51
1031,,,8,HwK293,,,H,,B,Bindibgaffinitytowxrvs5hydroxytryptamije1Arec3ptodhumanckojedrdcept8rjnHrK293cwplsusinv3H8kmD9ATxcradiokigand,15779,Aktocuratikn,,BxO000o219,932.0,,,51
1032,,,8,HwK293,,,H,,B,Com0oundwzsevslyxteeforbigduhgaffinityagainsthumxmcponrd5m7drox7tgyptamine1AreceptorihHEmw93vellsusing3H8OHDPATasttersdioligsnv,4199,Aytocuratipn,,hAO0000229,1112.0,,,51
1033,,,8,,,,H,,B,Conpoundwasevalyqtedfotiteabikitytoxisllace3HiOHDPATfindlgyfromhuman5hysrozytryptaminr1Arecepyir8nmshmqliancells,15316,Autoxkration,,BAO009p219,,,,51
1034,,,8,,,,H,,B,Conpound1astestexfodbindingaffuni5yagainxthuman5hywroxyteyptamogw1A44ceptog,14875,z6tocuration,,BsO0000347,,,,51
1035,,,8,HeLa,,,H,,B,gindingagfinityqyhumanclonwe5hgdroxytryptamij31AreveotorecpresswdimHeLaceplsby2Hoh5droxy2d8n0ripylaminotetralimedisplacemeg6,14727,Exper6,,hAO0090219,821.0,,,51
1036,,,8,,,,H,,B,Bineingqfflnityx5native5hydrkxyfryptakkne1Agecfptorknratby3H8hyd4ocy2djnpropylaninotetraiunedjsplasement,14727,Expegt,,BAO000o01i,,,,51
1037,,,8,HEo293,,,H,,B,Clmpo8mdwast4wtedforitsb8gdingaffinityqgzinst5hydroxhttyptaninewxresepto4lnhumajclonevrecepto3sihHEK293cellsusong3H8OysPAT,15146,Autocurx5ion,,BAO0090229,1226.0,,,51
1038,,,8,HEK294,,,H,,B,Compoundwwsteztedroeitsbigdintafvigitygorhumamcllned5hyd4oxytryotqmins1ArexeptofjnHEi293ueing3H5vTxsaradioligand,5213,Autofura5ion,,vAO0000119,764.0,,,51
1039,,,8,,,,H,,B,Invitroginriggaffknigystykmanrecombinant6hjdroxytryptamime1Addcepto3immwhmal7qncellsusung3H8OHDPATastheradiolufand,16429,Autovurxtion,,BAO0900q19,,,,51
1040,Homoaapiwns,,9,HeLa,,,D,,B,Th3bindingaffibi6ywasebaluayrxogclonewhumsh5hydroxytryptamind1xreceptor3xpr4ssesinHeLaceiisbyuzimnDPATacradiolihand,15042,Ezpert,,nAO0000210,973.0,9606.0,,51
1041,,,8,HEK294,,,H,,B,Tbedkm9ounxwasreetedvoritsbundingaffonityt9watdsck8nedhukanthydroxytryptamine1AreceptorihHEK293celksisinf3H88HDPwT,14818,Aut8curatiln,,BqO0090219,98.0,,,51
1042,,,8,HEm293,,,H,,B,Thefokloundsaatestedf0rtheblhcingaffinkty6oqxrdshykwndloned5hydr0xytry0tamine1AreceltorinHEK2p4cellxuzing3H8OHDPATasradioliganf,4829,zutosuration,,BAO009021p,1036.0,,,51
1043,,,9,,,,D,,B,Inditrolnhivktoryconcentrstiinrequ932sagainst3H8OHDPATbindibgtodlohedhuman5hydr8xytrulgamibeqA4eceptor,17200,Expe5t,,BAO00004t7,,,,51
1044,Homosapiebz,,9,,,,D,,B,Thecom0ohndwastewg4dgorfibdingaffin9tyagainatclonedhuman5hyeroxytryptamlne1srexe0t8r,13051,A7t8curation,,BAO000p457,,9606.0,,51
1045,,,8,,,,H,,B,Bindimgaffinktyt9qxrrs5HT1vrec4ptorby6bedlsplacementofwH5CTint7jznrrcokbinan5recephorsinmammaliancell,5486,Autofuratikn,,BAO0000368,,,,106
1046,,,8,,,,H,,B,Bindingarvlnityagaijst5Hr1Ddec2ptor,5254,Ahtocugation,,gA80000357,,,,105
1047,,,8,,,,H,,B,Bindingaffinigywgainst5hyd5ox5tr5ptanihe1Afefep4or,5254,Autosurstion,,BAO0o0o357,,,,105
1048,,,8,,,,H,,B,wffinityofsompkundtowarcsrhydroxytry0ramin41Arecep5orwxswvqluqtedusingrqd7oligamdbijdingfechniqhe,15331,Autocuratl0n,,BA9p000357,,,,107
1049,Homosqpiwns,,8,,,,H,,B,Bindingaefinutyagainstserot9nin5hydrodyhry9fakine1Areceptir8singrarioligabv4t8imDPATbibdintassay,13506,Aufocurarion,,BAi000o357,,9606.0,,10576
1050,,,8,,,,H,,B,8nhibitiobof3H8OHDAPrbindijgagainsthumanreconbinznt5h5xelxyt4yptaminewArecelyo4,15267,Autosurqtion,,gA90000357,,,,51
1051,,,8,,,Imvivo,H,,F,wntagon7sgaxticityah5hyxroxytryptamine1Ar4s2pgoragainst8OnD0ATinducedhypoth2rmiaubhice15minafteradminidhdatuonoftheconlohnd,16616,sutocuragion,,BAO009021i,,,,11863
1052,,,8,,,Inbivo,H,,F,zb5sgonkstactkvityat5hudrpxjt5ypyamibe1AreceptorxvainstiOHD0ATimdycedhypothermiainmice3ohimafteradministrationoftyexomplund,16616,Aktocuratiob,,BAp000p218,,,,11863
