ASI,Des,CI,BFO,CURAB,ASSSUBCELFR,ASCT,T,RELAT,CONFSC,SRI,SASSI,CHEI,TISI,VAI
1397,"Binding affinity against vascular 5-hydroxytryptamine 1B receptor, measured using ring preparations of rabbit saphenous vein (RbSV)",,BAO_0000019,Intermediate,,,106,H,8,1,,CHEMBL616186,,
1398,The vascular 5-hydroxytryptamine 1B receptor affinity was assessed using ring preparations of rabbit saphenous vein(RbSV).,,BAO_0000019,Autocuration,,,106,H,8,1,,CHEMBL616187,,
1399,Binding affinity towards 5-hydroxytryptamine 1B receptor was measured using [3H]5-HT as radioligand,,BAO_0000357,Expert,,,10577,H,8,1,,CHEMBL616188,,
1400,Binding affinity for 5-hydroxytryptamine 1B receptor,,BAO_0000357,Intermediate,,,10577,D,9,1,,CHEMBL873475,,
1401,Inhibition of [3H]5-HT binding to 5-hydroxytryptamine 1B receptor in rat striatum; Less active,,BAO_0000019,Expert,,,10577,D,9,1,,CHEMBL616189,2435.0,
1402,Concentration necessary to achieve half maximal inhibition of [125I]- Iodocyanopindolol binding to 5-hydroxytryptamine 1B receptor at 1 uM,,BAO_0000357,Expert,,,10577,H,8,1,,CHEMBL616190,,
1403,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=48-77,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616191,,
1404,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=63-95,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616192,,
1405,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=710-980,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616193,,
1406,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=78-140,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616194,,
1407,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=85-130,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616195,,
1408,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=89-280,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616196,,
1409,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in rat hippocampus membrane.,,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616197,10000000.0,
1410,Binding affinity at 5-hydroxytryptamine 1A (5-HT1A) receptor in rat cerebral cortex using [3H]8-OH-DPAT as radioligand,,BAO_0000019,Intermediate,,,10576,H,8,1,,CHEMBL616198,,
1411,In vitro binding affinity to 5-hydroxytryptamine 1A receptor using [125I](R)-(+)-trans-8-OH-PIPAT as radioligand in rat hippocampal homogenate,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616199,10000000.0,
1412,In vitro binding affinity to 5-hydroxytryptamine 1A receptor in rat hippocampal homogenate by [125I](R)-(+)-trans-8-OH-PIPAT displacement.,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616200,10000000.0,
1413,In vitro binding affinity to rat hippocampal 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616201,10000000.0,
1414,In vitro binding affinity towards 5-hydroxytryptamine 1A r receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616202,10000000.0,
1415,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616203,10000000.0,
1416,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates; ND=not determined,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616204,10000000.0,
1417,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates; Not determined,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616205,10000000.0,
1418,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT radioligand in rat hippocampal homogenates; not determined,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616206,10000000.0,
1419,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes,,BAO_0000249,Expert,,,10576,H,8,1,,CHEMBL616207,,
1420,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand in rat cerebral cortex membranes,,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616208,,
1421,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand in rat cerebral cortex membranes; Inactive,,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616209,,
1422,In vitro binding affinity towards 5-hydroxytryptamine 1A receptor was determined using radioligand [3H]-8-OH-DPAT,,BAO_0000357,Expert,,,10576,H,8,1,,CHEMBL616210,,
1423,In vitro inhibition of [3H]spiperone binding to 5-hydroxytryptamine 1A receptor from rat hippocampal tissue.,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616211,10000000.0,
1424,In vitro inhibition of [3H]spiperone binding to 5-hydroxytryptamine 1A receptor from rat hippocampal tissue; NT=Not tested,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616504,10000000.0,
1425,Displacement of [3H]8-OH-DPAT from rat hippocampal 5-hydroxytryptamine 1A receptor,,BAO_0000221,Expert,,,10576,D,9,1,,CHEMBL616505,10000000.0,
1426,Inhibition constant of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616506,,
1427,Inhibition of binding of [125I]8-OH-PIPAT ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL872107,10000000.0,
1428,Displacement of [3H]5-HT from rat hippocampal 5-hydroxytryptamine 1A receptor with 10e-6 M ketanserin,,BAO_0000221,Expert,,,10576,D,9,1,,CHEMBL616507,10000000.0,
1429,Inhibitory activity against 5-hydroxytryptamine 1A receptor in rat cortical membranes using [3H]8-OH-DPAT as a radioligand,,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616303,,
1430,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616304,10000000.0,
1431,Inhibitory activity against 5-hydroxytryptamine 1A receptor of rat hippocampal tissue using [3H]OH-DPAT as radioligand.,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616305,10000000.0,
1432,Antagonist activity against rat hippocampal tissue 5-hydroxytryptamine 1A receptor,,BAO_0000221,Intermediate,,,10576,H,8,1,,CHEMBL616306,10000000.0,
1433,Inhibitory affinity constant against 5-hydroxytryptamine 1A receptor,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616307,,
1434,Displacement of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat brain hippocampus,,BAO_0000221,Expert,,,10576,D,9,1,,CHEMBL881829,10000000.0,
1435,Affinity against the 5-hydroxytryptamine receptor 1A using [3H]WB-4101.,,BAO_0000357,Expert,,,10576,H,8,1,,CHEMBL616308,,
1436,Tested for affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in homogenized rat brain,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616309,,
1437,Tested for affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in homogenized rat brain tissue,,BAO_0000019,Expert,,,10576,H,8,1,,CHEMBL616310,,
1438,Tested for affinity against 5-hydroxytryptamine 1A receptors using [3H]8-OH-DPAT in homogenized rat cloned CHO cells,449.0,BAO_0000219,Autocuration,,CHO,10576,H,8,1,,CHEMBL616311,,
1439,Tested for binding affinity against 5-hydroxytryptamine 1A receptor from rat frontal cortical regions using [3H]8-OH-DPAT as radioligand,,BAO_0000357,Expert,,,10576,H,8,1,,CHEMBL616312,,
1440,Tested for binding affinity against 5-hydroxytryptamine 1A receptor from rat frontal cortical regions using [3H]8-OH-DPAT as radioligand; ND is Not Determined,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616313,,
1441,Displacement of [3H]8-OH-DPAT from rat hippocampal 5-hydroxytryptamine 1A receptor,,BAO_0000221,Expert,,,10576,D,9,1,,CHEMBL616314,10000000.0,
1442,Tested for binding affinity by measuring displacement of [3H]8-OH-DPAT from rat serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616315,10000000.0,
1443,Tested for binding affinity by measuring displacement of [3H]8-OH-DPAT from rat serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus; NA means Not Active,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616567,10000000.0,
1444,Tested for binding affinity by measuring displacement of [3H]-8-OH-DPAT from rat serotonin 5-hydroxytryptamine 1A receptor in rat hippocampus; ND means Not Determined,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616568,10000000.0,
1445,Binding affinity to displace [3H]2-(di-N-propylamino)-8-hydroxy-tetralin from 5-hydroxytryptamine 1A (5-HT1A) receptor in rat frontal cortex homogenates,,BAO_0000019,Intermediate,,,10576,H,8,1,,CHEMBL616569,,
1446,Binding affinity to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand assay.,,BAO_0000357,Expert,,,10576,H,8,1,,CHEMBL616570,,
1447,Tested for the binding affinity against the site labelled by the 5-hydroxytryptamine 1A receptor agonist [3H]- 8-OH-DPAT,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616571,,
1448,Tested for the inhibitory activity against 5-hydroxytryptamine 1A receptor in rat hippocampal,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616572,10000000.0,
1449,Tested in vitro for binding affinity by measuring its ability to inhibit [3H]8-OH-DPAT binding at 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes.,,BAO_0000249,Expert,,,10576,H,8,1,,CHEMBL616573,,
1450,Tested in vitro for receptor binding affinity against 5-hydroxytryptamine 1A receptor using radioligand [3H]8-OH-DPAT,,BAO_0000357,Expert,,,10576,D,9,1,,CHEMBL616574,,
1451,The binding affinity by measuring its ability to displace [3H]8-OH-DPAT radioligand in 5-hydroxytryptamine 1A receptor on rat hippocampal preparation,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616575,10000000.0,
1452,The binding affinity by measuring its ability to displace [3H]8-OH-DPAT radioligand in 5-hydroxytryptamine 1A receptor on rat hippocampal preparation; ND=not determined,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL872108,10000000.0,
1453,The binding affinity was measured on 5-hydroxytryptamine 1A receptor using [3H]- 8-OH-DPAT as radioligand.,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616576,,
1454,The compound was evaluated for binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampal membranes using [3H]8-OH-DPAT as radioligand in the presence of 1 mM of MnCl2,,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616577,,
1455,The compound was evaluated for binding affinity against 5-hydroxytryptamine 1A receptor in rat hippocampal membranes using [3H]8-OH-DPAT as radioligand in the presence of 3*10e-5 M GTP gamma S,,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616578,,
1456,Binding affinity at 5-hydroxytryptamine 1A receptor from striata of wistar rats by [3H]- 8-OH -DPAT displacement.,,BAO_0000357,Expert,,,10576,H,8,1,,CHEMBL616579,,
1457,Binding affinity towards 5-hydroxytryptamine 1A receptor of rat brain synaptosomal preparations,,BAO_0000019,Expert,,,10576,D,9,1,,CHEMBL616580,,
1458,The compound was tested binding affinity against 5-hydroxytryptamine 1A receptor from rat brain using [3H]8-OH-DPAT as radioligand at 10e-6 M.,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616581,,
1459,The compound was tested for binding affinity on [3H]8-OH-DPAT as specific ligand on 5-hydroxytryptamine 1A receptor in rat hippocampus,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616582,10000000.0,
1460,The compound was tested for binding affinity on [3H]8-OH-DPAT as specific ligand on 5-hydroxytryptamine 1A receptor in rat hippocampus,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616583,10000000.0,
1461,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampus using [3H]8-OH-DPAT,,BAO_0000221,Expert,,,10576,D,9,1,,CHEMBL616584,10000000.0,
1462,Binding affinity towards 5-hydroxytryptamine 1A receptor,,BAO_0000357,Expert,,,10576,H,8,1,,CHEMBL616585,,
1463,Binding affinity towards 5-hydroxytryptamine 1A receptor by displacing [3H]WB-4101 from rat hippocampus,,BAO_0000221,Expert,,,10576,D,9,1,,CHEMBL616586,10000000.0,
1464,The compound was tested for its binding affinity towards 5-hydroxytryptamine 1A receptor by displacing [3H]WB-4101 radioligand in rat hippocampus,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616587,10000000.0,
1465,The compound was tested for their binding affinity towards 5-hydroxytryptamine 1A receptor from rat hippocampus using [3H]-8-OH-DPAT as radioligand,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616588,10000000.0,
1466,The compound was tested for their binding affinity towards 5-hydroxytryptamine 1A receptor from rat hippocampus using [3H]8-OH-DPAT as radioligand.,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616589,10000000.0,
1467,Binding affinity for 5-hydroxytryptamine 1A receptor from rat hippocampus using [3H]8-OH-DPAT as radioligand,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616590,10000000.0,
1468,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1A receptor expressed in CHO cells, by using [3H]8-OH-DPAT as radioligand.",449.0,BAO_0000219,Expert,,CHO,10576,H,8,1,,CHEMBL616591,,
1469,Displacement of the radioligand [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor,,BAO_0000357,Expert,,,10576,H,8,1,,CHEMBL616592,,
1470,The inhibition activity of 5-HT1A at 1 uM,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616593,,
1471,"Binding affinity against 5-hydroxytryptamine 1A receptor from CHO-K1 cells, using [3H]8-OH-DPAT as the radioligand.",485.0,BAO_0000219,Expert,,CHO-K1,10576,H,8,1,,CHEMBL616594,,
1472,Binding affinities against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in rat cerebral cortex membrane,,BAO_0000249,Expert,,,10576,H,8,1,,CHEMBL616595,,
1473,Compound was evaluated for its ability to displace the protonated form of [3H]8-hydroxy-2-(di-n-propylamino)tetralin binding from labeled 5-HT 1A receptor site.,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616596,,
1474,Compound was evaluated for its ability to displace the protonated form of [3H]8-hydroxy-2-(di-n-propylamino)tetralin binding from labeled 5-hydroxytryptamine 1A receptor site in rat brain hippocampus,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616597,10000000.0,
1475,Ability to displace the protonated form of [3H]8-hydroxy-2-(di-n-propylamino)tetralin binding from labeled 5-hydroxytryptamine 1A receptor site in rat brain hippocampus,,BAO_0000221,Expert,,,10576,H,8,1,,CHEMBL616598,10000000.0,
1476,Antagonist activity to stimulate binding of [35S]-GTP-gamma S binding to 5-hydroxytryptamine 1A receptor in isolated rat hippocampal membranes,,BAO_0000249,Expert,Membranes,,10576,D,9,1,,CHEMBL616599,,
1477,"Inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding in rat hippocampal membranes",,BAO_0000249,Expert,Membranes,,10576,D,9,1,,CHEMBL616600,10000000.0,
1478,Binding affinity against 5-hydroxytryptamine 1A receptor by displacing [3H]8-OH-DPAT radioligand in rat cortex membrane;ND is defined as not -determined.,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616601,,
1479,Binding affinity against 5-hydroxytryptamine 1A receptor by displacing [3H]8-OH-DPAT radioligand in rat cortex membrane;ND is defined as not defined.,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616602,,
1480,Binding affinity against 5-hydroxytryptamine 1A receptor by displacing [3H]8-OH-DPAT radioligand in rat cortex membrane;ND is defined as not determined.,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616603,,
1481,Binding affinity against 5-hydroxytryptamine 1A receptor by displacing [3H]8-OH-DPAT radioligand in rat cortex membrane;ND means not determined.,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616604,,
1482,Binding affinity towards 5-hydroxytryptamine 1A receptor was determined in rat cortex membranes using [3H]8-OH-DPAT as radioligand; No data,,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616316,,
1483,Binding affinity towards 5-hydroxytryptamine 1A receptor was determined in rat cortex membranes using [3H]8-OH-DPAT as radioligand; Not determined,,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616317,,
1484,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenates; ND means No data,,BAO_0000019,Expert,,,10576,D,9,1,,CHEMBL616318,,
1485,Binding affinity against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT from rat hippocampus mambranes,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616319,10000000.0,
1486,Binding affinity against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT from rat hippocampus mambranes; Not tested,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616320,10000000.0,
1487,Binding affinity for rat hippocampus 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding; Not tested,,BAO_0000221,Expert,,,10576,D,9,1,,CHEMBL616321,10000000.0,
1488,Evaluated for the 5-hydroxytryptamine 1A receptor agonist activity in LY-293284 trained rats; Not tested,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616322,,
1489,Evaluated for the 5-hydroxytryptamine 1A receptor agonist activity in LY-293284 trained rats; not tested,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616323,,
1490,Ratio of binding affinity to 5-HT 1A and D2 receptor,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616324,,
1491,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus at 1 uM,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616325,10000000.0,
1492,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus at 1 uM,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616326,10000000.0,
1493,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus.,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616327,10000000.0,
1494,Percentage inhibition against 5-hydroxytryptamine 1A receptor,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616328,,
1495,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes (experiment 1),,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL858110,,
1496,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes (experiment 1),,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616329,,
1497,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes (experiment 2),,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616330,,
1498,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes (experiment 2),,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616331,,
1499,Compound was tested for its potency against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes.,,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616332,,
1500,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain membrane using [3H]8-OH-DPAT as a selective ligand.,,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL857063,955.0,
1501,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex using [3H]8-OH-DPAT as a radioligand,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616333,,
1502,Antagonistic activity against 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]-8-OH-DPAT as radioligand.,,BAO_0000019,Expert,,,10576,H,8,1,,CHEMBL616334,,
1503,Binding affinity of 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in rat hippocampus,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616335,10000000.0,
1504,Affinity pKi for 5-hydroxytryptamine 1A receptor was measured in rat cortex homogenates.,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616336,,
1505,Binding affinity against 5-hydroxytryptamine 1A receptor in rat cerebral cortical membrane using [3H]-8-OH-DPAT as radioligand.,,BAO_0000249,Expert,,,10576,H,8,1,,CHEMBL616337,,
1506,Binding affinity against 5-hydroxytryptamine 1A receptor in rat cortex homogenates.,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616338,,
1507,Binding affinity against native 5-HT1A-receptors from rat hippocampus using radioligand ([3H]- 8-hydri\oxy-2-(di-n-propylamino)tetraline) binding assay,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616339,10000000.0,
1508,Binding affinity against native 5-HT1A-receptors from rat hippocampus using radioligand ([3H]8-hydroxy-2-(di-n-propylamino)-tetraline) binding assay,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616340,10000000.0,
1509,Binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616341,,
1510,Binding affinity against rat 5-hydroxytryptamine 1A receptor,,BAO_0000357,Expert,,,10576,D,9,1,,CHEMBL616342,,
1511,Inhibition of [3H]2-(di-N-propylamino)-8-hydroxytetralin binding to 5-HT1A receptor of rat frontal cortex homogenates,,BAO_0000019,Expert,,,10576,D,9,1,,CHEMBL616343,,
1512,Binding affinity of a compound to rat brain 5-hydroxytryptamine 1A (serotonin) receptor assayed by radiolabeled [3H]-8-OH-DPAT ligand displacement,,BAO_0000019,Expert,,,10576,H,8,1,,CHEMBL616344,,
1513,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand.,,BAO_0000357,Expert,,,10576,H,8,1,,CHEMBL616345,,
1514,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cortex using [3H]8-OH-DPAT as a radioligand,,BAO_0000019,Expert,,,10576,H,8,1,,CHEMBL616346,,
1515,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT in rat hippocampus,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616347,10000000.0,
1516,In vitro by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor on rat cortical membrane,,BAO_0000019,Expert,,,10576,H,8,1,,CHEMBL616348,,
1517,Binding affinity at 5-hydroxytryptamine 1A receptor,,BAO_0000357,Expert,,,10576,H,8,1,,CHEMBL616349,,
1518,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat frontal cortex membranes,,BAO_0000249,Expert,Membranes,,10576,D,9,1,,CHEMBL616152,,
1519,Compound was tested for inhibition constant against 5-hydroxytryptamine 1A receptor in rat frontal cortex membranes.,,BAO_0000249,Autocuration,,,10576,H,8,1,,CHEMBL616153,,
1520,"Binding affinity for rat cortex 5-hydroxytryptamine 1A receptor, by displacement of 0.2 nM [3H]8-OH-DPAT radioligand",,BAO_0000019,Expert,,,10576,H,8,1,,CHEMBL616154,,
1521,In vitro ability to inhibit binding of radioligand [3H]8-OH-DPAT to 5-hydroxytryptamine 1A receptor in rat cerebral cortex,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616155,,
1522,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]8-OH-DPAT,,BAO_0000221,Expert,,,10576,D,9,1,,CHEMBL616156,10000000.0,
1523,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus with [3H]8-OH-DPAT,,BAO_0000221,Expert,,,10576,D,9,1,,CHEMBL616157,10000000.0,
1524,The binding affinity (pKi) was measured against 5-hydroxytryptamine 4 receptor of piglet hippocampus using [125I]-SB 207710 as radioligand,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616158,10000000.0,
1525,The compound was tested for the binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand.,,BAO_0000357,Autocuration,,,10576,H,8,1,,CHEMBL616159,,
1526,pKi value against rat 5-hydroxytryptamine 1A receptor.,,BAO_0000357,Expert,,,10576,H,8,1,,CHEMBL616160,,
1527,Binding affinity against 5-hydroxytryptamine 1A receptor by displacing [3H]8-OH-DPAT radioligand in rat cortex membrane;ND is define as non-determined.,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616161,,
1528,Evaluated for the 5-hydroxytryptamine 1A receptor agonist activity in LY-293284 trained rats; Not tested,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616162,,
1529,Binding affinity was measured against 5-hydroxytryptamine 2A receptor by displacement of [3H]- ketanserin by lysergic acid amides,,BAO_0000357,Expert,,,12687,D,9,1,,CHEMBL616163,,
1530,Inhibition of specific [3H]OH-DPAT binding at 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,,BAO_0000249,Expert,Membranes,,10626,H,8,1,,CHEMBL616164,,
1531,Concentration of compound required to inhibit cortical 5-hydroxytryptamine 1A receptor binding sites in rat brain was evaluated,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616165,955.0,
1532,Inhibitory activity against 5-hydroxytryptamine 1A receptor isolated from rat hippocampus membranes membrane using [3H]5-HT as radioligand in the presence of 10e-6 M ketanserin as 5-HT2 blocker,,BAO_0000019,Autocuration,,,51,H,8,1,,CHEMBL616355,,
1533,Effect on 5-hydroxytryptamine 1A receptor mediated inhibition of VIP-stimulated cAMP production at dose of 1 uM+ 50 uM 5-HT.,,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616356,,
1534,Binding affinity at 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in rat brain.,,BAO_0000221,Autocuration,,,10576,H,8,1,,CHEMBL616357,955.0,
1535,"Binding affinity against 5-hydroxytryptamine 1A receptor in homogenated rat brain tissue, using by [3H]8-OH-DPAT as radioligand",,BAO_0000019,Autocuration,,,10576,H,8,1,,CHEMBL616358,,
1536,Compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor,,BAO_0000357,Autocuration,,,51,H,8,1,,CHEMBL616359,,
1537,Percent decrease in 5-hydroxytryptamine 1A receptor binding using 8-OH-DPAT,,BAO_0000357,Expert,,,51,H,8,1,,CHEMBL616360,,
1538,Binding affinity towards 5-hydroxytryptamine 1A receptor,,BAO_0000357,Expert,,,51,H,8,1,,CHEMBL616361,,
1539,Tested for binding affinity for 5-hydroxytryptamine 1A receptor,,BAO_0000357,Autocuration,,,51,H,8,1,,CHEMBL616362,,
