ss_d,chmbl_d,crtd_b,ss_tss,tss_d,ss_sbclllr_frctn,dc_d,cll_d,b_frmt,vrnt_d,ss_cll_tp,ss_strn,td,rltnshp_tp,cnfdnc_scr,src_d,src_ss_d
2845,CHEMBL617867,Autocuration,,,,12953,,BAO_0000019,,,,12689,H,8,1,
2846,CHEMBL617487,Autocuration,,,,12953,,BAO_0000357,,,,12689,H,8,1,
2847,CHEMBL617488,Expert,,,,12953,,BAO_0000357,,,,12689,H,8,1,
2848,CHEMBL617489,Autocuration,,,,17133,,BAO_0000357,,,,12689,H,8,1,
2849,CHEMBL617490,Autocuration,,,,17211,,BAO_0000019,,,,12689,H,8,1,
2850,CHEMBL617491,Autocuration,,,,17211,,BAO_0000019,,,,12689,H,8,1,
2851,CHEMBL617492,Autocuration,,,,14025,,BAO_0000019,,,,12689,H,8,1,
2852,CHEMBL617493,Autocuration,,,,14998,,BAO_0000019,,,,12689,H,8,1,
2853,CHEMBL617494,Autocuration,,,,4342,,BAO_0000357,,,,12689,H,8,1,
2854,CHEMBL617495,Expert,,,,13735,,BAO_0000019,,,,12689,D,9,1,
2855,CHEMBL617496,Autocuration,,,,13181,,BAO_0000357,,,,12689,H,8,1,
2856,CHEMBL617497,Autocuration,,,,1883,485.0,BAO_0000219,,CHO-K1,,12689,H,8,1,
2857,CHEMBL617498,Autocuration,,,,15194,,BAO_0000357,,,,12689,H,8,1,
2858,CHEMBL617499,Autocuration,,,,15194,,BAO_0000357,,,,12689,H,8,1,
2859,CHEMBL617500,Autocuration,,,,14579,,BAO_0000019,,,,12689,H,8,1,
2860,CHEMBL617501,Autocuration,,,,4639,,BAO_0000357,,,,108,H,8,1,
2861,CHEMBL617502,Expert,,,,4820,,BAO_0000357,,,,108,H,8,1,
2862,CHEMBL617503,Autocuration,,,,14442,,BAO_0000357,,,,227,H,8,1,
2863,CHEMBL617504,Autocuration,,,,14755,,BAO_0000357,,,,227,H,8,1,
2864,CHEMBL617406,Autocuration,,,,14744,,BAO_0000357,,,,227,H,8,1,
2865,CHEMBL617407,Expert,,,,6857,,BAO_0000019,,,,227,D,9,1,
2866,CHEMBL617408,Autocuration,,,,16209,,BAO_0000357,,,,227,H,8,1,
2867,CHEMBL617409,Autocuration,,,,15363,,BAO_0000357,,,,227,H,8,1,
2868,CHEMBL617410,Autocuration,,,,15363,,BAO_0000357,,,,227,H,8,1,
2869,CHEMBL617411,Autocuration,,,,15363,,BAO_0000357,,,,227,H,8,1,
2870,CHEMBL617412,Autocuration,,,,17085,,BAO_0000019,,,,227,H,8,1,
2871,CHEMBL617774,Expert,,,,17200,,BAO_0000357,,,,227,D,9,1,
2872,CHEMBL617775,Expert,,,,15851,722.0,BAO_0000219,,HEK293,,227,D,9,1,
2873,CHEMBL617776,Expert,,,,15851,722.0,BAO_0000219,,HEK293,,227,D,9,1,
2874,CHEMBL617777,Expert,,,,6857,449.0,BAO_0000219,,CHO,,227,D,9,1,
2875,CHEMBL617778,Expert,,,,6857,449.0,BAO_0000219,,CHO,,227,D,9,1,
2876,CHEMBL617779,Autocuration,,,,15779,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2877,CHEMBL617780,Expert,,,,15851,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2878,CHEMBL617781,Autocuration,,,,15779,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2879,CHEMBL617782,Expert,,,,14157,722.0,BAO_0000219,,HEK293,,227,D,9,1,
2880,CHEMBL617783,Expert,,,,4540,722.0,BAO_0000219,,HEK293,,227,D,9,1,
2881,CHEMBL617784,Autocuration,,,,6166,,BAO_0000357,,,,227,H,8,1,
2882,CHEMBL617785,Autocuration,,,,15779,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2883,CHEMBL857984,Expert,,,,14391,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2884,CHEMBL617786,Expert,,,,3832,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2885,CHEMBL617787,Expert,,,,3833,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2886,CHEMBL617788,Expert,,,,15851,722.0,BAO_0000219,,HEK293,,227,D,9,1,
2887,CHEMBL617789,Expert,,,,15851,722.0,BAO_0000219,,HEK293,,227,D,9,1,
2888,CHEMBL617790,Autocuration,,,,4199,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2889,CHEMBL617791,Expert,,,,1883,485.0,BAO_0000219,,CHO-K1,,227,H,8,1,
2890,CHEMBL617608,Expert,,,,4321,,BAO_0000357,,,,227,H,8,1,
2891,CHEMBL617609,Autocuration,,,,15146,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2892,CHEMBL617610,Autocuration,,,,5213,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2893,CHEMBL617611,Autocuration,,,,14818,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2894,CHEMBL617612,Autocuration,,,,4829,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2895,CHEMBL617613,Autocuration,,,,4829,722.0,BAO_0000219,,HEK293,,227,H,8,1,
2896,CHEMBL617614,Autocuration,,,,14025,,BAO_0000019,,,,227,H,8,1,
2897,CHEMBL617615,Expert,Stomach,945.0,,13463,,BAO_0000019,,,,12688,H,8,1,
2898,CHEMBL858114,Expert,Stomach,945.0,,7259,,BAO_0000357,,,,12688,H,8,1,
2899,CHEMBL617616,Autocuration,Stomach,945.0,,7259,,BAO_0000357,,,,12688,H,8,1,
2900,CHEMBL617617,Expert,Stomach,945.0,,7185,,BAO_0000019,,,,12688,D,9,1,
2901,CHEMBL875914,Expert,,,,7185,,BAO_0000019,,,,12688,D,9,1,
2902,CHEMBL617618,Autocuration,Stomach,945.0,,13267,,BAO_0000019,,,,12688,H,8,1,
2903,CHEMBL617619,Expert,Stomach,945.0,,13735,,BAO_0000357,,,,12688,D,9,1,
2904,CHEMBL617620,Autocuration,,,,15738,,BAO_0000019,,,,12688,H,8,1,
2905,CHEMBL617621,Autocuration,,,,15738,,BAO_0000019,,,,12688,H,8,1,
2906,CHEMBL617622,Autocuration,,,,15738,,BAO_0000019,,,,12688,H,8,1,
2907,CHEMBL617623,Expert,Stomach,945.0,,12936,,BAO_0000357,,,,12688,D,9,1,
2908,CHEMBL617624,Expert,Stomach,945.0,,12936,,BAO_0000357,,,,12688,D,9,1,
2909,CHEMBL617625,Expert,Stomach,945.0,,12936,,BAO_0000357,,,,12688,D,9,1,
2910,CHEMBL617626,Expert,Stomach,945.0,,12936,,BAO_0000357,,,,12688,D,9,1,
2911,CHEMBL617627,Autocuration,Stomach,945.0,,16404,,BAO_0000019,,,,12688,H,8,1,
2912,CHEMBL617628,Expert,Stomach,945.0,,16404,,BAO_0000019,,,,12688,H,8,1,
2913,CHEMBL617629,Autocuration,Stomach,945.0,,16404,,BAO_0000019,,,,12688,H,8,1,
2914,CHEMBL858115,Autocuration,Stomach,945.0,,16404,,BAO_0000019,,,,12688,H,8,1,
2915,CHEMBL617630,Expert,Stomach,945.0,,16404,,BAO_0000019,,,,12688,D,9,1,
2916,CHEMBL617631,Autocuration,Thoracic aorta,1515.0,,16404,,BAO_0000019,,,,12688,H,8,1,
2917,CHEMBL617632,Autocuration,,,,7483,,BAO_0000357,,,,12688,H,8,1,
2918,CHEMBL617633,Expert,,,,7483,,BAO_0000357,,,,12688,H,8,1,
2919,CHEMBL617634,Autocuration,,,,7483,,BAO_0000357,,,,12688,H,8,1,
2920,CHEMBL617635,Autocuration,,,,7483,,BAO_0000357,,,,12688,H,8,1,
2922,CHEMBL617637,Autocuration,Stomach,945.0,,16404,,BAO_0000019,,,,12688,D,9,1,
2923,CHEMBL617638,Autocuration,,,,6347,,BAO_0000357,,,,227,H,8,1,
2924,CHEMBL617639,Autocuration,,,,4373,,BAO_0000357,,,,227,H,8,1,
2925,CHEMBL617640,Autocuration,,,,4373,,BAO_0000357,,,,227,H,8,1,
2926,CHEMBL617641,Autocuration,,,,4687,,BAO_0000357,,,,227,H,8,1,
2927,CHEMBL617642,Autocuration,,,,16946,,BAO_0000357,,,,227,H,8,1,
2928,CHEMBL617643,Autocuration,,,,16633,,BAO_0000357,,,,227,H,8,1,
2929,CHEMBL617644,Autocuration,,,,16633,,BAO_0000357,,,,227,H,8,1,
2930,CHEMBL617645,Autocuration,,,,16633,,BAO_0000357,,,,227,H,8,1,
2931,CHEMBL617646,Expert,,,,15026,,BAO_0000357,,,,108,H,8,1,
2932,CHEMBL617647,Autocuration,,,,15738,,BAO_0000357,,,,108,H,8,1,
2933,CHEMBL617648,Autocuration,,,,15738,,BAO_0000357,,,,108,H,8,1,
2934,CHEMBL617875,Autocuration,,,,15738,,BAO_0000357,,,,108,H,8,1,
2935,CHEMBL617876,Autocuration,,,,15738,,BAO_0000357,,,,108,H,8,1,
2936,CHEMBL617877,Expert,,,,16404,,BAO_0000357,,,,108,H,8,1,
2937,CHEMBL617878,Expert,,,,15026,,BAO_0000357,,,,108,H,8,1,
2938,CHEMBL617879,Autocuration,,,,15738,,BAO_0000357,,,,108,H,8,1,
2939,CHEMBL617880,Autocuration,,,,16312,,BAO_0000019,,,,108,H,8,1,
2940,CHEMBL617881,Intermediate,Striatum,2435.0,,5486,,BAO_0000357,,,,20033,D,9,1,
2941,CHEMBL857073,Autocuration,,,,5254,,BAO_0000357,,,,51,H,8,1,
2942,CHEMBL617882,Expert,,,,3857,449.0,BAO_0000219,,CHO,,108,H,8,1,
2943,CHEMBL617883,Expert,,,,6857,449.0,BAO_0000219,,CHO,,108,D,9,1,
2944,CHEMBL617884,Autocuration,,,,4176,,BAO_0000219,,,,108,H,8,1,
2945,CHEMBL617885,Autocuration,,,,6347,449.0,BAO_0000219,,CHO,,108,H,8,1,
2946,CHEMBL617886,Autocuration,,,,6347,449.0,BAO_0000219,,CHO,,108,H,8,1,
2947,CHEMBL617887,Expert,,,,16146,,BAO_0000357,,,,108,D,9,1,
2948,CHEMBL617888,Autocuration,,,,3805,,BAO_0000357,,,,108,H,8,1,
2949,CHEMBL617889,Autocuration,,,,3857,,BAO_0000019,,,,108,H,8,1,
2950,CHEMBL617890,Autocuration,,,,5635,,BAO_0000357,,,,108,H,8,1,
2951,CHEMBL617891,Autocuration,,,,5635,,BAO_0000357,,,,108,H,8,1,
2952,CHEMBL617892,Autocuration,,,,5635,,BAO_0000357,,,,108,H,8,1,
2953,CHEMBL617893,Expert,,,,4012,449.0,BAO_0000219,,CHO,,108,H,8,1,
2954,CHEMBL617894,Expert,,,,6366,449.0,BAO_0000219,,CHO,,108,H,8,1,
2955,CHEMBL617895,Expert,,,,15949,449.0,BAO_0000219,,CHO,,108,H,8,1,
2956,CHEMBL617896,Autocuration,,,,17211,449.0,BAO_0000219,,CHO,,108,H,8,1,
2957,CHEMBL617897,Expert,,,,6491,,BAO_0000357,,,,108,D,9,1,
2958,CHEMBL617898,Autocuration,,,,14093,,BAO_0000019,,,,108,H,8,1,
2959,CHEMBL617899,Autocuration,,,,13481,,BAO_0000019,,,,108,H,8,1,
2960,CHEMBL617900,Expert,,,,6347,449.0,BAO_0000219,,CHO,,108,H,8,1,
2961,CHEMBL617901,Autocuration,,,,14093,,BAO_0000019,,,,108,H,8,1,
2962,CHEMBL617902,Autocuration,,,,14093,,BAO_0000019,,,,108,H,8,1,
2963,CHEMBL617903,Autocuration,,,,13481,,BAO_0000019,,,,108,H,8,1,
2964,CHEMBL617904,Autocuration,,,,14442,,BAO_0000357,,,,108,H,8,1,
2965,CHEMBL617905,Autocuration,,,,14442,,BAO_0000357,,,,108,H,8,1,
2966,CHEMBL617906,Autocuration,,,,14442,,BAO_0000357,,,,108,H,8,1,
2967,CHEMBL617907,Autocuration,,,,14755,,BAO_0000357,,,,108,H,8,1,
2968,CHEMBL617908,Autocuration,,,,14744,,BAO_0000357,,,,108,H,8,1,
2969,CHEMBL620617,Expert,,,,16659,449.0,BAO_0000219,,CHO,,108,H,8,1,
2970,CHEMBL620618,Expert,,,,6857,,BAO_0000019,,,,108,D,9,1,
2971,CHEMBL620619,Expert,,,,5635,,BAO_0000357,,,,108,H,8,1,
2972,CHEMBL620620,Expert,,,,4234,,BAO_0000357,,,,108,D,9,1,
2973,CHEMBL620621,Autocuration,,,,16209,,BAO_0000357,,,,108,H,8,1,
2974,CHEMBL872920,Autocuration,,,Membranes,5778,,BAO_0000249,,,,104698,D,7,1,
2975,CHEMBL620622,Autocuration,,,,5094,,BAO_0000223,,,,104698,H,6,1,
2976,CHEMBL620623,Autocuration,,,,809,,BAO_0000019,,,,104698,D,7,1,
2977,CHEMBL620624,Autocuration,,,,1578,,BAO_0000019,,,,104698,H,6,1,
2978,CHEMBL620625,Autocuration,,,,809,,BAO_0000019,,,,104698,H,6,1,
2979,CHEMBL620626,Autocuration,,,,12469,,BAO_0000219,,,,104698,H,6,1,
2980,CHEMBL621307,Autocuration,,,,14290,,BAO_0000019,,,,104698,H,6,1,
2981,CHEMBL621308,Autocuration,,,,14290,,BAO_0000019,,,,104698,H,6,1,
2982,CHEMBL621309,Autocuration,,,,10609,,BAO_0000223,,,,104698,H,6,1,
2983,CHEMBL621310,Autocuration,,,,10609,,BAO_0000223,,,,104698,H,6,1,
2984,CHEMBL621311,Autocuration,,,,10609,,BAO_0000223,,,,104698,H,6,1,
2985,CHEMBL621502,Autocuration,,,,15253,,BAO_0000249,,,,104698,H,6,1,
2986,CHEMBL621503,Autocuration,,,,15253,,BAO_0000249,,,,104698,H,6,1,
2987,CHEMBL621504,Autocuration,,,Membranes,11683,,BAO_0000249,,,,104698,H,6,1,
2988,CHEMBL621505,Autocuration,,,,12092,,BAO_0000223,,,,104698,H,6,1,
2989,CHEMBL621506,Autocuration,,,,1946,,BAO_0000019,,,,104698,H,6,1,
2990,CHEMBL619781,Autocuration,,,,11623,,BAO_0000223,,,,104698,H,6,1,
2991,CHEMBL619782,Autocuration,,,,11623,,BAO_0000223,,,,104698,H,6,1,
2992,CHEMBL619783,Autocuration,,,,14788,,BAO_0000019,,,,104698,H,6,1,
2993,CHEMBL619784,Autocuration,,,,5432,,BAO_0000019,,,,104698,D,7,1,
2994,CHEMBL619785,Autocuration,,,,14826,,BAO_0000249,,,,104698,H,6,1,
2995,CHEMBL619786,Autocuration,,,,2222,,BAO_0000223,,,,104698,H,6,1,
2996,CHEMBL619787,Autocuration,,,,11963,,BAO_0000019,,,,104698,H,6,1,
2997,CHEMBL872925,Autocuration,,,,14145,,BAO_0000019,,,,104698,H,6,1,
2998,CHEMBL619788,Autocuration,,,,17819,,BAO_0000019,,,,104698,H,6,1,
2999,CHEMBL619789,Autocuration,,,,10394,,BAO_0000249,,,,104698,H,6,1,
3000,CHEMBL619790,Autocuration,,,,10394,,BAO_0000249,,,,104698,H,6,1,
3001,CHEMBL619791,Autocuration,,,,15034,,BAO_0000019,,,,104698,H,6,1,
3002,CHEMBL619792,Autocuration,,,,691,,BAO_0000019,,,,104698,H,6,1,
3003,CHEMBL619793,Autocuration,,,Membranes,12092,,BAO_0000249,,,,104698,H,6,1,
3004,CHEMBL619794,Autocuration,,,,11752,,BAO_0000223,,,,104698,D,7,1,
3005,CHEMBL619795,Autocuration,Brain,955.0,,11752,,BAO_0000221,,,,104698,H,6,1,
3006,CHEMBL619796,Autocuration,,,,301,,BAO_0000019,,,,104698,H,6,1,
3007,CHEMBL620448,Autocuration,,,,16532,,BAO_0000223,,,,104698,H,6,1,
3008,CHEMBL620449,Autocuration,,,,16532,,BAO_0000223,,,,104698,H,6,1,
3009,CHEMBL620450,Autocuration,,,,12092,,BAO_0000223,,,,104698,H,6,1,
3010,CHEMBL620451,Autocuration,,,,11684,,BAO_0000223,,,,104698,H,6,1,
3011,CHEMBL620631,Autocuration,,,,11684,,BAO_0000223,,,,104698,H,6,1,
3012,CHEMBL620632,Autocuration,,,,12953,,BAO_0000019,,,,104698,H,6,1,
3013,CHEMBL620633,Autocuration,,,,12953,,BAO_0000019,,,,104698,H,6,1,
3014,CHEMBL620634,Autocuration,,,,12953,,BAO_0000223,,,,104698,H,6,1,
3015,CHEMBL620635,Autocuration,,,,12861,,BAO_0000019,,,,104698,H,6,1,
3016,CHEMBL620636,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3017,CHEMBL620637,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3018,CHEMBL620638,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3019,CHEMBL620639,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3020,CHEMBL620640,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3021,CHEMBL620641,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3022,CHEMBL620642,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3023,CHEMBL620643,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3024,CHEMBL620644,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3025,CHEMBL620645,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3026,CHEMBL620646,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3027,CHEMBL620647,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3028,CHEMBL620648,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3029,CHEMBL620649,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3030,CHEMBL620650,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3031,CHEMBL620651,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3032,CHEMBL872875,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3033,CHEMBL620652,Autocuration,,,,11454,,BAO_0000218,,,,104698,H,6,1,
3034,CHEMBL620653,Autocuration,,,,10609,,BAO_0000019,,,,104698,H,6,1,
3035,CHEMBL857076,Autocuration,,,,12861,,BAO_0000019,,,,104698,H,6,1,
3036,CHEMBL620654,Autocuration,,,,12861,,BAO_0000019,,,,104698,D,7,1,
3037,CHEMBL620655,Autocuration,,,,12861,,BAO_0000223,,,,104698,H,6,1,
3038,CHEMBL620656,Autocuration,,,Brain membranes,10728,,BAO_0000249,,,,104698,H,6,1,
3039,CHEMBL620657,Autocuration,,,Brain membranes,10728,,BAO_0000249,,,,104698,H,6,1,
3040,CHEMBL620658,Autocuration,,,,5163,,BAO_0000357,,,,108,H,8,1,
3041,CHEMBL620659,Autocuration,,,,5163,,BAO_0000357,,,,108,H,8,1,
3042,CHEMBL620660,Autocuration,,,,6011,,BAO_0000357,,,,108,H,8,1,
3043,CHEMBL620661,Autocuration,,,,5014,,BAO_0000357,,,,108,H,8,1,
3044,CHEMBL620662,Autocuration,,,,5635,,BAO_0000357,,,,108,H,8,1,
3045,CHEMBL620663,Expert,,,,5163,,BAO_0000357,,,,108,H,8,1,
3046,CHEMBL620664,Autocuration,,,,6841,,BAO_0000357,,,,108,H,8,1,
3047,CHEMBL620665,Expert,,,,6119,,BAO_0000357,,,,108,H,8,1,
3048,CHEMBL620666,Autocuration,,,,4373,,BAO_0000357,,,,108,H,8,1,
3049,CHEMBL620667,Autocuration,,,,1633,,BAO_0000357,,,,108,H,8,1,
3050,CHEMBL620668,Expert,,,,1633,,BAO_0000357,,,,108,H,8,1,
3051,CHEMBL620669,Autocuration,,,,4373,,BAO_0000357,,,,108,H,8,1,
3052,CHEMBL620670,Expert,,,,6576,,BAO_0000357,,,,108,H,8,1,
3053,CHEMBL620671,Autocuration,,,,4687,,BAO_0000357,,,,108,H,8,1,
3054,CHEMBL620672,Autocuration,,,,12146,,BAO_0000357,,,,108,H,8,1,
3055,CHEMBL620673,Autocuration,,,,12146,,BAO_0000357,,,,108,H,8,1,
3056,CHEMBL620674,Autocuration,,,,16946,,BAO_0000357,,,,108,H,8,1,
3057,CHEMBL620675,Autocuration,,,,14159,,BAO_0000357,,,,108,H,8,1,
3058,CHEMBL620676,Autocuration,,,,16700,,BAO_0000357,,,,108,H,8,1,
3059,CHEMBL621382,Autocuration,,,,3269,,BAO_0000357,,,,108,H,8,1,
3060,CHEMBL621383,Expert,,,,1274,,BAO_0000357,,,,108,D,9,1,
3061,CHEMBL621384,Autocuration,,,,1317,,BAO_0000357,,,,108,H,8,1,
3062,CHEMBL621385,Autocuration,,,,5834,,BAO_0000357,,,,144,H,8,1,
3063,CHEMBL617989,Autocuration,,,,11147,,BAO_0000357,,,,144,H,8,1,
3064,CHEMBL617990,Expert,,,,14145,,BAO_0000019,,,,104714,H,4,1,
3065,CHEMBL875085,Autocuration,Ileum,2116.0,,10561,,BAO_0000221,,,,104714,H,4,1,
3066,CHEMBL617991,Autocuration,,,,15847,,BAO_0000019,,,,104714,H,4,1,
3067,CHEMBL617992,Autocuration,,,,15847,,BAO_0000019,,,,104714,H,4,1,
3068,CHEMBL617993,Autocuration,Ileum,2116.0,,10561,,BAO_0000221,,,,104714,H,4,1,
3069,CHEMBL617994,Autocuration,Ileum,2116.0,,11454,,BAO_0000221,,,,104714,H,4,1,
3070,CHEMBL617995,Autocuration,,,,4639,,BAO_0000019,,,,104714,H,4,1,
3071,CHEMBL617996,Autocuration,,,,4639,,BAO_0000019,,,,104714,H,4,1,
3072,CHEMBL617997,Autocuration,,,,4639,,BAO_0000019,,,,104714,H,4,1,
3073,CHEMBL617998,Autocuration,,,,4639,,BAO_0000019,,,,104714,H,4,1,
3074,CHEMBL617999,Autocuration,,,,4639,,BAO_0000019,,,,104714,H,4,1,
3075,CHEMBL618000,Autocuration,,,,4639,,BAO_0000019,,,,104714,H,4,1,
3076,CHEMBL617815,Autocuration,Ileum,2116.0,,15253,,BAO_0000221,,,,104714,H,4,1,
3077,CHEMBL617816,Autocuration,Ileum,2116.0,,15253,,BAO_0000221,,,,104714,H,4,1,
3078,CHEMBL617817,Autocuration,Ileum,2116.0,,11963,,BAO_0000221,,,,104714,H,4,1,
3079,CHEMBL617818,Autocuration,Ileum,2116.0,,1946,,BAO_0000221,,,,104714,H,4,1,
3080,CHEMBL617819,Autocuration,Ileum,2116.0,,1946,,BAO_0000221,,,,104714,H,4,1,
3081,CHEMBL617820,Autocuration,,,,12045,,BAO_0000223,,,,104714,H,4,1,
3082,CHEMBL617821,Autocuration,Ileum,2116.0,,1559,,BAO_0000221,,,,104714,H,4,1,
3083,CHEMBL617822,Autocuration,Ileum,2116.0,,273,,BAO_0000221,,,,104714,H,4,1,
3084,CHEMBL617823,Autocuration,Ileum,2116.0,,273,,BAO_0000221,,,,104714,H,4,1,
3085,CHEMBL617824,Autocuration,Ileum,2116.0,,188,,BAO_0000221,,,,104714,H,4,1,
3086,CHEMBL617825,Autocuration,Ileum,2116.0,,12919,,BAO_0000221,,,,104714,H,4,1,
3087,CHEMBL617826,Autocuration,Ileum,2116.0,,12918,,BAO_0000221,,,,104714,H,4,1,
3088,CHEMBL617827,Autocuration,Ileum,2116.0,,1559,,BAO_0000221,,,,104714,H,4,1,
3089,CHEMBL617828,Autocuration,Ileum,2116.0,,273,,BAO_0000221,,,,104714,H,4,1,
3090,CHEMBL617829,Autocuration,Ileum,2116.0,,1559,,BAO_0000221,,,,104714,H,4,1,
3091,CHEMBL617830,Autocuration,Ileum,2116.0,,1559,,BAO_0000221,,,,104714,H,4,1,
3092,CHEMBL617831,Autocuration,Ileum,2116.0,,1559,,BAO_0000221,,,,104714,H,4,1,
3093,CHEMBL617832,Autocuration,Ileum,2116.0,,14424,,BAO_0000221,,,,104714,H,4,1,
3094,CHEMBL617833,Autocuration,,,,13181,,BAO_0000019,,,,22226,U,0,1,
3095,CHEMBL617834,Autocuration,,,,5486,,BAO_0000357,,,,51,H,8,1,
3096,CHEMBL617835,Expert,,,,6491,,BAO_0000223,,,,104714,D,5,1,
3097,CHEMBL617836,Autocuration,,,,6013,,BAO_0000223,,,,104714,H,4,1,
3098,CHEMBL617837,Autocuration,,,,12861,,BAO_0000223,,,,104714,H,4,1,
3099,CHEMBL620392,Autocuration,,,,12861,,BAO_0000019,,,,104714,H,4,1,
3100,CHEMBL620393,Autocuration,,,,5104,,BAO_0000223,,,,104714,H,4,1,
3101,CHEMBL620394,Autocuration,,,,5105,,BAO_0000223,,,,104714,H,4,1,
3102,CHEMBL620395,Autocuration,,,,5104,,BAO_0000223,,,,104714,H,4,1,
3103,CHEMBL620396,Autocuration,,,,3935,,BAO_0000019,,,,22226,U,0,1,
3104,CHEMBL620582,Expert,,,,13657,433.0,BAO_0000219,,NG108-15,,105030,H,4,1,
3105,CHEMBL620583,Autocuration,,,,10369,,BAO_0000218,,,,105030,H,4,1,
3106,CHEMBL620584,Autocuration,,,,10369,,BAO_0000019,,,,105030,H,4,1,
3107,CHEMBL620585,Autocuration,,,,12918,,BAO_0000224,,,,105030,H,4,1,
3108,CHEMBL620586,Autocuration,,,,12918,,BAO_0000224,,,,105030,H,4,1,
3109,CHEMBL620587,Autocuration,,,,10369,,BAO_0000019,,,,105030,H,4,1,
3110,CHEMBL620588,Autocuration,,,,773,,BAO_0000019,,,,105030,H,4,1,
3111,CHEMBL620589,Autocuration,,,,12918,,BAO_0000218,,,,105030,H,4,1,
3112,CHEMBL620590,Autocuration,,,,10561,,BAO_0000219,,,,105030,H,4,1,
3113,CHEMBL617956,Autocuration,,,,12827,,BAO_0000019,,,,105030,H,4,1,
3114,CHEMBL617957,Autocuration,,,,12827,,BAO_0000019,,,,105030,H,4,1,
3115,CHEMBL617958,Autocuration,,,,12918,,BAO_0000224,,,,105030,H,4,1,
3116,CHEMBL617959,Autocuration,,,,273,,BAO_0000219,,,,105030,H,4,1,
3117,CHEMBL617960,Autocuration,,,,273,,BAO_0000219,,,,105030,H,4,1,
3118,CHEMBL617961,Autocuration,,,,10561,,BAO_0000224,,,,105030,H,4,1,
3119,CHEMBL617962,Autocuration,,,,5033,,BAO_0000219,,,,105030,H,4,1,
3120,CHEMBL617963,Autocuration,,,,16429,339.0,BAO_0000219,,N1E-115,,105030,H,4,1,
3121,CHEMBL617964,Autocuration,,,,10322,,BAO_0000019,,,,11765,H,8,1,
3122,CHEMBL617965,Autocuration,,,,14331,,BAO_0000219,,,,11765,H,8,1,
3123,CHEMBL617966,Autocuration,,,,13462,,BAO_0000357,,,,10630,D,9,1,
3124,CHEMBL857074,Autocuration,,,,12861,,BAO_0000019,,,,17106,H,8,1,
3125,CHEMBL617967,Autocuration,,,,15086,,BAO_0000357,,,,144,H,8,1,
3126,CHEMBL617968,Autocuration,,,,12861,,BAO_0000357,,,,144,H,8,1,
3127,CHEMBL617969,Autocuration,,,,10561,,BAO_0000223,,,,104714,H,4,1,
3128,CHEMBL617970,Autocuration,,,,10561,,BAO_0000223,,,,104714,H,4,1,
3129,CHEMBL617971,Autocuration,,,,10561,,BAO_0000223,,,,104714,H,4,1,
3130,CHEMBL617972,Autocuration,,,,10561,,BAO_0000019,,,,104714,H,4,1,
3131,CHEMBL617973,Autocuration,,,,273,,BAO_0000019,,,,104714,H,4,1,
3132,CHEMBL617974,Autocuration,,,,273,,BAO_0000019,,,,104714,H,4,1,
3133,CHEMBL617975,Autocuration,Ileum,2116.0,,273,,BAO_0000221,,,,104714,H,4,1,
3134,CHEMBL617976,Autocuration,,,,273,,BAO_0000019,,,,104714,H,4,1,
3135,CHEMBL617977,Autocuration,,,,273,,BAO_0000019,,,,104714,H,4,1,
3136,CHEMBL617978,Autocuration,,,,273,,BAO_0000019,,,,104714,H,4,1,
3137,CHEMBL617979,Autocuration,,,,273,,BAO_0000019,,,,104714,H,4,1,
3138,CHEMBL617980,Autocuration,,,,13047,449.0,BAO_0000219,,CHO,,104714,H,4,1,
3139,CHEMBL617981,Autocuration,,,,1650,,BAO_0000019,,,,104698,D,7,1,
