ASI,SI,ASSTY,CONFSCO,ASSCETY,SRASSI,ASTET,T,Descr,TII,ASSORG,ASSSTR,CEI,ASCATE,ASSTAI,RELATY,CURB,CHI,BFO,VARII
3423,1,F,4,,,,104714,Evaluated for the 5-hydroxytryptamine 3 receptor antagonistic activity in Bezold-Jarisch model expressed as inhibition of the reflex bradycardia induced by an intravenous injection,,,,,,,H,Autocuration,CHEMBL618045,BAO_0000019,
3424,1,B,4,,,,104714,Compound was measured for its binding affinity at 5-hydroxytryptamine 3 receptor at a concentration of 10 uM using [3H]BRL-43694 as radioligand,,,,,,,H,Autocuration,CHEMBL618046,BAO_0000223,
3425,1,F,4,,,,104714,Intrinsic activity towards 5-hydroxytryptamine 3 receptor was determined by Benzold-Jarisch reflex (peripheral assay); A: agonist,,,,,,,H,Autocuration,CHEMBL618047,BAO_0000019,
3426,1,F,4,,,,104714,Intrinsic activity towards 5-hydroxytryptamine 3 receptor was determined by Benzold-Jarisch reflex (peripheral assay); ANT: agonist,,,,,,,H,Autocuration,CHEMBL875084,BAO_0000019,
3427,1,F,4,,,,104714,Intrinsic activity towards 5-hydroxytryptamine 3 receptor was determined by Benzold-Jarisch reflex (peripheral assay); ANT: antagonist,,,,,,,H,Autocuration,CHEMBL618048,BAO_0000019,
3428,1,B,4,,,,104714,Intrinsic activity towards 5-hydroxytryptamine 3 receptor was determined by Benzold-Jarisch reflex (peripheral assay); NA means data not available,,,,,,,H,Autocuration,CHEMBL618049,BAO_0000223,
3429,1,F,4,,,,104714,Intrinsic activity towards 5-hydroxytryptamine 3 receptor was determined by Benzold-Jarisch reflex (peripheral assay); PA: Partial agonist,,,,,,,H,Autocuration,CHEMBL619764,BAO_0000019,
3430,1,F,4,,,,104714,Intrinsic activity towards CNS 5-hydroxytryptamine 3 receptor was determined; A: agonist,,,,,,,H,Autocuration,CHEMBL619765,BAO_0000019,
3431,1,F,4,,,,104714,Intrinsic activity towards CNS 5-hydroxytryptamine 3 receptor was determined; ANT: Antagonist,,,,,,,H,Autocuration,CHEMBL619766,BAO_0000019,
3432,1,B,4,,,,104714,Intrinsic activity towards CNS 5-hydroxytryptamine 3 receptor was determined; NA: not active,,,,,,,H,Autocuration,CHEMBL619767,BAO_0000223,
3433,1,B,4,,,,104714,Intrinsic activity towards CNS 5-hydroxytryptamine 3 receptor was determined; NA means data not available,,,,,,,H,Autocuration,CHEMBL619768,BAO_0000223,
3434,1,F,4,,,,104714,Intrinsic activity towards CNS 5-hydroxytryptamine 3 receptor was determined; PA: Partial agonist,,,,,,,H,Autocuration,CHEMBL619769,BAO_0000019,
3435,1,B,4,,,,104714,Intrinsic activity towards CNS 5-hydroxytryptamine 3 receptor was determined; na means data not available,,,,,,,H,Autocuration,CHEMBL619770,BAO_0000223,
3436,1,B,4,,,,104714,Binding affinity towards 5-hydroxytryptamine 3 receptor,,,,,,,H,Autocuration,CHEMBL619771,BAO_0000223,
3437,1,B,4,,,,104714,Binding affinity of compound towards 5-hydroxytryptamine 3 receptor using [3H]-BRL-43694 (1 nM) ligand in NG cells 108-15 was determined,,,,,,,H,Autocuration,CHEMBL619772,BAO_0000219,
3438,1,B,4,,,,104714,Binding affinity of compound towards 5-hydroxytryptamine 3 receptor; NA: not active,,,,,,,H,Autocuration,CHEMBL619773,BAO_0000223,
3439,1,B,4,NG108-15,,,104714,Binding affinity for 5-HT3 receptor of NG108-15 cells using [3H]GR-65630,,,,433.0,,,H,Autocuration,CHEMBL619774,BAO_0000219,
3440,1,B,4,,,,104714,Binding affinity to 5-HT3 serotonin receptor in NG 108-15 neuroblastoma glioma cells using [3H]GR-65630 radioligand.,,,,,,,H,Autocuration,CHEMBL875083,BAO_0000019,
3441,1,B,4,NG108-15,,,104714,Binding affinity to 5-HT3 serotonin receptor in NG108-15 neuroblastoma glioma cells using [3H]GR-65630 radioligand,,,,433.0,,,H,Autocuration,CHEMBL620718,BAO_0000219,
3442,1,B,4,,,,104714,Compound was tested for 5-hydroxytryptamine 3 receptor binding affinity,,,,,,,H,Autocuration,CHEMBL618127,BAO_0000223,
3443,1,B,4,,,,104714,Compound was tested for selectivity against 5-hydroxytryptamine 3 receptor binding affinity,,,,,,,H,Autocuration,CHEMBL618128,BAO_0000223,
3444,1,B,4,,,In vitro,104714,Compound was tested for the inhibition of [3H]GR-65630 binding to 5-hydroxytryptamine 3 receptor expressed in NG 108-15 cells,,,,,,,H,Autocuration,CHEMBL618129,BAO_0000219,
3445,1,B,4,,,,104714,In vitro Binding affinity towards 5-hydroxytryptamine 3 receptor was determined,,,,,,,H,Autocuration,CHEMBL618130,BAO_0000223,
3446,1,F,4,,,,104714,Tested for 5-hydroxytryptamine 3 receptor antagonist activity,,,,,,,H,Autocuration,CHEMBL618131,BAO_0000019,
3447,1,F,4,,,,104714,Compound was tested for agonistic activity against 5-hydroxytryptamine 3 receptor on guinea pig colon at a concentration of 1 uM,,Cavia porcellus,,,,10141.0,H,Autocuration,CHEMBL618132,BAO_0000019,
3448,1,F,4,,,,104714,Compound was tested for agonistic activity against 5-hydroxytryptamine 3 receptor on guinea pig colon at a concentration of 10 uM,,Cavia porcellus,,,,10141.0,H,Autocuration,CHEMBL618133,BAO_0000019,
3449,1,F,4,,,,104714,Compound was tested for agonistic activity against 5-hydroxytryptamine 3 receptor on guinea pig colon at a concentration of 10 uM in the presence of 30 uM MDL 72222,,Cavia porcellus,,,,10141.0,H,Autocuration,CHEMBL618134,BAO_0000019,
3450,1,F,4,,,,104714,Compound was tested for agonistic activity against 5-hydroxytryptamine 3 receptor on guinea pig colon at a concentration of 3 uM,,Cavia porcellus,,,,10141.0,H,Autocuration,CHEMBL618135,BAO_0000019,
3451,1,B,4,,,,104714,Binding affinity for the 5-hydroxytryptamine 3 receptor was evaluated in vitro by examining its ability to displace [3H]-BRL 43694.,,,,,,,H,Autocuration,CHEMBL618136,BAO_0000223,
3452,1,B,4,,,,104714,Binding affinity towards 5-hydroxytryptamine 3 receptor,,,,,,,H,Autocuration,CHEMBL618137,BAO_0000223,
3453,1,B,4,,,,104714,Compound was evaluated for binding affinity against 5-hydroxytryptamine 3 receptor using radioligand binding assay,,,,,,,H,Autocuration,CHEMBL618138,BAO_0000223,
3454,1,B,4,,,,104714,Tested against 5-hydroxytryptamine 3 receptor in experiment 1,,,,,,,H,Autocuration,CHEMBL618139,BAO_0000223,
3455,1,B,4,,,,104714,Tested against 5-hydroxytryptamine 3 receptor in experiment 2,,,,,,,H,Autocuration,CHEMBL618140,BAO_0000223,
3456,1,B,4,,,,104714,Binding affinity against 5-hydroxytryptamine 3 receptor was measured using [3H]granisetron as radioligand,,,,,,,H,Autocuration,CHEMBL618141,BAO_0000223,
3457,1,B,8,,,,108,Binding affinity for 5-hydroxytryptamine 2C receptor,,,,,,,H,Expert,CHEMBL873478,BAO_0000357,
3458,1,B,6,,,,104698,Binding affinity towards 5-hydroxytryptamine 3 receptor,,,,,,,H,Autocuration,CHEMBL618142,BAO_0000223,
3459,1,B,8,,,,144,Compound was evaluated for the affinity at 5-hydroxytryptamine 3 receptor,,,,,,,H,Autocuration,CHEMBL618143,BAO_0000357,
3460,1,B,8,,,,144,Compound was tested for its affinity towards 5-hydroxytryptamine 3 receptor,,,,,,,H,Autocuration,CHEMBL618144,BAO_0000357,
3461,1,B,8,,,,144,Inhibition of GR-65630 binding to 5-hydroxytryptamine 3 receptor,,,,,,,H,Autocuration,CHEMBL618145,BAO_0000357,
3462,1,B,4,,,,104714,Inhibition of [3H]- BRL 43 694 binding to 5-hydroxytryptamine 3 receptor at 10e-5 M,,,,,,,H,Autocuration,CHEMBL618146,BAO_0000223,
3463,1,B,4,,,,104714,Inhibition of [3H]-BRL 43 694 binding to 5-hydroxytryptamine 3 receptor of central nervous system,,,,,,,H,Autocuration,CHEMBL618147,BAO_0000223,
3464,1,B,4,,,,104714,Inhibition of [3H]- BRL 43 694 binding to 5-hydroxytryptamine 3 receptor at 10e-5 M,,,,,,,H,Autocuration,CHEMBL618148,BAO_0000223,
3465,1,B,8,,,,144,Binding affinity towards 5-hydroxytryptamine 3 receptor by displacement of [3H]2 in Neuroblastoma-Glioma NG-108-15 cells,,,,,,,H,Autocuration,CHEMBL618149,BAO_0000019,
3466,1,B,8,,,,144,Compound was evaluated for its binding affinity towards 5-hydroxytryptamine 3 receptor,,,,,,,H,Autocuration,CHEMBL872927,BAO_0000357,
3467,1,B,8,,,,144,Compound was evaluated for its binding affinity towards 5-hydroxytryptamine 3 receptor,,,,,,,H,Autocuration,CHEMBL618150,BAO_0000357,
3468,1,B,8,,,,144,Compound was tested for 5-hydroxytryptamine 3 receptor binding affinity,,,,,,,H,Autocuration,CHEMBL618151,BAO_0000357,
3469,1,B,8,,,,144,Compound was tested for its binding affinity for the 5-hydroxytryptamine 3 receptor,,,,,,,H,Autocuration,CHEMBL875094,BAO_0000357,
3470,1,B,8,,,,144,In vitro binding affinity for the 5-hydroxytryptamine 3 receptor was determined with NG-108-15 mouse neuroblastoma-glioma cells,,,,,,,H,Autocuration,CHEMBL618152,BAO_0000019,
3471,1,B,8,,,,144,In vitro binding affinity towards 5-hydroxytryptamine 3 receptor was determined,,,,,,,H,Autocuration,CHEMBL618153,BAO_0000357,
3472,1,B,8,,,,144,Inhibitory constant against 5-hydroxytryptamine 3 receptor using [3H]GR-65630 radioligand,,,,,,,H,Autocuration,CHEMBL618888,BAO_0000357,
3473,1,F,8,,,,144,Tested for 5-hydroxytryptamine 3 receptor agonist activity,,,,,,,H,Autocuration,CHEMBL618889,BAO_0000019,
3474,1,B,8,,,,144,The binding affinity towards 5-hydroxytryptamine 3 receptor; No affinity,,,,,,,H,Autocuration,CHEMBL618890,BAO_0000357,
3475,1,B,8,,,,144,Binding affinity for 5-hydroxytryptamine 3 receptor by displacement of [3H](R)-zacopride from ondansetron-treated NG-108-15 cell membranes,,,,,,,H,Autocuration,CHEMBL618891,BAO_0000019,
3476,1,B,8,,,,144,Binding affinity for 5-hydroxytryptamine 3 receptor by displacement of [3H]-BRL 43694 from NG-108-15 cell membranes,,,,,,,H,Autocuration,CHEMBL619054,BAO_0000019,
3477,1,B,4,,,,104714,Binding affinity against the 5-hydroxytryptamine 3 receptor,,,,,,,H,Autocuration,CHEMBL619055,BAO_0000223,
3478,1,B,8,,,,144,Binding affinity against human 5-hydroxytryptamine 3A receptor,,,,,,,H,Autocuration,CHEMBL619056,BAO_0000357,
3479,1,F,8,,,,144,Percent efficacy against 5-hydroxytryptamine 3A receptor,,,,,,,H,Autocuration,CHEMBL619057,BAO_0000019,
3480,1,B,8,,,,144,Binding affinity against human 5-hydroxytryptamine 3A receptor,,,,,,,H,Autocuration,CHEMBL619058,BAO_0000357,
3481,1,F,9,Oocytes,,,12020,Response at rat 5-hydroxytryptamine 3a receptor expressed in xenopus oocytes,,Rattus norvegicus,,,,10116.0,D,Expert,CHEMBL619059,BAO_0000219,
3482,1,F,9,Oocytes,,,12020,Ability to block serotonin (30 uM)-evoked responses at rat 5HT3-alpha receptor expressed in xenopus oocytes,,Rattus norvegicus,,,,10116.0,D,Expert,CHEMBL619060,BAO_0000219,
3483,1,F,9,Oocytes,,,12020,Effect on rat 5-hydroxytryptamine 3a receptor expressed in xenopus oocytes at concentration up to 100 uM,,Rattus norvegicus,,,,10116.0,D,Expert,CHEMBL875095,BAO_0000219,
3484,1,F,9,,,,20033,5-hydroxytryptamine 4 receptor agonist activity as percent maximum 5-HT effect in response to electrical stimulation in male guinea pig ileum,2116.0,Cavia porcellus,,,,10141.0,D,Intermediate,CHEMBL619061,BAO_0000221,
3485,1,F,9,,,,20033,5-hydroxytryptamine 4 receptor agonist activity expressed as the concentration which gave a 50% increase in the response to the electrical stimulation in male guinea pig ileum,2116.0,Cavia porcellus,,,,10141.0,D,Intermediate,CHEMBL619062,BAO_0000221,
3486,1,F,9,,,,20033,5-hydroxytryptamine 4 receptor agonist activity is expressed as percent of the maximum 5-HT response,,Cavia porcellus,,,,10141.0,D,Intermediate,CHEMBL619063,BAO_0000019,
3487,1,B,9,,,,20033,Tested for affinity towards 5-hydroxytryptamine 4 receptor in electrically stimulated longitudinal muscle preparation of guinea pig ileum,2116.0,Cavia porcellus,,,,10141.0,D,Intermediate,CHEMBL619064,BAO_0000221,
3488,1,B,9,,,,20033,Tested for affinity towards 5-hydroxytryptamine 4 receptor in guinea pig distal colon preparation,,Cavia porcellus,,,,10141.0,D,Intermediate,CHEMBL619065,BAO_0000357,
3489,1,B,9,,,,20033,Tested for affinity towards 5-hydroxytryptamine 4 receptor in isolated guinea pig ileum longitudinal muscle preparation,2116.0,Cavia porcellus,,,,10141.0,D,Intermediate,CHEMBL619066,BAO_0000221,
3490,1,B,8,,,,10209,Maximal relaxation effect induced by 3 uM compound on substance P stimulated guinea pig ileum with 5-hydroxytryptamine 7 receptor nondesensitization,2116.0,,,,,,H,Autocuration,CHEMBL619775,BAO_0000221,
3491,1,B,8,,,,10209,Affinity against 5-hydroxytryptamine 7 receptor,,,,,,,H,Autocuration,CHEMBL619776,BAO_0000357,
3492,1,B,4,,,,104841,Ability to displace [3H]5-HT binding from 5-hydroxytryptamine receptor site using 1 uM LSD as masking ligand,,Cavia porcellus,,,,10141.0,H,Autocuration,CHEMBL619777,BAO_0000224,
3493,1,B,4,,,,104841,Ability to displace [3H]5-HT binding to 5-hydroxytryptamine receptor site using 1 uM LSD as masking ligand,,Cavia porcellus,,,,10141.0,H,Autocuration,CHEMBL619778,BAO_0000224,
3494,1,B,4,,,,104841,Evaluated for inhibition of 5-hydroxytryptamine receptor on guinea pig ileum at 10 uM; No effect,2116.0,Cavia porcellus,,,,10141.0,H,Autocuration,CHEMBL619779,BAO_0000221,
3495,1,B,4,,,,104841,"Ability to displace [3H]5-HT binding to 5-hydroxytryptamine receptor site using 1 uM LSD as masking ligand, activity is expressed as Kd.",,Cavia porcellus,,,,10141.0,H,Autocuration,CHEMBL619780,BAO_0000224,
3496,1,B,4,,,,104841,"Ability to displace [3H]5-HT binding to 5-hydroxytryptamine receptor using 1 uM LSD as masking ligand, activity is expressed as Kd.",,Cavia porcellus,,,,10141.0,H,Autocuration,CHEMBL619166,BAO_0000224,
3497,1,F,4,,,,104841,5-HT level in K+ induced 5-hydroxytryptamine release in guinea pig cortex.,,Cavia porcellus,,,,10141.0,H,Autocuration,CHEMBL619167,BAO_0000019,
3498,1,F,4,,,,104841,5-hydroxytryptamine level in K+ induced 5-hydroxytryptamine release in guinea pig cortex.,,Cavia porcellus,,,,10141.0,H,Autocuration,CHEMBL619168,BAO_0000019,
3499,1,B,9,,,,168,Concentration required to produce half-maximal response against 5-hydroxytryptamine receptor in the presence of 10 nM compound in isolated human atrial myocytes,2081.0,Homo sapiens,,,,9606.0,D,Expert,CHEMBL619169,BAO_0000219,
3500,1,B,9,,,,168,Concentration required to produce half-maximal response against 5-hydroxytryptamine receptor on the L-type calcium current (I Ca) in isolated human atrial myocytes,2081.0,Homo sapiens,,,,9606.0,D,Expert,CHEMBL619170,BAO_0000219,
3501,1,F,5,,,,104841,"Maximum stimulation of [35S]GTP-gamma-S, binding expressed relative to the maximal effect of 5-hydroxytryptamine",,Homo sapiens,,,,9606.0,D,Autocuration,CHEMBL619171,BAO_0000019,
3502,1,F,9,,,,168,",Antagonism of stimulation of 5-hydroxytryptamine receptor on the L-type calcium current (I Ca) in isolated human atrial myocytes",2081.0,Homo sapiens,,,,9606.0,D,Expert,CHEMBL619172,BAO_0000219,
3503,1,B,0,,,,22226,Ability (10 ug/kg) to inhibit binding of [125I]iododexetimide to 5-hydroxytryptamine receptor in mice,,Mus musculus,,,,10090.0,U,Autocuration,CHEMBL619173,BAO_0000019,
3504,1,B,0,,,,22226,Percent inhibition of radioligand [3H]-LSD binding to 5-HT receptor at 10 uM concentration,,Mus musculus,,,,10090.0,U,Autocuration,CHEMBL619174,BAO_0000019,
3505,1,B,4,,,,104705,5-hydroxytryptamine receptor binding affinity was determined in rats,,,,,,,H,Autocuration,CHEMBL619175,BAO_0000019,
3506,1,B,4,,,,104705,Binding affinity at rat 5-hydroxytryptamine receptor.,,,,,,,H,Autocuration,CHEMBL619176,BAO_0000224,
3507,1,B,4,,,,104705,Affinity against 5-hydroxytryptamine receptors in rat fundus model,,,,,,,H,Autocuration,CHEMBL619177,BAO_0000019,
3508,1,B,4,,,,104705,Affinity for 5-hydroxytryptamine receptor was determined using male Dawley rat fundus preparation,,,,,,,H,Autocuration,CHEMBL619178,BAO_0000224,
3509,1,B,4,,,,104705,Affinity for 5-hydroxytryptamine receptor was determined using male Dawley rat fundus preparation; Not determined,,,,,,,H,Autocuration,CHEMBL619179,BAO_0000224,
3510,1,F,4,,,,104705,Antagonistic activity against serotonin 5-HT receptor obtained from rat stomach fundus preparation,945.0,,,,,,H,Autocuration,CHEMBL619180,BAO_0000019,
3511,1,F,4,,,,104705,Antagonistic activity against serotonin 5-HT receptor obtained from rat stomach fundus preparation (resulted in discoloration in the oxygenated muscle bath to give varying results).,945.0,,,,,,H,Autocuration,CHEMBL619181,BAO_0000019,
3512,1,F,4,,,,104705,Antagonistic activity of corresponding methoxy compound against serotonin 5-HT receptor,,,,,,,H,Autocuration,CHEMBL619182,BAO_0000019,
3513,1,B,4,,,,104705,Compound was evaluated for binding affinity towards 5-hydroxytryptamine receptor in isolated rat fundus preparation measured as pA2,,,,,,,H,Autocuration,CHEMBL619183,BAO_0000224,
3514,1,B,4,,,,104705,"Compound was evaluated for binding affinity towards 5-hydroxytryptamine receptor in isolated rat fundus preparation measured as pA2; Valid pA2, can not be determined because of slope of Schild plot.",,,,,,,H,Autocuration,CHEMBL619184,BAO_0000224,
3515,1,B,8,,,,10576,In vitro affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in hippocampus,10000000.0,,,,,,H,Autocuration,CHEMBL619185,BAO_0000221,
3516,1,B,8,,,,12198,Binding affinity for rat 5-hydroxytryptamine transporter.,,,,,,,H,Expert,CHEMBL619186,BAO_0000357,
3517,1,B,4,,,,104705,Evaluated for inhibition of specific [3H]5-HT receptor binding in rat cortex.,,,,,,,H,Autocuration,CHEMBL619187,BAO_0000019,
3518,1,B,5,,,,104705,Binding affinity at serotonin 5-HT1-type site receptor in rat cortex by displacing [3H]5-HT,,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL619188,BAO_0000019,
3519,1,B,5,,,,104705,Compound was tested for its inhibitory activity against 5-hydroxytryptamine receptor,,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL619189,BAO_0000224,
3520,1,F,9,,,,12198,Inhibitory activity against [3H]- 5-hydroxytryptamine reuptake in whole rat brain minus cerebellum,955.0,Rattus norvegicus,,,,10116.0,D,Expert,CHEMBL619190,BAO_0000019,
3521,1,F,9,,,,12198,Inhibition of [3H]5-HT reuptake in whole rat brain (minus cerebellum) homogenate.,2037.0,Rattus norvegicus,,,,10116.0,D,Expert,CHEMBL619191,BAO_0000221,
3522,1,B,5,,,,104705,Displacement of [3H]-citalopram from rat forebrain membrane 5-hydroxytryptamine receptor at 10e-7 M,,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL619192,BAO_0000019,
3523,1,B,5,,,,104705,Percent binding affinity against 5-hydroxytryptamine receptor,,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL619193,BAO_0000224,
3524,1,B,0,,,,22226,Ability to displace 0.4 nM [3H]paroxetine binding to 5-hydroxytryptamine receptor in rat frontal cortex,,,,,,,U,Autocuration,CHEMBL619194,BAO_0000019,
3525,1,B,5,,,,104705,The binding affinity was measured on 5-hydroxytryptamine receptor uptake receptor using [3H]- paroxetine as radioligand.,,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL619195,BAO_0000224,
3526,1,B,5,,,,104705,Affinity against 5-hydroxytryptamine receptor was determined,,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL619196,BAO_0000224,
3527,1,B,5,,,,104705,Affinity against 5-hydroxytryptamine receptor was determined in rat stomach fundus strip,945.0,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL619197,BAO_0000019,
3528,1,B,9,,,In vitro,121,Inhibition of [3H]5-HT uptake in HEK cells expressing human SERT,,Homo sapiens,,,,9606.0,D,Expert,CHEMBL619198,BAO_0000219,
3529,1,B,9,,,In vitro,121,Inhibition of [3H]5-HT uptake in HEK cells expressing human SERT,,Homo sapiens,,,,9606.0,D,Expert,CHEMBL875081,BAO_0000219,
3530,1,B,8,,,,18065,Ability to compete with radioactive ligands specific to the Serotonergic 5-HT receptor at 10 uM; NA means compound failed to compete,,,,,,,H,Autocuration,CHEMBL884712,BAO_0000357,
3531,1,B,8,,,,121,Inhibition of 5-hydroxytryptamine reuptake,,,,,,,H,Expert,CHEMBL884710,BAO_0000357,
3532,1,F,8,,,,18065,"Receptor-linked G protein activation at 5-hydroxytryptamine receptor was determined by measuring the stimulation of [35S]GTP-gamma-S, binding",,,,,,,H,Autocuration,CHEMBL619199,BAO_0000019,
3533,1,F,8,,,,18065,"Receptor-linked G protein activation at 5-hydroxytryptamine receptor was determined by measuring the stimulation of [35S]GTP-gamma-S, binding (Experiment 1)",,,,,,,H,Autocuration,CHEMBL619200,BAO_0000019,
3534,1,F,8,,,,18065,"Receptor-linked G protein activation at 5-hydroxytryptamine receptor was determined by measuring the stimulation of [35S]GTP-gamma-S, binding (Experiment 2)",,,,,,,H,Autocuration,CHEMBL619201,BAO_0000019,
3535,1,F,8,,,,18065,Tested for 5-hydroxytryptamine receptor uptake,,,,,,,H,Autocuration,CHEMBL619202,BAO_0000019,
3536,1,B,9,CHO,,,51,Affinity constant on CHO cells expressing Human recombinant 5-hydroxytryptamine receptor 1A,,Homo sapiens,,449.0,,9606.0,D,Expert,CHEMBL619203,BAO_0000219,
3537,1,F,9,,,,51,Antagonistic affinity tested against isolated human cloned alpha-1d adrenoceptor subtype,,Homo sapiens,,,,9606.0,D,Expert,CHEMBL619204,BAO_0000019,
3538,1,B,8,,,,10576,In vitro binding affinity towards 5-hydroxytryptamine receptor 1A receptor by using [3H]8-OH-DPAT in rat hippocampal membranes.,,Homo sapiens,,,,9606.0,H,Autocuration,CHEMBL619205,BAO_0000249,
3539,1,B,8,,,,10576,Tested in vitro for % inhibition against 5-hydroxytryptamine receptor 1A,,,,,,,H,Autocuration,CHEMBL619206,BAO_0000357,
3540,1,B,8,,,,10576,In vitro binding affinity at 5-hydroxytryptamine receptor 1A receptor in rat hippocampal membranes by [3H]8-OH-DPAT displacement.,,,,,,,H,Expert,CHEMBL619207,BAO_0000249,
3541,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP in rats corpus striatum at a dosage of 0.10 umol/kg,2435.0,,,,,,H,Autocuration,CHEMBL619208,BAO_0000019,
3542,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP in rats corpus striatum at a dosage of 10 umol/kg,2435.0,,,,,,H,Autocuration,CHEMBL619209,BAO_0000019,
3543,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP in rats in corpus striatum at a dosage of 0.32 umol/kg,2435.0,,,,,,H,Autocuration,CHEMBL619210,BAO_0000019,
3544,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP in rats in corpus striatum at a dosage of 3.2 umol/kg,2435.0,,,,,,H,Autocuration,CHEMBL619211,BAO_0000019,
3545,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP in rats in corpus striatum at a dosage of 32 umol/kg,2435.0,,,,,,H,Autocuration,CHEMBL619212,BAO_0000019,
3546,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 0.032 umol/kg,2435.0,,,,,,H,Autocuration,CHEMBL620681,BAO_0000019,
3547,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 1.0 umol/kg,2435.0,,,,,,H,Autocuration,CHEMBL620682,BAO_0000019,
3548,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 10 umol/kg,2435.0,,,,,,H,Autocuration,CHEMBL620683,BAO_0000019,
3549,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 100 umol/kg,2435.0,,,,,,H,Autocuration,CHEMBL620684,BAO_0000019,
3550,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 3.2 umol/kg,2435.0,,,,,,H,Autocuration,CHEMBL620685,BAO_0000019,
3551,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in corpus striatum at a dosage of 32 umol/kg,2435.0,,,,,,H,Autocuration,CHEMBL620686,BAO_0000019,
3552,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 0.032 umol/kg,349.0,,,,,,H,Autocuration,CHEMBL620687,BAO_0000019,
3553,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 0.10 umol/kg,349.0,,,,,,H,Autocuration,CHEMBL620688,BAO_0000019,
3554,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 0.32 umol/kg,349.0,,,,,,H,Autocuration,CHEMBL620689,BAO_0000019,
3555,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 1.0 umol/kg,349.0,,,,,,H,Autocuration,CHEMBL620690,BAO_0000019,
3556,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 10 umol/kg,349.0,,,,,,H,Autocuration,CHEMBL620691,BAO_0000019,
3557,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 100 umol/kg,349.0,,,,,,H,Autocuration,CHEMBL620692,BAO_0000019,
3558,1,F,8,,,,10825,Compound was tested for its effect on NSD 1015 induced accumulation of 5-HTP(ng/g) in rats in limbic system at a dosage of 3.2 umol/kg,349.0,,,,,,H,Autocuration,CHEMBL620693,BAO_0000019,
3559,1,B,8,,,,168,Binding affinity against 5-hydroxytryptamine 4 receptor,,,,,,,H,Expert,CHEMBL620694,BAO_0000357,
3560,1,F,8,,,,168,Tested for 5-hydroxytryptamine 4 receptor antagonist activity,,,,,,,H,Autocuration,CHEMBL857986,BAO_0000019,
3561,1,B,8,,,,168,Inhibitory activity against 5-hydroxytryptamine 4 receptor using [3H]GR-113808 as radioligand at 10e-5 M concentration,,,,,,,H,Autocuration,CHEMBL620695,BAO_0000357,
3562,1,B,8,,,,168,Binding affinity towards Serotonin 5-hydroxytryptamine 4 receptor,,,,,,,H,Expert,CHEMBL620696,BAO_0000357,
3563,1,B,8,,,,168,Inhibitory constant against 5-hydroxytryptamine 4 receptor using [3H]GR-113808 radioligand,,,,,,,H,Autocuration,CHEMBL620697,BAO_0000357,
3564,1,B,8,,,,168,Binding affinity towards 5-hydroxytryptamine 4 receptor,,,,,,,H,Autocuration,CHEMBL620698,BAO_0000357,
3565,1,B,8,,,,168,Binding affinity towards 5-hydroxytryptamine 4 receptor; ND means no data.,,,,,,,H,Autocuration,CHEMBL620699,BAO_0000357,
