id,manufacturer,price,title
487,business objects,199.99,crystal reports 11 reporting essentials trng cbt
488,aspyr media,39.99,star wars battlefront ( mac )
489,ientertainment,29.99,flyboys squadron mac
490,microsoft software,549.0,microsoft visual studio professional 2005 upgrade
491,yamaha,31.95,hollywood volume 1
492,microsoft,29.99,microsoft productivity pack for windows mobile
493,adobe,349.0,adobe encore dvd 2.0
494,apple,699.95,webobjects 5.2
495,serious magic,276.5,serious magic ultra2 master sets library 2 windows )
496,microsoft,179.99,microsoft windows vista business 32-bit for system builders
497,microsoft,179.0,microsoft data analyzer 2002
498,encore software,39.99,mavis beacon typing 17 deluxe by broderbund
499,symantec,169.65,symantec pcanywhere 12.0 host only
500,riverdeep-learning-company,9.99,the printshop business card maker ( jewel case )
501,microsoft software,129.95,microsoft digital image suite plus [ lb ]
502,symantec,885.83,symc backup exec sbs prm 11d win small business server
503,sierra home,29.99,hallmark card studio 2006
504,adobe,129.0,adobe audition 2.0 upgrade
505,symantec,99.95,norton internet security mac 3.0 [ antivirus firewall privacy controls iclean ]
506,corel,149.99,corel wordperfect office 12 standard upgrade
507,autodesk psg,59.95,raster design 2006 essentials
508,adobe,273.0,acrobat professional 8 mac upsell standard-professional
509,microsoft,149.0,services for netware 5.0
510,encore software,29.99,reader rabbit learning system 1st grade
511,microsoft,99.95,microsoft publisher 2007 version upgrade
512,microsoft software,199.99,microsoft windows xp professional upgrade with sp2
513,encore software,19.99,mavis beacon typing 17 ( win/mac )
514,microsoft,259.95,microsoft windows vista ultimate upgrade [ dvd ]
515,topics entertainment,49.99,instant immersion spanish deluxe 2.0
516,adobe,599.0,adobe creative suite cs3 design premium upgrade [ mac ]
517,adobe,649.0,adobe photoshop cs3 [ mac ]
518,microsoft,239.99,microsoft office 2004 standard upgrade ( mac )
519,microsoft,49.95,microsoft student with encarta premium 2008 dvd
520,intuit,399.95,quickbooks premier nonprofit edition 2007
521,microsoft software,49.95,microsoft sql server developer edition 2005 cd/dvd
522,microsoft,259.95,microsoft visio standard 2007
523,microsoft,399.95,microsoft windows vista ultimate full version [ dvd ]
524,apple computer,299.0,apple final cut express hd 3.5 ( mac )
525,corel,429.0,corel painter x win/mac
526,global marketing partners,295.0,cadopia 6 standard edition by cadopia
527,adobe,99.99,adobe premiere elements 3.0
528,intuit,99.95,quickbooks simple start 2007
529,microsoft,19.99,zoo tycoon 2 : marine mania expansion
530,encore software,19.99,learning company kid pix deluxe 4
531,microsoft,809.0,microsoft windows server 2003 client additional license for users-5 pack
532,intuit,199.95,quickbooks pro 2007 for mac ( mac )
533,adobe,274.95,upgrade freehand 11 maceng cd 1u
534,imsi design,19.95,imsi resume writer deluxe [ lb ]
535,microsoft,49.95,microsoft windows live onecare 1.5 online pc care subscription [ 12 months ]
536,adobe,89.99,adobe photoshop elements 4.0 ( mac )
537,apple,99.95,apple . mac 4.0 online service
538,apple,79.0,apple iwork '06 ( mac dvd )
539,intuit,39.95,learning quickbooks 2007
540,corel,129.99,ulead videostudio 11 plus
541,microsoft,99.95,microsoft onenote 2007
542,apple computer,79.0,apple ilife '06 ( mac dvd ) [ older version ]
543,adobe,199.0,adobe photoshop cs3 upgrade [ mac ]
544,microsoft,199.0,microsoft windows xp home edition full version with sp2
545,microsoft,49.95,microsoft flight simulator x deluxe dvd
546,adobe,149.99,adobe photoshop elements 5.0 premiere elements 3.0 bundle
547,microsoft,109.95,microsoft outlook 2007
548,intuit,199.95,quickbooks pro 2007 small business financial software
549,adobe,1514.99,adobe acrobat capture 100 000 page pack
550,microsoft,329.95,windows vista business spanish full version [ dvd ]
551,symantec,447.74,symc backup exec sbs aws 11d win sbs agent for windows systems
552,corel,39.99,corel snapfire plus [ ignite photo fun ]
553,adobe,199.0,adobe indesign cs3 upgrade from pagemaker
554,topics entertainment,39.99,instant immersion german deluxe 2.0
555,encore software,9.99,scooby doo glowing bug man ( jewel case )
556,topics entertainment,49.99,instant immersion italian deluxe 2.0
557,adobe,1699.0,adobe creative suite cs3 production premium
558,topics entertainment,29.99,instant immersion spanish 2.0
559,adobe,399.0,adobe dreamweaver cs3 [ mac ]
560,symantec,769.49,symc backup exec aofo 11d win advanced open file option
561,intuit,29.95,quicken 2007 basic
562,adobe,199.0,adobe dreamweaver cs3 upgrade [ mac ]
563,adobe,2171.7,macromedia director 10 mx 2004
564,h & r block,19.99,h & r block taxcut 2006 premium federal
565,adobe,1599.0,adobe creative suite cs3 web premium [ mac ]
566,apple,99.0,apple garageband jam pack : symphony orchestra
567,h & r block,79.99,h & r block taxcut 2006 home & business + state
568,adobe,908.69,dv rack 2 win retail ue1u
569,microsoft,11318.25,exchange svr ent 2007 x64 eng dvd 25 clt
570,individual software,19.99,professor teaches windows xp
571,microsoft,129.95,microsoft visio standard 2007 version upgrade
572,adobe,199.0,adobe dreamweaver cs3 upgrade
573,corel,179.0,coreldraw graphics suite x3 upgrade
574,microsoft,349.0,microsoft mappoint 2006 with gps
575,disney interactive,9.99,millionaire sports edition ( jewel case )
576,the learning company,24.99,cluefinders 3rd grade adventures : mystery of mathra
577,intuit,89.95,quicken 2007 home & business
578,microsoft,229.95,microsoft office excel 2007
579,h & r block,59.99,h & r block taxcut 2006 premium federal + state + efile
580,intuit,1499.95,quickbooks premier edition 2007 5 user multi-pack
581,encore,9.99,hoyle board games
582,apple,99.0,apple garageband jam pack : remix tools
583,roxio,49.95,roxio popcorn 2 ( mac )
584,microsoft,299.95,microsoft windows vista business full version [ dvd ]
585,corel,69.99,intervideo windvd 8 platinum
586,intuit,399.95,quickbooks premier professional services edition 2007
587,microsoft,109.95,microsoft word 2007 version upgrade
588,adobe,1199.0,adobe creative suite cs3 design standard [ mac ]
589,intuit,59.95,quicken 2007 deluxe
590,apple,99.0,apple garageband jam pack : world music
591,apple,99.0,apple iwork '06 family pack ( mac dvd ) [ older version ]
592,adobe,299.0,adobe after effects cs3 upgrade
593,adobe,199.0,adobe indesign cs3 upgrade [ mac ]
594,corel,399.99,corel wordperfect office x3 professional edition
595,adobe,1657.06,flash remoting 1 alp ret eng cd 1u
596,vivendi universal,19.99,swat 4 : special weapons and tactics
597,adobe,1799.0,adobe creative suite cs3 design premium [ mac ]
598,adobe,138.45,adobe pagemaker v7 .0.2 cd mac-upg 17530402 )
599,topics entertainment,49.99,instant immersion french deluxe 2.0
600,apple,179.95,apple . mac 4.0 online service family pack
601,knowledge adventure,19.99,jumpstart kindergarten
602,adobe,399.0,adobe creative suite cs3 design standard upgrade [ mac ]
603,apple,299.0,apple aperture 1.5
604,microsoft,449.95,microsoft office small business 2007 full version
605,microsoft,229.99,microsoft word 2004 ( mac )
606,microsoft,499.99,microsoft office 2004 professional ( mac )
607,encore software,49.99,broderbund print shop 21 deluxe
608,adobe,499.0,adobe creative suite cs3 web premium upgrade [ mac ]
609,intuit,69.95,quicken 2007 for mac
610,broderbund,39.99,mavis beacon teaches typing deluxe 16
611,intuit,399.95,quickbooks premier manufacturer and wholesale edition 2007
612,corel,699.0,corel ventura 10 dvd
613,scholastic,19.99,math missions : the amazing arcade adventure grades 3-5
614,microsoft,99.0,microsoft works suite 2006
615,adobe,399.0,adobe creative suite cs3 design standard upgrade
616,microsoft,99.95,microsoft windows vista home basic upgrade [ dvd ]
617,symantec,69.95,norton antivirus mac 10.0 ( mac )
618,panicware,29.99,pop-up stopper professional
619,nova development,,ideasoft photo clip art 10 000
620,adobe,799.0,adobe premiere pro cs3
621,entertainment partners,699.0,entertainment partners budgeting ( mac )
622,emedia,59.99,emedia intermediate guitar method win/mac
623,mumbo jumbo,19.99,super collapse 3
624,netopia,199.99,timbuktu remote control softwre 2 licenses for windows & mac
625,apple,499.0,apple final cut studio 2 upgrade from final cut studio ( mac )
626,steinberg,374.99,steinberg halion symphonic orchestra virtual instrument ( academic version )
627,the learning company,9.99,reader rabbit kindergarten version 1.1
628,delorme,49.95,delorme topo usa mapping software 6.0 west region
629,chronos,29.99,soho labels & envelopes chronos l.c.
630,roxio,47.33,stopzilla 4.0
631,h & r block,39.99,h & r block taxcut 2006 premium federal + state with usb 256m flashdrive
632,microsoft,299.99,microsoft windows xp professional full version with sp2
633,masque,,sportsman 's double play
634,phase one,499.0,phase one capture one pro win/mac
635,encore,29.95,family tree maker version 16 essentials
636,encore software,39.99,mavis beacon teaches typing deluxe v17
637,united developers,,mah jong quest
638,apple,699.0,apple final cut studio 2 upgrade from final cut pro ( mac )
639,solidworks corporation,39.99,cosmic blobs : lab rat edition ( win & mac )
640,alsoft,,alsoft diskwarrior : mac univeral binary
641,aspyr media,34.99,sims 2 nightlife expansion pack
642,adobe,699.0,adobe flash pro cs3 [ mac ]
643,git corp,49.99,40 years of the avengers
644,microspot ltd.,99.95,microspot macdraft pe ( mac )
645,microsoft,219.99,microsoft virtual pc for mac 7.0 with windows xp home
646,topics entertainment,,instant immersion german audio
647,iris,499.95,readiris pro 11 corporate edition ( mac )
648,intego inc,,internet security barrier x4 antispam edition
649,mcafee,99.99,mcafee total protection 2007 3 users
650,symantec,349.0,symantec gateway security 300 series 10 10224341 )
651,abacus software,29.95,vuvideo anywhere for your ipod
652,findex,59.95,quickverse mac bible study 2007 white box
653,encore,29.99,3d home architect home design deluxe version 9
654,adobe,273.0,acrobat professional 8 ( windows )
655,fogware publishing,29.99,art ( dvd ) ( pc & mac )
656,dreamcatcher interactive,29.99,wanted : a wild western adventure
657,emedia music,,emedia guitar basics
658,ingram micro,69.99,webexpress
659,csdc,9.99,more brain games
660,abacus,39.95,usa/world extreme landscapes bundle
661,adobe,399.0,adobe cs3 design standard macosx dvd
662,microsoft,669.0,microsoft windows terminal server 2003 client additional license for users - 5 user
663,mediafour corporation,49.95,macdrive 7
664,topics entertainment,4.99,snap ! hair styler studio
665,sony-media-software,24.95,photo go
666,viva media,19.99,riding academy : jump & ride
667,freeverse software,29.99,toysight gold for isight : includes 15 games ( mac )
668,feral interactive,19.99,ford racing 2 ( mac )
669,encore software,19.99,printmaster gold v 17.0
670,jungle software,299.0,gorilla 4 standard
671,sega-of-america-inc .,19.99,sonic mega collection plus
672,topics entertainment,19.99,scholastic brain play : pre-kindergarten 1st grade
673,re : launch,109.95,bryce 6
674,school zone,12.99,school zone flash action addition/subtraction ( windows/macintosh )
675,nova development,79.99,art explosion 600 000 images
676,adobe,299.0,lightroom 1 mlp retail ue 1u
677,microsoft,70.0,mcsa/mcse self-paced training kit ( exams 70-292 & 70-296 ) upgrading your certi
678,topics entertainment,29.99,instant immersion german v2 .0 ( pc & mac )
679,navarre ( software ),59.95,x-plane deluxe including 7 double layer dvds ( mac )
680,susteen,79.99,datapilot cell phone data transfer suite universal
681,warner-new-media,29.99,hospital tycoon for pc
682,simply-put-software-llc,,mozy 3.0
683,encore,39.99,math advantage 2008
684,csdc,,route 66 route canada ( french )
685,aspyr media,34.99,the sims 2 : open for business expansion pack
686,aspyr media,29.99,lego star wars ( dvd ) ( mac )
687,grisoft,39.95,grisoft avg anti-virus & anti-spyware 2 year subscription
688,phase one,,phase one capture one le
689,encore software,,family tree maker version 16 collectors edition
690,aspyr media,34.99,sims 2 university expansion pack
691,global-software-publishing,9.99,dk amazing animals 1.1
692,yamaha,31.95,sunset boulevard
693,global-software-publishing,9.99,kakuro puzzle addict unlimited edition
694,eovia,,eovia carrara 5 pro
695,global software,,global software smart steps 1st grade windows macintosh )
696,on-hand-software,9.99,wild photo effects ( jewel case )
697,global software,,amazing animals with zoofari games ( win/mac )
698,smith-micro-software-inc .,49.99,morpheus photo animation suite
699,abacus,,scrapbook for windows
700,aspyr media,49.99,sims complete
701,topware interactive,19.99,airline tycoon deluxe
702,nova development,69.99,intellimover transfer your pc deluxe
703,global-software-publishing,9.99,dk exotic animals africa
704,csdc,,ilisten with headset microphone 1.7
705,punch ! software,99.95,professional home design suite platinum
706,blizzard entertainment,39.99,world of warcraft expansion : burning crusade
707,global-software-publishing-north-america-inc,6.99,sudoku puzzle addict
708,strategy first,19.99,alliance future combat
709,global-software-publishing,9.99,dk smart steps 3rd grade
710,encore,19.99,marine aquarium 2.0 ( mac )
711,encore,99.95,family tree maker 2008 platinum
712,encore software,19.95,spongebob squarepants typing 2008 win/mac
713,aspyr media,39.99,call of duty deluxe ( mac ) ( dvd )
714,global-software-publishing-north-america-inc,9.99,gsp crossword addict
715,yamaha,34.95,mike garson jazzical suite
716,avid technology,1942.6,avid liquid pro
717,viva media,29.99,learn to play chess with fritz & chesster 2 ( mac )
718,brighter-minds-media-inc .,9.99,land before time : kindergarten
719,on-hand-software,9.99,best of card games ( jewel case )
720,autodesk-m - & - e-box,3495.0,3ds max 9 com new slm
721,honest technology,79.99,backpack journalist
722,steinberg,2499.0,steinberg nuendo 3 digital audio software
723,topics-entertainment-software - ( consignment ),9.99,learn2 training for microsoft excel
724,simply-put-software,,simply put software got ta sing windows/macintosh )
725,omni group,29.99,omniweb 5.0
726,simply-put-software,,simply put software data eliminator
727,nuance-communications-inc .,,ibm viavoice advanced v. 10
728,myob us,99.95,firstedge v 2.0 ( mac )
729,aspyr media,39.99,doom 3 ( dvd ) ( mac )
730,graphics-simulations-corporation,39.99,f/a -18 operation iraqi freedom
731,topics entertainment,129.99,instant immersion italian platinum
732,aspyr media,29.99,civilization iv warlords ( mac )
733,encore software,49.99,clickart 1.2 million dvd 2006 by broderbund
734,topics entertainment,29.99,middle school success essentials
735,encore software,29.99,adventure workshop preschool ( jewel case )
736,adobe,799.0,adobe creative suite cs3 production premium upgrade
737,adobe,649.0,adobe photoshop cs2 ( mac ) [ old version ]
738,encore,49.99,print shop 22 deluxe
739,i.r.i.s.,129.95,iris readiris pro 11.0 ( mac )
740,feral interactive,39.99,chessmaster 9000 ( mac )
741,adobe-education-box,199.0,illustrator cs3 13 mac ed 1u
742,aspyr media,49.99,star wars empire at war ( intel only macs )
743,adobe-education-box,159.0,acrobat pro 8 mac ed 1u cd
744,mariner software,59.99,mariner calc speadsheet ( mac )
745,brighter minds,14.99,diner dash ( pc & mac )
746,csdc,149.0,marketcircle daylite v3 .0 ( mac )
747,feral interactive,39.99,lego star wars ii : the original trilogy for mac
748,aspyr media,19.99,rollercoaster tycoon 3 : soaked
749,dantz,99.99,retrospect 6.0 desktop mac
750,microspot ltd.,99.95,microspot interiors ( mac )
751,marware,199.95,project x project management software
752,destineer,49.99,age of empires iii
753,topics entertainment,49.95,microsoft office & windows training professional
754,aladdin systems,29.99,internet cleanup 3.0
755,micromat,,micromat protogo
756,git corp,49.99,44 years of the fantastic four
757,macsoft,49.99,rise of nations : gold ( mac )
758,csdc,49.95,circus ponies-notebook 2.0 mac os
759,nova development,29.99,humorous greeting card factory
760,panda software,,panda software antivirus & firewall 2008 windows
761,microsoft software,2309.0,microsoft visual studio team edition for software testers 2005 w/msdn premium renewal
762,me-too-software,29.99,i transfer dvds 2 ipod edition ( win/mac )
763,sony-creative-software,29.99,station access collection
764,dreamcatcher interactive,29.99,agatha christie : and then there were none
765,atari,29.99,unreal tournament 2004 dvd-rom )
766,ubi soft,19.99,brothers in arms : road to hill 30 ( dvd-rom )
767,aspyr media,59.99,command and conquer generals deluxe dvd-rom ( mac )
768,electronic arts,29.99,battlefield 1942 : deluxe edition
769,avanquest-publishing-usa-inc .,79.95,power director 3
770,cosmi,,cosmi rom03558 print perfect clip art deluxe
771,curious-labs-inc .,279.99,e frontier poser 6 collector 's edition with volume 1 figure pack ( mac )
772,adobe,599.0,adobe illustrator cs3 [ mac ]
773,microsoft corporation,,microsoft office mac 2004 english 3pk dsp 731-01163 )
774,adobe software,273.0,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc )
775,aspyr media,39.99,quake 4 ( mac )
776,micromat,99.99,micromat techtool pro 4 ( mac )
777,encore,9.99,varmint hunter ( jewel case )
778,encore,19.95,hoyle casino 2007
779,encore software,39.99,3d home architect landscape v. 8 by encore software
780,encore,7.99,hoyle backgammon jc
781,microsoft,229.99,microsoft excel 2004 ( mac )
782,encore software,9.99,pc hoyle bridge
783,corel,49.99,corel dvd moviefactory 6.0
784,encore,19.99,axis & allies collector 's edition
785,encore software,19.95,jewels of cleopatra
786,encore,19.99,jeopardy! deluxe
787,encore software,19.95,hoyle 4-pack 2006
788,encore software,19.95,hoyle puzzle & board games
789,encore,9.99,hoyle mahjongg ( jewel case )
790,encore,19.95,scrabble champion edition
791,encore,9.99,hoyle kids ' games jc
792,brighter-minds-media-inc .,19.99,cyberchase adventures : carnival chaos and casablanca quest
793,encore,9.99,hoyle south beach solitaire
794,encore,9.99,monopoly 3
795,computer associates,,ca arcserve bkup r11 .5 win client vss software snap-shot - prod only
796,corel,89.99,ulead videostudio 11
797,zero-g,169.95,zero-g pro pack for garageband ( appleloops )
798,encore,9.99,hoyle solitaire ( jewel case )
799,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 )
800,broderbund,29.99,calendar creator 10
801,ulead systems,494.99,ulead systems dvd workshop 2
802,final draft,249.99,final draft 7/syd field 's screenwriting workshop dvd bundle
803,adobe,2499.0,adobe creative suite cs3 master collection [ mac ]
804,digidesign,495.0,digidesign music production toolkit ( pro tools le )
805,encore,9.99,hoyle texas hold 'em poker ( jewel case )
806,encore,9.99,chicken hunter : license to grill the great poultry race
807,encore software,29.99,media studio for psp standard editon
808,encore software,29.99,3d home architect landscape designer v8
809,encore,19.99,hoyle : classic collection 2006
810,encore,19.95,monopoly here & now
811,encore,9.99,chicken hunter wanted jc
812,extensis corporation,,extensis smartscale 1-user pxe-11433 )
813,aquaminds,69.99,notetaker 1.5
814,nova development,99.99,business plan writer deluxe 8.0 2005
815,extensis corporation,199.99,extensis intellihance pro 4.x win/mac
816,microsoft,10949.0,microsoft visual studio team suite 2005 with msdn premium ( cd & dvd )
817,csdc,39.95,macjournal v4 ( mac )
818,canopus,99.0,canopus 77010158100 let 's edit
819,encore software,19.95,mavis beacon 17 standard
820,riverdeep,,riverdeep adventure workshop 4th-6th grade 8th edition
821,encore,19.99,adventure workshop preschool-1st grade 8th edition
822,e-b-c-marketing,19.99,sharks 2.0 ( pc & mac )
823,microsoft,109.99,microsoft word 2004 upgrade ( mac )
824,sony-pictures-home-entertainment,599.99,vegas 6 for pc
825,sony-pictures-digital-entertainment,599.95,sony vegas 6
826,motu,795.0,motu digital performer 5 digital audio software ( mac only )
827,m-audio,299.99,m-audio pro tools m-powered 7.3 m-audio compatible world-class production software
828,pinnacle,29.99,pinnacle mobile media converter
829,avid technology,888.75,avid liquid vs 7 software
830,corel,155.22,acad corel painter x pc/mac
831,global-software-publishing,9.99,rainbow fish and the whale ( win/mac )
832,global software,,global software smart steps 2nd grade windows macintosh )
833,punch ! software,99.0,punch ! viacad 2d/3d
834,sony media,722.0,vegas 7 + dvd/soundforge8bundl
835,handmark inc. .,,handmark oxford american desk dictionary and thesaurus
836,global-software-publishing,9.99,i love the usa
837,adobe,349.0,adobe photoshop cs3 extended upgrade [ mac ]
838,absolute software,99.95,computrace lojack for laptops 3 year license ( mac )
839,adobe,999.0,adobe photoshop cs3 extended
840,sony-pictures-digital-entertainment,49.35,digital video and audio production book for vegas 7 + dvd
841,pinnacle,251.55,studio movieboard plus pci hardware
842,fellowes,,10 outlet metal split surge
843,kensington,89.99,kensington contour pro 17 notebook carrying case ( 62340 )
844,now software,,now up-to-date & contact v5 .0 ( mac )
845,iplaymusic,49.99,iplaymusic beginner guitar lessons for the mac and ipod
846,sony-media-software,59.95,discrete drums : vol .1
847,d-link systems inc. .,,vpn client software 5 users
848,bling software,,safekeeper plus
849,hewlett packard,,hp c7130b color laserjet 5550 500-sheet input tray
850,kensington technology group,,kensington contour pro xbrace notebook carrying case ( 62236 )
851,punch ! software,99.0,punch ! professional home design platinum v10
852,sony-pictures-digital-entertainment,249.95,cinescore professional soundtrack edition
853,onone software,59.95,onone essentials for adobe photoshop elements
854,individual software,39.99,bookkeeper 2008
855,micromat,69.0,micromat podlock ( mac )
856,corel,,videostudio 11 plus
857,cakewalk,209.0,cakewalk sonar home studio 6 xl
858,microsoft,79.95,microsoft onenote 2007 upgrade
859,onone software,,onone software intellihance pro 4.1
860,apple computer,99.0,apple ilife '06 family pack ( mac dvd ) [ older version ]
861,riverdeep-learning-company,39.99,creating keepsakes scrapbook designer version 2 platinum
862,cakewalk,259.0,cakewalk project5 version 2
863,steinberg,,cubase se3 educational edition
864,school zone,14.95,vocabulary puzzles grade 1
865,cakewalk,139.0,cakewalk sonar home studio 6
866,avanquest,49.95,system care professional
867,punch ! software,29.0,punch ! ultimate deck and landscape
868,imagination-international-corp,,live bingo
869,business objects,479.78,upgrade crystal reports 11 pro french
870,century software,219.63,tiny term emulator v4 .3 x
871,apple,99.0,apple garageband jam pack : rhythm section
872,imagination international,17.99,bingo dvd tv game
873,intuit,1749.95,quickbooks point-of-sale pro with hardware bundle 6.0
874,sage software,1199.99,peachtree by sage premium accounting for manufacturing 2007 multi user ( up to 5 users )
875,century software,,century software tinyterm plus v. 4.0 complete product
876,adobe,199.0,adobe soundbooth cs3 [ mac ]
877,netopia,,timbuktu remote control softwre 1 license for mac os
878,efrontier,99.99,poser figure artist
879,sony media,232.05,sony sound forge 9 boxed upgrade
880,encore software,19.99,super granny 3
881,encore software,49.95,the print shop 22 deluxe sb cs by the print shop
882,encore software,9.95,marine aquarium + sharks
883,adobe,1699.0,adobe creative suite cs3 production premium
884,checkmark software,399.0,checkmark multiledger
885,ipswitch inc,395.0,ipswitch inc ws ftp pro 9 sdk w / ws ftp pro wd-1000-0900 )
886,bling,29.99,123 movies 2 ipod w / av cables umd size
887,encore,29.95,hoyle bridge club
888,microsoft corporation,,microsoft oem 3pk xp home edition sp2 n09-01624 )
889,encore,19.95,scrabble champion edition
890,topics entertainment,39.99,instant immersion japanese deluxe 2.0
891,macspeech inc.,99.99,ilisten ( mac )
892,adobe,799.0,adobe premiere pro cs3
893,destineer,19.95,starship troopers/first to fight bundle
894,belight software,49.95,art text
895,encore software,19.99,hoyle card games 2007
896,phantom efx,19.95,reel deal slots mystic forest
897,adobe,1199.0,adobe creative suite cs3 production premium upsell
898,encore,9.99,risk ii jc
899,onone software,159.95,onone genuine fractals 5 full 1u
900,aspyr media,34.99,sims 2 seasons expansion pack
901,avanquest,49.95,partition commander 10
902,sony-pictures-digital-entertainment,,sony sound effects series vol 1 through 10
903,encore software,19.99,mavis beacon teaches typing 17 standard
904,navarre ( software ),29.95,vault360 combo
905,efrontier,199.99,efrontier anime studio pro ( win/mac )
906,encore,19.95,monopoly here & now
907,encore software,9.99,hoyle card games ( jewel case )
908,jungle software,399.0,gorilla 4 pro
909,tri synergy,19.99,oxford world encyclopedia
910,adobe,1399.0,adobe creative suite cs3 master collection upgrade [ mac ]
911,dreamcatcher interactive,19.99,obscure
912,encore software,39.99,network now ! pro by encore
913,imaginova,9.99,starry night galaxy explorer ( pc & mac )
914,encore,19.99,hasbro classic collection 2006 )
915,makemusic !,199.99,allegro 2005
916,encore software,9.99,professor fuji 's sudoku ( jewel case )
917,encore software,,elementary advantage 2008
918,mobi-technologies-inc .,129.0,recam remote monitoring software
919,global-software-publishing-north-america-inc,19.99,sudoku unlimited + crossword addict 2cd set
920,mobi,119.99,mobi recam camera monitoring and notification software
921,yamaha,34.95,the little mermaid/beauty and the beast
922,encore software,19.95,sharks 2.0
923,adobe,199.0,adobe illustrator cs3 upgrade [ mac ]
924,encore,19.99,hoyle casino ( 2007 )
925,topics entertainment,39.48,instant play guitar deluxe v2 .
926,encore software,9.99,pc hoyle jewels : swap & drop it
927,jungle software,199.0,gorilla 4 student
928,encore,9.99,jeopardy
929,stamps.com,14.99,your desktop post office for pc
930,adobe,149.0,adobe contribute cs3 [ mac ]
931,digital-leisure-inc .,39.95,dance 6
932,pc tools,29.95,registry mechanic 5.x pc system repair
933,encore,9.99,axis & allies ( jewel case )
934,panda software,29.95,panda antivirus 2007
935,corel,79.99,corel dvd moviefactory 6.0 plus
936,encore,,defcon
937,symantec,811.21,symc backup exec sbs std 11d win small business server standard
938,individual software,9.99,typing instructor deluxe ( jewel case )
939,bias,599.0,bias peak pro 5 macintosh )
940,sierra online,19.99,freestyle street basketball
941,webroot software,49.95,webroot spy sweeper with antivirus family edition 3 pcs
942,emedia,29.95,my guitar
943,sega-of-america-inc .,19.99,rome total war gold edition
944,encore software,46.52,registry mechanic by encore software
945,fogware publishing,9.99,classification & ecology ( win/mac ) ( jewel case )
946,encore software,,the print shop 21 deluxe by broderbund
947,avanquest software,29.95,britannica deluxe
948,encore software,39.99,creating keepsakes scrapbook platinum v. 3 sb cs by riverdeep
949,aspyr media,9.99,leave the lights on ( mac )
950,apple,299.0,apple logic pro 7.2 upgrade
951,microspot ltd.,349.99,microspot macdraft professional ( mac )
952,nero inc.,99.99,nero 7 ultra edition enhanced
953,stompsoft inc.,29.99,digital vault
954,adobe-education-box,149.0,audition 2 win ed ue 1u
955,imsi,249.99,turbocad mac 3d for mac
956,apple,999.0,apple logic pro 7.2 retail
957,sage software,499.99,peachtree by sage premium accounting 2007 accountants ' edition
958,onone software,399.95,onone plug-in suite 3 for adobe photoshop
959,stompsoft inc.,24.99,stompsoft digital file shredder pro
960,emedia,350.0,make music finale 2008 academic
961,sony media,129.95,vegas movie studiodvd +8 plat
962,sony-online-entertainment,49.99,gods & heroes : rome rising
963,synet-electronics-inc .,,synet pc sharing kit ( w/17ft usb ext.cable )
964,school zone,9.99,math 2
965,pinnacle,49.99,pinnacle mobile media organizer
966,global-marketing-partners,349.0,gmp data rescue license 24300 )
967,broderbund,19.99,mavis beacon teaches typing 16
968,intervideo,49.99,intervideo windvd 8 gold
969,eurotalk,29.99,talk now ! learn afrikaans beginning level
970,absolute software,99.99,computrace lojack for laptops : 3 year subscription
971,topics entertainment,,instant immersion ingles audio deluxe
972,me-too-software,49.99,i copy dvd 's 2
973,absolute software,49.99,computrace lojack for laptops : 1 year subscription
974,sony media,129.95,sony vegas movie studio + dvd 8 platinum edition
975,absolute software,49.95,computrace lojack for laptops 1 year license ( mac )
976,sos aggregation,39.99,iaudioize magnetic time for pc and mac
977,bling,39.99,safekeeper plus
978,kutoka,19.99,didi & ditto : kindergarten win/mac
979,apple computer,299.0,logic express 7
980,aspyr media,29.99,travelogue 360 : paris
981,topics entertainment,29.99,instant immersion italian v2 .0 ( large box )
982,power-on-software,129.99,power on now up to date & contact windows
983,dvo enterprises,19.99,cook 'n low fat
984,serious magic,199.99,serious magic visual communicator 2.0 web
985,masque publishing,9.99,best of slots 2 ( jewel case )
986,steinberg ( yamaha ),549.99,cubase 4 competitive crossgrade
987,egames,19.99,casual games pack
988,eovia corporation,599.99,eovia carrara 4 pro win/mac
989,topics entertainment,29.99,i spy fantasy v. 2 with i spy book & mini cd
990,power production,,power production storyboard artist 4
991,topics entertainment,39.95,instant immersion spanish audio deluxe
992,final draft,289.99,final draft 7 professional scriptwriting win/mac
993,intuit,79.95,quickbooks customer manager 2.5
994,iris,149.99,irispen express translator
995,apple,499.0,apple remote desktop 3 unlim managed systems
996,school zone,9.99,time money & fractions grades 1-2
997,apple,999.0,mac os x server v10 .4.7 unlimited client
998,the learning company,19.99,reader rabbit playtime for baby and toddler
999,webroot software,49.95,spy sweeper w/antivirus family edition
1000,digital praise,39.99,dance praise with dance pad ( win/mac )
1001,encore software,39.99,printmaster 17 platinum by encore software
1002,onone software,299.95,genuine fractals genuine fractals print pro 1u
1003,apple,999.99,logic pro 6
1004,individual software,19.99,professor teaches excel & word
1005,sibelius-software-ltd .,329.0,sibelius 4 educational edition
1006,encore,19.95,terror strike
1007,hip interactive,29.99,wisdom of the bible holy land edition
1008,symantec,199.99,norton internet security 2008 10 user
1009,tri synergy,29.99,test and improve your memory ( dvd box )
1010,roxio,99.95,roxio easy media creator 9
