assay_id,chembl_id,confidence_score,doc_id,curated_by,assay_category,description,assay_type,assay_test_type,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
1057,CHEMBL616257,9,16616,Expert,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 15 min,F,,Mus musculus,10090.0,,,
1058,CHEMBL616258,9,16616,Expert,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 30 min,F,,Mus musculus,10090.0,,,
1059,CHEMBL616384,9,16616,Expert,,Antagonist activity at 5-hydroxytryptamine 1A receptor against (+)-8-OH-DPAT induced hypothermia in mice at 1 mg/kg after 60 min,F,,Mus musculus,10090.0,,,
1060,CHEMBL616385,8,10297,Autocuration,,Hill number was determined for inhibition of of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in mouse hippocampus,B,,,,,Hippocampus,
1061,CHEMBL616386,8,13704,Expert,,Inhibitory activity against serotonin 5-hydroxytryptamine 1A receptor from mice.,B,,,,,,
1062,CHEMBL616387,9,10297,Expert,,Inhibitory activity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus,B,,Mus musculus,10090.0,,Hippocampus,
1063,CHEMBL616388,8,10297,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus; Not determined,B,,,,,Hippocampus,
1064,CHEMBL616389,9,10297,Expert,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus,B,,Mus musculus,10090.0,,Hippocampus,
1065,CHEMBL616390,8,10297,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in mouse hippocampus; Not determined,B,,,,,Hippocampus,
1066,CHEMBL616391,8,217,Autocuration,,Compound was tested for binding affinity to 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as a radioligand,B,,,,,,
1067,CHEMBL616392,9,10297,Expert,,Hill number was determined for inhibition of of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in mouse hippocampus,B,,Mus musculus,10090.0,,Hippocampus,
1068,CHEMBL616393,8,4921,Autocuration,,Ability to displace [3H]8-OH-DPAT radioligand from porcine 5-hydroxytryptamine 1A receptor,B,,Sus scrofa,9823.0,,,
1069,CHEMBL616394,8,4921,Autocuration,,Ability to displace [3H]8-OH-DPAT radioligand from porcine 5-hydroxytryptamine 1A receptor; ND denotes not determined,B,,Sus scrofa,9823.0,,,
1070,CHEMBL616395,8,4996,Autocuration,,Binding affinity of compound measured for 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT-labeled porcine brain homogenates,B,,Sus scrofa,9823.0,,,
1071,CHEMBL616396,8,12918,Autocuration,,Compound was evaluated for the binding affinity at 5- HT1A receptor,B,,Sus scrofa,9823.0,,,
1072,CHEMBL872907,8,5333,Autocuration,,Compound was tested in vitro for its ability to compete with [3H]8-OH-DPAT at 5-hydroxytryptamine 1A receptor in porcine brain homogenate,B,,Sus scrofa,9823.0,,,
1073,CHEMBL616397,8,4437,Autocuration,,In vitro for its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in porcine brain homogenate,B,,Sus scrofa,9823.0,,,
1074,CHEMBL616398,8,1742,Autocuration,,Compound was tested for its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in pig cortex,B,,Sus scrofa,9823.0,,,
1075,CHEMBL616399,8,16688,Expert,,Displacement of [3H]- 8-OH-DPAT from porcine 5-hydroxytryptamine 1A receptor,B,,Sus scrofa,9823.0,,,
1076,CHEMBL857065,8,12861,Autocuration,,Binding activity radioligand.,B,,Sus scrofa,9823.0,,,
1077,CHEMBL616400,8,12861,Expert,,Binding activity against 5-hydroxytryptamine 1A receptor from pig cortex membrane using [3H]8-OH-DPAT-HT as radioligand.,B,,Sus scrofa,9823.0,,,
1078,CHEMBL616401,8,12861,Autocuration,,Binding activity against 5-hydroxytryptamine 1A receptor from pig cortex membrane using [3H]8-OH-DPAT-HT as radioligand.,B,,Sus scrofa,9823.0,,,
1079,CHEMBL616402,8,12490,Expert,,Displacement of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor from pig cortex,B,,,,,,
1080,CHEMBL616403,8,11828,Expert,,Displacement of [3H]8-OH-DPAT from pig cortex 5-hydroxytryptamine 1A receptor,B,,Sus scrofa,9823.0,,,
1081,CHEMBL616404,8,11866,Autocuration,,Binding affinity for 5-hydroxytryptamine 1A receptor in piglet hippocampus using [3H]8-OH-DPAT,B,,Sus scrofa,9823.0,,Hippocampus,
1082,CHEMBL616405,8,12827,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor in pig frontal cortex membranes using [8H]-OH-DPAT,B,,Sus scrofa,9823.0,,,
1083,CHEMBL616406,8,12918,Autocuration,,Binding affinity was evaluated by 5-hydroxytryptamine 1A receptor agonism in the pig cortex by displacing 8-OH-DPAT,B,,Sus scrofa,9823.0,,,
1084,CHEMBL616407,8,12919,Expert,,Agonistic activity against 5-hydroxytryptamine 1A receptor in pig cortex using [3H]8-OH-DPAT,F,,Sus scrofa,9823.0,,,
1085,CHEMBL616408,8,13047,Autocuration,,Binding affinity against 5-hydroxytryptamine 1 receptor using rabbit jugular vein assay in the presence of endothelium,B,,Oryctolagus cuniculus,9986.0,,,
1086,CHEMBL616409,9,15796,Expert,,Inhibition activity against 5-hydroxytryptamine 1A receptor in rat hippocampus membranes using radio binding assays,B,,Rattus norvegicus,10116.0,,,
1087,CHEMBL616410,9,3651,Expert,,"Inhibition of [3H]8-hydroxy-2-dipropylamino-1,2,3,4-tetrahydronaphthalene binding to 5-hydroxytryptamine 1A receptor in hippocampus region of rat brain; Less active",B,,Rattus norvegicus,10116.0,,Hippocampus,
1088,CHEMBL616411,8,188,Autocuration,,Tested for the effect on binding at 5-hydroxytryptamine 1A receptor; No activity,B,,,,,,
1089,CHEMBL616412,9,16616,Expert,,"Antagonist activity to stimulate binding of [35S]GTP-gamma-S, to 5-hydroxytryptamine 1A receptor in isolated rat hippocampal membranes",F,,Rattus norvegicus,10116.0,,,
1090,CHEMBL616413,9,16616,Expert,,"Inhibition of (+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding in rat hippocampal membranes",F,,Rattus norvegicus,10116.0,,Hippocampus,
1091,CHEMBL616414,8,12306,Autocuration,,The binding of [125I]MPPI ligand to 5-hydroxytryptamine 1A receptor of rat hippocampal homogenates,B,,,,,Hippocampus,
1092,CHEMBL616415,9,17167,Expert,,Binding affinity for rat hippocampus 5-hydroxytryptamine 1A receptor by inhibition of [3H]8-OH-DPAT binding,B,,Rattus norvegicus,10116.0,,Hippocampus,
1093,CHEMBL616416,8,14776,Autocuration,,Binding affinity measured at the 5-hydroxytryptamine 1A receptor by the inhibition of [3H]8-OH-DPAT binding to rat cortex using unlabeled buspirone for nonspecific binding.,B,,,,,,
1094,CHEMBL616417,8,12158,Expert,,Binding affinity of 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand.,B,,,,,,
1095,CHEMBL616418,8,13481,Autocuration,,Binding affinity of [3H]- -8-OH-DPAT labelled towards Rat Hippocampal 5-hydroxytryptamine 1A receptor using radioligand binding assay,B,,,,,,
1096,CHEMBL616419,8,13427,Autocuration,,Binding affinity of [3H]-8-OH-DPAT towards 5-hydroxytryptamine 1A receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,B,In vitro,,,,,
1097,CHEMBL616420,8,10210,Autocuration,,Binding affinity of compound against 5-hydroxytryptamine 1A receptor binding site using radioligand [3H]8-OH-DPAT,B,,,,,,
1098,CHEMBL616421,8,10205,Autocuration,,Binding affinity of compound towards 5-HT 1A receptor by measuring ability to displace [3H]OH-DPAT from 5-hydroxytryptamine 1A receptor in rat striatal membranes,B,,,,,,
1099,CHEMBL616422,8,10205,Autocuration,,Binding affinity of compound towards 5-HT 1A receptor by measuring ability to displace [3H]OH-DPAT from 5-hydroxytryptamine 1A receptor in rat striatal membranes,B,,,,,,
1100,CHEMBL616423,8,10205,Expert,,Binding affinity of compound towards 5-hydroxytryptamine 1A receptor in rat striatal membranes by [3H]OH-DPAT displacement.,B,,,,,,
1101,CHEMBL616424,9,12280,Expert,,Binding affinity for 5-hydroxytryptamine 1A receptor with [3H]5-HT,B,,Rattus norvegicus,10116.0,,,
1102,CHEMBL616425,8,17386,Expert,,Binding affinity to the rat 5-hydroxytryptamine 1A receptor,B,,,,,,
1103,CHEMBL616426,8,13654,Expert,,Binding affinity was tested on 5-hydroxytryptamine 1A receptor using radioligand [3H]5-HT binding assay.,B,,,,,,
1104,CHEMBL616427,8,14423,Autocuration,,Binding affinity against 5-hydroxytryptamine 1A receptor from rat hippocampus using [3H]8-OH-DPAT as the radioligand.,B,,,,,Hippocampus,
1105,CHEMBL616428,8,15412,Autocuration,,Binding affinity against 5-hydroxytryptamine 1A receptor of rat hippocampus tissue.,B,,,,,Hippocampus,
1106,CHEMBL616290,8,12073,Autocuration,,Binding affinity by measuring displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampus,B,,,,,Hippocampus,
1107,CHEMBL616052,9,4101,Expert,,Displacement of [3H]8-OH-DPAT from rat striata 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,,
1108,CHEMBL616053,8,10062,Autocuration,,Binding affinity in radioreceptor binding assay by using [3H]5-HT radioligand against 5-hydroxytryptamine 1A receptor,B,,,,,,
1109,CHEMBL616054,8,6238,Autocuration,,Binding affinity towards 5-HT 1A receptor in rat cerebral cortex membranes using [3H]8-OH-DPAT as radioligand,B,,,,,,
1110,CHEMBL616055,8,16273,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,,,
1111,CHEMBL616056,8,11139,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand in competitive binding assay,B,,,,,,
1112,CHEMBL616057,8,16796,Expert,,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat hippocampal membranes,B,,,,,,
1113,CHEMBL616058,9,9548,Expert,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,,Rattus norvegicus,10116.0,,Brain,
1114,CHEMBL616059,8,10381,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,,,,,Brain,
1115,CHEMBL616060,8,13408,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat hypocampus membrane using [3H]8-OH-DPAT as radioligand,B,,,,,,
1116,CHEMBL616061,9,13825,Expert,,Binding affinity towards 5-hydroxytryptamine 1A receptor in the rat brain (hippocampus) using [3H]8-OH-DPAT,B,,Rattus norvegicus,10116.0,,Hippocampus,
1117,CHEMBL616062,8,11147,Expert,,Binding affinity towards 5-hydroxytryptamine 1A receptor of rat hippocampus using [3H]-8-hydroxy-2-(di-n-propylamine) tetralin (8-OH-DPAT) as a radioligand,B,,,,,Hippocampus,
1118,CHEMBL616063,8,10552,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor sites in cortical membranes using [3H]8-OH-DPAT as radioligand,B,,,,,,
1119,CHEMBL616064,8,10552,Autocuration,,"Binding affinity towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,,,,,Striatum,
1120,CHEMBL616065,9,17136,Expert,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cortex membranes,B,,Rattus norvegicus,10116.0,,,
1121,CHEMBL616066,9,5778,Expert,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cerebral cortex membranes,B,,Rattus norvegicus,10116.0,,,
1122,CHEMBL616067,8,13481,Autocuration,,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus,
1123,CHEMBL616068,8,13481,Autocuration,,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; Not tested,B,,,,,Hippocampus,
1124,CHEMBL616069,8,13630,Intermediate,,Binding affinity against rat hippocampal 5-hydroxytryptamine 1A (5-HT1A) receptor determined using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus,
1125,CHEMBL616070,8,16245,Expert,,Binding was determined on 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,B,,,,,,
1126,CHEMBL616071,8,14509,Autocuration,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus,
1127,CHEMBL616072,8,14509,Expert,,Binding affinity against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.,B,,,,,Hippocampus,
1128,CHEMBL616073,8,14509,Autocuration,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.; ND = Not determined,B,,,,,Hippocampus,
1129,CHEMBL616074,8,14509,Autocuration,,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand; ND = Not determined,B,,,,,Hippocampus,
1130,CHEMBL616075,8,14256,Expert,,Binding affinity was evaluated by determining in vitro displacement of [3H]8-OH-DPAT from the central 5-hydroxytryptamine 1A receptor recognition site in rat frontal cortex homogenate.,B,,,,,,
1131,CHEMBL616076,8,11139,Autocuration,,Binding affinity was evaluated by using [3H]8-OH-DPAT radioligand by using competitive binding assay on 5-hydroxytryptamine 1A receptor,B,,,,,,
1132,CHEMBL616077,9,11047,Expert,,Binding affinity for 5-HT1A measured by displacing [3H]8-OH-DPAT from rat cortical membranes; Not determined,B,,Rattus norvegicus,10116.0,,,
1133,CHEMBL616078,9,11047,Expert,,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes,B,,Rattus norvegicus,10116.0,,,
1134,CHEMBL616079,9,11047,Expert,,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes;ND-Not determined,B,,Rattus norvegicus,10116.0,,,
1135,CHEMBL616080,9,2395,Expert,,Binding affinity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,,Rattus norvegicus,10116.0,,,CHO-K1
1136,CHEMBL616081,8,9699,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,,,
1137,CHEMBL616082,9,12028,Expert,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [125I]trans-8-OH-PIPAT in membrane homogenates of hippocampal tissue of rat brain,B,,Rattus norvegicus,10116.0,,Hippocampus,
1138,CHEMBL616083,8,12028,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in membrane homogenates of hippocampal tissue of rat brain,B,,,,,Hippocampus,
1139,CHEMBL616084,8,5815,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex,B,,,,,,
1140,CHEMBL616085,8,16616,Expert,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenates,B,,,,,,
1141,CHEMBL616086,8,5815,Autocuration,,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]-8-OH-DPAT,B,,,,,,
1142,CHEMBL616087,8,2761,Autocuration,,"Binding affinity towards 5-hydroxytryptamine 1A receptor using 0.1 nM [3H]-8-OH-DPAT (8-hydroxy-2-(di-n-propylamino)tet-ralin), from rat hippocampal homogenate",B,,,,,Hippocampus,
1143,CHEMBL616088,8,13133,Expert,,Binding affinity was determined against 5-hydroxytryptamine 1A receptor using [3H]WB-4101,B,,,,,,
1144,CHEMBL616089,8,10444,Autocuration,,Binding affinity was determined against 5-hydroxytryptamine 1A receptor was determined in male Sprague-Dawley rat brain.,B,,,,,,
1145,CHEMBL616090,9,13278,Expert,,Binding affinity was measured against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT by lysergic acid amides,B,,Rattus norvegicus,10116.0,,,
1146,CHEMBL616091,8,15874,Autocuration,,Binding affinity was measured on cloned rat 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,B,,,,,,
1147,CHEMBL616092,8,10552,Autocuration,,"Binding affinity of the compound towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,,,,,Striatum,
1148,CHEMBL616093,8,11130,Autocuration,,Binding constant against 5-hydroxytryptamine 1A receptor (in vitro),B,,,,,,
1149,CHEMBL616094,8,11130,Autocuration,,Binding constant against 5-hydroxytryptamine 1A receptor (in vivo),B,In vivo,,,,,
1150,CHEMBL616095,8,14542,Autocuration,,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex,B,,,,,Brain,
1151,CHEMBL616096,9,13670,Expert,,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,,
1152,CHEMBL616097,8,9888,Expert,,Binding affinity at [3H]8-OH-DPAT-Labeled 5-hydroxytryptamine 1A receptor sites in rat brain hippocampal membranes,B,,,,,,
1153,CHEMBL616098,9,3678,Expert,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus membranes,B,,Rattus norvegicus,10116.0,,,
1154,CHEMBL616099,8,11332,Autocuration,,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus,
1155,CHEMBL616100,8,11332,Autocuration,,Compound was evaluated for in vitro binding affinity towards serotonin 5-hydroxytryptamine 1A receptor receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,,Hippocampus,
1156,CHEMBL616101,8,1185,Expert,,Ability to displace [3H]-8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,,,,,,
1157,CHEMBL616102,8,2014,Expert,,Binding affinity at 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes by [3H]8-OH-DPAT displacement.,B,,,,,,
1158,CHEMBL616103,8,1185,Autocuration,,Compound was evaluated for its ability to displace [3H]8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,,,,,,
1159,CHEMBL616104,8,14429,Expert,,Compound was evaluated for its binding affinity against 5-hydroxytryptamine 1A receptor from rat cerebral cortex,B,,,,,,
1160,CHEMBL616105,8,16288,Expert,,"Binding affinity to 5-hydroxytryptamine 1A receptor (5-HT 1A receptor, serotonin receptor) from rat cortex using [3H]8-OH-DPAT as radioligand",B,,,,,,
1161,CHEMBL616106,9,5432,Expert,,Displacement of [3H]prazosin from rat cortex membrane 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,,
1162,CHEMBL616107,8,14429,Autocuration,,Compound was evaluated for its binding affinity with 5-hydroxytryptamine 1A receptor using membranes prepared from rat cerebral cortex,B,,,,,,
1163,CHEMBL616108,8,13672,Expert,,Binding affinity towards rat 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand.,B,,,,,,
1164,CHEMBL616109,8,11296,Expert,,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site in rat brain hippocampus,B,,,,,Hippocampus,
1165,CHEMBL616110,8,11296,Autocuration,,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site.,B,,,,,,
1166,CHEMBL616111,8,14749,Expert,,Binding affinity against rat 5-hydroxytryptamine 1A receptor in CHO cells.,B,,,,,,CHO
1167,CHEMBL616112,8,15086,Expert,,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat brain using [3H]-8-OH-DPAT as radioligand,B,,,,,,
1168,CHEMBL616113,8,13462,Autocuration,,Compound was tested for the Binding affinity against rat hippocampal 5-hydroxytryptamine 1A receptor by Radio ligand [3H]8-OH-DPAT binding assay.,B,,,,,Hippocampus,
1169,CHEMBL616114,8,15363,Autocuration,,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,,,,,,
1170,CHEMBL616115,8,15363,Autocuration,,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,,,,,,
1171,CHEMBL616116,8,10796,Autocuration,,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 1A receptor,B,,,,,,
1172,CHEMBL615844,8,12816,Expert,,Binding affinity for 5-hydroxytryptamine 1A receptor in rat brain tissue using [3H]8-OH-DPAT as radioligand,B,,,,,Brain,
1173,CHEMBL615939,8,13542,Expert,,In vitro displacement of [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,,,,,Hippocampus,
1174,CHEMBL615940,8,13308,Expert,,In vitro ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor sites of rat brain cortex.,B,,,,,,
1175,CHEMBL615941,8,13541,Expert,,In vitro affinity at 5-hydroxytryptamine 1A receptor of rat hippocampus by [3H]8-OH-DPAT displacement.,B,,,,,Hippocampus,
1176,CHEMBL615942,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-HT1A receptor of rat hippocampus and the value ranges from 9 - 12,B,,,,,Hippocampus,
1177,CHEMBL615943,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,,,,Hippocampus,
1178,CHEMBL615944,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 12 to 17,B,,,,,Hippocampus,
1179,CHEMBL615945,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 391-841,B,,,,,Hippocampus,
1180,CHEMBL615946,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 17.,B,,,,,Hippocampus,
1181,CHEMBL615947,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 20.,B,,,,,Hippocampus,
1182,CHEMBL615948,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 245 to 736,B,,,,,Hippocampus,
1183,CHEMBL615949,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 25 - 84,B,,,,,Hippocampus,
1184,CHEMBL615950,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 48 to 59,B,,,,,Hippocampus,
1185,CHEMBL615951,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 3 -5,B,,,,,Hippocampus,
1186,CHEMBL615952,8,10058,Autocuration,,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 15 - 31,B,,,,,Hippocampus,
1187,CHEMBL615953,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 27 - 42,B,,,,,Hippocampus,
1188,CHEMBL615954,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 6 - 13,B,,,,,Hippocampus,
1189,CHEMBL615955,9,10058,Expert,,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,Rattus norvegicus,10116.0,,Hippocampus,
1190,CHEMBL615956,8,10058,Autocuration,,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus.; ND is No Data.,B,,,,,Hippocampus,
1191,CHEMBL615957,8,10058,Autocuration,,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus. and the value ranges from 16 - 27,B,,,,,Hippocampus,
1192,CHEMBL615958,8,12879,Expert,,Displacement of [3H]2-(di-N-propylamino)-8-hydroxytetralin from central 5-hydroxytryptamine 1A receptor recognition sites in rat frontal cortex homogenates.,B,,,,,,
1193,CHEMBL615959,8,11964,Expert,,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate,B,,,,,,
1194,CHEMBL615960,8,11964,Autocuration,,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 1),B,,,,,,
1195,CHEMBL615961,8,11964,Autocuration,,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 2),B,,,,,,
1196,CHEMBL615962,8,9548,Expert,,Evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,,,,,Brain,
1197,CHEMBL615963,8,9098,Expert,,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand.,B,,,,,,
1198,CHEMBL615964,8,9098,Autocuration,,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand; ND is no data.,B,,,,,,
1199,CHEMBL615965,8,9098,Autocuration,,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand;ND means no data,B,,,,,,
1200,CHEMBL615966,8,13248,Expert,,In vitro displacement of radioactively labeled ligand [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor site in CHO cells,B,,,,,,CHO
1201,CHEMBL615967,8,3147,Expert,,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat cortical membranes,B,,,,,,
1202,CHEMBL615968,8,13949,Expert,,In vitro binding affinity against 5-hydroxytryptamine 1A receptor of rat cerebral cortex using [3H]8-OH-DPAT as radioligand.,B,,,,,,
1203,CHEMBL615969,8,11883,Autocuration,,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand in CHO cells (sc),B,,,,,,CHO
1204,CHEMBL615970,8,11883,Autocuration,,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT (agonist) as radioligand (sc),B,,,,,,
1205,CHEMBL615971,9,11883,Expert,,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT,B,,Rattus norvegicus,10116.0,,,
1206,CHEMBL615972,8,15535,Expert,,In vitro binding affinity at 5-HT1A receptors assayed by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,B,,,,,,
1207,CHEMBL615973,8,15535,Autocuration,,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes + cortex,B,,,,,,
