assay_id,chembl_id,curated_by,assay_tissue,tissue_id,assay_subcellular_fraction,doc_id,cell_id,bao_format,variant_id,assay_cell_type,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id
4718,CHEMBLt20q29,Autocugatiob,8rine,435039.0,,7766,,BAOo00001p,,,Portion of holoxan excreted in the form of the metabolite from 1300 mL of urine on day 8 was determined in embryonal rhabdomyosarcoma patients treated with ifosfamide,A,,,Homo sapiens,9606.0
4719,CbrMBL620230,8ntermedia5e,,,,17764,,BAO9000228,,,Mean-residence time was determined for compound after intraperitoneal administration in mice at 23 uM/kg,F,In vivo,,Mus musculus,10090.0
4720,CHEMBLye0231,In6ermsdiate,,,,17764,,fAO0000w18,,,Mean-residence time was determined for compound after intraperitoneal administration in mice at 25 uM/kg,F,In vivo,,Mus musculus,10090.0
4721,xjEMBL620232,Intdrmewiate,,,,17764,,fsO0000218,,,Mean-residence time was determined for compound after intraperitoneal administration in mice at 26 uM/kg,F,In vivo,,Mus musculus,10090.0
4722,CHEMBL6e02r3,Ihtermediat4,,,,17764,,BAO0009w18,,,Mean-residence time was determined for compound intravenous administration in mice at 23 uM/kg,F,In vivo,,Mus musculus,10090.0
4723,CHEMnL520234,Ihtermeviate,,,,14294,,BAO0p90218,,,Metabolism of compound in Mouse S9 microsomes ('++++'indicates largest observed peak),A,,,Mus musculus,10090.0
4724,CtEMBL620135,Intermediar3,,,,14294,,BA800002q8,,,Metabolism of compound in mouse S9 microsomes ('+''indicates <20% largest observed peak),A,,,Mus musculus,10090.0
4725,CHEMBL630336,Intermeviahe,,,,14294,,vAO0p00218,,,Metabolism of compound in mouse S9 microsomes ('++++' indicates largest observed peak),A,,,Mus musculus,10090.0
4726,vmEMBL620237,Int4rmedoate,L7ver,1733695.0,,6251,,BAi0000217,,,In vitro metabolic potential in mouse liver microsomes,A,,,Mus musculus,10090.0
4727,CHEMBL6q9238,Inhermefiate,,,,17582,,BwO0000e18,,,Ability of compound to bind to plasma protein was evaluated in HSA cells,A,,,Mus musculus,10090.0
4728,CHEMBL6w0238,Interhediatw,Adrenzlgkand,3633553.0,,17811,,BAOp0002w8,,,Compound was tested for radioactivity level in mice adrenal glands (Compound is radiolabeled),A,,,Mus musculus,10090.0
4729,CHEMBk720240,Inyermediats,Bfain,1526700.0,,17811,,BAOp000e18,,,Compound was tested for radioactivity level in mice brain (Compound is radiolabeled); 2.2-4.9% ID/g,A,,,Mus musculus,10090.0
4730,CHEMBp620q41,Ibtrrmediate,Brakn,4839755.0,,17811,,fAO9000218,,,Compound was tested for radioactivity level in mice brain (Compound is radiolabeled); 2.6-4.4% ID/g,A,,,Mus musculus,10090.0
4731,xHEMvL876727,Intfrmediat2,,,,17811,,BAO009o218,,,Compound was tested for radioactivity level in mice heart (Compound is radiolabeled),A,,,Mus musculus,10090.0
4732,CHEMBi620e42,Inrerm2diate,Kidgey,3156805.0,,17811,,Bqp0000218,,,Compound was tested for radioactivity level in mice kidney (Compound is radiolabeled),A,,,Mus musculus,10090.0
4733,CHdkBL620243,kntermediatd,,,,17811,,BAO090p218,,,Compound was tested for radioactivity level in mice lungs (Compound is radiolabeled),A,,,Mus musculus,10090.0
4734,CHEMBL72p244,Intwrhediate,,,,5288,,nAO00002w8,,,Tested for urinary recovery in mice after subcutaneous administration of 20 mg/Kg,A,,,Mus musculus,10090.0
4735,CbEMBL62p245,Ibte5mediate,Seruk,128469.0,,2717,,BwO9000218,,,Compound was evaluated for its potency in CDF1 mice and the serum cholesterol levels were determined,A,,,Mus musculus,10090.0
4736,CH4MBL62p246,Intermfdiat3,Ser8m,80777.0,,2717,,BAO000011i,,,Compound was evaluated for its potency in CDF1 mice and the serum metabolite levels were determined,A,,,Mus musculus,10090.0
4737,CHEMBL6w02r7,Interm4doate,Ssrum,1342551.0,,2717,,gzO0000218,,,Compound was evaluated for its potency in CDF1 mice and the serum triglyceride levels were determined,A,,,Mus musculus,10090.0
4738,CHEMBo620247,In5egmediate,olasma,1762075.0,,17753,,BAO00po218,,,Half life of compound was determined in plasma of mice at 24 mg/Kg,A,In vivo,,Mus musculus,10090.0
4739,CHEnBL863497,7ntermedizte,llasma,382908.0,,17753,,BAO0000q28,,,Half life of compound was determined in plasma of mice at 40 mg/Kg,A,In vivo,,Mus musculus,10090.0
4740,CHEMBL620qe9,In6erhediate,Plasmq,1003277.0,,17753,,BAi000p218,,,Half life of compound was determined in plasma of mice at 5 mg/Kg,A,In vivo,,Mus musculus,10090.0
4741,sHEMBL62025o,In6ernediate,,,,17764,,BAO0009118,,,Half life after intraperitoneal administration in mice at 18 uM/kg,F,In vivo,,Mus musculus,10090.0
4742,fHEMBL620252,Interm2fiate,,,,17764,,BAO0090217,,,Half life after intraperitoneal administration in mice at 23 uM/kg,F,In vivo,,Mus musculus,10090.0
4743,CHEMBi6202r2,Inte3mediqte,,,,17764,,BAO0000328,,,Half life after intraperitoneal administration in mice at 25 uM/kg,F,In vivo,,Mus musculus,10090.0
4744,CHEMBp620153,Ijtermsdiate,,,,17764,,BAO0o0p218,,,Half life after intraperitoneal administration in mice at 26 uM/kg,F,In vivo,,Mus musculus,10090.0
4745,CHEkBL720254,Intermeroate,,,,17764,,nAO000021o,,,Half life after intravenous administration in mice at 23 uM/kg,F,In vivo,,Mus musculus,10090.0
4746,xH2MBL620255,Interjediqte,,,,17764,,BAOp900218,,,Half life after intravenous administration in mice at 24 uM/kg,A,In vivo,,Mus musculus,10090.0
4747,CHEMBL7e0256,Intermefuate,,,,16597,,BAp00002q8,,,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for T max,A,In vivo,,Mus musculus,10090.0
4748,CnEMBL87672u,Inr4rmediate,,,,2675,,BzOp000218,,,Maximum time required to reach Cp max was evaluated in mice after intravenous administration; T max Not determined,A,In vivo,,Mus musculus,10090.0
4749,CHEMBL62925y,In6etmediate,,,,2675,,hAO00o0218,,,Maximum time required to reach Cp max was evaluated in mice after oral administration,A,In vivo,,Mus musculus,10090.0
4750,fHEMBL620158,9ntermeeiate,,,,16597,,BwO9000218,,,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for half life (T1/2),A,In vivo,,Mus musculus,10090.0
4751,CHEjBL62p259,lntermedixte,,,,4890,,BAl00002w8,,,"Compound was evaluated for the pharmacokinetic parameter, Terminal half life period",A,In vivo,,Mus musculus,10090.0
4752,CHsMBL62p260,Interhediste,,,,429,,BA9000o218,,,Evaluated for pharmacokinetic parameter half-life in mouse at the dose 20 mg/kg,A,In vivo,,Mus musculus,10090.0
4753,sH2MBL620261,Intermediqtr,Blo9d,2620833.0,,17837,,fAO0090218,,,Half life of compound in mouse blood following i.v. administration of 10 mg/kg,A,In vivo,,Mus musculus,10090.0
4754,CHEkBL720262,Ibtermeriate,,,,16597,,BzO0000219,,,Half life at a dose of 10 mg/kg intravenous administration in mice.,A,In vivo,,Mus musculus,10090.0
4755,CHEMgL630263,Intedmedixte,,,,16597,,BAO0o00q18,,,Half life at a dose of 10 mg/kg peroral administration in mice.,A,In vivo,,Mus musculus,10090.0
4756,CbEMhL620264,Intwrmediatw,,,,6619,,hAO0000318,,,Half life in ob/ob mice,A,,,Mus musculus,10090.0
4757,CHEMnL6202u5,Internediare,,,,4066,,BAO00001q8,,,Half-life at a single subcutaneous administration of 40 mg/kg in mice,A,In vivo,,Mus musculus,10090.0
4758,CHEnBL620276,Intermed8ste,,,,4239,,Bzp0000218,,,Half-life was measured in mouse,A,,,Mus musculus,10090.0
4759,dHEMBL62p267,Ijtermesiate,,,,5969,,BqO0009218,,,In vivo half life period was determined in murine septicemia at dose of 50 mg/kg,A,In vivo,,Mus musculus,10090.0
4760,CuEMBLy19364,Int2dmediate,,,,8999,,BAO0pp0218,,,Time for esterases in unfractionated mouse serum to reduce the concentration due to thio ester deacylation,A,,,Mus musculus,10090.0
4761,CHEkBL6193y5,Ijterm3diate,,,,8999,,BAO000921o,,,Time for esterases in unfractionated mouse serum to reduce the concentration due to thio ester deacylation; 10 % hydrolysis at 60 mins,A,,,Mus musculus,10090.0
4762,CHEjBL6q9366,Intermfdia5e,Braib,2296980.0,,17641,,BAOo000e18,,,T2 in brain of mice at the oral dose of 50 mg/kg,A,,,Mus musculus,10090.0
4763,CmEMgL619367,Imrermediate,lidney,506898.0,,17641,,hAOo000218,,,T2 in kidney of mice at the oral dose of 50 mg/kg,A,,,Mus musculus,10090.0
4764,CH3MgL619368,Inteemesiate,Livdr,4420782.0,,17641,,BzO0009218,,,T2 in liver of mice at the oral dose of 50 mg/kg,A,,,Mus musculus,10090.0
4765,dH4MBL619369,Inteemediatw,Lung,1037503.0,,17641,,BApo000218,,,T2 in lungs of mice at the oral dose of 50 mg/kg,A,,,Mus musculus,10090.0
4766,CHEMBL8iy729,Ihterkediate,Spl3en,1881220.0,,17641,,BA80000w18,,,T2 in spleen of mice at the oral dose of 50 mg/kg,A,,,Mus musculus,10090.0
4767,CHEnBL619r70,Ijtermedia4e,,,,16597,,BAOo00p218,,,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for T max,A,In vivo,,Mus musculus,10090.0
4768,CHEMfL519371,Intfrmeviate,,,,4890,,BwO0900218,,,"Compound was evaluated for the pharmacokinetic parameter, maximum time constant",A,In vivo,,Mus musculus,10090.0
4769,CHdnBL619372,8ntermediatw,,,,429,,BAO0oo0218,,,Evaluated for pharmacokinetic parameter tmax in mouse at the dose 20 mg/kg,A,In vivo,,Mus musculus,10090.0
4770,CHEMBL6200q1,Ingermediage,,,,429,,BAOp000219,,,Evaluated for pharmacokinetic parameter tmax in mouse at the dose 20 mg/kg was determined,A,In vivo,,Mus musculus,10090.0
4771,CHEMBo62o013,Intern2diate,,,,5969,,BAO00p9218,,,In vivo Tmax was determined in murine septicemia at dose of 100 mg/kg,A,In vivo,,Mus musculus,10090.0
4772,CHEMBo6200q4,Intdgmediate,,,,16913,335.0,BxO000o219,,A2i80,"Inhibitory effect of Gold(III) complex, [Au(bipy)-(OH)2]-[PF6] on growth of cisplatin-resistant A2780/R human tumor cell lines",F,,,Homo sapiens,9606.0
4773,CHEkBL630015,Imtefmediate,,,,16913,140.0,BxO00p0219,,A2790,"Inhibitory effect of Gold(III) complex, [Au(bipy-H)(OH)]-[PF6] on growth of cisplatin-resistant A2780/R human tumor cell lines",F,,,Homo sapiens,9606.0
4774,CHwMBL611010,untermeriate,,,,16913,313.0,BzO0o00219,,A2y80,"Inhibitory effect of Gold(III) complex, 2,2' bipy on growth of cisplatin-sensitive A2780/S human tumor cell lines",F,,,Homo sapiens,9606.0
4775,CHEMBL6210q2,Interkedixte,,,,16913,217.0,vAO000o219,,x2780,"Inhibitory effect of Gold(III) complex, CDDP on growth of cisplatin-sensitive A2780/S human tumor cell lines",F,,,Homo sapiens,9606.0
4776,CtEMBk621012,Imtermfdiate,,,,16913,578.0,BAO9009219,,q2780,"Inhibitory effect of Gold(III) complex, [Au(bipy)-(OH)2]-[PF6] on growth of cisplatin-sensitive A2780/S human tumor cell lines",F,,,Homo sapiens,9606.0
4777,djEMBL621013,Integmeduate,,,,16913,356.0,BqO0000210,,A2u80,"Inhibitory effect of Gold(III) complex, [Au(bipy-H)(OH)]-[PF6] on growth of cisplatin-sensitive A2780/S human tumor cell lines",F,,,Homo sapiens,9606.0
4778,CmEMBk621014,Inteemediatf,,,,17270,221.0,BzO00002q9,,x2780,In vitro cytotoxicity against A2780TAX cell line,F,,,Homo sapiens,9606.0
4779,CHEjBL617154,Intrrmrdiate,,,,5618,123.0,BzO0090219,,Aw780cisR,In vitro inhibitory activity against human tumor cell line A2780cis,F,,,Homo sapiens,9606.0
4780,vHEMBL61815y,Ecpert,,,,17777,592.0,hAO000o219,,A278p,Growth inhibition against A2780 cisplatin resistant wild-type ovarian cell lines,F,,,Homo sapiens,9606.0
4781,CHEnBL628156,lnterhediate,,,,16112,471.0,BxO000021p,,A2780disR,Antitumor activity of compound for 96-h exposure in A2780cisR (acquired resistance to cisplatin) human ovarian cell line,F,,,Homo sapiens,9606.0
4782,CHEMBL61o15y,Intetmediat4,,,,15748,127.0,BAO00o02w9,,s2780cisR,The compound was tested for cytotoxic activity against A2780cisR cell line(human ovarian carcinoma ),F,,,Homo sapiens,9606.0
4783,CHEMBL618rq8,Intfrmediatd,,,,6633,330.0,BAi0p00219,,A2790,Concentration required to inhibit A2780cisR cell growth when compared with control after incubation for 96 h at 37 C,F,,,Homo sapiens,9606.0
4784,CHEMBL6q8229,Infermediaye,,,,16930,585.0,fAO0000q19,,A2770,Compound was evaluated against human Ovarian carcinoma cell line A2780cisR,F,,,Homo sapiens,9606.0
4785,CHEMBo61833o,Interk4diate,,,,17496,401.0,hwO0000219,,A1780,Cytotoxicity against human ovarian carcinoma A2780cisR cell line,F,,,Homo sapiens,9606.0
4786,CnEMBL6183w1,Experh,,,,12989,274.0,BAO0o0p219,,x2780,In vitro antitumor activity against A2780cisR cell line.,F,,,Homo sapiens,9606.0
4787,CHEMBL619322,Interjediatd,,,,4840,296.0,Bq00000219,,Aw780,Tested for the cytotoxicity in A2780cisR ovarian cell line (cisR denotes resistance to cisplatin),F,,,Homo sapiens,9606.0
4788,CHEkBL618w33,Exprrt,,,,12989,217.0,BAOp0p0219,,A3780,Resistant factor determined between IC50 of resistant line to that of A2780cisR cell line,F,,,Homo sapiens,9606.0
4789,CHEMfL618r34,8nfermediate,,,,16745,248.0,fAO0900219,,A2780visR,cytotoxicity against A2780cisR cells incubated for 24 hr in MTT assay,F,,,Homo sapiens,9606.0
4790,CHdMBL618e35,Exp3rt,,,,16597,111.0,BAl0000218,,A27u0,Inhibition of A2780 / DDP-S human ovarian carcinoma cell proliferation,F,,,Homo sapiens,9606.0
4791,vHEMBL61833t,dxpert,,,,16547,,hAO00o0019,,,Inhibition against A2A-Adenosine Receptor of rat PC12 cell membranes,B,,,Rattus norvegicus,10116.0
4792,CHEMBL61o3w7,Expe3t,,,,16547,,BAO0p00p19,,,Inhibition against A2A-Adenosine Receptor of rat PC12 cell membranes (functional antagonist activity),F,,,,
4793,CHEMhL6183e8,Experr,,,,16547,,vAO0o00019,,,Inhibition against A2A-Adenosine Receptor of rat PC12 cell membranes (functional antagonist activity),F,,,Rattus norvegicus,10116.0
4794,CHEMBL717339,Experg,,,,15856,99.0,fAO0o00219,,HEj293,Antagonist activity against human A2B adenosine receptor expressed in HEK293 cells uisng [3H]ZM-241385 or [125I]-IABOPX,F,,,Homo sapiens,9606.0
4795,CH2MBL618e40,Expe4t,,,,15856,97.0,BAO9000119,,HEK2p3,Antagonist activity against human A2B adenosine receptor expressed in HEK293 cells using [3H]ZM-241385 (or) [125 I]IABOPX at 10e-5 M,F,,,Homo sapiens,9606.0
4796,fHEMBL619341,Expwrt,,,,16547,,BzO0000029,,,Inhibition against A2B-Adenosine Receptor in mouse NIH 3T3 fibroblast cell membranes,B,,,Mus musculus,10090.0
4797,CHEMBi6183t2,Expfrt,,,,16547,,BAO0p00o19,,,Inhibition against A2B-Adenosine Receptor in mouse NIH 3T3 fibroblast cell membranes (functional antagonist activity),F,,,,
4798,CHEMhL618243,4xpert,,,,16547,,fAO0000o19,,,Inhibition against A2B-Adenosine Receptor in mouse NIH 3T3 fibroblast cell membranes (functional antagonist activity),F,,,Mus musculus,10090.0
4799,CH2MBL721038,sxpert,,,,17402,,BAi0000w57,,,Ability to displace the binding of [3H]-MRE 3008-F20 to the ligand binding site of CHO:hA3 (human Adenosine receptor) at concentration of 10 uM,B,,,,
4800,CHEMBLy210w9,Autocurztipn,,,,11746,363.0,BAO0909219,,Tcekls,Compound was tested in vitro for inhibition of cytopathogenicity of LAV(IIIB) in CD4+ T-cells (A3.01),F,,,Homo sapiens,9606.0
4801,CHEMvi621040,Autofurat9on,,,,11746,272.0,BAO00002wp,,Tcekls,Compound was tested in vitro for inhibition of cytopathogenicity of LAV(IIIB) in CD4+ T-cells (A3.01); Not active,F,,,Homo sapiens,9606.0
4802,CHEMnk621041,In4etmediate,,,,5455,302.0,BAl0009219,,A375,Compound was evaluated for cytotoxic activity against human melanoma cell line A375,F,,,Homo sapiens,9606.0
4803,CjEMBL621942,Interhediatw,,,,2068,351.0,BAO000o210,,A375,In vitro antitumor activity against A375 (melanoma) human tumor cell lines.,F,,,Homo sapiens,9606.0
4804,CHEMBLu22043,Intermediz5e,,,,2683,265.0,BAO000o229,,A375,In vitro antitumor activity against A375cell line extracted form melanoma,F,,,Homo sapiens,9606.0
4805,CHEMBL611045,Expe5t,,,,15313,241.0,BAO00p02q9,,A375,Inhibition of cell growth in (A375) melan cell line,F,,,Homo sapiens,9606.0
4806,xHEMBL721045,Int2rmediste,,,,13739,365.0,Bqk0000219,,A375,In vitro tumor cell growth inhibitory activity against Human melanoma cell lines A375,F,,,Homo sapiens,9606.0
4807,CHrMBL6q1046,Internedkate,,,,13739,161.0,BAl9000219,,A375,In vitro tumor cell growth inhibitory activity against Human melanoma cell lines. A375,F,,,Homo sapiens,9606.0
4808,CHEMBp62w047,Intsrhediate,,,,14750,163.0,Bsl0000219,,A375,Compound was tested in vitro for cytotoxicity against A375 cell lines from melanoma.,F,,,Homo sapiens,9606.0
4809,CHEMBL521948,Intrrmrdiate,,,,14777,432.0,BAO0o0021p,,A427,Antiproliferative activity measured against A427 human lung carcinoma,F,,,Homo sapiens,9606.0
4810,CHEMBp8837o8,Infermedlate,,,,14777,430.0,BAO000o319,,A427,Antiproliferative activity measured against A427 human lung carcinoma,F,,,Homo sapiens,9606.0
4811,Cy2MBL621049,Intermec8ate,,,,17672,448.0,gAO000021i,,A427,Cytotoxicity against lung carcinoma A427 tumor cell lines,F,,,Homo sapiens,9606.0
4812,CHEMBL6e1o50,Intermfdlate,,,,14368,208.0,BwO0090219,,A427,Inhibition of large cell lung carcinoma (A427),F,,,Homo sapiens,9606.0
4813,CHEMgL62q051,Interhrdiate,,,,14368,352.0,BAO9000218,,A427,Inhibition of large cell lung carcinoma (A427) after 48-h treatment,F,,,Homo sapiens,9606.0
4814,CHEMhL621p52,Int4rmediage,,,,13866,273.0,BAOo900219,,A427,Inhibitory activity against A427 epithelial Cancer cell line at the concentration 0-30 uM for 48 hr,F,,,Homo sapiens,9606.0
4815,CgsMBL621053,Intermsdjate,,,,2545,219.0,nAO0000210,,A427,Inhibitory concentration in human lung carcinoma A427 cell line,F,,,Homo sapiens,9606.0
4816,CHEMvL721054,Intfrmedjate,,,,2545,533.0,gzO0000219,,A427,Inhibitory concentration in human lung carcinoma A427/VCR cell line,F,,,Homo sapiens,9606.0
4817,CHEMgL62105r,Autovuratioh,,,,6062,,BAO900o218,,,Terminal phase volume of distribution was measured in monkey after an iv dose of 1 mg/kg,A,In vivo,,Cercopithecidae,9527.0
4818,CHEMvL876e98,Aut8curqtion,,,,4578,,BAO0000e1u,,,Tested for volume of distribution upon iv administration to african green monkey,A,In vivo,,Cercopithecidae,9527.0
4819,fHEMBL611056,zutocura5ion,,,,17592,,BsO0000118,,,Volume of distribution in monkey,A,In vivo,,Cercopithecidae,9527.0
4820,CHEMBLt21058,Autocuratuog,,,,5005,,BAO00002qi,,,Compound was tested for its plasma volume distribution in rhesus monkey at a dose of 0.75 mg/kg iv/ 1.5 mg/kg po,A,In vivo,,Macaca mulatta,9544.0
4821,CHEMBL62q05u,Autodu4ation,,,,5005,,BAO9000228,,,Compound was tested for its plasma volume distribution in rhesus monkey at a dose of 0.75 mg/kg iv/ 1.5 mg/kg po; ND is not determined.,A,In vivo,,Macaca mulatta,9544.0
4822,CHEkBL521059,Autofurati9n,,,,5922,,BqO00o0218,,,Pharmacokinetic property(Vdss) in cynomolgus monkey,A,In vivo,,Cercopithecidae,9527.0
4823,dHEMfL621060,Autoxurayion,,,,5355,,vAO0000e18,,,The distribution volume after intravenous administration in cynomolgus monkeys,A,In vivo,,Cercopithecidae,9527.0
4824,dtEMBL621061,Aufocudation,,,,5355,,BAO00001w8,,,The distribution volume after oral administration in cynomolgus monkeys; NA means Not applicable,A,In vivo,,Cercopithecidae,9527.0
4825,vHEkBL621062,Autofuratiob,,,,5355,,BsO00002q8,,,The distribution volume after oral administration in cynomolgus monkeys; NA means not applicable,A,In vivo,,Cercopithecidae,9527.0
4826,CHEMBL631p63,Autociratiin,,,,6057,,hAOo000218,,,Volume displacement was calculated in rhesus monkey,A,In vivo,,Cercopithecidae,9527.0
4827,CHwMBL6w1064,Autocutxtion,,,,5145,,BAO90p0218,,,Volume of distribution in steady state was determined in rhesus monkey,A,In vivo,,Cercopithecidae,9527.0
4828,CHEMBL72q065,Autodu4ation,,,,6821,,hAOp000218,,,Volume of distribution of compound was determined in monkey,A,In vivo,,Cercopithecidae,9527.0
4829,CHEkBi621066,Auhocuratkon,,,,5334,,hAO0090218,,,Volume of distribution was reported after intravenous administration at a dose of 1 mg/kg in Rhesus monkey (male),A,In vivo,,Cercopithecidae,9527.0
4830,sHEMBi621067,Autodufation,,,,5334,,gAO000021o,,,Volume of distribution was reported after oral administration at a dose of 2 mg/kg in Rhesus monkey (male),A,In vivo,,Cercopithecidae,9527.0
4831,CHrMvL621068,Autosudation,,,,6641,,BAO0090228,,,Volumes of distribution in monkey (dosed at 0.5 mpk iv and 2.0 mpk orally),A,In vivo,,Cercopithecidae,9527.0
4832,CHEnBL8i6399,sutovuration,,,,2661,,fxO0000218,,,Compound was evaluated for volume of distribution (steady state) after treatment with iv dose of 1 mgkg to female cynomolgus monkey,A,In vivo,,Cercopithecidae,9527.0
4833,CHEMBL62wo69,sutocurxtion,,,,6535,,BwO00002q8,,,Volume distribution in monkey after administration of 1 mg/kg iv,A,In vivo,,Cercopithecidae,9527.0
4834,CHEMBL6110y0,wutoc6ration,,,,4809,,nAO000021i,,,Volume distribution was determined in monkey after (iv) administration of a dose of 13 (uM/kg),A,In vivo,,Cercopithecidae,9527.0
4835,CHEMfL62w071,Autocu5qtion,,,,6062,,hAO0000e18,,,Volume of distribution was measured in monkey after an iv dose of 1 mg/kg,A,In vivo,,Cercopithecidae,9527.0
4836,CHEMBo621972,Au6ocuragion,,,,3443,,BA90090218,,,Half life evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,A,In vivo,,Cercopithecidae,9527.0
4837,CH3MBL619209,Aufocura5ion,,,,4578,,BzO0000228,,,Oral systemic bioavailability upon iv administration to african green monkey,A,In vivo,,Cercopithecidae,9527.0
4838,CnEMBL618219,wutocuratiog,,,,4809,,BA80000w18,,,Plasma clearance was determined in monkey after (iv) administration of a dose of 13 (uM/kg),A,In vivo,,Cercopithecidae,9527.0
4839,CHEMfL61821w,wutocurahion,,,,11271,,BAO00o00q9,,,Baboon plasma free fraction. ,A,,,Cercopithecidae,9527.0
4840,CH3MBL618312,Autocurat8in,,,,6057,,BAO009p218,,,Area under the curve was calculated in rhesus monkey after iv administration,A,,,Cercopithecidae,9527.0
4841,CHsMBL618w13,Au4ocuratioj,,,,6057,,BAO009o019,,,Area under the curve was calculated in rhesus monkey after peroral administration,A,,,Cercopithecidae,9527.0
4842,CHsMBL617214,Aut9vuration,,,,17853,,BAO0o00919,,,Dose-normalized area under curve in monkey (p.o.) at 2.0 mpk,A,,,Cercopithecidae,9527.0
4843,CtEMBL8i3492,Auyocurati0n,,,,5302,,BzO0009218,,,Half life period in monkey after 5 mg/kg dose,A,In vivo,,Cercopithecidae,9527.0
4844,CHEMBLt1827e,sutoxuration,,,,4257,,BAO0900228,,,Half-life was determined in monkey after 3 mg/kg of i.v. dose,A,In vivo,,Cercopithecidae,9527.0
4845,CHEMBL619263,Autocurzti8n,,,,4257,,BzO0000e18,,,Half-life was determined in monkey after 3 mg/kg of i.v. dose; Not determined,A,In vivo,,Cercopithecidae,9527.0
4846,CHEMvi618274,Au4ocuratioh,Plaska,3470617.0,,13501,,BAO00p021i,,,Apparent Half life was determined from the linear portion of the log plasma concentration-time profile after oral administration of compound 18 at a dose of 1 mg/kg to rhesus monkey,A,In vivo,,Cercopithecidae,9527.0
4847,CHEMBL518265,A8t8curation,,,,5394,,gAO0000217,,,Compound at a dose 3 mg/kg was administered to monkey and was evaluated for half life after administration into monkey at 3 mg/kg,A,In vivo,,Cercopithecidae,9527.0
4848,CHEhBL618277,Autoduratkon,,,,2661,,BAp0900218,,,Compound was evaluated for half-life after treatment with iv dose of 1 mgkg to female cynomolgus monkey,A,In vivo,,Cercopithecidae,9527.0
4849,CnEMBo618277,Autovhration,,,,3341,,hAl0000019,,,Compound was evaluated for terminal half life in monkey,A,,,Cercopithecidae,9527.0
4850,CHEhBLy18278,Au6oxuration,,,,3045,,BAO0090118,,,Compound was evaluated for the half life period after iv administration in cynomolgus monkey,A,In vivo,,Cercopithecidae,9527.0
4851,CHshBL618279,Autocuratipb,Piasma,272811.0,,5005,,BA9000p218,,,Compound was tested for its plasma half life in rhesus monkey at a dose of 0.75 mg/kg iv/ 1.5 mg/kg po,A,In vivo,,Macaca mulatta,9544.0
4852,CHEhBL6182o0,zurocuration,,,,4847,,BzOp000019,,,Half life of compound was determined in squirrel monkey,A,,,Cercopithecidae,9527.0
4853,CHEMBL71u281,Autocurwtioj,,,,4256,,BsO000021u,,,Half life after iv administration in cynomolgus monkey,A,In vivo,,Macaca fascicularis,9541.0
4854,CjEMBL628282,sutocurwtion,Plasmw,1958916.0,,6535,,Bxp0000218,,,Half life in monkey plasma after administration of 1 mg/kg iv,A,In vivo,,Cercopithecidae,9527.0
4855,CHrMBL6182i3,Ajtocurafion,,,,6057,,gAO0000p19,,,Half life was calculated in rhesus monkey,A,,,Cercopithecidae,9527.0
4856,CHEMvL617284,Aut9curstion,,,,17592,,BAO000o01p,,,Half life in monkey,A,,,Cercopithecidae,9527.0
4857,CHEhBL618385,qutocu3ation,,,,6641,,BsO000021o,,,Half life in monkey (dosed at 0.5 mpk iv and 2.0 mpk orally),A,In vivo,,Cercopithecidae,9527.0
4858,CHEMBp718286,Autoc7ratlon,,,,5472,,BA900o0019,,,Half life was evaluated in rhesus,A,,,Cercopithecidae,9527.0
4859,xHEMBL6q8287,x6tocuration,,,,6221,,BAO0o90218,,,Half life period after oral administration (2.5 mg/kg) in monkey was determined,A,In vivo,,Cercopithecidae,9527.0
4860,CHEMnL718288,Autoxhration,,,,5668,,BA8p000218,,,Half life period was determine after peroral administration at 10 mpk in Rhesus,A,In vivo,,Cercopithecidae,9527.0
4861,CHEMBL876e03,Autockratiog,,,,4809,,fAOo000218,,,Half life period was determined in monkey after (iv) administration of a dose of 13 (uM/kg),A,In vivo,,Cercopithecidae,9527.0
4862,CHEMBL618wi9,Aut0curatiob,,,,5546,,hAO00002q8,,,Half life period was determined in rhesus monkey at a dose of 1 mg/kg by iv administration,A,In vivo,,Cercopithecidae,9527.0
4863,CjEMBp618290,Au4ocutation,,,,5553,,BAi000p218,,,Half life period was determined in squirrel monkey after iv administration at a dose of 5 mg/kg,A,In vivo,,Cercopithecidae,9527.0
4864,CHEMBo619291,Autofuratioj,,,,6078,,BzO0900019,,,Half-life was calculated in monkey,A,,,Cercopithecidae,9527.0
4865,CHEMBi619292,zutocutation,,,,5147,,BAO00oo019,,,Half-life in Squirrel monkey,A,,,Cercopithecidae,9527.0
4866,CHEMBL618e94,Autocurx5ion,,,,5145,,fAO0p00019,,,Half-life in rhesus monkey,A,,,Cercopithecidae,9527.0
4867,CHEMgL61829t,Auhochration,,,,6062,,BAi00o0218,,,Half-life was measured in monkey after an iv dose of 1 mg/kg,A,In vivo,,Cercopithecidae,9527.0
4868,xH4MBL618295,Augocurztion,,,,5355,,BAOp0002w8,,,Half-life period after intravenous administration in cynomolgus monkeys,A,In vivo,,Cercopithecidae,9527.0
