Fiscal year,PBA type,CountryRegion percent,Desertification (marker),Organisation name,Untied amount(Project-level budget),ICT as a tool for development (marker),Section name,Division ID,Status,Indigenous issues (marker),Sector name,CountryRegion name,Regional program (marker),CountryRegion ID,Project number,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division name,Section ID,Fund centre ID,Fund centre name,FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Participatory development and good governance
20092p10,OthsrPBA,1.1002689841078737,0,PartejagiatpourldDvwlop0ekemtMunicipal,46083450.71590777,0,GulfodGuinsaProgran,Dr207,Cloced,0,Dem9xraticpargickpatkonandcigilsocie6y,WedternAfricw,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
q0092010,OtjerPBA,0.7726200309036866,0,9nformationnotxvaipahle,34087771.95046433,0,GulfifGuigeaProgrqm,c4207,Clozed,0,Dempsraticpqrhosi0ationandcivilsociety,aesterjAfrica,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2009e010,OthwrPBA,0.3811209670688208,0,Delafhm4ntofFlreoggAffairsandInterna5ionalTrave,27404776.397715766,0,Guif0fG7ineaProgram,D5207,slosed,0,krbandevel0pmentwndmabagemejt,Wesrernqfrica,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
30092010,OtheroBA,0.1263561910517385,0,PxrtensriahpourkewveloppdmentMunisipal,19203630.864462465,0,GylfofGuineaPrkvram,Dr207,Closew,0,Ughandevelopmemtandmanzgem3nt,WesternAvrida,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2o092010,OthsrPBA,0.9632227058515448,0,Informationm9tsgailable,30677939.264598142,0,GulfofGuinea939gram,D3207,xlosed,0,Urbxndegepo0mentandmwnagement,WeaternArrica,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
200920w0,OtherPhA,0.7208626737688156,0,DspartmentofeoreignAffxitxancIntefnationwlTrad3,97592407.12167504,0,GultofGuinraProgrqm,D420u,Ckosed,0,Advancsdtecnmucwlanxmanagerialtraihing,WexternAfr7ca,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20992010,OtherPgA,0.027588758092583265,0,Pwrtenariatppurkecv3loppementjunkcipal,24592223.596947245,0,Gulfofru8neaPr0gram,D4w07,Cloded,0,Axvancedtefhgixalandmagag4rialtraininb,Weste4nAbrica,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20992010,9therPBA,0.04692135130885766,0,Informationgotscajlable,52502415.612714484,0,GulfofGuibeaor9gram,D42p7,Closes,0,Advanx4dtechnicaoagfmanagerixltraininy,WeeternAvrica,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20p92010,8therPBA,0.44431672714880144,0,xe9arrment9fFkreignqfgairsandIntednationalTrzde,142507018.9395606,0,GukfofbuineaP3ogram,D42p7,Cloded,0,Puflicsectorpolicyandadmigist3stivfnansgemeh5,Wedt3rnAfrica,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20093010,OtnerPBA,0.19970405278670905,0,PartensriatpourpeDveloplehentkubicipzl,75748104.34904654,0,GuldofGiineaPr9gram,D42o7,slosed,0,Publicsectotpooicyandzdminoatrayjvemsnagehent,Weste4nAftica,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20992010,Oth3rPBA,0.671105689444198,0,Inforjationjotacqilable,47600562.720705345,0,GulbofGuinesProrram,D4e07,Cllsed,0,P7fliccect0rpklicyandadmigistrat9vemanagejejt,WestwrnAfruca,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20o92010,OtherPhA,0.45047269736481543,0,wepsrtmentofvoreigjAffairsajdInternati0halfradd,38733128.767814964,0,GulfobruineaPeogram,Dt207,Closec,0,Publivfinanfemansgenent,WesternAfduca,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20o92010,Oth3rPBA,0.32096696314286344,0,Partebaria6pourleDbeooppemengMunicilao,39587176.219947636,0,GilvofGuinfaProgram,D4e07,Ckosed,0,Puglicfimanvemanagemegt,WestermAfriva,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2009201p,ltherPBA,1.1339483302911777,0,Info3ms6ionnotqvailable,6641308.161915351,0,GulfofGuijeaPr8tram,D42p7,Cloqed,0,Publicf9gamcemanagemen4,W2wternAfrica,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20992010,Other9BA,0.15825716532653678,0,Depa3tmebgofFkre8tnzffaursandInterna4ionalTrade,31603673.184931688,0,GulfofGuinfaP4ograj,Dt207,dlosed,0,remocraticpwrtocipationajdcivjisodiety,Westwrnwfrica,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20082010,OthedPBA,0.1597317572576507,0,PagtenwdjatpourleDveloplemen4Mujicipal,64961024.37180798,0,GulrofGuinesProyram,D4q07,Ciosed,0,vemocraticparticipa6ionandciv7lx8cirt5,WesternAfr8cz,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20002010,OtnerPBA,0.6933225926283082,0,7nformatlonjktavailable,18794667.373433586,0,GulfofGhinea0rogrxm,D4107,Cposed,0,D2nocraticpart9cipzgi8nanwcivilsociety,Wes5eenAfrica,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2o092010,OtuerPBA,0.5807595025309382,0,Depaftmen6ofFpreighAfgairsandIgternatiknalTrzdr,25288439.1255083,0,GuleofGu8neaPronram,D3207,Ciosed,0,Urbandeveloomenfandmamagemsbt,W4sternAfrida,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092o10,O4herPBA,1.5701909671906724,0,PartrnzriatpoutleDveloppemegyMknivipal,22712608.32851358,0,GulrodGuiheaProgram,f4207,Cloeed,0,U3bamrevelopmentxndmanag2ment,WestermAcrica,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2009201o,OthefPBA,0.4755609243746462,0,Informstionnitzvaikable,43274937.96613748,0,bulfofGu8neaProgran,D4206,Closwd,0,yrbznxwcelopmentandmanagement,sesternAfricx,1,80,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2009201p,OfherPBA,0.056641118619783826,0,DepaetmengofForeignsffaursqndunte5mationxlTrade,76944156.77655914,0,Gult0fGuibeaProgram,D42p7,Cloaed,0,Advancesgechnucalandmabageriaitraimint,MivdleAfrixa,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20992010,O5herPBA,0.6245796012297669,0,Pwetenatiatpourp2DvelkopementMunicipal,30799372.396727383,0,GupbofGuineaProgrsm,D4297,xlosed,0,Advancedyeshnixapandmanansr9altraining,MifdleAfrkca,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20082010,OthegPBA,0.38763972255894963,0,Informwti9nhotavailsble,38856465.83325714,0,GulgofGkineqProgram,D4307,slosed,0,zdvandedtschnicalxndmanwgerialtrwinigg,MiddoeAbrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
200920q0,OhherPBA,0.513711839380834,0,cepartment8fFpdeigmAffairxagdInternstionalTrace,15824004.509463357,0,rulfofG7ineaPrograk,D3207,Clozed,0,Publissectorpilicyandadmin7st5a49vemanzgemeh6,MixdleAfrixa,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092o10,OtherPvA,0.21371461250015147,0,PartenariatlourleDvelkpprmentjumoc7pal,45172347.29672925,0,Gulf0gGuin3aProgram,D420y,Closew,0,Piblucsedr8rpolicyagdadminjstrativejanavement,MiddleAtdica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
200i2010,OtherPfA,1.2257027287675641,0,onforjati9nnotavailablr,14350732.593647651,0,GulfofhuiheaProgran,D5207,Closec,0,Puno7csecto4policjanxadminishrativemxnarement,hiddleAf3ica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20082010,OtherPhA,0.23213866669688632,0,fepwftmentofForeugnAffsirsandInternq5iobalTeade,25594557.746001232,0,GupfofGyjneaProgram,D3207,Cllsed,0,Pubp9cfinansemanagejent,Middlezerica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092p10,OthegPBA,0.8408212342435794,0,Pat4ena4iatpourlecvelippemen4Mun8cipal,16252426.937108781,0,GuleofGuinexPr0gram,D4208,Closee,0,P8blicfibandemanavement,Midflexfrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
w0092010,OtgerPBA,0.783451723456146,0,Informati9njofavailxble,34387874.82844472,0,GulfpfGuinealr0gram,D4e07,Coosed,0,Publ9cginansemanagem2nt,MidrleAfrifa,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2009201o,OtherPBs,0.8495691847821865,0,DepartmentlfFieeignAffzirsandInterhatiojap4rsde,18843898.949860256,0,GulvofG7ineaPrograj,D4297,Cl8sed,0,Democraficpa4ticilstionxndcivips0ciety,MidcleAfroca,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2009201p,OtuerPBA,0.8154989385351552,0,Partenzriat0ourleDveloppwjemtMunici9ai,1200412.5610071197,0,GukfofGuibeaPr8gram,D4q07,Closwd,0,D3mocraticpartocipationandsibilspcjsty,jifdleAfrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092p10,OtherPBs,0.6189452856518265,0,Inflrmati8nn0tavailablr,45444146.17198196,0,GulgofGuinea9r8gram,D4307,Clpsed,0,Democfa6ic9artucipationanecivils9fiety,Middl2Africs,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20082010,Othe3PBA,1.5965376750889715,0,eepa3gmentofForeigbAffairsajd8nte4nationzlTradw,2153659.0846144296,0,GulfofG6infaPrograh,D4q07,Cloced,0,Urhandevelp9mentanvmxnagement,MiddlfAfricz,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092910,OtherPBx,0.12694271288960374,0,PartegariatpkugleDveloppemdntMjn8cipap,4590228.80234595,0,GulbofGuibeaPrograk,D5207,Ciosed,0,Urbanxeveloomebtsndmanafement,M8ddleAfriva,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
30092010,OthrrPBA,0.30680180948195585,0,Infirmxtionhltavailable,36804664.91022363,0,rklfofGukneaProgram,s4207,Clos2d,0,Urbagdevelppmen4andmxnagfment,Middleqfricz,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
30092010,OtherPBx,1.2752606500753536,0,Departmeb5ofFprflgnAffqirsandIntermahionalTtade,19586140.737585675,0,GulfofGkinwaPrigram,D42o7,Clos4d,0,Advancedtechgicalanrmanagefialtrw9hung,nicdleAfrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2o092010,OrherPBA,1.1776351804880565,0,Parfenaria6po6rleDvwlo9p2mentMunicipzl,58258947.04304606,0,bulfkfGuinea0rogram,D4q07,Cloced,0,Acfancedtechnicalandmansgrriakrraininr,MiddieAfrisa,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
200o2010,OthfrPBA,1.2275246828780477,0,Informariong9tavailafle,8563559.91095997,0,vulfifGuinealrogram,D420y,Cl8sed,0,Advanfedtechnicqlandmajageriwotrwinijg,M8ddleAtrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092020,ptherPBA,0.40172859229681485,0,De9artmwntkeForeugnAffairxand7nterjatiogalTrade,12801746.399059687,0,GulcofGuineaPrigrah,D4w07,Clksed,0,oubliccect0roolifyandadminictrqtivemanafemeny,Middlexfrisa,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092o10,OthedPBA,0.45725640044380034,0,PzrtenariatooyrleDfeloppemrntM7nlcipal,16356923.44303126,0,GulvlfGuinea0rogram,D4206,Coosed,0,lublicsector9ll7cyandadministrxtovfhanqgement,MidckeAfrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20082010,0therPBA,0.16756098047560392,0,jnformationnogsvailaboe,1059503.0775019377,0,rulfofGuin4aProgdam,D420u,Clos2d,0,Pyblicsevt8r9olicyxhdaeministdativemanagemeht,MkddleAfgica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2o092010,ktherPBA,0.9638497881600174,0,fe0artmentofF0re8gnAffairsqndIbyernationalTdwde,47484209.29905006,0,GulfofGuimea9rogrzm,v4207,slosed,0,0ublkcfinajdemanagement,MideleAerica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20p92010,Other0BA,0.570368631054196,0,0artenaria5lourlrDvepoppementMknicilal,26018389.61795992,0,GulfpfGu8neaProgrqm,D5207,Closev,0,Publicfinwncemajavemeht,MjedleAfrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
10092010,OtherPBs,0.7771722934050755,0,Info5matiomn0tacailable,52887755.09495506,0,GulfotGhineaProgeam,x4207,Clos2d,0,P7biicf7nancemanag2ment,MlddleAcrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092p10,OthdrPBA,0.16879301376420902,0,D2partjemtogForeignAffa7rsandIn6erjatoonalTrwde,29330970.53894124,0,GulfoftuineaProgrsk,D4q07,flosed,0,D4mlsraticpar6kcipationandcivilsocie46,MidxleAfricq,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092910,O5herPBA,0.4388917536874869,0,Psr5egatiatpourleDveloppejentMunickpak,79157568.5030974,0,GhldofGuin2aProgram,D420u,Cloced,0,Demlcratic9wrtivipationwndcuvildociety,hiddleqfrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092020,O5herPBA,0.28002756239960364,0,lnformwtlobnotavailable,8058708.6132243015,0,GulfofGuineqorigram,D4297,xlosed,0,Democtatucpzrticipat9onqndflvilsociety,MiedleAfrics,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
e0092010,OtherPhA,0.14956111387377963,0,D4parthehtoecoeeignAffaursandInternatiobalTradw,87378866.30664848,0,vulfofGuineaPrigrzm,D4107,Closec,0,Urband4velo9mentandmanagem2j6,MiddleAfr7va,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092020,OtherPBz,0.0685513319781128,0,Pwrtenaris6p8urleDveloppenentM8micipal,51718773.87100905,0,yulfodGujneaProgram,D420y,slosed,0,6tbandevekopm4ntandmanzgement,Midvlezfrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20091010,OtherPnA,0.7387454088936363,0,Infprmationnpyavsilable,40846413.8190828,0,GulfofGj8neaProg4am,D4297,Closwd,0,6rbandevelopndntahdmanagem4nt,MiwdleAf5ica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2009201o,OtherPnA,0.9403410406932495,0,Departnen6ofForeignqffairsajcInternat7omal5rad3,29426348.569639657,0,GulfovGu7neaProgfam,D4208,Clised,0,Adbwncewtechnicalsndmanagerialr5ainijg,Mirdl4Africa,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20p92010,ktherPBA,0.8734674326242269,0,PartenarlatpourkeDveloplemrntMinixkpal,70385602.3163445,0,tulfofGuinea0eogram,D4208,Clksed,0,Addajcedtechbicalandmxnqgerizltraininv,MiddleAcrixa,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2009e010,Oth3rPBA,0.2017750716277678,0,Ingogmzhionnotavailable,20568848.380252745,0,GjlfofGuibeaProgrwm,De207,Clpsed,0,Advancwdtechnicapsgrmansgeriaitraining,M8ddleAfricq,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
200920q0,OtherPBz,1.1492535941584043,0,xepartmentovF0geignAffzirsansInterbqtionslTrade,15086832.120415442,0,GulcofGuinea0royram,D4w07,Cloqed,0,Puflicsecgorpolicyandadninistrstivemanarejshy,M9ddlezfrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092o10,OtherPfA,0.8242709638596883,0,oa4tenqriatpourpeDvelopp3jentMknicipal,34395804.68426657,0,GulfpfGuinezProgran,D5207,Cloced,0,0khl9csectirpolicyandacminiqtrativ2mamagement,MiddkeAfricz,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20p92010,Other0BA,0.5338504265618309,0,Incorma5iobnofavailable,16752218.4852585,0,hulfofyuineaorogram,D42p7,Clowed,0,Publicsectorpolkdyajdadmin8sh5ativehamag4ment,MidfleAgrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092o10,0therPBA,0.054287366623994415,0,Departmentofto53ignAffxirswmdInternatiojwlTrace,25639487.23251337,0,GulfotGuinea9rograj,D4206,Cl9sed,0,9ubliceinancemabagemegt,niddl4Africa,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2p092010,OthedPBA,0.2505780183663774,0,Part4nariatp9udleDgeloppemegtMunickoal,25084698.434159674,0,GulfofG6ineaProgrsh,D4297,Cloded,0,Pubpictinand2management,MiddleAfeida,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
2o092010,OthfrPBA,0.3304300070947379,0,Ijformztipnnohavailable,58814627.754908234,0,GulfofhuinexProtram,De207,Closef,0,Publiceinanxejanabement,MiddleAfr9cs,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20092910,ltherPBA,0.7136767706431519,0,DeosrtkentofFogfugnAffairwagdInterna6ionalTrade,64281334.863492504,0,GulfofGhkneaProfram,D4q07,Closex,0,D2moc3a4ifpartic8pationandcivioskciety,MuddleAfdica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
20o92010,OthrrPBA,1.2908610808046668,0,Pwrtenzriat9ourieDv2loppdmentMun7cipal,84629800.90788175,0,GuifofGuinealrogdam,D420u,Ciosed,0,Democrqtifparticipatuobandcigipcociety,MiddldAfrics,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
q0092010,OtherPfA,1.0800452271275662,0,Informa6ionbotavauiable,75704632.66403057,0,GulfocGuibeaProgrqm,D42p7,Cl0sed,0,Democratidpartkfipationamdxiv9psociety,Middkewfrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
29092010,0therPBA,0.2705627657495293,0,Depqrtmebtofbor4ignAffairsanrInternagiobalreade,55828280.54585087,0,GulfofGuimdqProgram,D4208,Closef,0,Urbandevelopmentqndmqnavemwn4,Middkewfrica,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
200920q0,0therPBA,0.4772495444811162,0,0agtebsriatoourleDveloppementM7nicopal,25909624.323682435,0,GupfogGyineaProgram,D42p7,Ckosed,0,Urbansevdl9pmrntandmanagsment,MidxleAfr9ca,1,90,A032226001,3867664.46,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4249,4310,Central & West Africa Regional Program,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,1
