assays_description,assays_assay_id,assays_assay_category,assays_chembl_id,assays_tid,assays_bao_format,assays_assay_cell_type,assays_cell_id,assays_assay_test_type,assays_src_id,assays_assay_strain,assays_tissue_id,assays_assay_organism,assays_variant_id,assays_assay_tax_id,assays_confidence_score,assays_curated_by,assays_relationship_type,assays_assay_type,assays_assay_tissue,assays_doc_id,assays_assay_subcellular_fraction,assays_src_assay_id
"In vivo maximum concentration of compound in rat plasma after a oral dose of 10 mg/kg (in water, N=4)",8730,,CHEMBL623885,50597,BAO_0000218,,,In vivo,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,3032,,
In vivo maximum concentration in rat plasma exposure after oral administration 50 mg/kg,8731,,CHEMBL623886,50597,BAO_0000218,,,In vivo,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,6295,,
Maximal concentration in rat was determined,8732,,CHEMBL623887,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6619,,
Maximal concentration after i.v. administration,8733,,CHEMBL623888,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6616,,
Maximal concentration (Cmax) in the rat plasma at a dose of 10 mg/kg,8734,,CHEMBL623889,50597,BAO_0000218,,,In vivo,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,3249,,
Maximal plasma concentration in rat after oral administration at 50 mg/kg,8735,,CHEMBL623890,50597,BAO_0000218,,,In vivo,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,17791,,
Cmax in rat plasma after oral dose (50 mg/Kg),8736,,CHEMBL623891,50597,BAO_0000218,,,In vivo,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,17791,,
Maximal plasma concentration was determined.,8737,,CHEMBL623892,50597,BAO_0000218,,,In vivo,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,1360,,
Maximal plasma drug concentration was determined,8738,,CHEMBL623893,50597,BAO_0000218,,,In vivo,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,2552,,
Maximal concentration in rats after peroral administration,8739,,CHEMBL877616,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6571,,
Maximum concentration in rat after 2 mg/kg peroral administration,8740,,CHEMBL623894,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,6570,,
Maximum concentration in rat plasma after 5 mg/kg oral gavage,8741,,CHEMBL623895,50597,BAO_0000218,,,In vivo,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,6567,,
Maximum concentration of compound in rat was evaluated.,8742,,CHEMBL623896,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,3031,,
Maximum concentration at 0.5 hr by peroral administration at a dose of 20 mg/kg in rats,8743,,CHEMBL623897,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,3436,,
Maximum concentration at 2 hr by peroral administration at a dose of 20 mg/kg in rats,8744,,CHEMBL623898,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,3436,,
Maximum concentration at 4 hr after administration of 5 mg/kg dose peroral in rat,8745,,CHEMBL623899,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,2083,,
Maximum concentration at 4 hr by peroral administration at a dose of 20 mg/kg in rats,8746,,CHEMBL623900,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,3436,,
Maximum concentration by oral administration at a dose of 100 uM/kg in rat was determined,8747,,CHEMBL623901,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,4527,,
Maximum concentration was evaluated in rats,8748,,CHEMBL623902,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,1974,,
Maximum concentration in CSF at 30 min following 24 mg/kg subcutaneous dose in rats,8749,,CHEMBL623903,50597,BAO_0000218,,,In vivo,1,,1359.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Cerebrospinal fluid,3307,,
Maximum concentration in plasma at 30 min following 24 mg/kg subcutaneous dose in rats,8750,,CHEMBL623904,50597,BAO_0000218,,,In vivo,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,3307,,
Maximum concentration in plasma was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,8751,,CHEMBL877617,50597,BAO_0000218,,,In vivo,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,1916,,
Maximum concentration in portal vein was determined at a concentration of 10 mg/kg in rats,8752,,CHEMBL623905,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,1500,,
Maximum concentration in portal vein was determined at a concentration of 20 mg/kg in rats,8753,,CHEMBL623906,50597,BAO_0000218,,,In vivo,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,1500,,
Maximum concentration in rat plasma after administration of 3.5 mg/kg dose through subcutaneous route,8754,,CHEMBL623907,50597,BAO_0000218,,,In vivo,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,4186,,
Radioactivity distribution in bone of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min.,8755,,CHEMBL623908,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16434,,
Radioactivity distribution in bone of normal fischer rat after injection of [18F]-fluoro-2-methylpropanoic acid after 30 min.,8756,,CHEMBL623909,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16434,,
Radioactivity distribution in bone of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min.,8757,,CHEMBL623910,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16434,,
Radioactivity distribution in bone of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min.,8758,,CHEMBL623911,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16434,,
Radioactivity distribution in bone of normal fischer rat after injection of anti-[18F]FMACBC after 120 min.,8759,,CHEMBL623912,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of normal fischer rat after injection of anti-[18F]FMACBC after 30 min.,8760,,CHEMBL624616,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of normal fischer rat after injection of anti-[18F]FMACBC after 5 min.,8761,,CHEMBL624617,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of normal fischer rat after injection of anti-[18F]FMACBC after 60 min.,8762,,CHEMBL624618,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of normal fischer rat after injection of syn-[18F]-FMACBC after 120 min.,8763,,CHEMBL624619,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of normal fischer rat after injection of syn-[18F]-FMACBC after 30 min.,8764,,CHEMBL624794,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of normal fischer rat after injection of syn-[18F]-FMACBC after 5 min.,8765,,CHEMBL624795,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of normal fischer rat after injection of syn-[18F]-FMACBC after 60 min.,8766,,CHEMBL623921,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min,8767,,CHEMBL623922,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16434,,
Radioactivity distribution in bone of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min,8768,,CHEMBL623923,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16434,,
Radioactivity distribution in bone of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min,8769,,CHEMBL623924,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16434,,
Radioactivity distribution in bone of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 120 min,8770,,CHEMBL623925,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 5 min,8771,,CHEMBL623926,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 60 min,8772,,CHEMBL623927,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 120 min,8773,,CHEMBL623928,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 5 min,8774,,CHEMBL623929,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in bone of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 60 min,8775,,CHEMBL623930,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,16435,,
Radioactivity distribution in brain of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 120 min.,8776,,CHEMBL623931,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16434,,
Radioactivity distribution in brain of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 30 min.,8777,,CHEMBL622165,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16434,,
Radioactivity distribution in brain of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 5 min.,8778,,CHEMBL621249,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16434,,
Radioactivity distribution in brain of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 60 min.,8779,,CHEMBL621250,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16434,,
Radioactivity distribution in brain of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min.,8780,,CHEMBL621448,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16434,,
Radioactivity distribution in brain of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 30 min.,8781,,CHEMBL621449,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16434,,
Radioactivity distribution in brain of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min.,8782,,CHEMBL621450,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16434,,
Radioactivity distribution in brain of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min.,8783,,CHEMBL621451,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16434,,
Radioactivity distribution in brain of normal fischer rat after injection of anti-[18F]FMACBC after 120 min.,8784,,CHEMBL621452,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of normal fischer rat after injection of anti-[18F]FMACBC after 30 min.,8785,,CHEMBL621453,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of normal fischer rat after injection of anti-[18F]FMACBC after 5 min.,8786,,CHEMBL621454,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of normal fischer rat after injection of anti-[18F]FMACBC after 60 min.,8787,,CHEMBL621455,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of normal fischer rat after injection of syn-[18F]-FMACBC after 120 min.,8788,,CHEMBL621456,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of normal fischer rat after injection of syn-[18F]-FMACBC after 30 min.,8789,,CHEMBL625145,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of normal fischer rat after injection of syn-[18F]-FMACBC after 5 min.,8790,,CHEMBL875847,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of normal fischer rat after injection of syn-[18F]-FMACBC after 60 min.,8791,,CHEMBL625146,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min,8792,,CHEMBL625147,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16434,,
Radioactivity distribution in brain of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min,8793,,CHEMBL625148,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16434,,
Radioactivity distribution in brain of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min,8794,,CHEMBL625149,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16434,,
Radioactivity distribution in brain of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 120 min,8795,,CHEMBL625150,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 5 min,8796,,CHEMBL625151,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 60 min,8797,,CHEMBL625152,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 5 min,8798,,CHEMBL625153,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 60 min,8799,,CHEMBL625154,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Radioactivity distribution in brain of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 120 min,8800,,CHEMBL625155,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,16435,,
Uptake of radioligand [125I]FIDA1 by hippo-campus in rat after 30 minutes after an intravenous injection is given (average of 2 rats),8801,,CHEMBL625156,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,11977,,
Uptake of radioligand [125I]-FIDA1 by hippo-campus in rat after 60 minutes after an intravenous injection is given (average of 3 rats),8802,,CHEMBL624354,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,11977,,
Uptake of radioligand [125I]FIDA1 by hippocampus in rat after 120 minutes after an intravenous injection is given (average of 3 rats),8803,,CHEMBL624355,50597,BAO_0000218,,,,1,,10000000.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Hippocampus,11977,,
Uptake of radioligand [125I]FIDA1 by hippocampus in rat after 2 minutes after an intravenous injection is given (average of 3 rats),8804,,CHEMBL624356,50597,BAO_0000218,,,,1,,10000000.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Hippocampus,11977,,
Uptake of radioligand [125I]-FIDA1 by hippocampus in rat after 30 minutes after an intravenous injection is given (average of 3 rats),8805,,CHEMBL624357,50597,BAO_0000218,,,,1,,10000000.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Hippocampus,11977,,
Uptake of radioligand [125I]FIDA1 by hippocampus in rat after 60 minutes after an intravenous injection is given (average of 3 rats),8806,,CHEMBL624358,50597,BAO_0000218,,,,1,,10000000.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Hippocampus,11977,,
Uptake of radioligand [125I]FIDA1 by striatum in rat after 120 minutes after an intravenous injection is given (average of 3 rats),8807,,CHEMBL624359,50597,BAO_0000218,,,,1,,2435.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Striatum,11977,,
Uptake of radioligand [125I]FIDA1 by striatum in rat after 2 minutes after an intravenous injection is given (average of 3 rats),8808,,CHEMBL624360,50597,BAO_0000218,,,,1,,2435.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Striatum,11977,,
Uptake of radioligand [125I]FIDA1 by striatum in rat after 30 minutes after an intravenous injection is given (average of 2 rats),8809,,CHEMBL624361,50597,BAO_0000218,,,,1,,2435.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Striatum,11977,,
Uptake of radioligand [125I]FIDA1 by striatum in rat after 30 minutes after an intravenous injection is given (average of 3 rats),8810,,CHEMBL624362,50597,BAO_0000218,,,,1,,2435.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Striatum,11977,,
Uptake of radioligand [125I]FIDA1 by striatum in rat after 60 minutes after an intravenous injection is given (average of 3 rats),8811,,CHEMBL624363,50597,BAO_0000218,,,,1,,2435.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Striatum,11977,,
Biodistribution of radioligand [125I]FIDA1 in blood of rat after 120 minutes after an intravenous injection is given (average of 3 rats),8812,,CHEMBL624364,50597,BAO_0000218,,,In vivo,1,,178.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Blood,11977,,
Biodistribution of radioligand [125I]FIDA1 in blood of rat after 2 minutes after an intravenous injection is given (average of 3 rats),8813,,CHEMBL624365,50597,BAO_0000218,,,In vivo,1,,178.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Blood,11977,,
Biodistribution of radioligand [125I]FIDA1 in blood of rat after 30 minutes after an intravenous injection is given (average of 3 rats),8814,,CHEMBL624366,50597,BAO_0000218,,,In vivo,1,,178.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Blood,11977,,
Biodistribution of radioligand [125I]FIDA1 in blood of rat after 60 minutes after an intravenous injection is given (average of 3 rats),8815,,CHEMBL624367,50597,BAO_0000218,,,In vivo,1,,178.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Blood,11977,,
Biodistribution of radioligand [125I]FIDA1 in brain of rat after 120 minutes after an intravenous injection is given (average of 3 rats),8816,,CHEMBL624368,50597,BAO_0000218,,,In vivo,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,11977,,
Biodistribution of radioligand [125I]FIDA1 in brain of rat after 2 minutes after an intravenous injection is given (average of 3 rats),8817,,CHEMBL624369,50597,BAO_0000218,,,In vivo,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,11977,,
Biodistribution of radioligand [125I]FIDA1 in brain of rat after 30 minutes after an intravenous injection is given (average of 2 rats),8818,,CHEMBL624370,50597,BAO_0000218,,,In vivo,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,11977,,
Biodistribution of radioligand [125I]FIDA1 in brain of rat after 30 minutes after an intravenous injection is given (average of 3 rats),8819,,CHEMBL625069,50597,BAO_0000218,,,In vivo,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,11977,,
Biodistribution of radioligand [125I]FIDA1 in brain of rat after 60 minutes after an intravenous injection is given (average of 3 rats),8820,,CHEMBL625070,50597,BAO_0000218,,,In vivo,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,11977,,
Biodistribution of radioligand [125I]-FIDA1 in heart of rat after 120 minutes after an intravenous injection is given (average of 3 rats),8821,,CHEMBL626051,50597,BAO_0000218,,,In vivo,1,,948.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Heart,11977,,
Biodistribution of radioligand [125I]FIDA1 in heart of rat after 2 minutes after an intravenous injection is given (average of 3 rats),8822,,CHEMBL626052,50597,BAO_0000218,,,In vivo,1,,948.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Heart,11977,,
Biodistribution of radioligand [125I]FIDA1 in heart of rat after 30 minutes after an intravenous injection is given (average of 2 rats),8823,,CHEMBL626053,50597,BAO_0000218,,,In vivo,1,,948.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Heart,11977,,
Biodistribution of radioligand [125I]FIDA1 in heart of rat after 30 minutes after an intravenous injection is given (average of 3 rats),8824,,CHEMBL626054,50597,BAO_0000218,,,In vivo,1,,948.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Heart,11977,,
Biodistribution of radioligand [125I]FIDA1 in heart of rat after 60 minutes after an intravenous injection is given (average of 3 rats),8825,,CHEMBL626055,50597,BAO_0000218,,,In vivo,1,,948.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Heart,11977,,
Biodistribution of radioligand [125I]FIDA1 in kidney of rat after 120 minutes after an intravenous injection is given (average of 3 rats),8826,,CHEMBL626056,50597,BAO_0000218,,,In vivo,1,,2113.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Kidney,11977,,
Biodistribution of radioligand [125I]-FIDA1 in kidney of rat after 2 minutes after an intravenous injection is given (average of 3 rats),8827,,CHEMBL626057,50597,BAO_0000218,,,In vivo,1,,2113.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Kidney,11977,,
Biodistribution of radioligand [125I]FIDA1 in kidney of rat after 30 minutes after an intravenous injection is given (average of 3 rats),8828,,CHEMBL625193,50597,BAO_0000218,,,In vivo,1,,2113.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Kidney,11977,,
Biodistribution of radioligand [125I]FIDA1 in kidney of rat after 60 minutes after an intravenous injection is given (average of 3 rats),8829,,CHEMBL625194,50597,BAO_0000218,,,In vivo,1,,2113.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Kidney,11977,,
Biodistribution of radioligand [125I]FIDA1 in liver of rat after 120 minutes after an intravenous injection is given (average of 3 rats),8830,,CHEMBL625195,50597,BAO_0000218,,,In vivo,1,,2107.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Liver,11977,,
Biodistribution of radioligand [125I]-FIDA1 in liver of rat after 2 minutes after an intravenous injection is given (average of 3 rats),8831,,CHEMBL625196,50597,BAO_0000218,,,In vivo,1,,2107.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Liver,11977,,
Biodistribution of radioligand [125I]FIDA1 in liver of rat after 30 minutes after an intravenous injection is given (average of 2 rats),8832,,CHEMBL625197,50597,BAO_0000218,,,In vivo,1,,2107.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Liver,11977,,
Biodistribution of radioligand [125I]FIDA1 in liver of rat after 30 minutes after an intravenous injection is given (average of 3 rats),8833,,CHEMBL625198,50597,BAO_0000218,,,In vivo,1,,2107.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Liver,11977,,
Biodistribution of radioligand [125I]FIDA1 in liver of rat after 60 minutes after an intravenous injection is given (average of 3 rats),8834,,CHEMBL627929,50597,BAO_0000218,,,In vivo,1,,2107.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Liver,11977,,
Biodistribution of radioligand [125I]FIDA1 in lung of rat after 120 minutes after an intravenous injection is given (average of 3 rats),8835,,CHEMBL627074,50597,BAO_0000218,,,In vivo,1,,2048.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Lung,11977,,
Biodistribution of radioligand [125I]FIDA1 in lung of rat after 2 minutes after an intravenous injection is given (average of 3 rats),8836,,CHEMBL627075,50597,BAO_0000218,,,In vivo,1,,2048.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Lung,11977,,
Biodistribution of radioligand [125I]FIDA1 in lung of rat after 30 minutes after an intravenous injection is given (average of 2 rats),8837,,CHEMBL627076,50597,BAO_0000218,,,In vivo,1,,2048.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Lung,11977,,
Biodistribution of radioligand [125I]FIDA1 in lung of rat after 30 minutes after an intravenous injection is given (average of 3 rats),8838,,CHEMBL627077,50597,BAO_0000218,,,In vivo,1,,2048.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Lung,11977,,
Biodistribution of radioligand [125I]FIDA1 in lung of rat after 60 minutes after an intravenous injection is given (average of 3 rats),8839,,CHEMBL627078,50597,BAO_0000218,,,In vivo,1,,2048.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Lung,11977,,
Biodistribution of radioligand [125I]FIDA1 in muscle of rat after 120 minutes after an intravenous injection is given (average of 2 rats),8840,,CHEMBL627079,50597,BAO_0000218,,,In vivo,1,,2385.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Muscle tissue,11977,,
Half life (t1/2) determined at a dose 10 mg/kg administered intraperitoneally to mice,8841,,CHEMBL873824,50594,BAO_0000218,,,In vivo,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,4573,,
Half life in mouse plasma was determined at dose 25 mg/kg,8842,,CHEMBL627080,50594,BAO_0000218,,,In vivo,1,,1969.0,Mus musculus,,10090.0,1,Intermediate,N,A,Plasma,3132,,
Half life was determined,8843,,CHEMBL627081,50594,BAO_0000218,,,,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,17718,,
Half life in BALB/C mice at the dose of 20 mg/kg by i.v. administration,8844,,CHEMBL627082,50594,BAO_0000218,,,In vivo,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,17728,,
Half-life in male mice after 1 mg/kg intravenous dose,8845,,CHEMBL627083,50594,BAO_0000218,,,In vivo,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,5961,,
Half life in mice plasma,8847,,CHEMBL627085,50594,BAO_0000218,,,,1,,1969.0,Mus musculus,,10090.0,1,Intermediate,N,A,Plasma,17731,,
Half life in mouse,8848,,CHEMBL627086,50594,BAO_0000218,,,,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,17592,,
Half life in mouse plasma at dose 25 mg/kg,8849,,CHEMBL627087,50594,BAO_0000218,,,In vivo,1,,1969.0,Mus musculus,,10090.0,1,Intermediate,N,A,Plasma,3132,,
