Fiscal year,Youth issues (marker),Organisation name,PBA type,Gender equality (marker),Children issues (marker),FSTC percent,CountryRegion name,Knowledge for development (marker),Fund centre name,Branch name,Sector percent,Project Browser country ID,Enviromental sustainability (marker),ICT as a tool for development (marker),Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,MG,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,MU,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.2,MU,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.6,MU,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,MU,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,SC,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.2,SC,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.6,SC,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,SC,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,SO,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.2,SO,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.6,SO,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,SO,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,RW,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.2,RW,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.6,RW,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,RW,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,TZ,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.2,TZ,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.6,TZ,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,TZ,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,ET,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.2,ET,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.6,ET,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,ET,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,KE,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.2,KE,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.6,KE,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,KE,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,UG,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.2,UG,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.6,UG,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,International Livestock Research Institute,Not PBA,2,0,1.0,Eastern Africa,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,UG,1,0,A032229002,Closed,24100562.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,24100562.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.4,VN,0,0,A032230PRE,Closed,209366.81,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.3,VN,0,0,A032230PRE,Closed,209366.81,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.3,VN,0,0,A032230PRE,Closed,209366.81,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,AfDB - African Development Bank Group,Not PBA,0,0,0.0,Africa MC,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.4,X1,1,0,A032232003,Closed,20000000.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,20000000.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0
2009/2010,0,AfDB - African Development Bank Group,Not PBA,0,0,0.0,Africa MC,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.2,X1,1,0,A032232003,Closed,20000000.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,20000000.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0
2009/2010,0,AfDB - African Development Bank Group,Not PBA,0,0,0.0,Africa MC,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,X1,1,0,A032232003,Closed,20000000.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,20000000.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0
2009/2010,0,AfDB - African Development Bank Group,Not PBA,0,0,0.0,Africa MC,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.1,X1,1,0,A032232003,Closed,20000000.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,20000000.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0
2009/2010,0,AfDB - African Development Bank Group,Not PBA,0,0,0.0,Africa MC,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.2,X1,1,0,A032232003,Closed,20000000.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,20000000.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0
2009/2010,0,AfDB - African Development Bank Group,Not PBA,1,0,1.0,Africa MC,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.6,X1,1,0,A032232004,Closed,5000000.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,5000000.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,AfDB - African Development Bank Group,Not PBA,1,0,1.0,Africa MC,0,Canada Fund for Africa Secretariat,WGM Sub-Saharan Africa,0.4,X1,1,0,A032232004,Closed,5000000.0,B4200,D4270,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",1,4315,5000000.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Saskatchewan Polytechnic,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.4,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,PPC of Tra Vinh Provincial People's Committee of,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.4,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,PriceWaterhouseCoopers (Vietnam) Limited,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.4,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Saskatchewan Polytechnic,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.2,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,PPC of Tra Vinh Provincial People's Committee of,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.2,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,PriceWaterhouseCoopers (Vietnam) Limited,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.2,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Saskatchewan Polytechnic,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.15,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,PPC of Tra Vinh Provincial People's Committee of,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.15,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,PriceWaterhouseCoopers (Vietnam) Limited,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.15,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Saskatchewan Polytechnic,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.1,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,PPC of Tra Vinh Provincial People's Committee of,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.1,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,PriceWaterhouseCoopers (Vietnam) Limited,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.1,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Saskatchewan Polytechnic,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.15,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,PPC of Tra Vinh Provincial People's Committee of,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.15,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,PriceWaterhouseCoopers (Vietnam) Limited,Not PBA,1,0,1.0,Viet Nam,0,Vietnam,OGM Asia Pacific,0.15,VN,0,0,A032239002,Closed,9274707.55,B4100,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,4112,9274707.55,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.3,ML,0,0,A032242001,Operational,14050000.0,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14050000.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Agriteam Canada,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.3,ML,0,0,A032242001,Operational,14050000.0,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14050000.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Groupement SNC Lavalin Geomar / FAAFNB - F�d�ration,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.3,ML,0,0,A032242001,Operational,14050000.0,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14050000.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.4,ML,0,0,A032242001,Operational,14050000.0,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14050000.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Agriteam Canada,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.4,ML,0,0,A032242001,Operational,14050000.0,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14050000.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Groupement SNC Lavalin Geomar / FAAFNB - F�d�ration,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.4,ML,0,0,A032242001,Operational,14050000.0,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14050000.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.3,ML,0,0,A032242001,Operational,14050000.0,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14050000.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Agriteam Canada,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.3,ML,0,0,A032242001,Operational,14050000.0,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14050000.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Groupement SNC Lavalin Geomar / FAAFNB - F�d�ration,Not PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,0.3,ML,0,0,A032242001,Operational,14050000.0,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,14050000.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,2,Aga Khan Foundation Canada,Not PBA,2,2,1.0,Mozambique,0,Mozambique,WGM Sub-Saharan Africa,0.2,MZ,0,0,A032243001,Closed,9069614.38,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,9069614.38,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,2,Information not available,Not PBA,2,2,1.0,Mozambique,0,Mozambique,WGM Sub-Saharan Africa,0.2,MZ,0,0,A032243001,Closed,9069614.38,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,9069614.38,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,2,Aga Khan Foundation Canada,Not PBA,2,2,1.0,Mozambique,0,Mozambique,WGM Sub-Saharan Africa,0.2,MZ,0,0,A032243001,Closed,9069614.38,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,9069614.38,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,2,Information not available,Not PBA,2,2,1.0,Mozambique,0,Mozambique,WGM Sub-Saharan Africa,0.2,MZ,0,0,A032243001,Closed,9069614.38,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,9069614.38,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,2,Aga Khan Foundation Canada,Not PBA,2,2,1.0,Mozambique,0,Mozambique,WGM Sub-Saharan Africa,0.5,MZ,0,0,A032243001,Closed,9069614.38,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,9069614.38,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,2,Information not available,Not PBA,2,2,1.0,Mozambique,0,Mozambique,WGM Sub-Saharan Africa,0.5,MZ,0,0,A032243001,Closed,9069614.38,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,9069614.38,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,2,Aga Khan Foundation Canada,Not PBA,2,2,1.0,Mozambique,0,Mozambique,WGM Sub-Saharan Africa,0.1,MZ,0,0,A032243001,Closed,9069614.38,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,9069614.38,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,2,Information not available,Not PBA,2,2,1.0,Mozambique,0,Mozambique,WGM Sub-Saharan Africa,0.1,MZ,0,0,A032243001,Closed,9069614.38,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,9069614.38,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,0,1.0,Bangladesh,0,Bangladesh,OGM Asia Pacific,0.6,BD,0,0,A032247001,Closed,4387694.85,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,4296653.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,0,1.0,Bangladesh,0,Bangladesh,OGM Asia Pacific,0.6,BD,0,0,A032247001,Closed,4387694.85,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,4296653.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,0,1.0,Bangladesh,0,Bangladesh,OGM Asia Pacific,0.1,BD,0,0,A032247001,Closed,4387694.85,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,4296653.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
