ss_d,ss_rgnsm,src_d,tss_d,dc_d,b_frmt,src_ss_d,dscrptn,ss_sbclllr_frctn,ss_tp,ss_strn,rltnshp_tp,cnfdnc_scr,crtd_b,chmbl_d,cll_d,vrnt_d
10912,Rattus norvegicus,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in Rat at 9 mg/kg after ip administration ( 0-5 hr),,A,,N,1,Intermediate,CHEMBL625544,,
10913,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 0.312 mg/kg after ip administration,,A,,N,1,Intermediate,CHEMBL625545,,
10914,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 0.3 mg/kg after ip administration (0-6 hr),,A,,N,1,Intermediate,CHEMBL625546,,
10915,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 0.625 mg/kg after ip administration,,A,,N,1,Intermediate,CHEMBL625547,,
10916,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 0.6 mg/kg after ip administration ( 0-6 hr),,A,,N,1,Intermediate,CHEMBL625548,,
10917,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 1.8 mg/kg after ip administration ( 0-6 hr),,A,,N,1,Intermediate,CHEMBL625549,,
10918,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 10 mg/kg after ip administration (0-6 hr),,A,,N,1,Intermediate,CHEMBL625550,,
10919,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 10 mg/kg after ip administration ( 0-6 hr),,A,,N,1,Intermediate,CHEMBL625551,,
10920,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 16.2 mg/kg after ip administration ( 0-6 hr),,A,,N,1,Intermediate,CHEMBL875475,,
10921,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 1 mg/kg after ip administration ( 0-6 hr),,A,,N,1,Intermediate,CHEMBL625552,,
10922,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 1 mg/kg after ip administration (0-6 hr),,A,,N,1,Intermediate,CHEMBL625553,,
10923,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 1 mg/kg after ip administration ( 0 - 6 hr),,A,,N,1,Intermediate,CHEMBL625554,,
10924,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 1 mg/kg after ip administration ( 0-6 hr ),,A,,N,1,Intermediate,CHEMBL625555,,
10925,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 20 mg/kg after ip administration ( 0-6 hr),,A,,N,1,Intermediate,CHEMBL625556,,
10926,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 2 mg/kg after ip administration,,A,,N,1,Intermediate,CHEMBL624986,,
10927,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 2 mg/kg after ip administration (0-6 hr),,A,,N,1,Intermediate,CHEMBL624987,,
10928,Canis lupus familiaris,1,,6996,BAO_0000218,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 2 mg/kg after ip administration ( 0 - 6 hr),,A,,N,1,Intermediate,CHEMBL624988,,
10929,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 1/3 range; -2/-14,,A,,N,1,Intermediate,CHEMBL624989,,
10930,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 1/3 range; -4/-4,,A,,N,1,Intermediate,CHEMBL624990,,
10931,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 1/3 range; 4/7,,A,,N,1,Intermediate,CHEMBL874391,,
10932,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 1/3/10 range; -3/0/4,,A,,N,1,Intermediate,CHEMBL624991,,
10933,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; -6/0,,A,,N,1,Intermediate,CHEMBL624992,,
10934,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; 10/31,,A,,N,1,Intermediate,CHEMBL624993,,
10935,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; 11/-19,,A,,N,1,Intermediate,CHEMBL624994,,
10936,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; 14/6,,A,,N,1,Intermediate,CHEMBL624995,,
10937,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; 19/25,,A,,N,1,Intermediate,CHEMBL624996,,
10938,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; 19/3,,A,,N,1,Intermediate,CHEMBL624997,,
10939,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; 2/16,,A,,N,1,Intermediate,CHEMBL624998,,
10940,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; 6/2,,A,,N,1,Intermediate,CHEMBL624999,,
10941,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; 7/26,,A,,N,1,Intermediate,CHEMBL882955,,
10942,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; 8/49,,A,,N,1,Intermediate,CHEMBL625000,,
10943,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; 8/8,,A,,N,1,Intermediate,CHEMBL625001,,
10944,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/30 range; 9/-18,,A,,N,1,Intermediate,CHEMBL625089,,
10945,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 10/60 range; 13/23,,A,,N,1,Intermediate,CHEMBL625090,,
10946,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 3 range,,A,,N,1,Intermediate,CHEMBL625091,,
10947,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a dose of 3/10 range; -7/-11,,A,,N,1,Intermediate,CHEMBL625092,,
10948,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a of 1/3 dose range; 6/-7,,A,,N,1,Intermediate,CHEMBL625093,,
10949,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a of 10/30 dose range; -13/19,,A,,N,1,Intermediate,CHEMBL625094,,
10950,Canis lupus familiaris,1,1637.0,9025,BAO_0000218,,Compound was evaluated for intraduodenal bioavailability in anesthetized dogs measured as mean blood pressure at a of 3/10 dose range; 30/47,,A,,N,1,Intermediate,CHEMBL625095,,
10951,Canis lupus familiaris,1,,2249,BAO_0000218,,Compound was evaluated for its bioavailability in the dogs,,A,,N,1,Intermediate,CHEMBL625096,,
10952,Rattus norvegicus,1,,2249,BAO_0000218,,Compound was evaluated for its bioavailability in the rats,,A,,N,1,Intermediate,CHEMBL625097,,
10953,,1,,17515,BAO_0000218,,Compound was evaluated for oral bioavailability,,A,,U,0,Autocuration,CHEMBL882956,,
10954,Rattus norvegicus,1,,14541,BAO_0000218,,Compound was evaluated for percentage of Oral bioavailability in rats,,A,,N,1,Intermediate,CHEMBL625098,,
10955,Cavia porcellus,1,,12797,BAO_0000218,,Bioavailability in guinea pig,,A,,U,0,Autocuration,CHEMBL625099,,
10956,Rattus norvegicus,1,,12797,BAO_0000218,,Compound was evaluated for the oral bioavailability in rat,,A,,N,1,Intermediate,CHEMBL625100,,
10957,Canis lupus familiaris,1,,12797,BAO_0000218,,Compound was evaluated for the oral bioavailability in dog,,A,,N,1,Intermediate,CHEMBL625101,,
10958,Rattus norvegicus,1,,12797,BAO_0000218,,Compound was evaluated for the oral bioavailability in rat,,A,,N,1,Intermediate,CHEMBL874396,,
10959,Canis lupus familiaris,1,,11727,BAO_0000218,,Bioavailability in dog (dosed i.v.),,F,,U,0,Autocuration,CHEMBL625102,,
10960,Canis lupus familiaris,1,,13249,BAO_0000218,,Compound was tested for in vivo bioavailability in dog,,A,,N,1,Intermediate,CHEMBL625103,,
10961,Cricetinae,1,,13249,BAO_0000218,,Compound was tested for in vivo bioavailability in hamsters,,A,,N,1,Intermediate,CHEMBL625104,,
10962,Simiiformes,1,,13249,BAO_0000218,,Compound was tested for in vivo bioavailability in monkey,,A,,U,0,Autocuration,CHEMBL625105,,
10963,Rattus norvegicus,1,,13249,BAO_0000218,,Compound was tested for in vivo bioavailability in rat,,A,,N,1,Intermediate,CHEMBL625106,,
10964,Mus musculus,1,,9552,BAO_0000218,,Oral bioavailability in mouse,,A,,U,0,Autocuration,CHEMBL625107,,
10965,Mus musculus,1,,9552,BAO_0000218,,Compound was tested for percent of oral bioavailability in mice; 56-74,,A,,N,1,Intermediate,CHEMBL625108,,
10966,Mus musculus,1,,14839,BAO_0000218,,Oral bioavailability in mouse (nude) (dose of 25 mg/kg),,A,,U,0,Autocuration,CHEMBL625109,,
10967,Macaca fascicularis,1,,14839,BAO_0000218,,Bioavailability in cynomolgus monkey (dose 25 mg/kg i.v.),,A,,U,0,Autocuration,CHEMBL625110,,
10968,Macaca fascicularis,1,,14839,BAO_0000218,,Bioavailability in cynomolgus monkey (dose 5 mg/kg i.v.),,A,,U,0,Autocuration,CHEMBL625111,,
10969,Mus musculus,1,,14839,BAO_0000218,,Oral bioavailability in mouse (nude) (dose 25 mg/kg i.v.),,A,,N,1,Intermediate,CHEMBL625112,,
10970,Mus musculus,1,,14839,BAO_0000218,,Oral bioavailability in nude mice,,A,,N,1,Intermediate,CHEMBL875334,,
10971,Primates,1,,11219,BAO_0000218,,Bioavailability in monkey (i.d. dosing),,A,,U,0,Autocuration,CHEMBL628617,,
10972,Rattus norvegicus,1,,9552,BAO_0000218,,Bioavailability in rat,,A,,U,0,Autocuration,CHEMBL628618,,
10973,,1,,11732,BAO_0000218,,Measure of AUCpo/AUCiv x 100% of the parent compound before (free) and after (total) beta-glucuronidase treatment; total 10%,,A,,U,0,Autocuration,CHEMBL628619,,
10974,,1,,11732,BAO_0000218,,Measure of AUCpo/AUCiv x 100% of the parent compound before (free) and after (total) beta-glucuronidase treatment; total 20%,,A,,U,0,Autocuration,CHEMBL628620,,
10975,Macaca fascicularis,1,,14839,BAO_0000218,,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 10 mg/kg, as HCl salt in saline solution, perorally and the maximum drug concentration was determined",,A,,N,1,Intermediate,CHEMBL628621,,
10976,Macaca fascicularis,1,,14839,BAO_0000218,,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 25 mg/kg, as HCl salt in saline solution, perorally and the maximum drug concentration was determined",,A,,N,1,Intermediate,CHEMBL628622,,
10977,Macaca fascicularis,1,,14839,BAO_0000218,,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 5 mg/kg, as HCl salt in saline solution, perorally and the maximum drug concentration was determined",,A,,N,1,Intermediate,CHEMBL628623,,
10978,Macaca fascicularis,1,1969.0,14839,BAO_0000218,,Maximal plasma concentration in cynomolgus monkeys after 10 mg/kg oral dose,,A,,N,1,Intermediate,CHEMBL628624,,
10979,Mus musculus,1,1969.0,14839,BAO_0000218,,Maximal plasma concentration in nude mice after 25 mg/kg oral dose,,A,,N,1,Intermediate,CHEMBL628625,,
10980,Macaca fascicularis,1,1969.0,14839,BAO_0000218,,Maximal plasma concentration in cynomolgus monkeys after 5 mg/kg oral dose,,A,,N,1,Intermediate,CHEMBL628626,,
10981,Mus musculus,1,1969.0,14839,BAO_0000218,,Maximal plasma concentration in nude mice after 25 mg/kg oral dose,,A,,N,1,Intermediate,CHEMBL627041,,
10982,Mus musculus,1,1969.0,14839,BAO_0000218,,Maximal plasma concentration in nude mice after 25 mg/kg oral dose,,A,,N,1,Intermediate,CHEMBL627042,,
10983,Mus musculus,1,1969.0,14839,BAO_0000218,,Maximal plasma concentration in nude mice after 25 mg/kg oral dose,,A,,N,1,Intermediate,CHEMBL627043,,
10984,,1,1969.0,13932,BAO_0000218,,In vivo evaluation of maximum plasma concentration at a dose of 10 mg/kg,,A,,U,0,Autocuration,CHEMBL627044,,
10985,Mus musculus,1,1969.0,11637,BAO_0000218,,Cmax in mouse plasma,,A,,N,1,Intermediate,CHEMBL627045,,
10986,,1,1969.0,11637,BAO_0000218,,Max plasma concentration was measured by 40 mg/kg dose of peroral administration.,,A,,U,0,Autocuration,CHEMBL627046,,
10987,Rattus norvegicus,1,1969.0,13960,BAO_0000218,,Maximal plasma concentration in rat,,A,,N,1,Intermediate,CHEMBL627047,,
10988,Rattus norvegicus,1,1969.0,15905,BAO_0000218,,Maximal plasma level when administered 1 mg/kg perorally (po) in rat,,A,,N,1,Intermediate,CHEMBL627048,,
10989,Rattus norvegicus,1,,14062,BAO_0000218,,Maximum concentration at an intraduodenal dose of 5.2 mg/kg in rat,,A,,N,1,Intermediate,CHEMBL627049,,
10990,Rattus norvegicus,1,,14062,BAO_0000218,,Maximum concentration at an intraduodenal dose of 6.6 mg/kg in rat,,A,,N,1,Intermediate,CHEMBL627050,,
10991,Rattus norvegicus,1,,14062,BAO_0000218,,Maximum concentration at an intravenous dose of 5.5 mg/kg in rat,,A,,N,1,Intermediate,CHEMBL627051,,
10992,Rattus norvegicus,1,,14062,BAO_0000218,,Maximum concentration at an intravenous dose of 6.5 mg/kg in rat,,A,,N,1,Intermediate,CHEMBL627052,,
10993,Rattus norvegicus,1,,14062,BAO_0000218,,Maximum concentration at an peroral dose of 6.2 mg/kg in rat,,A,,N,1,Intermediate,CHEMBL627053,,
10994,Rattus norvegicus,1,,14062,BAO_0000218,,Maximum concentration at an peroral dose of 6.3 mg/kg in rat,,A,,N,1,Intermediate,CHEMBL627054,,
10995,Mus musculus,1,,15011,BAO_0000218,,Maximum concentration (Cmax) using 0.4% Methyl cellulose (MC) as vehicle. compound was administered intravenously to nude mice at a dose of 25 mg/kg,,A,,N,1,Intermediate,CHEMBL627055,,
10996,Mus musculus,1,,15011,BAO_0000218,,Maximum concentration (Cmax) using 0.4% Methyl cellulose (MC) as vehicle. compound was administered orally to nude mice at a dose of 25 mg/kg,,A,,N,1,Intermediate,CHEMBL627056,,
10997,Mus musculus,1,,15011,BAO_0000218,,Maximum concentration (Cmax) using 0.4% Methyl cellulose (MC) as vehicle. compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,A,,N,1,Intermediate,CHEMBL627057,,
10998,Mus musculus,1,,15011,BAO_0000218,,Maximum concentration (Cmax) using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. compound was administered intravenously to nude mice at a dose of 25 mg/kg,,A,,N,1,Intermediate,CHEMBL627058,,
10999,Mus musculus,1,,15011,BAO_0000218,,Maximum concentration (Cmax) using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. compound was administered orally to nude mice at a dose of 25 mg/kg,,A,,N,1,Intermediate,CHEMBL626211,,
11000,,1,,10291,BAO_0000218,,Maximum Concentration of the compound.,,A,,U,0,Autocuration,CHEMBL626212,,
11001,Canis lupus familiaris,1,,14599,BAO_0000218,,Maximum Concentration was measured after iv administration into Beagle dog,,A,,N,1,Intermediate,CHEMBL626213,,
11002,Canis lupus familiaris,1,,14599,BAO_0000218,,Maximum Concentration was measured after iv administration into Beagle dog.,,A,,N,1,Intermediate,CHEMBL626214,,
11003,Canis lupus familiaris,1,,14599,BAO_0000218,,Maximum Concentration was measured after po administration into Beagle dog,,A,,N,1,Intermediate,CHEMBL626215,,
11004,Canis lupus familiaris,1,,14599,BAO_0000218,,Maximum Concentration was measured after po administration into Beagle dog.,,A,,N,1,Intermediate,CHEMBL626216,,
11005,,1,178.0,12767,BAO_0000218,,Maximum blood level reached after an dose of 10.6 uM/kg intravenously,,A,,U,0,Autocuration,CHEMBL626217,,
11006,,1,178.0,12767,BAO_0000218,,Maximum blood level reached after an iv dose of 12.2 uM/kg,,A,,U,0,Autocuration,CHEMBL626218,,
11007,,1,178.0,12767,BAO_0000218,,Maximum blood level reached after an oral dose 14.7 uM/kg oral route,,A,,U,0,Autocuration,CHEMBL626219,,
11008,,1,178.0,12767,BAO_0000218,,Maximum blood level reached after an oral dose of 14.7 uM/kg intravenous route,,A,,U,0,Autocuration,CHEMBL626220,,
11009,,1,178.0,12767,BAO_0000218,,Maximum blood level reached after an oral dose of 5.0 mg/kg,,A,,U,0,Autocuration,CHEMBL626221,,
11010,,1,178.0,12767,BAO_0000218,,Maximum blood level reached at dose of 10.6 uM/kg orally,,A,,U,0,Autocuration,CHEMBL626222,,
11011,Cavia porcellus,1,,14706,BAO_0000218,,Maximum concentration (Cmax) in guinea pigs at 2 mg/kg after oral administration,,A,,N,1,Intermediate,CHEMBL626223,,
11012,Cavia porcellus,1,,14706,BAO_0000218,,Maximum concentration (Cmax) in guinea pigs at 3 mg/kg after oral administration,,A,,N,1,Intermediate,CHEMBL626224,,
11013,Rattus norvegicus,1,955.0,14793,BAO_0000218,,Maximum concentration achieved in rat brain when administered intraperitoneally at a dose of 10 mg/kg,,A,,N,1,Intermediate,CHEMBL626225,,
11014,Rattus norvegicus,1,955.0,14793,BAO_0000218,,Maximum concentration achieved in rat brain when administered intravenously at a dose of 10 mg/kg,,A,,N,1,Intermediate,CHEMBL626226,,
11015,Rattus norvegicus,1,955.0,14793,BAO_0000218,,Maximum concentration achieved in rat brain when administered perorally at a dose of 100 mg/kg,,A,,N,1,Intermediate,CHEMBL626227,,
11016,Rattus norvegicus,1,955.0,14793,BAO_0000218,,Maximum concentration achieved in rat brain when administered perorally at a dose of 10 mg/kg,,A,,N,1,Intermediate,CHEMBL626228,,
11017,Rattus norvegicus,1,,14793,BAO_0000218,,Maximum concentration achieved in rat plasma when administered intraperitoneally at a dose of 10 mg/kg,,A,,N,1,Intermediate,CHEMBL626229,,
11018,Rattus norvegicus,1,,14793,BAO_0000218,,Maximum concentration achieved in rat plasma when administered intravenously at a dose of 10 mg/kg,,A,,N,1,Intermediate,CHEMBL626921,,
11019,Rattus norvegicus,1,,14793,BAO_0000218,,Maximum concentration achieved in rat plasma when administered perorally at a dose of 100 mg/kg,,A,,N,1,Intermediate,CHEMBL876793,,
11020,Rattus norvegicus,1,,14793,BAO_0000218,,Maximum concentration achieved in rat plasma when administered perorally at a dose of 10 mg/kg,,A,,N,1,Intermediate,CHEMBL625309,,
11021,Bacillus subtilis,1,,10524,BAO_0000218,,Maximum concentration determined against Bacillus subtilis ATCC 6633 after oral administration in dog(25 mg/kg),,A,,N,1,Intermediate,CHEMBL625310,,
11022,Simiiformes,1,,11871,BAO_0000218,,Maximum concentration determined in monkeys dosed intravenously with 30 mg/kg,,A,,U,0,Autocuration,CHEMBL625311,,
11023,Rattus norvegicus,1,,11871,BAO_0000218,,Maximum concentration determined in rats dosed intravenously with 20 mg/kg,,A,,N,1,Intermediate,CHEMBL625312,,
11024,,1,,3437,BAO_0000218,,Maximum concentration for the bioavailability at a dose of 20 mg/kg administered orally,,A,,U,0,Autocuration,CHEMBL625313,,
11025,Mus musculus,1,,12038,BAO_0000218,,Maximum concentration in male CD-1 mice after sc administration of 20 mg/kg,,A,,N,1,Intermediate,CHEMBL625314,,
11026,Rattus norvegicus,1,,12038,BAO_0000218,,Maximum concentration in male rats after iv administration of 20 mg/kg,,A,,N,1,Intermediate,CHEMBL625315,,
11027,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 30 min injection by intravenously; value ranges from 1.06-1.29,,A,,N,1,Intermediate,CHEMBL625316,,
11028,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 30 min injection by intravenously; value ranges from 1.77-2.08,,A,,N,1,Intermediate,CHEMBL625317,,
11029,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 30 min injecton by intravenously; 0.54-0.89,,A,,N,1,Intermediate,CHEMBL625318,,
11030,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 30 min injecton by intravenously; 1.57-1.66,,A,,N,1,Intermediate,CHEMBL625319,,
11031,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 5 min injection by intravenously; value ranges from 1.06-2.71,,A,,N,1,Intermediate,CHEMBL625320,,
11032,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 5 min injection by intravenously; value ranges from 2.98-3.22,,A,,N,1,Intermediate,CHEMBL625321,,
11033,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 0.73-1.45,,A,,N,1,Intermediate,CHEMBL625322,,
11034,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 1.03-1.31,,A,,N,1,Intermediate,CHEMBL876801,,
11035,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 6.76-10.44,,A,,N,1,Intermediate,CHEMBL625323,,
11036,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 60 min injection by intravenously; value ranges from 0.47-1.17,,A,,N,1,Intermediate,CHEMBL625324,,
11037,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 60 min injection by intravenously; value ranges from 1.12-1.44,,A,,N,1,Intermediate,CHEMBL625325,,
11038,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 60 min injecton by intravenously; 0.38-0.57,,A,,N,1,Intermediate,CHEMBL625326,,
11039,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 60 min injecton by intravenously; 0.75-1.14,,A,,N,1,Intermediate,CHEMBL625327,,
11040,Rattus norvegicus,1,2107.0,8418,BAO_0000218,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 60 min injecton by intravenously; 1.36-1.74,,A,,N,1,Intermediate,CHEMBL625328,,
11041,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 15 min injection by intravenously; value ranges from 1.05-1.5,,A,,N,1,Intermediate,CHEMBL625329,,
11042,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 15 min injection by intravenously; value ranges from 3.10-3.77,,A,,N,1,Intermediate,CHEMBL625330,,
11043,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 15 min injecton by intravenously; 0.4-0.54,,A,,N,1,Intermediate,CHEMBL627774,,
11044,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 15 min injecton by intravenously; 0.58-0.86,,A,,N,1,Intermediate,CHEMBL627775,,
11045,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 15 min injecton by intravenously; 0.77-0.86,,A,,N,1,Intermediate,CHEMBL627949,,
11046,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 30 min injection by intravenously; value ranges from 0.86-1.13,,A,,N,1,Intermediate,CHEMBL627950,,
11047,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 30 min injection by intravenously; value ranges from 2.26-2.89,,A,,N,1,Intermediate,CHEMBL627951,,
11048,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 30 min injecton by intravenously; 0.54-0.7,,A,,N,1,Intermediate,CHEMBL627952,,
11049,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 30 min injecton by intravenously; 0.6-0.66,,A,,N,1,Intermediate,CHEMBL627953,,
11050,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 5 min injection by intravenously; value ranges from 1.35-1.74,,A,,N,1,Intermediate,CHEMBL627954,,
11051,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 5 min injection by intravenously; value ranges from 3.62-7.08,,A,,N,1,Intermediate,CHEMBL627955,,
11052,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 0.47-0.56,,A,,N,1,Intermediate,CHEMBL627956,,
11053,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 0.54-1.07,,A,,N,1,Intermediate,CHEMBL876802,,
11054,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 0.76-0.91,,A,,N,1,Intermediate,CHEMBL627957,,
11055,Rattus norvegicus,1,2048.0,8418,BAO_0000218,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 60 min injection by intravenously; value ranges from 0.61-0.86,,A,,N,1,Intermediate,CHEMBL627958,,
