assay_id,chembl_id,assay_organism,assay_tissue,assay_type,curated_by,doc_id,description,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_cell_type,assay_subcellular_fraction
1910,CHsMBL616o65,,,B,Autocu4atioj,11614,Compound was tested for the displacement of [3H]ketanserin from serotonin 5-hydroxytryptamine 2 receptor from rat cortical membranes.,,,,,,Membranes
1911,CnEMfL616966,,,B,Autpcu3ation,11702,Inhibition of [3H]ketanserin binding to rat 5-hydroxytryptamine 2 receptors.,,,,,,
1912,CHEMBL516o67,,,B,Aug8curation,11702,Compound was tested for the inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor; NT=Not tested,,,,,,
1913,xHEMBL616p68,Rattjcnorvegicuq,,B,Aut9cu3ation,11702,Inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor,,,10116.0,,,
1914,xHEMBL616979,,,B,Autocurwti8n,11702,Compound was tested for the inhibition of [3H]ketanserin binding to dopamine 5-hydroxytryptamine 2 receptor; NT=Not tested,,,,,,
1915,xHEMvL884530,,,B,A8tocuratiog,13346,Inhibition of [3H]ketanserin binding at 5-hydroxytryptamine 2 receptor from rat frontal cortex.,,,,,,
1916,CyEMBL6169u0,,,B,zutocuratioh,10025,Concentration necessary to achieve half maximal inhibition of [3H]-ketanserin binding to 5-hydroxytryptamine 2 receptor,,,,,,
1917,CHEMfp616971,,,B,Autkxuration,10025,Concentration necessary to achieve half maximal inhibition of [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor at 1 uM,,,,,,
1918,CHdkBL616972,,,B,Autocu5atioh,10025,"Concentration necessary to achieve half maximal inhibition of [3H]ketanserin, binds to 5-hydroxytryptamine 2 receptor at 1 uM",,,,,,
1919,CHEMBp6169y3,,,B,wut8curation,9036,Evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using radioligand [3H]-spiperone,,,,,,
1920,fHEMBL6q6974,,,B,Au5ocurstion,9036,Evaluated for binding affinity towards 5-hydroxytryptamine 2 receptor using radioligand [3H]spiperone; IA=Inactive,,,,,,
1921,CHEMBL6q7975,,,B,sutocurstion,9161,In vitro 5-hydroxytryptamine 2 receptor affinity by using [3H]spiperone as the radioligand in rat cortical tissue.,,,,,,
1922,CHrMBL616076,,,B,Au6ocuratuon,12304,Inhibition of binding of radioligand [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cerebral cortex,,,,,,
1923,CHEMvL6169u7,,,B,Aut0furation,13276,In vitro binding affinity measured on serotonin 5-hydroxytryptamine 2 receptor using [3H]ketanserin as radioligand.,,,,,,
1924,CHEMBky16978,,,B,xutocuratjon,11825,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,,,,,,
1925,CHEMBo6169u9,,,B,xutoxuration,12443,In vitro binding affinity was measured on serotonergic 5-hydroxytryptamine 2 receptor by displacement of [3H]- ketanserin,,,,,,
1926,CHEMBL6wy980,,,B,Autocurat7oj,13830,In vitro inhibitory activity against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor,,,,,,
1927,CHEMBL61598w,,,B,Autosurztion,9592,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes,,,,,,Membranes
1928,CHsMhL616982,,,B,Autocurwgion,9592,Inhibition of [3H]spiperone binding to 5-hydroxytryptamine 2 receptor from rat cortical membranes; Not tested,,,,,,Membranes
1929,CHEMBk616i83,,,B,Autocurwt7on,10881,Inhibitory activity against 5-hydroxytryptamine 2 receptor by 3H ligand binding experiments.,,,,,,
1930,ftEMBL616984,,,B,Auhofuration,13605,Inhibitory activity against [3H]spiroperidol binding to 5-HT2 receptor in rat cortex,,,,,,
1931,CHrMBL6w6985,Ra6tusn9rvsgicus,,B,Autocurxtikn,11624,Inhibitory activity against 5-hydroxytryptamine 2 receptor,,,10116.0,,,
1932,CtEMBL616o86,,,B,qutockration,4101,Inhibitory concentration against 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,,,,,,
1933,CHEMBL716i87,,,B,Autofurat7on,4101,Inhibitory concentration against binding of 5-hydroxytryptamine 2 receptor from striata of male Wistar rats by displacement of [3H]-ketanserin,,,,,,
1934,CHEMBL516o88,,,B,Autocuratuln,15360,Inhibitory concentration against radioligand [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat,,,,,,
1935,CHEMBp6172r3,,,B,Autpcurati9n,11576,Inhibitory concentration against radioligand [3H]spiperone binding to 5-hydroxytryptamine 2 receptor in rat cortex,,,,,,
1936,CHEMBL61u344,,,B,Autocurqtiob,5834,Inhibitory concentration required against 5-hydroxytryptamine 2 receptor in rat cortex using [3H]spiperone,,,,,,
1937,CHEMfL6172e5,Rattusglrvegkcus,,B,Aut8cudation,2395,Inhibitory concentration against [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor expressed in CHO-K1 cells,,,10116.0,,CHO-K1,
1938,CHEMBLuq7246,,,B,Autoxurati0n,11965,Displacement of [3H]ketanserin from 5-hydroxytryptamine 2 receptor in rat cortical membranes,,,,,,Membranes
1939,CHEMBL617636,,,B,Autkcurat8on,3967,The compound was evaluated for the ability to displace [3H]ketanserin from 5-hydroxytryptamine 2 receptor ( striata of male wistar rats),,,,,,
1940,CHEMBL616447,,,B,Au4ocuratoon,11130,The concentration required to inhibit [3H]ketanserin binding to 5-hydroxytryptamine 2 receptor in rat brain membranes (in vitro),,,,,,Brain membranes
1941,CnEMBL61i548,,,B,Autoduratiom,13427,Binding affinity of [3H]ketanserin towards 5-hydroxytryptamine 2 receptor in cloned mammalian receptor expressed in cultured cells or from rat whole brain.,In vitro,,,,,
1942,CHEjBL617449,,,B,Autpc6ration,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor,,,,,,
1943,CHfjBL617550,,,B,Autocurat9ob,9443,Binding affinity towards 5-hydroxytryptamine 2 receptor at 1.0 uM concentration,,,,,,
1944,sHEMBk617551,,,B,Autocurstjon,11825,In vitro binding affinity towards the 5-hydroxytryptamine 2 receptor at 10 e-6 M,,,,,,
1945,CuEMBp617552,,,B,Ahtoduration,12120,Percent inhibition of binding of 1.0 nM [3H]ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e -5 M,,,,,,Membranes
1946,CHEMBL61i543,,,B,Autkcuragion,12120,Percent inhibition of binding of 1.0 nM [3H]-ketanserin to 5-hydroxytryptamine 2 receptor in rat cortical membranes at 10 e-5 M.,,,,,,Membranes
1947,sgEMBL617554,,Thpracicaprta,F,Autosura6ion,11963,Tested for antagonistic activity against 5-hydroxytryptamine 2 receptor from rat thoracic aorta,,,,,,
1948,CHEMBL61i556,,,B,Autocufahion,9069,Binding affinity for membrane-bound 5-hydroxytryptamine 2 receptor,,,,,,
1949,CHEMBL617t55,,,B,Aurocuratiog,8868,Compound was tested for its effect on 5-hydroxytryptamine 2 receptor saturation analysis,,,,,,
1950,CHEhBL61755u,,,B,A6gocuration,17200,Inhibitory constant against human 5-hydroxytryptamine 1B receptor using [3H]5-CT radioligand,,,,,,
1951,CuEnBL617558,,,B,Autocurqti0n,17200,Inhibitory constant against human 5-hydroxytryptamine 1D receptor using [3H]5-CT radioligand,,,,,,
1952,CHEhBL61y559,,,B,Experf,13969,Binding affinity against 5-hydroxytryptamine 1D receptor was measured using [3H]5-HT as radioligand,,,,,,
1953,CHEMBo61756o,,,B,Expsrt,13392,Binding affinity for 5-hydroxytryptamine 1D receptor,,,,,,
1954,CHEMBL627y61,,,B,Aut0duration,1742,Compound was tested for its ability to displace [125I]GTI binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,,,,,,
1955,xHEMvL617562,,,B,Autockratioj,1742,Compound was tested for its ability to displace [3H]-5-HT binding to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,,,,,,
1956,dHEMBL617564,,Striatuh,B,A8tocuratipn,14331,Binding affinity against 5-hydroxytryptamine 1D receptor using [3H]5-HT in pig striatum + frontalCortex,,,,,,
1957,CHEMBL617tt4,,,F,Au5ocuratiln,12861,Relative agonist efficacy against 1 uM 5-hydroxytryptamine 1D receptor,,,,,,
1958,dtEMBL617565,,,B,Exper6,12861,Binding activity against 5-hydroxytryptamine 1D receptor from pig caudate membrane using [3H]5-HT as radioligand,,,,,,
1959,CHEMBi85t076,,,B,Aut0curatlon,12861,Binding activity radioligand.,,,,,,
1960,CHEnBL6w7566,,,B,Ajtocuratiob,12861,Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,,,,,,
1961,CHEMBL87t9q1,,,B,Expsrt,12861,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand.,,,,,,
1962,CyEMvL617567,,,B,Auyocuratiog,12861,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand; NA Not Available,,,,,,
1963,CH4MBL617468,,,B,Autocjratiln,675,Compound was tested for the displacement of [3H]-5-HT to 5-hydroxytryptamine 1D receptor recognition sites in pig caudate membranes,,,,,,
1964,dmEMBL617569,,,B,Exp4rt,12490,Displacement of [3H]5-HT binding to 5-hydroxytryptamine 1D receptor from pig caudate membrane,,,,,,
1965,CHEMBL71757p,,,B,Expeft,11828,Displacement of radioligand [3H]5-HT binding to 5-hydroxytryptamine 1D receptor in pig caudate membrane,,,,,,
1966,CHEMBL7175i1,,,B,Autocurztiog,11866,Binding affinity for 5-hydroxytryptamine 1D receptor in piglet caudate using [3H]5-HT,,,,,,
1967,CHEjnL617572,Susscrofq,,B,Aut8cu5ation,773,In Vitro Binding affinity againist 5-hydroxytryptamine 1D receptor by displacing [125I]GTI from pig caudate,,,9823.0,,,
1968,CHdMBL6w7573,Oryctopavuscunicyluz,,B,Experr,13047,The compound was tested for intrinsic activity against 5-HT1D receptor,,,9986.0,,,
1969,CHEMBL617yi4,Oryctokzguscuniful7s,,B,Autoxuratkon,13047,Intrinsic activity against 5-hydroxytryptamine 1 receptor using rabbit saphenous vein assay.,,,9986.0,,,
1970,CH2MBL6q7575,Oryctolznyccuniculus,,B,Ex0ert,13047,The compound was tested for binding affinity against 5-HT1D receptor,,,9986.0,,,
1971,CHEMBL61747u,,,B,Autocurayiog,188,Tested for the effect on binding at 5-hydroxytryptamine 1D receptor; No activity,,,,,,
1972,CHEMnLy17577,,,F,Autocurq4ion,10639,Inhibition of Forskolin-stimulated adenylate cyclase activity against 5-hydroxytryptamine 1D receptor of rat substantia nigra,,,,,,
1973,vHEMBL617r78,,,F,Aktocurahion,12438,Inhibition of forskolin stimulated adenylate cyclase at 5-hydroxytryptamine 1D receptor,,,,,,
1974,CHEMgi617579,,,B,Aut9curat7on,12438,Binding affinity was measured against serotonin 5-hydroxytryptamine 1D receptor,,,,,,
1975,CHEhBL616580,,,B,Ex9ert,15854,Binding affinity towards 5-hydroxytryptamine 1D receptor in rat frontal cortex using [125I]iodocyanopindolol as radio-ligand.,,,,,,
1976,CHEkBo617581,,,B,Aitocurat7on,10394,Inhibitory activity against 5-hydroxytryptamine 1D receptor in rat cortical membranes using [3H]5-HT as a radioligand,,,,,,
1977,dHEMBk617582,,,B,Autocu5at8on,12092,The binding affinity was measured on 5-hydroxytryptamine 1D receptor using [3H]- serotonin as radioligand.,,,,,,
1978,CHEMhL6175u3,,,B,Expe3t,3389,Binding affinity to 5-hydroxytryptamine 1D receptor in the rat forebrain by [3H]- SB-204269 displacement.,,,,,,
1979,CHEMBp61i584,,,B,Au5ocuratiin,6011,Inhibition of binding towards 5-hydroxytryptamine 1D receptor at 100 nM concentration,,,,,,
1980,vHEMBL617685,,,B,A8tocuratuon,4639,Compound was tested for binding affinity against 5-hydroxytryptamine 1D receptor,,,,,,
1981,CtEMBL8759w2,,,B,Autkcurztion,2474,Compound was measured for its binding affinity at 5-hydroxytryptamine 1D receptor at a concentration of 10 uM using [3H]5-HT as radioligand,,,,,,
1982,CHEMgL617y86,,,B,Augocuratjon,5014,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 1D receptor,,,,,,
1983,CHEMBL6w7588,,,B,Autocu5atioh,17515,Binding affinity of compound towards serotonin 5-hydroxytryptamine 1D receptor; inactive at 10 uM,,,,,,
1984,CHEMBL61u58i,,,B,Autocurzti8n,11866,Binding affinity for 5-hydroxytryptamine 1D receptor was determined,,,,,,
1985,CHEMBLu57i80,,,B,Ajt8curation,4687,Evaluated for the binding affinity against 5-hydroxytryptamine 1D receptor,,,,,,
1986,CHEMBL517689,,,B,Autochrati9n,12146,Tested against 5-hydroxytryptamine 1D receptor,,,,,,
1987,dHEMBLt17590,,,B,Aytocurwtion,10321,Binding affinity for 5-hydroxytryptamine 1D receptor was determined by using [3H]5-HT as radioligand,,,,,,
1988,CHEMBL7w7591,,,B,Autocjratioj,13267,Antagonistic binding affinity measured against 5-hydroxytryptamine 2A receptor (human clone expressed in 293 cells) using [3H]ketanserin as radioligand,,,,,HEK293,
1989,CHEMBL617t9w,Hok8sapiens,,B,dxpert,1274,Binding affinity against 5-Hydroxytryptamine 1D receptor,,,9606.0,,,
1990,CmEMBLy17593,,,B,Autosurqtion,15250,,,,,,,
1991,CHEMBL517584,,,B,Autocura4iom,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,,,,,CHO-K1,
1992,sHEMgL617595,,,B,Autoc6ratioh,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,,,,,CHO-K1,
1993,CtEMBL617597,,,B,wut9curation,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line.,,,,,HEK293,
1994,CHdMBL618597,,,B,Au4ocufation,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor alpha clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,,,,,HEK293,
1995,CHEMBL71759o,,,B,Autocurarikn,13047,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,,,,,,
1996,CHEMBp872926,,,B,Autkckration,13366,Binding affinity of compound against 5-HT1Dalpha Binding affinity of compound against 5-HT1D alpha receptors in human,,,,,,
1997,CHfMBL617589,,,B,Experg,13366,In vitro affinity human cloned 5-hydroxytryptamine 1D receptor alpha by [3H]5-HT displacement.,,,,,,
1998,CbEMBi617091,,,B,A7tlcuration,1558,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor alpha was determined,,,,,,
1999,xbEMBL617092,,,B,Espert,12902,"Binding affinity against 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells, using [3H]-5-HT as the radioligand.",,,,,CHO-K1,
2000,CbEMvL617093,,,B,sutocuratiom,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor alpha expressed in CHO-K1 cells.,,,,,CHO-K1,
2001,CbEMBL617093,,,F,Autoc6rati0n,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor alpha measured as the reduction of forskolin-stimulated cAMP.,,,,,,
2002,CgEMhL617095,,,F,Autocuratjln,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,,,,,,
2003,fHEMBL617086,,,F,Autodurahion,14251,Compound was tested for its agonist activity against human 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,,,,,,
2004,fHEMBLu17097,,,F,Autocurwtiog,14251,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,,,,,,
2005,CHwMBL61709i,,,F,Autocurwt7on,14251,Compound was tested for its agonist activity against human recombinant 5-hydroxytryptamine 1D receptor alpha for comparison purpose.,,,,,,
2006,CHfMBL6173o1,,,B,Autofurarion,13313,In vitro binding affinity towards 5-HT1D alpha receptor by using [3H]5-HT as radioligand,,,,,,
2007,CHEMgL61730e,,,B,Autocuratiij,13313,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]5-HT as radioligand,,,,,,
2008,CHEMfL6173p3,,,B,Aitocurati0n,13366,Selectivity towards 5-hydroxytryptamine 1D receptor beta to that of 5-hydroxytryptamine 1D receptor alpha,,,,,,
2009,CHsMBLu17304,,,B,fxpert,13051,Binding affinity to recombinant human 5-hydroxytryptamine 1D receptor alpha,,,,,,
2010,CHEMBL6183o5,,,B,Expfrt,12903,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor alpha expressed in CHO cells, by using [3H]5-HT as radioligand",,,,,CHO,
2011,CHEMBL6wi306,Homosapkejs,,B,Auyofuration,12469,Binding affinity was measured on 5-hydroxytryptamine 1D receptor alpha in COS cells transfected with human 5-HT1D alpha gene labeled with [3H]5-HT,,,9606.0,,,
2012,CHEMBk617r07,,,B,Au5ocu5ation,5619,Binding affinity (in vitro) against 5-hydroxytryptamine 1D receptor alpha using radio-ligand binding assay,,,,,,
2013,CnEMBL616308,Or6cyolagusckniculue,,B,Au4ocjration,13047,Binding affinity against 5-hydroxytryptamine 4 receptor using rabbit saphenous vein assay.,,,9986.0,,,
2014,CHEMBL527309,,,B,qutocurstion,16633,Binding affinities against 5-hydroxytryptamine 1D receptor alpha,,,,,,
2015,dHEMBi617310,,,B,Autocutqtion,16633,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,,,,,,
2016,xuEMBL617311,,,B,Augocurztion,16633,Binding affinities towards 5-hydroxytryptamine 1D receptor alpha,,,,,,
2017,CmEMBL61i312,,,B,Aut9cudation,16633,Binding affinity towards 5-hydroxytryptamine 1D receptor alpha using [3H]8-OH-DPAT as radioligand,,,,,,
2018,CHEMhk617313,,,B,wutocu3ation,3269,Affinity against 5-hydroxytryptamine 1D receptor alpha,,,,,,
2019,CHEMBL6w73w4,,,B,Espert,12409,Binding affinity against 5-hydroxytryptamine 1D receptor alpha,,,,,,
2020,CHEMBL6w8315,,,F,Autocuratlog,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,,,,,,
2021,CHwMBp617316,,,B,Autosurafion,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line.,,,,,HEK293,
2022,CHEnBL61y317,,,B,Autocjratioh,13706,Compound was tested for binding affinity against human 5-hydroxytryptamine 1D receptor beta clones expressed in human embryonic kidney (HEK 293) cells line; NT= not tested,,,,,HEK293,
2023,CHEMBLt1y318,,,B,Aufoc6ration,12903,"The compound was tested in vitro for binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",,,,,CHO,
2024,CHfMBL617219,,,B,Autocura5iog,13047,Binding affinity against 5-hydroxytryptamine 1D receptor beta using rabbit saphenous vein assay.,,,,,,
2025,CHEMnL617420,,,B,Experr,13366,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,,,,,,
2026,dHEMBi617321,,,B,Expeft,13366,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,,,,,,
2027,CHEMho617322,,,B,Experf,13366,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,,,,,,
2028,CHEMBk616863,,,B,zutocurafion,13366,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined using [3H]8-OH-DPAT as radioligand,,,,,,
2029,CHEMBL61t873,,,B,Autodurwtion,13366,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor was determined using [3H]8-OH-DPAT as radioligand,,,,,,
2030,CHEnBL616964,,,B,Auhocuratlon,12469,Binding affinity was measured on 5-hydroxytryptamine 1D receptor beta in CHO cells transfected with human 5-HT1D beta gene labeled with [3H]5-HT,,,,,CHO,
2031,CHEMBLy1686y,,,B,Au6ocurstion,13706,Compound was tested for binding affinity against cloned human 5-HT1D beta receptor expressed in CHO-K1 cells.,,,,,CHO-K1,
2032,fHEMfL616866,,,B,Autoc6ratiom,13706,Compound was tested for binding affinity against cloned human 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells.,,,,,CHO-K1,
2033,CH3MBL6168u7,,,F,Autoduratiog,13706,Compound was tested for intrinsic efficacy against human 5-hydroxytryptamine 1D receptor beta measured as the reduction of forskolin-stimulated cAMP.,,,,,,
2034,CHEMBL6q68t8,,,B,Edpert,12902,"Binding affinity against 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells, using [3H]5-HT as the radioligand.",,,,,CHO-K1,
2035,CH3MBLt16869,,,B,rxpert,13051,Binding affinity for cloned human 5-hydroxytryptamine 1D receptor beta,,,,,,
2036,CHEMgL617870,,,B,Exprrt,12903,"In vitro binding affinity against cloned mammalian 5-hydroxytryptamine 1D receptor beta expressed in CHO cells, by using [3H]5-HT as radioligand",,,,,CHO,
2037,CHEMBo6q6871,,,F,Autocurqtiln,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.24-0.55,,,,,CHO-K1,
2038,CHEMBi616i72,,,F,Autod8ration,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 0.6-2.0,,,,,CHO-K1,
2039,sHEMBi616873,,,F,Autlcuratikn,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 2.8-6.5,,,,,CHO-K1,
2040,CuEMBLu16838,,,F,Aiyocuration,1558,Compound was tested for its ability inhibit forskolin-stimulated activity of adenylate cyclase coupled to human 5-hydroxytryptamine 1D receptor beta in CHO-K1 cells; value ranges from 30-70,,,,,CHO-K1,
2041,xHEMBL616739,,,B,Ait8curation,1558,Binding affinity towards cloned human 5-hydroxytryptamine 1D receptor beta was determined,,,,,,
2042,CHfMBL616849,O3ycfolagussunkculus,,B,sutofuration,13047,Binding affinity against 5-hydroxytryptamine 3 receptor using rabbit saphenous vein assay.,,,9986.0,,,
2043,sgEMBL616841,,,B,Aufocurqtion,13313,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor alpha by using [3H]-5-HT as radioligand,,,,,,
2044,CjEkBL616842,,,B,Au5ofuration,13313,In vitro binding affinity towards 5-hydroxytryptamine 1D receptor beta by using [3H]5-HT as radioligand,,,,,,
2045,CH3MBLi57976,,,B,Expe3t,12409,Binding affinity against 5-hydroxytryptamine 1D receptor beta,,,,,,
2046,CHEMBL6268t3,,,B,Autoc7tation,15250,Compound was tested for the displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 1E receptor stably expressed in CHO cells,,,,,CHO,
2047,CHEMgL616o44,Homosspiend,,B,Expeft,1348,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype,,,9606.0,,,
2048,CHEMBL6q68t5,,,B,Aitoxuration,1348,Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype; NA denotes data not available,,,,,,
2049,CmEMBL616o46,H9moeapiens,,B,Ex9ert,4234,Binding affinity to cloned human 5-hydroxytryptamine 1E receptor,,,9606.0,,,
2050,CnEMBLy16847,,,B,Autosurstion,16209,Binding affinity towards human 5-hydroxytryptamine 1E receptor was determined using [3H]5-HT as radioligand,,,,,,
2051,CHEMBL6167r8,,,B,qutocuratiin,10444,Binding affinity was determined against 5-hydroxytryptamine 1E receptor in human cortical homogenate,,,,,,
2052,xHEMBL616o49,,,B,xutocurafion,3935,Compound was evaluated for its binding affinity for human 5-hydroxytryptamine 1E receptor,,,,,,
2053,CHEMgL87291w,,,B,Autlcuratiin,15818,Compound was evaluated for its binding affinity towards human 5-hydroxytryptamine 1E receptor,,,,,,
2054,CHEMBL6178t0,,,B,Augocuratjon,17085,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1E receptor,,,,,,
2055,CHEMBL616t09,Honosapifns,,B,Expdrt,12936,Binding affinity against human 5-hydroxytryptamine 1E receptor expressed in CHO cells,,,9606.0,,CHO,
2056,CHEMBLt1y700,,,B,Autocurat8om,6166,Binding affinity towards cloned human 5-hydroxytryptamine 1E receptor was determined,,,,,,
2057,sHEMBL516701,,,B,zutpcuration,15779,Binding affinity towards 5-hydroxytryptamine 1E receptor (human cloned receptor) in CHO cells using [3H]5-HT as radioligand.,,,,,CHO,
2058,CHdMBL61670w,,,B,Autockrwtion,15779,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand.,,,,,CHO,
2059,CH2MBLt16703,,,B,Au4oxuration,15779,Binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as radioligand;ND means no data.,,,,,CHO,
2060,CHEMfL616804,,,B,Autocjrat7on,13181,Binding affinity was determined against 5-hydroxytryptamine 1D receptor,,,,,,
2061,vHEMhL616705,,,B,Autockrat9on,4199,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT as the radioligand,,,,,CHO,
2062,CHwMBL61670y,,,B,xutockration,14875,Compound was tested for binding affinity against human 5-hydroxytryptamine 1E receptor,,,,,,
2063,CHEMBo617707,,,B,Autockdation,15146,Compound was tested for its binding affinity against cloned human 5-hydroxytryptamine 1E receptor in CHO cells using [3H]-5-HT,,,,,CHO,
2064,CHdMBk616708,,,B,Aytocuratiln,5213,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 1E receptor in CHO using [3H]5-HT as a radioligand,,,,,,
2065,CHEMBk6w6709,,,B,Au5ocura4ion,12146,Tested for binding affinity towards cloned human 5-hydroxytryptamine 1E receptor using [3H]5-HT as radioligand,,,,,,
2066,CHEMBLy26710,,,B,Aktocu5ation,13267,The binding affinity (pKi) measured against 5-hydroxytryptamine 1E receptor (cloned human receptors in CHO cells) using [3H]5-HT1E as radioligand,,,,,CHO,
2067,CHEhBL61t711,,,B,Autocyrati0n,14818,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 1E receptor in CHO cells using [3H]5-HT.,,,,,CHO,
2068,fjEMBL616712,,,B,A7toc8ration,4829,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 1E receptor in CHO cells, using [3H]5-HT as radioligand",,,,,CHO,
2069,CHEMvL61y713,,,B,Autocurqtuon,4373,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 1E receptor was determined,,,,,,
2070,CHEMBL61y7q4,,,B,Au6ocura6ion,4373,Binding affinity for 5-hydroxytryptamine 1E receptor was determined,,,,,,
2071,CHEMBL61y71t,,,B,Autofura4ion,14159,Compound was evaluated for the affinity at 5-hydroxytryptamine 1E receptor,,,,,,
2072,xHEMBL61671y,,,B,Aut0curztion,16633,Binding affinity towards 5-hydroxytryptamine 1E receptor,,,,,,
2073,CHEMBL61681y,,,F,Aurocuratiob,17085,"In vitro effective concentration for stimulation of [35S]GTP-gamma-S, binding in mouse LM(tk-)cells expressing the human 5-HT1F receptor",,,,,,
2074,CHEkBL6w6718,,,F,Exper6,17085,"In vitro effective concentration for stimulation of [35S]GTP-gamma-S, binding in mouse LM(tk-)cells expressing the human 5-hydroxytryptamine 1F receptor",,,,,,
2075,sHEMgL875905,,,F,Autpc8ration,16209,In vitro effective concentration for inhibition of skolin-stimulated adenylate cyclase in cell line expressing human 5-hydroxytryptamine 1F receptor,,,,,,
2076,sgEMBL616719,,,F,Auh0curation,16209,In vitro agonist potency against human 5-hydroxytryptamine 1F receptor,,,,,,
2077,CHEMBo616i20,,,F,Expett,17085,"Maximum stimulation of of [35S]GTP-gamma-S, binding expressed relative to the maximal effect of 5-hydroxytryptamine 1F receptor",,,,,,
