ss_d,ss_sbclllr_frctn,tss_d,ss_tx_d,crtd_b,ss_rgnsm,dc_d,chmbl_d,td,ss_strn,cll_d,ss_tss,dscrptn,vrnt_d,ss_tp,src_d,rltnshp_tp,cnfdnc_scr,src_ss_d,b_frmt
471,,,10090.0,Intermediate,Mus musculus,12082,CHEMBL615495,80951,,723.0,,Inhibitory concentration of compound was calculated on 3T3 cells by using clonal assay,,F,1,N,1,,BAO_0000219
472,,,10090.0,Intermediate,Mus musculus,12082,CHEMBL615496,80951,,723.0,,Inhibitory concentration was calculated on 3T3 cells by using growth assay,,F,1,N,1,,BAO_0000219
473,,,10090.0,Intermediate,Mus musculus,2643,CHEMBL615497,80951,,723.0,,In vitro cytotoxicity was evaluated in mouse embryo BALB/c 3T3 cells,,F,1,N,1,,BAO_0000219
474,,,10090.0,Expert,Mus musculus,11926,CHEMBL615498,80951,,723.0,,Inhibition of Swiss 3T3 mouse fibroblast proliferation,,F,1,N,1,,BAO_0000219
475,,,10090.0,Intermediate,Mus musculus,15204,CHEMBL615499,80951,,723.0,,The compound was tested for cytotoxicity against 3T3 fibroblast murine cell line.,,A,1,N,1,,BAO_0000219
476,,,10090.0,Expert,Mus musculus,15992,CHEMBL835522,80951,,723.0,,Effective concentration required to inhibit the growth of murine 3T3 fibroblasts,,F,1,N,1,,BAO_0000219
477,,,10090.0,Intermediate,Mus musculus,16279,CHEMBL615500,80951,,723.0,,Cytotoxicity on 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014); Not tested,,F,1,N,1,,BAO_0000219
478,,,10090.0,Intermediate,Mus musculus,16279,CHEMBL615501,80951,,723.0,,Cytotoxicity against 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014),,F,1,N,1,,BAO_0000219
479,,,10090.0,Intermediate,Mus musculus,16279,CHEMBL615502,80951,,723.0,,Cytotoxicity on 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014),,F,1,N,1,,BAO_0000219
480,,,10090.0,Intermediate,Mus musculus,16279,CHEMBL615503,80951,,723.0,,cytotoxicity on 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014),,F,1,N,1,,BAO_0000219
481,,,10090.0,Intermediate,Mus musculus,16279,CHEMBL615504,80951,,723.0,,Cytotoxicity on 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014),,F,1,N,1,,BAO_0000219
482,,,10090.0,Intermediate,Mus musculus,16279,CHEMBL615505,80951,,723.0,,Cytotoxicity against 3T3 fibroblasts (3T3F) murine cell line (O.D.=0.131+/-0.014),,F,1,N,1,,BAO_0000219
483,,,10090.0,Expert,Mus musculus,12831,CHEMBL615506,80951,,723.0,,Inhibition of swiss 3T3 mouse fibroblast proliferation,,F,1,N,1,,BAO_0000219
484,,,10090.0,Intermediate,Mus musculus,13497,CHEMBL615507,80951,,723.0,,Compound was tested for sublethal concentrations in 3T3 mouse fibroblast lysis.,,F,1,N,1,,BAO_0000219
485,,,,Intermediate,,13715,CHEMBL615508,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 30 uM dose.,,F,1,N,1,,BAO_0000218
486,,,10090.0,Intermediate,Mus musculus,13618,CHEMBL615509,80006,,620.0,,Concentration required to stimulate glucose uptake in 3T3-L1 adipocytes after 48 hr incubation,,F,1,N,1,,BAO_0000219
487,,,10090.0,Intermediate,Mus musculus,11902,CHEMBL615510,80006,,620.0,,Effect on GLUT 1 glucose transporter expression in 3T3-L1 adipocytes at dose of 0.3 uM,,F,1,N,1,,BAO_0000219
488,,,10090.0,Intermediate,Mus musculus,11902,CHEMBL615511,80006,,620.0,,Effect on GLUT 1 glucose transporter expression in 3T3-L1 adipocytes at dose of 3 uM,,F,1,N,1,,BAO_0000219
489,,,10090.0,Intermediate,Mus musculus,11902,CHEMBL615512,80006,,620.0,,Effect on GLUT 1 glucose transporter expression in 3T3-L1 adipocytes at dose of 30 uM,,F,1,N,1,,BAO_0000219
490,,,10090.0,Intermediate,Mus musculus,14840,CHEMBL615513,80006,,620.0,,"In vitro ability to stimulate glucose transport in 3T3-L1 adipocytes, given at 100 mg/kg in mouse, after 24 hr",,F,1,N,1,,BAO_0000218
491,,,10090.0,Intermediate,Mus musculus,14840,CHEMBL615514,80006,,620.0,,"In vitro ability to stimulate glucose transport in 3T3-L1 adipocytes, given at 100 mg/kg in mouse, after 3 hr",,F,1,N,1,,BAO_0000218
492,,,,Intermediate,,13715,CHEMBL615515,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes,,F,1,N,1,,BAO_0000219
493,,,,Intermediate,,13715,CHEMBL615516,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 10 micro M,,F,1,N,1,,BAO_0000219
494,,,,Intermediate,,13715,CHEMBL615517,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 3 micro M,,F,1,N,1,,BAO_0000219
495,,,,Intermediate,,13715,CHEMBL615518,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 30 micro M,,F,1,N,1,,BAO_0000219
496,,,,Intermediate,,13715,CHEMBL615519,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 3 micro M,,F,1,N,1,,BAO_0000219
497,,,,Intermediate,,13715,CHEMBL615520,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 0.3 uM dose.,,F,1,N,1,,BAO_0000218
498,,,,Intermediate,,13715,CHEMBL615521,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 0.5 uM dose.,,F,1,N,1,,BAO_0000218
499,,,,Intermediate,,13715,CHEMBL615522,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 1 uM dose.,,F,1,N,1,,BAO_0000218
500,,,,Intermediate,,13715,CHEMBL615523,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 10 uM dose.,,F,1,N,1,,BAO_0000218
501,,,,Expert,,13715,CHEMBL615524,80006,,620.0,,In vitro measurements 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 100 uM dose.,,F,1,N,1,,BAO_0000218
502,,,,Expert,,13715,CHEMBL615525,80006,,620.0,,Acute effects in vitro by measuring 2-deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 10 uM dose.,,F,1,N,1,,BAO_0000218
503,,,,Intermediate,,13715,CHEMBL615526,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 1 uM dose.,,F,1,N,1,,BAO_0000218
504,,,,Intermediate,,13715,CHEMBL615527,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 3 uM dose.,,F,1,N,1,,BAO_0000218
505,,,,Intermediate,,13715,CHEMBL615528,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 300 uM dose.,,F,1,N,1,,BAO_0000218
506,,,,Expert,,13715,CHEMBL615529,80006,,620.0,,Acute effects in vitro by measuring 2-deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 30 uM dose.,,F,1,N,1,,BAO_0000218
507,,,,Expert,,13715,CHEMBL615530,80006,,620.0,,In vitro by measurements of 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 3 uM dose.,,F,1,N,1,,BAO_0000218
508,,,,Expert,,13715,CHEMBL615531,80006,,620.0,,In vitro measurements of 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 60 uM dose.,,F,1,N,1,,BAO_0000218
509,,,,Intermediate,,13715,CHEMBL615532,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 10 micro M,,F,1,N,1,,BAO_0000219
510,,,,Intermediate,,13715,CHEMBL615533,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 3 micro M,,F,1,N,1,,BAO_0000219
511,,,,Intermediate,,13715,CHEMBL615534,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at concentration of 30 micro M,,F,1,N,1,,BAO_0000219
512,,,,Intermediate,,13715,CHEMBL615535,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 100 uM dose.,,F,1,N,1,,BAO_0000218
513,,,,Intermediate,,13715,CHEMBL615536,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 10 uM dose.,,F,1,N,1,,BAO_0000218
514,,,,Intermediate,,13715,CHEMBL615537,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 30 uM dose.,,F,1,N,1,,BAO_0000218
515,,,,Intermediate,,13715,CHEMBL615538,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 3 uM dose.,,F,1,N,1,,BAO_0000218
516,,,,Intermediate,,13715,CHEMBL836166,80006,,620.0,,compound was evaluated for their acute effects in vitro by measuring 2-Deoxyglucose (2DG) uptake in vehicle treated 3T3-L1 adipocytes at 60 uM dose.,,F,1,N,1,,BAO_0000218
517,,,,Expert,,6411,CHEMBL615539,11214,,620.0,,Inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells,,F,1,H,8,,BAO_0000219
518,,,10090.0,Intermediate,Mus musculus,6411,CHEMBL615540,80006,,620.0,,Evaluated for the inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells; ND = No data,,F,1,N,1,,BAO_0000219
519,,,,Expert,,6411,CHEMBL615541,11214,,620.0,,Evaluated for the inhibition of forskolin-stimulated lipolysis in differentiated 3T3-L1 cells; Na = Not active,,F,1,H,8,,BAO_0000219
520,,,10090.0,Expert,Mus musculus,3966,CHEMBL615542,80006,,620.0,,Insulin-sensitizing activity; triglyceride accumulation from insulin regulated differentiation of 3T3-L1 cells at 1 uM expressed as percent activity of pioglitazone,,F,1,N,1,,BAO_0000219
521,,,10090.0,Intermediate,Mus musculus,3966,CHEMBL615543,80006,,620.0,,Compound was tested for insulin-sensitizing activity by measuring triglyceride accumulation from insulin regulated differentiation of 3T3-L1 cells at 10 uM expressed as percent activity of pioglitazone,,F,1,N,1,,BAO_0000219
522,,,10090.0,Expert,Mus musculus,15556,CHEMBL615544,80006,,620.0,,Stimulation of adipogenesis in 3T3-L1 cells is expressed as concentration equivalent to the [ 1-14C] uptake counts after treatment with 0.2 ug/mL troglitazone,,F,1,N,1,,BAO_0000219
523,,,10090.0,Expert,Mus musculus,5845,CHEMBL615545,80006,,620.0,,Effective concentration for enhancement of insulin-induced triglyceride accumulation in 3T3-L1 cells,,F,1,N,1,,BAO_0000219
524,,,10090.0,Expert,Mus musculus,14422,CHEMBL615546,80006,,620.0,,Effective concentration for 50% enhancement of insulin-induced triglyceride accumulation in 3T3-L1 cells,,F,1,N,1,,BAO_0000219
525,,,10090.0,Expert,Mus musculus,5845,CHEMBL615547,80006,,620.0,,Percentage of rosiglitazone response for insulin-sensitizing activity at 1 uM concentration in 3T3-L1 cells,,F,1,N,1,,BAO_0000219
526,,,10090.0,Expert,Mus musculus,14508,CHEMBL615548,80006,,620.0,,In vitro glucose transport activity in 3T3-LI adipocytes at 10 uM concentration.,,F,1,N,1,,BAO_0000219
527,,,10090.0,Expert,Mus musculus,14508,CHEMBL615549,80006,,620.0,,In vitro glucose transport activity in 3T3-LI adipocytes at 3 uM concentration.,,F,1,N,1,,BAO_0000219
528,,,10090.0,Expert,Mus musculus,14508,CHEMBL615550,80006,,620.0,,In vitro glucose transport activity in 3T3-LI adipocytes at 30 uM concentration.,,F,1,N,1,,BAO_0000219
529,,,10116.0,Intermediate,Rattus norvegicus,6349,CHEMBL615551,80622,,1118.0,,Inhibitory activity against rat fibroblast (3Y1) cell line,,F,1,N,1,,BAO_0000219
530,,,10116.0,Expert,Rattus norvegicus,15899,CHEMBL615552,80622,,1118.0,,Mean concentration causing inhibition of cell growth in 3Y1 cells.,,F,1,N,1,,BAO_0000219
531,,,10116.0,Expert,Rattus norvegicus,15899,CHEMBL615553,80622,,1118.0,,Cytotoxicity in 3Y1 cells.,,F,1,N,1,,BAO_0000219
532,,,10116.0,Expert,Rattus norvegicus,15899,CHEMBL615554,80622,,1118.0,,Cytostatic effect in 3Y1 cells.,,F,1,N,1,,BAO_0000219
533,,,10116.0,Intermediate,Rattus norvegicus,15899,CHEMBL615555,80622,,1118.0,,"Mean averaged concentration for total growth inhibition, which signifies cytostatic effect",,F,1,N,1,,BAO_0000219
534,,,10116.0,Expert,Rattus norvegicus,17038,CHEMBL615556,80622,,1118.0,,Concentration to inhibit growth of normal rat fibroblast cells (3Y1-B cells) after 72 h exposure,,F,1,N,1,,BAO_0000219
535,,,,Autocuration,,12421,CHEMBL615557,22226,,,,In vitro inhibitory activity against human adrenal 3-beta hydroxy-delta 5-teroid isomerase,,B,1,U,0,,BAO_0000019
536,,,,Autocuration,,12947,CHEMBL615558,22226,,,,Inhibition of recombinant human adrenal 3-beta-hydroxy-delta-5-steroid dehydrogenase,,B,1,U,0,,BAO_0000019
537,,,,Autocuration,,12947,CHEMBL872066,22226,,,,Inhibition of recombinant rat adrenal 3-beta-hydroxy-delta-5-steroid dehydrogenase,,B,1,U,0,,BAO_0000019
538,,,9823.0,Expert,Sus scrofa,4896,CHEMBL615559,11607,,,,In vitro inhibition against of 4-Hydroxyphenylpyruvate dioxygenase (4-HPPD) from pig liver by the enol borate method,,B,1,D,9,,BAO_0000019
539,,,,Autocuration,,6148,CHEMBL615560,11607,,,,In vitro inhibitory concentration required against 4-hydroxyphenylpyruvate dioxygenase (4-HPPD) taken from pig liver,,B,1,H,8,,BAO_0000019
540,,,,Autocuration,,16432,CHEMBL615561,11607,,,,Inhibition of pig liver 4-Hydroxyphenylpyruvate dioxygenase (4-HPPD) enzyme,,B,1,H,8,,BAO_0000019
541,,,,Expert,,4978,CHEMBL857062,11607,,,,Concentration required to achieve 50% inhibition against 4-Hydroxyphenylpyruvate dioxygenase (HPPD) from pig liver,,B,1,H,8,,BAO_0000019
542,,,,Expert,,4978,CHEMBL615562,11607,,,,Concentration required to achieve 50% inhibition against 4-Hydroxyphenylpyruvate dioxygenase (HPPD) from pig liver; (observed value),,B,1,H,8,,BAO_0000019
543,,,,Autocuration,,3723,CHEMBL615563,11607,,,,In vitro inhibitory activity against HPPD(4-hydroxyphenylpyruvate Dioxygenase) from pig liver using enol borate assay method,,B,1,H,8,,BAO_0000019
544,,,,Autocuration,,3518,CHEMBL615564,11607,,,,Compound was evaluated for complete competitive inhibition of 4-hydroxyphenylpyruvate dioxygenase (HPPD),,B,1,H,8,,BAO_0000357
545,,,,Autocuration,,4164,CHEMBL615565,11607,,,,In vitro inhibition of 4-hydroxyphenylpyruvate dioxygenase obtained from purified pig liver by enol-borate method,,B,1,H,8,,BAO_0000019
546,,,,Autocuration,,3518,CHEMBL615566,11607,,,,Inhibitory activity on pig liver 4-hydroxyphenylpyruvate dioxygenase (HPPD) was evaluated,,B,1,H,8,,BAO_0000019
547,,,9823.0,Expert,Sus scrofa,4164,CHEMBL615567,11607,,,,Inhibition of 4-hydroxyphenylpyruvate dioxygenase of purified pig liver by enol-borate method,,B,1,D,9,,BAO_0000019
548,,,,Autocuration,,3518,CHEMBL615568,11607,,,,The inhibitory activity on pig liver 4-hydroxyphenylpyruvate dioxygenase (HPPD) was evaluated.,,B,1,H,8,,BAO_0000019
549,,,,Autocuration,,3518,CHEMBL615569,11607,,,,Compound was evaluated for competitive inhibition of 4-hydroxyphenylpyruvate dioxygenase (HPPD) (complete inhibition was observed at a concentration of 0.5-1.0 mM),,B,1,H,8,,BAO_0000357
550,,,,Autocuration,,4978,CHEMBL615570,11607,,,,Concentration required to achieve 50% inhibition against 4-hydroxyphenylpyruvate dioxygenase from pig liver,,B,1,H,8,,BAO_0000019
551,,,,Autocuration,,4978,CHEMBL615571,11607,,,,Concentration required to achieve 50% inhibition against 4-hydroxyphenylpyruvate dioxygenase from pig liver; (observed value),,B,1,H,8,,BAO_0000019
552,,,,Autocuration,,6455,CHEMBL615572,104733,,,,Binding affinity against melatonin (MT1) receptor (pC1),,B,1,H,4,,BAO_0000224
553,,,,Autocuration,,2222,CHEMBL615573,22226,,,,Compound was tested for inhibitory activity against 5-hydroxytryptamine 1 receptor,,B,1,U,0,,BAO_0000019
554,,,,Autocuration,,13020,CHEMBL615574,22226,,,,Inhibition of [3H]- 5-HT binding to 5-hydroxytryptamine 1 receptor at 10e-5 M,,B,1,U,0,,BAO_0000019
555,,,,Autocuration,,13021,CHEMBL615575,22226,,,,Inhibition of [3H]5-HT binding to 5-hydroxytryptamine 1 receptor of central nervous system,,B,1,U,0,,BAO_0000019
556,,,,Autocuration,,14532,CHEMBL615576,10619,,,,Inhibitory activity against 5-hydroxytryptamine 1 receptor using [3H]5-HT as radioligand at 10e-5 M concentration,,B,1,H,8,,BAO_0000357
557,,,,Autocuration,,14118,CHEMBL615577,10619,,,,Binding affinity against 5-hydroxytryptamine 1 receptor using [3H]5-HT as radioligand,,B,1,H,8,,BAO_0000357
558,,10000000.0,,Autocuration,,11884,CHEMBL615578,51,,,Hippocampus,Binding affinity at 5-hydroxytryptamine 1A receptor in bovine hippocampal preparation using [3H]8-OH-DPAT,,B,1,H,8,,BAO_0000221
559,,,,Expert,,13969,CHEMBL615579,51,,,,Binding affinity against 5-hydroxytryptamine 1A receptor was measured using [3H]8-OH-DPAT as radioligand,,B,1,H,8,,BAO_0000357
560,,,,Expert,,13392,CHEMBL615580,51,,,,Binding affinity for 5-hydroxytryptamine 1A receptor,,B,1,H,8,,BAO_0000357
561,,,,Expert,,14430,CHEMBL615581,51,,,,Affinity towards 5-hydroxytryptamine 1A receptor in membranes from bovine hippocampus using [3H]OH-DPAT,,B,1,H,8,,BAO_0000019
562,,10000000.0,,Autocuration,,12248,CHEMBL615582,51,,,Hippocampus,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,B,1,H,8,,BAO_0000221
563,,10000000.0,,Autocuration,,12249,CHEMBL615583,51,,,Hippocampus,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,B,1,H,8,,BAO_0000221
564,,10000000.0,,Autocuration,,9995,CHEMBL615584,51,,,Hippocampus,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-HT1A receptor from bovine hippocampus,,B,1,H,8,,BAO_0000221
565,,10000000.0,,Autocuration,,9995,CHEMBL833691,51,,,Hippocampus,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,B,1,H,8,,BAO_0000221
566,,10000000.0,,Autocuration,,9995,CHEMBL615585,51,,,Hippocampus,In vitro inhibition of azido-[125I]-IPAPP (0.25 nM) binding to 5-HT1A receptor from bovine hippocampus,,B,1,H,8,,BAO_0000221
567,,10000000.0,,Autocuration,,9995,CHEMBL615586,51,,,Hippocampus,In vitro inhibition of [125I]IPAPP (0.25 nM) binding to 5-HT1A receptor from bovine hippocampus,,B,1,H,8,,BAO_0000221
568,,10000000.0,,Autocuration,,9995,CHEMBL884524,51,,,Hippocampus,In vitro inhibition of [125I]IPAPP (2.5 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,B,1,H,8,,BAO_0000221
569,,10000000.0,,Autocuration,,12249,CHEMBL615587,51,,,Hippocampus,Inhibitory concentration against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,B,1,H,8,,BAO_0000221
570,,10000000.0,,Autocuration,,11799,CHEMBL615588,51,,,Hippocampus,"Compound was tested for binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand",,B,1,H,8,,BAO_0000221
571,Membranes,,10116.0,Expert,Rattus norvegicus,14331,CHEMBL615589,10576,,,,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampal membranes,,B,1,D,9,,BAO_0000249
572,,10000000.0,9913.0,Expert,Bos taurus,11884,CHEMBL615442,51,,,Hippocampus,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of bovine hippocampus.,,B,1,H,8,,BAO_0000221
573,,10000000.0,,Autocuration,,14331,CHEMBL615443,51,,,Hippocampus,Binding affinity of compound towards 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT (0.5 nM) ligand in hippocampus + frontal bovine was determined,,B,1,H,8,,BAO_0000221
574,,10000000.0,,Autocuration,,11701,CHEMBL615444,51,,,Hippocampus,Compound was evaluated for its ability to displace [3H]DPAT from 5-HT1A receptor in homogenates of bovine hippocampus,,B,1,H,8,,BAO_0000221
575,,10000000.0,,Expert,,11701,CHEMBL615445,51,,,Hippocampus,Ability to displace [3H]-DPAT from 5-hydroxytryptamine 1A receptor in homogenates of bovine hippocampus.,,B,1,H,8,,BAO_0000221
576,,10000000.0,,Autocuration,,12248,CHEMBL615446,51,,,Hippocampus,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor in bovine hippocampus,,B,1,H,8,,BAO_0000221
577,,,,Autocuration,,12248,CHEMBL615447,51,,449.0,,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in CHO cells,,B,1,H,8,,BAO_0000219
578,,10000000.0,,Expert,,12248,CHEMBL615448,51,,,Hippocampus,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,B,1,H,8,,BAO_0000221
579,,10000000.0,,Expert,,12249,CHEMBL615449,51,,,Hippocampus,Binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus,,B,1,H,8,,BAO_0000221
580,,,,Autocuration,,12248,CHEMBL615450,51,,449.0,,Compound was evaluated for the binding affinity against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in cloned CHO cells,,B,1,H,8,,BAO_0000219
581,,10000000.0,,Expert,,11799,CHEMBL615451,51,,,Hippocampus,"Binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand",,B,1,H,8,,BAO_0000221
582,,,,Autocuration,,634,CHEMBL615452,51,,,,Compound was tested for its binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand,,B,1,H,8,,BAO_0000357
583,,10000000.0,,Autocuration,,9995,CHEMBL615453,51,,,Hippocampus,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-HT1A receptor from bovine hippocampus,,B,1,H,8,,BAO_0000221
584,,10000000.0,,Autocuration,,9995,CHEMBL615454,51,,,Hippocampus,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,B,1,H,8,,BAO_0000221
585,,10000000.0,,Autocuration,,9995,CHEMBL615455,51,,,Hippocampus,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-HT1A receptor from bovine hippocampus,,B,1,H,8,,BAO_0000221
586,,10000000.0,,Autocuration,,9995,CHEMBL615456,51,,,Hippocampus,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-hydroxytryptamine 1A receptor from bovine hippocampus,,B,1,H,8,,BAO_0000221
587,,10000000.0,,Autocuration,,9995,CHEMBL615457,51,,,Hippocampus,In vitro inhibition of [3H]DPAT (1 nM) binding to 5-HT1A receptor from bovine hippocampus,,B,1,H,8,,BAO_0000221
588,,10000000.0,,Expert,,12210,CHEMBL615458,51,,,Hippocampus,In vivo binding affinity towards [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus.,,B,1,H,8,,BAO_0000218
589,,10000000.0,,Expert,,13311,CHEMBL615459,51,,,Hippocampus,Tested for activity against 5-hydroxytryptamine 1A receptor from bovine hippocampus,,B,1,H,8,,BAO_0000221
590,,,9606.0,Expert,Homo sapiens,2331,CHEMBL615460,51,,449.0,,"Tested in vitro for the inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor, expressed in cloned CHO cells.",,B,1,D,9,,BAO_0000219
591,,,10141.0,Autocuration,Cavia porcellus,1375,CHEMBL615461,51,,,,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1A receptor in guinea pig,,F,1,H,8,,BAO_0000019
592,,,10141.0,Autocuration,Cavia porcellus,1375,CHEMBL615462,51,,,,Compound was tested for the inhibition of forskolin-stimulated adenylate cyclase at 5-hydroxytryptamine 1A receptor in guinea pig; NT means not tested,,F,1,H,8,,BAO_0000019
593,,10000000.0,10141.0,Autocuration,Cavia porcellus,11574,CHEMBL615463,51,,,Hippocampus,Effect on forskolin stimulated adenylate cyclase activity at 5-hydroxytryptamine 1A receptor of guinea pig hippocampus.,,F,1,H,8,,BAO_0000221
594,,2116.0,10141.0,Autocuration,Cavia porcellus,12867,CHEMBL615464,51,,,Ileum,Ability to antagonize Acetylcholine induced contractile responses in Guinea pig ileum for 5-HT1A receptor.,,B,1,H,8,,BAO_0000221
595,,2116.0,10141.0,Autocuration,Cavia porcellus,12867,CHEMBL615465,51,,,Ileum,Ability to antagonize Acetylcholine induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,B,1,H,8,,BAO_0000221
596,,2116.0,10141.0,Autocuration,Cavia porcellus,12867,CHEMBL615466,51,,,Ileum,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor.,,B,1,H,8,,BAO_0000221
597,,2116.0,10141.0,Autocuration,Cavia porcellus,12867,CHEMBL615467,51,,,Ileum,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,B,1,H,8,,BAO_0000221
598,,2116.0,10141.0,Autocuration,Cavia porcellus,12867,CHEMBL615468,51,,,Ileum,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor. Inactive at dose level of 1.0 uM,,B,1,H,8,,BAO_0000221
599,,2116.0,10141.0,Autocuration,Cavia porcellus,12867,CHEMBL615469,51,,,Ileum,Ability to antagonize electrical induced contractile responses in Guinea pig ileum for 5-HT1A receptor; Inactive at dose level of 1.0 uM,,B,1,H,8,,BAO_0000221
