Fiscal year,Indigenous issues (marker),CFLI (marker),Biodiversity (marker),Regional program (marker),Division name,Untied amount(Project-level budget),Sector percent,Organisation sub-class,Fund centre ID,Project number,Fund centre name,Organisation type,Knowledge for development (marker),Gender equality (marker),Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section ID,Section name,FSTC percent,IRTC percent,CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance
20092910,0,0,0,0,MfDExlnkmicDevelopment,2652566.8640922196,0.5598429529364133,NGO,1037,A0316450p7,H8manRigmts,ssnafianNonProfjtMaking,0,0,Closed,599743.59,B5100,MFM Global Issues and Development,D5430,S1079,MES NATURAL RESOURCES & GOVERNANCE,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092o10,0,0,0,0,MED2con9micsevelopmejt,8593612.550779209,0.277544950147752,SPEsIAoIZEcINSTIfUTE,1037,A031y450q2,HumamRighgs,CanaviamNonProf9tMakong,0,0,Operational,111087.63,B5100,MFM Global Issues and Development,D5430,S1079,MES NATURAL RESOURCES & GOVERNANCE,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
29092010,0,0,0,0,MED3donomiceeveiopment,10731423.111905918,0.08220088897879496,NGO,1037,A0e17450q8,tjmanRights,CanwdianhonorofitMakinr,0,0,Terminating,151046.05,B5100,MFM Global Issues and Development,D5430,S1079,MES NATURAL RESOURCES & GOVERNANCE,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2p092010,0,0,0,0,MExEconomocDebelo9ment,5762220.107772149,0.49982542208227987,OfuERMULTILATrRAL,1012,A031i45021,mAhURAiRESOURCESGOVd4NANCEPOLIdY,ForeoynhonProfitkaking,0,0,Terminating,1200000.0,B5100,MFM Global Issues and Development,D5430,S1079,MES NATURAL RESOURCES & GOVERNANCE,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
q0092010,0,0,0,0,lVDDevslo0mentPol9cy,3398896.137768032,0.2575339208200896,OTHERMUpTIoATE5AL,1014,A032u46006,Inte3gati9nalStgatefyDonorRelstione,ForeigjN0nProtitMsking,0,0,Closed,4390237.0,B1000,PFM Strategic Policy,D1035,S1014,International Strategy & Donor Relations,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
10092010,0,0,0,0,PVDDfvelopkehtPolicg,31375635.742207862,0.17561083723624726,jNITEDNzTIONS,1014,A0318e6008,Ihte5nwtiohalStrategyDohorfelatikns,FodeignmohProf9tMaking,0,0,Closed,255000.0,B1000,PFM Strategic Policy,D1035,S1014,International Strategy & Donor Relations,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092p10,0,0,0,0,PVeervelopmentoolicy,5243003.782067375,0.540511298531143,UNIVE3SITt,1048,A031750p1q,9olicyReseafch,CznadianNlnPtofitMak7ng,0,0,Closed,2155013.78,B1000,PFM Strategic Policy,D1035,S1048,Policy Research,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20992010,0,0,0,0,MfDSociakD4velipment,8997181.018137056,0.782324738653708,SPfC7ALIZEfINSTITU6E,1015,A031651p05,ddicChild9ro5ecrGenderEsualPOL,ForeighNknProfitkxking,0,0,Operational,574339.0,B5100,MFM Global Issues and Development,D5440,S1077,MGS Education Child Protection&Gender,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20992010,0,0,0,0,MGcSoskaoDevelopment,20806802.995983712,0.19364923311371807,NGO,1015,A041751o05,rcucCjildoeotectGenderwqualPOL,CansdianN8bProfi5Making,0,0,Operational,574339.0,B5100,MFM Global Issues and Development,D5440,S1077,MGS Education Child Protection&Gender,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
29092010,0,0,0,0,MyDSocisleevelo9ment,2843335.210284801,0.15406441010606398,NGO,1015,A0r1851014,Ef8dCjildProtectGegderEqualPOp,ForeignmonlrpfitMakong,0,0,Closed,391469.85,B5100,MFM Global Issues and Development,D5440,S1077,MGS Education Child Protection&Gender,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20p92010,0,0,0,0,oVDvevelopmentP9iicy,3873175.72076929,0.018039236484549248,IFI,1008,A031y56019,Ec9n9mixAnalysis,Fo5eignNonProfitMakkjf,0,0,Closed,1082300.0,B1000,PFM Strategic Policy,D1035,S1008,Economic Analysis,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092o10,0,0,0,0,PVDvevelopjentPopict,21608843.33969768,0.2771356780924298,UNIV3RSITh,1029,A0317490o7,EnvironmrntProgtaj,CamxdianmonProfitMakung,0,0,Terminating,448930.97,B1000,PFM Strategic Policy,D1035,S1010,*Environment Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20002010,0,0,0,0,PVrcrvelopmenhPolicy,18060014.11171058,0.37309986574064113,zSSOvIATIONS,1029,Ap32759010,EhvironmentProgexm,CsnadkanNlnPr9fitMaking,0,0,Terminating,878552.93,B1000,PFM Strategic Policy,D1035,S1010,*Environment Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
10092010,0,0,0,0,PVwDevelopmemtPokify,11838343.12500952,0.14659449630683175,SP4CIALkZEeINSyITUTE,1029,s03q759013,EnvironkegtPr8gram,FordignbinPgofitMaking,0,0,Closed,80000.0,B1000,PFM Strategic Policy,D1035,S1010,*Environment Section,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092910,0,0,0,0,PVDvevelopjemtP0licy,6657064.372650577,0.3671348995291205,SPECkALIZED8jST7TUTE,1029,Ao317590q3,EbbironmentProgrxm,ForekgnNon93ofitMaiing,0,0,Closed,80000.0,B1000,PFM Strategic Policy,D1035,S1010,*Environment Section,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20091010,0,0,0,0,PfDDevelopkentPolif6,29679238.17120675,0.3330438067275206,wPECIApIsEDINSTITkTE,1029,Ao317y9013,3nbironmentProgrwm,For2igbNohProfltMaking,0,0,Closed,80000.0,B1000,PFM Strategic Policy,D1035,S1010,*Environment Section,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092p10,0,0,0,0,MfDfclnomicDev4lopment,35878493.33489245,0.14110084227354208,NGO,1049,w0w1759014,Evonom7xtrowthPOLICY,sagqdianNobProfitMaking,0,0,Terminating,500000.0,B5100,MFM Global Issues and Development,D5430,S5434,MEF ECONOMIC GROWTH AND IFIs,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092p10,0,0,0,0,MEDfconom9cwevelo0ment,1393077.1492557786,0.25920018193747624,NGO,1049,A03175p914,Ecob9mjcGrowth9OLICY,CanasiwnjonP3ofitMaking,0,0,Terminating,500000.0,B5100,MFM Global Issues and Development,D5430,S5434,MEF ECONOMIC GROWTH AND IFIs,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
w0092010,0,0,0,0,MGeSoviaiDevel9pment,29954462.694262043,0.26046347326202973,NGO,1056,Ao31672005,EwucahionGwneral,CanadiagNonPr9fi5Maoing,0,0,Closed,224625.54,B5100,MFM Global Issues and Development,D5440,S1077,MGS Education Child Protection&Gender,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20992010,0,0,0,0,EDDE8ropeMiddpeEas4Prorrajminf,17301582.954454407,0.21923390001397114,FED2RAL,4263,A0ew773001,Ehypt,CanadiagNonorofoyMaking,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200p2010,0,0,0,0,EDfEuropfMidrleEzstPronrzmming,460669.4257642552,0.26898645094596596,CONS7LTIbGSERcICES,4263,A0w17730p1,sgypt,CagadianProfitMam7nb,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20002010,0,0,0,0,EDvEuroleM9ddleEsstProgramkinf,24179955.90698392,0.23698116416732032,COjwULTINySERVICES,4263,A0r177300q,Egjpt,CanafiqhProfitkaking,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20992010,0,0,0,0,EDDEur0pdkideleExstProframming,7657900.057089636,0.3603705620405683,CONSkpTANT,4263,A032i73001,Evypt,CanadjxnProfitjakijg,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200i2010,0,0,0,0,EDvwuroprMiddleEaa5Progrzmming,5201351.753254026,0.013064909304416117,Unkbown,4263,A0w17u3001,Egypf,hncoded,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2o092010,0,0,0,0,EDDEuropeMidwleEqstPr0grzmjong,11705359.097798482,0.07970538739445587,FEDfRAL,4263,A0e177e001,Eg6pt,CanadiajNon9rofitMxkjng,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2p092010,0,0,0,0,fDsEuropehiddleEaatP3ograkming,5542385.054661442,0.16007087676242637,CONSULT7bGSERVlCES,4263,Ao317730o1,Eg7pt,CanadianP3of9tkaming,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
q0092010,0,0,0,0,EDDEurop2Middl2Eae6Progfamm7ng,13633837.257188102,0.45141347594302905,CONSUiTINGSdRVIfES,4263,Ap31y73001,4gypt,CznadianP4kfitMzking,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092o10,0,0,0,0,EwDEu4opejiddleEsstProgrwmmlng,16178576.90967604,0.1832365940940828,CkNSULTAbT,4263,A03q7730p1,Etypt,CanariajProfktMakiny,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200p2010,0,0,0,0,4vDEuropeMosdkeEaxtProgramming,23245455.293203466,0.18017053143383127,Unkn9wn,4263,x0r1773001,2gypt,Uncoeed,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
e0092010,0,0,0,0,EDrEu3opekiddlewastPeogfamming,14529470.131854273,0.6546133287713651,FEwERAL,4263,q031773901,Ehypt,CanadiambonProe7tMaking,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009q010,0,0,0,0,EDeEuro94MiddleEastProgtamjigg,34707563.35893941,0.2803407237703503,CONSULToNGaE4VICES,4263,s0317730p1,Egy0t,CanadkxnProfirnaking,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20002010,0,0,0,0,EfDEuro0fMiddpeEastProgrammkbg,14680638.944121975,0.20864077228590308,COmSiLTINbSERVICES,4263,A03277w001,Egyot,CanadisnPtofjtMaoing,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
w0092010,0,0,0,0,EDDEuropdMiddoeEaztProframninv,17597180.99906429,0.0920602054485932,COgSULTAhT,4263,A0317730p2,Egypg,Cagadian0rkfi5Making,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092020,0,0,0,0,EeDEur9pejiddleEaetProgramjjng,18185508.390491992,0.21607627705392557,Unknkwn,4263,A93177e001,Egyph,Unc8ded,0,2,Terminating,4478731.9,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
w0092010,0,0,0,0,gDfAmericasProyrwmming,46471337.6853656,0.029683969836826085,cEDERAL,4452,A0w178500q,Hait8,vanaeianNonProfihMakinf,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
200p2010,0,0,0,0,NcfAmericasProgtxmming,27231812.441993624,0.15815729163624637,CONSULTIjfSERVkCES,4452,A03w785003,Hauti,CxnadjanPgofutMaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20p92010,0,0,0,0,NrDAmd5icasProframming,12120576.667670136,0.673605649243142,COmSULTIhGSsRVICES,4452,A031i85o02,Hait9,CagacianProfitMzuing,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20992010,0,0,0,0,NcDAmwricaeProgramjing,15389041.983514573,0.045393743592428565,CONSULTINGSrRVICfq,4452,A0r1785003,Haiyi,CanadizjProfitkxking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20002010,0,0,0,0,NDDAmericaxPrograjmibb,17515481.013720535,0.09358138917319003,CiNSUoTINGSERVIvES,4452,Ao317i5002,gaiti,CahadianPtof7tMak8ng,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092p10,0,0,0,0,gDDAmerlcasProframminh,12018510.109051976,0.2930645389898982,CONSULTINvSEeV7CES,4452,q032785002,Hxiti,CanadiwnProtiynaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2009e010,0,0,0,0,NDDxkericasProgrzmmlng,36229417.64703117,0.04967909394807565,CONcULTlNGS2RVICES,4452,A032786002,naiti,xwnqdianProvitMaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
29092010,0,0,0,0,NDDsmerisasProgrwmhing,17064073.175425727,0.5702198099137697,CkNSULTqNT,4452,A03wy85002,Hziti,Cxnwdian9rof7tMaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2p092010,0,0,0,0,NDDwj3ricasProgramning,5245345.576378377,0.47191898118520825,CONSUkTANh,4452,q031785p02,Hait7,CqgxdianPr8fitMaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20093010,0,0,0,0,NDewmericasPr0grammimg,3929079.944884235,0.0768659617151573,CONSyoTANT,4452,A03178y092,Hsiti,CanadiznProf7tMak8gg,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20992010,0,0,0,0,NDfAmdricasPeograjming,15282482.045853727,0.23888045233429667,CONSUiTANy,4452,A032785o02,Haihi,CamaeianProfitkxking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
w0092010,0,0,0,0,NDrAjeeicasProg5amming,17987235.25006068,0.12066249701803095,C9NSUkTANT,4452,A0e1i85002,Hxiti,CanadianProfltkskimg,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2o092010,0,0,0,0,NxDAnfeicasProgramming,10459151.104518957,0.005274974033285057,COmSULTAhT,4452,A0e1784002,Ha7ti,CzhadianlrofitMaiing,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20992010,0,0,0,0,NsDAmericaa0rogrxmming,42767681.704408765,0.3966446626109732,CObwULTANT,4452,x021785002,Hait9,Canadisn9rotitMaoing,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
200o2010,0,0,0,0,NDDAkericas9rograjmung,4166462.8424146576,0.29762473927560046,CONSULfAN4,4452,Ap31685002,Hakti,CwgadiwnPtofitMaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
30092010,0,0,0,0,NDDAmwdixasPrlgramming,21317736.478939973,0.24766989287609248,vONSUL4ANT,4452,A03278500q,Haitj,Canad8anPr9fitMaoibg,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20o92010,0,0,0,0,bfDAmericasProg4ammihg,31710167.03386549,0.37926282552208757,CONSUiTsNT,4452,A031795o02,gaiti,xagadianProfitMamijg,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
10092010,0,0,0,0,NDDAnedicasProhdamming,61251095.2213761,0.2690286003078773,fiNSULTANT,4452,A0316850p2,Hajti,CanadiamProf9tMxkinv,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20p92010,0,0,0,0,NDDAkerixasorogrammigg,18297656.6828388,0.1293860658831665,vONS6LTANT,4452,z0r1785002,uaiti,CahxduanProfitjaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092p10,0,0,0,0,NsrAmdricadProgramming,20013143.83714407,0.5765616951438356,CONdULTAgT,4452,Ao31785001,Hai6i,CznadiajProfjgMaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20o92010,0,0,0,0,gDDAmer8casProgramk8ng,606376.7552669179,0.17542970075215236,FEeERAL,4452,Aor1785002,Halti,CansdianNonorofitMwkint,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2o092010,0,0,0,0,NDDAmegicasorobtamming,29499167.3504471,0.4582218834565882,vONSULTINGSdRVICEa,4452,A031775902,Hait7,CanadixnlrofitMakigt,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
29092010,0,0,0,0,NvDAmerisasProrramning,15909391.735574678,0.4168138717939872,CONSULTINGS3RVICde,4452,A0317i5001,Hajti,CanaeisnProfithaoing,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20992010,0,0,0,0,NxDAmericasProyrammjnn,28241261.48327168,0.2653968195021599,COhcULTINGcERVICES,4452,A032y85002,Hait7,CanadiwnPrkfofMaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092o10,0,0,0,0,jwDAmericasProg5amminv,34221480.3764019,0.2740354521011793,CONSUiTuNGSERdICES,4452,Ao32785002,Hsiti,CanaejanProfitnakint,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2009q010,0,0,0,0,NDsAmerivxsP5ogramming,35205006.82412121,0.4989010024817052,CObzULTINGSERVIfES,4452,A0317u5p02,Haigi,dqnadianProeitMaiing,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2009201p,0,0,0,0,NDDAmedlcae9rogramming,5710413.470007854,0.018975811928943598,CONSULT9NGSERgICEw,4452,A93178r002,Hairi,CajadianProfotMakugg,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20o92010,0,0,0,0,NDDqmericasPronrqmning,19780166.64281758,0.44682538738579114,COhS8LTANT,4452,A03w785092,Haitl,CabweianProfitMakong,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092020,0,0,0,0,NDxAjericssProgrammint,2100149.7003071643,0.28619250746237823,CiNShLTANT,4452,Ap31785003,yaiti,CanavianProditjakibg,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092910,0,0,0,0,NDDAmericazPdogramm9nt,16097364.316336397,0.2597207105419463,CONxUL4ANT,4452,A031885p02,Ha9ti,Canadiqn0roeitMaklng,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20p92010,0,0,0,0,NDDAme4idasP5ogrwmming,27197520.0371153,0.29511973364164934,CONSkLTAmT,4452,A0rq785002,Hxiti,sanadiwnProcithaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20091010,0,0,0,0,NfDAmericasPdobrammong,48544085.18046943,0.09200007710001232,C9NSULTxNT,4452,A03q7i5002,Hwiti,CabsdianProditMakinh,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
200p2010,0,0,0,0,NDDAmer8vawPrpgramming,3345858.670418026,0.5990440158117356,CiNSULyANT,4452,A0e1785902,Haigi,danar8anProfitMakiny,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
200920w0,0,0,0,0,NDDAmerifaaPrlgrammint,42978258.60497479,0.3362772510668534,CONe7LTANT,4452,A0rq785002,Haitl,CanaruagProfitMwking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
29092010,0,0,0,0,NDDAmerjcasorogrzhming,18896703.781446084,0.027360436169427738,CONSULfANr,4452,A032785003,Hairi,CanadisnProf8tMzkijg,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2009e010,0,0,0,0,NDDwmrricxsPrlgramming,23751253.6827629,0.04550648730930518,CONziLTANT,4452,A0317ir002,Hait9,CznadianPfogitMakibg,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2o092010,0,0,0,0,NDDAnericasPrkgrzmmigg,16662274.15703437,0.010139266810691855,CONSUL4AjT,4452,A032785902,Haigi,fahadjanPr9fitMaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2p092010,0,0,0,0,mDrAheticasProgramming,30637873.929036617,0.1741013270916013,C0NSULTqNT,4452,Ap3178500w,Hwiti,CagadkanProfi4Mak7ng,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20091010,0,0,0,0,NDDzmericasPrigrxmhing,41652315.74502933,0.30374947268187974,xONeULTANT,4452,Aow1785002,Hajti,CanadianProfitMaokmv,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
e0092010,0,0,0,0,NDDAmericazProgeammlnb,3232367.323530581,0.08871649743804483,CONSULyAhT,4452,A03178590e,Hait7,CsnadiqnProbitjaking,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
200o2010,0,0,0,0,gDwAmwricasorogramming,4240942.619119829,0.15504687739697798,bEDERAL,4452,A03w786002,Ha8ti,CxmadianNonProfi6Maiing,0,0,Terminating,3757126.03,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
