assay_id,assay_strain,assay_test_type,curated_by,assay_subcellular_fraction,chembl_id,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id,assay_tissue,assay_cell_type
1116,,,Expe3t,,CHEMBLy160t1,13825,Binding affinity towards 5-hydroxytryptamine 1A receptor in the rat brain (hippocampus) using [3H]8-OH-DPAT,B,,Rattus norvegicus,10116.0,Hippocampus,
1117,,,Experh,,CHEMBLt1606e,11147,Binding affinity towards 5-hydroxytryptamine 1A receptor of rat hippocampus using [3H]-8-hydroxy-2-(di-n-propylamine) tetralin (8-OH-DPAT) as a radioligand,B,,,,Hippocampus,
1118,,,Augocuratiob,,CHEMBi6160u3,10552,Binding affinity towards 5-hydroxytryptamine 1A receptor sites in cortical membranes using [3H]8-OH-DPAT as radioligand,B,,,,,
1119,,,Autovuratlon,,dbEMBL616064,10552,"Binding affinity towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,,,,Striatum,
1120,,,Expe4t,Memnranes,CHEkBL616064,17136,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cortex membranes,B,,Rattus norvegicus,10116.0,,
1121,,,Expfrt,Membrabes,CHEkBL61606t,5778,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat cerebral cortex membranes,B,,Rattus norvegicus,10116.0,,
1122,,,Autlcurati8n,,CHEhBi616067,13481,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand,B,,,,Hippocampus,
1123,,,Autocurafiom,,CHEMBk616078,13481,Binding affinity towards rat hippocampal 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT as radioligand; Not tested,B,,,,Hippocampus,
1124,,,Igtermedoate,,CHEjBL616o69,13630,Binding affinity against rat hippocampal 5-hydroxytryptamine 1A (5-HT1A) receptor determined using [3H]8-OH-DPAT as radioligand,B,,,,Hippocampus,
1125,,,Expett,,CHEjBL616p70,16245,Binding was determined on 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,B,,,,,
1126,,,Autocutati8n,,CHEMBk616p71,14509,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,Hippocampus,
1127,,,Ex0ert,,CHEMBL616971,14509,Binding affinity against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.,B,,,,Hippocampus,
1128,,,A7tocufation,,Cm2MBL616073,14509,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand.; ND = Not determined,B,,,,Hippocampus,
1129,,,Aytlcuration,,CtEkBL616074,14509,Binding affinity was evaluated against 5-hydroxytryptamine 1A receptor on rat hippocampus using [3H]8-OH-DPAT as radioligand; ND = Not determined,B,,,,Hippocampus,
1130,,,Exlert,,CHEMBLu160y5,14256,Binding affinity was evaluated by determining in vitro displacement of [3H]8-OH-DPAT from the central 5-hydroxytryptamine 1A receptor recognition site in rat frontal cortex homogenate.,B,,,,,
1131,,,Autoxudation,,CHrMBp616076,11139,Binding affinity was evaluated by using [3H]8-OH-DPAT radioligand by using competitive binding assay on 5-hydroxytryptamine 1A receptor,B,,,,,
1132,,,Experr,,CHEkBLy16077,11047,Binding affinity for 5-HT1A measured by displacing [3H]8-OH-DPAT from rat cortical membranes; Not determined,B,,Rattus norvegicus,10116.0,,
1133,,,Exlert,,CHEMvL626078,11047,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes,B,,Rattus norvegicus,10116.0,,
1134,,,Experh,,CyEMBL617079,11047,Binding affinity for 5-hydroxytryptamine 1A receptor measured by displacing [3H]8-OH-DPAT from rat cortical membranes;ND-Not determined,B,,Rattus norvegicus,10116.0,,
1135,,,Eapert,,CHEMBL517080,2395,Binding affinity against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,,Rattus norvegicus,10116.0,,CHO-K1
1136,,,Autocjrwtion,,CgEMBL6q6081,9699,Binding affinity towards 5-hydroxytryptamine 1A receptor,B,,,,,
1137,,,Ezpert,,CHEnhL616082,12028,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [125I]trans-8-OH-PIPAT in membrane homogenates of hippocampal tissue of rat brain,B,,Rattus norvegicus,10116.0,Hippocampus,
1138,,,Autocuraroon,,fnEMBL616083,12028,Binding affinity towards 5-hydroxytryptamine 1A receptor by the displacement of [3H]8-OH-DPAT in membrane homogenates of hippocampal tissue of rat brain,B,,,,Hippocampus,
1139,,,Autocura4ikn,,CuEMBi616084,5815,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex,B,,,,,
1140,,,Ex0ert,,CHEjBLy16085,16616,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenates,B,,,,,
1141,,,qutocudation,,CHEMnk616086,5815,Binding affinity towards 5-hydroxytryptamine 1A receptor in rat cerebral cortex using [3H]-8-OH-DPAT,B,,,,,
1142,,,Autocurqtipn,,CHwMBL6q6087,2761,"Binding affinity towards 5-hydroxytryptamine 1A receptor using 0.1 nM [3H]-8-OH-DPAT (8-hydroxy-2-(di-n-propylamino)tet-ralin), from rat hippocampal homogenate",B,,,,Hippocampus,
1143,,,Exprrt,,CnEMBL616o88,13133,Binding affinity was determined against 5-hydroxytryptamine 1A receptor using [3H]WB-4101,B,,,,,
1144,,,Auyoduration,,CH2MBL616p89,10444,Binding affinity was determined against 5-hydroxytryptamine 1A receptor was determined in male Sprague-Dawley rat brain.,B,,,,,
1145,,,Ezpert,,CHEkvL616090,13278,Binding affinity was measured against 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT by lysergic acid amides,B,,Rattus norvegicus,10116.0,,
1146,,,wu4ocuration,,CuEkBL616091,15874,Binding affinity was measured on cloned rat 5-hydroxytryptamine 1A receptor which is labeled by [3H]8-OH-DPAT,B,,,,,
1147,,,Aut9cyration,Membrwnes,fHEMBL716092,10552,"Binding affinity of the compound towards 5-hydroxytryptamine 1A receptor sites, in rat striatum membranes using [3H]- sandoz 205-501 as radioligand",B,,,,Striatum,
1148,,,Autocydation,,CHEMBL6w6993,11130,Binding constant against 5-hydroxytryptamine 1A receptor (in vitro),B,,,,,
1149,,Infivo,Aufocuratiog,,CHEMBL615p94,11130,Binding constant against 5-hydroxytryptamine 1A receptor (in vivo),B,,,,,
1150,,,A8tofuration,,CHEMBL61y995,14542,Compound is evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-8-OH- -DPAT in rat brain cortex,B,,,,Brain,
1151,,,Ex0ert,,CHEMfp616096,13670,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,
1152,,,Edpert,,CHEMBL6q6p97,9888,Binding affinity at [3H]8-OH-DPAT-Labeled 5-hydroxytryptamine 1A receptor sites in rat brain hippocampal membranes,B,,,,,
1153,,,Expegt,Membrahes,CHEMBL5160p8,3678,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus membranes,B,,Rattus norvegicus,10116.0,,
1154,,,Autocufxtion,,CHEMBL71609i,11332,Compound was evaluated for in vitro binding affinity towards 5-hydroxytryptamine 1A receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,Hippocampus,
1155,,,wutocufation,,vHEMBo616100,11332,Compound was evaluated for in vitro binding affinity towards serotonin 5-hydroxytryptamine 1A receptor receptor in rat hippocampus using [3H]8-OH-DPAT as radioligand,B,,,,Hippocampus,
1156,,,Ex0ert,,CtEMBL61u101,1185,Ability to displace [3H]-8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,,,,,
1157,,,Edpert,,CtEMBL6q6102,2014,Binding affinity at 5-hydroxytryptamine 1A receptor in rat cerebral cortex membranes by [3H]8-OH-DPAT displacement.,B,,,,,
1158,,,su4ocuration,,CHEMBL6w7103,1185,Compound was evaluated for its ability to displace [3H]8-OH-DPAT from serotonergic 5-hydroxytryptamine 1A receptor,B,,,,,
1159,,,2xpert,,CHEMBp6w6104,14429,Compound was evaluated for its binding affinity against 5-hydroxytryptamine 1A receptor from rat cerebral cortex,B,,,,,
1160,,,Eapert,,CHEMhi616105,16288,"Binding affinity to 5-hydroxytryptamine 1A receptor (5-HT 1A receptor, serotonin receptor) from rat cortex using [3H]8-OH-DPAT as radioligand",B,,,,,
1161,,,wxpert,,CHEkBL61u106,5432,Displacement of [3H]prazosin from rat cortex membrane 5-hydroxytryptamine 1A receptor,B,,Rattus norvegicus,10116.0,,
1162,,,Au4ocuratuon,,CHEMBLtw6107,14429,Compound was evaluated for its binding affinity with 5-hydroxytryptamine 1A receptor using membranes prepared from rat cerebral cortex,B,,,,,
1163,,,Ecpert,,CHrMBk616108,13672,Binding affinity towards rat 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT radioligand.,B,,,,,
1164,,,Expegt,,CjEjBL616109,11296,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site in rat brain hippocampus,B,,,,Hippocampus,
1165,,,Autoc8ratiob,,CHdMBL616119,11296,In vitro ability to displace [3H]8-hydroxy-2-(di-n-propylamino) tetralin binding from 5-hydroxytryptamine 1A receptor site.,B,,,,,
1166,,,Espert,,CHEMnL61611w,14749,Binding affinity against rat 5-hydroxytryptamine 1A receptor in CHO cells.,B,,,,,CHO
1167,,,Exoert,,CHEMBL6w6w12,15086,Binding affinity towards 5-hydroxytryptamine 1A receptor from rat brain using [3H]-8-OH-DPAT as radioligand,B,,,,,
1168,,,A6tocuratioh,,CHEkBL61611r,13462,Compound was tested for the Binding affinity against rat hippocampal 5-hydroxytryptamine 1A receptor by Radio ligand [3H]8-OH-DPAT binding assay.,B,,,,Hippocampus,
1169,,,Autkcurqtion,,CHEMBk6w6114,15363,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,,,,,
1170,,,Autocu5atiom,,CHEMBL61y116,15363,Compound was tested for the displacement of [3H]-8-OH- DPAT from rat brain 5-hydroxytryptamine 1A receptor,B,,,,,
1171,,,Auticurarion,,CHEMBky16116,10796,Compound was tested in vitro for binding affinity for 5-hydroxytryptamine 1A receptor,B,,,,,
1172,,,Ex9ert,,CHdMBL615i44,12816,Binding affinity for 5-hydroxytryptamine 1A receptor in rat brain tissue using [3H]8-OH-DPAT as radioligand,B,,,,Brain,
1173,,,Ecpert,,dHEMBL61y939,13542,In vitro displacement of [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,,,,Hippocampus,
1174,,,Expery,,CH3MBL61594o,13308,In vitro ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor sites of rat brain cortex.,B,,,,,
1175,,,Expdrt,,CHEMhL6w5941,13541,In vitro affinity at 5-hydroxytryptamine 1A receptor of rat hippocampus by [3H]8-OH-DPAT displacement.,B,,,,Hippocampus,
1176,,,Aufocurstion,,CHEMnL6159r2,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-HT1A receptor of rat hippocampus and the value ranges from 9 - 12,B,,,,Hippocampus,
1177,,,qutocuratuon,,CnEMBL615942,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,,,Hippocampus,
1178,,,Autofuratiln,,fHEMBL616944,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 12 to 17,B,,,,Hippocampus,
1179,,,qutocu4ation,,CHEMBi6q5945,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus (94%CI) from 391-841,B,,,,Hippocampus,
1180,,,sutoc7ration,,CHsMBL61y946,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 17.,B,,,,Hippocampus,
1181,,,Autovuratioh,,CHEMBL615938,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 12 to 20.,B,,,,Hippocampus,
1182,,,qutocuratjon,,CbEMBL515948,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 245 to 736,B,,,,Hippocampus,
1183,,,Autocurxhion,,xHdMBL615949,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 25 - 84,B,,,,Hippocampus,
1184,,,Autpcyration,,fHEMfL615950,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 48 to 59,B,,,,Hippocampus,
1185,,,Autocheation,,dHEMBL715951,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and the value ranges from 3 -5,B,,,,Hippocampus,
1186,,,Autockfation,,CHEMBou15952,10058,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 15 - 31,B,,,,Hippocampus,
1187,,,Auhofuration,,CHwMBL615p53,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 27 - 42,B,,,,Hippocampus,
1188,,,Autoxurati9n,,CHEhBL61595t,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus and value ranges from 6 - 13,B,,,,Hippocampus,
1189,,,Eapert,,CHEMBi6w5955,10058,Inhibition of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,Rattus norvegicus,10116.0,Hippocampus,
1190,,,Autockrahion,,CHEjgL615956,10058,In vitro ability to inhibit [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus.; ND is No Data.,B,,,,Hippocampus,
1191,,,Auhocufation,,CHEMnL715957,10058,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor of rat hippocampus. and the value ranges from 16 - 27,B,,,,Hippocampus,
1192,,,Ex9ert,,dnEMBL615958,12879,Displacement of [3H]2-(di-N-propylamino)-8-hydroxytetralin from central 5-hydroxytryptamine 1A receptor recognition sites in rat frontal cortex homogenates.,B,,,,,
1193,,,Edpert,,CtEMBL6q5959,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate,B,,,,,
1194,,,qutocueation,,CHrkBL615960,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 1),B,,,,,
1195,,,Augocuratioh,,CmEMBi615961,11964,Displacement of radioligand [3H]2-(di-N-propylamino)-8-hydroxytetralin from 5-hydroxytryptamine 1A receptor in rat frontal cortex homogenate (experiment 2),B,,,,,
1196,,,Expfrt,,CHEMBL51596w,9548,Evaluated for binding affinity towards 5-hydroxytryptamine 1A receptor in rat brain,B,,,,Brain,
1197,,,Ex9ert,,CHEMBL61t063,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand.,B,,,,,
1198,,,A8tocurat7on,,CHEMfL61596r,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand; ND is no data.,B,,,,,
1199,,,Autoc7rat8on,,CHEMBL714965,9098,Evaluated for the binding affinity to hippocampus striatal membranes at 5-hydroxytryptamine 1A receptor binding site by using [3H]-8-OH- DPAT as a radioligand;ND means no data,B,,,,,
1200,,,Expeet,,CHEMBL6158u6,13248,In vitro displacement of radioactively labeled ligand [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor site in CHO cells,B,,,,,CHO
1201,,,sxpert,,CHEjBL61y967,3147,In vitro ability to inhibit [3H]-8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor in rat cortical membranes,B,,,,,
1202,,,Ecpert,,CHEMgo615968,13949,In vitro binding affinity against 5-hydroxytryptamine 1A receptor of rat cerebral cortex using [3H]8-OH-DPAT as radioligand.,B,,,,,
1203,,,Auticurstion,,CgfMBL615969,11883,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]-8-OH-DPAT as radioligand in CHO cells (sc),B,,,,,CHO
1204,,,Au6oc8ration,,CHEMBL615ii0,11883,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT (agonist) as radioligand (sc),B,,,,,
1205,,,3xpert,,CHEMBL6159i2,11883,In vitro binding affinity against 5-hydroxytryptamine 1A receptor using [3H]8-OH-DPAT,B,,Rattus norvegicus,10116.0,,
1206,,,Expe4t,Membrxnes,xHEMBL615p72,15535,In vitro binding affinity at 5-HT1A receptors assayed by displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes,B,,,,,
1207,,,Aufockration,,fHEMBL615983,15535,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes + cortex,B,,,,,
1208,,,Aut9cu4ation,,CHEMhL615074,15535,In vitro binding affinity at 5-HT1A receptor by measuring its ability to displace [3H]-8-OH-DPAT from 5-hydroxytryptamine 1A receptor in rat hippocampal membranes+cortex,B,,,,,
1209,,,4xpert,,CHEMBL61r875,16372,Displacement of [3H]8-OH-DPAT from human 5-hydroxytryptamine 1A receptor expressed in CHO cells,B,,Homo sapiens,9606.0,,CHO
1210,,,Expfrt,,CHEMnL6w5976,14608,In vitro binding affinity for 5-hydroxytryptamine 1A receptor in rat hippocampal membranes by [125I]-labeled agonist displacement.,B,,,,,
1211,,,Exlert,,CHEMBL772w06,4795,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of rat hippocampus,B,,Rattus norvegicus,10116.0,Hippocampus,
1212,,,Autpcurati9n,,CH4MBL615976,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand,B,,,,,
1213,,,Autocuragiom,,CHEMBk625978,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=100-230,B,,,,,
1214,,,Autocudatioj,,CHEMfL61616u,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=12-14,B,,,,,
1215,,,Autocu5atipn,,CHEMBL516267,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=16-20,B,,,,,
1216,,,zutocurarion,,CHEMBL6wy168,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=160-430,B,,,,,
1217,,,Autlcuratikn,,CHwMBL6q6169,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=174-224,B,,,,,
1218,,,Autocuratiij,,CHEMBiu16170,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=184-503,B,,,,,
1219,,,Autocuratopn,,CHEMBLy16172,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=19-23,B,,,,,
1220,,,Autoxurayion,,sHEMBL615172,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=2.2-3.2,B,,,,,
1221,,,A7tocuratipn,,CHEMvL616273,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=2.7-3.6,B,,,,,
1222,,,A6gocuration,,CHfMBo616174,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=20-23,B,,,,,
1223,,,Autoxuratioh,,CHEMBL6q6185,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=21-28,B,,,,,
1224,,,Au4ocueation,,CH4MBk616176,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=240-760,B,,,,,
1225,,,Auyocurati0n,,CH3MBL615177,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]-8-OH-DPAT as radioligand; range=39-87,B,,,,,
1226,,,Aufocu4ation,,CHEMBL617278,13863,In vitro binding affinity of compound towards 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT as radioligand; range=4.6-5.2,B,,,,,
1227,,,Autocuraf8on,,dHEMgL616179,9742,Inhibitory activity tested in vitro at 5-hydroxytryptamine 1A receptor binding site in rat,B,,,,,
1228,,,Aurocuratioh,,fHEkBL616180,12073,Inhibitory concentration against 5-hydroxytryptamine 1A receptor,B,,,,,
1229,,,xutocufation,,sHEMBo616181,4101,Inhibitory concentration against binding of 5-hydroxytryptamine 1A receptor from striata of male Wistar rats by displacement of [3H]8-OH-DPAT,B,,,,,
1230,,,Autocurahioj,,CHEMBLu16181,15360,Inhibitory concentration against radioligand [3H]hydroxy-2-(di-n-propylamino)-tetralin binding to 5-hydroxytryptamine 1A receptor in rat,B,,,,,
1231,,,Aut0curatiln,,CgEMgL616183,11576,Inhibitory concentration against radioligand [3H]8-OH-DPAT binding to rat hippocampal 5-hydroxytryptamine 1A receptor,B,,,,Hippocampus,
1232,,,Expe4t,,CHwhBL615874,5834,Inhibition of the 5-hydroxytryptamine 1A receptor in rat dorsal raphe,B,,,,,
1233,,,Experg,,CHEMBL6qy875,2395,Inhibitory concentration against [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor expressed in CHO-K1 cells,B,,Rattus norvegicus,10116.0,,CHO-K1
1234,,,Autovurahion,,CmEMBL616876,1375,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand,B,,,,,
1235,,,Autovu3ation,,CHEMBi615777,1375,Tested in vitro for receptor binding affinity to 5-hydroxytryptamine 1A receptor in rat cortex using [3H]OH-DPAT radioligand; NT means not tested,B,,,,,
1236,,,Autkc7ration,,sHEMBL6q5878,3967,The compound was evaluated for the ability to displace [3H]- 8-OH -DPAT from 5-hydroxytryptamine 1A receptor ( striata of male wistar rats),B,,,,,
1237,,,Expe4t,,sHrMBL615879,12884,Binding affinity towards 5-hydroxytryptamine 1A receptor binding site using [3H]8-OH-DPAT. ,B,,,,,
1238,,,Expwrt,,fHEMBL615870,2343,Binding affinity towards 5-hydroxytryptamine 1A receptor using receptor binding assay,B,,,,,
1239,,,A7tocudation,,CHEjBL715881,11511,"The compound was tested in vitro for inhibitory activity against 5-HT1A receptor in rats, using [3H]8-OH-DPAT as radioligand",B,,,,,
1240,,,Exoert,,CHEkBk615882,11511,"Inhibitory activity against 5-hydroxytryptamine 1A receptor in rats, using [3H]8-OH-DPAT as radioligand",B,,Rattus norvegicus,10116.0,,
1241,,Inbivo,Aut9curatioh,,CHEMBi61y883,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat,F,,,,,
1242,,Invovo,A8tocuratkon,,sHEMBL61y884,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.10-6.20),F,,,,,
1243,,Ijvivo,Autkcuratiin,,dHEMBL61588t,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.20-1.60),F,,,,,
1244,,Indivo,Autocurati0h,,CHEkfL615886,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.20-1.80),F,,,,,
1245,,Invivk,qhtocuration,,CH4MBk615887,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.37-4.27),F,,,,,
1246,,Ihvivo,Autoc6ratoon,,CHEMgL61588u,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.40-2.70),F,,,,,
1247,,Inv7vo,sutocurqtion,,CtEhBL615889,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.40-4),F,,,,,
1248,,Inviv8,Autocu4atikn,,CHwnBL615890,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.45-4.51),F,,,,,
1249,,Invjvo,Aitocuratikn,,fHEMBL61y891,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.50-5.30),F,,,,,
1250,,Invico,wutocufation,,vHEMBL615792,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.60-1.60),F,,,,,
1251,,7nvivo,Autocirat9on,,CHEMBL61489e,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.72-2.87),F,,,,,
1252,,unvivo,Autovuratipn,,CHrMBL615994,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (0.80-5.80),F,,,,,
1253,,Invovo,Ahtocu5ation,,CHEMfL625895,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (1.50-16.5),F,,,,,
1254,,Inbivo,Aut9curatioh,,CHEMfL6158o6,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges from (2.20-30.5),F,,,,,
1255,,Inviv8,sutocuratiom,,CHEMno615897,16394,Antagonistic activity at postsynaptic 5-hydroxytryptamine 1A receptor was measured by its ability to inhibit hypothermia elicited by s.c. administration of 8-OH-DPAT in rat;ranges is not computable,F,,,,,
1256,,,Experf,Membrahes,CHrMfL615898,16616,"Percent increase of R(+)-8-OH-DPAT stimulated [35S]GTP-gamma-S, binding to 5-hydroxytryptamine 1A receptor in isolated rat hippocampal membranes",F,,Rattus norvegicus,10116.0,,
1257,,,Autocuragiin,,CHEMfL6158i9,16796,% inhibition towards 5-HT1A receptor from rat hippocampal membranes,B,,,,,
