ss_d,ss_rgnsm,b_frmt,tss_d,vrnt_d,cnfdnc_scr,ss_tss,chmbl_d,ss_ctgr,crtd_b,ss_tst_tp,dc_d,src_ss_d,rltnshp_tp,td,src_d,ss_strn,ss_cll_tp,ss_sbclllr_frctn,cll_d
8309,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621875,,Intermediate,In vivo,6597,,N,50597,1,,,,
8310,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621876,,Intermediate,In vivo,347,,N,50597,1,,,,
8311,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621877,,Intermediate,In vivo,16423,,N,50597,1,,,,
8312,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621878,,Intermediate,In vivo,2879,,N,50597,1,,,,
8313,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621879,,Intermediate,In vivo,4883,,N,50597,1,,,,
8314,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL621880,,Intermediate,In vivo,5328,,N,50597,1,,,,
8315,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621881,,Intermediate,In vivo,5160,,N,50597,1,,,,
8316,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621882,,Intermediate,In vivo,17582,,N,50597,1,,,,
8317,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL875283,,Intermediate,In vivo,17651,,N,50597,1,,,,
8318,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621883,,Intermediate,In vivo,17651,,N,50597,1,,,,
8319,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621884,,Intermediate,In vivo,6596,,N,50597,1,,,,
8320,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621885,,Intermediate,In vivo,4796,,N,50597,1,,,,
8321,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621886,,Intermediate,In vivo,6850,,N,50597,1,,,,
8322,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL621887,,Intermediate,In vivo,5932,,N,50597,1,,,,
8323,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621888,,Intermediate,In vivo,3371,,N,50597,1,,,,
8324,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621889,,Intermediate,In vivo,2083,,N,50597,1,,,,
8325,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621890,,Intermediate,In vivo,4942,,N,50597,1,,,,
8326,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL621891,,Intermediate,In vitro,6838,,N,50597,1,,,Microsomes,
8327,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621892,,Intermediate,In vivo,5353,,N,50597,1,,,,
8328,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621893,,Intermediate,In vivo,6641,,N,50597,1,,,,
8329,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621894,,Intermediate,In vivo,6641,,N,50597,1,,,,
8330,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621895,,Intermediate,In vivo,6641,,N,50597,1,,,,
8331,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL875284,,Intermediate,In vivo,6444,,N,50597,1,,,,
8332,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618699,,Intermediate,In vivo,6444,,N,50597,1,,,,
8333,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618700,,Intermediate,In vivo,6444,,N,50597,1,,,,
8334,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618701,,Intermediate,In vivo,6211,,N,50597,1,,,,
8335,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL876600,,Intermediate,In vivo,12873,,N,50597,1,,,,
8336,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618702,,Intermediate,In vivo,6570,,N,50597,1,,,,
8337,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618703,,Intermediate,In vivo,3341,,N,50597,1,,,,
8338,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618704,,Intermediate,In vivo,4891,,N,50597,1,,,,
8339,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL618705,,Intermediate,In vivo,1094,,N,50597,1,,,,
8340,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618706,,Intermediate,In vivo,2938,,N,50597,1,,,,
8341,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618707,,Intermediate,In vivo,17853,,N,50597,1,,,,
8342,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL618708,,Intermediate,In vivo,6049,,N,50597,1,,,,
8343,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618709,,Intermediate,In vivo,5789,,N,50597,1,,,,
8344,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618710,,Intermediate,In vivo,4514,,N,50597,1,,,,
8345,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618711,,Intermediate,In vivo,6448,,N,50597,1,,,,
8346,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618712,,Intermediate,In vivo,6062,,N,50597,1,,,,
8347,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618713,,Intermediate,In vivo,5710,,N,50597,1,,,,
8348,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618714,,Intermediate,In vivo,4709,,N,50597,1,,,,
8349,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618715,,Intermediate,In vivo,4521,,N,50597,1,,,,
8350,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618716,,Intermediate,In vivo,1742,,N,50597,1,,,,
8351,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL876601,,Intermediate,In vivo,6057,,N,50597,1,,,,
8352,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618717,,Intermediate,In vivo,6057,,N,50597,1,,,,
8353,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618718,,Intermediate,In vivo,5145,,N,50597,1,,,,
8354,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618719,,Intermediate,In vivo,5833,,N,50597,1,,,,
8355,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618720,,Intermediate,In vivo,6453,,N,50597,1,,,,
8356,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618721,,Intermediate,In vivo,6640,,N,50597,1,,,,
8357,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621477,,Intermediate,In vivo,6305,,N,50597,1,,,,
8358,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621478,,Intermediate,In vivo,6642,,N,50597,1,,,,
8359,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621479,,Intermediate,In vivo,5472,,N,50597,1,,,,
8360,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621480,,Intermediate,In vivo,5472,,N,50597,1,,,,
8361,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621481,,Intermediate,In vivo,5144,,N,50597,1,,,,
8362,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621482,,Intermediate,In vivo,6685,,N,50597,1,,,,
8363,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621483,,Intermediate,In vivo,6685,,N,50597,1,,,,
8364,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621484,,Intermediate,In vivo,6685,,N,50597,1,,,,
8365,Rattus norvegicus,BAO_0000218,948.0,,1,Heart,CHEMBL621485,,Intermediate,In vivo,13950,,N,50597,1,,,,
8366,Rattus norvegicus,BAO_0000218,948.0,,1,Heart,CHEMBL621486,,Intermediate,In vivo,13950,,N,50597,1,,,,
8367,Rattus norvegicus,BAO_0000218,160.0,,1,Intestine,CHEMBL621487,,Intermediate,In vivo,13950,,N,50597,1,,,,
8368,Rattus norvegicus,BAO_0000218,160.0,,1,Intestine,CHEMBL621488,,Intermediate,In vivo,13950,,N,50597,1,,,,
8369,Rattus norvegicus,BAO_0000218,160.0,,1,Intestine,CHEMBL621489,,Intermediate,In vivo,13950,,N,50597,1,,,,
8370,Rattus norvegicus,BAO_0000218,160.0,,1,Intestine,CHEMBL621490,,Intermediate,In vivo,13950,,N,50597,1,,,,
8371,Rattus norvegicus,BAO_0000218,160.0,,1,Intestine,CHEMBL621491,,Intermediate,In vivo,13950,,N,50597,1,,,,
8372,Rattus norvegicus,BAO_0000218,2113.0,,1,Kidney,CHEMBL621492,,Intermediate,In vivo,13950,,N,50597,1,,,,
8373,Rattus norvegicus,BAO_0000218,2113.0,,1,Kidney,CHEMBL621493,,Intermediate,In vivo,13950,,N,50597,1,,,,
8374,Rattus norvegicus,BAO_0000218,2113.0,,1,Kidney,CHEMBL621494,,Intermediate,In vivo,13950,,N,50597,1,,,,
8375,Rattus norvegicus,BAO_0000218,2113.0,,1,Kidney,CHEMBL621495,,Intermediate,In vivo,13950,,N,50597,1,,,,
8376,Rattus norvegicus,BAO_0000218,2113.0,,1,Kidney,CHEMBL621496,,Intermediate,In vivo,13950,,N,50597,1,,,,
8377,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL621497,,Intermediate,In vivo,13950,,N,50597,1,,,,
8378,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL621498,,Intermediate,In vivo,13950,,N,50597,1,,,,
8379,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL621499,,Intermediate,In vivo,13950,,N,50597,1,,,,
8380,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL618634,,Intermediate,In vivo,13950,,N,50597,1,,,,
8381,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL618635,,Intermediate,In vivo,13950,,N,50597,1,,,,
8382,Rattus norvegicus,BAO_0000218,2048.0,,1,Lung,CHEMBL618636,,Intermediate,In vivo,13950,,N,50597,1,,,,
8383,Rattus norvegicus,BAO_0000218,2048.0,,1,Lung,CHEMBL619737,,Intermediate,In vivo,13950,,N,50597,1,,,,
8384,Rattus norvegicus,BAO_0000218,2048.0,,1,Lung,CHEMBL619738,,Intermediate,In vivo,13950,,N,50597,1,,,,
8385,Rattus norvegicus,BAO_0000218,2048.0,,1,Lung,CHEMBL624329,,Intermediate,In vivo,13950,,N,50597,1,,,,
8386,Rattus norvegicus,BAO_0000218,2048.0,,1,Lung,CHEMBL624330,,Intermediate,In vivo,13950,,N,50597,1,,,,
8387,Rattus norvegicus,BAO_0000218,2385.0,,1,Muscle tissue,CHEMBL624331,,Intermediate,In vivo,13950,,N,50597,1,,,,
8388,Rattus norvegicus,BAO_0000218,2385.0,,1,Muscle tissue,CHEMBL624332,,Intermediate,In vivo,13950,,N,50597,1,,,,
8389,Rattus norvegicus,BAO_0000218,2385.0,,1,Muscle tissue,CHEMBL624333,,Intermediate,In vivo,13950,,N,50597,1,,,,
8390,Rattus norvegicus,BAO_0000218,2385.0,,1,Muscle tissue,CHEMBL624334,,Intermediate,In vivo,13950,,N,50597,1,,,,
8391,Rattus norvegicus,BAO_0000218,2385.0,,1,Muscle tissue,CHEMBL624335,,Intermediate,In vivo,13950,,N,50597,1,,,,
8392,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL620016,,Intermediate,In vivo,13950,,N,50597,1,,,,
8393,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL620169,,Intermediate,In vivo,13950,,N,50597,1,,,,
8394,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL620170,,Intermediate,In vivo,13950,,N,50597,1,,,,
8395,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL620171,,Intermediate,In vivo,13950,,N,50597,1,,,,
8396,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL620172,,Intermediate,In vivo,13950,,N,50597,1,,,,
8397,Rattus norvegicus,BAO_0000218,945.0,,1,Stomach,CHEMBL620173,,Intermediate,In vivo,13950,,N,50597,1,,,,
8398,Rattus norvegicus,BAO_0000218,945.0,,1,Stomach,CHEMBL620174,,Intermediate,In vivo,13950,,N,50597,1,,,,
8399,Rattus norvegicus,BAO_0000218,945.0,,1,Stomach,CHEMBL620175,,Intermediate,In vivo,13950,,N,50597,1,,,,
8400,Rattus norvegicus,BAO_0000218,945.0,,1,Stomach,CHEMBL620176,,Intermediate,In vivo,13950,,N,50597,1,,,,
8401,Rattus norvegicus,BAO_0000218,945.0,,1,Stomach,CHEMBL620177,,Intermediate,In vivo,13950,,N,50597,1,,,,
8402,Rattus norvegicus,BAO_0000218,2037.0,,1,Cerebellum,CHEMBL620178,,Intermediate,,13950,,N,50597,1,,,,
8403,Rattus norvegicus,BAO_0000218,2037.0,,1,Cerebellum,CHEMBL620179,,Intermediate,,13950,,N,50597,1,,,,
8404,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620180,,Intermediate,,13950,,N,50597,1,,,,
8405,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620181,,Intermediate,In vivo,6570,,N,50597,1,,,,
8406,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620182,,Intermediate,In vivo,6571,,N,50597,1,,,,
8407,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620183,,Intermediate,In vivo,6453,,N,50597,1,,,,
8408,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620184,,Intermediate,In vivo,6444,,N,50597,1,,,,
8409,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620185,,Intermediate,In vivo,6444,,N,50597,1,,,,
8410,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620186,,Intermediate,In vivo,6444,,N,50597,1,,,,
8411,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620187,,Intermediate,In vivo,5353,,N,50597,1,,,,
8412,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620188,,Intermediate,In vivo,5334,,N,50597,1,,,,
8413,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620189,,Intermediate,In vivo,5334,,N,50597,1,,,,
8414,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620190,,Intermediate,In vivo,6641,,N,50597,1,,,,
8415,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620191,,Intermediate,In vivo,6641,,N,50597,1,,,,
8416,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620192,,Intermediate,In vivo,6641,,N,50597,1,,,,
8417,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620193,,Intermediate,In vivo,5676,,N,50597,1,,,,
8418,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620194,,Intermediate,In vivo,6410,,N,50597,1,,,,
8419,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL876730,,Intermediate,In vivo,17670,,N,50597,1,,,,
8420,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620195,,Intermediate,In vivo,6495,,N,50597,1,,,,
8421,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620196,,Intermediate,In vivo,5408,,N,50597,1,,,,
8422,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620197,,Intermediate,In vivo,4883,,N,50597,1,,,,
8423,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620198,,Intermediate,In vivo,6647,,N,50597,1,,,,
8424,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620199,,Intermediate,In vivo,6495,,N,50597,1,,,,
8425,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620200,,Intermediate,In vivo,2661,,N,50597,1,,,,
8426,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620201,,Intermediate,In vivo,2661,,N,50597,1,,,,
8427,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620202,,Intermediate,In vivo,5974,,N,50597,1,,,,
8428,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620203,,Intermediate,In vivo,5974,,N,50597,1,,,,
8429,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620204,,Intermediate,In vivo,5974,,N,50597,1,,,,
8430,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL620205,,Intermediate,In vivo,5974,,N,50597,1,,,,
8431,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624664,,Intermediate,In vivo,5960,,N,50597,1,,,,
8432,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624665,,Intermediate,In vivo,5676,,N,50597,1,,,,
8433,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624666,,Intermediate,,5948,,N,50597,1,,,,
8434,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624667,,Intermediate,In vivo,5979,,N,50597,1,,,,
8435,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624668,,Intermediate,In vivo,5978,,N,50597,1,,,,
8436,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624669,,Intermediate,In vivo,5978,,N,50597,1,,,,
8437,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624670,,Intermediate,In vivo,5978,,N,50597,1,,,,
8438,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624671,,Intermediate,In vivo,5978,,N,50597,1,,,,
8439,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624672,,Intermediate,In vivo,6448,,N,50597,1,,,,
8440,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL624673,,Intermediate,In vivo,12873,,N,50597,1,,,,
8441,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624674,,Intermediate,In vivo,4576,,N,50597,1,,,,
8442,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624675,,Intermediate,In vivo,17582,,N,50597,1,,,,
8443,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621728,,Intermediate,In vivo,1466,,N,50597,1,,,,
8444,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621729,,Intermediate,,5182,,N,50597,1,,,,
8445,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621730,,Intermediate,,5182,,N,50597,1,,,,
8446,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621731,,Intermediate,In vivo,6535,,N,50597,1,,,,
8447,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621732,,Intermediate,In vivo,6535,,N,50597,1,,,,
8448,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621908,,Intermediate,In vivo,5041,,N,50597,1,,,,
8449,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL875347,,Intermediate,In vivo,5041,,N,50597,1,,,,
8450,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621909,,Intermediate,In vivo,5041,,N,50597,1,,,,
8451,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621910,,Intermediate,In vivo,17065,,N,50597,1,,,,
8452,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621911,,Intermediate,In vivo,6597,,N,50597,1,,,,
8453,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621912,,Intermediate,In vivo,15662,,N,50597,1,,,,
8454,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621913,,Intermediate,In vivo,6485,,N,50597,1,,,,
8455,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621914,,Intermediate,In vivo,17655,,N,50597,1,,,,
8456,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621915,,Intermediate,In vivo,6616,,N,50597,1,,,,
8457,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621916,,Intermediate,In vivo,1916,,N,50597,1,,,,
8458,Mus musculus,BAO_0000218,2107.0,,1,Liver,CHEMBL621917,,Intermediate,In vivo,16438,,N,50594,1,,,,
8459,Mus musculus,BAO_0000218,2107.0,,1,Liver,CHEMBL621918,,Intermediate,In vivo,16438,,N,50594,1,,,,
8460,Mus musculus,BAO_0000218,2106.0,,1,Spleen,CHEMBL621919,,Intermediate,In vivo,16438,,N,50594,1,,,,
8461,Mus musculus,BAO_0000218,2106.0,,1,Spleen,CHEMBL621920,,Intermediate,In vivo,16438,,N,50594,1,,,,
8462,Mus musculus,BAO_0000218,2106.0,,1,Spleen,CHEMBL621921,,Intermediate,In vivo,16438,,N,50594,1,,,,
8463,Mus musculus,BAO_0000218,2106.0,,1,Spleen,CHEMBL622401,,Intermediate,In vivo,16438,,N,50594,1,,,,
8464,Mus musculus,BAO_0000218,2106.0,,1,Spleen,CHEMBL875348,,Intermediate,In vivo,16438,,N,50594,1,,,,
8465,Mus musculus,BAO_0000218,2106.0,,1,Spleen,CHEMBL622402,,Intermediate,In vivo,16438,,N,50594,1,,,,
8466,Mus musculus,BAO_0000218,178.0,,1,Blood,CHEMBL622403,,Intermediate,In vivo,16438,,N,50594,1,,,,
8467,Mus musculus,BAO_0000218,178.0,,1,Blood,CHEMBL622404,,Intermediate,In vivo,16438,,N,50594,1,,,,
8468,Mus musculus,BAO_0000218,955.0,,1,Brain,CHEMBL622405,,Intermediate,In vivo,16438,,N,50594,1,,,,
8469,Mus musculus,BAO_0000218,955.0,,1,Brain,CHEMBL622406,,Intermediate,In vivo,16438,,N,50594,1,,,,
8470,Mus musculus,BAO_0000218,955.0,,1,Brain,CHEMBL622407,,Intermediate,In vivo,16438,,N,50594,1,,,,
8471,Mus musculus,BAO_0000218,948.0,,1,Heart,CHEMBL622408,,Intermediate,In vivo,16438,,N,50594,1,,,,
8472,Mus musculus,BAO_0000218,948.0,,1,Heart,CHEMBL622409,,Intermediate,In vivo,16438,,N,50594,1,,,,
8473,Mus musculus,BAO_0000218,948.0,,1,Heart,CHEMBL622410,,Intermediate,In vivo,16438,,N,50594,1,,,,
8474,Mus musculus,BAO_0000218,2113.0,,1,Kidney,CHEMBL622411,,Intermediate,In vivo,16438,,N,50594,1,,,,
8475,Mus musculus,BAO_0000218,2113.0,,1,Kidney,CHEMBL627864,,Intermediate,In vivo,16438,,N,50594,1,,,,
8476,Mus musculus,BAO_0000218,2113.0,,1,Kidney,CHEMBL627865,,Intermediate,In vivo,16438,,N,50594,1,,,,
8477,Mus musculus,BAO_0000218,2107.0,,1,Liver,CHEMBL627866,,Intermediate,In vivo,16438,,N,50594,1,,,,
8478,Mus musculus,BAO_0000218,2107.0,,1,Liver,CHEMBL627751,,Intermediate,In vivo,16438,,N,50594,1,,,,
8479,Mus musculus,BAO_0000218,2106.0,,1,Spleen,CHEMBL627752,,Intermediate,In vivo,16438,,N,50594,1,,,,
8480,Mus musculus,BAO_0000218,2106.0,,1,Spleen,CHEMBL627753,,Intermediate,In vivo,16438,,N,50594,1,,,,
8481,Mus musculus,BAO_0000218,2106.0,,1,Spleen,CHEMBL627754,,Intermediate,In vivo,16438,,N,50594,1,,,,
8482,Mus musculus,BAO_0000218,,,1,,CHEMBL627755,,Intermediate,,12467,,N,50594,1,,,,
8483,Mus musculus,BAO_0000218,955.0,,1,Brain,CHEMBL627756,,Intermediate,In vivo,17208,,N,50594,1,,,,
8484,Mus musculus,BAO_0000218,955.0,,1,Brain,CHEMBL627757,,Intermediate,In vivo,17208,,N,50594,1,,,,
8485,Mus musculus,BAO_0000218,955.0,,1,Brain,CHEMBL627758,,Intermediate,In vivo,17208,,N,50594,1,,,,
8486,Mus musculus,BAO_0000218,955.0,,1,Brain,CHEMBL627759,,Intermediate,In vivo,17208,,N,50594,1,,,,
8487,Mus musculus,BAO_0000218,955.0,,1,Brain,CHEMBL627760,,Intermediate,In vivo,17208,,N,50594,1,,,,
8488,Mus musculus,BAO_0000218,955.0,,1,Brain,CHEMBL627761,,Intermediate,In vivo,17208,,N,50594,1,,,,
8489,Mus musculus,BAO_0000218,948.0,,1,Heart,CHEMBL876811,,Intermediate,In vivo,17208,,N,50594,1,,,,
8490,Mus musculus,BAO_0000218,948.0,,1,Heart,CHEMBL627762,,Intermediate,In vivo,17208,,N,50594,1,,,,
8491,Mus musculus,BAO_0000218,948.0,,1,Heart,CHEMBL627763,,Intermediate,In vivo,17208,,N,50594,1,,,,
8492,Mus musculus,BAO_0000218,948.0,,1,Heart,CHEMBL627764,,Intermediate,In vivo,17208,,N,50594,1,,,,
8493,Mus musculus,BAO_0000218,948.0,,1,Heart,CHEMBL627765,,Intermediate,In vivo,17208,,N,50594,1,,,,
8494,Mus musculus,BAO_0000218,948.0,,1,Heart,CHEMBL627766,,Intermediate,In vivo,17208,,N,50594,1,,,,
8495,Mus musculus,BAO_0000218,2113.0,,1,Kidney,CHEMBL627767,,Intermediate,In vivo,17208,,N,50594,1,,,,
8496,Mus musculus,BAO_0000218,2113.0,,1,Kidney,CHEMBL627768,,Intermediate,In vivo,17208,,N,50594,1,,,,
8497,Mus musculus,BAO_0000218,2113.0,,1,Kidney,CHEMBL628422,,Intermediate,In vivo,17208,,N,50594,1,,,,
8498,Mus musculus,BAO_0000218,2113.0,,1,Kidney,CHEMBL628423,,Intermediate,In vivo,17208,,N,50594,1,,,,
8499,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL628424,,Intermediate,In vivo,5089,,N,50597,1,,,,
8500,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL628425,,Intermediate,In vivo,5089,,N,50597,1,,,,
8501,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL628426,,Intermediate,In vivo,4257,,N,50597,1,,,,
8502,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL628427,,Intermediate,In vivo,6679,,N,50597,1,,,,
8503,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626938,,Intermediate,In vivo,5546,,N,50597,1,,,,
8504,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626939,,Intermediate,In vivo,6141,,N,50597,1,,,,
8505,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626940,,Intermediate,In vivo,5334,,N,50597,1,,,,
8506,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626941,,Intermediate,In vivo,5334,,N,50597,1,,,,
8507,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626942,,Intermediate,In vivo,5334,,N,50597,1,,,,
8508,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL876812,,Intermediate,In vivo,4689,,N,50597,1,,,,
8509,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626943,,Intermediate,In vivo,6848,,N,50597,1,,,,
8510,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626944,,Intermediate,In vivo,6848,,N,50597,1,,,,
8511,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626945,,Intermediate,In vivo,6467,,N,50597,1,,,,
8512,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626946,,Intermediate,In vivo,6467,,N,50597,1,,,,
8513,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626856,,Intermediate,In vivo,4956,,N,50597,1,,,,
8514,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626857,,Intermediate,In vivo,5529,,N,50597,1,,,,
8515,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL626858,,Intermediate,In vivo,406,,N,50597,1,,,,
8516,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL627018,,Intermediate,In vivo,17655,,N,50597,1,,,,
8517,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL625331,,Intermediate,In vivo,3293,,N,50597,1,,,,
8518,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL625332,,Intermediate,In vivo,4075,,N,50597,1,,,,
8519,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL877590,,Intermediate,In vivo,2792,,N,50597,1,,,,
8520,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL625333,,Intermediate,In vivo,2792,,N,50597,1,,,,
8521,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL625334,,Intermediate,In vivo,17594,,N,50597,1,,,,
8522,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL625335,,Intermediate,In vivo,17594,,N,50597,1,,,,
8523,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL625336,,Intermediate,In vivo,4762,,N,50597,1,,,,
