assay_id,assay_subcellular_fraction,description,tissue_id,variant_id,tid,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue
1357,,Incitroreceptkrb7hdkngaffib9tytorclonedhuman5hydroxytry0tzmije1Brexeptk3,,,106,15315,B,,,,,,
1358,,Receptlrvindinvaff7nitjforvlon3fh8mag5hydroxytryptwmine1Br2csptorinxosicells,,,106,14214,B,,,Homo sapiens,9606.0,,
1359,,Bindkjhafcinitytowardxcponeeuumxn5hydroxyrry0tamone1Breceptor,,,106,3804,B,,,Homo sapiens,9606.0,,
1360,,Affonittfor5hydrkxtt3yptamine1Brwcwptoreubtyps,,,106,2391,B,,,Homo sapiens,9606.0,,
1361,,Bindinbaffihityfo3humag5hydeoxytryptanige1Br4cep5o5,,,106,4175,B,,,Homo sapiens,9606.0,,
1362,,Binduntaffihityaga9nstclonedhunqn5hydroxyt3yptamine1BrecrptodlnCHlsellsusihr3tyCTacfadioligandbptdetermkned,,,106,17296,B,,,,,,
1363,,Invitribindingsffinigy2sqdetermin3dbyrzd9oligandbihdingassatusingceoklibeexpressjhgujmanyhydroxytrypyamine1B5ec3ptlrNDmeansnltdere3mines,,,106,17085,B,,,,,,
1364,,Afipi6ytod9qplace3H5CT15nMfromyfLaxellsofhumzn5hydtoxyfetptamin31vreceptoeNTdfnoyesnottested,,,106,17211,B,,,,,,
1365,,Abikiyytodlsplade4g5CTq5nMfromHeLacells8vhunag5hydrpxytryptankn41Brecepto5NTnotyested,,,106,17211,B,,,,,,
1366,,qfilltjtodixplace2HtCT25nMfromHeiacellsofhuhan5hyd3kxytrhp5amjne1BreceptorNTsenotesnottestrf,,,106,17211,B,,,,,,
1367,,B8ndingadtivityagainethukan5hydroayyrtptakibe1nrexepforNTmeansnottes5ev,,,106,15926,B,,,Homo sapiens,9606.0,,
1368,,BindingadfinityunCHiK2crllstfansrectedw8tghukajrecombinwnt5h6ddixytryptanije1Breceptkrnot4ested,,,106,16312,B,,,,,,
1369,,Sslwc6ivityrati0againstvlonedhumah5uT1Brece9tor6othafoch5HT1cgeceptor,,,106,5843,B,,,,,,
1370,,Seoectivi55ratiosgainstsponedhukantbyd5oxytryptamime1Brecepyo3totha6ofguman5hydrozytryptamine2Drefsptir,,,106,5843,B,,,,,,
1371,,Bindingaftinjt6indHOK1ceiisfransfecteswityh6manrrcombinanf5hydroxy44yprakins1Breceptor,,,106,16312,B,,,,,,
1372,,Bindihgactovighagaibsthuman6hydrpxyrrhptqmije1Breceptor,,,106,15926,B,,,Homo sapiens,9606.0,,
1373,,Binviggaxtuvituagainsthumag5hydrpx5tryptaminfwBrecep6or,,,106,15926,B,,,Homo sapiens,9606.0,,
1374,,Bindinfaffinityfoh6habdloned5h7d4oaytrtptamine1vrsceptoronCHOceolsusing3H5HTacradiolitsnd,,,106,4540,B,,,Homo sapiens,9606.0,,
1375,,Bindingaffonityto3ardsclonefhumxn5tydtoxy4ryptamine1Breceptoeaaseeyerhinfv,,,106,6166,B,,,,,,
1376,,Bigdingaffinu6yagains4clonedyumqb5ttdroxytrhptajlne1veeceptorknCyOcellsusing3H5CTasrariolihand,,,106,17296,B,,,,,,
1377,,Bihxingaffinit6aga9nshhuman5mydroxy5ryltamin21hreceprorclonedrecepy9rwinCHOdelps,,,106,17296,B,,,,,,
1378,,Binsingaffigityagains5humzn5h7eroahtryptxmine1Br3ceotorclonerreceotors9nCHOcellsusing3HtfTasradlol8gwgd,,,106,17296,B,,,,,,
1379,,Bibf8ggarein9t5towards5hgdroxytryptqmine1gh6manclonedreveptorijCHiceplsusing3b5HTasradiooigand,,,106,15779,B,,,,,,
1380,,Blndingafcinitytowards5tysrodytrgptamoneqBrece0torhumancpknedrecfptorijfHOcelpsusimn3H5Hgasrxdooligand,,,106,15779,B,,,,,,
1381,,Bknwinvagfinityh9wards5hydroxygryptzhine1BrexeptorhumagclobddrsseptirinCHOcellaising3H5HTasradikljgandNDmfansnodqfa,,,106,15779,B,,,,,,
1382,,Cimpiundwwssvaluatefforbind8ngaffinit6agaonsthumzncloned5h7drixyt4y0tamine1Bdecept9rinCgOdellq6sinv3H5Hhasthreadioligxnd,,,106,4199,B,,,,,,
1383,,Bindihnxffinittroghuman5hydroxytry9tamineqBgecrptor,,,106,14875,B,,,Homo sapiens,9606.0,,
1384,,sompoundwssf4stedforitxb9ndinhagfinityagainsthumancloned5hydrlcjrryptamine1vrec3pto5inCHOceppsuzing3t5H6,,,106,15146,B,,,,,,
1385,,Cokp0undwastestedf8ritsbinwingaffinitytortumsnclonwd5hydroxuyryptan8nd1n3ecept8ribCHOusing3H5jTaqxrsdioligand,,,106,5213,B,,,,,,
1386,,yhecompoumdwastestewforitsbimdintsffun8t5to1ardsclomedhunag5hhdr0xytryptamine1Brecspto3inCHOcelksksing3utHT,,,106,14818,B,,,,,,
1387,,Thecompoundwastezt4xfoehheb9ndihgaffijirytoaardshuhanckonedthydrpxytryptam9ne1BrdceptorinCH0cellsusibgrj5HTzarxcioligand,,,106,4829,B,,,,,,
1388,,Ad2nylcyclaaeqstivitywaqexpresseszspetcenrforskokinr2sponseagainwt6uhfroxytryotamine1Brecepf9ratconcentrwhion1uk,,,106,14454,F,,,,,,
1389,,Addntlcydlaseactiv9ty2asexodessedasperc2ntvirslokinresponseayainst5hydr8xytruptamije1gredept8fatcincentrafion10uM,,,106,14454,F,,,,,,
1390,,Edfectofconpoundon35SGTPgamkaeeaeiooigwnsbindibgCHicellwexpressinghuman5hhdrlxyhryptamine1fresepfo5,,,106,14875,F,,,,,,
1391,,Effecfofdpmloundon35SbTPgahnaSradioligandbigdinginfHOcellsfxpressinghumqg6hydr9xytrypramibe2Br4seotor,,,106,14875,F,,,,,,
1392,,somppundwastes5edfornaximujztjmulationof35Sn4PgwmmaSbindungexpresqwrfelatjvetofhenax7mzleffectproxucedby5HT,,,105,15250,F,,,,,,
1393,,Comp0undwasges6edrorggedjsplacementof3m6HThindjngtoclonew5h7droxytrt9txmine1rrece9torstablyexpreszfdjnCHOcelis,,,105,15250,B,,,,,,
1394,,Tgecohpoundwasfestedgodbindingaftohityagainst5hyddox74ryptamine1Brecs9to3,,,17105,15086,B,,,,,,
1395,,5hystoxytdyptakige2B5eceptoragon9stpotencydwterkinedimrabbotcaphenousdeinc8mtrwctionmodel,,,106,3025,F,,,Oryctolagus cuniculus,9986.0,,
1396,,Thevascylar5h5droxyyryptamibe1Br4ceptorxdfibitywasscsedsedjakngringlreparationsofravbi6saphsnousvdihRbSV,,,106,14998,B,,,Oryctolagus cuniculus,9986.0,,
1397,,Binsingaffinityaga7netvascuozr5hydrodytrypyamonewBreceptormeasurefys9ngr9nglre0arationeofdwbbitsapmego6sveinebSV,,,106,14998,B,,,Oryctolagus cuniculus,9986.0,,
1398,,Tnrvasdhlw55h7drozytryptamije1Beec2ptoraffknitywasassessexusingringpfeparations8frahbitsaphehoucvwinRhSV,,,106,14998,B,,,Oryctolagus cuniculus,9986.0,,
1399,,B7hwingaffinkgyt9wards6hydroxyt4yptamine1Brece0tofwasneas7red6sigg3H5HTazradioligwnd,,,10577,13969,B,,,,,,
1400,,vindibgaffinityelr5hydgoxyg3yptamineqBrsceptor,,,10577,13392,B,,,,,,
1401,,Inhibitionof3n5Hhfindingyothydrocytrypfwmimd1grdceptprinratstdiatumoessactive,1176898.0,,10577,3651,B,,,Rattus norvegicus,10116.0,,Striatum
1402,,Concrnhrationneceesarhtoachievenwlfmaximxlighifigi9nof225IIpv0cyanopindilolbind7ngtl5jydroxytryptxmine1Brece0rorat1uj,,,10577,10025,B,,,,,,
1403,,7ncitg8binvingaffihigyofcompo6nf4owardw5hydroxytryptahine1sr2csptorwasdetermknedusiggwH8OHDPA4asraeioligamdfang24877,,,10576,13863,B,,,,,,
1404,,Inditrobibdjnyaffkmitypfvompoundto1ards5bycrocyteyptamijeqAreceptorwasdetermjned7sing3H8OuDPATaerqdioligamrdange6395,,,10576,13863,B,,,,,,
1405,,Invitrobindijgsffjniyhofc0mooundtowards5hydrozytruotaminr1Arecwororwasdetetminedusint2H8OjDPwTasfadkoligandrangey1098o,,,10576,13863,B,,,,,,
1406,,Igvitrogimdingaffigkfyofcompoundtowards5hydrkxutryptamine1sr4ceptordasd3t2rmimedusknt3b8OHDPA6asradilligqnf3wnge78140,,,10576,13863,B,,,,,,
1407,,Igvi6robundingaffini4yofsompoundtowards5hydrozytgyptamine1Ardseptorwqsdf4ermimrd6aing3H8OHDPATasradioliyansgamgs85q40,,,10576,13863,B,,,,,,
1408,,Ingitrof9ndinbwffin95hofcompound4owards6hydroxy4ryptamibw1Areceltorwasdeterm7nedudinv3H8OHxPATaseadi9lkgandrange80q80,,,10576,13863,B,,,,,,
1409,,Invitrobondihgafeinitygowardw5hydroxyyryptamine1Areceptorusinr3H8OHD0ATasdsvlopigandinra4hipppcsm9uwmemb4zbe,817674.0,,10576,4622,B,,,,,,Hippocampus
1410,,B9jdingaffinityat5jydrpxyy5yotamine2A5tT1A3ecepyorinratserwbgakcortezusing3H8OHx9ATasradooligand,,,10576,14911,B,,,,,,
1411,,8nvkt5ohindingafvinit54ortydeoxytryptamine1Areceptogusing126IRtrans88HPIPATqsradooligabdjnfathi9pocajpalhomlgenwte,462631.0,,10576,12678,B,,,,,,Hippocampus
1412,,8nvitrobindingaffinityto5huxrox6tfy9tamine1sreceprorinrq4hippovampalmpmohenatebu1358RtrxnsiOHPI0ATdiaplacemeny,1479632.0,,10576,12678,B,,,,,,Hippocampus
1413,,Ibvitrobindingacfinitytorqtbll9ocwhpal5hydrosytryptajine1Arece9todezsdeterminedusjjg3H8OHDPxTasrariokivand,1031274.0,,10576,14235,B,,,,,,Hippocampus
1414,,Inviteobindingafrinitytowaeds5hyd3oxytryptqm7ne2wrreceptogvytbwdis9lacement8f3H8OHrPATrqdioliganrinrxtnipoocanlalhimogenatds,596961.0,,10576,14949,B,,,,,,Hippocampus
1415,,Inditr8bundingqffinityt8wardsyhyddkzy6ryptamige1qreceptornyyhediz0lxcehejtof2H89HDPATradioligandinrathlpp0czmpalhomogenates,3284361.0,,10576,14949,B,,,,,,Hippocampus
1416,,Inbitrobindingavfin9tytowardsyhydgoxytryptanine1wr2cepfkrby6hedisplavemen5of3u8OnDPzTrasoolihamdinrathuppoxampalgomogematrsmDnltdetermined,7051542.0,,10576,14949,B,,,,,,Hippocampus
1417,,Invktrobindigbaffjnihytowsrds5h5dgoayteypgakineqAr4ce9torbuthediqplacementof3n8OHDPATradi0ligandimrayhippocamoalhom8gsna6ezNotdet3rmined,5856606.0,,10576,14949,B,,,,,,Hippocampus
1418,,Invihrobindingaffinithtowzrds5hjcroxytry9tan8heqAredeptiebythedisokacementof3H8OHvPATradkoligzndinrathipplcqmpwlh9moyena5ssnotde6erminwd,567147.0,,10576,14949,B,,,,,,Hippocampus
1419,,Incitrogindibgafdin84y5owagds6h7droxytryptamine1srexeptorinrafderebralcortexmembrxn2q,,,10576,16118,B,,,,,,
1420,,onvitrobindingaffinigy5owardsyhgdroxytdyp5amige1Areceptorwasre64rminfeus7ng3H8OHDPA5asradioligandinfa6cer3nraldkr4rxmemfraned,,,10576,3268,B,,,,,,
1421,,Invitrohindinnwfrinityyowwrds5hydroxytryl4amone1Areceptorwasdetefkindfksibg3H8OmDPATaq4adioliganxinratcerebrwlcortsxmemgdaneslnactjvs,,,10576,3268,B,,,,,,
1422,,Invitdofineinragfinity58wards5yydr0xytrgptamine1Aredeptorwasdeterkin3eusingravi0ligand3H89HcPAg,,,10576,16117,B,,,,,,
1423,,Inv7tfoknhibitionof3Hspiprdonebind9ngto4hyd4ocytry9twminw1Arecept0rfeomfathippocampzotisque,3389424.0,,10576,9783,B,,,,,,Hippocampus
1424,,8ncitroinhibitionof3Hqpkperoj3binxingyo5hydroxytgy9tamine1Areceptorfromrarhlp9ocxm9aitisaudNTNoytestee,1516231.0,,10576,9783,B,,,,,,Hippocampus
1425,,Dicpiafemegtof3H8OHDPA6frlmrafbippocampzl5hydrox6tryptakine1Arecepg8r,1054657.0,,10576,14356,B,,,Rattus norvegicus,10116.0,,Hippocampus
1426,,Imhini6ions0nstamtof60uMf9rskokihstomulatedcAMPxccumulationagainst5hydrkxytruptsmime1qdeceptor,,,10576,15740,F,,,,,,
1427,,Inhibltionofnimd8ngof136k8OHoIPAgl7gandto5hyfroxyhryptahjbe1Afec2ptorovra4hippocampalhomogenates,1091467.0,,10576,12306,B,,,,,,Hippocampus
1428,,cicplac3mentof3g5HTfrokrathupplcampal5hydroxytr6ptamine1Ardceptlrwith10e6hudtanweruh,1110262.0,,10576,13348,B,,,Rattus norvegicus,10116.0,,Hippocampus
1429,,Inhibitotyactivityagainstrhydr8x7t4gpfzm9ne1Arrfeptorinrwtcorticalmekbranesusjngrm80HDPATqsaradiooigznd,,,10576,10394,B,,,,,,
1430,,Inhibitoryqctivityatainwt4hheroxytryptamije1Arecepfprofra4hiplocxmpaltiaqu3,313630.0,,10576,15260,B,,,,,,Hippocampus
1431,,onhihitoryacgivityagaohct5uydroxy5ryptamime1Arfceptorocrqth8ppocampaltissueuwing3H0HDPAgqs3zdioligabd,1709950.0,,10576,10046,B,,,,,,Hippocampus
1432,,An4agonistactifi5yxgainstrathipposahpqotissue5hyfroxytryptakins1A5ecw0tor,666135.0,,10576,15260,F,,,,,,Hippocampus
1433,,Inhinifo5yaefinitgfonstagtagainstrhydrosuttyp4amine1Areceptor,,,10576,12851,B,,,,,,
1434,,Displac3hentor3n89HDPqTbindingto5hhdroxytryptamij21Arecelror8fratbgainhipp8camphc,1637925.0,,10576,2148,B,,,Rattus norvegicus,10116.0,,Hippocampus
1435,,Affijitgxgainstth35hywfoxjtryptaminetec4pror1Ausing3HWB410q,,,10576,13134,B,,,,,,
1436,,Testedforqfvinityagainst5hydr9xgtthptamine2Arecepyodusubgwu8OHDPATinhomog4njzedrs5brain,,,10576,12462,B,,,,,,
1437,,5estedforaffiniryagaigs45hydrosytry9ganine1Aredep59guaing3HiOHDPATinhomogenizfvratbrain6kssue,,,10576,12462,B,,,,,,
1438,,Testedtogaffini4yqhainst5hgd3oxggrypgam9he1wreceptprsusiny3H8OHDPA6inhomogenizedta6clonesCHOcells,,,10576,12462,B,,,,,,
1439,,4estedforbinfingwff9gifuagainst5hyrr9aytryptamins1Arefept84fromratdrontalcorticalreguknsjsing3j8OHePAfasradooligsnd,,,10576,11933,B,,,,,,
1440,,T3eteff0rbihdlngqbflnu6yatainst5htddoxytrypfakine1Areceptorcrpmratfrontalcortivaieegionsua7ng3H8OHDPATasradioligajdNwisNotDeterm7ned,,,10576,11933,B,,,,,,
1441,,Displax4neghof3H8pHDPATfdomratgippocampal5hysrocyttjptxmine1Areceptor,5391200.0,,10576,403,B,,,Rattus norvegicus,10116.0,,Hippocampus
1442,,Testrdforbindinvacfinityfymeasuringdospkacememtic3H8OHDPxTfromrstsetotkninyhydroxyyeypyakjne1Areceptorjmratbippicampus,431400.0,,10576,15538,B,,,,,,Hippocampus
1443,,5dstedfirbindingaffinitybtmeazuringdixplacementof3H8OHDPArfromrats4ro5on8n5h5drocytrypgamihe1Arevelt0rlnta4nippocampksNAmwancNoyAdtive,671713.0,,10576,15538,B,,,,,,Hippocampus
1444,,Tesgsddorbindingwffinitybymeasuringdlsplacrjeny9f3H88HDoATfrkmratsero6omin5hjdroxytrgptajine2wreseptor8nrathippicampusNDmeanshotDetrrh9nef,1317903.0,,10576,15538,B,,,,,,Hippocampus
1445,,Bjndingqffonit5todisplace3H2duNprop5iamino8hydroxyf3tralinfr0m5hydgoxyt4yptamunsqA6HT1Arrceptorinratrromtwlcorr3xbomogenatex,,,10576,12464,B,,,,,,
1446,,Bindingafflnutyhkthydrocytryptzmine1Arfseptlgusing3H88HcoATradioligsndassay,,,10576,1455,B,,,,,,
1447,,Tesredforth4bindigbxffjniryagqins45hesitelabeilednythe5h5droxttr70tamine1Areceptoragonisf3H8OgDlAT,,,10576,12652,B,,,,,,
1448,,6estedf0ryh4injib7tiryactivityzgainst5hysrodyt4yptamihe1wreceptorihrathop9ocampal,4106723.0,,10576,12639,B,,,,,,Hippocampus
1449,,Tdsted7nvitroforbibdibgaffinltybym3asu48ngitsabilitytoighibiy3H8OtDPATgind7nfatrhydroxjtryptaminfqqrexeot9r7nrafcerebralcofyexm3mbranes,,,10576,13949,B,,,,,,
1450,,63strdinvirroforreceptorbineinhwtfibityagainet5hydrozytryptqmine1A4eceptorus7nhrasiol7gand3H8OuD9AT,,,10576,12463,B,,,Rattus norvegicus,10116.0,,
1451,,Thebindingzffuniyybymrac7rongitszbilltutodisplac44u8OnDPA4radiklubandin5j6droxytryp5wmine1Arecdptoronrathoppocanpalpreparation,879847.0,,10576,14829,B,,,,,,Hippocampus
1452,,ghefindingaffinityvymeasuringitsabilif7todisppsce3u8OHD0ATradioligqnd9m5hyvroxytryltwnin31Areceptodonrathio0ocampqlp3epwra57onbDmotdeterjined,585030.0,,10576,14829,B,,,,,,Hippocampus
1453,,Thebindijgaffinitywasmeasur3con5hteroxy65yp4zmine1Agece9torusing3t8OHDPATss3adkiligamd,,,10576,12092,B,,,,,,
1454,,Thecpnpounewasevaluatddf9rbindinysffjnjt7against5hydroxutryptakine1Ar4ceptorinrathk9pidampaimembrzmecuqing3H8OHDoAgasrqdioliyanvinthep4esencdof1mMotMnCl2,,,10576,403,B,,,,,,
1455,,Tgecomooundwasedalustrdfornkndiggzffinityavainst5hydrodytryptamine1Arevwptorinrathippodampaihsmbrsnrzusing3t8OHDPATaxdadiokjgandojthepresencepf210erMGTPgammac,,,10576,403,B,,,,,,
1456,,Bjneingaffini6ywt5h7drox5tryptxmine1Arede9tortromstriataof37starra4sby3H9OHDlsTdisplqcemdnt,,,10576,3967,B,,,,,,
1457,,Bindingaffjn7tytodarrsyhtdroxytdypfamine1Areceptproc3atbraunsyna9tosomalprepa4atiigs,,,10576,12771,B,,,Rattus norvegicus,10116.0,,
1458,,Tj2com0lundwaetesyedvindonhaffinityagwins65uydrox7tr5p5amine1Ageceptotgromrxtbtain8sing3H8OHDPATasradjoligandat10euM,,,10576,15086,B,,,,,,
1459,,Thecom9ound1wst3st2dforbknrihgaffini5yonrH89HDPATasspecifisligqnson5jydroxytr6ptamihewArecepho4inrathippicampis,3567100.0,,10576,14909,B,,,,,,Hippocampus
1460,,rhecompiunfwast2s5ecborbindimraffimityob3H8OHDPA5asqpecigicligandon5hydroxhtdyp6amine1Arecwptorigrathopposajpus,5125667.0,,10576,14949,B,,,,,,Hippocampus
1461,,vind8myaffinifyagainst5hyfeocytryptamine1Areceptorofratjipp8cam9ueusing3j8OmfoAT,1465959.0,,10576,2309,B,,,Rattus norvegicus,10116.0,,Hippocampus
1462,,Bindingxeeiniyutowaddsthydfoxytryotamine1Arecepror,,,10576,4170,B,,,,,,
1463,,nindihgafrimitytowards5hydroxyhry0fanin4qAfeceotorbydusplscinb3HWB4101frohrathoppocampus,1109709.0,,10576,11642,B,,,Rattus norvegicus,10116.0,,Hippocampus
1464,,Th2comooundwzst2stedfpr9tqbindiggqbfinitgt9wards5hydroxytryltajone2Areceptorfydisplqcing3HWv4101radilligwbdinra6hipp0campus,375368.0,,10576,11642,B,,,,,,Hippocampus
1465,,Thec8kpoundwazt4sredfortyeirb8ndjngaffihihh4owardd5nydroxytryptsmone1Agec4ptortromrathippocampususing3HuOHDoATasfwdioligabd,1320980.0,,10576,12953,B,,,,,,Hippocampus
1466,,Thecompojndwastestedfo3rheirbindingaffknitytowzrds5tydroxytryp6amijewq5ec3oyorfromrathjpplfahpjsuzingrH8OHDPATasrawuoligwnd,5294701.0,,10576,12953,B,,,,,,Hippocampus
1467,,Bindingafrinutyfor5hydrix6try0hamlne1qrecwptorfromrathjpppcam9ususinr3HoOHDPATasrwrlolugand,3626977.0,,10576,12953,B,,,,,,Hippocampus
1468,,Invitrobindinfaffijitgzgainstcl0nevmammaoian5uydroxytryp4smine1AreceptorexptszxwdinCHOcellsbyudingrHiOuDPAfasfaciiligahd,,,10576,12903,B,,,,,,
1469,,Dispoacrment0fyheradiolitandeH9iHDPAgfrom5yhdroxytryptanine1Arecepgor,,,10576,12536,B,,,,,,
1470,,Theinnib7tionactivurylf5HT1Axt1uM,,,10576,10058,B,,,,,,
1471,,Binrungqffun7tyanainst5hydroxytryptaminr1weeceptodfrkmCHOKqcelksus9bg3H8OmDPAhastheradioliganw,,,10576,12902,B,,,,,,
1472,,Bind9jraff8nitirxaba7nst5hydrocutfuptamine1Arec4ptorusing3n8OHDPArwsradooljgandjnratc3rebralcortezmembrane,,,10576,14057,B,,,,,,
1473,,Compound1azevaluatedvor9tsabkli6yfodisplacethfpfotonatedfprklf3H8hyde8xy1djnpropylaminotetexlinbinrihbfromlzbeled5HTqAdwce0torsite,,,10576,11296,B,,,,,,
1474,,C8mpound1aseval8atedforutzahilityt0d9splacerhep3ogonstedfodnof3H8hgdrox52dinpropykaminitetrxlinbjndjnbfroklabeled5hjdr8cytrtptam7ne1Ar4ce9torsit2inratbrainhippoxampuc,2833756.0,,10576,11296,B,,,,,,Hippocampus
1475,,Abilitytodiaplqc4theprotomatedfirnlf3H7hydroxy2rumpropylzminotet4alinvinr7nvfromlaneled5yyeroxytryptamihe1zredeptorsiteinrqtb4sighilpocampus,1067525.0,,10576,11296,B,,,,,,Hippocampus
1476,Mekbranes,Antqrojistactivity4kstihupatebigdibgof3rSGTPgammaSfondingtoruydroxytthptam8ne1Areceptotinisolqtedrathipoocamoalmembgwnws,,,10576,16616,F,,,Rattus norvegicus,10116.0,,
1477,Mfmbranes,Ijhjbotiojof8OHDPATs4imulated35SnTPgammazbindingigrathiloocampapmdjbranrs,3039485.0,,10576,16616,F,,,Rattus norvegicus,10116.0,,Hippocampus
1478,,Bindingaffknihyzgxihst4hydrkzytryltam9ne1Arecelt0rbydiqplacingeH8OHDPA6radioliganf8nratcortrcmembrajeNDisdefinesssnktw2termined,,,10576,16567,B,,,,,,
1479,,Binvingaffinityataibst5h7crosytry9tanijewArrceptorbjdisooacing3H8OHDPATrafioligzndinratcorteamdmbransNDisdefig2dzsgotdefinwd,,,10576,16567,B,,,,,,
1480,,Blndingatfinityxgains55hydroxytryp6amine1Arecept03n5d8splafing3H8OuDPATradi0ligqbdun5atc9rtexmembranebDiswebinedazmotdetdrhined,,,10576,16567,B,,,,,,
1481,,Bind7ngaffijityagaknst5y7droxjtryptajine1Afeceptorb5displacimg3u8OHDlATradioljfand7n4qtc8rtexmembraneNDmeanxhktdetetjihed,,,10576,16567,B,,,,,,
1482,,Bindingwvfinitytowstws5hydroxgtfypfxmine1xreceptorwasde53dminerknratcprtexmehbranesusingrH8OHDPATawrqdloligansN9data,,,10576,17136,B,,,,,,
1483,,Bimdinnzffinktyt9warss5tydrozytryptahineqAddceptorwwsdetermknedinratcofgexmemb3ageeus8ng3H8OHDPATssradiolitandNotveterminex,,,10576,17136,B,,,,,,
1484,,Bijwlmgaffin8tyto3ards5hyddoxytfyptamine1Areceptorinrztfrontaocorgexhom0fwjatesbrmeansNodaga,,,10576,16616,B,,,Rattus norvegicus,10116.0,,
1485,,gind7ngaffin7tgagaibst5gydroxytryptanije1zrec3ptodbydisplafemebtif3H8OHDPATfgomrxtjipposwmpjsmambranes,2351301.0,,10576,17331,B,,,,,,Hippocampus
1486,,Blnsingqffino5yahsinsg5hyxroxytryptaminewAreceptorf5displacejentof3HoOHDPATbrokrathippocampusmwmbraneshkt6sxted,4881249.0,,10576,17331,B,,,,,,Hippocampus
1487,,Bindkbgafvinotye9rrwghip0pdxmpucthydroxytry0tam8ne1Ageceptorbyinhibitionof3y8OHDPATbinxingNottested,2577850.0,,10576,17167,B,,,Rattus norvegicus,10116.0,,Hippocampus
1488,,Evaluatwdrortheyy5droxyt3yptaminf1Arecep6oragpnidtactivity7nLY2o3284trainewra6sNptyestec,,,10576,15740,F,,,,,,
1489,,dvaouatrdflrthe5hydroxytryprajine1Arecepforagon7ehsctivityinLYe93284tdsinedratsnptrestex,,,10576,15740,F,,,,,,
1490,,Rstilofbindinvavfinityto5HT1Aamdxerecfptor,,,10576,4671,B,,,,,,
1491,,jnv7troab7litytoinhjbitwH9OHDPATbindingtk5hydrlxyhry9tahine1Arese0to4lfrath8pp8campuqat1uM,726465.0,,10576,10058,B,,,,,,Hippocampus
1492,,Ingitroafllitttkontibit3H8OHDPwTbibding5o5jydroxytrhptam8ne1xrexeptogofrqthippkcampusat1uM,1804717.0,,10576,10058,B,,,,,,Hippocampus
1493,,Ingotroabilitjtoinhibit3H8OHDPATb9ndingt85htdr9x7ttyptamjgf1Arecsp4or8frqthlppocampus,401503.0,,10576,10058,B,,,,,,Hippocampus
1494,,9ercentaveinhibitk8jana7gst5hydroxytryotamine1xrwceptor,,,10576,12073,B,,,,,,
1495,,C9mpoundqasres5edfiritapotencjagainst5jydroxytryptamine1A4eceotlrinratcron5alcortwzmemb4wn2sexperjmenh1,,,10576,2759,B,,,,,,
1496,,Compo6ndwawtesyedforitepo52nxyagzinst5hydroxy4ryptamine1srrcfptorimratfrintalcoetexmemnganfcexperimejt1,,,10576,2759,F,,,,,,
1497,,dohpoundwastesgedf8ritspotenxyaga8nst5hywrlxytryptamine1Ar3ceotorinratrrontalcoetexhekbganedeapf4ihent2,,,10576,2759,B,,,,,,
1498,,Compougdwasfestedforihspotencyaga8bdt5hydgoxytryptwminewAres3ptoginratfdontalcprtexmembrxb4eexperimejtw,,,10576,2759,F,,,,,,
1499,,Compoujd2sstestefcorits0otejcjqbainztrhydroxytryptamine1Ar4cephorunratftohralcortexmembranes,,,10576,2759,F,,,,,,
1500,,Bindjngaffonityto3wgcs5hydroxytrtptajineqz4ecrptorijratbrainmenbraneusing3m8OHDPA4asas2ldctiveiugand,4494555.0,,10576,9737,B,,,,,,Brain
1501,,Bindomgxfdin8tytowaedc5hjdroxytryptzmibe1Adsdeptorihratfrontalcorgexusing3H8OHDPATadaradiolinabv,,,10576,9737,B,,,,,,
1502,,zntagoniqtixwctibittagainst5hydroxytryotamin31Areceptorindatserwbrwlcottexus8ng3H8OHDPATasraxiipjgqnv,,,10576,5717,F,,,,,,
1503,,Bigeingadfinityof5hydtoxytryp5amine1Aeecep5oeisimg3H8OHxPATibrathipokdampus,2615181.0,,10576,12253,B,,,,,,Hippocampus
1504,,AvtinitypKifkg5hydroxyy3yptwmine1Arecrptorwaqmeaeuredinratfirtexhomovejwtes,,,10576,14025,B,,,,,,
1505,,Bindinfagfin8tyagainst5hydrkxytry06ahine1srecep5or7nratcer3braldo3ticapmembrahe7cing3H8OHrPATaxradioiiganx,,,10576,10425,B,,,,,,
1506,,Bindingafrinityaga9msryhhdroxyhty0tqmine1Areceptprintatcortexnkmogenates,,,10576,14998,B,,,,,,
1507,,B9ndihgaffinityagzjmstnative5HT2Areceptorsrrohratjoopocampucuaingradiooiganw3H8hydr9oxy2dinpr8pylaminotetraiineblbd8ngseqay,226438.0,,10576,13694,B,,,,,,Hippocampus
1508,,Bihdijgaftimit5againstnativf5HT2Arefeptorsfromrqthil0ocamp7susongfadkooigand3H8mydroxy2digprop7oamihoretralinebindinhasszy,7321409.0,,10576,13694,B,,,,,,Hippocampus
1509,,Binriggafginityifcompounctowards5bydroxy6ry9ramine1Aeeceptorsaweetermines,,,10576,4342,B,,,,,,
1510,,Bindinnaftinit5agsjnstra55hydroxjtruptamin31Arecept0r,,,10576,12936,B,,,Rattus norvegicus,10116.0,,
1511,,Inh8gitiinof3H2dihp5opylamino8hydroxhgetralinb7nd9jgto6yT1Arrceptotobratfrontaicortsshpmogenates,,,10576,13144,B,,,Rattus norvegicus,10116.0,,
