Fiscal year,Organisation name,Division name,Amount spent,Desertification (marker),Programming process (new),Division ID,Project Browser country ID,Regional program (marker),PBA type,Untied amount(Project-level budget),Participatory development and good governance,FSTC percent,Gender equality (marker),Sector percent,ICT as a tool for development (marker),Branch name,Organisation sub-class,CountryRegion name,Section name,CIDA business delivery model (old),Continent ID,Section ID,Organisation type,Status,Project number,Maximum CIDA contribution (project-level),Branch ID,Fund centre ID,Fund centre name,IRTC percent,CFLI (marker),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Trade development (marker),Biodiversity (marker)
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,CF,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,CG,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,CM,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,GA,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,32.871,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,FEDERAL,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Partenariat pour le D�veloppement Municipal,WWD West & Central Africa,3944.673,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,NGO,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Foreign Non-Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,172.5466,0,Uncoded: Pre-APP,D4207,TD,1,Other PBA,3867664.46,1,1.0,0,0.2,0,WGM Sub-Saharan Africa,CONSULTANT,Middle Africa,Gulf of Guinea Program,Responsive,2,S4249,Canadian Profit Making,Closed,A032226001,3867664.46,B4200,4310,Central & West Africa Regional Program,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WED Southern & Eastern Africa,101491.17,0,Uncoded: Pre-APP,D4270,MZ,0,Sectoral budget support,7705752.58,0,0.0,2,1.0,0,WGM Sub-Saharan Africa,FEDERAL,Mozambique,Mozambique Program,Core Funding,2,S4271,Canadian Non-Profit Making,Closed,A032227001,7705752.58,B4200,4274,Mozambique,0.0,0,1,0,0,0,0,0
2009/2010,International Livestock Research Institute,WED Southern & Eastern Africa,15355.5,0,Uncoded: Pre-APP,D4270,TD,1,Not PBA,24100562.0,0,1.0,2,0.1,0,WGM Sub-Saharan Africa,OTHER MULTILATERAL,Middle Africa,"AHSI, Extractives, Special Initiatives",Responsive,2,S4281,Foreign Non-Profit Making,Closed,A032229002,24100562.0,B4200,4315,Canada Fund for Africa Secretariat,0.0,0,1,1,0,0,0,0
2009/2010,International Livestock Research Institute,WED Southern & Eastern Africa,30711.0,0,Uncoded: Pre-APP,D4270,TD,1,Not PBA,24100562.0,0,1.0,2,0.2,0,WGM Sub-Saharan Africa,OTHER MULTILATERAL,Middle Africa,"AHSI, Extractives, Special Initiatives",Responsive,2,S4281,Foreign Non-Profit Making,Closed,A032229002,24100562.0,B4200,4315,Canada Fund for Africa Secretariat,0.0,0,1,1,0,0,0,0
2009/2010,International Livestock Research Institute,WED Southern & Eastern Africa,92133.0,0,Uncoded: Pre-APP,D4270,TD,1,Not PBA,24100562.0,0,1.0,2,0.6,0,WGM Sub-Saharan Africa,OTHER MULTILATERAL,Middle Africa,"AHSI, Extractives, Special Initiatives",Responsive,2,S4281,Foreign Non-Profit Making,Closed,A032229002,24100562.0,B4200,4315,Canada Fund for Africa Secretariat,0.0,0,1,1,0,0,0,0
2009/2010,International Livestock Research Institute,WED Southern & Eastern Africa,15355.5,0,Uncoded: Pre-APP,D4270,TD,1,Not PBA,24100562.0,0,1.0,2,0.1,0,WGM Sub-Saharan Africa,OTHER MULTILATERAL,Middle Africa,"AHSI, Extractives, Special Initiatives",Responsive,2,S4281,Foreign Non-Profit Making,Closed,A032229002,24100562.0,B4200,4315,Canada Fund for Africa Secretariat,0.0,0,1,1,0,0,0,0
2009/2010,International Livestock Research Institute,WED Southern & Eastern Africa,21750.0,0,Uncoded: Pre-APP,D4270,CD,1,Not PBA,24100562.0,0,1.0,2,0.1,0,WGM Sub-Saharan Africa,OTHER MULTILATERAL,Middle Africa,"AHSI, Extractives, Special Initiatives",Responsive,2,S4281,Foreign Non-Profit Making,Closed,A032229002,24100562.0,B4200,4315,Canada Fund for Africa Secretariat,0.0,0,1,1,0,0,0,0
